[44] ADD,CetaglZj6n,60419.65 
[14976] CANCEL_SET_SELL,CetaglZj6n,YPW 
[15179] DISPLAY_SUMMARY,CetaglZj6n 
[15250] SET_BUY_TRIGGER,CetaglZj6n,WZM,137.42 
[15297] ADD,CetaglZj6n,84282.23 
[15323] BUY,CetaglZj6n,HMR,514.04 
[15338] COMMIT_SELL,CetaglZj6n 
[15416] DISPLAY_SUMMARY,CetaglZj6n 
[15583] BUY,CetaglZj6n,XLV,490.46 
[15639] COMMIT_BUY,CetaglZj6n 
[15940] BUY,CetaglZj6n,ZTR,642.11 
[16158] CANCEL_BUY,CetaglZj6n 
[16161] SELL,CetaglZj6n,FQP,166.63 
[16177] COMMIT_SELL,CetaglZj6n 
[16245] ADD,CetaglZj6n,72048.66 
[16252] QUOTE,CetaglZj6n,WQC 
[16273] DISPLAY_SUMMARY,CetaglZj6n 
[16274] SET_SELL_AMOUNT,CetaglZj6n,FQP,25.27 
[16405] SELL,CetaglZj6n,JCQ,452.28 
[16425] COMMIT_SELL,CetaglZj6n 
[16429] ADD,CetaglZj6n,62101.66 
[16455] BUY,CetaglZj6n,CVP,629.40 
[16553] COMMIT_BUY,CetaglZj6n 
[16635] DISPLAY_SUMMARY,CetaglZj6n 
[16702] SET_SELL_TRIGGER,CetaglZj6n,FQP,16.12 
[16795] SET_BUY_TRIGGER,CetaglZj6n,ZTI,18.40 
[16907] CANCEL_SET_BUY,CetaglZj6n,YEH 
[16954] QUOTE,CetaglZj6n,ZAO 
[16976] QUOTE,CetaglZj6n,IFN 
[17047] SET_BUY_AMOUNT,CetaglZj6n,FQP,576.21 
[17052] BUY,CetaglZj6n,FOW,230.73 
[17078] SET_BUY_TRIGGER,CetaglZj6n,ZMS,80.86 
[17090] SET_SELL_TRIGGER,CetaglZj6n,GTN,17.25 
[17199] BUY,CetaglZj6n,HEK,599.43 
[17210] BUY,CetaglZj6n,QQI,250.96 
[17212] COMMIT_BUY,CetaglZj6n 
[17218] BUY,CetaglZj6n,WGV,279.87 
[17308] COMMIT_BUY,CetaglZj6n 
[17498] ADD,CetaglZj6n,84563.63 
[17958] CANCEL_SELL,CetaglZj6n 
[18167] BUY,CetaglZj6n,CMA,671.09 
[18311] COMMIT_BUY,CetaglZj6n 
[18378] COMMIT_BUY,CetaglZj6n 
[18667] ADD,CetaglZj6n,74672.76 
[18677] BUY,CetaglZj6n,UEC,668.52 
[18706] COMMIT_BUY,CetaglZj6n 
[19025] SET_SELL_TRIGGER,CetaglZj6n,DRP,3.35 
[19109] SET_BUY_AMOUNT,CetaglZj6n,KDA,311.56 
[19474] DISPLAY_SUMMARY,CetaglZj6n 
[19492] COMMIT_BUY,CetaglZj6n 
[19564] ADD,CetaglZj6n,85356.58 
[19587] BUY,CetaglZj6n,ETB,575.05 
[19616] CANCEL_BUY,CetaglZj6n 
[19642] DISPLAY_SUMMARY,CetaglZj6n 
[19674] BUY,CetaglZj6n,ZGN,404.87 
[19796] COMMIT_BUY,CetaglZj6n 
[19847] ADD,CetaglZj6n,62852.12 
[19988] QUOTE,CetaglZj6n,NDD 
[20012] ADD,CetaglZj6n,82159.47 
[20036] QUOTE,CetaglZj6n,LQN 
[20135] BUY,CetaglZj6n,SUS,725.72 
[20186] CANCEL_SELL,CetaglZj6n 
[20670] DISPLAY_SUMMARY,CetaglZj6n 
[20770] ADD,CetaglZj6n,95094.28 
[20895] QUOTE,CetaglZj6n,JDO 
[20931] BUY,CetaglZj6n,OOT,102.45 
[21150] COMMIT_BUY,CetaglZj6n 
[21187] SET_SELL_TRIGGER,CetaglZj6n,NUL,118.09 
[21216] SET_BUY_TRIGGER,CetaglZj6n,FPV,184.58 
[21430] BUY,CetaglZj6n,OOT,666.93 
[21502] COMMIT_BUY,CetaglZj6n 
[21708] SELL,CetaglZj6n,JRJ,345.01 
[21903] COMMIT_SELL,CetaglZj6n 
[21912] SET_BUY_TRIGGER,CetaglZj6n,WJP,90.46 
[22261] DISPLAY_SUMMARY,CetaglZj6n 
[22297] QUOTE,CetaglZj6n,ALV 
[22322] SET_BUY_AMOUNT,CetaglZj6n,UTV,329.56 
[22324] SET_BUY_TRIGGER,CetaglZj6n,DBC,320.24 
[22536] SET_BUY_TRIGGER,CetaglZj6n,ASJ,26.63 
[22612] ADD,CetaglZj6n,85512.46 
[22968] SET_BUY_AMOUNT,CetaglZj6n,ZAN,55.30 
[22999] SET_BUY_TRIGGER,CetaglZj6n,MHQ,36.63 
[23041] DISPLAY_SUMMARY,CetaglZj6n 
[23164] SELL,CetaglZj6n,LFU,727.95 
[23195] COMMIT_SELL,CetaglZj6n 
[23320] SET_SELL_TRIGGER,CetaglZj6n,BTD,171.55 
[23392] ADD,CetaglZj6n,31314.82 
[23620] BUY,CetaglZj6n,APU,69.21 
[23737] COMMIT_BUY,CetaglZj6n 
[23885] SET_SELL_AMOUNT,CetaglZj6n,CUZ,241.30 
[23889] SET_SELL_TRIGGER,CetaglZj6n,CUZ,208.72 
[23981] SET_BUY_AMOUNT,CetaglZj6n,LFU,434.01 
[24182] DISPLAY_SUMMARY,CetaglZj6n 
[24216] QUOTE,CetaglZj6n,PZE 
[24416] SET_SELL_AMOUNT,CetaglZj6n,CUZ,606.42 
[24537] SET_SELL_TRIGGER,CetaglZj6n,CUZ,44.76 
[24574] SET_SELL_TRIGGER,CetaglZj6n,QUT,185.42 
[24637] DISPLAY_SUMMARY,CetaglZj6n 
[24726] BUY,CetaglZj6n,QOQ,496.77 
[24816] CANCEL_BUY,CetaglZj6n 
[24860] ADD,CetaglZj6n,61688.87 
[24898] QUOTE,CetaglZj6n,HFS 
[25033] QUOTE,CetaglZj6n,MQH 
[25067] BUY,CetaglZj6n,UGT,411.67 
[25346] SELL,CetaglZj6n,KES,516.33 
[25373] COMMIT_SELL,CetaglZj6n 
[25574] BUY,CetaglZj6n,EYY,484.66 
[25591] COMMIT_BUY,CetaglZj6n 
[25664] BUY,CetaglZj6n,WSG,593.82 
[25667] COMMIT_BUY,CetaglZj6n 
[25831] BUY,CetaglZj6n,MVI,118.86 
[26096] COMMIT_BUY,CetaglZj6n 
[26157] COMMIT_BUY,CetaglZj6n 
[26205] ADD,CetaglZj6n,84007.07 
[26213] QUOTE,CetaglZj6n,GXT 
[26800] QUOTE,CetaglZj6n,KHD 
[27072] DISPLAY_SUMMARY,CetaglZj6n 
[27158] SELL,CetaglZj6n,KDA,34.24 
[27321] DISPLAY_SUMMARY,CetaglZj6n 
[27363] COMMIT_SELL,CetaglZj6n 
[27372] BUY,CetaglZj6n,PYM,694.56 
[27412] BUY,CetaglZj6n,NQU,369.02 
[27466] COMMIT_SELL,CetaglZj6n 
[27478] SET_BUY_TRIGGER,CetaglZj6n,SYM,15.98 
[27653] ADD,CetaglZj6n,67369.66 
[28157] BUY,CetaglZj6n,SMS,667.07 
[28272] COMMIT_BUY,CetaglZj6n 
[28380] SET_SELL_TRIGGER,CetaglZj6n,WNU,171.84 
[28425] SET_SELL_TRIGGER,CetaglZj6n,SFO,123.70 
[29082] ADD,CetaglZj6n,81071.07 
[29094] BUY,CetaglZj6n,GMF,403.54 
[29108] COMMIT_BUY,CetaglZj6n 
[29230] SET_BUY_AMOUNT,CetaglZj6n,XXQ,311.38 
[29290] SET_BUY_TRIGGER,CetaglZj6n,QOD,98.08 
[29403] COMMIT_SELL,CetaglZj6n 
[29449] SET_BUY_AMOUNT,CetaglZj6n,FQP,465.47 
[29485] BUY,CetaglZj6n,WJB,509.05 
[29523] COMMIT_BUY,CetaglZj6n 
[29548] SELL,CetaglZj6n,QAX,345.12 
[29832] COMMIT_SELL,CetaglZj6n 
[30134] QUOTE,CetaglZj6n,SSW 
[30355] QUOTE,CetaglZj6n,KZQ 
[30633] SET_SELL_TRIGGER,CetaglZj6n,DRP,3.29 
[30751] SET_BUY_TRIGGER,CetaglZj6n,HNO,131.98 
[30972] SELL,CetaglZj6n,JQO,721.16 
[31059] COMMIT_SELL,CetaglZj6n 
[31078] DISPLAY_SUMMARY,CetaglZj6n 
[31162] SELL,CetaglZj6n,JVT,632.19 
[31365] SET_SELL_AMOUNT,CetaglZj6n,KES,741.75 
[31454] SET_SELL_TRIGGER,CetaglZj6n,KES,17.65 
[31485] SELL,CetaglZj6n,UTV,382.58 
[31751] DISPLAY_SUMMARY,CetaglZj6n 
[31782] QUOTE,CetaglZj6n,KDG 
[31813] SET_BUY_TRIGGER,CetaglZj6n,SSW,75.06 
[31971] SET_SELL_AMOUNT,CetaglZj6n,BYA,398.63 
[32023] SET_SELL_TRIGGER,CetaglZj6n,BYA,31.65 
[32116] SET_BUY_AMOUNT,CetaglZj6n,UTV,2.81 
[32218] SET_BUY_TRIGGER,CetaglZj6n,PTC,1.93 
[32296] SET_SELL_AMOUNT,CetaglZj6n,BYA,240.28 
[32299] SELL,CetaglZj6n,XXQ,539.76 
[32421] ADD,CetaglZj6n,59022.78 
[32539] QUOTE,CetaglZj6n,NVN 
[32568] ADD,CetaglZj6n,64673.16 
[32625] BUY,CetaglZj6n,YAZ,534.31 
[32813] BUY,CetaglZj6n,OXK,52.36 
[32905] SET_SELL_AMOUNT,CetaglZj6n,JCQ,561.52 
[32948] SET_SELL_TRIGGER,CetaglZj6n,JCQ,365.58 
[33026] BUY,CetaglZj6n,SKW,503.03 
[33198] CANCEL_SET_SELL,CetaglZj6n,KRY 
[33283] DISPLAY_SUMMARY,CetaglZj6n 
[33388] DISPLAY_SUMMARY,CetaglZj6n 
[33480] DISPLAY_SUMMARY,CetaglZj6n 
[33532] SET_BUY_TRIGGER,CetaglZj6n,KNM,62.88 
[33533] SET_SELL_TRIGGER,CetaglZj6n,KJD,65.14 
[33594] DISPLAY_SUMMARY,CetaglZj6n 
[33752] ADD,CetaglZj6n,57882.75 
[33806] SET_SELL_AMOUNT,CetaglZj6n,RGH,439.10 
[34135] SET_SELL_TRIGGER,CetaglZj6n,RGH,379.51 
[34172] SET_SELL_TRIGGER,CetaglZj6n,GWF,69.22 
[34180] QUOTE,CetaglZj6n,YBP 
[34220] BUY,CetaglZj6n,KZZ,45.88 
[34313] QUOTE,CetaglZj6n,VVV 
[34321] QUOTE,CetaglZj6n,OOI 
[34452] BUY,CetaglZj6n,RWY,186.83 
[34510] CANCEL_SET_SELL,CetaglZj6n,TSF 
[34542] SET_SELL_TRIGGER,CetaglZj6n,LPS,186.68 
[34626] SET_BUY_AMOUNT,CetaglZj6n,JVT,440.72 
[34718] SET_BUY_TRIGGER,CetaglZj6n,MDZ,89.52 
[34732] SELL,CetaglZj6n,ZYR,345.15 
[34956] QUOTE,CetaglZj6n,BOS 
[35252] BUY,CetaglZj6n,IHW,701.14 
[35305] SET_BUY_AMOUNT,CetaglZj6n,BYA,481.36 
[35684] SET_BUY_TRIGGER,CetaglZj6n,OEY,6.07 
[35806] BUY,CetaglZj6n,DXL,375.24 
[35870] COMMIT_SELL,CetaglZj6n 
[35914] SELL,CetaglZj6n,QAX,557.58 
[35930] COMMIT_SELL,CetaglZj6n 
[36051] ADD,CetaglZj6n,79284.73 
[36104] CANCEL_SET_SELL,CetaglZj6n,ZDB 
[36258] QUOTE,CetaglZj6n,NFQ 
[36396] BUY,CetaglZj6n,ERF,648.04 
[36679] CANCEL_SELL,CetaglZj6n 
[36726] BUY,CetaglZj6n,USW,111.29 
[36791] BUY,CetaglZj6n,QPZ,622.93 
[37112] QUOTE,CetaglZj6n,RRT 
[37156] BUY,CetaglZj6n,JTX,282.50 
[37218] COMMIT_BUY,CetaglZj6n 
[37333] SET_SELL_TRIGGER,CetaglZj6n,FPV,187.73 
[37421] ADD,CetaglZj6n,81968.15 
[37804] COMMIT_BUY,CetaglZj6n 
[37806] BUY,CetaglZj6n,QNK,625.28 
[37904] COMMIT_BUY,CetaglZj6n 
[37962] QUOTE,CetaglZj6n,FWW 
[38055] SET_BUY_TRIGGER,CetaglZj6n,SIK,159.57 
[38240] SELL,CetaglZj6n,EBS,592.15 
[38291] COMMIT_SELL,CetaglZj6n 
[38302] ADD,CetaglZj6n,74754.26 
[38308] QUOTE,CetaglZj6n,DBC 
[38311] BUY,CetaglZj6n,PCR,622.24 
[38357] COMMIT_BUY,CetaglZj6n 
[38368] ADD,CetaglZj6n,70480.94 
[38493] SET_SELL_TRIGGER,CetaglZj6n,WRJ,55.87 
[38546] ADD,CetaglZj6n,75077.77 
[38607] QUOTE,CetaglZj6n,FFI 
[38827] BUY,CetaglZj6n,NSN,697.44 
[38839] BUY,CetaglZj6n,SYU,191.55 
[38842] COMMIT_BUY,CetaglZj6n 
[38876] DISPLAY_SUMMARY,CetaglZj6n 
[39095] SET_BUY_AMOUNT,CetaglZj6n,QJZ,632.37 
[39108] SET_BUY_TRIGGER,CetaglZj6n,NJF,146.32 
[39163] SELL,CetaglZj6n,GYF,739.36 
[39225] CANCEL_SET_SELL,CetaglZj6n,HZP 
[39249] SET_SELL_TRIGGER,CetaglZj6n,FRB,6.65 
[39342] DISPLAY_SUMMARY,CetaglZj6n 
[39382] QUOTE,CetaglZj6n,ZOT 
[39476] QUOTE,CetaglZj6n,MQF 
[39540] SET_BUY_TRIGGER,CetaglZj6n,KEV,82.82 
[39565] SET_BUY_TRIGGER,CetaglZj6n,VNN,5.22 
[39736] QUOTE,CetaglZj6n,CLQ 
[39746] BUY,CetaglZj6n,PDX,708.87 
[40167] SELL,CetaglZj6n,PTP,301.19 
[40271] BUY,CetaglZj6n,PTC,675.97 
[40309] CANCEL_SET_BUY,CetaglZj6n,GCW 
[40381] DISPLAY_SUMMARY,CetaglZj6n 
[40487] ADD,CetaglZj6n,38598.29 
[40531] CANCEL_SET_SELL,CetaglZj6n,JCL 
[40617] ADD,CetaglZj6n,74422.81 
[40682] QUOTE,CetaglZj6n,OBR 
[40849] BUY,CetaglZj6n,GWF,251.31 
[40887] QUOTE,CetaglZj6n,NIR 
[41150] SET_BUY_TRIGGER,CetaglZj6n,OZO,130.30 
[41156] ADD,CetaglZj6n,56465.70 
[41230] BUY,CetaglZj6n,MSV,629.21 
[41531] COMMIT_BUY,CetaglZj6n 
[41601] DISPLAY_SUMMARY,CetaglZj6n 
[41657] ADD,CetaglZj6n,80461.28 
[41668] BUY,CetaglZj6n,VDP,396.14 
[41677] CANCEL_SELL,CetaglZj6n 
[41738] BUY,CetaglZj6n,EED,255.76 
[41797] CANCEL_SELL,CetaglZj6n 
[42143] ADD,CetaglZj6n,55977.18 
[42153] QUOTE,CetaglZj6n,OBR 
[42222] QUOTE,CetaglZj6n,FPI 
[42287] DISPLAY_SUMMARY,CetaglZj6n 
[42347] SET_SELL_TRIGGER,CetaglZj6n,LAM,0.57 
[42463] SELL,CetaglZj6n,EBS,521.55 
[42529] BUY,CetaglZj6n,JTX,88.07 
[42647] COMMIT_BUY,CetaglZj6n 
[42700] SET_BUY_TRIGGER,CetaglZj6n,SJZ,163.04 
[42784] SET_BUY_AMOUNT,CetaglZj6n,KES,279.23 
[42983] SET_BUY_TRIGGER,CetaglZj6n,WTL,3.83 
[43134] ADD,CetaglZj6n,62560.68 
[43148] BUY,CetaglZj6n,QWC,436.19 
[43311] SET_SELL_TRIGGER,CetaglZj6n,BFB,33.97 
[43313] ADD,CetaglZj6n,74191.61 
[43375] SET_BUY_AMOUNT,CetaglZj6n,BYA,351.67 
[43462] SET_BUY_TRIGGER,CetaglZj6n,YBP,174.05 
[43684] SET_BUY_TRIGGER,CetaglZj6n,QHF,114.07 
[43692] SET_SELL_TRIGGER,CetaglZj6n,QXW,158.88 
[43757] QUOTE,CetaglZj6n,ZRH 
[43802] BUY,CetaglZj6n,ZZD,607.46 
[43866] CANCEL_BUY,CetaglZj6n 
[43944] SET_SELL_TRIGGER,CetaglZj6n,ZAN,59.08 
[43970] SELL,CetaglZj6n,ZYR,171.21 
[44129] COMMIT_SELL,CetaglZj6n 
[44139] SET_SELL_AMOUNT,CetaglZj6n,QJZ,640.44 
[44141] CANCEL_SET_SELL,CetaglZj6n,QJZ 
[44185] SELL,CetaglZj6n,RGH,416.99 
[44339] COMMIT_SELL,CetaglZj6n 
[44406] ADD,CetaglZj6n,76110.71 
[44534] BUY,CetaglZj6n,IZJ,335.98 
[44566] COMMIT_BUY,CetaglZj6n 
[44691] SET_SELL_TRIGGER,CetaglZj6n,UFX,42.61 
[44947] ADD,CetaglZj6n,68780.04 
[45153] QUOTE,CetaglZj6n,LJZ 
[45272] QUOTE,CetaglZj6n,KVJ 
[45398] SET_BUY_TRIGGER,CetaglZj6n,AUX,19.27 
[45520] DISPLAY_SUMMARY,CetaglZj6n 
[45548] BUY,CetaglZj6n,RUN,143.89 
[45639] ADD,CetaglZj6n,91577.13 
[45719] QUOTE,CetaglZj6n,WJS 
[46027] BUY,CetaglZj6n,ZNZ,311.12 
[46133] COMMIT_BUY,CetaglZj6n 
[46167] SET_SELL_TRIGGER,CetaglZj6n,ZRJ,159.62 
[46192] ADD,CetaglZj6n,73816.38 
[46426] QUOTE,CetaglZj6n,SVV 
[46460] QUOTE,CetaglZj6n,APU 
[46640] SET_BUY_AMOUNT,CetaglZj6n,YJK,651.62 
[46697] SET_BUY_TRIGGER,CetaglZj6n,NUL,605.11 
[46824] QUOTE,CetaglZj6n,BHP 
[46965] COMMIT_SELL,CetaglZj6n 
[47006] QUOTE,CetaglZj6n,AUX 
[47015] BUY,CetaglZj6n,KQZ,268.28 
[47089] COMMIT_BUY,CetaglZj6n 
[47127] BUY,CetaglZj6n,GDO,564.98 
[47161] CANCEL_SELL,CetaglZj6n 
[47435] CANCEL_SET_BUY,CetaglZj6n,ALM 
[47470] ADD,CetaglZj6n,60064.91 
[47521] CANCEL_BUY,CetaglZj6n 
[47700] DISPLAY_SUMMARY,CetaglZj6n 
[47708] CANCEL_BUY,CetaglZj6n 
[47803] COMMIT_SELL,CetaglZj6n 
[47807] ADD,CetaglZj6n,73519.54 
[47812] QUOTE,CetaglZj6n,MWV 
[47880] QUOTE,CetaglZj6n,ILT 
[47947] BUY,CetaglZj6n,QAA,183.38 
[47968] COMMIT_BUY,CetaglZj6n 
[48233] DISPLAY_SUMMARY,CetaglZj6n 
[48276] BUY,CetaglZj6n,OOT,62.77 
[48440] SET_BUY_TRIGGER,CetaglZj6n,VKB,1.30 
[48447] ADD,CetaglZj6n,64036.69 
[48516] ADD,CetaglZj6n,74823.59 
[48545] QUOTE,CetaglZj6n,XLK 
[48549] BUY,CetaglZj6n,PXX,219.88 
[48733] SET_BUY_AMOUNT,CetaglZj6n,JCQ,136.89 
[48782] SET_BUY_TRIGGER,CetaglZj6n,DPG,20.34 
[48787] ADD,CetaglZj6n,64692.32 
[48901] SET_BUY_TRIGGER,CetaglZj6n,LVT,183.71 
[49026] DISPLAY_SUMMARY,CetaglZj6n 
[49132] SET_SELL_AMOUNT,CetaglZj6n,LFU,526.37 
[49282] SET_SELL_TRIGGER,CetaglZj6n,LFU,396.93 
[49337] ADD,CetaglZj6n,89857.39 
[49463] BUY,CetaglZj6n,HFI,59.82 
[49555] COMMIT_BUY,CetaglZj6n 
[49735] ADD,CetaglZj6n,75685.73 
[49904] QUOTE,CetaglZj6n,JFF 
[50409] BUY,CetaglZj6n,DBR,340.69 
[50482] SELL,CetaglZj6n,BYA,340.19 
[50562] COMMIT_SELL,CetaglZj6n 
[50730] ADD,CetaglZj6n,28878.52 
[50897] CANCEL_SELL,CetaglZj6n 
[51089] ADD,CetaglZj6n,65921.62 
[51143] QUOTE,CetaglZj6n,XME 
[51404] BUY,CetaglZj6n,NXF,450.40 
[51514] QUOTE,CetaglZj6n,PTP 
[51559] BUY,CetaglZj6n,ATE,417.28 
[51581] COMMIT_BUY,CetaglZj6n 
