[26] ADD,NmnabmB6tO,67303.69 
[3954] QUOTE,NmnabmB6tO,MOM 
[3988] DISPLAY_SUMMARY,NmnabmB6tO 
[4253] CANCEL_SELL,NmnabmB6tO 
[4283] DISPLAY_SUMMARY,NmnabmB6tO 
[4290] SET_SELL_AMOUNT,NmnabmB6tO,FQP,305.85 
[4438] SET_SELL_TRIGGER,NmnabmB6tO,FQP,263.37 
[4469] ADD,NmnabmB6tO,83849.13 
[4538] QUOTE,NmnabmB6tO,NAW 
[4884] SET_BUY_TRIGGER,NmnabmB6tO,MIQ,102.44 
[4962] ADD,NmnabmB6tO,72001.43 
[5025] CANCEL_SET_BUY,NmnabmB6tO,YTT 
[5206] ADD,NmnabmB6tO,79638.73 
[5232] QUOTE,NmnabmB6tO,YWC 
[5778] DISPLAY_SUMMARY,NmnabmB6tO 
[5867] SET_BUY_AMOUNT,NmnabmB6tO,KDA,284.36 
[6075] SET_BUY_TRIGGER,NmnabmB6tO,UUJ,141.19 
[6166] BUY,NmnabmB6tO,NDJ,691.12 
[6187] CANCEL_SET_SELL,NmnabmB6tO,OOV 
[6226] CANCEL_SELL,NmnabmB6tO 
[6260] SET_BUY_AMOUNT,NmnabmB6tO,QJZ,177.69 
[6287] SET_BUY_TRIGGER,NmnabmB6tO,EAK,10.10 
[6292] QUOTE,NmnabmB6tO,OLI 
[6602] SET_SELL_AMOUNT,NmnabmB6tO,KDA,13.68 
[6850] QUOTE,NmnabmB6tO,FUR 
[6876] BUY,NmnabmB6tO,VSE,142.37 
[6879] COMMIT_BUY,NmnabmB6tO 
[6900] SET_BUY_AMOUNT,NmnabmB6tO,QJZ,224.13 
[6905] BUY,NmnabmB6tO,RRE,236.43 
[7066] COMMIT_BUY,NmnabmB6tO 
[7142] ADD,NmnabmB6tO,62121.57 
[7375] BUY,NmnabmB6tO,NHB,58.77 
[7405] COMMIT_BUY,NmnabmB6tO 
[7412] ADD,NmnabmB6tO,52855.86 
[7448] BUY,NmnabmB6tO,EED,514.56 
[7557] COMMIT_BUY,NmnabmB6tO 
[7736] BUY,NmnabmB6tO,JJW,338.59 
[7738] CANCEL_SET_SELL,NmnabmB6tO,KDA 
[7878] SET_BUY_AMOUNT,NmnabmB6tO,GYF,725.81 
[7962] SET_BUY_TRIGGER,NmnabmB6tO,KJH,435.61 
[7978] SET_BUY_TRIGGER,NmnabmB6tO,WLT,59.33 
[7979] ADD,NmnabmB6tO,64316.30 
[8042] DISPLAY_SUMMARY,NmnabmB6tO 
[8300] SET_SELL_TRIGGER,NmnabmB6tO,LEA,124.52 
[8341] BUY,NmnabmB6tO,JUE,382.47 
[8446] SET_BUY_AMOUNT,NmnabmB6tO,QJZ,408.50 
[8604] SET_BUY_TRIGGER,NmnabmB6tO,EBS,349.43 
[8725] QUOTE,NmnabmB6tO,YBO 
[8785] QUOTE,NmnabmB6tO,QID 
[8905] QUOTE,NmnabmB6tO,VVO 
[8961] BUY,NmnabmB6tO,UEC,482.24 
[8984] COMMIT_BUY,NmnabmB6tO 
[9002] SET_BUY_TRIGGER,NmnabmB6tO,PLB,29.50 
[9029] DISPLAY_SUMMARY,NmnabmB6tO 
[9080] QUOTE,NmnabmB6tO,QOQ 
[9094] BUY,NmnabmB6tO,IIX,113.20 
[9185] CANCEL_BUY,NmnabmB6tO 
[9275] ADD,NmnabmB6tO,64883.06 
[9288] QUOTE,NmnabmB6tO,BTP 
[9359] QUOTE,NmnabmB6tO,JKX 
[9451] SET_BUY_TRIGGER,NmnabmB6tO,FYA,57.97 
[9452] ADD,NmnabmB6tO,57863.93 
[9499] BUY,NmnabmB6tO,HWO,208.97 
[9639] CANCEL_SELL,NmnabmB6tO 
[9847] QUOTE,NmnabmB6tO,EYY 
[9937] QUOTE,NmnabmB6tO,CUZ 
[9969] SET_SELL_AMOUNT,NmnabmB6tO,KES,258.26 
[9970] SET_SELL_TRIGGER,NmnabmB6tO,KES,156.38 
[9971] ADD,NmnabmB6tO,64647.18 
[9976] SELL,NmnabmB6tO,KES,539.48 
[9984] CANCEL_SET_BUY,NmnabmB6tO,YPW 
[10157] CANCEL_SET_SELL,NmnabmB6tO,QLM 
[10244] DISPLAY_SUMMARY,NmnabmB6tO 
[10348] DISPLAY_SUMMARY,NmnabmB6tO 
[10452] BUY,NmnabmB6tO,ZQC,568.69 
[10628] COMMIT_BUY,NmnabmB6tO 
[10683] ADD,NmnabmB6tO,58366.86 
[10753] SET_SELL_AMOUNT,NmnabmB6tO,FQP,324.73 
[10769] SET_SELL_TRIGGER,NmnabmB6tO,FQP,25.76 
[10843] SET_BUY_AMOUNT,NmnabmB6tO,JRJ,215.28 
[10847] SET_BUY_TRIGGER,NmnabmB6tO,WAI,170.01 
[10861] SELL,NmnabmB6tO,FQP,539.43 
[10950] COMMIT_SELL,NmnabmB6tO 
[11016] BUY,NmnabmB6tO,UUJ,213.64 
[11161] SELL,NmnabmB6tO,GYF,61.62 
[11163] SELL,NmnabmB6tO,JVT,610.61 
[11291] BUY,NmnabmB6tO,WGV,532.66 
[11490] COMMIT_BUY,NmnabmB6tO 
[11534] SET_BUY_TRIGGER,NmnabmB6tO,NAR,50.92 
[11740] ADD,NmnabmB6tO,102785.98 
[11843] BUY,NmnabmB6tO,GIK,372.33 
[11886] COMMIT_BUY,NmnabmB6tO 
[12067] SET_BUY_TRIGGER,NmnabmB6tO,BMQ,147.98 
[12170] ADD,NmnabmB6tO,71178.95 
[12331] QUOTE,NmnabmB6tO,VMK 
[12342] BUY,NmnabmB6tO,NUV,591.13 
[12344] COMMIT_SELL,NmnabmB6tO 
[12492] ADD,NmnabmB6tO,49984.34 
[12508] BUY,NmnabmB6tO,HSJ,581.13 
[12580] COMMIT_BUY,NmnabmB6tO 
[12867] ADD,NmnabmB6tO,45891.72 
[12976] BUY,NmnabmB6tO,BHJ,125.70 
[12984] CANCEL_SET_SELL,NmnabmB6tO,ZEU 
[13242] DISPLAY_SUMMARY,NmnabmB6tO 
[13277] DISPLAY_SUMMARY,NmnabmB6tO 
[13460] ADD,NmnabmB6tO,79928.74 
[13468] QUOTE,NmnabmB6tO,KRY 
[13667] SET_SELL_AMOUNT,NmnabmB6tO,EBS,62.03 
[13740] SET_SELL_TRIGGER,NmnabmB6tO,EBS,43.40 
[13910] CANCEL_BUY,NmnabmB6tO 
[14026] ADD,NmnabmB6tO,89987.73 
[14056] QUOTE,NmnabmB6tO,SSL 
[14130] BUY,NmnabmB6tO,GTN,346.89 
[14159] DISPLAY_SUMMARY,NmnabmB6tO 
[14179] ADD,NmnabmB6tO,64658.41 
[14234] BUY,NmnabmB6tO,WSR,624.50 
[14408] SET_BUY_AMOUNT,NmnabmB6tO,UTV,502.66 
[14458] SET_BUY_TRIGGER,NmnabmB6tO,ZKV,411.42 
[14511] SET_SELL_AMOUNT,NmnabmB6tO,QJZ,506.05 
[14557] SET_SELL_TRIGGER,NmnabmB6tO,QJZ,417.36 
[14801] QUOTE,NmnabmB6tO,NHG 
[14849] CANCEL_SET_SELL,NmnabmB6tO,NZS 
[14894] DISPLAY_SUMMARY,NmnabmB6tO 
[15197] ADD,NmnabmB6tO,89340.26 
[15207] QUOTE,NmnabmB6tO,UMN 
[15309] SET_BUY_AMOUNT,NmnabmB6tO,OEY,643.62 
[15365] DISPLAY_SUMMARY,NmnabmB6tO 
[15366] DISPLAY_SUMMARY,NmnabmB6tO 
[15405] SET_BUY_TRIGGER,NmnabmB6tO,NUL,127.89 
[15579] DISPLAY_SUMMARY,NmnabmB6tO 
[15602] ADD,NmnabmB6tO,60053.05 
[15832] QUOTE,NmnabmB6tO,JII 
[15912] BUY,NmnabmB6tO,MHQ,544.78 
[15942] COMMIT_BUY,NmnabmB6tO 
[16444] ADD,NmnabmB6tO,66010.46 
[16584] QUOTE,NmnabmB6tO,WNH 
[16762] SET_SELL_TRIGGER,NmnabmB6tO,RVZ,101.44 
[16858] ADD,NmnabmB6tO,71251.84 
[17079] QUOTE,NmnabmB6tO,ARP 
[17101] ADD,NmnabmB6tO,69588.45 
[17321] CANCEL_BUY,NmnabmB6tO 
[17327] BUY,NmnabmB6tO,MGO,340.41 
[17684] COMMIT_BUY,NmnabmB6tO 
[17796] DISPLAY_SUMMARY,NmnabmB6tO 
[17951] DISPLAY_SUMMARY,NmnabmB6tO 
[17971] QUOTE,NmnabmB6tO,LSM 
[18338] SELL,NmnabmB6tO,EBS,39.17 
[18380] QUOTE,NmnabmB6tO,IVV 
[18423] SET_BUY_AMOUNT,NmnabmB6tO,FQP,381.03 
[18429] SET_BUY_TRIGGER,NmnabmB6tO,MIU,303.83 
[18471] DISPLAY_SUMMARY,NmnabmB6tO 
[18516] ADD,NmnabmB6tO,77468.21 
[18523] QUOTE,NmnabmB6tO,NGB 
[18566] SET_BUY_TRIGGER,NmnabmB6tO,OBO,48.66 
[18608] DISPLAY_SUMMARY,NmnabmB6tO 
[18611] ADD,NmnabmB6tO,92791.68 
[18881] QUOTE,NmnabmB6tO,MRH 
[19106] SET_BUY_AMOUNT,NmnabmB6tO,GYF,549.32 
[19176] SELL,NmnabmB6tO,NHG,172.16 
[19250] COMMIT_SELL,NmnabmB6tO 
[19261] ADD,NmnabmB6tO,65595.86 
[19366] QUOTE,NmnabmB6tO,DHA 
[19442] QUOTE,NmnabmB6tO,GSW 
[19555] BUY,NmnabmB6tO,HPN,459.43 
[19789] CANCEL_BUY,NmnabmB6tO 
[19978] BUY,NmnabmB6tO,HQU,368.30 
[20040] COMMIT_SELL,NmnabmB6tO 
[20146] QUOTE,NmnabmB6tO,KHY 
[20314] BUY,NmnabmB6tO,HWO,493.75 
[20315] CANCEL_SET_BUY,NmnabmB6tO,ZNW 
[20409] SET_SELL_TRIGGER,NmnabmB6tO,BDX,33.85 
[20515] DISPLAY_SUMMARY,NmnabmB6tO 
[20746] SET_SELL_AMOUNT,NmnabmB6tO,KDA,89.43 
[20846] SET_SELL_TRIGGER,NmnabmB6tO,KDA,6.03 
[21013] SELL,NmnabmB6tO,GYF,717.47 
[21025] SET_BUY_AMOUNT,NmnabmB6tO,JQO,541.74 
[21056] DISPLAY_SUMMARY,NmnabmB6tO 
[21149] ADD,NmnabmB6tO,65663.48 
[21157] BUY,NmnabmB6tO,VAT,746.21 
[21214] SET_SELL_TRIGGER,NmnabmB6tO,HTN,124.45 
[21238] SET_SELL_AMOUNT,NmnabmB6tO,NHG,639.73 
[21315] SET_SELL_TRIGGER,NmnabmB6tO,NHG,147.75 
[21331] BUY,NmnabmB6tO,ILT,93.50 
[21404] COMMIT_BUY,NmnabmB6tO 
[21460] QUOTE,NmnabmB6tO,SYL 
[21559] BUY,NmnabmB6tO,GAL,133.81 
[21655] COMMIT_BUY,NmnabmB6tO 
[21670] DISPLAY_SUMMARY,NmnabmB6tO 
[21690] SET_BUY_TRIGGER,NmnabmB6tO,WSG,210.14 
[21939] SET_BUY_AMOUNT,NmnabmB6tO,QJZ,384.41 
[21976] SET_BUY_TRIGGER,NmnabmB6tO,NLT,158.91 
[22024] SET_SELL_TRIGGER,NmnabmB6tO,FPV,83.78 
[22132] SELL,NmnabmB6tO,KDA,401.79 
[22155] CANCEL_BUY,NmnabmB6tO 
[22364] QUOTE,NmnabmB6tO,FUF 
[22408] ADD,NmnabmB6tO,46845.34 
[22479] COMMIT_BUY,NmnabmB6tO 
[22499] SELL,NmnabmB6tO,GYF,224.92 
[22565] COMMIT_BUY,NmnabmB6tO 
[22680] SET_BUY_AMOUNT,NmnabmB6tO,UTV,104.52 
[22870] SET_BUY_TRIGGER,NmnabmB6tO,YEH,36.45 
[22876] BUY,NmnabmB6tO,FZU,745.10 
[23108] SELL,NmnabmB6tO,KES,157.05 
[23113] COMMIT_SELL,NmnabmB6tO 
[23173] QUOTE,NmnabmB6tO,FCH 
[23402] SET_BUY_AMOUNT,NmnabmB6tO,NHG,208.72 
[23454] SET_BUY_TRIGGER,NmnabmB6tO,TYV,179.62 
[23635] DISPLAY_SUMMARY,NmnabmB6tO 
[23856] SELL,NmnabmB6tO,JVT,697.14 
[23924] COMMIT_SELL,NmnabmB6tO 
[23955] DISPLAY_SUMMARY,NmnabmB6tO 
[24101] SELL,NmnabmB6tO,JVT,251.97 
[24355] CANCEL_SELL,NmnabmB6tO 
[24388] ADD,NmnabmB6tO,68529.21 
[24603] COMMIT_BUY,NmnabmB6tO 
[24851] QUOTE,NmnabmB6tO,FUF 
[24868] CANCEL_SET_BUY,NmnabmB6tO,ZZD 
[24881] DISPLAY_SUMMARY,NmnabmB6tO 
[24888] DISPLAY_SUMMARY,NmnabmB6tO 
[24895] SET_BUY_AMOUNT,NmnabmB6tO,KES,443.64 
[25002] SELL,NmnabmB6tO,EBS,382.49 
[25025] SET_SELL_TRIGGER,NmnabmB6tO,QTH,34.70 
[25139] ADD,NmnabmB6tO,72899.38 
[25610] QUOTE,NmnabmB6tO,FOW 
[25628] SET_BUY_AMOUNT,NmnabmB6tO,JRJ,420.11 
[25715] SET_BUY_TRIGGER,NmnabmB6tO,AOH,327.70 
[25797] DISPLAY_SUMMARY,NmnabmB6tO 
[26032] SET_BUY_AMOUNT,NmnabmB6tO,GYF,146.58 
[26129] SET_BUY_TRIGGER,NmnabmB6tO,ZSV,25.79 
[26217] DISPLAY_SUMMARY,NmnabmB6tO 
[26281] DISPLAY_SUMMARY,NmnabmB6tO 
[26325] SELL,NmnabmB6tO,JQO,34.58 
[26492] COMMIT_SELL,NmnabmB6tO 
[26928] ADD,NmnabmB6tO,78891.71 
[27175] SET_BUY_TRIGGER,NmnabmB6tO,HVE,132.97 
[27276] ADD,NmnabmB6tO,49329.17 
[27291] QUOTE,NmnabmB6tO,BTA 
[27298] BUY,NmnabmB6tO,LSM,261.62 
[27323] QUOTE,NmnabmB6tO,LVV 
[27456] SET_SELL_TRIGGER,NmnabmB6tO,PUC,88.35 
[27481] QUOTE,NmnabmB6tO,JVT 
[27542] CANCEL_SET_SELL,NmnabmB6tO,AVI 
[27620] SET_SELL_AMOUNT,NmnabmB6tO,CUZ,256.81 
[27686] SET_SELL_TRIGGER,NmnabmB6tO,CUZ,68.42 
[27741] SET_BUY_AMOUNT,NmnabmB6tO,CUZ,159.16 
[27761] SELL,NmnabmB6tO,QAX,320.27 
[27875] CANCEL_SET_SELL,NmnabmB6tO,ZAN 
[27883] DISPLAY_SUMMARY,NmnabmB6tO 
[27930] DISPLAY_SUMMARY,NmnabmB6tO 
[28317] BUY,NmnabmB6tO,QPR,488.47 
[28532] COMMIT_BUY,NmnabmB6tO 
[28567] QUOTE,NmnabmB6tO,SVV 
[28568] SET_BUY_TRIGGER,NmnabmB6tO,SQI,7.92 
[28607] QUOTE,NmnabmB6tO,APU 
[28638] BUY,NmnabmB6tO,JDO,673.25 
[28703] COMMIT_BUY,NmnabmB6tO 
[28854] ADD,NmnabmB6tO,75572.59 
[28879] QUOTE,NmnabmB6tO,JZJ 
[28998] QUOTE,NmnabmB6tO,LGL 
[29024] BUY,NmnabmB6tO,EIK,443.52 
[29054] CANCEL_BUY,NmnabmB6tO 
[29180] ADD,NmnabmB6tO,45035.60 
[29270] QUOTE,NmnabmB6tO,SFR 
[29363] BUY,NmnabmB6tO,BEG,659.04 
[29488] CANCEL_SET_BUY,NmnabmB6tO,MIY 
[29493] SELL,NmnabmB6tO,KDA,280.56 
[29526] ADD,NmnabmB6tO,70074.00 
[29546] BUY,NmnabmB6tO,ILT,229.74 
[29734] CANCEL_BUY,NmnabmB6tO 
[29863] BUY,NmnabmB6tO,APY,673.44 
[29872] COMMIT_BUY,NmnabmB6tO 
[29921] QUOTE,NmnabmB6tO,UMV 
[29983] QUOTE,NmnabmB6tO,ZNZ 
[30005] BUY,NmnabmB6tO,TVP,283.19 
[30084] COMMIT_BUY,NmnabmB6tO 
[30195] ADD,NmnabmB6tO,78737.70 
[30247] BUY,NmnabmB6tO,JUV,3.40 
[30432] CANCEL_SET_SELL,NmnabmB6tO,SKY 
[30485] QUOTE,NmnabmB6tO,QVA 
[30744] QUOTE,NmnabmB6tO,OLH 
[30843] BUY,NmnabmB6tO,CUQ,598.81 
[30990] ADD,NmnabmB6tO,41638.51 
[31039] BUY,NmnabmB6tO,QOQ,171.09 
[31042] COMMIT_BUY,NmnabmB6tO 
[31047] BUY,NmnabmB6tO,TTY,52.93 
[31531] CANCEL_SET_SELL,NmnabmB6tO,XUH 
[31630] ADD,NmnabmB6tO,72574.90 
[31748] BUY,NmnabmB6tO,GPM,645.96 
[31886] QUOTE,NmnabmB6tO,RWM 
[32270] BUY,NmnabmB6tO,JEO,402.25 
[32361] COMMIT_BUY,NmnabmB6tO 
[32440] QUOTE,NmnabmB6tO,AUT 
[32497] DISPLAY_SUMMARY,NmnabmB6tO 
[32554] DISPLAY_SUMMARY,NmnabmB6tO 
[32856] BUY,NmnabmB6tO,BZX,405.90 
[33069] COMMIT_BUY,NmnabmB6tO 
[33124] QUOTE,NmnabmB6tO,XWZ 
[33226] SET_SELL_TRIGGER,NmnabmB6tO,AOH,37.62 
[33419] CANCEL_SELL,NmnabmB6tO 
[33456] QUOTE,NmnabmB6tO,ZFT 
[33544] ADD,NmnabmB6tO,79841.97 
[33736] QUOTE,NmnabmB6tO,CXB 
[33769] BUY,NmnabmB6tO,HBF,724.24 
[33788] SELL,NmnabmB6tO,JQO,496.87 
[33850] COMMIT_SELL,NmnabmB6tO 
[33854] DISPLAY_SUMMARY,NmnabmB6tO 
[33982] QUOTE,NmnabmB6tO,FIW 
[34132] BUY,NmnabmB6tO,NDJ,367.57 
[34201] COMMIT_BUY,NmnabmB6tO 
[34239] ADD,NmnabmB6tO,55952.82 
[34396] QUOTE,NmnabmB6tO,RXB 
[34706] ADD,NmnabmB6tO,64062.09 
[34743] SET_SELL_AMOUNT,NmnabmB6tO,YJK,14.54 
[34774] SET_SELL_TRIGGER,NmnabmB6tO,YJK,14.33 
[34897] DISPLAY_SUMMARY,NmnabmB6tO 
[35478] SET_BUY_AMOUNT,NmnabmB6tO,XXQ,273.53 
[35509] DISPLAY_SUMMARY,NmnabmB6tO 
[35621] ADD,NmnabmB6tO,75680.12 
[35695] BUY,NmnabmB6tO,JNO,438.82 
[35867] COMMIT_BUY,NmnabmB6tO 
[36050] SET_BUY_AMOUNT,NmnabmB6tO,QAX,75.75 
[36052] SET_BUY_TRIGGER,NmnabmB6tO,COE,48.96 
[36071] ADD,NmnabmB6tO,74985.13 
[36149] QUOTE,NmnabmB6tO,KJD 
[36230] COMMIT_BUY,NmnabmB6tO 
[36246] SET_BUY_TRIGGER,NmnabmB6tO,GGY,159.56 
[36395] SET_BUY_AMOUNT,NmnabmB6tO,LFU,518.11 
[36531] SET_BUY_TRIGGER,NmnabmB6tO,ENQ,99.58 
[36716] BUY,NmnabmB6tO,XOA,271.96 
[36720] CANCEL_BUY,NmnabmB6tO 
[36793] SELL,NmnabmB6tO,DFE,387.71 
[36799] COMMIT_SELL,NmnabmB6tO 
[36858] SET_BUY_AMOUNT,NmnabmB6tO,BCQ,565.36 
[36901] CANCEL_SET_BUY,NmnabmB6tO,ZLY 
[36945] SET_BUY_AMOUNT,NmnabmB6tO,JRJ,683.99 
[36982] SET_BUY_TRIGGER,NmnabmB6tO,SKY,2.05 
[37090] DISPLAY_SUMMARY,NmnabmB6tO 
[37122] DISPLAY_SUMMARY,NmnabmB6tO 
[37129] SET_SELL_AMOUNT,NmnabmB6tO,KES,270.81 
[37206] QUOTE,NmnabmB6tO,SSW 
[37367] BUY,NmnabmB6tO,MLU,538.64 
[37489] COMMIT_BUY,NmnabmB6tO 
[37513] DISPLAY_SUMMARY,NmnabmB6tO 
[37543] SELL,NmnabmB6tO,ZAN,252.40 
[37553] COMMIT_SELL,NmnabmB6tO 
[37570] ADD,NmnabmB6tO,74669.17 
[37621] QUOTE,NmnabmB6tO,KQZ 
[37985] SET_BUY_AMOUNT,NmnabmB6tO,GYF,144.45 
[38053] DISPLAY_SUMMARY,NmnabmB6tO 
[38137] ADD,NmnabmB6tO,57262.58 
[38334] BUY,NmnabmB6tO,GCL,242.32 
[38367] COMMIT_BUY,NmnabmB6tO 
[38581] CANCEL_SET_SELL,NmnabmB6tO,KES 
[38696] DISPLAY_SUMMARY,NmnabmB6tO 
[38800] ADD,NmnabmB6tO,74722.20 
[38889] QUOTE,NmnabmB6tO,MIU 
[38941] ADD,NmnabmB6tO,71249.61 
[38986] CANCEL_SET_SELL,NmnabmB6tO,ECX 
[39093] SET_BUY_TRIGGER,NmnabmB6tO,RWY,61.83 
[39229] SET_SELL_AMOUNT,NmnabmB6tO,KES,534.03 
[39449] SET_SELL_TRIGGER,NmnabmB6tO,KES,519.71 
[39562] DISPLAY_SUMMARY,NmnabmB6tO 
[39976] ADD,NmnabmB6tO,102890.59 
[40020] QUOTE,NmnabmB6tO,OBR 
[40108] COMMIT_BUY,NmnabmB6tO 
[40327] ADD,NmnabmB6tO,55957.22 
[40586] CANCEL_SELL,NmnabmB6tO 
[40733] ADD,NmnabmB6tO,68450.64 
[40787] BUY,NmnabmB6tO,JUJ,326.99 
[40885] COMMIT_BUY,NmnabmB6tO 
[41117] SET_SELL_AMOUNT,NmnabmB6tO,ZTI,653.82 
[41149] SET_SELL_TRIGGER,NmnabmB6tO,ZTI,365.02 
[41172] SET_BUY_AMOUNT,NmnabmB6tO,NHG,693.97 
[41261] SET_BUY_TRIGGER,NmnabmB6tO,BPK,670.10 
[41268] ADD,NmnabmB6tO,70196.93 
[41517] QUOTE,NmnabmB6tO,TUO 
[41634] SET_SELL_AMOUNT,NmnabmB6tO,RNK,419.07 
[41648] SET_SELL_TRIGGER,NmnabmB6tO,RNK,131.04 
[41659] SELL,NmnabmB6tO,BYA,288.55 
[41955] COMMIT_SELL,NmnabmB6tO 
[41972] SET_SELL_AMOUNT,NmnabmB6tO,KDA,269.02 
[42038] SET_SELL_TRIGGER,NmnabmB6tO,KDA,118.03 
[42198] SET_BUY_TRIGGER,NmnabmB6tO,GLJ,165.71 
[42221] SELL,NmnabmB6tO,QAX,392.38 
[42239] COMMIT_SELL,NmnabmB6tO 
[42283] SET_SELL_AMOUNT,NmnabmB6tO,QJZ,317.08 
[42338] CANCEL_SET_SELL,NmnabmB6tO,QJZ 
[42413] DISPLAY_SUMMARY,NmnabmB6tO 
[42594] SELL,NmnabmB6tO,CUZ,440.05 
[42596] CANCEL_SET_SELL,NmnabmB6tO,VIK 
[42772] ADD,NmnabmB6tO,77097.47 
[42806] BUY,NmnabmB6tO,XFW,508.77 
[42926] CANCEL_SELL,NmnabmB6tO 
[42950] QUOTE,NmnabmB6tO,CAX 
[43073] QUOTE,NmnabmB6tO,PMX 
[43213] BUY,NmnabmB6tO,KLE,241.16 
[43312] COMMIT_BUY,NmnabmB6tO 
[43549] BUY,NmnabmB6tO,KHD,13.09 
[43610] QUOTE,NmnabmB6tO,JVT 
[43685] ADD,NmnabmB6tO,72741.78 
[43700] QUOTE,NmnabmB6tO,LZB 
[43736] COMMIT_BUY,NmnabmB6tO 
[43826] SET_BUY_AMOUNT,NmnabmB6tO,KES,42.58 
[44060] SET_BUY_TRIGGER,NmnabmB6tO,NKC,16.76 
[44165] BUY,NmnabmB6tO,IDN,276.35 
[44277] COMMIT_BUY,NmnabmB6tO 
[44395] SET_BUY_TRIGGER,NmnabmB6tO,CTI,60.66 
[44398] SET_BUY_TRIGGER,NmnabmB6tO,IFI,107.64 
[44454] SET_SELL_AMOUNT,NmnabmB6tO,RGH,62.08 
[44920] DISPLAY_SUMMARY,NmnabmB6tO 
[44942] SELL,NmnabmB6tO,LFU,333.18 
[45005] SET_BUY_TRIGGER,NmnabmB6tO,DQW,166.71 
[45111] SET_BUY_TRIGGER,NmnabmB6tO,VVV,167.47 
[45173] CANCEL_SELL,NmnabmB6tO 
[45218] ADD,NmnabmB6tO,86154.99 
[45224] BUY,NmnabmB6tO,AJL,380.69 
[45303] CANCEL_BUY,NmnabmB6tO 
[45381] SELL,NmnabmB6tO,CUZ,165.01 
[45450] COMMIT_SELL,NmnabmB6tO 
[45560] ADD,NmnabmB6tO,70960.23 
[45781] DISPLAY_SUMMARY,NmnabmB6tO 
[45885] DISPLAY_SUMMARY,NmnabmB6tO 
[45906] SET_BUY_TRIGGER,NmnabmB6tO,YBO,23.52 
[45912] SET_BUY_TRIGGER,NmnabmB6tO,LGL,43.15 
[45939] QUOTE,NmnabmB6tO,HIW 
[45958] BUY,NmnabmB6tO,SWJ,104.27 
[46376] COMMIT_BUY,NmnabmB6tO 
[46479] SELL,NmnabmB6tO,XLK,503.06 
[46498] BUY,NmnabmB6tO,XNZ,169.13 
[46658] SET_SELL_TRIGGER,NmnabmB6tO,RGH,48.83 
[46683] ADD,NmnabmB6tO,85846.50 
[46712] BUY,NmnabmB6tO,MIU,514.73 
[46938] COMMIT_BUY,NmnabmB6tO 
[47150] DISPLAY_SUMMARY,NmnabmB6tO 
[47153] SET_SELL_TRIGGER,NmnabmB6tO,XAB,129.98 
[47169] DISPLAY_SUMMARY,NmnabmB6tO 
[47436] SET_BUY_TRIGGER,NmnabmB6tO,EDM,83.29 
[47771] DISPLAY_SUMMARY,NmnabmB6tO 
[47893] SET_SELL_TRIGGER,NmnabmB6tO,LPR,9.06 
[47998] DISPLAY_SUMMARY,NmnabmB6tO 
