[33] ADD,69DAEr1YIe,73268.56 
[5233] COMMIT_SELL,69DAEr1YIe 
[5310] BUY,69DAEr1YIe,CWA,79.86 
[5625] BUY,69DAEr1YIe,VSE,578.56 
[5644] COMMIT_BUY,69DAEr1YIe 
[5654] ADD,69DAEr1YIe,91910.97 
[5680] QUOTE,69DAEr1YIe,TAR 
[5705] COMMIT_SELL,69DAEr1YIe 
[5774] SELL,69DAEr1YIe,FQP,530.17 
[5930] COMMIT_BUY,69DAEr1YIe 
[6105] QUOTE,69DAEr1YIe,ZQW 
[6392] SELL,69DAEr1YIe,QJZ,459.65 
[6403] CANCEL_SET_BUY,69DAEr1YIe,DPG 
[6418] SELL,69DAEr1YIe,QJZ,325.02 
[6551] QUOTE,69DAEr1YIe,ZUV 
[6562] BUY,69DAEr1YIe,ZAN,697.20 
[6749] COMMIT_BUY,69DAEr1YIe 
[7242] SELL,69DAEr1YIe,QJZ,503.62 
[7282] SET_SELL_TRIGGER,69DAEr1YIe,FNY,162.07 
[7361] QUOTE,69DAEr1YIe,VJB 
[7471] SET_BUY_TRIGGER,69DAEr1YIe,NBX,106.91 
[7495] QUOTE,69DAEr1YIe,AXK 
[7589] ADD,69DAEr1YIe,52036.41 
[7643] QUOTE,69DAEr1YIe,NAW 
[8294] CANCEL_SELL,69DAEr1YIe 
[8357] CANCEL_SET_SELL,69DAEr1YIe,LHC 
[8383] SET_BUY_AMOUNT,69DAEr1YIe,FQP,518.25 
[8406] SET_BUY_TRIGGER,69DAEr1YIe,GGI,500.25 
[8503] ADD,69DAEr1YIe,60196.62 
[8626] QUOTE,69DAEr1YIe,FOV 
[8740] BUY,69DAEr1YIe,IOY,737.19 
[8804] COMMIT_BUY,69DAEr1YIe 
[8860] BUY,69DAEr1YIe,SYT,418.03 
[8958] COMMIT_BUY,69DAEr1YIe 
[8996] SELL,69DAEr1YIe,FQP,560.49 
[9009] COMMIT_SELL,69DAEr1YIe 
[9030] SET_SELL_TRIGGER,69DAEr1YIe,AIN,75.57 
[9059] ADD,69DAEr1YIe,100325.99 
[9192] BUY,69DAEr1YIe,ATW,440.54 
[9225] COMMIT_BUY,69DAEr1YIe 
[9245] SET_SELL_TRIGGER,69DAEr1YIe,RDK,181.41 
[9365] COMMIT_BUY,69DAEr1YIe 
[9450] SET_BUY_AMOUNT,69DAEr1YIe,JVT,679.02 
[9572] SET_BUY_TRIGGER,69DAEr1YIe,JIO,567.10 
[9713] SET_SELL_TRIGGER,69DAEr1YIe,AQO,182.15 
[9808] SET_BUY_AMOUNT,69DAEr1YIe,JVT,211.61 
[9853] SET_BUY_TRIGGER,69DAEr1YIe,GCW,82.58 
[10098] CANCEL_BUY,69DAEr1YIe 
[10173] SET_SELL_AMOUNT,69DAEr1YIe,OEY,279.18 
[10316] SET_SELL_TRIGGER,69DAEr1YIe,OEY,44.54 
[10407] ADD,69DAEr1YIe,47839.09 
[10758] CANCEL_SELL,69DAEr1YIe 
[10763] SELL,69DAEr1YIe,KDA,696.59 
[10824] COMMIT_SELL,69DAEr1YIe 
[11165] SET_BUY_AMOUNT,69DAEr1YIe,QJZ,51.85 
[11251] DISPLAY_SUMMARY,69DAEr1YIe 
[11861] ADD,69DAEr1YIe,56541.88 
[11873] BUY,69DAEr1YIe,JGF,742.58 
[12071] SET_SELL_AMOUNT,69DAEr1YIe,OEY,496.46 
[12085] SELL,69DAEr1YIe,KES,376.38 
[12159] DISPLAY_SUMMARY,69DAEr1YIe 
[12233] CANCEL_SET_SELL,69DAEr1YIe,OEY 
[12339] DISPLAY_SUMMARY,69DAEr1YIe 
[12386] SELL,69DAEr1YIe,KES,116.05 
[12422] COMMIT_SELL,69DAEr1YIe 
[12596] SET_BUY_TRIGGER,69DAEr1YIe,PDB,45.23 
[12734] BUY,69DAEr1YIe,YRL,282.07 
[12887] QUOTE,69DAEr1YIe,WQC 
[12908] CANCEL_SET_SELL,69DAEr1YIe,SOT 
[12946] ADD,69DAEr1YIe,92089.54 
[13237] BUY,69DAEr1YIe,MOM,415.15 
[13283] CANCEL_BUY,69DAEr1YIe 
[13312] ADD,69DAEr1YIe,47459.94 
[13318] QUOTE,69DAEr1YIe,GHE 
[13567] QUOTE,69DAEr1YIe,PFN 
[13677] SET_BUY_AMOUNT,69DAEr1YIe,KES,629.04 
[13868] CANCEL_SET_BUY,69DAEr1YIe,NXU 
[13980] ADD,69DAEr1YIe,62787.65 
[14025] BUY,69DAEr1YIe,WKL,128.70 
[14290] CANCEL_SET_BUY,69DAEr1YIe,JFJ 
[14302] DISPLAY_SUMMARY,69DAEr1YIe 
[14319] SELL,69DAEr1YIe,JVT,493.56 
[14398] CANCEL_SET_SELL,69DAEr1YIe,EDM 
[14440] SET_BUY_AMOUNT,69DAEr1YIe,JVT,126.79 
[14523] SET_BUY_TRIGGER,69DAEr1YIe,HSH,44.48 
[14628] ADD,69DAEr1YIe,69214.81 
[14783] QUOTE,69DAEr1YIe,WTL 
[14930] SELL,69DAEr1YIe,OEY,196.02 
[14961] COMMIT_SELL,69DAEr1YIe 
[15072] CANCEL_BUY,69DAEr1YIe 
[15146] DISPLAY_SUMMARY,69DAEr1YIe 
[15195] BUY,69DAEr1YIe,SSW,358.58 
[15340] COMMIT_BUY,69DAEr1YIe 
[15344] CANCEL_BUY,69DAEr1YIe 
[15356] CANCEL_SET_BUY,69DAEr1YIe,ALV 
[15373] BUY,69DAEr1YIe,QZN,747.38 
[15505] CANCEL_BUY,69DAEr1YIe 
[15616] DISPLAY_SUMMARY,69DAEr1YIe 
[15643] DISPLAY_SUMMARY,69DAEr1YIe 
[15680] SET_BUY_AMOUNT,69DAEr1YIe,KDA,339.15 
[15714] BUY,69DAEr1YIe,YUL,666.87 
[15797] COMMIT_BUY,69DAEr1YIe 
[16164] SET_SELL_AMOUNT,69DAEr1YIe,QJZ,336.07 
[16241] SET_SELL_TRIGGER,69DAEr1YIe,QJZ,215.82 
[16339] SET_SELL_TRIGGER,69DAEr1YIe,FKI,156.86 
[16495] DISPLAY_SUMMARY,69DAEr1YIe 
[16636] QUOTE,69DAEr1YIe,JII 
[16662] BUY,69DAEr1YIe,KZQ,376.53 
[16700] COMMIT_BUY,69DAEr1YIe 
[16977] CANCEL_BUY,69DAEr1YIe 
[17059] ADD,69DAEr1YIe,58662.04 
[17241] QUOTE,69DAEr1YIe,ZMK 
[17267] SET_SELL_TRIGGER,69DAEr1YIe,IIX,119.63 
[17293] DISPLAY_SUMMARY,69DAEr1YIe 
[17580] BUY,69DAEr1YIe,DLQ,54.52 
[17622] COMMIT_BUY,69DAEr1YIe 
[17663] ADD,69DAEr1YIe,104491.68 
[17672] QUOTE,69DAEr1YIe,NZS 
[17849] SET_SELL_TRIGGER,69DAEr1YIe,YEW,127.91 
[17950] SET_BUY_AMOUNT,69DAEr1YIe,KES,382.66 
[18010] CANCEL_SET_BUY,69DAEr1YIe,DES 
[18072] QUOTE,69DAEr1YIe,SDL 
[18189] ADD,69DAEr1YIe,79781.69 
[18221] QUOTE,69DAEr1YIe,KQZ 
[18263] CANCEL_SELL,69DAEr1YIe 
[18486] ADD,69DAEr1YIe,56232.53 
[18563] CANCEL_SELL,69DAEr1YIe 
[18612] ADD,69DAEr1YIe,80825.07 
[18732] QUOTE,69DAEr1YIe,SFR 
[18816] BUY,69DAEr1YIe,ZNL,321.56 
[18955] COMMIT_BUY,69DAEr1YIe 
[18997] SELL,69DAEr1YIe,JVT,607.91 
[19191] COMMIT_SELL,69DAEr1YIe 
[19224] BUY,69DAEr1YIe,IHW,32.64 
[19483] COMMIT_SELL,69DAEr1YIe 
[19734] CANCEL_SET_SELL,69DAEr1YIe,JGY 
[19753] SET_BUY_AMOUNT,69DAEr1YIe,JRJ,467.89 
[19994] SET_BUY_TRIGGER,69DAEr1YIe,MHI,21.08 
[20067] ADD,69DAEr1YIe,63931.95 
[20148] SET_BUY_TRIGGER,69DAEr1YIe,XYV,24.67 
[20392] SET_BUY_TRIGGER,69DAEr1YIe,DRP,126.69 
[20527] CANCEL_SET_SELL,69DAEr1YIe,QOQ 
[20584] QUOTE,69DAEr1YIe,ZWZ 
[20586] BUY,69DAEr1YIe,KKI,560.80 
[20603] COMMIT_BUY,69DAEr1YIe 
[20607] SELL,69DAEr1YIe,EBS,469.43 
[20608] COMMIT_SELL,69DAEr1YIe 
[20636] QUOTE,69DAEr1YIe,GUW 
[20836] ADD,69DAEr1YIe,55076.22 
[20864] BUY,69DAEr1YIe,YEH,213.94 
[21078] COMMIT_BUY,69DAEr1YIe 
[21244] SET_SELL_AMOUNT,69DAEr1YIe,JRJ,516.52 
[21335] CANCEL_SET_SELL,69DAEr1YIe,JRJ 
[21358] ADD,69DAEr1YIe,66590.50 
[21739] QUOTE,69DAEr1YIe,RLS 
[21876] BUY,69DAEr1YIe,VFH,702.59 
[22100] CANCEL_SET_BUY,69DAEr1YIe,PRJ 
[22183] BUY,69DAEr1YIe,ZRJ,367.57 
[22366] SET_SELL_AMOUNT,69DAEr1YIe,KES,39.34 
[22582] SET_SELL_TRIGGER,69DAEr1YIe,KES,3.49 
[22860] ADD,69DAEr1YIe,87971.48 
[23092] CANCEL_SET_BUY,69DAEr1YIe,QJZ 
[23180] DISPLAY_SUMMARY,69DAEr1YIe 
[23380] ADD,69DAEr1YIe,62986.34 
[23461] QUOTE,69DAEr1YIe,JLO 
[23484] BUY,69DAEr1YIe,XOM,524.47 
[23513] COMMIT_BUY,69DAEr1YIe 
[23514] DISPLAY_SUMMARY,69DAEr1YIe 
[23601] DISPLAY_SUMMARY,69DAEr1YIe 
[23616] ADD,69DAEr1YIe,77722.78 
[23742] QUOTE,69DAEr1YIe,DKV 
[23765] BUY,69DAEr1YIe,PXX,636.76 
[23772] QUOTE,69DAEr1YIe,PJJ 
[23834] QUOTE,69DAEr1YIe,CBV 
[23879] SELL,69DAEr1YIe,JRJ,29.99 
[23935] COMMIT_SELL,69DAEr1YIe 
[23995] COMMIT_SELL,69DAEr1YIe 
[23996] SELL,69DAEr1YIe,JVT,332.36 
[24019] COMMIT_SELL,69DAEr1YIe 
[24080] SET_SELL_AMOUNT,69DAEr1YIe,JVT,183.34 
[24087] SET_SELL_TRIGGER,69DAEr1YIe,JVT,102.93 
[24276] CANCEL_SELL,69DAEr1YIe 
[24467] ADD,69DAEr1YIe,71279.07 
[24802] SET_SELL_TRIGGER,69DAEr1YIe,QGE,189.31 
[24869] SET_SELL_TRIGGER,69DAEr1YIe,WAO,135.93 
[25047] DISPLAY_SUMMARY,69DAEr1YIe 
[25145] SELL,69DAEr1YIe,UTV,116.33 
[25179] COMMIT_SELL,69DAEr1YIe 
[25193] DISPLAY_SUMMARY,69DAEr1YIe 
[25226] ADD,69DAEr1YIe,62224.57 
[25442] BUY,69DAEr1YIe,QJC,38.37 
[25473] SELL,69DAEr1YIe,QAX,454.11 
[25475] COMMIT_SELL,69DAEr1YIe 
[25483] SELL,69DAEr1YIe,FQP,468.24 
[25600] COMMIT_SELL,69DAEr1YIe 
[25616] ADD,69DAEr1YIe,41151.06 
[25817] SET_SELL_AMOUNT,69DAEr1YIe,KDA,457.77 
[25874] DISPLAY_SUMMARY,69DAEr1YIe 
[26087] SELL,69DAEr1YIe,EBS,258.17 
[26162] SET_BUY_TRIGGER,69DAEr1YIe,DDH,161.01 
[26384] SET_SELL_AMOUNT,69DAEr1YIe,UTV,198.48 
[26426] SET_SELL_TRIGGER,69DAEr1YIe,UTV,27.22 
[26719] BUY,69DAEr1YIe,NJT,181.78 
[26811] CANCEL_SELL,69DAEr1YIe 
[26821] ADD,69DAEr1YIe,62138.00 
[26971] BUY,69DAEr1YIe,XFA,608.76 
[27047] COMMIT_SELL,69DAEr1YIe 
[27223] ADD,69DAEr1YIe,78078.74 
[27359] BUY,69DAEr1YIe,AOU,190.79 
[27421] CANCEL_BUY,69DAEr1YIe 
[27472] ADD,69DAEr1YIe,75204.99 
[27628] QUOTE,69DAEr1YIe,GRD 
[27689] BUY,69DAEr1YIe,DBT,106.47 
[27929] SET_BUY_AMOUNT,69DAEr1YIe,JCQ,262.47 
[28007] SET_BUY_TRIGGER,69DAEr1YIe,KPP,204.00 
[28073] ADD,69DAEr1YIe,61741.69 
[28180] BUY,69DAEr1YIe,NJF,180.76 
[28286] SET_SELL_AMOUNT,69DAEr1YIe,KDA,743.63 
[28485] SET_SELL_TRIGGER,69DAEr1YIe,KDA,709.64 
[28849] SELL,69DAEr1YIe,KDA,213.84 
[28885] COMMIT_BUY,69DAEr1YIe 
[28935] SET_BUY_TRIGGER,69DAEr1YIe,PWK,31.07 
[29274] ADD,69DAEr1YIe,62075.21 
[29388] QUOTE,69DAEr1YIe,DVU 
[29416] QUOTE,69DAEr1YIe,CMD 
[29784] SET_BUY_TRIGGER,69DAEr1YIe,JUE,6.17 
[29837] SET_BUY_AMOUNT,69DAEr1YIe,JQO,8.64 
[29931] SET_BUY_TRIGGER,69DAEr1YIe,DBC,2.58 
[30212] SELL,69DAEr1YIe,LFU,244.31 
[30237] COMMIT_SELL,69DAEr1YIe 
[30326] SELL,69DAEr1YIe,UTV,127.14 
[30363] COMMIT_SELL,69DAEr1YIe 
[30504] DISPLAY_SUMMARY,69DAEr1YIe 
[30507] SET_BUY_TRIGGER,69DAEr1YIe,PLA,15.80 
[30660] SET_SELL_AMOUNT,69DAEr1YIe,OEY,121.51 
[30717] BUY,69DAEr1YIe,QSS,723.92 
[30896] QUOTE,69DAEr1YIe,ZJB 
[30922] SET_SELL_TRIGGER,69DAEr1YIe,OEY,51.37 
[31366] ADD,69DAEr1YIe,70138.06 
[31429] QUOTE,69DAEr1YIe,RKY 
[31504] SET_BUY_AMOUNT,69DAEr1YIe,JRJ,387.42 
[31505] SELL,69DAEr1YIe,GYF,580.58 
[31707] SET_BUY_TRIGGER,69DAEr1YIe,MRK,234.02 
[31788] COMMIT_SELL,69DAEr1YIe 
[32075] ADD,69DAEr1YIe,53432.70 
[32108] BUY,69DAEr1YIe,IHW,297.34 
[32207] CANCEL_BUY,69DAEr1YIe 
[32387] ADD,69DAEr1YIe,81960.37 
[32399] BUY,69DAEr1YIe,VKP,73.98 
[32402] QUOTE,69DAEr1YIe,FQG 
[32419] QUOTE,69DAEr1YIe,CVV 
[32423] SET_BUY_TRIGGER,69DAEr1YIe,PXY,132.06 
[32634] SET_SELL_AMOUNT,69DAEr1YIe,KDA,531.59 
[32770] SET_SELL_TRIGGER,69DAEr1YIe,KDA,514.10 
[32818] SELL,69DAEr1YIe,KES,354.99 
[32909] COMMIT_SELL,69DAEr1YIe 
[33136] ADD,69DAEr1YIe,66192.01 
[33158] QUOTE,69DAEr1YIe,FTJ 
[33215] BUY,69DAEr1YIe,XBL,626.83 
[33256] COMMIT_BUY,69DAEr1YIe 
[33305] QUOTE,69DAEr1YIe,NTB 
[33348] BUY,69DAEr1YIe,PBX,666.72 
[33437] COMMIT_BUY,69DAEr1YIe 
[33540] SET_BUY_TRIGGER,69DAEr1YIe,SXB,63.00 
[33582] DISPLAY_SUMMARY,69DAEr1YIe 
[33656] COMMIT_SELL,69DAEr1YIe 
[33741] SELL,69DAEr1YIe,LFU,579.75 
[33888] COMMIT_SELL,69DAEr1YIe 
[34283] DISPLAY_SUMMARY,69DAEr1YIe 
[34460] SET_BUY_AMOUNT,69DAEr1YIe,UTV,546.66 
[34583] DISPLAY_SUMMARY,69DAEr1YIe 
[34735] SET_SELL_AMOUNT,69DAEr1YIe,JRJ,148.81 
[34766] SET_SELL_TRIGGER,69DAEr1YIe,JRJ,15.09 
[34859] DISPLAY_SUMMARY,69DAEr1YIe 
[34920] ADD,69DAEr1YIe,53647.67 
[35038] QUOTE,69DAEr1YIe,VSE 
[35121] SET_BUY_AMOUNT,69DAEr1YIe,KES,677.41 
[35264] SET_BUY_TRIGGER,69DAEr1YIe,BWR,449.60 
[35356] COMMIT_BUY,69DAEr1YIe 
[35372] SELL,69DAEr1YIe,OEY,350.60 
[35430] QUOTE,69DAEr1YIe,SNU 
[35470] QUOTE,69DAEr1YIe,QLM 
[35720] BUY,69DAEr1YIe,OTI,203.72 
[35901] COMMIT_BUY,69DAEr1YIe 
[36135] SET_BUY_TRIGGER,69DAEr1YIe,FWW,64.98 
[36415] BUY,69DAEr1YIe,NJF,372.98 
[36470] SELL,69DAEr1YIe,JCQ,193.62 
[36473] COMMIT_SELL,69DAEr1YIe 
[36490] DISPLAY_SUMMARY,69DAEr1YIe 
[36520] ADD,69DAEr1YIe,79306.41 
[36576] BUY,69DAEr1YIe,MKE,268.95 
[36752] SELL,69DAEr1YIe,KDA,654.02 
[36804] DISPLAY_SUMMARY,69DAEr1YIe 
[37026] BUY,69DAEr1YIe,CBO,375.57 
[37147] COMMIT_BUY,69DAEr1YIe 
[37203] SELL,69DAEr1YIe,QJZ,320.05 
[37224] COMMIT_SELL,69DAEr1YIe 
[37241] SET_BUY_TRIGGER,69DAEr1YIe,VNN,129.20 
[37781] BUY,69DAEr1YIe,PYM,317.28 
[38151] ADD,69DAEr1YIe,90900.15 
[38184] QUOTE,69DAEr1YIe,JLO 
[38218] CANCEL_BUY,69DAEr1YIe 
[38247] BUY,69DAEr1YIe,QPZ,368.68 
[38386] COMMIT_BUY,69DAEr1YIe 
[38437] SELL,69DAEr1YIe,JCQ,41.77 
[38597] COMMIT_SELL,69DAEr1YIe 
[38662] BUY,69DAEr1YIe,WGP,274.95 
[38720] CANCEL_BUY,69DAEr1YIe 
[38837] SET_BUY_AMOUNT,69DAEr1YIe,BYA,508.78 
[38914] CANCEL_SET_BUY,69DAEr1YIe,SJZ 
[38955] BUY,69DAEr1YIe,RRE,609.68 
[39066] COMMIT_BUY,69DAEr1YIe 
[39081] SET_SELL_AMOUNT,69DAEr1YIe,NHG,718.68 
[39102] SET_SELL_TRIGGER,69DAEr1YIe,NHG,406.95 
[39113] ADD,69DAEr1YIe,67194.78 
[39324] QUOTE,69DAEr1YIe,NSW 
[39572] QUOTE,69DAEr1YIe,IBT 
[39591] BUY,69DAEr1YIe,YPL,211.38 
[40109] CANCEL_BUY,69DAEr1YIe 
[40394] SET_BUY_TRIGGER,69DAEr1YIe,TOL,67.86 
[40457] SET_BUY_TRIGGER,69DAEr1YIe,GED,106.31 
[40534] DISPLAY_SUMMARY,69DAEr1YIe 
[40664] SET_SELL_AMOUNT,69DAEr1YIe,JVT,446.74 
[40683] SET_SELL_TRIGGER,69DAEr1YIe,JVT,334.55 
[40766] ADD,69DAEr1YIe,71152.95 
[40768] QUOTE,69DAEr1YIe,SPT 
[40836] SELL,69DAEr1YIe,RUN,213.63 
[40848] CANCEL_SET_BUY,69DAEr1YIe,SYT 
[40954] BUY,69DAEr1YIe,VKB,498.80 
[41022] QUOTE,69DAEr1YIe,XBL 
[41030] ADD,69DAEr1YIe,84476.83 
[41254] QUOTE,69DAEr1YIe,SIK 
[41305] QUOTE,69DAEr1YIe,FVS 
[41391] QUOTE,69DAEr1YIe,QUT 
[41469] BUY,69DAEr1YIe,AVH,444.02 
[41473] COMMIT_BUY,69DAEr1YIe 
[41638] SET_SELL_TRIGGER,69DAEr1YIe,YPL,168.01 
[41642] SET_BUY_AMOUNT,69DAEr1YIe,FQP,389.99 
[41751] SET_BUY_TRIGGER,69DAEr1YIe,TOZ,175.42 
[42037] QUOTE,69DAEr1YIe,PCR 
[42138] BUY,69DAEr1YIe,XUH,686.02 
[42159] SET_SELL_AMOUNT,69DAEr1YIe,KDA,182.34 
[42270] BUY,69DAEr1YIe,SPP,252.12 
[42368] COMMIT_BUY,69DAEr1YIe 
[42416] ADD,69DAEr1YIe,70579.36 
[42657] BUY,69DAEr1YIe,KJM,227.18 
[42676] SET_BUY_TRIGGER,69DAEr1YIe,CXW,134.79 
[43010] SET_BUY_TRIGGER,69DAEr1YIe,XOP,86.58 
[43353] QUOTE,69DAEr1YIe,BBD 
[43361] QUOTE,69DAEr1YIe,NVX 
[43389] BUY,69DAEr1YIe,KVK,243.31 
[43398] SELL,69DAEr1YIe,KES,305.74 
[43651] COMMIT_SELL,69DAEr1YIe 
[43780] QUOTE,69DAEr1YIe,VEX 
[43788] BUY,69DAEr1YIe,FDI,615.28 
[43790] COMMIT_BUY,69DAEr1YIe 
[43812] CANCEL_SET_SELL,69DAEr1YIe,KDA 
[43881] DISPLAY_SUMMARY,69DAEr1YIe 
[43901] QUOTE,69DAEr1YIe,MWJ 
[43925] SET_BUY_TRIGGER,69DAEr1YIe,XLK,136.78 
[43953] SET_BUY_TRIGGER,69DAEr1YIe,PMG,141.97 
[43978] QUOTE,69DAEr1YIe,MHI 
[44004] SET_BUY_TRIGGER,69DAEr1YIe,HVE,141.42 
[44177] COMMIT_BUY,69DAEr1YIe 
[44284] BUY,69DAEr1YIe,SPT,685.98 
[44304] COMMIT_BUY,69DAEr1YIe 
[44520] SET_BUY_AMOUNT,69DAEr1YIe,JQO,267.03 
[44728] SET_BUY_TRIGGER,69DAEr1YIe,KIP,154.44 
[44835] DISPLAY_SUMMARY,69DAEr1YIe 
[44871] ADD,69DAEr1YIe,67265.16 
[44949] COMMIT_BUY,69DAEr1YIe 
[44968] SET_BUY_TRIGGER,69DAEr1YIe,IQZ,5.83 
[45195] ADD,69DAEr1YIe,65136.38 
[45306] SET_SELL_AMOUNT,69DAEr1YIe,FQP,348.24 
[45310] SET_SELL_TRIGGER,69DAEr1YIe,FQP,58.81 
[45418] QUOTE,69DAEr1YIe,AJL 
[45856] SELL,69DAEr1YIe,NHG,273.08 
[45924] COMMIT_SELL,69DAEr1YIe 
[46002] SET_BUY_AMOUNT,69DAEr1YIe,RUN,74.87 
[46171] SET_BUY_TRIGGER,69DAEr1YIe,YVX,61.50 
[46199] DISPLAY_SUMMARY,69DAEr1YIe 
[46287] DISPLAY_SUMMARY,69DAEr1YIe 
[46421] SET_SELL_AMOUNT,69DAEr1YIe,ZTI,39.85 
[46459] SET_SELL_TRIGGER,69DAEr1YIe,ZTI,10.25 
[46513] DISPLAY_SUMMARY,69DAEr1YIe 
[46545] BUY,69DAEr1YIe,KAR,65.95 
[46692] COMMIT_BUY,69DAEr1YIe 
[46700] SET_SELL_AMOUNT,69DAEr1YIe,YJK,107.10 
[46748] SET_SELL_TRIGGER,69DAEr1YIe,YJK,19.70 
[46750] CANCEL_SET_BUY,69DAEr1YIe,WQE 
[46751] ADD,69DAEr1YIe,82408.30 
[46778] BUY,69DAEr1YIe,OXK,290.75 
[46841] COMMIT_BUY,69DAEr1YIe 
[46924] DISPLAY_SUMMARY,69DAEr1YIe 
[46989] ADD,69DAEr1YIe,86702.99 
[47158] QUOTE,69DAEr1YIe,YMG 
[47275] COMMIT_SELL,69DAEr1YIe 
[47478] DISPLAY_SUMMARY,69DAEr1YIe 
[47633] DISPLAY_SUMMARY,69DAEr1YIe 
[47687] DISPLAY_SUMMARY,69DAEr1YIe 
[47783] ADD,69DAEr1YIe,46501.60 
[47820] BUY,69DAEr1YIe,MQX,434.88 
[47827] COMMIT_BUY,69DAEr1YIe 
[47904] QUOTE,69DAEr1YIe,DVA 
[47939] SET_BUY_AMOUNT,69DAEr1YIe,BCQ,353.15 
[48012] SET_BUY_TRIGGER,69DAEr1YIe,DOI,86.85 
[48040] SELL,69DAEr1YIe,ZYR,473.49 
[48048] COMMIT_SELL,69DAEr1YIe 
[48054] DISPLAY_SUMMARY,69DAEr1YIe 
[48066] SET_SELL_AMOUNT,69DAEr1YIe,DFE,71.67 
[48080] SET_SELL_TRIGGER,69DAEr1YIe,DFE,29.07 
[48242] DISPLAY_SUMMARY,69DAEr1YIe 
[48304] ADD,69DAEr1YIe,64757.23 
[48310] QUOTE,69DAEr1YIe,KWP 
[48431] ADD,69DAEr1YIe,51527.62 
[48539] BUY,69DAEr1YIe,EMN,396.70 
[48569] SET_BUY_TRIGGER,69DAEr1YIe,WTD,48.49 
[48601] QUOTE,69DAEr1YIe,BHJ 
[48943] SELL,69DAEr1YIe,GYF,695.48 
[49073] SET_BUY_TRIGGER,69DAEr1YIe,VNN,195.24 
[49144] SET_BUY_AMOUNT,69DAEr1YIe,BYA,345.20 
[49151] SET_BUY_TRIGGER,69DAEr1YIe,MAX,158.60 
[49205] SET_BUY_AMOUNT,69DAEr1YIe,JCQ,535.99 
[49358] CANCEL_SET_BUY,69DAEr1YIe,HIN 
[49830] BUY,69DAEr1YIe,VDP,490.95 
[49847] SELL,69DAEr1YIe,PTP,326.28 
[50015] CANCEL_BUY,69DAEr1YIe 
[50136] SET_BUY_AMOUNT,69DAEr1YIe,ZTI,739.83 
[50143] SET_BUY_TRIGGER,69DAEr1YIe,KAF,267.14 
[50251] ADD,69DAEr1YIe,78190.10 
[50260] SET_SELL_AMOUNT,69DAEr1YIe,ZTI,511.88 
[50269] SET_SELL_TRIGGER,69DAEr1YIe,ZTI,470.63 
[50275] BUY,69DAEr1YIe,GRM,252.25 
[50333] COMMIT_BUY,69DAEr1YIe 
