[13] ADD,y5IWeezXEN,74831.27 
[20123] SET_BUY_AMOUNT,y5IWeezXEN,JCQ,221.68 
[20445] DISPLAY_SUMMARY,y5IWeezXEN 
[20547] ADD,y5IWeezXEN,65228.36 
[20587] QUOTE,y5IWeezXEN,GIK 
[20734] CANCEL_SET_BUY,y5IWeezXEN,PVH 
[20814] SET_SELL_AMOUNT,y5IWeezXEN,OEY,737.69 
[20839] SET_SELL_TRIGGER,y5IWeezXEN,OEY,222.74 
[20853] BUY,y5IWeezXEN,AJR,408.62 
[20930] COMMIT_BUY,y5IWeezXEN 
[20970] DISPLAY_SUMMARY,y5IWeezXEN 
[21093] CANCEL_SELL,y5IWeezXEN 
[21146] SET_BUY_TRIGGER,y5IWeezXEN,FIY,2.13 
[21151] ADD,y5IWeezXEN,88666.48 
[21222] QUOTE,y5IWeezXEN,SNU 
[21252] SET_SELL_AMOUNT,y5IWeezXEN,NHG,623.79 
[21260] SET_SELL_TRIGGER,y5IWeezXEN,NHG,536.78 
[21310] SET_SELL_TRIGGER,y5IWeezXEN,WSR,18.89 
[21369] SET_BUY_TRIGGER,y5IWeezXEN,OZT,91.91 
[21372] QUOTE,y5IWeezXEN,KCS 
[21450] BUY,y5IWeezXEN,KIP,322.67 
[21582] COMMIT_BUY,y5IWeezXEN 
[21693] CANCEL_BUY,y5IWeezXEN 
[21741] DISPLAY_SUMMARY,y5IWeezXEN 
[21794] ADD,y5IWeezXEN,70715.16 
[21810] BUY,y5IWeezXEN,FSD,247.79 
[21855] COMMIT_BUY,y5IWeezXEN 
[21973] COMMIT_BUY,y5IWeezXEN 
[22131] SET_SELL_TRIGGER,y5IWeezXEN,KXF,78.91 
[22289] SET_SELL_AMOUNT,y5IWeezXEN,LFU,112.82 
[22501] SET_SELL_TRIGGER,y5IWeezXEN,LFU,102.60 
[22535] BUY,y5IWeezXEN,GQV,582.23 
[22597] COMMIT_BUY,y5IWeezXEN 
[22843] ADD,y5IWeezXEN,86654.14 
[23101] BUY,y5IWeezXEN,JPD,693.63 
[23308] CANCEL_BUY,y5IWeezXEN 
[23406] DISPLAY_SUMMARY,y5IWeezXEN 
[23433] SET_SELL_TRIGGER,y5IWeezXEN,SOT,123.23 
[23759] DISPLAY_SUMMARY,y5IWeezXEN 
[23961] SET_BUY_AMOUNT,y5IWeezXEN,UTV,258.08 
[24003] SET_BUY_TRIGGER,y5IWeezXEN,YLZ,187.50 
[24078] DISPLAY_SUMMARY,y5IWeezXEN 
[24148] ADD,y5IWeezXEN,68544.65 
[24166] QUOTE,y5IWeezXEN,KLE 
[24171] SET_BUY_TRIGGER,y5IWeezXEN,FPI,124.44 
[24255] COMMIT_SELL,y5IWeezXEN 
[24266] SET_SELL_TRIGGER,y5IWeezXEN,OYS,54.55 
[24442] ADD,y5IWeezXEN,61395.41 
[24444] QUOTE,y5IWeezXEN,RFI 
[24508] SET_BUY_TRIGGER,y5IWeezXEN,EED,91.07 
[24512] ADD,y5IWeezXEN,94497.03 
[24516] QUOTE,y5IWeezXEN,WQE 
[24564] COMMIT_SELL,y5IWeezXEN 
[24578] SET_SELL_TRIGGER,y5IWeezXEN,DPG,12.27 
[24738] DISPLAY_SUMMARY,y5IWeezXEN 
[24767] DISPLAY_SUMMARY,y5IWeezXEN 
[24805] DISPLAY_SUMMARY,y5IWeezXEN 
[24897] QUOTE,y5IWeezXEN,YLZ 
[24923] CANCEL_SET_SELL,y5IWeezXEN,OIV 
[24961] BUY,y5IWeezXEN,EIH,355.41 
[25126] COMMIT_BUY,y5IWeezXEN 
[25459] ADD,y5IWeezXEN,60066.82 
[25557] QUOTE,y5IWeezXEN,TGY 
[25584] BUY,y5IWeezXEN,VMD,77.08 
[25602] COMMIT_BUY,y5IWeezXEN 
[25627] DISPLAY_SUMMARY,y5IWeezXEN 
[25671] SELL,y5IWeezXEN,KES,619.28 
[25786] COMMIT_SELL,y5IWeezXEN 
[25795] SET_BUY_TRIGGER,y5IWeezXEN,YZH,82.59 
[25846] SET_SELL_AMOUNT,y5IWeezXEN,QJZ,363.11 
[25977] SET_SELL_TRIGGER,y5IWeezXEN,QJZ,18.89 
[26055] ADD,y5IWeezXEN,50672.90 
[26095] SELL,y5IWeezXEN,JQO,171.28 
[26122] COMMIT_SELL,y5IWeezXEN 
[26132] SET_SELL_AMOUNT,y5IWeezXEN,LFU,725.18 
[26168] SET_SELL_TRIGGER,y5IWeezXEN,LFU,228.39 
[26457] SET_SELL_AMOUNT,y5IWeezXEN,CUZ,613.91 
[26513] BUY,y5IWeezXEN,WJS,291.68 
[26542] COMMIT_BUY,y5IWeezXEN 
[26763] SELL,y5IWeezXEN,NHG,506.78 
[26840] COMMIT_SELL,y5IWeezXEN 
[26920] ADD,y5IWeezXEN,84322.00 
[27023] QUOTE,y5IWeezXEN,NGB 
[27025] SET_SELL_AMOUNT,y5IWeezXEN,KDA,318.11 
[27083] SET_SELL_TRIGGER,y5IWeezXEN,KDA,139.43 
[27462] DISPLAY_SUMMARY,y5IWeezXEN 
[27783] BUY,y5IWeezXEN,LRS,190.56 
[27854] SET_SELL_AMOUNT,y5IWeezXEN,KDA,39.03 
[28125] CANCEL_SET_SELL,y5IWeezXEN,KDA 
[28268] CANCEL_SELL,y5IWeezXEN 
[28281] CANCEL_SET_SELL,y5IWeezXEN,WAI 
[28542] QUOTE,y5IWeezXEN,WZY 
[28743] ADD,y5IWeezXEN,83792.37 
[28863] COMMIT_BUY,y5IWeezXEN 
[28925] DISPLAY_SUMMARY,y5IWeezXEN 
[28940] QUOTE,y5IWeezXEN,PVZ 
[28945] BUY,y5IWeezXEN,FFN,409.92 
[29292] CANCEL_SET_SELL,y5IWeezXEN,WJS 
[29376] SELL,y5IWeezXEN,XXQ,498.60 
[29381] CANCEL_SELL,y5IWeezXEN 
[29425] ADD,y5IWeezXEN,70690.29 
[29508] BUY,y5IWeezXEN,EDW,503.89 
[29511] QUOTE,y5IWeezXEN,VTY 
[29620] ADD,y5IWeezXEN,65943.02 
[30399] QUOTE,y5IWeezXEN,QQI 
[30488] CANCEL_SELL,y5IWeezXEN 
[30490] ADD,y5IWeezXEN,59593.31 
[30502] QUOTE,y5IWeezXEN,IZU 
[30541] QUOTE,y5IWeezXEN,INB 
[30582] BUY,y5IWeezXEN,PCK,124.38 
[30584] QUOTE,y5IWeezXEN,AJR 
[30781] BUY,y5IWeezXEN,UEC,646.51 
[30814] COMMIT_BUY,y5IWeezXEN 
[30838] ADD,y5IWeezXEN,75414.95 
[31023] QUOTE,y5IWeezXEN,LJM 
[31064] SET_SELL_TRIGGER,y5IWeezXEN,EIK,52.75 
[31068] SELL,y5IWeezXEN,BCQ,745.66 
[31087] COMMIT_SELL,y5IWeezXEN 
[31195] DISPLAY_SUMMARY,y5IWeezXEN 
[31246] SET_BUY_TRIGGER,y5IWeezXEN,WPG,157.38 
[31253] DISPLAY_SUMMARY,y5IWeezXEN 
[31346] SET_BUY_AMOUNT,y5IWeezXEN,QJZ,503.32 
[31440] SET_BUY_TRIGGER,y5IWeezXEN,UBJ,162.93 
[31443] QUOTE,y5IWeezXEN,VQA 
[31511] ADD,y5IWeezXEN,57129.97 
[31554] CANCEL_SET_BUY,y5IWeezXEN,GYT 
[31569] DISPLAY_SUMMARY,y5IWeezXEN 
[31649] SET_BUY_TRIGGER,y5IWeezXEN,GZQ,100.31 
[31801] ADD,y5IWeezXEN,39652.28 
[31896] COMMIT_BUY,y5IWeezXEN 
[31913] ADD,y5IWeezXEN,65267.44 
[31931] CANCEL_SELL,y5IWeezXEN 
[31962] ADD,y5IWeezXEN,91378.83 
[32004] CANCEL_SELL,y5IWeezXEN 
[32052] QUOTE,y5IWeezXEN,LTB 
[32099] BUY,y5IWeezXEN,JVT,258.19 
[32120] CANCEL_SET_SELL,y5IWeezXEN,MOS 
[32196] SET_SELL_TRIGGER,y5IWeezXEN,ISQ,167.83 
[32285] SELL,y5IWeezXEN,ZAN,268.76 
[32303] CANCEL_SET_SELL,y5IWeezXEN,ZEG 
[32441] SET_SELL_TRIGGER,y5IWeezXEN,IEQ,88.86 
[32465] QUOTE,y5IWeezXEN,DES 
[32501] SET_BUY_TRIGGER,y5IWeezXEN,GRD,8.91 
[32527] BUY,y5IWeezXEN,YJK,508.02 
[33355] DISPLAY_SUMMARY,y5IWeezXEN 
[33358] SELL,y5IWeezXEN,LFU,660.28 
[33361] COMMIT_SELL,y5IWeezXEN 
[33665] QUOTE,y5IWeezXEN,YVS 
[33903] SET_SELL_TRIGGER,y5IWeezXEN,SYT,159.39 
[33944] DISPLAY_SUMMARY,y5IWeezXEN 
[34046] DISPLAY_SUMMARY,y5IWeezXEN 
[34240] SET_SELL_TRIGGER,y5IWeezXEN,ZCO,25.59 
[34256] ADD,y5IWeezXEN,78437.90 
[34294] BUY,y5IWeezXEN,DBS,602.22 
[34348] COMMIT_BUY,y5IWeezXEN 
[34381] DISPLAY_SUMMARY,y5IWeezXEN 
[34475] SET_SELL_AMOUNT,y5IWeezXEN,JRJ,622.23 
[34485] SET_SELL_TRIGGER,y5IWeezXEN,JRJ,280.92 
[34606] COMMIT_SELL,y5IWeezXEN 
[34659] SET_SELL_TRIGGER,y5IWeezXEN,PHJ,102.90 
[34663] ADD,y5IWeezXEN,59033.85 
[34809] QUOTE,y5IWeezXEN,ZNZ 
[34885] QUOTE,y5IWeezXEN,DXQ 
[35005] ADD,y5IWeezXEN,69459.12 
[35247] BUY,y5IWeezXEN,KQZ,400.09 
[35284] SET_BUY_AMOUNT,y5IWeezXEN,YJK,636.75 
[35335] SELL,y5IWeezXEN,JCQ,120.46 
[35347] COMMIT_SELL,y5IWeezXEN 
[35392] ADD,y5IWeezXEN,48615.35 
[35637] BUY,y5IWeezXEN,VVO,400.06 
[35822] CANCEL_BUY,y5IWeezXEN 
[35864] BUY,y5IWeezXEN,OFP,119.04 
[36171] CANCEL_SET_SELL,y5IWeezXEN,RXO 
[36199] CANCEL_SET_SELL,y5IWeezXEN,YTO 
[36236] CANCEL_SET_BUY,y5IWeezXEN,AMI 
[36381] SET_BUY_TRIGGER,y5IWeezXEN,LLF,157.06 
[36399] SET_BUY_AMOUNT,y5IWeezXEN,NHG,382.81 
[36469] SET_BUY_TRIGGER,y5IWeezXEN,RQS,226.68 
[36682] SET_SELL_AMOUNT,y5IWeezXEN,QJZ,381.49 
[36687] SET_SELL_TRIGGER,y5IWeezXEN,QJZ,142.33 
[36748] SET_BUY_TRIGGER,y5IWeezXEN,GTB,161.00 
[36783] SELL,y5IWeezXEN,BCQ,33.63 
[36797] COMMIT_BUY,y5IWeezXEN 
[36909] QUOTE,y5IWeezXEN,QPX 
[36940] QUOTE,y5IWeezXEN,ONI 
[37001] BUY,y5IWeezXEN,KRY,242.68 
[37161] ADD,y5IWeezXEN,73438.24 
[37194] BUY,y5IWeezXEN,RJG,46.80 
[37275] CANCEL_BUY,y5IWeezXEN 
[37502] CANCEL_SET_SELL,y5IWeezXEN,XTH 
[37746] DISPLAY_SUMMARY,y5IWeezXEN 
[37829] DISPLAY_SUMMARY,y5IWeezXEN 
[37892] QUOTE,y5IWeezXEN,CGW 
[37921] SET_SELL_AMOUNT,y5IWeezXEN,LFU,218.73 
[37922] SET_SELL_TRIGGER,y5IWeezXEN,LFU,46.74 
[37927] DISPLAY_SUMMARY,y5IWeezXEN 
[37990] SET_SELL_AMOUNT,y5IWeezXEN,KES,660.01 
[38009] SELL,y5IWeezXEN,ZAN,553.36 
[38022] COMMIT_SELL,y5IWeezXEN 
[38297] BUY,y5IWeezXEN,ZAN,401.00 
[38398] COMMIT_BUY,y5IWeezXEN 
[38432] SET_SELL_TRIGGER,y5IWeezXEN,KES,444.24 
[38472] SET_SELL_AMOUNT,y5IWeezXEN,JCQ,65.68 
[38475] SET_SELL_TRIGGER,y5IWeezXEN,JCQ,60.51 
[38501] SELL,y5IWeezXEN,UTV,6.88 
[38596] SELL,y5IWeezXEN,BYA,185.28 
[38694] DISPLAY_SUMMARY,y5IWeezXEN 
[38739] SET_BUY_AMOUNT,y5IWeezXEN,OEY,10.41 
[38813] SET_BUY_TRIGGER,y5IWeezXEN,BVN,4.61 
[38942] DISPLAY_SUMMARY,y5IWeezXEN 
[38993] QUOTE,y5IWeezXEN,JEO 
[39039] BUY,y5IWeezXEN,KEO,660.50 
[39158] COMMIT_BUY,y5IWeezXEN 
[39221] SET_SELL_TRIGGER,y5IWeezXEN,KAR,105.48 
[39450] BUY,y5IWeezXEN,KES,88.69 
[39499] SELL,y5IWeezXEN,DFE,655.21 
[39500] COMMIT_BUY,y5IWeezXEN 
[39579] ADD,y5IWeezXEN,79565.30 
[39589] BUY,y5IWeezXEN,MQX,384.28 
[39647] COMMIT_BUY,y5IWeezXEN 
[39684] BUY,y5IWeezXEN,KAO,693.05 
[39931] CANCEL_BUY,y5IWeezXEN 
[40310] DISPLAY_SUMMARY,y5IWeezXEN 
[40699] DISPLAY_SUMMARY,y5IWeezXEN 
[40772] SET_SELL_TRIGGER,y5IWeezXEN,IWL,66.28 
[40821] ADD,y5IWeezXEN,77853.13 
[40900] BUY,y5IWeezXEN,IZU,268.70 
[40965] CANCEL_SET_BUY,y5IWeezXEN,MMY 
[41068] DISPLAY_SUMMARY,y5IWeezXEN 
[41435] DISPLAY_SUMMARY,y5IWeezXEN 
[41448] SELL,y5IWeezXEN,KDA,651.85 
[41449] COMMIT_SELL,y5IWeezXEN 
[41511] DISPLAY_SUMMARY,y5IWeezXEN 
[41516] CANCEL_SET_SELL,y5IWeezXEN,IGI 
[41525] SELL,y5IWeezXEN,DFE,694.84 
[41605] ADD,y5IWeezXEN,98506.33 
[41675] BUY,y5IWeezXEN,SZI,180.73 
[41747] CANCEL_SET_SELL,y5IWeezXEN,PDB 
[41778] SET_BUY_AMOUNT,y5IWeezXEN,JCQ,506.72 
[41790] SET_BUY_TRIGGER,y5IWeezXEN,MDZ,476.44 
[41829] SET_BUY_TRIGGER,y5IWeezXEN,OGR,46.97 
[41896] ADD,y5IWeezXEN,30159.93 
[42070] QUOTE,y5IWeezXEN,SCW 
[42089] BUY,y5IWeezXEN,NZS,329.24 
[42117] QUOTE,y5IWeezXEN,URY 
[42132] SET_BUY_AMOUNT,y5IWeezXEN,BYA,14.67 
[42313] SET_BUY_TRIGGER,y5IWeezXEN,RQF,11.82 
[42500] SELL,y5IWeezXEN,ZTI,584.43 
[42519] COMMIT_SELL,y5IWeezXEN 
[42549] SET_SELL_AMOUNT,y5IWeezXEN,PTP,151.80 
[42693] SET_SELL_TRIGGER,y5IWeezXEN,PTP,134.28 
[42790] QUOTE,y5IWeezXEN,DWK 
[43088] COMMIT_BUY,y5IWeezXEN 
[43162] SET_SELL_TRIGGER,y5IWeezXEN,XFA,125.71 
[43191] DISPLAY_SUMMARY,y5IWeezXEN 
[43215] BUY,y5IWeezXEN,RNE,67.63 
[43275] COMMIT_BUY,y5IWeezXEN 
[43319] DISPLAY_SUMMARY,y5IWeezXEN 
[43355] SELL,y5IWeezXEN,KDA,241.00 
[43482] SET_SELL_AMOUNT,y5IWeezXEN,OEY,456.67 
[43673] SET_SELL_TRIGGER,y5IWeezXEN,OEY,170.66 
[43723] SET_BUY_AMOUNT,y5IWeezXEN,FQP,29.03 
[43767] SET_BUY_TRIGGER,y5IWeezXEN,XME,3.99 
[43769] CANCEL_SELL,y5IWeezXEN 
[43980] SELL,y5IWeezXEN,GYF,684.04 
[44056] ADD,y5IWeezXEN,65794.03 
[44128] BUY,y5IWeezXEN,CDF,185.23 
[44391] COMMIT_BUY,y5IWeezXEN 
[44744] SELL,y5IWeezXEN,YJK,582.19 
[44897] COMMIT_SELL,y5IWeezXEN 
[44913] BUY,y5IWeezXEN,BZX,471.42 
[44977] COMMIT_BUY,y5IWeezXEN 
[44985] ADD,y5IWeezXEN,81136.64 
[44992] QUOTE,y5IWeezXEN,SHP 
[45019] SET_BUY_AMOUNT,y5IWeezXEN,OPN,575.86 
[45031] CANCEL_SET_BUY,y5IWeezXEN,RFI 
[45047] SELL,y5IWeezXEN,OPN,289.91 
[45105] CANCEL_SELL,y5IWeezXEN 
[45148] CANCEL_BUY,y5IWeezXEN 
[45340] DISPLAY_SUMMARY,y5IWeezXEN 
[45583] SET_BUY_AMOUNT,y5IWeezXEN,NHG,266.58 
[45689] DISPLAY_SUMMARY,y5IWeezXEN 
[45805] DISPLAY_SUMMARY,y5IWeezXEN 
[46155] SELL,y5IWeezXEN,ZYR,713.80 
[46312] CANCEL_SELL,y5IWeezXEN 
[46504] BUY,y5IWeezXEN,RXB,139.84 
[46733] SET_SELL_TRIGGER,y5IWeezXEN,SFO,4.58 
[47049] CANCEL_SET_SELL,y5IWeezXEN,PBV 
[47051] DISPLAY_SUMMARY,y5IWeezXEN 
[47297] ADD,y5IWeezXEN,54045.19 
