[7] ADD,HBb0dWvkmH,81650.18 
[6131] SET_BUY_TRIGGER,HBb0dWvkmH,MHR,95.50 
[6331] SET_SELL_TRIGGER,HBb0dWvkmH,NEV,182.20 
[6673] ADD,HBb0dWvkmH,82586.22 
[6721] QUOTE,HBb0dWvkmH,MWM 
[6920] QUOTE,HBb0dWvkmH,SAR 
[7120] QUOTE,HBb0dWvkmH,SXB 
[7240] QUOTE,HBb0dWvkmH,VOU 
[7271] QUOTE,HBb0dWvkmH,TQX 
[7272] BUY,HBb0dWvkmH,FIY,204.33 
[7407] COMMIT_BUY,HBb0dWvkmH 
[7440] ADD,HBb0dWvkmH,73926.59 
[7458] COMMIT_SELL,HBb0dWvkmH 
[7529] DISPLAY_SUMMARY,HBb0dWvkmH 
[7568] ADD,HBb0dWvkmH,55867.00 
[7571] QUOTE,HBb0dWvkmH,GTX 
[7674] BUY,HBb0dWvkmH,XLI,593.57 
[7676] CANCEL_BUY,HBb0dWvkmH 
[7761] SET_BUY_TRIGGER,HBb0dWvkmH,OIY,177.15 
[7779] DISPLAY_SUMMARY,HBb0dWvkmH 
[7919] SET_SELL_AMOUNT,HBb0dWvkmH,OEY,414.43 
[8059] SET_SELL_TRIGGER,HBb0dWvkmH,OEY,129.65 
[8194] BUY,HBb0dWvkmH,APY,388.23 
[8238] CANCEL_SELL,HBb0dWvkmH 
[8367] SET_SELL_AMOUNT,HBb0dWvkmH,FQP,113.29 
[8407] SET_SELL_TRIGGER,HBb0dWvkmH,FQP,69.20 
[8457] SET_BUY_TRIGGER,HBb0dWvkmH,SUS,178.89 
[8475] ADD,HBb0dWvkmH,59885.41 
[8528] BUY,HBb0dWvkmH,WRJ,357.97 
[8596] SET_SELL_AMOUNT,HBb0dWvkmH,KDA,63.12 
[8757] SET_SELL_TRIGGER,HBb0dWvkmH,KDA,61.41 
[9088] BUY,HBb0dWvkmH,OOV,371.41 
[9258] COMMIT_BUY,HBb0dWvkmH 
[9345] DISPLAY_SUMMARY,HBb0dWvkmH 
[9401] ADD,HBb0dWvkmH,75507.39 
[9856] CANCEL_SET_SELL,HBb0dWvkmH,PUC 
[9871] SET_BUY_TRIGGER,HBb0dWvkmH,SVV,104.99 
[9987] DISPLAY_SUMMARY,HBb0dWvkmH 
[10220] SET_SELL_TRIGGER,HBb0dWvkmH,ZFV,118.37 
[10271] SET_SELL_AMOUNT,HBb0dWvkmH,KES,202.71 
[10318] SET_SELL_TRIGGER,HBb0dWvkmH,KES,26.08 
[10326] SELL,HBb0dWvkmH,QJZ,66.33 
[10501] COMMIT_SELL,HBb0dWvkmH 
[10660] ADD,HBb0dWvkmH,60124.43 
[10705] BUY,HBb0dWvkmH,MWB,74.63 
[10915] CANCEL_SET_BUY,HBb0dWvkmH,SKW 
[11039] ADD,HBb0dWvkmH,92375.36 
[11164] BUY,HBb0dWvkmH,CWA,699.78 
[11255] COMMIT_BUY,HBb0dWvkmH 
[11278] CANCEL_SET_BUY,HBb0dWvkmH,QJC 
[11334] SELL,HBb0dWvkmH,JVT,383.26 
[11368] COMMIT_SELL,HBb0dWvkmH 
[11387] DISPLAY_SUMMARY,HBb0dWvkmH 
[11493] ADD,HBb0dWvkmH,38362.72 
[11677] BUY,HBb0dWvkmH,VOU,440.51 
[11890] COMMIT_BUY,HBb0dWvkmH 
[11913] DISPLAY_SUMMARY,HBb0dWvkmH 
[11965] DISPLAY_SUMMARY,HBb0dWvkmH 
[12036] CANCEL_BUY,HBb0dWvkmH 
[12188] ADD,HBb0dWvkmH,46627.74 
[12226] BUY,HBb0dWvkmH,PMX,13.51 
[12389] COMMIT_BUY,HBb0dWvkmH 
[12390] SET_BUY_AMOUNT,HBb0dWvkmH,OEY,270.21 
[12675] SET_BUY_TRIGGER,HBb0dWvkmH,KEO,260.54 
[12755] CANCEL_SET_SELL,HBb0dWvkmH,FSD 
[12792] SET_SELL_TRIGGER,HBb0dWvkmH,FKI,175.09 
[12937] DISPLAY_SUMMARY,HBb0dWvkmH 
[12956] SET_SELL_TRIGGER,HBb0dWvkmH,SHP,51.75 
[13248] SET_BUY_AMOUNT,HBb0dWvkmH,JRJ,34.69 
[13301] SET_BUY_TRIGGER,HBb0dWvkmH,DHA,7.07 
[13465] ADD,HBb0dWvkmH,64772.01 
[13549] QUOTE,HBb0dWvkmH,IHA 
[13560] SET_BUY_AMOUNT,HBb0dWvkmH,JCQ,484.92 
[13735] SET_BUY_TRIGGER,HBb0dWvkmH,WQE,252.39 
[13824] ADD,HBb0dWvkmH,58225.57 
[14016] COMMIT_SELL,HBb0dWvkmH 
[14215] COMMIT_BUY,HBb0dWvkmH 
[14437] ADD,HBb0dWvkmH,72436.47 
[14601] QUOTE,HBb0dWvkmH,RVU 
[14616] BUY,HBb0dWvkmH,SAN,666.13 
[14630] COMMIT_BUY,HBb0dWvkmH 
[14704] SET_BUY_TRIGGER,HBb0dWvkmH,XXN,49.51 
[14903] QUOTE,HBb0dWvkmH,ALG 
[14986] QUOTE,HBb0dWvkmH,YDD 
[15257] BUY,HBb0dWvkmH,VMK,11.32 
[15288] COMMIT_BUY,HBb0dWvkmH 
[15290] ADD,HBb0dWvkmH,68144.65 
[15352] BUY,HBb0dWvkmH,ZGC,459.56 
[15422] COMMIT_BUY,HBb0dWvkmH 
[15429] ADD,HBb0dWvkmH,82030.46 
[15437] SELL,HBb0dWvkmH,FQP,442.51 
[15449] COMMIT_SELL,HBb0dWvkmH 
[15630] SET_BUY_AMOUNT,HBb0dWvkmH,JCQ,735.69 
[15724] SET_BUY_TRIGGER,HBb0dWvkmH,JPD,196.18 
[15760] CANCEL_SET_BUY,HBb0dWvkmH,GXT 
[15858] ADD,HBb0dWvkmH,74649.22 
[16104] BUY,HBb0dWvkmH,NGZ,724.68 
[16240] BUY,HBb0dWvkmH,RQL,482.20 
[16242] QUOTE,HBb0dWvkmH,TTY 
[16335] SELL,HBb0dWvkmH,EBS,461.68 
[16404] CANCEL_BUY,HBb0dWvkmH 
[16506] SET_BUY_AMOUNT,HBb0dWvkmH,QJZ,725.27 
[16545] SET_BUY_TRIGGER,HBb0dWvkmH,GAL,37.12 
[16613] SET_SELL_TRIGGER,HBb0dWvkmH,GZU,117.08 
[16620] ADD,HBb0dWvkmH,69554.80 
[16752] BUY,HBb0dWvkmH,ALG,267.08 
[16876] CANCEL_BUY,HBb0dWvkmH 
[16891] ADD,HBb0dWvkmH,68200.67 
[16923] BUY,HBb0dWvkmH,DWU,580.84 
[16994] CANCEL_BUY,HBb0dWvkmH 
[17067] QUOTE,HBb0dWvkmH,SJZ 
[17312] SET_BUY_TRIGGER,HBb0dWvkmH,SKW,153.36 
[17454] SET_SELL_TRIGGER,HBb0dWvkmH,GYT,31.61 
[17471] BUY,HBb0dWvkmH,FFN,307.34 
[17577] COMMIT_BUY,HBb0dWvkmH 
[17698] SET_SELL_AMOUNT,HBb0dWvkmH,JQO,392.13 
[17726] CANCEL_SET_SELL,HBb0dWvkmH,JQO 
[17742] SELL,HBb0dWvkmH,FQP,82.98 
[17804] COMMIT_SELL,HBb0dWvkmH 
[17868] DISPLAY_SUMMARY,HBb0dWvkmH 
[17980] ADD,HBb0dWvkmH,55171.59 
[18070] BUY,HBb0dWvkmH,ESN,209.37 
[18241] SELL,HBb0dWvkmH,UTV,672.36 
[18334] COMMIT_SELL,HBb0dWvkmH 
[18337] SET_BUY_TRIGGER,HBb0dWvkmH,ETB,139.86 
[18361] DISPLAY_SUMMARY,HBb0dWvkmH 
[18406] ADD,HBb0dWvkmH,44346.70 
[18458] BUY,HBb0dWvkmH,GTB,535.69 
[18465] COMMIT_BUY,HBb0dWvkmH 
[18480] ADD,HBb0dWvkmH,69009.48 
[18591] QUOTE,HBb0dWvkmH,TQE 
[18602] ADD,HBb0dWvkmH,78367.56 
[18628] QUOTE,HBb0dWvkmH,RNE 
[18655] QUOTE,HBb0dWvkmH,DJD 
[18719] SET_SELL_AMOUNT,HBb0dWvkmH,KDA,382.88 
[18728] SET_SELL_TRIGGER,HBb0dWvkmH,KDA,364.65 
[18919] DISPLAY_SUMMARY,HBb0dWvkmH 
[19018] SET_BUY_AMOUNT,HBb0dWvkmH,FQP,516.89 
[19058] CANCEL_SET_BUY,HBb0dWvkmH,XUY 
[19294] SET_SELL_TRIGGER,HBb0dWvkmH,CBQ,161.21 
[19296] CANCEL_SET_SELL,HBb0dWvkmH,YPW 
[19472] SET_BUY_TRIGGER,HBb0dWvkmH,JDW,144.45 
[19536] QUOTE,HBb0dWvkmH,TTV 
[19547] CANCEL_BUY,HBb0dWvkmH 
[19657] SET_BUY_AMOUNT,HBb0dWvkmH,LFU,371.69 
[19727] SET_BUY_TRIGGER,HBb0dWvkmH,NZS,370.28 
[19786] QUOTE,HBb0dWvkmH,DJD 
[19894] BUY,HBb0dWvkmH,DDH,524.33 
[20092] CANCEL_SET_BUY,HBb0dWvkmH,NXU 
[20140] SET_BUY_TRIGGER,HBb0dWvkmH,CLP,70.11 
[20307] QUOTE,HBb0dWvkmH,DOI 
[20396] BUY,HBb0dWvkmH,DDH,419.83 
[20474] COMMIT_BUY,HBb0dWvkmH 
[20486] BUY,HBb0dWvkmH,BEC,447.68 
[20638] COMMIT_BUY,HBb0dWvkmH 
[20690] ADD,HBb0dWvkmH,52631.73 
[20834] QUOTE,HBb0dWvkmH,IGT 
[20971] BUY,HBb0dWvkmH,JLO,2.91 
[20995] COMMIT_BUY,HBb0dWvkmH 
[21280] SELL,HBb0dWvkmH,JQO,11.30 
[21364] SET_SELL_TRIGGER,HBb0dWvkmH,CDF,69.79 
[21367] BUY,HBb0dWvkmH,BBC,565.17 
[21383] COMMIT_BUY,HBb0dWvkmH 
[21524] SET_BUY_TRIGGER,HBb0dWvkmH,XZO,178.34 
[21728] DISPLAY_SUMMARY,HBb0dWvkmH 
[21964] QUOTE,HBb0dWvkmH,MFX 
[22010] DISPLAY_SUMMARY,HBb0dWvkmH 
[22215] SET_BUY_TRIGGER,HBb0dWvkmH,JSM,61.46 
[22402] SET_SELL_AMOUNT,HBb0dWvkmH,QJZ,168.95 
[22616] SET_SELL_TRIGGER,HBb0dWvkmH,QJZ,48.72 
[22675] SET_BUY_AMOUNT,HBb0dWvkmH,JCQ,541.49 
[22989] SET_BUY_TRIGGER,HBb0dWvkmH,GXT,170.64 
[23071] DISPLAY_SUMMARY,HBb0dWvkmH 
[23150] QUOTE,HBb0dWvkmH,JRJ 
[23166] BUY,HBb0dWvkmH,TSS,320.50 
[23203] COMMIT_BUY,HBb0dWvkmH 
[23233] ADD,HBb0dWvkmH,73811.35 
[23311] QUOTE,HBb0dWvkmH,DJD 
[23728] SET_SELL_TRIGGER,HBb0dWvkmH,SOT,188.13 
[24009] DISPLAY_SUMMARY,HBb0dWvkmH 
[24099] BUY,HBb0dWvkmH,LPW,488.74 
[24130] COMMIT_BUY,HBb0dWvkmH 
[24392] SET_SELL_AMOUNT,HBb0dWvkmH,KDA,177.79 
[24403] DISPLAY_SUMMARY,HBb0dWvkmH 
[24546] ADD,HBb0dWvkmH,49260.83 
[24671] BUY,HBb0dWvkmH,WFR,584.16 
[24735] COMMIT_BUY,HBb0dWvkmH 
[24911] DISPLAY_SUMMARY,HBb0dWvkmH 
[24934] BUY,HBb0dWvkmH,GJR,346.81 
[25149] SET_SELL_TRIGGER,HBb0dWvkmH,KDA,7.73 
[25189] ADD,HBb0dWvkmH,74030.70 
[25213] BUY,HBb0dWvkmH,JUJ,504.15 
[25334] COMMIT_BUY,HBb0dWvkmH 
[25424] SET_SELL_AMOUNT,HBb0dWvkmH,QJZ,235.17 
[25469] SET_SELL_TRIGGER,HBb0dWvkmH,QJZ,179.19 
[25567] SELL,HBb0dWvkmH,LFU,178.68 
[25572] COMMIT_SELL,HBb0dWvkmH 
[25592] QUOTE,HBb0dWvkmH,KGV 
[25658] QUOTE,HBb0dWvkmH,DMS 
[25673] QUOTE,HBb0dWvkmH,STT 
[25826] COMMIT_SELL,HBb0dWvkmH 
[25906] ADD,HBb0dWvkmH,85439.19 
[25994] BUY,HBb0dWvkmH,EYY,466.01 
[26021] COMMIT_BUY,HBb0dWvkmH 
[26159] COMMIT_BUY,HBb0dWvkmH 
[26260] SET_BUY_TRIGGER,HBb0dWvkmH,KRY,136.82 
[26373] SET_SELL_TRIGGER,HBb0dWvkmH,IGT,171.07 
[26407] SET_SELL_AMOUNT,HBb0dWvkmH,JVT,629.36 
[26650] CANCEL_SET_SELL,HBb0dWvkmH,JVT 
[26675] ADD,HBb0dWvkmH,64246.28 
[26724] QUOTE,HBb0dWvkmH,DMW 
[26768] QUOTE,HBb0dWvkmH,IZS 
[26910] SET_SELL_AMOUNT,HBb0dWvkmH,RUN,201.52 
[26925] SET_SELL_TRIGGER,HBb0dWvkmH,RUN,36.12 
[27184] CANCEL_BUY,HBb0dWvkmH 
[27190] SET_BUY_AMOUNT,HBb0dWvkmH,JCQ,200.20 
[27571] SET_BUY_TRIGGER,HBb0dWvkmH,VNN,149.39 
[27656] SELL,HBb0dWvkmH,JCQ,637.32 
[27659] CANCEL_BUY,HBb0dWvkmH 
[27881] COMMIT_BUY,HBb0dWvkmH 
[27899] SET_BUY_TRIGGER,HBb0dWvkmH,SKW,191.49 
[27903] SET_BUY_AMOUNT,HBb0dWvkmH,QAX,40.60 
[27957] SET_BUY_TRIGGER,HBb0dWvkmH,ECI,35.72 
[28027] SET_SELL_TRIGGER,HBb0dWvkmH,WUL,83.13 
[28040] BUY,HBb0dWvkmH,URD,127.49 
[28232] QUOTE,HBb0dWvkmH,TZJ 
[28289] SET_BUY_TRIGGER,HBb0dWvkmH,OGR,159.46 
[28503] SELL,HBb0dWvkmH,KDA,173.82 
[28530] CANCEL_SELL,HBb0dWvkmH 
[28541] BUY,HBb0dWvkmH,EEG,344.26 
[28573] COMMIT_BUY,HBb0dWvkmH 
[28659] SET_SELL_TRIGGER,HBb0dWvkmH,MVI,129.66 
[28856] SET_SELL_AMOUNT,HBb0dWvkmH,LFU,440.00 
[28877] SET_SELL_TRIGGER,HBb0dWvkmH,LFU,270.90 
[28963] SET_BUY_TRIGGER,HBb0dWvkmH,ZYR,2.76 
[29159] BUY,HBb0dWvkmH,ELQ,102.90 
[29495] COMMIT_BUY,HBb0dWvkmH 
[29729] SET_BUY_TRIGGER,HBb0dWvkmH,WBX,56.79 
[29782] SET_BUY_TRIGGER,HBb0dWvkmH,ATW,108.11 
[29885] COMMIT_BUY,HBb0dWvkmH 
[29905] SELL,HBb0dWvkmH,DFE,520.87 
[29911] CANCEL_SELL,HBb0dWvkmH 
[29937] SET_BUY_TRIGGER,HBb0dWvkmH,SJZ,86.98 
[29949] ADD,HBb0dWvkmH,57656.13 
[29990] BUY,HBb0dWvkmH,DBR,176.83 
[30013] COMMIT_BUY,HBb0dWvkmH 
[30117] ADD,HBb0dWvkmH,43201.88 
[30200] QUOTE,HBb0dWvkmH,MVI 
[30318] SET_BUY_TRIGGER,HBb0dWvkmH,UGT,193.75 
[30357] QUOTE,HBb0dWvkmH,KES 
[30596] QUOTE,HBb0dWvkmH,FGI 
[30874] ADD,HBb0dWvkmH,73608.64 
[31083] QUOTE,HBb0dWvkmH,SQS 
[31106] SET_SELL_TRIGGER,HBb0dWvkmH,PGV,57.14 
[31121] SET_SELL_TRIGGER,HBb0dWvkmH,IFI,189.63 
[31446] CANCEL_BUY,HBb0dWvkmH 
[31614] SET_SELL_TRIGGER,HBb0dWvkmH,SSL,79.44 
[31689] DISPLAY_SUMMARY,HBb0dWvkmH 
[31711] COMMIT_BUY,HBb0dWvkmH 
[31727] DISPLAY_SUMMARY,HBb0dWvkmH 
[31738] SELL,HBb0dWvkmH,KDA,62.79 
[31885] SET_SELL_AMOUNT,HBb0dWvkmH,FQP,54.41 
[32109] SET_SELL_TRIGGER,HBb0dWvkmH,FQP,35.51 
[32115] SELL,HBb0dWvkmH,DFE,654.58 
[32143] CANCEL_SELL,HBb0dWvkmH 
[32153] QUOTE,HBb0dWvkmH,NVN 
[32231] DISPLAY_SUMMARY,HBb0dWvkmH 
[32431] BUY,HBb0dWvkmH,XTH,453.35 
[32462] SET_SELL_AMOUNT,HBb0dWvkmH,QJZ,189.11 
[32488] DISPLAY_SUMMARY,HBb0dWvkmH 
[32557] SET_SELL_AMOUNT,HBb0dWvkmH,RGH,140.82 
[32820] QUOTE,HBb0dWvkmH,NTT 
[32829] BUY,HBb0dWvkmH,FUR,486.48 
[32890] QUOTE,HBb0dWvkmH,MHQ 
[32933] ADD,HBb0dWvkmH,79060.03 
[33062] COMMIT_BUY,HBb0dWvkmH 
[33081] QUOTE,HBb0dWvkmH,WQE 
[33191] QUOTE,HBb0dWvkmH,IGI 
[33739] BUY,HBb0dWvkmH,DJD,201.38 
[33795] COMMIT_BUY,HBb0dWvkmH 
[33802] SET_SELL_AMOUNT,HBb0dWvkmH,QAX,714.58 
[33991] SET_SELL_TRIGGER,HBb0dWvkmH,QAX,328.14 
[34191] ADD,HBb0dWvkmH,37687.55 
[34500] BUY,HBb0dWvkmH,KGA,680.32 
[34640] COMMIT_BUY,HBb0dWvkmH 
[34696] BUY,HBb0dWvkmH,ZAO,265.37 
[34779] COMMIT_BUY,HBb0dWvkmH 
[34850] SET_BUY_TRIGGER,HBb0dWvkmH,VNO,191.32 
[34871] SET_BUY_TRIGGER,HBb0dWvkmH,IWL,158.77 
[34938] ADD,HBb0dWvkmH,57582.47 
[35090] QUOTE,HBb0dWvkmH,JEO 
[35148] ADD,HBb0dWvkmH,78342.02 
[35173] BUY,HBb0dWvkmH,NXU,609.47 
[35272] COMMIT_BUY,HBb0dWvkmH 
[35459] SELL,HBb0dWvkmH,KDA,529.24 
[35523] COMMIT_SELL,HBb0dWvkmH 
[35539] SELL,HBb0dWvkmH,ZAN,508.50 
[35604] QUOTE,HBb0dWvkmH,XZO 
[35646] BUY,HBb0dWvkmH,POI,676.28 
[35754] COMMIT_BUY,HBb0dWvkmH 
[35847] ADD,HBb0dWvkmH,71076.43 
[35879] COMMIT_SELL,HBb0dWvkmH 
[35979] SET_BUY_AMOUNT,HBb0dWvkmH,XXQ,488.50 
[36155] SET_BUY_TRIGGER,HBb0dWvkmH,MQX,159.70 
[36329] CANCEL_BUY,HBb0dWvkmH 
[36430] SET_BUY_AMOUNT,HBb0dWvkmH,ZYR,515.57 
[36538] SET_BUY_TRIGGER,HBb0dWvkmH,YNY,223.85 
[37169] CANCEL_SET_SELL,HBb0dWvkmH,FIW 
[37433] ADD,HBb0dWvkmH,38172.41 
[37603] BUY,HBb0dWvkmH,WBX,726.81 
[37712] COMMIT_BUY,HBb0dWvkmH 
[37821] SELL,HBb0dWvkmH,LFU,140.01 
[37884] CANCEL_SET_BUY,HBb0dWvkmH,RWM 
[38005] SET_BUY_TRIGGER,HBb0dWvkmH,IKK,39.05 
[38098] SET_SELL_TRIGGER,HBb0dWvkmH,GED,125.14 
[38341] SELL,HBb0dWvkmH,CUZ,291.52 
[38566] CANCEL_SELL,HBb0dWvkmH 
[38577] SET_SELL_AMOUNT,HBb0dWvkmH,RNK,34.79 
[38671] SET_SELL_TRIGGER,HBb0dWvkmH,RNK,31.54 
[38724] SELL,HBb0dWvkmH,KDA,381.82 
[38734] SET_BUY_TRIGGER,HBb0dWvkmH,HEK,6.33 
[38855] QUOTE,HBb0dWvkmH,UTD 
[39001] DISPLAY_SUMMARY,HBb0dWvkmH 
[39132] BUY,HBb0dWvkmH,UDM,314.36 
[39203] COMMIT_BUY,HBb0dWvkmH 
[39219] SET_SELL_AMOUNT,HBb0dWvkmH,JRJ,740.14 
[39418] SET_SELL_TRIGGER,HBb0dWvkmH,JRJ,720.36 
[39435] DISPLAY_SUMMARY,HBb0dWvkmH 
[39554] SET_BUY_AMOUNT,HBb0dWvkmH,JZJ,528.14 
[39637] SET_BUY_TRIGGER,HBb0dWvkmH,SIK,211.22 
[39698] SET_SELL_AMOUNT,HBb0dWvkmH,FQP,314.99 
[39709] SET_SELL_TRIGGER,HBb0dWvkmH,FQP,230.58 
[39749] SELL,HBb0dWvkmH,XXQ,29.21 
[39809] QUOTE,HBb0dWvkmH,TSS 
[39841] BUY,HBb0dWvkmH,YPL,175.99 
[39906] CANCEL_SET_SELL,HBb0dWvkmH,USW 
[39969] QUOTE,HBb0dWvkmH,ZJG 
[40051] ADD,HBb0dWvkmH,73617.23 
[40430] BUY,HBb0dWvkmH,PTP,704.88 
[40438] COMMIT_BUY,HBb0dWvkmH 
[40449] COMMIT_SELL,HBb0dWvkmH 
[40455] SELL,HBb0dWvkmH,RNK,285.25 
[40756] CANCEL_SET_SELL,HBb0dWvkmH,ZOT 
[40946] SET_SELL_TRIGGER,HBb0dWvkmH,XMA,132.96 
[40985] BUY,HBb0dWvkmH,BXH,343.26 
[41186] SET_BUY_AMOUNT,HBb0dWvkmH,JZJ,669.01 
[41205] QUOTE,HBb0dWvkmH,LVV 
[41323] SET_SELL_AMOUNT,HBb0dWvkmH,CSZ,0.82 
[41333] SET_SELL_TRIGGER,HBb0dWvkmH,CSZ,0.17 
[41608] ADD,HBb0dWvkmH,56631.85 
[41626] DISPLAY_SUMMARY,HBb0dWvkmH 
[41723] SELL,HBb0dWvkmH,RUN,24.81 
[41825] COMMIT_SELL,HBb0dWvkmH 
[42080] SET_SELL_TRIGGER,HBb0dWvkmH,WAI,103.76 
[42128] QUOTE,HBb0dWvkmH,QEO 
[42188] QUOTE,HBb0dWvkmH,FCM 
[42369] QUOTE,HBb0dWvkmH,PVZ 
[42448] QUOTE,HBb0dWvkmH,EIH 
[42450] SET_BUY_TRIGGER,HBb0dWvkmH,KYT,116.79 
[42518] ADD,HBb0dWvkmH,46108.20 
[42564] QUOTE,HBb0dWvkmH,QGE 
[42625] CANCEL_SET_BUY,HBb0dWvkmH,FCM 
[42626] SELL,HBb0dWvkmH,JVT,287.95 
[42682] COMMIT_SELL,HBb0dWvkmH 
[42707] BUY,HBb0dWvkmH,SSL,702.24 
[42822] COMMIT_BUY,HBb0dWvkmH 
[42887] COMMIT_SELL,HBb0dWvkmH 
[42920] DISPLAY_SUMMARY,HBb0dWvkmH 
[43059] SELL,HBb0dWvkmH,KDA,543.65 
[43069] CANCEL_SELL,HBb0dWvkmH 
[43143] SET_BUY_TRIGGER,HBb0dWvkmH,ONI,144.00 
[43150] ADD,HBb0dWvkmH,78431.68 
[43163] CANCEL_SELL,HBb0dWvkmH 
[43249] SET_SELL_TRIGGER,HBb0dWvkmH,LLF,167.94 
[43505] CANCEL_SET_SELL,HBb0dWvkmH,EED 
[43657] CANCEL_BUY,HBb0dWvkmH 
[43858] SET_BUY_TRIGGER,HBb0dWvkmH,FCH,64.92 
[43893] DISPLAY_SUMMARY,HBb0dWvkmH 
[43897] SET_SELL_TRIGGER,HBb0dWvkmH,YZC,187.62 
[44018] ADD,HBb0dWvkmH,74934.20 
[44192] BUY,HBb0dWvkmH,FTJ,217.73 
[44323] SET_BUY_AMOUNT,HBb0dWvkmH,DFE,606.01 
[44328] SET_BUY_TRIGGER,HBb0dWvkmH,PBX,129.75 
[44375] SET_SELL_AMOUNT,HBb0dWvkmH,UTV,746.36 
[44384] SET_SELL_TRIGGER,HBb0dWvkmH,UTV,285.17 
[44481] ADD,HBb0dWvkmH,51674.67 
[44608] BUY,HBb0dWvkmH,KZQ,341.32 
