[3] ADD,WUsol6wtDm,87738.46 
[8992] DISPLAY_SUMMARY,WUsol6wtDm 
[8999] DISPLAY_SUMMARY,WUsol6wtDm 
[9154] SET_SELL_AMOUNT,WUsol6wtDm,KDA,518.07 
[9184] SET_SELL_TRIGGER,WUsol6wtDm,KDA,302.48 
[9186] ADD,WUsol6wtDm,68544.38 
[9489] CANCEL_SET_BUY,WUsol6wtDm,ARP 
[9692] SELL,WUsol6wtDm,JCQ,463.33 
[9712] COMMIT_SELL,WUsol6wtDm 
[9718] QUOTE,WUsol6wtDm,MXD 
[9721] QUOTE,WUsol6wtDm,YVS 
[9731] BUY,WUsol6wtDm,BZH,469.07 
[9749] COMMIT_BUY,WUsol6wtDm 
[9958] ADD,WUsol6wtDm,75745.09 
[9959] BUY,WUsol6wtDm,VAT,267.21 
[10468] COMMIT_BUY,WUsol6wtDm 
[10479] DISPLAY_SUMMARY,WUsol6wtDm 
[10534] BUY,WUsol6wtDm,XII,163.15 
[10784] COMMIT_BUY,WUsol6wtDm 
[10924] DISPLAY_SUMMARY,WUsol6wtDm 
[10935] SET_BUY_AMOUNT,WUsol6wtDm,QJZ,716.12 
[10973] QUOTE,WUsol6wtDm,FIC 
[11112] COMMIT_BUY,WUsol6wtDm 
[11262] SET_SELL_AMOUNT,WUsol6wtDm,UTV,536.71 
[11340] CANCEL_SET_SELL,WUsol6wtDm,UTV 
[11349] COMMIT_BUY,WUsol6wtDm 
[11393] DISPLAY_SUMMARY,WUsol6wtDm 
[11542] SET_SELL_TRIGGER,WUsol6wtDm,ERF,184.91 
[12205] DISPLAY_SUMMARY,WUsol6wtDm 
[12208] BUY,WUsol6wtDm,KCS,90.47 
[12292] BUY,WUsol6wtDm,LPB,169.07 
[12434] COMMIT_BUY,WUsol6wtDm 
[12446] ADD,WUsol6wtDm,83027.35 
[12574] QUOTE,WUsol6wtDm,IFI 
[12619] QUOTE,WUsol6wtDm,TSU 
[12860] BUY,WUsol6wtDm,APY,539.07 
[12861] CANCEL_BUY,WUsol6wtDm 
[12923] ADD,WUsol6wtDm,57873.01 
[12950] BUY,WUsol6wtDm,YTY,19.08 
[12977] COMMIT_BUY,WUsol6wtDm 
[13125] SELL,WUsol6wtDm,GYF,9.85 
[13296] SET_BUY_TRIGGER,WUsol6wtDm,SYM,141.72 
[13304] BUY,WUsol6wtDm,DBS,689.33 
[13381] SET_SELL_AMOUNT,WUsol6wtDm,UTV,533.30 
[13405] BUY,WUsol6wtDm,YBO,677.16 
[13408] SET_SELL_AMOUNT,WUsol6wtDm,UTV,341.48 
[13590] SET_SELL_TRIGGER,WUsol6wtDm,UTV,336.95 
[13847] BUY,WUsol6wtDm,YJK,633.78 
[13928] COMMIT_BUY,WUsol6wtDm 
[13940] QUOTE,WUsol6wtDm,DRP 
[13993] QUOTE,WUsol6wtDm,DNJ 
[14363] ADD,WUsol6wtDm,72303.62 
[14669] CANCEL_BUY,WUsol6wtDm 
[14811] ADD,WUsol6wtDm,53738.06 
[14814] QUOTE,WUsol6wtDm,WOJ 
[14859] QUOTE,WUsol6wtDm,UGT 
[14916] BUY,WUsol6wtDm,GWF,323.62 
[14985] COMMIT_BUY,WUsol6wtDm 
[15682] CANCEL_SET_BUY,WUsol6wtDm,UTD 
[15783] DISPLAY_SUMMARY,WUsol6wtDm 
[15861] DISPLAY_SUMMARY,WUsol6wtDm 
[15875] DISPLAY_SUMMARY,WUsol6wtDm 
[16034] ADD,WUsol6wtDm,63153.51 
[16087] QUOTE,WUsol6wtDm,SHP 
[16121] BUY,WUsol6wtDm,BSG,226.25 
[16187] CANCEL_BUY,WUsol6wtDm 
[16216] SET_BUY_AMOUNT,WUsol6wtDm,FQP,93.56 
[16292] SET_BUY_TRIGGER,WUsol6wtDm,RGH,55.81 
[16338] BUY,WUsol6wtDm,VNN,408.07 
[16540] ADD,WUsol6wtDm,51060.93 
[16597] COMMIT_BUY,WUsol6wtDm 
[16633] CANCEL_SET_SELL,WUsol6wtDm,XYV 
[16975] SET_SELL_TRIGGER,WUsol6wtDm,OOR,47.96 
[17033] SET_BUY_TRIGGER,WUsol6wtDm,KPP,18.08 
[17083] COMMIT_BUY,WUsol6wtDm 
[17176] DISPLAY_SUMMARY,WUsol6wtDm 
[17280] BUY,WUsol6wtDm,ZMS,634.66 
[17331] COMMIT_BUY,WUsol6wtDm 
[17362] QUOTE,WUsol6wtDm,OEM 
[17369] SET_BUY_TRIGGER,WUsol6wtDm,YTY,140.31 
[17836] ADD,WUsol6wtDm,77340.22 
[17838] QUOTE,WUsol6wtDm,AJR 
[17930] SET_BUY_AMOUNT,WUsol6wtDm,UTV,367.77 
[18027] SET_BUY_TRIGGER,WUsol6wtDm,LSM,357.31 
[18187] DISPLAY_SUMMARY,WUsol6wtDm 
[18205] ADD,WUsol6wtDm,78738.51 
[18256] BUY,WUsol6wtDm,LVV,41.15 
[18273] CANCEL_SET_BUY,WUsol6wtDm,PIE 
[18455] ADD,WUsol6wtDm,80269.95 
[18686] BUY,WUsol6wtDm,YLZ,467.74 
[18722] COMMIT_BUY,WUsol6wtDm 
[18787] BUY,WUsol6wtDm,HSH,418.59 
[18810] QUOTE,WUsol6wtDm,FQP 
[18859] CANCEL_SET_SELL,WUsol6wtDm,NJB 
[18871] SET_SELL_TRIGGER,WUsol6wtDm,BBD,134.72 
[18872] SET_BUY_TRIGGER,WUsol6wtDm,ZEU,141.18 
[18962] SET_SELL_TRIGGER,WUsol6wtDm,ZOZ,89.70 
[18968] ADD,WUsol6wtDm,81167.47 
[19093] BUY,WUsol6wtDm,KBN,554.62 
[19125] DISPLAY_SUMMARY,WUsol6wtDm 
[19142] ADD,WUsol6wtDm,55261.59 
[19179] COMMIT_SELL,WUsol6wtDm 
[19195] QUOTE,WUsol6wtDm,STO 
[19364] CANCEL_SELL,WUsol6wtDm 
[19390] BUY,WUsol6wtDm,MIU,194.46 
[19581] COMMIT_BUY,WUsol6wtDm 
[19606] QUOTE,WUsol6wtDm,LPR 
[19632] ADD,WUsol6wtDm,71725.19 
[19725] QUOTE,WUsol6wtDm,CLP 
[19730] QUOTE,WUsol6wtDm,FGF 
[19787] BUY,WUsol6wtDm,EJW,376.43 
[19968] COMMIT_BUY,WUsol6wtDm 
[19975] SET_SELL_TRIGGER,WUsol6wtDm,DDH,160.22 
[20145] CANCEL_BUY,WUsol6wtDm 
[20204] QUOTE,WUsol6wtDm,IGT 
[20305] BUY,WUsol6wtDm,PHZ,3.21 
[20431] COMMIT_BUY,WUsol6wtDm 
[20458] ADD,WUsol6wtDm,58902.84 
[20466] COMMIT_BUY,WUsol6wtDm 
[20487] DISPLAY_SUMMARY,WUsol6wtDm 
[20982] SET_SELL_TRIGGER,WUsol6wtDm,FQP,161.06 
[20996] ADD,WUsol6wtDm,71561.52 
[21066] BUY,WUsol6wtDm,NGH,663.64 
[21086] CANCEL_BUY,WUsol6wtDm 
[21088] QUOTE,WUsol6wtDm,GIK 
[21275] SET_SELL_AMOUNT,WUsol6wtDm,QAX,238.05 
[21308] DISPLAY_SUMMARY,WUsol6wtDm 
[21452] CANCEL_BUY,WUsol6wtDm 
[21579] DISPLAY_SUMMARY,WUsol6wtDm 
[21669] SET_BUY_AMOUNT,WUsol6wtDm,QAX,724.60 
[21768] CANCEL_SET_BUY,WUsol6wtDm,QID 
[21818] DISPLAY_SUMMARY,WUsol6wtDm 
[21821] SET_BUY_TRIGGER,WUsol6wtDm,FYA,102.79 
[21834] DISPLAY_SUMMARY,WUsol6wtDm 
[21986] ADD,WUsol6wtDm,53649.77 
[22027] COMMIT_BUY,WUsol6wtDm 
[22056] DISPLAY_SUMMARY,WUsol6wtDm 
[22062] SET_SELL_AMOUNT,WUsol6wtDm,LFU,259.91 
[22142] BUY,WUsol6wtDm,YUL,39.31 
[22144] COMMIT_BUY,WUsol6wtDm 
[22276] ADD,WUsol6wtDm,60134.14 
[22315] QUOTE,WUsol6wtDm,GMF 
[22435] BUY,WUsol6wtDm,BWL,617.44 
[22595] QUOTE,WUsol6wtDm,PIC 
[22852] QUOTE,WUsol6wtDm,CLQ 
[22957] BUY,WUsol6wtDm,JMX,588.18 
[22996] COMMIT_BUY,WUsol6wtDm 
[23014] BUY,WUsol6wtDm,CVP,428.92 
[23175] QUOTE,WUsol6wtDm,MIU 
[23178] QUOTE,WUsol6wtDm,KVJ 
[23286] SELL,WUsol6wtDm,UTV,114.52 
[23305] CANCEL_SELL,WUsol6wtDm 
[23396] SELL,WUsol6wtDm,LFU,338.75 
[23488] SET_SELL_AMOUNT,WUsol6wtDm,GYF,637.45 
[23607] SET_SELL_TRIGGER,WUsol6wtDm,GYF,196.20 
[23752] QUOTE,WUsol6wtDm,GAL 
[23984] BUY,WUsol6wtDm,WUF,491.30 
[24026] CANCEL_SET_SELL,WUsol6wtDm,TSU 
[24075] SELL,WUsol6wtDm,JVT,327.81 
[24085] CANCEL_SELL,WUsol6wtDm 
[24161] DISPLAY_SUMMARY,WUsol6wtDm 
[24174] SET_SELL_AMOUNT,WUsol6wtDm,YJK,112.56 
[24281] SET_SELL_TRIGGER,WUsol6wtDm,YJK,49.46 
[24450] ADD,WUsol6wtDm,68769.52 
[24533] SET_BUY_AMOUNT,WUsol6wtDm,KES,19.52 
[24623] SET_BUY_TRIGGER,WUsol6wtDm,VOU,15.83 
[24642] ADD,WUsol6wtDm,79073.25 
[24665] CANCEL_SELL,WUsol6wtDm 
[24765] SELL,WUsol6wtDm,ZTI,149.34 
[24819] BUY,WUsol6wtDm,FYA,387.81 
[24855] SET_SELL_TRIGGER,WUsol6wtDm,QPX,41.03 
[24954] SET_SELL_TRIGGER,WUsol6wtDm,IZU,147.98 
[25073] CANCEL_SELL,WUsol6wtDm 
[25171] SELL,WUsol6wtDm,OEY,701.43 
[25172] COMMIT_SELL,WUsol6wtDm 
[25345] SET_BUY_AMOUNT,WUsol6wtDm,EBS,368.13 
[25350] SET_BUY_TRIGGER,WUsol6wtDm,DWU,116.30 
[25704] ADD,WUsol6wtDm,64018.92 
[25718] BUY,WUsol6wtDm,QID,657.40 
[25881] SET_BUY_AMOUNT,WUsol6wtDm,BYA,647.16 
[25955] SET_BUY_TRIGGER,WUsol6wtDm,EIK,594.04 
[25969] SELL,WUsol6wtDm,GYF,539.16 
[26012] SET_BUY_AMOUNT,WUsol6wtDm,ZYR,431.18 
[26045] SET_BUY_TRIGGER,WUsol6wtDm,MGO,216.39 
[26134] CANCEL_SELL,WUsol6wtDm 
[26230] ADD,WUsol6wtDm,100423.12 
[26354] QUOTE,WUsol6wtDm,YVX 
[26394] BUY,WUsol6wtDm,SIK,575.55 
[26548] COMMIT_BUY,WUsol6wtDm 
[26631] SELL,WUsol6wtDm,KES,387.57 
[26764] CANCEL_SELL,WUsol6wtDm 
[27015] QUOTE,WUsol6wtDm,VIG 
[27105] QUOTE,WUsol6wtDm,BWR 
[27137] QUOTE,WUsol6wtDm,EDV 
[27203] QUOTE,WUsol6wtDm,EDW 
[27361] SET_BUY_AMOUNT,WUsol6wtDm,QJZ,188.63 
[27411] SET_BUY_TRIGGER,WUsol6wtDm,OYS,178.82 
[27566] SET_BUY_TRIGGER,WUsol6wtDm,NAR,62.98 
[27648] COMMIT_BUY,WUsol6wtDm 
[27700] SET_BUY_TRIGGER,WUsol6wtDm,ROW,114.50 
[27754] SELL,WUsol6wtDm,JCQ,464.26 
[27797] COMMIT_SELL,WUsol6wtDm 
[27816] DISPLAY_SUMMARY,WUsol6wtDm 
[27825] SET_SELL_TRIGGER,WUsol6wtDm,OEX,179.61 
[27878] QUOTE,WUsol6wtDm,LFU 
[27906] ADD,WUsol6wtDm,95473.06 
[28169] QUOTE,WUsol6wtDm,PPY 
[28275] SET_BUY_TRIGGER,WUsol6wtDm,ZNZ,145.47 
[28292] ADD,WUsol6wtDm,52331.64 
[28300] SET_BUY_AMOUNT,WUsol6wtDm,ZTI,355.88 
[28365] SET_BUY_TRIGGER,WUsol6wtDm,CXC,127.75 
[28428] BUY,WUsol6wtDm,SJG,128.21 
[28556] COMMIT_BUY,WUsol6wtDm 
[28845] ADD,WUsol6wtDm,84236.60 
[28980] QUOTE,WUsol6wtDm,FPP 
[29090] BUY,WUsol6wtDm,EEG,646.89 
[29231] COMMIT_BUY,WUsol6wtDm 
[29298] ADD,WUsol6wtDm,63254.07 
[29460] BUY,WUsol6wtDm,EEG,250.83 
[29594] COMMIT_BUY,WUsol6wtDm 
[29739] CANCEL_SET_SELL,WUsol6wtDm,NVX 
[29799] SET_SELL_TRIGGER,WUsol6wtDm,GPW,24.44 
[29800] BUY,WUsol6wtDm,ZKV,387.41 
[29908] COMMIT_BUY,WUsol6wtDm 
[29918] ADD,WUsol6wtDm,92218.98 
[29932] QUOTE,WUsol6wtDm,UDQ 
[29976] SELL,WUsol6wtDm,JVT,72.05 
[29994] SET_BUY_AMOUNT,WUsol6wtDm,JCQ,324.00 
[30018] SET_BUY_TRIGGER,WUsol6wtDm,LUT,132.64 
[30062] BUY,WUsol6wtDm,PWK,562.48 
[30288] COMMIT_BUY,WUsol6wtDm 
[30447] COMMIT_BUY,WUsol6wtDm 
[30547] QUOTE,WUsol6wtDm,FTP 
[30778] QUOTE,WUsol6wtDm,ZAO 
[30826] BUY,WUsol6wtDm,CVK,183.15 
[30866] SET_BUY_AMOUNT,WUsol6wtDm,YJK,360.90 
[30911] CANCEL_SET_BUY,WUsol6wtDm,FUR 
[31041] SET_SELL_AMOUNT,WUsol6wtDm,JVT,530.13 
[31248] SET_SELL_TRIGGER,WUsol6wtDm,JVT,427.08 
[31296] ADD,WUsol6wtDm,74107.80 
[31525] QUOTE,WUsol6wtDm,QPR 
[31562] QUOTE,WUsol6wtDm,MLU 
[31709] SET_BUY_AMOUNT,WUsol6wtDm,KDA,623.57 
[31719] SET_BUY_TRIGGER,WUsol6wtDm,YOG,84.46 
[31850] SET_BUY_TRIGGER,WUsol6wtDm,WGV,15.33 
[31875] ADD,WUsol6wtDm,60492.87 
[31947] QUOTE,WUsol6wtDm,DKV 
[31975] SET_BUY_AMOUNT,WUsol6wtDm,RNK,686.17 
[31999] SET_BUY_TRIGGER,WUsol6wtDm,OOR,449.10 
[32039] ADD,WUsol6wtDm,83239.71 
[32104] SET_BUY_AMOUNT,WUsol6wtDm,GYF,452.88 
[32192] SET_BUY_TRIGGER,WUsol6wtDm,TYV,90.95 
[32593] SET_BUY_TRIGGER,WUsol6wtDm,IFQ,148.84 
[32637] ADD,WUsol6wtDm,82506.68 
[32731] BUY,WUsol6wtDm,AED,568.81 
[32771] CANCEL_SET_BUY,WUsol6wtDm,EMN 
[32924] SELL,WUsol6wtDm,RNK,365.67 
[32964] QUOTE,WUsol6wtDm,LEA 
[32993] SET_BUY_TRIGGER,WUsol6wtDm,UCG,41.22 
[33029] SET_BUY_TRIGGER,WUsol6wtDm,XUH,79.34 
[33034] SET_SELL_AMOUNT,WUsol6wtDm,ZYR,259.58 
[33120] BUY,WUsol6wtDm,KAO,483.21 
[33272] CANCEL_BUY,WUsol6wtDm 
[33300] QUOTE,WUsol6wtDm,WJP 
[33403] COMMIT_BUY,WUsol6wtDm 
[33698] DISPLAY_SUMMARY,WUsol6wtDm 
[33706] DISPLAY_SUMMARY,WUsol6wtDm 
[33942] ADD,WUsol6wtDm,58956.97 
[33992] QUOTE,WUsol6wtDm,FFI 
[34329] SET_SELL_AMOUNT,WUsol6wtDm,RNK,337.34 
[34451] CANCEL_SET_SELL,WUsol6wtDm,RNK 
[34483] QUOTE,WUsol6wtDm,XUY 
[34567] SELL,WUsol6wtDm,OPN,304.35 
[34777] COMMIT_SELL,WUsol6wtDm 
[34984] ADD,WUsol6wtDm,64161.77 
[35345] BUY,WUsol6wtDm,ZCG,297.98 
[35359] COMMIT_BUY,WUsol6wtDm 
[35395] SET_BUY_TRIGGER,WUsol6wtDm,VVV,171.42 
[35471] DISPLAY_SUMMARY,WUsol6wtDm 
[35558] SELL,WUsol6wtDm,FQP,515.11 
[35612] COMMIT_SELL,WUsol6wtDm 
[35829] SELL,WUsol6wtDm,GYF,195.97 
[35900] CANCEL_SET_SELL,WUsol6wtDm,PMX 
[36259] ADD,WUsol6wtDm,72596.37 
[36324] BUY,WUsol6wtDm,XOL,26.52 
[36338] COMMIT_BUY,WUsol6wtDm 
[36451] QUOTE,WUsol6wtDm,SIK 
[36495] BUY,WUsol6wtDm,ZAV,597.40 
[36604] COMMIT_BUY,WUsol6wtDm 
[36650] SET_SELL_AMOUNT,WUsol6wtDm,JZJ,106.99 
[36683] BUY,WUsol6wtDm,WKG,702.18 
[36707] COMMIT_BUY,WUsol6wtDm 
[37003] SET_SELL_AMOUNT,WUsol6wtDm,BCQ,111.65 
[37061] SET_SELL_TRIGGER,WUsol6wtDm,BCQ,84.36 
[37611] SET_SELL_TRIGGER,WUsol6wtDm,WSR,99.42 
[37696] SET_BUY_AMOUNT,WUsol6wtDm,FDI,524.96 
[37738] SET_BUY_TRIGGER,WUsol6wtDm,LJZ,88.82 
[37812] SET_SELL_TRIGGER,WUsol6wtDm,VBO,99.19 
[37853] ADD,WUsol6wtDm,79340.34 
[37881] BUY,WUsol6wtDm,RRT,563.20 
[37948] COMMIT_BUY,WUsol6wtDm 
[38063] SELL,WUsol6wtDm,UBJ,384.86 
[38177] COMMIT_SELL,WUsol6wtDm 
[38227] CANCEL_SET_SELL,WUsol6wtDm,NVN 
[38336] SELL,WUsol6wtDm,KDA,749.09 
[38382] QUOTE,WUsol6wtDm,DWK 
[38400] COMMIT_SELL,WUsol6wtDm 
[38465] QUOTE,WUsol6wtDm,WNU 
[38479] SET_SELL_AMOUNT,WUsol6wtDm,KDA,154.33 
[38491] SET_SELL_TRIGGER,WUsol6wtDm,KDA,128.62 
[38521] SET_BUY_TRIGGER,WUsol6wtDm,MFY,151.40 
[38543] QUOTE,WUsol6wtDm,IWL 
[38552] SET_BUY_TRIGGER,WUsol6wtDm,MUN,175.43 
[38609] CANCEL_SET_SELL,WUsol6wtDm,CBK 
[38706] DISPLAY_SUMMARY,WUsol6wtDm 
[38943] DISPLAY_SUMMARY,WUsol6wtDm 
[38954] COMMIT_BUY,WUsol6wtDm 
[38966] SET_SELL_TRIGGER,WUsol6wtDm,TKM,112.57 
[39031] SET_SELL_TRIGGER,WUsol6wtDm,YAV,101.11 
[39034] SET_BUY_AMOUNT,WUsol6wtDm,DFE,304.92 
[39138] CANCEL_SET_BUY,WUsol6wtDm,LSM 
[39300] SET_SELL_AMOUNT,WUsol6wtDm,YJK,128.55 
[39464] SET_SELL_TRIGGER,WUsol6wtDm,YJK,8.69 
[39571] ADD,WUsol6wtDm,43647.64 
[39732] DISPLAY_SUMMARY,WUsol6wtDm 
[39889] SET_SELL_AMOUNT,WUsol6wtDm,KDA,700.49 
[39950] SET_SELL_TRIGGER,WUsol6wtDm,KDA,612.18 
[39983] ADD,WUsol6wtDm,68033.82 
[40145] QUOTE,WUsol6wtDm,GDO 
[40247] BUY,WUsol6wtDm,YQC,462.12 
[40362] SET_SELL_TRIGGER,WUsol6wtDm,FTB,99.66 
[40379] SELL,WUsol6wtDm,BCQ,734.49 
[40442] COMMIT_SELL,WUsol6wtDm 
[40613] SET_BUY_AMOUNT,WUsol6wtDm,OEY,511.76 
[40708] SET_BUY_TRIGGER,WUsol6wtDm,FSD,143.94 
[40739] SET_BUY_AMOUNT,WUsol6wtDm,ZAN,184.37 
[40767] SET_BUY_TRIGGER,WUsol6wtDm,ZAO,47.04 
[40794] ADD,WUsol6wtDm,85702.51 
[40812] QUOTE,WUsol6wtDm,YTY 
[40894] QUOTE,WUsol6wtDm,XER 
[41002] SET_SELL_TRIGGER,WUsol6wtDm,RVU,135.66 
[41056] SET_BUY_AMOUNT,WUsol6wtDm,OPN,646.31 
[41099] DISPLAY_SUMMARY,WUsol6wtDm 
[41102] ADD,WUsol6wtDm,72375.50 
[41127] QUOTE,WUsol6wtDm,GQV 
[41228] SET_BUY_AMOUNT,WUsol6wtDm,KES,463.62 
[41358] SET_BUY_TRIGGER,WUsol6wtDm,AHE,268.12 
[41405] SET_BUY_TRIGGER,WUsol6wtDm,MAX,151.24 
[41447] BUY,WUsol6wtDm,OTQ,660.96 
[42312] COMMIT_BUY,WUsol6wtDm 
[42440] ADD,WUsol6wtDm,81335.47 
[42460] QUOTE,WUsol6wtDm,QVK 
[42557] SET_BUY_AMOUNT,WUsol6wtDm,QJZ,221.26 
[43158] SET_BUY_TRIGGER,WUsol6wtDm,OBO,31.63 
[43173] DISPLAY_SUMMARY,WUsol6wtDm 
[43195] SET_SELL_AMOUNT,WUsol6wtDm,OEY,354.35 
[43325] SELL,WUsol6wtDm,PTP,638.46 
[43421] COMMIT_BUY,WUsol6wtDm 
[43477] SET_SELL_TRIGGER,WUsol6wtDm,OEY,181.74 
[43494] QUOTE,WUsol6wtDm,RGM 
[43503] QUOTE,WUsol6wtDm,YBO 
[43633] BUY,WUsol6wtDm,FNY,459.82 
[44031] SET_BUY_TRIGGER,WUsol6wtDm,JYV,35.19 
[44066] SET_SELL_AMOUNT,WUsol6wtDm,YJK,450.64 
[44201] SET_SELL_TRIGGER,WUsol6wtDm,YJK,210.13 
[44567] ADD,WUsol6wtDm,83645.08 
[44641] BUY,WUsol6wtDm,OLI,83.96 
[45154] ADD,WUsol6wtDm,63896.88 
[45299] CANCEL_SET_SELL,WUsol6wtDm,CXW 
[45321] ADD,WUsol6wtDm,29335.86 
[45619] QUOTE,WUsol6wtDm,IZS 
[45637] BUY,WUsol6wtDm,VJB,22.13 
[45876] COMMIT_BUY,WUsol6wtDm 
[45956] QUOTE,WUsol6wtDm,JII 
[46374] BUY,WUsol6wtDm,MRK,701.08 
[46532] CANCEL_BUY,WUsol6wtDm 
[46567] SELL,WUsol6wtDm,FDI,614.49 
[46685] SET_SELL_AMOUNT,WUsol6wtDm,CSZ,415.06 
[46737] DISPLAY_SUMMARY,WUsol6wtDm 
[46755] SELL,WUsol6wtDm,UTV,149.66 
[46757] SET_SELL_AMOUNT,WUsol6wtDm,SUS,351.55 
[46906] BUY,WUsol6wtDm,WLT,660.16 
[46908] COMMIT_BUY,WUsol6wtDm 
[47071] QUOTE,WUsol6wtDm,RYU 
[47486] BUY,WUsol6wtDm,YOG,149.91 
[47557] COMMIT_BUY,WUsol6wtDm 
[47559] DISPLAY_SUMMARY,WUsol6wtDm 
[47822] CANCEL_SELL,WUsol6wtDm 
[47835] QUOTE,WUsol6wtDm,NBX 
[47874] BUY,WUsol6wtDm,KXF,506.17 
[47955] COMMIT_BUY,WUsol6wtDm 
[48008] BUY,WUsol6wtDm,WKD,569.11 
[48044] SET_BUY_TRIGGER,WUsol6wtDm,WRJ,184.87 
