[35] ADD,aMMzTGXVGg,43383.22 
[7061] SET_SELL_AMOUNT,aMMzTGXVGg,QJZ,488.18 
[7062] QUOTE,aMMzTGXVGg,ZAM 
[7147] BUY,aMMzTGXVGg,SCK,552.83 
[7233] SET_BUY_AMOUNT,aMMzTGXVGg,QJZ,506.43 
[7330] SET_BUY_TRIGGER,aMMzTGXVGg,GCW,150.37 
[7455] SELL,aMMzTGXVGg,QJZ,54.10 
[7470] COMMIT_SELL,aMMzTGXVGg 
[7567] CANCEL_BUY,aMMzTGXVGg 
[7629] SET_BUY_TRIGGER,aMMzTGXVGg,KZC,137.19 
[7683] ADD,aMMzTGXVGg,78824.48 
[8039] ADD,aMMzTGXVGg,61467.38 
[8074] BUY,aMMzTGXVGg,YUR,211.20 
[8110] COMMIT_SELL,aMMzTGXVGg 
[8236] DISPLAY_SUMMARY,aMMzTGXVGg 
[8378] BUY,aMMzTGXVGg,CVP,577.49 
[8539] COMMIT_BUY,aMMzTGXVGg 
[8542] BUY,aMMzTGXVGg,FVD,196.94 
[8556] COMMIT_BUY,aMMzTGXVGg 
[8655] DISPLAY_SUMMARY,aMMzTGXVGg 
[8669] QUOTE,aMMzTGXVGg,ONI 
[8703] BUY,aMMzTGXVGg,MWJ,5.56 
[8737] CANCEL_SET_SELL,aMMzTGXVGg,QJZ 
[8796] COMMIT_SELL,aMMzTGXVGg 
[8846] DISPLAY_SUMMARY,aMMzTGXVGg 
[8896] CANCEL_SET_SELL,aMMzTGXVGg,AHE 
[8925] DISPLAY_SUMMARY,aMMzTGXVGg 
[8978] SET_SELL_TRIGGER,aMMzTGXVGg,ZTR,181.34 
[8998] ADD,aMMzTGXVGg,56395.69 
[9020] QUOTE,aMMzTGXVGg,IRQ 
[9021] BUY,aMMzTGXVGg,JEA,598.77 
[9099] COMMIT_BUY,aMMzTGXVGg 
[9372] SET_SELL_TRIGGER,aMMzTGXVGg,XOA,110.79 
[9442] QUOTE,aMMzTGXVGg,YQC 
[9511] SET_SELL_AMOUNT,aMMzTGXVGg,KDA,680.78 
[9530] SELL,aMMzTGXVGg,FQP,243.88 
[9584] COMMIT_SELL,aMMzTGXVGg 
[9763] ADD,aMMzTGXVGg,85602.60 
[9791] SET_BUY_TRIGGER,aMMzTGXVGg,LPS,197.20 
[9868] DISPLAY_SUMMARY,aMMzTGXVGg 
[10027] SET_SELL_TRIGGER,aMMzTGXVGg,KDA,362.72 
[10040] CANCEL_SET_SELL,aMMzTGXVGg,JUJ 
[10168] SET_BUY_TRIGGER,aMMzTGXVGg,NDD,128.73 
[10253] ADD,aMMzTGXVGg,65851.42 
[10257] BUY,aMMzTGXVGg,RNK,102.40 
[10328] CANCEL_BUY,aMMzTGXVGg 
[10331] ADD,aMMzTGXVGg,64363.60 
[10333] CANCEL_SELL,aMMzTGXVGg 
[11250] BUY,aMMzTGXVGg,SVV,112.47 
[11259] COMMIT_BUY,aMMzTGXVGg 
[11618] SET_SELL_AMOUNT,aMMzTGXVGg,KES,223.78 
[11698] SET_SELL_TRIGGER,aMMzTGXVGg,KES,13.12 
[11928] SELL,aMMzTGXVGg,QJZ,399.19 
[12069] SET_SELL_AMOUNT,aMMzTGXVGg,KES,459.56 
[12195] SET_SELL_TRIGGER,aMMzTGXVGg,KES,132.36 
[12327] QUOTE,aMMzTGXVGg,HMR 
[12523] QUOTE,aMMzTGXVGg,MLT 
[12537] ADD,aMMzTGXVGg,46882.83 
[12651] CANCEL_SET_SELL,aMMzTGXVGg,RVZ 
[12718] SET_SELL_TRIGGER,aMMzTGXVGg,YUR,3.39 
[12737] ADD,aMMzTGXVGg,95808.42 
[12743] DISPLAY_SUMMARY,aMMzTGXVGg 
[13155] SELL,aMMzTGXVGg,FQP,744.71 
[13226] QUOTE,aMMzTGXVGg,YBB 
[13442] QUOTE,aMMzTGXVGg,JQO 
[13654] BUY,aMMzTGXVGg,KAF,582.17 
[13661] DISPLAY_SUMMARY,aMMzTGXVGg 
[13725] ADD,aMMzTGXVGg,32702.62 
[13754] QUOTE,aMMzTGXVGg,NGZ 
[13793] QUOTE,aMMzTGXVGg,ZCQ 
[13817] QUOTE,aMMzTGXVGg,NFL 
[13864] DISPLAY_SUMMARY,aMMzTGXVGg 
[13880] SET_BUY_AMOUNT,aMMzTGXVGg,QJZ,325.24 
[13888] SET_BUY_TRIGGER,aMMzTGXVGg,VND,315.85 
[13912] BUY,aMMzTGXVGg,EJW,731.43 
[13939] COMMIT_BUY,aMMzTGXVGg 
[13997] DISPLAY_SUMMARY,aMMzTGXVGg 
[14048] SET_BUY_AMOUNT,aMMzTGXVGg,QJZ,577.44 
[14187] SET_BUY_TRIGGER,aMMzTGXVGg,FDI,200.31 
[14343] ADD,aMMzTGXVGg,32362.06 
[14349] SELL,aMMzTGXVGg,QJZ,674.79 
[14361] QUOTE,aMMzTGXVGg,FUF 
[14418] DISPLAY_SUMMARY,aMMzTGXVGg 
[14444] SELL,aMMzTGXVGg,JVT,638.59 
[14560] CANCEL_SET_BUY,aMMzTGXVGg,BHP 
[14724] DISPLAY_SUMMARY,aMMzTGXVGg 
[14737] SET_SELL_TRIGGER,aMMzTGXVGg,MFY,141.39 
[15035] ADD,aMMzTGXVGg,55003.97 
[15262] QUOTE,aMMzTGXVGg,KCT 
[15403] BUY,aMMzTGXVGg,CJV,14.68 
[15491] SET_SELL_AMOUNT,aMMzTGXVGg,FQP,273.47 
[15563] CANCEL_SET_SELL,aMMzTGXVGg,FQP 
[15649] BUY,aMMzTGXVGg,DBT,357.57 
[16009] CANCEL_BUY,aMMzTGXVGg 
[16118] ADD,aMMzTGXVGg,70966.76 
[16225] QUOTE,aMMzTGXVGg,MWM 
[16289] COMMIT_SELL,aMMzTGXVGg 
[16384] ADD,aMMzTGXVGg,67303.90 
[16528] SET_BUY_TRIGGER,aMMzTGXVGg,BSZ,153.72 
[16564] ADD,aMMzTGXVGg,76715.35 
[16672] QUOTE,aMMzTGXVGg,PFK 
[16777] QUOTE,aMMzTGXVGg,IOY 
[16811] ADD,aMMzTGXVGg,72786.32 
[16854] BUY,aMMzTGXVGg,ZJB,344.57 
[16877] CANCEL_SET_BUY,aMMzTGXVGg,RQS 
[17092] BUY,aMMzTGXVGg,NRY,503.26 
[17194] COMMIT_BUY,aMMzTGXVGg 
[17335] ADD,aMMzTGXVGg,69871.19 
[17712] BUY,aMMzTGXVGg,XOP,139.62 
[17752] COMMIT_BUY,aMMzTGXVGg 
[17755] QUOTE,aMMzTGXVGg,XXQ 
[17818] BUY,aMMzTGXVGg,LJZ,745.98 
[17948] COMMIT_BUY,aMMzTGXVGg 
[18037] SET_BUY_TRIGGER,aMMzTGXVGg,FTJ,67.88 
[18102] ADD,aMMzTGXVGg,37949.42 
[18178] CANCEL_BUY,aMMzTGXVGg 
[18188] DISPLAY_SUMMARY,aMMzTGXVGg 
[18261] DISPLAY_SUMMARY,aMMzTGXVGg 
[18284] DISPLAY_SUMMARY,aMMzTGXVGg 
[18309] SELL,aMMzTGXVGg,JVT,397.04 
[18341] CANCEL_SELL,aMMzTGXVGg 
[18689] SET_BUY_AMOUNT,aMMzTGXVGg,EBS,2.60 
[18731] SET_BUY_TRIGGER,aMMzTGXVGg,ZMS,2.20 
[18796] ADD,aMMzTGXVGg,65702.88 
[18963] BUY,aMMzTGXVGg,FPV,532.38 
[18967] QUOTE,aMMzTGXVGg,BHJ 
[19000] BUY,aMMzTGXVGg,MQF,697.68 
[19154] COMMIT_BUY,aMMzTGXVGg 
[19218] DISPLAY_SUMMARY,aMMzTGXVGg 
[19243] SET_BUY_TRIGGER,aMMzTGXVGg,MWJ,56.65 
[19486] SET_BUY_AMOUNT,aMMzTGXVGg,QJZ,170.65 
[19521] SET_BUY_TRIGGER,aMMzTGXVGg,CWA,46.81 
[19560] DISPLAY_SUMMARY,aMMzTGXVGg 
[19591] BUY,aMMzTGXVGg,KBI,347.74 
[19592] COMMIT_BUY,aMMzTGXVGg 
[19622] SET_BUY_AMOUNT,aMMzTGXVGg,FQP,695.37 
[19751] SET_BUY_TRIGGER,aMMzTGXVGg,GCL,14.38 
[19752] SELL,aMMzTGXVGg,EBS,202.48 
[19855] SET_SELL_TRIGGER,aMMzTGXVGg,HSJ,65.07 
[19908] CANCEL_BUY,aMMzTGXVGg 
[19999] ADD,aMMzTGXVGg,63418.50 
[20108] COMMIT_SELL,aMMzTGXVGg 
[20129] SET_SELL_AMOUNT,aMMzTGXVGg,FQP,561.17 
[20297] SET_SELL_TRIGGER,aMMzTGXVGg,FQP,368.74 
[20371] SELL,aMMzTGXVGg,EBS,638.96 
[20394] SET_SELL_AMOUNT,aMMzTGXVGg,JCQ,439.91 
[20479] SET_SELL_TRIGGER,aMMzTGXVGg,JCQ,344.73 
[20509] ADD,aMMzTGXVGg,59772.32 
[20545] BUY,aMMzTGXVGg,GHL,459.27 
[20821] COMMIT_SELL,aMMzTGXVGg 
[20969] DISPLAY_SUMMARY,aMMzTGXVGg 
[21005] QUOTE,aMMzTGXVGg,DRO 
[21048] COMMIT_BUY,aMMzTGXVGg 
[21317] SET_SELL_AMOUNT,aMMzTGXVGg,KES,641.80 
[21580] SET_SELL_TRIGGER,aMMzTGXVGg,KES,488.76 
[21687] BUY,aMMzTGXVGg,DBC,631.47 
[21721] COMMIT_BUY,aMMzTGXVGg 
[21726] SET_BUY_TRIGGER,aMMzTGXVGg,NAW,47.08 
[22041] ADD,aMMzTGXVGg,58946.72 
[22147] BUY,aMMzTGXVGg,UGG,451.69 
[22206] COMMIT_BUY,aMMzTGXVGg 
[22247] QUOTE,aMMzTGXVGg,NXU 
[22359] QUOTE,aMMzTGXVGg,BTD 
[22389] DISPLAY_SUMMARY,aMMzTGXVGg 
[22427] CANCEL_BUY,aMMzTGXVGg 
[22541] ADD,aMMzTGXVGg,56783.59 
[22594] SET_SELL_AMOUNT,aMMzTGXVGg,FQP,109.25 
[22615] QUOTE,aMMzTGXVGg,OTI 
[22806] QUOTE,aMMzTGXVGg,EIK 
[22921] BUY,aMMzTGXVGg,RRZ,536.35 
[23002] SELL,aMMzTGXVGg,KES,34.80 
[23028] QUOTE,aMMzTGXVGg,XEA 
[23061] CANCEL_SET_BUY,aMMzTGXVGg,RXB 
[23134] SET_BUY_TRIGGER,aMMzTGXVGg,MJU,75.07 
[23146] DISPLAY_SUMMARY,aMMzTGXVGg 
[23217] SET_SELL_AMOUNT,aMMzTGXVGg,GYF,253.83 
[23318] SELL,aMMzTGXVGg,JRJ,538.34 
[23450] COMMIT_SELL,aMMzTGXVGg 
[23630] COMMIT_SELL,aMMzTGXVGg 
[23661] SELL,aMMzTGXVGg,FQP,171.22 
[23757] DISPLAY_SUMMARY,aMMzTGXVGg 
[23779] BUY,aMMzTGXVGg,LZV,178.11 
[23909] BUY,aMMzTGXVGg,OXK,230.34 
[23962] QUOTE,aMMzTGXVGg,HNO 
[23967] BUY,aMMzTGXVGg,ZGN,714.90 
[23994] COMMIT_BUY,aMMzTGXVGg 
[24116] ADD,aMMzTGXVGg,60044.64 
[24167] SET_BUY_TRIGGER,aMMzTGXVGg,MRK,176.48 
[24264] BUY,aMMzTGXVGg,XMA,27.30 
[24495] COMMIT_BUY,aMMzTGXVGg 
[24823] QUOTE,aMMzTGXVGg,JGG 
[24908] BUY,aMMzTGXVGg,ZFV,317.15 
[25093] QUOTE,aMMzTGXVGg,EEG 
[25109] SET_SELL_AMOUNT,aMMzTGXVGg,JQO,597.03 
[25120] SET_SELL_TRIGGER,aMMzTGXVGg,JQO,528.67 
[25163] SET_BUY_TRIGGER,aMMzTGXVGg,LJY,88.67 
[25359] SELL,aMMzTGXVGg,GYF,638.09 
[25387] SET_BUY_AMOUNT,aMMzTGXVGg,JRJ,444.30 
[25579] SET_BUY_TRIGGER,aMMzTGXVGg,GYT,307.36 
[25734] QUOTE,aMMzTGXVGg,NEV 
[25976] QUOTE,aMMzTGXVGg,QOQ 
[26160] COMMIT_BUY,aMMzTGXVGg 
[26179] ADD,aMMzTGXVGg,62002.35 
[26237] QUOTE,aMMzTGXVGg,PIC 
[26376] SELL,aMMzTGXVGg,CUZ,439.98 
[26510] SET_BUY_AMOUNT,aMMzTGXVGg,KES,508.83 
[26530] SET_BUY_TRIGGER,aMMzTGXVGg,ATW,274.12 
[26545] ADD,aMMzTGXVGg,71210.52 
[26649] QUOTE,aMMzTGXVGg,HGG 
[26798] ADD,aMMzTGXVGg,53992.87 
[26886] BUY,aMMzTGXVGg,AIN,342.44 
[27084] SET_SELL_TRIGGER,aMMzTGXVGg,JPP,42.71 
[27290] SET_BUY_TRIGGER,aMMzTGXVGg,YZH,139.61 
[27410] SET_SELL_AMOUNT,aMMzTGXVGg,CUZ,408.15 
[27420] SET_SELL_TRIGGER,aMMzTGXVGg,CUZ,81.01 
[27516] COMMIT_BUY,aMMzTGXVGg 
[27618] SET_BUY_TRIGGER,aMMzTGXVGg,WUF,89.98 
[27632] ADD,aMMzTGXVGg,58832.77 
[27697] BUY,aMMzTGXVGg,SHP,138.91 
[27788] CANCEL_SELL,aMMzTGXVGg 
[27951] SET_SELL_TRIGGER,aMMzTGXVGg,BWL,129.22 
[28106] COMMIT_BUY,aMMzTGXVGg 
[28173] CANCEL_SELL,aMMzTGXVGg 
[28258] SELL,aMMzTGXVGg,FQP,430.47 
[28383] BUY,aMMzTGXVGg,YKB,421.01 
[28434] COMMIT_BUY,aMMzTGXVGg 
[28565] SET_SELL_TRIGGER,aMMzTGXVGg,QGN,95.97 
[28600] QUOTE,aMMzTGXVGg,KAR 
[28646] SET_BUY_TRIGGER,aMMzTGXVGg,YJK,51.30 
[28692] SELL,aMMzTGXVGg,LFU,438.96 
[28716] COMMIT_SELL,aMMzTGXVGg 
[28777] SET_BUY_TRIGGER,aMMzTGXVGg,SKW,150.87 
[28788] SELL,aMMzTGXVGg,NHG,160.13 
[28917] COMMIT_SELL,aMMzTGXVGg 
[29012] BUY,aMMzTGXVGg,JTY,431.14 
[29086] COMMIT_BUY,aMMzTGXVGg 
[29215] ADD,aMMzTGXVGg,37053.59 
[29228] QUOTE,aMMzTGXVGg,XNZ 
[29266] QUOTE,aMMzTGXVGg,HCN 
[29294] SET_BUY_AMOUNT,aMMzTGXVGg,XXQ,286.62 
[29434] SET_BUY_TRIGGER,aMMzTGXVGg,AMI,212.22 
[29658] DISPLAY_SUMMARY,aMMzTGXVGg 
[29666] DISPLAY_SUMMARY,aMMzTGXVGg 
[29676] DISPLAY_SUMMARY,aMMzTGXVGg 
[29916] ADD,aMMzTGXVGg,48809.23 
[29920] CANCEL_SET_SELL,aMMzTGXVGg,ZLY 
[30012] SET_SELL_AMOUNT,aMMzTGXVGg,UTV,532.46 
[30049] SELL,aMMzTGXVGg,OEY,558.16 
[30311] BUY,aMMzTGXVGg,DMS,167.34 
[30330] COMMIT_BUY,aMMzTGXVGg 
[30441] QUOTE,aMMzTGXVGg,JRJ 
[30511] QUOTE,aMMzTGXVGg,HHC 
[30543] BUY,aMMzTGXVGg,ASJ,108.10 
[30572] COMMIT_BUY,aMMzTGXVGg 
[30649] DISPLAY_SUMMARY,aMMzTGXVGg 
[30669] DISPLAY_SUMMARY,aMMzTGXVGg 
[30704] SET_BUY_AMOUNT,aMMzTGXVGg,EBS,227.83 
[30805] SET_BUY_TRIGGER,aMMzTGXVGg,QID,107.10 
[30860] SET_BUY_AMOUNT,aMMzTGXVGg,NHG,459.18 
[30879] SET_BUY_TRIGGER,aMMzTGXVGg,IKK,174.62 
[30891] BUY,aMMzTGXVGg,IEQ,582.27 
[30998] COMMIT_BUY,aMMzTGXVGg 
[31502] SELL,aMMzTGXVGg,YJK,144.14 
[31509] COMMIT_SELL,aMMzTGXVGg 
[31513] SET_SELL_AMOUNT,aMMzTGXVGg,RUN,152.85 
[31543] CANCEL_SET_SELL,aMMzTGXVGg,RUN 
[31785] ADD,aMMzTGXVGg,62617.96 
[31793] QUOTE,aMMzTGXVGg,OLH 
[31830] QUOTE,aMMzTGXVGg,GJQ 
[32137] BUY,aMMzTGXVGg,GIK,341.07 
[32164] CANCEL_BUY,aMMzTGXVGg 
[32316] SELL,aMMzTGXVGg,QJZ,169.01 
[32590] SET_SELL_TRIGGER,aMMzTGXVGg,WHR,71.70 
[32597] SET_SELL_AMOUNT,aMMzTGXVGg,LFU,527.73 
[32623] SET_SELL_TRIGGER,aMMzTGXVGg,LFU,345.72 
[32781] SET_BUY_AMOUNT,aMMzTGXVGg,RUN,464.41 
[32798] SET_BUY_TRIGGER,aMMzTGXVGg,TQX,364.52 
[32823] SET_BUY_TRIGGER,aMMzTGXVGg,STO,151.83 
[32937] SELL,aMMzTGXVGg,QJZ,307.45 
[33035] SET_SELL_TRIGGER,aMMzTGXVGg,JNO,131.36 
[33040] SET_BUY_TRIGGER,aMMzTGXVGg,GQV,47.17 
[33082] SET_BUY_AMOUNT,aMMzTGXVGg,BCQ,556.89 
[33275] SET_BUY_TRIGGER,aMMzTGXVGg,NVN,500.44 
[33325] SELL,aMMzTGXVGg,KDA,245.08 
[33365] COMMIT_SELL,aMMzTGXVGg 
[33424] SET_SELL_TRIGGER,aMMzTGXVGg,MWM,97.25 
[33636] SET_SELL_AMOUNT,aMMzTGXVGg,YJK,440.46 
[33770] SET_SELL_TRIGGER,aMMzTGXVGg,YJK,296.06 
[33789] SET_BUY_AMOUNT,aMMzTGXVGg,UTV,478.65 
[34090] SET_BUY_TRIGGER,aMMzTGXVGg,VOU,212.99 
[34098] DISPLAY_SUMMARY,aMMzTGXVGg 
[34171] ADD,aMMzTGXVGg,74444.61 
[34252] QUOTE,aMMzTGXVGg,IIX 
[34402] COMMIT_SELL,aMMzTGXVGg 
[34611] DISPLAY_SUMMARY,aMMzTGXVGg 
[34642] ADD,aMMzTGXVGg,82974.82 
[34692] SET_BUY_TRIGGER,aMMzTGXVGg,POE,116.35 
[34787] SELL,aMMzTGXVGg,CUZ,614.48 
[34822] COMMIT_SELL,aMMzTGXVGg 
[34974] BUY,aMMzTGXVGg,CBV,96.34 
[34981] SET_BUY_TRIGGER,aMMzTGXVGg,GWF,15.53 
[35276] QUOTE,aMMzTGXVGg,WOJ 
[35281] ADD,aMMzTGXVGg,80029.41 
[35300] QUOTE,aMMzTGXVGg,TTV 
[35535] QUOTE,aMMzTGXVGg,IJO 
[35573] BUY,aMMzTGXVGg,YUR,352.86 
[35636] COMMIT_BUY,aMMzTGXVGg 
[35664] DISPLAY_SUMMARY,aMMzTGXVGg 
[35696] SELL,aMMzTGXVGg,EBS,44.79 
[35768] COMMIT_SELL,aMMzTGXVGg 
[35815] BUY,aMMzTGXVGg,FFI,235.83 
[35959] COMMIT_BUY,aMMzTGXVGg 
[36359] QUOTE,aMMzTGXVGg,FUR 
[36391] QUOTE,aMMzTGXVGg,BTD 
[36455] BUY,aMMzTGXVGg,NVX,274.12 
[36475] COMMIT_BUY,aMMzTGXVGg 
[36665] BUY,aMMzTGXVGg,DLQ,92.86 
[36840] CANCEL_SET_SELL,aMMzTGXVGg,NAW 
[36935] DISPLAY_SUMMARY,aMMzTGXVGg 
[37033] ADD,aMMzTGXVGg,89221.07 
[37144] QUOTE,aMMzTGXVGg,DMS 
[37506] BUY,aMMzTGXVGg,MOF,186.86 
[37562] DISPLAY_SUMMARY,aMMzTGXVGg 
[37631] BUY,aMMzTGXVGg,YUL,310.48 
[37893] SET_BUY_TRIGGER,aMMzTGXVGg,ULL,198.06 
[38080] SET_SELL_AMOUNT,aMMzTGXVGg,JVT,409.55 
[38166] SET_SELL_TRIGGER,aMMzTGXVGg,JVT,296.95 
[38279] SELL,aMMzTGXVGg,BYA,611.33 
[38318] COMMIT_SELL,aMMzTGXVGg 
[38410] SET_SELL_TRIGGER,aMMzTGXVGg,TCP,130.78 
[38640] SET_BUY_AMOUNT,aMMzTGXVGg,BYA,651.82 
[38661] BUY,aMMzTGXVGg,RKY,128.94 
[38867] CANCEL_SET_SELL,aMMzTGXVGg,ZPD 
[38945] SELL,aMMzTGXVGg,KDA,281.41 
[39315] COMMIT_SELL,aMMzTGXVGg 
[39328] SELL,aMMzTGXVGg,ZYR,683.01 
[39443] QUOTE,aMMzTGXVGg,WQE 
[39471] SET_BUY_AMOUNT,aMMzTGXVGg,KDA,137.79 
[39610] SET_BUY_TRIGGER,aMMzTGXVGg,FOW,33.25 
[39633] ADD,aMMzTGXVGg,90982.08 
[39785] QUOTE,aMMzTGXVGg,NFV 
[39812] SET_BUY_TRIGGER,aMMzTGXVGg,QEO,125.44 
[39899] SET_BUY_AMOUNT,aMMzTGXVGg,JRJ,383.71 
[39911] SELL,aMMzTGXVGg,BYA,687.49 
[40034] COMMIT_SELL,aMMzTGXVGg 
[40061] ADD,aMMzTGXVGg,63872.80 
[40074] QUOTE,aMMzTGXVGg,SCW 
[40113] ADD,aMMzTGXVGg,72656.57 
[40236] QUOTE,aMMzTGXVGg,LSM 
[40287] CANCEL_BUY,aMMzTGXVGg 
[40368] SET_BUY_AMOUNT,aMMzTGXVGg,UTV,477.27 
[40399] SET_BUY_TRIGGER,aMMzTGXVGg,QPX,135.72 
[40554] BUY,aMMzTGXVGg,FOV,560.58 
[40622] SET_BUY_TRIGGER,aMMzTGXVGg,AHE,40.94 
[40711] DISPLAY_SUMMARY,aMMzTGXVGg 
[40728] BUY,aMMzTGXVGg,WFR,237.72 
[40998] CANCEL_BUY,aMMzTGXVGg 
[41035] SET_SELL_AMOUNT,aMMzTGXVGg,LFU,526.69 
[41281] SET_SELL_TRIGGER,aMMzTGXVGg,LFU,521.97 
[41381] DISPLAY_SUMMARY,aMMzTGXVGg 
[41408] DISPLAY_SUMMARY,aMMzTGXVGg 
[41426] SELL,aMMzTGXVGg,OEY,472.13 
[41532] DISPLAY_SUMMARY,aMMzTGXVGg 
[41759] CANCEL_SELL,aMMzTGXVGg 
[41765] ADD,aMMzTGXVGg,89314.36 
[41925] BUY,aMMzTGXVGg,QUT,12.24 
[41962] COMMIT_SELL,aMMzTGXVGg 
[41975] COMMIT_SELL,aMMzTGXVGg 
[41995] SET_BUY_AMOUNT,aMMzTGXVGg,JQO,176.82 
[42022] CANCEL_SET_BUY,aMMzTGXVGg,XOL 
[42116] QUOTE,aMMzTGXVGg,QXE 
[42336] ADD,aMMzTGXVGg,87176.07 
[42383] SET_SELL_AMOUNT,aMMzTGXVGg,DFE,324.76 
[42443] SET_SELL_TRIGGER,aMMzTGXVGg,DFE,140.32 
[42455] CANCEL_BUY,aMMzTGXVGg 
[42971] COMMIT_SELL,aMMzTGXVGg 
[43142] BUY,aMMzTGXVGg,EEG,607.95 
[43344] CANCEL_BUY,aMMzTGXVGg 
[43632] SET_BUY_AMOUNT,aMMzTGXVGg,BYA,657.99 
[43835] QUOTE,aMMzTGXVGg,RVU 
[43985] ADD,aMMzTGXVGg,85170.00 
[44167] CANCEL_SET_BUY,aMMzTGXVGg,FPI 
[44176] DISPLAY_SUMMARY,aMMzTGXVGg 
[44409] ADD,aMMzTGXVGg,77548.09 
[44459] BUY,aMMzTGXVGg,XBL,373.03 
[44630] COMMIT_BUY,aMMzTGXVGg 
[44791] DISPLAY_SUMMARY,aMMzTGXVGg 
