[4] ADD,KnTBc3qwcr,73952.03 
[19662] CANCEL_BUY,KnTBc3qwcr 
[19784] BUY,KnTBc3qwcr,EMN,253.71 
[20277] COMMIT_BUY,KnTBc3qwcr 
[20294] QUOTE,KnTBc3qwcr,KEV 
[20369] ADD,KnTBc3qwcr,71377.70 
[20375] QUOTE,KnTBc3qwcr,RRE 
[20410] SET_BUY_AMOUNT,KnTBc3qwcr,QJZ,549.66 
[20421] SET_BUY_TRIGGER,KnTBc3qwcr,GUW,136.05 
[20651] SET_SELL_TRIGGER,KnTBc3qwcr,HSH,2.11 
[20721] SET_SELL_TRIGGER,KnTBc3qwcr,FIY,87.64 
[20749] SELL,KnTBc3qwcr,EBS,697.87 
[20764] SET_SELL_TRIGGER,KnTBc3qwcr,MQF,130.31 
[20789] ADD,KnTBc3qwcr,70454.02 
[20832] QUOTE,KnTBc3qwcr,ZTR 
[20842] ADD,KnTBc3qwcr,90670.74 
[20972] QUOTE,KnTBc3qwcr,GDF 
[20981] BUY,KnTBc3qwcr,MWB,304.09 
[20999] COMMIT_BUY,KnTBc3qwcr 
[21021] ADD,KnTBc3qwcr,62213.72 
[21046] QUOTE,KnTBc3qwcr,MVY 
[21059] ADD,KnTBc3qwcr,93033.19 
[21189] BUY,KnTBc3qwcr,QOD,470.37 
[21391] COMMIT_BUY,KnTBc3qwcr 
[21400] BUY,KnTBc3qwcr,CAX,544.69 
[21467] COMMIT_BUY,KnTBc3qwcr 
[21494] ADD,KnTBc3qwcr,82035.01 
[21592] QUOTE,KnTBc3qwcr,ZWC 
[21601] SET_SELL_AMOUNT,KnTBc3qwcr,UTV,67.08 
[21791] SELL,KnTBc3qwcr,GYF,560.64 
[21907] COMMIT_SELL,KnTBc3qwcr 
[21982] ADD,KnTBc3qwcr,47447.41 
[22002] CANCEL_SET_SELL,KnTBc3qwcr,UTV 
[22009] DISPLAY_SUMMARY,KnTBc3qwcr 
[22123] ADD,KnTBc3qwcr,46728.99 
[22151] SET_BUY_AMOUNT,KnTBc3qwcr,QAX,603.81 
[22207] SET_BUY_TRIGGER,KnTBc3qwcr,GPW,111.19 
[22363] QUOTE,KnTBc3qwcr,WOJ 
[22414] DISPLAY_SUMMARY,KnTBc3qwcr 
[22525] DISPLAY_SUMMARY,KnTBc3qwcr 
[22539] QUOTE,KnTBc3qwcr,AMI 
[22574] BUY,KnTBc3qwcr,YLZ,169.01 
[22586] CANCEL_SELL,KnTBc3qwcr 
[22618] SET_BUY_AMOUNT,KnTBc3qwcr,QJZ,295.00 
[22644] SET_BUY_TRIGGER,KnTBc3qwcr,OGB,221.68 
[22807] SET_SELL_AMOUNT,KnTBc3qwcr,RUN,266.23 
[23143] SET_SELL_TRIGGER,KnTBc3qwcr,RUN,226.13 
[23516] SELL,KnTBc3qwcr,OEY,559.37 
[23596] QUOTE,KnTBc3qwcr,WYD 
[23743] QUOTE,KnTBc3qwcr,DPG 
[23781] QUOTE,KnTBc3qwcr,DXL 
[23881] CANCEL_BUY,KnTBc3qwcr 
[24222] SET_SELL_AMOUNT,KnTBc3qwcr,OEY,26.61 
[24336] SET_SELL_TRIGGER,KnTBc3qwcr,OEY,22.05 
[24411] ADD,KnTBc3qwcr,67503.38 
[24426] BUY,KnTBc3qwcr,VJV,16.45 
[24446] COMMIT_BUY,KnTBc3qwcr 
[24535] QUOTE,KnTBc3qwcr,KLE 
[24538] QUOTE,KnTBc3qwcr,XNZ 
[24646] SET_BUY_AMOUNT,KnTBc3qwcr,NHG,732.49 
[24710] SET_BUY_TRIGGER,KnTBc3qwcr,WCR,65.47 
[24739] SELL,KnTBc3qwcr,KES,233.34 
[24791] CANCEL_BUY,KnTBc3qwcr 
[24829] QUOTE,KnTBc3qwcr,SEW 
[24846] BUY,KnTBc3qwcr,MWB,31.49 
[24880] COMMIT_BUY,KnTBc3qwcr 
[24900] DISPLAY_SUMMARY,KnTBc3qwcr 
[24921] DISPLAY_SUMMARY,KnTBc3qwcr 
[24981] BUY,KnTBc3qwcr,PHU,484.46 
[24982] COMMIT_BUY,KnTBc3qwcr 
[25066] QUOTE,KnTBc3qwcr,CLQ 
[25154] QUOTE,KnTBc3qwcr,YGK 
[25160] SET_BUY_TRIGGER,KnTBc3qwcr,YUR,19.82 
[25307] SET_SELL_AMOUNT,KnTBc3qwcr,OEY,304.04 
[25420] SET_SELL_TRIGGER,KnTBc3qwcr,OEY,299.90 
[25486] SET_BUY_TRIGGER,KnTBc3qwcr,PSJ,109.83 
[25503] DISPLAY_SUMMARY,KnTBc3qwcr 
[25679] SET_SELL_AMOUNT,KnTBc3qwcr,EBS,191.93 
[25780] SET_SELL_TRIGGER,KnTBc3qwcr,EBS,101.63 
[25868] SET_SELL_AMOUNT,KnTBc3qwcr,EBS,461.16 
[25943] CANCEL_SET_SELL,KnTBc3qwcr,EBS 
[25988] DISPLAY_SUMMARY,KnTBc3qwcr 
[25992] SET_BUY_AMOUNT,KnTBc3qwcr,QJZ,165.89 
[26081] SELL,KnTBc3qwcr,BCQ,8.44 
[26320] COMMIT_SELL,KnTBc3qwcr 
[26597] ADD,KnTBc3qwcr,53319.62 
[26844] BUY,KnTBc3qwcr,URI,194.94 
[27067] CANCEL_BUY,KnTBc3qwcr 
[27145] SELL,KnTBc3qwcr,LFU,55.00 
[27163] COMMIT_SELL,KnTBc3qwcr 
[27250] DISPLAY_SUMMARY,KnTBc3qwcr 
[27370] QUOTE,KnTBc3qwcr,YUR 
[27436] SET_BUY_TRIGGER,KnTBc3qwcr,KWP,17.12 
[27509] SET_BUY_TRIGGER,KnTBc3qwcr,VIG,52.59 
[27584] SET_BUY_TRIGGER,KnTBc3qwcr,GHL,67.53 
[27626] SELL,KnTBc3qwcr,YJK,255.69 
[27645] CANCEL_SET_SELL,KnTBc3qwcr,ZCQ 
[27674] DISPLAY_SUMMARY,KnTBc3qwcr 
[27764] DISPLAY_SUMMARY,KnTBc3qwcr 
[27785] SET_SELL_AMOUNT,KnTBc3qwcr,EBS,531.54 
[27827] CANCEL_SET_SELL,KnTBc3qwcr,EBS 
[27987] ADD,KnTBc3qwcr,66562.77 
[28231] COMMIT_BUY,KnTBc3qwcr 
[28345] SET_BUY_AMOUNT,KnTBc3qwcr,ZAN,124.25 
[28413] SET_BUY_TRIGGER,KnTBc3qwcr,KEV,67.39 
[28467] DISPLAY_SUMMARY,KnTBc3qwcr 
[28548] ADD,KnTBc3qwcr,73613.92 
[28665] BUY,KnTBc3qwcr,PXS,735.89 
[28732] COMMIT_BUY,KnTBc3qwcr 
[28737] ADD,KnTBc3qwcr,49523.06 
[28880] BUY,KnTBc3qwcr,AVX,502.25 
[28959] CANCEL_BUY,KnTBc3qwcr 
[29223] ADD,KnTBc3qwcr,56264.55 
[29313] CANCEL_SET_SELL,KnTBc3qwcr,TCP 
[29348] ADD,KnTBc3qwcr,77594.95 
[29490] BUY,KnTBc3qwcr,UMV,486.25 
[29636] COMMIT_BUY,KnTBc3qwcr 
[29665] ADD,KnTBc3qwcr,79564.50 
[29715] SELL,KnTBc3qwcr,DFE,606.06 
[29812] COMMIT_SELL,KnTBc3qwcr 
[29820] BUY,KnTBc3qwcr,TQX,243.72 
[29938] COMMIT_BUY,KnTBc3qwcr 
[30043] SELL,KnTBc3qwcr,JRJ,685.80 
[30332] COMMIT_SELL,KnTBc3qwcr 
[30367] SET_BUY_TRIGGER,KnTBc3qwcr,YEH,172.86 
[30434] ADD,KnTBc3qwcr,87535.61 
[30448] BUY,KnTBc3qwcr,CTI,731.11 
[30491] COMMIT_BUY,KnTBc3qwcr 
[30501] QUOTE,KnTBc3qwcr,BBD 
[30548] BUY,KnTBc3qwcr,GYT,49.69 
[30653] SET_SELL_TRIGGER,KnTBc3qwcr,CBK,191.29 
[30863] DISPLAY_SUMMARY,KnTBc3qwcr 
[31012] SET_SELL_TRIGGER,KnTBc3qwcr,POI,132.22 
[31067] BUY,KnTBc3qwcr,JVE,39.52 
[31080] QUOTE,KnTBc3qwcr,PMX 
[31128] SET_BUY_AMOUNT,KnTBc3qwcr,RNK,103.69 
[31385] SET_BUY_TRIGGER,KnTBc3qwcr,BXH,12.37 
[31497] QUOTE,KnTBc3qwcr,TTY 
[31557] BUY,KnTBc3qwcr,FVA,685.35 
[31952] QUOTE,KnTBc3qwcr,OHG 
[31983] QUOTE,KnTBc3qwcr,TTY 
[32278] SELL,KnTBc3qwcr,RNK,320.64 
[32530] COMMIT_SELL,KnTBc3qwcr 
[32588] QUOTE,KnTBc3qwcr,NBX 
[32751] QUOTE,KnTBc3qwcr,YNY 
[32790] ADD,KnTBc3qwcr,69953.69 
[32844] QUOTE,KnTBc3qwcr,JVT 
[32943] QUOTE,KnTBc3qwcr,OAS 
[33066] BUY,KnTBc3qwcr,YAZ,246.11 
[33167] COMMIT_BUY,KnTBc3qwcr 
[33274] ADD,KnTBc3qwcr,78270.79 
[33293] SET_BUY_AMOUNT,KnTBc3qwcr,OEY,561.20 
[33327] CANCEL_SET_BUY,KnTBc3qwcr,ZNW 
[33462] SET_SELL_AMOUNT,KnTBc3qwcr,JCQ,661.37 
[33550] SET_SELL_TRIGGER,KnTBc3qwcr,JCQ,98.60 
[33562] ADD,KnTBc3qwcr,84563.95 
[33565] QUOTE,KnTBc3qwcr,JFF 
[33607] QUOTE,KnTBc3qwcr,AUT 
[33722] SELL,KnTBc3qwcr,QJZ,72.43 
[33891] SET_SELL_TRIGGER,KnTBc3qwcr,ROW,72.06 
[33926] SELL,KnTBc3qwcr,DFE,262.14 
[34048] CANCEL_SELL,KnTBc3qwcr 
[34053] ADD,KnTBc3qwcr,59161.44 
[34057] BUY,KnTBc3qwcr,ZCQ,732.20 
[34223] CANCEL_BUY,KnTBc3qwcr 
[34270] SET_SELL_TRIGGER,KnTBc3qwcr,ZGC,170.69 
[34600] SET_SELL_TRIGGER,KnTBc3qwcr,CUZ,62.77 
[34636] SET_SELL_AMOUNT,KnTBc3qwcr,RNK,119.34 
[34714] SET_SELL_TRIGGER,KnTBc3qwcr,RNK,32.54 
[34764] SET_SELL_TRIGGER,KnTBc3qwcr,IDN,45.09 
[34797] ADD,KnTBc3qwcr,60764.16 
[34799] BUY,KnTBc3qwcr,VXY,692.48 
[34825] COMMIT_BUY,KnTBc3qwcr 
[35163] COMMIT_BUY,KnTBc3qwcr 
[35258] BUY,KnTBc3qwcr,RFI,406.92 
[35275] QUOTE,KnTBc3qwcr,GTN 
[35514] QUOTE,KnTBc3qwcr,KPE 
[35594] BUY,KnTBc3qwcr,SYU,471.82 
[35608] COMMIT_BUY,KnTBc3qwcr 
[35737] SET_BUY_TRIGGER,KnTBc3qwcr,DGA,139.05 
[35760] ADD,KnTBc3qwcr,78264.21 
[35841] BUY,KnTBc3qwcr,BWR,177.60 
[35904] CANCEL_BUY,KnTBc3qwcr 
[35941] SET_BUY_TRIGGER,KnTBc3qwcr,TOZ,65.76 
[36129] DISPLAY_SUMMARY,KnTBc3qwcr 
[36162] SET_BUY_AMOUNT,KnTBc3qwcr,XLK,407.98 
[36190] CANCEL_SET_BUY,KnTBc3qwcr,GDO 
[36220] ADD,KnTBc3qwcr,78423.56 
[36240] BUY,KnTBc3qwcr,XBE,737.68 
[36267] COMMIT_BUY,KnTBc3qwcr 
[36398] SET_SELL_TRIGGER,KnTBc3qwcr,PWK,100.76 
[36485] QUOTE,KnTBc3qwcr,VNO 
[36567] QUOTE,KnTBc3qwcr,JLO 
[36600] ADD,KnTBc3qwcr,58338.19 
[36718] CANCEL_BUY,KnTBc3qwcr 
[36921] ADD,KnTBc3qwcr,85021.43 
[37079] BUY,KnTBc3qwcr,JRJ,154.53 
[37128] COMMIT_BUY,KnTBc3qwcr 
[37141] QUOTE,KnTBc3qwcr,FTP 
[37269] QUOTE,KnTBc3qwcr,FFI 
[37588] CANCEL_SET_SELL,KnTBc3qwcr,KAS 
[37878] BUY,KnTBc3qwcr,UDQ,135.25 
[37888] COMMIT_BUY,KnTBc3qwcr 
[37983] SET_SELL_TRIGGER,KnTBc3qwcr,QGE,31.96 
[38018] COMMIT_BUY,KnTBc3qwcr 
[38127] DISPLAY_SUMMARY,KnTBc3qwcr 
[38283] SELL,KnTBc3qwcr,OEY,746.69 
[38586] CANCEL_SELL,KnTBc3qwcr 
[38644] QUOTE,KnTBc3qwcr,QWC 
[38913] SELL,KnTBc3qwcr,ZTI,222.12 
[38931] COMMIT_SELL,KnTBc3qwcr 
[38962] QUOTE,KnTBc3qwcr,MQH 
[38992] QUOTE,KnTBc3qwcr,HFS 
[39080] BUY,KnTBc3qwcr,KEV,743.95 
[39121] COMMIT_BUY,KnTBc3qwcr 
[39211] SET_BUY_TRIGGER,KnTBc3qwcr,FKX,36.68 
[39261] CANCEL_SET_SELL,KnTBc3qwcr,FIY 
[39396] SET_BUY_TRIGGER,KnTBc3qwcr,FLD,13.30 
[39406] DISPLAY_SUMMARY,KnTBc3qwcr 
[39519] SET_SELL_TRIGGER,KnTBc3qwcr,MOM,68.03 
[39544] SELL,KnTBc3qwcr,JVT,115.35 
[39655] COMMIT_SELL,KnTBc3qwcr 
[39781] CANCEL_SELL,KnTBc3qwcr 
[39857] SET_SELL_AMOUNT,KnTBc3qwcr,RGH,224.78 
[39955] SET_SELL_TRIGGER,KnTBc3qwcr,RGH,86.62 
[39970] SELL,KnTBc3qwcr,QJZ,375.19 
[39992] CANCEL_BUY,KnTBc3qwcr 
[40016] ADD,KnTBc3qwcr,79861.22 
[40033] QUOTE,KnTBc3qwcr,LJZ 
[40060] CANCEL_SET_SELL,KnTBc3qwcr,JLK 
[40072] SET_BUY_AMOUNT,KnTBc3qwcr,CUZ,566.20 
[40146] SET_BUY_TRIGGER,KnTBc3qwcr,EHF,242.45 
[40198] QUOTE,KnTBc3qwcr,CUZ 
[40315] SET_BUY_AMOUNT,KnTBc3qwcr,RGH,633.58 
[40335] SET_BUY_TRIGGER,KnTBc3qwcr,VVV,622.35 
[40378] SET_SELL_TRIGGER,KnTBc3qwcr,WGV,149.91 
[40436] QUOTE,KnTBc3qwcr,KJM 
[40478] SET_BUY_AMOUNT,KnTBc3qwcr,CUZ,496.67 
[40631] SET_BUY_TRIGGER,KnTBc3qwcr,RGM,279.55 
[40775] QUOTE,KnTBc3qwcr,GJQ 
[40834] ADD,KnTBc3qwcr,57735.29 
[41004] QUOTE,KnTBc3qwcr,NKC 
[41043] QUOTE,KnTBc3qwcr,ZJG 
[41090] BUY,KnTBc3qwcr,SPT,218.08 
[41129] SET_BUY_TRIGGER,KnTBc3qwcr,PHZ,160.65 
