[339] ADD,6bw5h7oAdg,66382.14 
[9585] BUY,6bw5h7oAdg,KAS,216.15 
[9620] SET_SELL_TRIGGER,6bw5h7oAdg,QVK,106.57 
[9728] DISPLAY_SUMMARY,6bw5h7oAdg 
[9786] BUY,6bw5h7oAdg,KWP,182.94 
[9788] COMMIT_BUY,6bw5h7oAdg 
[9838] SELL,6bw5h7oAdg,KES,146.89 
[9981] QUOTE,6bw5h7oAdg,JJW 
[10033] BUY,6bw5h7oAdg,MUN,636.57 
[10101] CANCEL_BUY,6bw5h7oAdg 
[10194] SET_SELL_AMOUNT,6bw5h7oAdg,QJZ,218.06 
[10198] SET_SELL_TRIGGER,6bw5h7oAdg,QJZ,140.67 
[10209] SELL,6bw5h7oAdg,FQP,21.30 
[10344] CANCEL_BUY,6bw5h7oAdg 
[10364] BUY,6bw5h7oAdg,ZMK,438.19 
[10412] COMMIT_BUY,6bw5h7oAdg 
[10470] SET_BUY_TRIGGER,6bw5h7oAdg,NJT,180.24 
[10491] SET_BUY_AMOUNT,6bw5h7oAdg,OEY,361.81 
[10530] SET_BUY_TRIGGER,6bw5h7oAdg,UDN,297.78 
[10834] ADD,6bw5h7oAdg,89638.04 
[11135] BUY,6bw5h7oAdg,YGK,28.57 
[11265] CANCEL_SELL,6bw5h7oAdg 
[11270] ADD,6bw5h7oAdg,79782.59 
[11514] QUOTE,6bw5h7oAdg,SON 
[11558] SET_BUY_TRIGGER,6bw5h7oAdg,ZFJ,167.89 
[11615] QUOTE,6bw5h7oAdg,URA 
[11627] SET_BUY_TRIGGER,6bw5h7oAdg,HMR,97.73 
[11661] DISPLAY_SUMMARY,6bw5h7oAdg 
[11691] SET_BUY_AMOUNT,6bw5h7oAdg,KDA,692.48 
[11822] SET_BUY_TRIGGER,6bw5h7oAdg,KGA,503.66 
[11828] SET_BUY_TRIGGER,6bw5h7oAdg,PFN,17.43 
[11893] SET_SELL_TRIGGER,6bw5h7oAdg,DWF,66.25 
[11935] SET_BUY_TRIGGER,6bw5h7oAdg,EDM,106.23 
[11936] SELL,6bw5h7oAdg,GYF,711.86 
[11995] SELL,6bw5h7oAdg,KDA,536.44 
[12124] COMMIT_SELL,6bw5h7oAdg 
[12143] SET_SELL_AMOUNT,6bw5h7oAdg,FQP,443.64 
[12305] SET_SELL_TRIGGER,6bw5h7oAdg,FQP,353.14 
[12401] ADD,6bw5h7oAdg,81399.02 
[12409] QUOTE,6bw5h7oAdg,JQO 
[12543] SET_SELL_AMOUNT,6bw5h7oAdg,GYF,397.43 
[12598] SET_SELL_TRIGGER,6bw5h7oAdg,GYF,337.14 
[12664] SET_BUY_TRIGGER,6bw5h7oAdg,KAF,130.16 
[12816] SELL,6bw5h7oAdg,GYF,560.88 
[13049] COMMIT_SELL,6bw5h7oAdg 
[13059] ADD,6bw5h7oAdg,94654.53 
[13077] CANCEL_SELL,6bw5h7oAdg 
[13211] SET_BUY_TRIGGER,6bw5h7oAdg,KAS,19.22 
[13294] SET_SELL_AMOUNT,6bw5h7oAdg,JVT,460.80 
[13353] SET_SELL_TRIGGER,6bw5h7oAdg,JVT,5.79 
[13456] ADD,6bw5h7oAdg,78226.86 
[13474] SET_BUY_TRIGGER,6bw5h7oAdg,MHI,168.15 
[13487] SET_BUY_TRIGGER,6bw5h7oAdg,IPJ,42.25 
[13588] SET_SELL_AMOUNT,6bw5h7oAdg,FQP,552.66 
[13650] SET_SELL_TRIGGER,6bw5h7oAdg,FQP,205.75 
[13701] ADD,6bw5h7oAdg,56361.49 
[13742] QUOTE,6bw5h7oAdg,RJG 
[13808] QUOTE,6bw5h7oAdg,CWA 
[13921] BUY,6bw5h7oAdg,RRZ,228.45 
[13945] QUOTE,6bw5h7oAdg,KJH 
[13950] ADD,6bw5h7oAdg,76691.34 
[13996] QUOTE,6bw5h7oAdg,JLO 
[14004] SET_BUY_AMOUNT,6bw5h7oAdg,QJZ,508.14 
[14123] SET_BUY_TRIGGER,6bw5h7oAdg,APY,41.11 
[14169] QUOTE,6bw5h7oAdg,AHE 
[14318] SET_BUY_TRIGGER,6bw5h7oAdg,KZZ,179.22 
[14414] SET_SELL_TRIGGER,6bw5h7oAdg,WRN,145.31 
[14426] ADD,6bw5h7oAdg,67576.04 
[14476] SET_SELL_TRIGGER,6bw5h7oAdg,DTG,175.70 
[14484] QUOTE,6bw5h7oAdg,BTA 
[14510] SET_BUY_AMOUNT,6bw5h7oAdg,FQP,488.70 
[14537] CANCEL_SET_BUY,6bw5h7oAdg,XSS 
[14638] SELL,6bw5h7oAdg,OEY,527.47 
[14664] BUY,6bw5h7oAdg,WKT,665.77 
[14816] BUY,6bw5h7oAdg,GJR,437.78 
[15083] COMMIT_SELL,6bw5h7oAdg 
[15159] SELL,6bw5h7oAdg,KDA,337.21 
[15209] DISPLAY_SUMMARY,6bw5h7oAdg 
[15350] SET_BUY_TRIGGER,6bw5h7oAdg,JQJ,78.78 
[15391] QUOTE,6bw5h7oAdg,QGL 
[15638] ADD,6bw5h7oAdg,79380.75 
[15922] ADD,6bw5h7oAdg,61222.00 
[15996] SET_BUY_AMOUNT,6bw5h7oAdg,KES,380.96 
[16042] SET_BUY_TRIGGER,6bw5h7oAdg,UTD,274.19 
[16068] ADD,6bw5h7oAdg,53987.55 
[16109] SELL,6bw5h7oAdg,GYF,692.50 
[16322] SET_BUY_AMOUNT,6bw5h7oAdg,FQP,294.33 
[16330] SET_BUY_TRIGGER,6bw5h7oAdg,PXF,158.91 
[16439] QUOTE,6bw5h7oAdg,MRH 
[16464] SET_BUY_TRIGGER,6bw5h7oAdg,GPL,56.42 
[16477] SET_SELL_AMOUNT,6bw5h7oAdg,OEY,531.56 
[16624] BUY,6bw5h7oAdg,VOY,379.61 
[16626] COMMIT_BUY,6bw5h7oAdg 
[16807] BUY,6bw5h7oAdg,ZER,355.11 
[16848] COMMIT_BUY,6bw5h7oAdg 
[16886] SET_BUY_TRIGGER,6bw5h7oAdg,IPJ,94.30 
[16911] SET_BUY_AMOUNT,6bw5h7oAdg,KES,445.10 
[17109] SET_BUY_TRIGGER,6bw5h7oAdg,BCQ,165.67 
[17217] ADD,6bw5h7oAdg,57878.51 
[17251] CANCEL_SET_SELL,6bw5h7oAdg,OEY 
[17455] SET_BUY_TRIGGER,6bw5h7oAdg,OGR,44.61 
[17469] BUY,6bw5h7oAdg,XCL,733.75 
[17614] COMMIT_BUY,6bw5h7oAdg 
[17705] SET_SELL_AMOUNT,6bw5h7oAdg,KES,277.51 
[17837] SET_SELL_TRIGGER,6bw5h7oAdg,KES,263.12 
[17892] DISPLAY_SUMMARY,6bw5h7oAdg 
[17935] SELL,6bw5h7oAdg,OEY,270.15 
[17970] COMMIT_SELL,6bw5h7oAdg 
[17999] ADD,6bw5h7oAdg,76331.21 
[18079] CANCEL_SET_BUY,6bw5h7oAdg,NFO 
[18105] SET_BUY_TRIGGER,6bw5h7oAdg,PTP,118.67 
[18326] BUY,6bw5h7oAdg,STT,542.72 
[18524] SET_BUY_AMOUNT,6bw5h7oAdg,KES,574.02 
[18533] BUY,6bw5h7oAdg,LSW,17.08 
[18654] SELL,6bw5h7oAdg,KDA,707.12 
[18683] CANCEL_SET_BUY,6bw5h7oAdg,ECX 
[18855] ADD,6bw5h7oAdg,72135.20 
[18866] SET_BUY_TRIGGER,6bw5h7oAdg,FOV,5.71 
[18894] SELL,6bw5h7oAdg,KDA,428.15 
[18974] SELL,6bw5h7oAdg,KES,574.18 
[19039] COMMIT_SELL,6bw5h7oAdg 
[19177] BUY,6bw5h7oAdg,MWV,407.24 
[19300] SET_BUY_TRIGGER,6bw5h7oAdg,RVU,126.81 
[19350] DISPLAY_SUMMARY,6bw5h7oAdg 
[19433] DISPLAY_SUMMARY,6bw5h7oAdg 
[19579] DISPLAY_SUMMARY,6bw5h7oAdg 
[19766] ADD,6bw5h7oAdg,71888.22 
[19773] SELL,6bw5h7oAdg,JRJ,57.11 
[19799] COMMIT_SELL,6bw5h7oAdg 
[19817] CANCEL_SELL,6bw5h7oAdg 
[19974] BUY,6bw5h7oAdg,ZAN,19.79 
[20011] COMMIT_BUY,6bw5h7oAdg 
[20055] DISPLAY_SUMMARY,6bw5h7oAdg 
[20081] QUOTE,6bw5h7oAdg,DWF 
[20087] SET_BUY_AMOUNT,6bw5h7oAdg,QJZ,49.37 
[20125] BUY,6bw5h7oAdg,XOL,298.33 
[20320] COMMIT_BUY,6bw5h7oAdg 
[20355] SELL,6bw5h7oAdg,OEY,694.32 
[20388] COMMIT_SELL,6bw5h7oAdg 
[20454] BUY,6bw5h7oAdg,FYA,368.01 
[20490] COMMIT_BUY,6bw5h7oAdg 
[20578] DISPLAY_SUMMARY,6bw5h7oAdg 
[20898] DISPLAY_SUMMARY,6bw5h7oAdg 
[20948] ADD,6bw5h7oAdg,63128.71 
[21074] BUY,6bw5h7oAdg,BHQ,519.58 
[21213] COMMIT_BUY,6bw5h7oAdg 
[21389] QUOTE,6bw5h7oAdg,XVK 
[21399] COMMIT_SELL,6bw5h7oAdg 
[21471] SET_SELL_TRIGGER,6bw5h7oAdg,MWM,188.63 
[21534] DISPLAY_SUMMARY,6bw5h7oAdg 
[21571] BUY,6bw5h7oAdg,DQW,475.17 
[21675] SET_SELL_AMOUNT,6bw5h7oAdg,QJZ,558.31 
[21879] BUY,6bw5h7oAdg,YIU,412.85 
[22195] SET_BUY_TRIGGER,6bw5h7oAdg,CXW,0.51 
[22421] ADD,6bw5h7oAdg,91240.95 
[22437] BUY,6bw5h7oAdg,OLI,704.24 
[22638] BUY,6bw5h7oAdg,WJP,576.53 
[22747] COMMIT_BUY,6bw5h7oAdg 
[22773] SELL,6bw5h7oAdg,EBS,523.04 
[22781] COMMIT_SELL,6bw5h7oAdg 
[22827] DISPLAY_SUMMARY,6bw5h7oAdg 
[22842] SET_BUY_TRIGGER,6bw5h7oAdg,XBE,44.86 
[22961] CANCEL_SET_SELL,6bw5h7oAdg,QJZ 
[23063] DISPLAY_SUMMARY,6bw5h7oAdg 
[23106] SET_SELL_AMOUNT,6bw5h7oAdg,LFU,657.36 
[23245] SET_SELL_TRIGGER,6bw5h7oAdg,LFU,282.37 
[23371] QUOTE,6bw5h7oAdg,ZWC 
[23401] QUOTE,6bw5h7oAdg,ILT 
[23619] BUY,6bw5h7oAdg,PVH,340.33 
[23662] CANCEL_BUY,6bw5h7oAdg 
[23952] SET_BUY_TRIGGER,6bw5h7oAdg,BRZ,191.56 
[23957] DISPLAY_SUMMARY,6bw5h7oAdg 
[24055] ADD,6bw5h7oAdg,77289.08 
[24069] CANCEL_SELL,6bw5h7oAdg 
[24149] DISPLAY_SUMMARY,6bw5h7oAdg 
[24261] ADD,6bw5h7oAdg,87848.46 
[24269] QUOTE,6bw5h7oAdg,VNO 
[24431] DISPLAY_SUMMARY,6bw5h7oAdg 
[24453] SELL,6bw5h7oAdg,JQO,404.65 
[24468] SET_SELL_TRIGGER,6bw5h7oAdg,UDN,150.76 
[24596] SET_BUY_TRIGGER,6bw5h7oAdg,XBL,91.21 
[24824] SET_BUY_TRIGGER,6bw5h7oAdg,FVD,15.09 
[24892] CANCEL_SELL,6bw5h7oAdg 
[24962] ADD,6bw5h7oAdg,66363.11 
[25040] ADD,6bw5h7oAdg,40156.12 
[25338] QUOTE,6bw5h7oAdg,UGT 
[25510] QUOTE,6bw5h7oAdg,ZNL 
[25554] COMMIT_SELL,6bw5h7oAdg 
[25638] DISPLAY_SUMMARY,6bw5h7oAdg 
[25777] DISPLAY_SUMMARY,6bw5h7oAdg 
[25783] SET_BUY_TRIGGER,6bw5h7oAdg,CVP,3.98 
[25812] DISPLAY_SUMMARY,6bw5h7oAdg 
[26314] SET_BUY_TRIGGER,6bw5h7oAdg,RVU,146.39 
[26427] SET_SELL_TRIGGER,6bw5h7oAdg,KHD,0.93 
[26449] ADD,6bw5h7oAdg,38953.64 
[26499] SET_SELL_TRIGGER,6bw5h7oAdg,LLE,3.62 
[26570] ADD,6bw5h7oAdg,62627.22 
[26682] BUY,6bw5h7oAdg,XZN,706.33 
[26864] QUOTE,6bw5h7oAdg,GZQ 
[27140] BUY,6bw5h7oAdg,ZMK,206.71 
[27350] CANCEL_BUY,6bw5h7oAdg 
[27360] DISPLAY_SUMMARY,6bw5h7oAdg 
[27416] CANCEL_SET_SELL,6bw5h7oAdg,LSG 
[27430] DISPLAY_SUMMARY,6bw5h7oAdg 
[27474] DISPLAY_SUMMARY,6bw5h7oAdg 
[27719] ADD,6bw5h7oAdg,57787.42 
[27775] DISPLAY_SUMMARY,6bw5h7oAdg 
[27863] ADD,6bw5h7oAdg,61737.69 
[27958] QUOTE,6bw5h7oAdg,RRT 
[28075] BUY,6bw5h7oAdg,MLT,748.61 
[28237] COMMIT_SELL,6bw5h7oAdg 
[28303] SELL,6bw5h7oAdg,KES,677.57 
[28488] COMMIT_SELL,6bw5h7oAdg 
[28524] ADD,6bw5h7oAdg,73815.99 
[28786] QUOTE,6bw5h7oAdg,MLU 
[29014] ADD,6bw5h7oAdg,54562.51 
[29020] SET_BUY_TRIGGER,6bw5h7oAdg,VNN,178.94 
[29029] BUY,6bw5h7oAdg,AHE,646.00 
[29100] COMMIT_BUY,6bw5h7oAdg 
[29478] DISPLAY_SUMMARY,6bw5h7oAdg 
[29584] ADD,6bw5h7oAdg,71541.82 
[29646] BUY,6bw5h7oAdg,QJC,377.96 
[29824] COMMIT_BUY,6bw5h7oAdg 
[29850] DISPLAY_SUMMARY,6bw5h7oAdg 
[29947] ADD,6bw5h7oAdg,63536.82 
[30090] QUOTE,6bw5h7oAdg,VMT 
[30137] SET_BUY_TRIGGER,6bw5h7oAdg,WXV,145.49 
[30166] SET_BUY_TRIGGER,6bw5h7oAdg,XVK,126.90 
[30377] BUY,6bw5h7oAdg,LSK,179.05 
[30540] CANCEL_SELL,6bw5h7oAdg 
[30562] COMMIT_SELL,6bw5h7oAdg 
[30764] BUY,6bw5h7oAdg,LLE,629.34 
[30786] COMMIT_SELL,6bw5h7oAdg 
[30944] ADD,6bw5h7oAdg,42905.50 
[30957] BUY,6bw5h7oAdg,RQL,571.55 
[31037] COMMIT_BUY,6bw5h7oAdg 
[31290] ADD,6bw5h7oAdg,83236.58 
[31459] SET_BUY_AMOUNT,6bw5h7oAdg,KDA,94.79 
[31476] SELL,6bw5h7oAdg,JCQ,229.76 
[31492] COMMIT_SELL,6bw5h7oAdg 
[31506] BUY,6bw5h7oAdg,ZZN,232.39 
[31656] COMMIT_BUY,6bw5h7oAdg 
[31756] ADD,6bw5h7oAdg,101952.51 
[31998] SELL,6bw5h7oAdg,BYA,402.21 
[32029] COMMIT_SELL,6bw5h7oAdg 
[32187] BUY,6bw5h7oAdg,LSM,36.79 
[32267] BUY,6bw5h7oAdg,NEV,654.67 
[32308] COMMIT_BUY,6bw5h7oAdg 
[32343] BUY,6bw5h7oAdg,RJG,134.86 
[32390] COMMIT_BUY,6bw5h7oAdg 
[32466] DISPLAY_SUMMARY,6bw5h7oAdg 
[32533] BUY,6bw5h7oAdg,QTH,57.50 
[32566] COMMIT_BUY,6bw5h7oAdg 
[32586] DISPLAY_SUMMARY,6bw5h7oAdg 
[32732] DISPLAY_SUMMARY,6bw5h7oAdg 
[32810] DISPLAY_SUMMARY,6bw5h7oAdg 
[32817] QUOTE,6bw5h7oAdg,VMK 
[32858] SET_BUY_TRIGGER,6bw5h7oAdg,YKB,82.96 
[32873] QUOTE,6bw5h7oAdg,JCL 
[32944] BUY,6bw5h7oAdg,KLE,265.04 
[32959] COMMIT_BUY,6bw5h7oAdg 
[33127] DISPLAY_SUMMARY,6bw5h7oAdg 
[33164] SET_BUY_TRIGGER,6bw5h7oAdg,ZRH,161.06 
[33185] SET_BUY_AMOUNT,6bw5h7oAdg,QJZ,307.26 
[33479] SET_BUY_TRIGGER,6bw5h7oAdg,GZU,87.92 
[33570] DISPLAY_SUMMARY,6bw5h7oAdg 
[33628] QUOTE,6bw5h7oAdg,NDJ 
[33737] SET_BUY_TRIGGER,6bw5h7oAdg,LUT,32.25 
[33780] COMMIT_BUY,6bw5h7oAdg 
[33973] SELL,6bw5h7oAdg,JCQ,580.70 
[34022] COMMIT_SELL,6bw5h7oAdg 
[34062] DISPLAY_SUMMARY,6bw5h7oAdg 
[34173] DISPLAY_SUMMARY,6bw5h7oAdg 
[34188] DISPLAY_SUMMARY,6bw5h7oAdg 
[34189] BUY,6bw5h7oAdg,CMA,157.78 
[34204] CANCEL_BUY,6bw5h7oAdg 
[34372] SELL,6bw5h7oAdg,CUZ,609.16 
[34448] SELL,6bw5h7oAdg,CUZ,568.20 
[34450] ADD,6bw5h7oAdg,75842.95 
[34596] COMMIT_SELL,6bw5h7oAdg 
[34655] ADD,6bw5h7oAdg,54260.96 
[34935] QUOTE,6bw5h7oAdg,IFC 
[35015] QUOTE,6bw5h7oAdg,VKB 
[35171] BUY,6bw5h7oAdg,LBC,34.88 
[35262] COMMIT_SELL,6bw5h7oAdg 
[35304] SET_BUY_TRIGGER,6bw5h7oAdg,OKK,26.78 
[35362] QUOTE,6bw5h7oAdg,AQO 
[35513] DISPLAY_SUMMARY,6bw5h7oAdg 
[35551] QUOTE,6bw5h7oAdg,UXP 
[35693] DISPLAY_SUMMARY,6bw5h7oAdg 
[35711] SET_SELL_AMOUNT,6bw5h7oAdg,YJK,298.60 
[35729] SET_SELL_TRIGGER,6bw5h7oAdg,YJK,227.60 
[35749] COMMIT_SELL,6bw5h7oAdg 
[35828] CANCEL_SET_BUY,6bw5h7oAdg,MPP 
[35924] DISPLAY_SUMMARY,6bw5h7oAdg 
[36075] SET_BUY_AMOUNT,6bw5h7oAdg,YJK,90.96 
[36076] SET_BUY_TRIGGER,6bw5h7oAdg,NQU,17.24 
[36092] QUOTE,6bw5h7oAdg,GMF 
[36254] SET_BUY_AMOUNT,6bw5h7oAdg,RUN,347.26 
[36570] DISPLAY_SUMMARY,6bw5h7oAdg 
[36741] SELL,6bw5h7oAdg,BCQ,740.84 
[36941] COMMIT_SELL,6bw5h7oAdg 
[36986] ADD,6bw5h7oAdg,72427.34 
[37013] QUOTE,6bw5h7oAdg,HVE 
[37098] QUOTE,6bw5h7oAdg,QBD 
[37189] BUY,6bw5h7oAdg,MQF,513.58 
[37334] ADD,6bw5h7oAdg,63002.83 
[37460] QUOTE,6bw5h7oAdg,YPW 
[37622] BUY,6bw5h7oAdg,AMI,575.82 
[37721] BUY,6bw5h7oAdg,HGG,736.81 
[37731] COMMIT_BUY,6bw5h7oAdg 
[37744] SET_SELL_AMOUNT,6bw5h7oAdg,YJK,330.26 
[37760] SET_SELL_TRIGGER,6bw5h7oAdg,YJK,268.47 
[37877] QUOTE,6bw5h7oAdg,FPV 
[37918] COMMIT_SELL,6bw5h7oAdg 
[38021] SELL,6bw5h7oAdg,EBS,396.42 
[38050] COMMIT_SELL,6bw5h7oAdg 
[38249] DISPLAY_SUMMARY,6bw5h7oAdg 
[38485] QUOTE,6bw5h7oAdg,ZEG 
[38641] SET_BUY_TRIGGER,6bw5h7oAdg,GPC,214.76 
[38808] ADD,6bw5h7oAdg,69881.21 
[39150] BUY,6bw5h7oAdg,IKK,477.56 
[39151] COMMIT_BUY,6bw5h7oAdg 
[39201] QUOTE,6bw5h7oAdg,QGL 
[39338] ADD,6bw5h7oAdg,89505.96 
[39352] QUOTE,6bw5h7oAdg,BHP 
[39409] BUY,6bw5h7oAdg,GYF,593.98 
[39466] COMMIT_BUY,6bw5h7oAdg 
[39622] SELL,6bw5h7oAdg,JVT,655.32 
[39740] CANCEL_BUY,6bw5h7oAdg 
[39794] ADD,6bw5h7oAdg,84048.00 
[39988] SET_SELL_AMOUNT,6bw5h7oAdg,JCQ,546.80 
[40029] QUOTE,6bw5h7oAdg,DWX 
[40354] ADD,6bw5h7oAdg,74822.80 
[40441] BUY,6bw5h7oAdg,ETJ,228.78 
[40807] COMMIT_SELL,6bw5h7oAdg 
[41025] ADD,6bw5h7oAdg,64791.06 
[41074] SET_SELL_AMOUNT,6bw5h7oAdg,UTV,673.01 
[41213] SET_SELL_TRIGGER,6bw5h7oAdg,UTV,190.95 
[41246] QUOTE,6bw5h7oAdg,HTD 
[41329] BUY,6bw5h7oAdg,MQF,388.17 
[41334] CANCEL_BUY,6bw5h7oAdg 
[41393] SET_BUY_TRIGGER,6bw5h7oAdg,YAZ,135.36 
[41407] DISPLAY_SUMMARY,6bw5h7oAdg 
[41859] BUY,6bw5h7oAdg,VJV,437.14 
[42204] COMMIT_BUY,6bw5h7oAdg 
[42255] SET_SELL_TRIGGER,6bw5h7oAdg,LSK,158.22 
[42288] SET_BUY_TRIGGER,6bw5h7oAdg,JXW,63.44 
[42422] DISPLAY_SUMMARY,6bw5h7oAdg 
[42427] QUOTE,6bw5h7oAdg,MHQ 
[42644] ADD,6bw5h7oAdg,53208.98 
[42714] BUY,6bw5h7oAdg,BYM,234.13 
[42716] COMMIT_BUY,6bw5h7oAdg 
[42732] SELL,6bw5h7oAdg,XXQ,570.78 
[42747] ADD,6bw5h7oAdg,60088.43 
[42748] QUOTE,6bw5h7oAdg,UGT 
[42852] SET_SELL_AMOUNT,6bw5h7oAdg,JRJ,3.40 
[42905] SET_SELL_TRIGGER,6bw5h7oAdg,JRJ,2.42 
[43146] SET_SELL_TRIGGER,6bw5h7oAdg,NXU,75.44 
[43194] SET_SELL_AMOUNT,6bw5h7oAdg,RUN,531.79 
[43336] BUY,6bw5h7oAdg,MIY,206.62 
[43419] CANCEL_BUY,6bw5h7oAdg 
[43545] ADD,6bw5h7oAdg,80843.80 
[43653] BUY,6bw5h7oAdg,RLS,388.12 
[43674] SET_SELL_AMOUNT,6bw5h7oAdg,XXQ,715.63 
[44054] SET_SELL_TRIGGER,6bw5h7oAdg,XXQ,570.94 
[44117] BUY,6bw5h7oAdg,ILT,381.92 
[44234] BUY,6bw5h7oAdg,FKZ,182.89 
[44279] COMMIT_BUY,6bw5h7oAdg 
[44317] SET_BUY_TRIGGER,6bw5h7oAdg,VOY,82.32 
[44571] SELL,6bw5h7oAdg,LFU,328.65 
[44807] CANCEL_SELL,6bw5h7oAdg 
[44842] ADD,6bw5h7oAdg,66347.55 
[44932] COMMIT_SELL,6bw5h7oAdg 
[45166] SELL,6bw5h7oAdg,ZTI,321.90 
[45357] COMMIT_SELL,6bw5h7oAdg 
[45385] DISPLAY_SUMMARY,6bw5h7oAdg 
[45461] SELL,6bw5h7oAdg,EBS,513.25 
[45524] SET_SELL_TRIGGER,6bw5h7oAdg,OHS,77.87 
[45527] QUOTE,6bw5h7oAdg,SPL 
[45735] BUY,6bw5h7oAdg,RFC,92.53 
[45888] COMMIT_SELL,6bw5h7oAdg 
[46111] ADD,6bw5h7oAdg,67333.18 
[46209] BUY,6bw5h7oAdg,FVZ,74.63 
[46911] CANCEL_SET_SELL,6bw5h7oAdg,OQW 
[46920] DISPLAY_SUMMARY,6bw5h7oAdg 
