[43] ADD,x8GMbOCXJX,63971.43 
[8512] SET_BUY_AMOUNT,x8GMbOCXJX,QJZ,545.67 
[8518] CANCEL_SET_BUY,x8GMbOCXJX,TSS 
[8654] CANCEL_SELL,x8GMbOCXJX 
[8887] SET_BUY_TRIGGER,x8GMbOCXJX,KCA,106.12 
[8985] SET_BUY_AMOUNT,x8GMbOCXJX,QJZ,738.65 
[9108] SET_BUY_TRIGGER,x8GMbOCXJX,DPG,85.74 
[9121] ADD,x8GMbOCXJX,69427.22 
[9284] DISPLAY_SUMMARY,x8GMbOCXJX 
[9596] DISPLAY_SUMMARY,x8GMbOCXJX 
[9600] DISPLAY_SUMMARY,x8GMbOCXJX 
[9675] SELL,x8GMbOCXJX,GYF,540.26 
[9744] SET_SELL_TRIGGER,x8GMbOCXJX,XAB,146.78 
[9837] ADD,x8GMbOCXJX,75170.21 
[9883] QUOTE,x8GMbOCXJX,YXK 
[9907] BUY,x8GMbOCXJX,OYX,395.90 
[9913] SET_BUY_TRIGGER,x8GMbOCXJX,QUT,50.30 
[9966] BUY,x8GMbOCXJX,DDA,574.75 
[10069] CANCEL_BUY,x8GMbOCXJX 
[10299] SET_BUY_TRIGGER,x8GMbOCXJX,NDJ,40.17 
[10590] SET_BUY_AMOUNT,x8GMbOCXJX,KES,395.70 
[10608] QUOTE,x8GMbOCXJX,APY 
[10885] SET_SELL_AMOUNT,x8GMbOCXJX,KES,620.02 
[11040] SET_SELL_TRIGGER,x8GMbOCXJX,KES,123.35 
[11085] SET_SELL_AMOUNT,x8GMbOCXJX,JVT,741.13 
[11092] CANCEL_SET_SELL,x8GMbOCXJX,JVT 
[11095] COMMIT_BUY,x8GMbOCXJX 
[11109] BUY,x8GMbOCXJX,YNY,336.01 
[11186] CANCEL_BUY,x8GMbOCXJX 
[11338] ADD,x8GMbOCXJX,64132.50 
[11381] QUOTE,x8GMbOCXJX,ZER 
[11430] ADD,x8GMbOCXJX,99821.63 
[11467] QUOTE,x8GMbOCXJX,PCK 
[11521] BUY,x8GMbOCXJX,ZZN,104.63 
[11686] COMMIT_BUY,x8GMbOCXJX 
[11760] SELL,x8GMbOCXJX,OEY,453.90 
[11790] COMMIT_SELL,x8GMbOCXJX 
[11932] DISPLAY_SUMMARY,x8GMbOCXJX 
[11986] SET_SELL_AMOUNT,x8GMbOCXJX,QJZ,246.88 
[12142] SET_SELL_TRIGGER,x8GMbOCXJX,QJZ,44.68 
[12187] BUY,x8GMbOCXJX,RLS,412.54 
[12280] COMMIT_BUY,x8GMbOCXJX 
[12511] SET_BUY_AMOUNT,x8GMbOCXJX,JCQ,167.76 
[12572] SET_BUY_TRIGGER,x8GMbOCXJX,OIY,95.86 
[12757] SET_BUY_AMOUNT,x8GMbOCXJX,JVT,205.33 
[12778] QUOTE,x8GMbOCXJX,JQG 
[12844] DISPLAY_SUMMARY,x8GMbOCXJX 
[12880] SET_BUY_AMOUNT,x8GMbOCXJX,QAX,93.46 
[12932] SET_BUY_TRIGGER,x8GMbOCXJX,EGB,70.78 
[12980] SELL,x8GMbOCXJX,JCQ,538.41 
[12999] COMMIT_SELL,x8GMbOCXJX 
[13090] SET_BUY_TRIGGER,x8GMbOCXJX,BBC,111.89 
[13279] ADD,x8GMbOCXJX,63773.76 
[13558] BUY,x8GMbOCXJX,FCH,559.70 
[13574] COMMIT_BUY,x8GMbOCXJX 
[13720] ADD,x8GMbOCXJX,103721.08 
[13848] BUY,x8GMbOCXJX,ZCO,732.60 
[14094] COMMIT_BUY,x8GMbOCXJX 
[14147] SET_BUY_AMOUNT,x8GMbOCXJX,JQO,148.10 
[14309] SET_BUY_TRIGGER,x8GMbOCXJX,NXU,118.90 
[14635] SELL,x8GMbOCXJX,JVT,434.99 
[14667] SET_SELL_TRIGGER,x8GMbOCXJX,KDA,149.46 
[14765] SET_BUY_AMOUNT,x8GMbOCXJX,KES,413.60 
[14851] SET_BUY_TRIGGER,x8GMbOCXJX,LSK,365.34 
[14955] DISPLAY_SUMMARY,x8GMbOCXJX 
[15058] DISPLAY_SUMMARY,x8GMbOCXJX 
[15229] SET_BUY_AMOUNT,x8GMbOCXJX,QAX,55.58 
[15368] SET_BUY_TRIGGER,x8GMbOCXJX,PVZ,17.57 
[15419] SET_SELL_TRIGGER,x8GMbOCXJX,PFN,82.41 
[15425] DISPLAY_SUMMARY,x8GMbOCXJX 
[15521] CANCEL_BUY,x8GMbOCXJX 
[15820] BUY,x8GMbOCXJX,KXF,19.27 
[15890] CANCEL_BUY,x8GMbOCXJX 
[15899] ADD,x8GMbOCXJX,59379.35 
[15963] BUY,x8GMbOCXJX,KCS,180.67 
[16160] COMMIT_BUY,x8GMbOCXJX 
[16210] DISPLAY_SUMMARY,x8GMbOCXJX 
[16217] SET_BUY_AMOUNT,x8GMbOCXJX,FQP,363.11 
[16280] CANCEL_SET_BUY,x8GMbOCXJX,TJL 
[16368] ADD,x8GMbOCXJX,64619.86 
[16419] QUOTE,x8GMbOCXJX,CIP 
[16483] SET_BUY_AMOUNT,x8GMbOCXJX,QJZ,576.06 
[16524] SET_BUY_TRIGGER,x8GMbOCXJX,KRY,365.62 
[16868] SET_SELL_AMOUNT,x8GMbOCXJX,FQP,719.93 
[16955] CANCEL_SET_SELL,x8GMbOCXJX,FQP 
[17240] DISPLAY_SUMMARY,x8GMbOCXJX 
[17482] DISPLAY_SUMMARY,x8GMbOCXJX 
[17621] ADD,x8GMbOCXJX,73188.99 
[17631] DISPLAY_SUMMARY,x8GMbOCXJX 
[17671] ADD,x8GMbOCXJX,70604.58 
[17790] QUOTE,x8GMbOCXJX,RFI 
[17797] SELL,x8GMbOCXJX,KDA,419.84 
[17842] COMMIT_BUY,x8GMbOCXJX 
[17959] SET_BUY_TRIGGER,x8GMbOCXJX,QXE,163.60 
[17973] ADD,x8GMbOCXJX,53106.86 
[17978] BUY,x8GMbOCXJX,QJC,119.49 
[17997] CANCEL_BUY,x8GMbOCXJX 
[18131] QUOTE,x8GMbOCXJX,SKY 
[18194] CANCEL_SET_SELL,x8GMbOCXJX,BDX 
[18259] BUY,x8GMbOCXJX,FIW,532.56 
[18421] COMMIT_BUY,x8GMbOCXJX 
[18540] SET_BUY_TRIGGER,x8GMbOCXJX,SCK,97.95 
[18548] DISPLAY_SUMMARY,x8GMbOCXJX 
[18737] SET_SELL_TRIGGER,x8GMbOCXJX,CLQ,52.96 
[18808] SET_SELL_AMOUNT,x8GMbOCXJX,QAX,405.86 
[19065] SET_SELL_TRIGGER,x8GMbOCXJX,QAX,305.58 
[19187] SELL,x8GMbOCXJX,KES,71.94 
[19305] QUOTE,x8GMbOCXJX,GLO 
[19336] ADD,x8GMbOCXJX,61785.56 
[19460] BUY,x8GMbOCXJX,WDJ,130.86 
[19482] SET_BUY_TRIGGER,x8GMbOCXJX,KJH,67.61 
[20061] QUOTE,x8GMbOCXJX,PJW 
[20243] QUOTE,x8GMbOCXJX,BJL 
[20356] BUY,x8GMbOCXJX,XBL,661.05 
[20419] COMMIT_BUY,x8GMbOCXJX 
[20554] ADD,x8GMbOCXJX,70707.87 
[20602] QUOTE,x8GMbOCXJX,SOA 
[20809] QUOTE,x8GMbOCXJX,GZU 
[20911] COMMIT_BUY,x8GMbOCXJX 
[20926] SET_SELL_AMOUNT,x8GMbOCXJX,UTV,462.26 
[20984] DISPLAY_SUMMARY,x8GMbOCXJX 
[21076] QUOTE,x8GMbOCXJX,ZKV 
[21332] ADD,x8GMbOCXJX,81105.43 
[21439] COMMIT_BUY,x8GMbOCXJX 
[21445] DISPLAY_SUMMARY,x8GMbOCXJX 
[21516] SET_BUY_AMOUNT,x8GMbOCXJX,QAX,292.90 
[21792] SET_BUY_TRIGGER,x8GMbOCXJX,KDG,251.04 
[21858] BUY,x8GMbOCXJX,TYV,193.89 
[22096] COMMIT_SELL,x8GMbOCXJX 
[22111] SELL,x8GMbOCXJX,JVT,257.44 
[22143] COMMIT_SELL,x8GMbOCXJX 
[22223] SET_SELL_AMOUNT,x8GMbOCXJX,OEY,238.59 
[22326] SET_SELL_TRIGGER,x8GMbOCXJX,OEY,27.91 
[22522] ADD,x8GMbOCXJX,64432.10 
[22617] BUY,x8GMbOCXJX,NXU,420.50 
[22678] SET_SELL_TRIGGER,x8GMbOCXJX,OEY,197.52 
[22770] SET_BUY_AMOUNT,x8GMbOCXJX,OEY,628.75 
[22813] SET_BUY_TRIGGER,x8GMbOCXJX,SKY,361.64 
[22828] QUOTE,x8GMbOCXJX,RQL 
[22834] BUY,x8GMbOCXJX,MQF,433.22 
[22959] CANCEL_SET_BUY,x8GMbOCXJX,ZFJ 
[22979] SET_BUY_AMOUNT,x8GMbOCXJX,OEY,196.55 
[23005] SET_BUY_TRIGGER,x8GMbOCXJX,MIR,191.59 
[23095] SET_BUY_AMOUNT,x8GMbOCXJX,KDA,343.19 
[23427] SET_BUY_TRIGGER,x8GMbOCXJX,CCH,133.09 
[23758] CANCEL_BUY,x8GMbOCXJX 
[23972] SET_SELL_AMOUNT,x8GMbOCXJX,QAX,748.92 
[23982] SET_SELL_TRIGGER,x8GMbOCXJX,QAX,633.94 
[24027] SELL,x8GMbOCXJX,NHG,14.65 
[24103] SET_SELL_TRIGGER,x8GMbOCXJX,IBT,78.08 
[24286] SET_BUY_TRIGGER,x8GMbOCXJX,LVT,24.43 
[24363] SET_SELL_AMOUNT,x8GMbOCXJX,JRJ,421.94 
[24454] SET_SELL_TRIGGER,x8GMbOCXJX,JRJ,272.01 
[24498] SET_BUY_AMOUNT,x8GMbOCXJX,JRJ,411.55 
[24620] SELL,x8GMbOCXJX,GYF,146.04 
[24639] COMMIT_SELL,x8GMbOCXJX 
[24670] SET_SELL_TRIGGER,x8GMbOCXJX,USW,76.50 
[24681] SET_BUY_TRIGGER,x8GMbOCXJX,EDW,269.13 
[24715] ADD,x8GMbOCXJX,75637.10 
[24890] QUOTE,x8GMbOCXJX,STT 
[24955] DISPLAY_SUMMARY,x8GMbOCXJX 
[24958] SET_BUY_TRIGGER,x8GMbOCXJX,JUJ,148.92 
[25009] SET_BUY_TRIGGER,x8GMbOCXJX,RDN,141.97 
[25021] DISPLAY_SUMMARY,x8GMbOCXJX 
[25211] ADD,x8GMbOCXJX,69247.98 
[25308] SELL,x8GMbOCXJX,JQO,726.51 
[25358] BUY,x8GMbOCXJX,YBP,249.58 
[25487] COMMIT_BUY,x8GMbOCXJX 
[25752] DISPLAY_SUMMARY,x8GMbOCXJX 
[25766] DISPLAY_SUMMARY,x8GMbOCXJX 
[25775] QUOTE,x8GMbOCXJX,RVU 
[25852] CANCEL_SELL,x8GMbOCXJX 
[26038] BUY,x8GMbOCXJX,OYS,435.80 
[26042] COMMIT_BUY,x8GMbOCXJX 
[26100] SET_SELL_TRIGGER,x8GMbOCXJX,YWK,178.67 
[26106] ADD,x8GMbOCXJX,69539.30 
[26271] QUOTE,x8GMbOCXJX,LAM 
[26489] COMMIT_BUY,x8GMbOCXJX 
[26590] DISPLAY_SUMMARY,x8GMbOCXJX 
[26625] DISPLAY_SUMMARY,x8GMbOCXJX 
[26644] ADD,x8GMbOCXJX,65268.81 
[26696] QUOTE,x8GMbOCXJX,BPP 
[26791] DISPLAY_SUMMARY,x8GMbOCXJX 
[26860] QUOTE,x8GMbOCXJX,LJY 
[26986] ADD,x8GMbOCXJX,102187.88 
[27139] BUY,x8GMbOCXJX,HHG,521.90 
[27173] CANCEL_BUY,x8GMbOCXJX 
[27227] CANCEL_BUY,x8GMbOCXJX 
[27232] BUY,x8GMbOCXJX,SOT,670.05 
[27255] COMMIT_BUY,x8GMbOCXJX 
[27278] BUY,x8GMbOCXJX,YIQ,39.83 
[27317] SELL,x8GMbOCXJX,JVT,473.21 
[27389] CANCEL_SELL,x8GMbOCXJX 
[27451] CANCEL_SET_SELL,x8GMbOCXJX,DOI 
[27465] SET_BUY_TRIGGER,x8GMbOCXJX,RNE,119.32 
[27585] SET_SELL_TRIGGER,x8GMbOCXJX,QLM,19.22 
[27811] DISPLAY_SUMMARY,x8GMbOCXJX 
[27830] ADD,x8GMbOCXJX,69199.30 
[27834] QUOTE,x8GMbOCXJX,RRT 
[27850] ADD,x8GMbOCXJX,54047.06 
[27918] BUY,x8GMbOCXJX,OKK,185.36 
[27944] DISPLAY_SUMMARY,x8GMbOCXJX 
[27961] SET_BUY_AMOUNT,x8GMbOCXJX,EBS,120.14 
[28001] SET_BUY_TRIGGER,x8GMbOCXJX,SZI,110.70 
[28042] SELL,x8GMbOCXJX,JCQ,45.56 
[28155] CANCEL_SET_BUY,x8GMbOCXJX,VJV 
[28163] ADD,x8GMbOCXJX,55712.97 
[28322] BUY,x8GMbOCXJX,ZFV,365.56 
[28473] COMMIT_BUY,x8GMbOCXJX 
[28477] SELL,x8GMbOCXJX,UTV,659.78 
[28549] COMMIT_SELL,x8GMbOCXJX 
[28619] DISPLAY_SUMMARY,x8GMbOCXJX 
[28624] ADD,x8GMbOCXJX,85920.97 
[28872] QUOTE,x8GMbOCXJX,YUR 
[28907] BUY,x8GMbOCXJX,ALM,476.81 
[29311] COMMIT_BUY,x8GMbOCXJX 
[29383] DISPLAY_SUMMARY,x8GMbOCXJX 
[29442] SET_BUY_TRIGGER,x8GMbOCXJX,NJF,75.50 
[29487] QUOTE,x8GMbOCXJX,HHG 
[29565] DISPLAY_SUMMARY,x8GMbOCXJX 
[29730] QUOTE,x8GMbOCXJX,POE 
[30015] SET_BUY_TRIGGER,x8GMbOCXJX,MPP,26.59 
[30016] CANCEL_SELL,x8GMbOCXJX 
[30055] ADD,x8GMbOCXJX,83056.61 
[30193] BUY,x8GMbOCXJX,ZFK,542.36 
[30224] SET_SELL_AMOUNT,x8GMbOCXJX,CUZ,264.17 
[30392] SET_SELL_TRIGGER,x8GMbOCXJX,CUZ,50.93 
[30407] SELL,x8GMbOCXJX,QAX,348.07 
[30551] COMMIT_SELL,x8GMbOCXJX 
[30575] SET_BUY_TRIGGER,x8GMbOCXJX,WZY,188.79 
[30645] QUOTE,x8GMbOCXJX,BYM 
[30658] BUY,x8GMbOCXJX,DMW,185.05 
[30664] CANCEL_SELL,x8GMbOCXJX 
[30792] SET_SELL_AMOUNT,x8GMbOCXJX,LFU,127.48 
[30987] SET_SELL_TRIGGER,x8GMbOCXJX,LFU,88.84 
[31010] QUOTE,x8GMbOCXJX,LPS 
[31016] DISPLAY_SUMMARY,x8GMbOCXJX 
[31310] SET_BUY_TRIGGER,x8GMbOCXJX,WCR,30.57 
[31340] DISPLAY_SUMMARY,x8GMbOCXJX 
[31383] SET_BUY_AMOUNT,x8GMbOCXJX,FQP,392.69 
[31518] SET_BUY_TRIGGER,x8GMbOCXJX,PVH,367.75 
[31720] BUY,x8GMbOCXJX,KZC,388.91 
[31797] COMMIT_BUY,x8GMbOCXJX 
[31799] SET_SELL_TRIGGER,x8GMbOCXJX,COE,1.18 
[32025] DISPLAY_SUMMARY,x8GMbOCXJX 
[32408] SET_SELL_TRIGGER,x8GMbOCXJX,QLM,13.17 
[32444] SELL,x8GMbOCXJX,RUN,253.53 
[32582] QUOTE,x8GMbOCXJX,YIQ 
[32656] SELL,x8GMbOCXJX,OEY,682.87 
[32773] COMMIT_SELL,x8GMbOCXJX 
[33057] ADD,x8GMbOCXJX,78907.02 
[33393] BUY,x8GMbOCXJX,IFI,425.14 
[33680] COMMIT_BUY,x8GMbOCXJX 
[33681] SET_BUY_AMOUNT,x8GMbOCXJX,XXQ,429.72 
[33694] SET_BUY_TRIGGER,x8GMbOCXJX,MGO,86.97 
[33702] SELL,x8GMbOCXJX,ZYR,328.29 
[33731] DISPLAY_SUMMARY,x8GMbOCXJX 
[33784] QUOTE,x8GMbOCXJX,FQU 
[33860] DISPLAY_SUMMARY,x8GMbOCXJX 
[33964] QUOTE,x8GMbOCXJX,QNW 
[34195] SET_BUY_AMOUNT,x8GMbOCXJX,JRJ,36.94 
[34338] SET_BUY_TRIGGER,x8GMbOCXJX,KXF,27.99 
[34375] SELL,x8GMbOCXJX,FQP,506.28 
[34482] QUOTE,x8GMbOCXJX,WCY 
[34490] CANCEL_BUY,x8GMbOCXJX 
[34575] SET_BUY_TRIGGER,x8GMbOCXJX,GYF,186.92 
[34681] SELL,x8GMbOCXJX,KES,637.20 
[34802] COMMIT_SELL,x8GMbOCXJX 
[34941] BUY,x8GMbOCXJX,KLY,280.68 
[35012] CANCEL_SET_SELL,x8GMbOCXJX,VNO 
[35141] ADD,x8GMbOCXJX,79726.82 
[35303] BUY,x8GMbOCXJX,VQA,496.33 
[35306] CANCEL_BUY,x8GMbOCXJX 
[35383] QUOTE,x8GMbOCXJX,PJW 
[35457] BUY,x8GMbOCXJX,MMF,264.93 
[35532] COMMIT_BUY,x8GMbOCXJX 
[35647] SELL,x8GMbOCXJX,BYA,45.35 
[35653] COMMIT_SELL,x8GMbOCXJX 
[35697] SET_BUY_AMOUNT,x8GMbOCXJX,CUZ,242.97 
[35766] SET_BUY_TRIGGER,x8GMbOCXJX,NLT,117.70 
[35783] BUY,x8GMbOCXJX,EEG,638.66 
[35813] COMMIT_SELL,x8GMbOCXJX 
[35928] SET_SELL_AMOUNT,x8GMbOCXJX,ZTI,14.82 
[35939] QUOTE,x8GMbOCXJX,OHS 
[35980] DISPLAY_SUMMARY,x8GMbOCXJX 
[35991] SELL,x8GMbOCXJX,DFE,356.65 
[36044] COMMIT_SELL,x8GMbOCXJX 
[36118] SELL,x8GMbOCXJX,KDA,54.30 
[36406] DISPLAY_SUMMARY,x8GMbOCXJX 
[36426] SET_BUY_TRIGGER,x8GMbOCXJX,NGB,34.91 
[36429] QUOTE,x8GMbOCXJX,CCH 
[36452] CANCEL_SET_SELL,x8GMbOCXJX,ZTI 
[36516] BUY,x8GMbOCXJX,JCL,658.67 
[36526] SET_BUY_TRIGGER,x8GMbOCXJX,XLI,73.73 
[36580] SET_BUY_AMOUNT,x8GMbOCXJX,KES,32.25 
[36605] CANCEL_SET_BUY,x8GMbOCXJX,MIR 
[36684] ADD,x8GMbOCXJX,48947.97 
[36701] QUOTE,x8GMbOCXJX,LUT 
[36780] BUY,x8GMbOCXJX,JEO,513.25 
[36952] BUY,x8GMbOCXJX,CCH,228.37 
[37137] COMMIT_BUY,x8GMbOCXJX 
[37229] BUY,x8GMbOCXJX,OYW,235.81 
[37250] BUY,x8GMbOCXJX,KQZ,362.37 
[37287] COMMIT_BUY,x8GMbOCXJX 
[37375] SET_SELL_AMOUNT,x8GMbOCXJX,BCQ,557.00 
[37393] SET_SELL_TRIGGER,x8GMbOCXJX,BCQ,376.59 
[37458] DISPLAY_SUMMARY,x8GMbOCXJX 
[37651] SELL,x8GMbOCXJX,FQP,305.91 
[37917] COMMIT_SELL,x8GMbOCXJX 
[38317] DISPLAY_SUMMARY,x8GMbOCXJX 
[38412] SET_BUY_TRIGGER,x8GMbOCXJX,IHA,85.08 
[38617] COMMIT_SELL,x8GMbOCXJX 
[38769] ADD,x8GMbOCXJX,82294.24 
[38787] QUOTE,x8GMbOCXJX,WZM 
[39156] QUOTE,x8GMbOCXJX,ZJQ 
[39334] BUY,x8GMbOCXJX,CNN,406.04 
[39492] COMMIT_BUY,x8GMbOCXJX 
[39553] CANCEL_SET_BUY,x8GMbOCXJX,ZJG 
[39775] DISPLAY_SUMMARY,x8GMbOCXJX 
[40290] SELL,x8GMbOCXJX,JVT,224.68 
[40387] CANCEL_SET_SELL,x8GMbOCXJX,IIX 
[40410] ADD,x8GMbOCXJX,58578.13 
[40510] SET_SELL_TRIGGER,x8GMbOCXJX,BWL,166.60 
[40614] SET_SELL_AMOUNT,x8GMbOCXJX,ZTI,214.54 
[40661] DISPLAY_SUMMARY,x8GMbOCXJX 
[40703] SET_SELL_AMOUNT,x8GMbOCXJX,NHG,619.77 
[40773] SET_SELL_TRIGGER,x8GMbOCXJX,NHG,143.14 
[40957] BUY,x8GMbOCXJX,DRP,393.45 
[41097] COMMIT_BUY,x8GMbOCXJX 
[41135] ADD,x8GMbOCXJX,85206.00 
[41160] CANCEL_SELL,x8GMbOCXJX 
[41244] ADD,x8GMbOCXJX,73574.97 
[41362] COMMIT_BUY,x8GMbOCXJX 
[41416] BUY,x8GMbOCXJX,WJP,64.02 
[41568] CANCEL_BUY,x8GMbOCXJX 
[41692] SET_BUY_AMOUNT,x8GMbOCXJX,UTV,80.81 
[41798] SET_BUY_TRIGGER,x8GMbOCXJX,IEQ,73.41 
[41854] SELL,x8GMbOCXJX,NHG,8.07 
[41983] SET_SELL_AMOUNT,x8GMbOCXJX,JQO,165.76 
[42088] BUY,x8GMbOCXJX,QGN,469.37 
[42121] SET_BUY_AMOUNT,x8GMbOCXJX,GYF,465.43 
[42398] SET_BUY_TRIGGER,x8GMbOCXJX,BMQ,387.47 
[42475] BUY,x8GMbOCXJX,RGH,258.07 
[42480] SET_BUY_AMOUNT,x8GMbOCXJX,FQP,149.02 
[42826] SET_BUY_TRIGGER,x8GMbOCXJX,AVI,11.90 
[42964] DISPLAY_SUMMARY,x8GMbOCXJX 
[43017] BUY,x8GMbOCXJX,ZAN,368.01 
[43044] QUOTE,x8GMbOCXJX,YDS 
[43343] BUY,x8GMbOCXJX,RYU,58.11 
[43400] COMMIT_BUY,x8GMbOCXJX 
[43402] ADD,x8GMbOCXJX,57964.17 
[43649] COMMIT_BUY,x8GMbOCXJX 
[43667] DISPLAY_SUMMARY,x8GMbOCXJX 
[43682] BUY,x8GMbOCXJX,VUS,572.93 
[43768] ADD,x8GMbOCXJX,49239.08 
[43850] SET_SELL_AMOUNT,x8GMbOCXJX,KDA,605.39 
[43989] SET_SELL_TRIGGER,x8GMbOCXJX,KDA,399.90 
[44062] SELL,x8GMbOCXJX,ZTI,232.67 
[44110] BUY,x8GMbOCXJX,WDC,117.52 
[44181] COMMIT_BUY,x8GMbOCXJX 
[44504] DISPLAY_SUMMARY,x8GMbOCXJX 
