[55] ADD,oAd3QaqYgz,97860.18 
[12777] COMMIT_BUY,oAd3QaqYgz 
[12862] DISPLAY_SUMMARY,oAd3QaqYgz 
[12863] ADD,oAd3QaqYgz,77897.95 
[12883] BUY,oAd3QaqYgz,YDS,76.72 
[13022] SET_SELL_AMOUNT,oAd3QaqYgz,QJZ,594.82 
[13116] SET_SELL_TRIGGER,oAd3QaqYgz,QJZ,379.82 
[13457] BUY,oAd3QaqYgz,FNY,154.93 
[13489] COMMIT_BUY,oAd3QaqYgz 
[13543] ADD,oAd3QaqYgz,69843.63 
[13615] BUY,oAd3QaqYgz,NRY,438.28 
[13669] COMMIT_SELL,oAd3QaqYgz 
[13786] QUOTE,oAd3QaqYgz,ZQC 
[13790] BUY,oAd3QaqYgz,IUN,449.37 
[14050] CANCEL_SELL,oAd3QaqYgz 
[14137] QUOTE,oAd3QaqYgz,QGE 
[14356] BUY,oAd3QaqYgz,WAI,413.56 
[14406] COMMIT_BUY,oAd3QaqYgz 
[14633] QUOTE,oAd3QaqYgz,VFH 
[14677] DISPLAY_SUMMARY,oAd3QaqYgz 
[14690] DISPLAY_SUMMARY,oAd3QaqYgz 
[14709] SET_BUY_TRIGGER,oAd3QaqYgz,YOG,196.05 
[14747] SELL,oAd3QaqYgz,EBS,364.49 
[14800] COMMIT_SELL,oAd3QaqYgz 
[14812] DISPLAY_SUMMARY,oAd3QaqYgz 
[15182] SELL,oAd3QaqYgz,QJZ,55.63 
[15222] CANCEL_SET_BUY,oAd3QaqYgz,RXO 
[15281] SET_BUY_TRIGGER,oAd3QaqYgz,RXB,53.21 
[15357] SET_SELL_AMOUNT,oAd3QaqYgz,OEY,250.81 
[15370] SET_SELL_TRIGGER,oAd3QaqYgz,OEY,221.80 
[15516] BUY,oAd3QaqYgz,YPW,213.76 
[15533] SET_SELL_AMOUNT,oAd3QaqYgz,NHG,211.26 
[15575] SET_SELL_TRIGGER,oAd3QaqYgz,NHG,184.24 
[15711] SELL,oAd3QaqYgz,NHG,699.96 
[15776] CANCEL_SET_BUY,oAd3QaqYgz,SSW 
[15860] SELL,oAd3QaqYgz,QAX,405.40 
[15978] BUY,oAd3QaqYgz,BLC,267.90 
[16023] COMMIT_BUY,oAd3QaqYgz 
[16162] SET_SELL_TRIGGER,oAd3QaqYgz,QPX,129.68 
[16170] SELL,oAd3QaqYgz,NHG,668.21 
[16487] CANCEL_SELL,oAd3QaqYgz 
[16556] SET_SELL_TRIGGER,oAd3QaqYgz,QVA,86.51 
[16582] ADD,oAd3QaqYgz,66730.58 
[16594] BUY,oAd3QaqYgz,NLT,272.92 
[16618] CANCEL_SELL,oAd3QaqYgz 
[16709] SET_BUY_AMOUNT,oAd3QaqYgz,KDA,95.41 
[16756] SET_BUY_TRIGGER,oAd3QaqYgz,NDJ,59.20 
[16797] SET_BUY_AMOUNT,oAd3QaqYgz,QAX,173.50 
[16803] SET_BUY_TRIGGER,oAd3QaqYgz,NJF,132.99 
[16899] CANCEL_SELL,oAd3QaqYgz 
[16949] SET_SELL_AMOUNT,oAd3QaqYgz,JVT,319.01 
[17144] SET_SELL_TRIGGER,oAd3QaqYgz,JVT,61.07 
[17342] SET_SELL_AMOUNT,oAd3QaqYgz,QAX,589.61 
[17480] SET_SELL_TRIGGER,oAd3QaqYgz,QAX,576.40 
[17542] SET_BUY_AMOUNT,oAd3QaqYgz,QJZ,199.97 
[17606] SET_BUY_TRIGGER,oAd3QaqYgz,ETB,62.54 
[17944] SET_SELL_TRIGGER,oAd3QaqYgz,FZB,182.35 
[17952] DISPLAY_SUMMARY,oAd3QaqYgz 
[18021] DISPLAY_SUMMARY,oAd3QaqYgz 
[18152] SELL,oAd3QaqYgz,GYF,625.82 
[18234] COMMIT_SELL,oAd3QaqYgz 
[18688] CANCEL_SELL,oAd3QaqYgz 
[18690] CANCEL_BUY,oAd3QaqYgz 
[18723] SET_BUY_AMOUNT,oAd3QaqYgz,EBS,617.19 
[18957] CANCEL_SET_BUY,oAd3QaqYgz,WJS 
[18964] QUOTE,oAd3QaqYgz,DOI 
[18983] BUY,oAd3QaqYgz,XER,432.99 
[19236] CANCEL_SET_BUY,oAd3QaqYgz,TCP 
[19448] ADD,oAd3QaqYgz,69603.23 
[19526] BUY,oAd3QaqYgz,GGI,703.39 
[19729] ADD,oAd3QaqYgz,59065.40 
[19737] CANCEL_SELL,oAd3QaqYgz 
[19802] BUY,oAd3QaqYgz,OHS,2.70 
[19933] CANCEL_BUY,oAd3QaqYgz 
[20008] DISPLAY_SUMMARY,oAd3QaqYgz 
[20130] SET_BUY_AMOUNT,oAd3QaqYgz,KDA,686.38 
[20275] SET_BUY_TRIGGER,oAd3QaqYgz,XYV,557.30 
[20298] SET_SELL_TRIGGER,oAd3QaqYgz,LJM,92.83 
[20316] SELL,oAd3QaqYgz,JQO,152.96 
[20453] COMMIT_SELL,oAd3QaqYgz 
[20521] QUOTE,oAd3QaqYgz,OTI 
[20687] BUY,oAd3QaqYgz,MKE,325.16 
[20737] QUOTE,oAd3QaqYgz,PYM 
[20810] QUOTE,oAd3QaqYgz,JUN 
[20819] SET_SELL_AMOUNT,oAd3QaqYgz,OEY,80.00 
[20884] SET_SELL_TRIGGER,oAd3QaqYgz,OEY,56.55 
[20890] SET_BUY_TRIGGER,oAd3QaqYgz,JYV,114.70 
[20916] ADD,oAd3QaqYgz,87814.20 
[20950] QUOTE,oAd3QaqYgz,XXQ 
[21032] SET_BUY_AMOUNT,oAd3QaqYgz,UTV,426.93 
[21042] SET_BUY_TRIGGER,oAd3QaqYgz,NIR,244.73 
[21090] SET_BUY_AMOUNT,oAd3QaqYgz,JVT,710.16 
[21160] SET_BUY_TRIGGER,oAd3QaqYgz,CUZ,679.92 
[21181] ADD,oAd3QaqYgz,97816.42 
[21258] BUY,oAd3QaqYgz,KMZ,658.83 
[21303] COMMIT_BUY,oAd3QaqYgz 
[21339] ADD,oAd3QaqYgz,45155.69 
[21522] BUY,oAd3QaqYgz,GWF,342.26 
[21617] COMMIT_BUY,oAd3QaqYgz 
[21654] DISPLAY_SUMMARY,oAd3QaqYgz 
[21715] COMMIT_BUY,oAd3QaqYgz 
[21738] ADD,oAd3QaqYgz,66236.95 
[21740] BUY,oAd3QaqYgz,LFU,550.87 
[21801] COMMIT_BUY,oAd3QaqYgz 
[21819] SET_BUY_TRIGGER,oAd3QaqYgz,WQE,148.46 
[21837] ADD,oAd3QaqYgz,64799.59 
[22014] SET_BUY_AMOUNT,oAd3QaqYgz,CUZ,2.13 
[22172] SET_BUY_TRIGGER,oAd3QaqYgz,FMJ,0.85 
[22233] SET_SELL_AMOUNT,oAd3QaqYgz,EBS,587.02 
[22406] SET_SELL_TRIGGER,oAd3QaqYgz,EBS,148.20 
[22412] COMMIT_BUY,oAd3QaqYgz 
[22610] BUY,oAd3QaqYgz,KAF,509.76 
[22785] SET_BUY_AMOUNT,oAd3QaqYgz,UTV,296.44 
[22800] SET_BUY_TRIGGER,oAd3QaqYgz,CDF,119.13 
[22814] ADD,oAd3QaqYgz,76370.17 
[23064] BUY,oAd3QaqYgz,YGK,110.25 
[23156] COMMIT_SELL,oAd3QaqYgz 
[23258] DISPLAY_SUMMARY,oAd3QaqYgz 
[23363] QUOTE,oAd3QaqYgz,YUL 
[23449] ADD,oAd3QaqYgz,58623.49 
[23507] CANCEL_SELL,oAd3QaqYgz 
[23642] SELL,oAd3QaqYgz,CUZ,7.64 
[23659] COMMIT_SELL,oAd3QaqYgz 
[23695] BUY,oAd3QaqYgz,PWK,712.00 
[23717] CANCEL_SET_BUY,oAd3QaqYgz,XMA 
[23736] SELL,oAd3QaqYgz,LFU,714.50 
[24035] QUOTE,oAd3QaqYgz,WTL 
[24058] SET_SELL_TRIGGER,oAd3QaqYgz,CIP,103.62 
[24070] DISPLAY_SUMMARY,oAd3QaqYgz 
[24086] BUY,oAd3QaqYgz,QVA,315.65 
[24123] SET_SELL_AMOUNT,oAd3QaqYgz,UTV,497.73 
[24138] SET_SELL_TRIGGER,oAd3QaqYgz,UTV,132.84 
[24391] BUY,oAd3QaqYgz,PFK,548.83 
[24550] COMMIT_BUY,oAd3QaqYgz 
[24635] BUY,oAd3QaqYgz,SYT,393.11 
[24714] SET_SELL_AMOUNT,oAd3QaqYgz,NHG,619.94 
[24794] SET_SELL_TRIGGER,oAd3QaqYgz,NHG,92.68 
[24879] DISPLAY_SUMMARY,oAd3QaqYgz 
[25060] ADD,oAd3QaqYgz,65754.98 
[25184] BUY,oAd3QaqYgz,HIW,456.68 
[25221] CANCEL_SET_SELL,oAd3QaqYgz,ATE 
[25285] CANCEL_SET_BUY,oAd3QaqYgz,RXO 
[25290] DISPLAY_SUMMARY,oAd3QaqYgz 
[25412] ADD,oAd3QaqYgz,74275.21 
[25532] BUY,oAd3QaqYgz,XBL,348.47 
[25741] BUY,oAd3QaqYgz,ESN,35.08 
[25932] COMMIT_BUY,oAd3QaqYgz 
[26024] SELL,oAd3QaqYgz,NHG,82.54 
[26111] COMMIT_SELL,oAd3QaqYgz 
[26120] SET_SELL_TRIGGER,oAd3QaqYgz,TKV,37.93 
[26124] BUY,oAd3QaqYgz,ZER,617.19 
[26298] COMMIT_BUY,oAd3QaqYgz 
[26327] CANCEL_SET_SELL,oAd3QaqYgz,JQJ 
[26355] SET_SELL_AMOUNT,oAd3QaqYgz,UTV,5.02 
[26711] SET_SELL_TRIGGER,oAd3QaqYgz,UTV,1.00 
[26751] ADD,oAd3QaqYgz,68064.37 
[26790] SET_BUY_TRIGGER,oAd3QaqYgz,WHR,169.01 
[26801] ADD,oAd3QaqYgz,52353.14 
[26802] CANCEL_SELL,oAd3QaqYgz 
[26982] DISPLAY_SUMMARY,oAd3QaqYgz 
[27006] BUY,oAd3QaqYgz,MQF,477.52 
[27119] SET_SELL_AMOUNT,oAd3QaqYgz,QAX,268.96 
[27550] SET_SELL_TRIGGER,oAd3QaqYgz,QAX,258.28 
[27643] SELL,oAd3QaqYgz,JRJ,526.86 
[27759] COMMIT_SELL,oAd3QaqYgz 
[27773] CANCEL_SET_SELL,oAd3QaqYgz,MFY 
[27912] QUOTE,oAd3QaqYgz,VXY 
[28088] BUY,oAd3QaqYgz,FZU,339.95 
[28221] CANCEL_BUY,oAd3QaqYgz 
[28421] CANCEL_SELL,oAd3QaqYgz 
[28527] SET_BUY_TRIGGER,oAd3QaqYgz,DWX,4.85 
[28671] QUOTE,oAd3QaqYgz,XNZ 
[28768] SET_BUY_TRIGGER,oAd3QaqYgz,SYM,4.00 
[28778] ADD,oAd3QaqYgz,68459.96 
[29074] BUY,oAd3QaqYgz,BXH,559.03 
[29500] BUY,oAd3QaqYgz,MQP,251.23 
[29506] COMMIT_BUY,oAd3QaqYgz 
[29698] QUOTE,oAd3QaqYgz,JIO 
[29748] BUY,oAd3QaqYgz,HIN,119.86 
[29849] COMMIT_BUY,oAd3QaqYgz 
[29997] BUY,oAd3QaqYgz,OLH,376.85 
[30027] COMMIT_BUY,oAd3QaqYgz 
[30433] QUOTE,oAd3QaqYgz,DIX 
[30516] BUY,oAd3QaqYgz,NSN,44.54 
[30626] COMMIT_BUY,oAd3QaqYgz 
[30699] DISPLAY_SUMMARY,oAd3QaqYgz 
[30714] SET_SELL_AMOUNT,oAd3QaqYgz,JVT,21.09 
[30773] SET_SELL_TRIGGER,oAd3QaqYgz,JVT,18.44 
[31014] SET_BUY_TRIGGER,oAd3QaqYgz,WJP,16.68 
[31144] BUY,oAd3QaqYgz,NKC,564.61 
[31183] BUY,oAd3QaqYgz,ULL,113.99 
[31219] QUOTE,oAd3QaqYgz,ZNY 
[31224] QUOTE,oAd3QaqYgz,SJG 
[31465] CANCEL_BUY,oAd3QaqYgz 
[31537] SET_SELL_AMOUNT,oAd3QaqYgz,ZYR,357.98 
[31694] SET_SELL_TRIGGER,oAd3QaqYgz,ZYR,25.53 
[31752] SET_BUY_TRIGGER,oAd3QaqYgz,XBE,168.80 
[31921] QUOTE,oAd3QaqYgz,JQG 
[31965] SET_BUY_TRIGGER,oAd3QaqYgz,NAR,88.18 
[31966] SET_SELL_AMOUNT,oAd3QaqYgz,XXQ,481.90 
[31991] SET_SELL_TRIGGER,oAd3QaqYgz,XXQ,323.02 
[32009] DISPLAY_SUMMARY,oAd3QaqYgz 
[32225] DISPLAY_SUMMARY,oAd3QaqYgz 
[32304] ADD,oAd3QaqYgz,55424.80 
[32515] BUY,oAd3QaqYgz,WZM,422.26 
[32523] COMMIT_BUY,oAd3QaqYgz 
[32558] DISPLAY_SUMMARY,oAd3QaqYgz 
[32609] SET_BUY_AMOUNT,oAd3QaqYgz,CUZ,423.40 
[32676] SET_BUY_TRIGGER,oAd3QaqYgz,VEX,34.52 
[32791] SET_BUY_TRIGGER,oAd3QaqYgz,XLK,187.13 
[33110] SET_SELL_AMOUNT,oAd3QaqYgz,RUN,656.14 
[33159] SET_SELL_TRIGGER,oAd3QaqYgz,RUN,461.43 
[33306] BUY,oAd3QaqYgz,SHP,336.61 
[33359] COMMIT_BUY,oAd3QaqYgz 
[33450] DISPLAY_SUMMARY,oAd3QaqYgz 
[33475] QUOTE,oAd3QaqYgz,HHG 
[33528] BUY,oAd3QaqYgz,FOW,441.57 
[33537] COMMIT_SELL,oAd3QaqYgz 
[33559] SELL,oAd3QaqYgz,NHG,358.74 
[33630] SET_BUY_AMOUNT,oAd3QaqYgz,JQO,460.43 
[33664] SET_BUY_TRIGGER,oAd3QaqYgz,SWD,150.82 
[33842] BUY,oAd3QaqYgz,ENQ,559.91 
[34082] CANCEL_SET_SELL,oAd3QaqYgz,UUJ 
[34224] DISPLAY_SUMMARY,oAd3QaqYgz 
[34289] SET_BUY_TRIGGER,oAd3QaqYgz,DTG,84.50 
[34345] SELL,oAd3QaqYgz,XXQ,576.55 
[34484] COMMIT_SELL,oAd3QaqYgz 
[34687] SET_SELL_AMOUNT,oAd3QaqYgz,YJK,180.95 
[34844] DISPLAY_SUMMARY,oAd3QaqYgz 
[34888] ADD,oAd3QaqYgz,83260.59 
[34985] QUOTE,oAd3QaqYgz,ESN 
[35041] BUY,oAd3QaqYgz,PSJ,250.88 
[35124] SET_BUY_TRIGGER,oAd3QaqYgz,XEA,80.91 
[35135] SET_BUY_AMOUNT,oAd3QaqYgz,KES,395.01 
[35219] SET_BUY_TRIGGER,oAd3QaqYgz,OOI,359.81 
[35224] QUOTE,oAd3QaqYgz,YOG 
[35424] ADD,oAd3QaqYgz,78292.69 
[35488] QUOTE,oAd3QaqYgz,LZV 
[35591] CANCEL_SET_SELL,oAd3QaqYgz,YJK 
[35712] DISPLAY_SUMMARY,oAd3QaqYgz 
[35764] ADD,oAd3QaqYgz,89200.69 
[35823] CANCEL_SET_BUY,oAd3QaqYgz,CMA 
[35862] DISPLAY_SUMMARY,oAd3QaqYgz 
[35903] ADD,oAd3QaqYgz,83156.71 
[35915] SET_SELL_TRIGGER,oAd3QaqYgz,WYD,26.94 
[36191] QUOTE,oAd3QaqYgz,ZQW 
[36206] BUY,oAd3QaqYgz,KGV,272.23 
[36356] COMMIT_BUY,oAd3QaqYgz 
[36384] SELL,oAd3QaqYgz,ZYR,490.59 
[36588] COMMIT_SELL,oAd3QaqYgz 
[36602] QUOTE,oAd3QaqYgz,WYA 
[36626] QUOTE,oAd3QaqYgz,PIE 
[36754] ADD,oAd3QaqYgz,59553.24 
[36822] SET_BUY_AMOUNT,oAd3QaqYgz,OEY,627.32 
[36925] SET_BUY_TRIGGER,oAd3QaqYgz,EED,104.68 
[37021] SET_BUY_AMOUNT,oAd3QaqYgz,RNK,649.36 
[37029] SET_BUY_TRIGGER,oAd3QaqYgz,JGO,234.50 
[37126] DISPLAY_SUMMARY,oAd3QaqYgz 
[37145] SET_SELL_AMOUNT,oAd3QaqYgz,DFE,580.85 
[37469] DISPLAY_SUMMARY,oAd3QaqYgz 
[37831] SET_BUY_AMOUNT,oAd3QaqYgz,JRJ,432.78 
[37932] SET_BUY_TRIGGER,oAd3QaqYgz,TTV,248.03 
[37994] SET_SELL_AMOUNT,oAd3QaqYgz,BYA,349.12 
[38017] SET_SELL_TRIGGER,oAd3QaqYgz,BYA,167.53 
[38095] QUOTE,oAd3QaqYgz,UBJ 
[38101] BUY,oAd3QaqYgz,XME,615.86 
[38106] BUY,oAd3QaqYgz,VXY,387.49 
[38178] SET_SELL_TRIGGER,oAd3QaqYgz,LPW,174.18 
[38335] CANCEL_SELL,oAd3QaqYgz 
[38575] ADD,oAd3QaqYgz,44017.43 
[39269] QUOTE,oAd3QaqYgz,EED 
[39402] ADD,oAd3QaqYgz,69839.22 
[39404] SELL,oAd3QaqYgz,JCQ,615.73 
[39432] CANCEL_SELL,oAd3QaqYgz 
[39543] QUOTE,oAd3QaqYgz,YPL 
[39634] SELL,oAd3QaqYgz,DFE,574.53 
[39798] SET_SELL_TRIGGER,oAd3QaqYgz,TSF,17.27 
[39977] BUY,oAd3QaqYgz,DLQ,49.90 
[40002] COMMIT_BUY,oAd3QaqYgz 
[40219] QUOTE,oAd3QaqYgz,OYS 
[40249] BUY,oAd3QaqYgz,NNW,179.94 
[40409] COMMIT_BUY,oAd3QaqYgz 
[40471] SELL,oAd3QaqYgz,FQP,509.36 
[40499] SET_BUY_AMOUNT,oAd3QaqYgz,ZAN,637.68 
[40575] SET_BUY_TRIGGER,oAd3QaqYgz,YKB,210.30 
[40594] SET_SELL_AMOUNT,oAd3QaqYgz,CUZ,39.00 
[40653] SET_SELL_TRIGGER,oAd3QaqYgz,CUZ,15.30 
[40702] SET_BUY_TRIGGER,oAd3QaqYgz,DXL,93.04 
[40809] SET_SELL_TRIGGER,oAd3QaqYgz,WFR,47.97 
[40843] SET_SELL_TRIGGER,oAd3QaqYgz,JMG,30.13 
[40968] QUOTE,oAd3QaqYgz,GLO 
[41039] SET_BUY_AMOUNT,oAd3QaqYgz,CSZ,110.11 
[41235] BUY,oAd3QaqYgz,GZQ,701.43 
[41414] COMMIT_BUY,oAd3QaqYgz 
[41422] ADD,oAd3QaqYgz,58424.63 
