[23] ADD,UuEeoiTzyl,102090.50 
[12334] BUY,UuEeoiTzyl,ZUV,93.17 
[12360] SET_SELL_AMOUNT,UuEeoiTzyl,JVT,50.34 
[12384] SET_SELL_TRIGGER,UuEeoiTzyl,JVT,1.65 
[12439] SET_BUY_TRIGGER,UuEeoiTzyl,SEI,16.74 
[12535] SET_SELL_TRIGGER,UuEeoiTzyl,RQF,83.56 
[12616] ADD,UuEeoiTzyl,83320.12 
[12750] QUOTE,UuEeoiTzyl,OXK 
[12794] COMMIT_SELL,UuEeoiTzyl 
[13151] SET_SELL_AMOUNT,UuEeoiTzyl,FQP,722.25 
[13157] SET_SELL_TRIGGER,UuEeoiTzyl,FQP,474.86 
[13371] DISPLAY_SUMMARY,UuEeoiTzyl 
[13519] SELL,UuEeoiTzyl,KDA,700.94 
[13628] COMMIT_SELL,UuEeoiTzyl 
[13671] SELL,UuEeoiTzyl,JVT,335.39 
[13721] COMMIT_SELL,UuEeoiTzyl 
[13744] BUY,UuEeoiTzyl,DBR,35.16 
[13753] CANCEL_BUY,UuEeoiTzyl 
[13941] ADD,UuEeoiTzyl,73600.68 
[14044] QUOTE,UuEeoiTzyl,CBX 
[14058] CANCEL_SET_SELL,UuEeoiTzyl,OXV 
[14405] ADD,UuEeoiTzyl,62284.83 
[14475] QUOTE,UuEeoiTzyl,BFB 
[14491] BUY,UuEeoiTzyl,LUD,506.35 
[14520] COMMIT_BUY,UuEeoiTzyl 
[14665] BUY,UuEeoiTzyl,QXW,585.10 
[14687] COMMIT_BUY,UuEeoiTzyl 
[14713] ADD,UuEeoiTzyl,72591.81 
[14715] QUOTE,UuEeoiTzyl,ZCG 
[14924] SET_BUY_AMOUNT,UuEeoiTzyl,KES,219.90 
[15124] SET_BUY_TRIGGER,UuEeoiTzyl,RDN,16.42 
[15158] SET_BUY_TRIGGER,UuEeoiTzyl,SYT,36.97 
[15161] SELL,UuEeoiTzyl,JVT,55.38 
[15201] COMMIT_SELL,UuEeoiTzyl 
[15353] QUOTE,UuEeoiTzyl,VUS 
[15515] CANCEL_SET_BUY,UuEeoiTzyl,KZQ 
[15567] DISPLAY_SUMMARY,UuEeoiTzyl 
[15731] SET_BUY_AMOUNT,UuEeoiTzyl,QJZ,596.74 
[15799] SET_BUY_TRIGGER,UuEeoiTzyl,NGB,462.33 
[16010] DISPLAY_SUMMARY,UuEeoiTzyl 
[16043] DISPLAY_SUMMARY,UuEeoiTzyl 
[16117] QUOTE,UuEeoiTzyl,MVQ 
[16183] COMMIT_BUY,UuEeoiTzyl 
[16362] SET_SELL_AMOUNT,UuEeoiTzyl,FQP,320.64 
[16428] SET_SELL_TRIGGER,UuEeoiTzyl,FQP,89.78 
[16562] COMMIT_BUY,UuEeoiTzyl 
[16689] QUOTE,UuEeoiTzyl,MQF 
[16773] COMMIT_SELL,UuEeoiTzyl 
[16893] SELL,UuEeoiTzyl,GYF,725.64 
[17419] COMMIT_SELL,UuEeoiTzyl 
[17421] ADD,UuEeoiTzyl,81084.13 
[17584] BUY,UuEeoiTzyl,KVK,268.35 
[17620] COMMIT_BUY,UuEeoiTzyl 
[17706] DISPLAY_SUMMARY,UuEeoiTzyl 
[17947] SELL,UuEeoiTzyl,JCQ,343.92 
[17963] SET_BUY_TRIGGER,UuEeoiTzyl,VSE,42.78 
[18006] SELL,UuEeoiTzyl,QJZ,544.58 
[18087] COMMIT_SELL,UuEeoiTzyl 
[18307] SET_BUY_TRIGGER,UuEeoiTzyl,IFN,121.57 
[18359] SET_BUY_AMOUNT,UuEeoiTzyl,JVT,538.31 
[18366] SET_BUY_TRIGGER,UuEeoiTzyl,FVA,338.33 
[18367] SET_SELL_TRIGGER,UuEeoiTzyl,FLD,77.59 
[18396] ADD,UuEeoiTzyl,64374.37 
[18424] BUY,UuEeoiTzyl,HWO,708.29 
[18473] QUOTE,UuEeoiTzyl,OAS 
[18604] COMMIT_SELL,UuEeoiTzyl 
[18733] ADD,UuEeoiTzyl,72117.95 
[18748] BUY,UuEeoiTzyl,MHQ,68.12 
[18848] COMMIT_BUY,UuEeoiTzyl 
[19029] SELL,UuEeoiTzyl,JRJ,580.84 
[19169] COMMIT_SELL,UuEeoiTzyl 
[19181] SET_BUY_AMOUNT,UuEeoiTzyl,KES,281.72 
[19314] CANCEL_SET_BUY,UuEeoiTzyl,SJZ 
[19358] ADD,UuEeoiTzyl,70734.57 
[19485] BUY,UuEeoiTzyl,PUO,193.09 
[19511] SELL,UuEeoiTzyl,JCQ,454.89 
[19551] SET_BUY_TRIGGER,UuEeoiTzyl,TKV,112.27 
[19683] SET_BUY_TRIGGER,UuEeoiTzyl,SPT,153.09 
[19691] SELL,UuEeoiTzyl,KDA,532.66 
[19819] COMMIT_SELL,UuEeoiTzyl 
[19867] ADD,UuEeoiTzyl,80787.18 
[19921] QUOTE,UuEeoiTzyl,ZOZ 
[20216] ADD,UuEeoiTzyl,66990.21 
[20239] BUY,UuEeoiTzyl,NVX,450.22 
[20287] SET_BUY_AMOUNT,UuEeoiTzyl,GYF,481.86 
[20311] SET_BUY_TRIGGER,UuEeoiTzyl,JUJ,405.16 
[20374] SET_BUY_TRIGGER,UuEeoiTzyl,FOW,94.23 
[20449] SET_SELL_TRIGGER,UuEeoiTzyl,VCN,49.56 
[20471] CANCEL_BUY,UuEeoiTzyl 
[20498] DISPLAY_SUMMARY,UuEeoiTzyl 
[20616] QUOTE,UuEeoiTzyl,FXT 
[20619] SET_BUY_AMOUNT,UuEeoiTzyl,KES,140.18 
[20728] SET_BUY_TRIGGER,UuEeoiTzyl,YTY,84.34 
[20767] SET_BUY_TRIGGER,UuEeoiTzyl,PPY,154.13 
[20902] QUOTE,UuEeoiTzyl,JNO 
[21384] DISPLAY_SUMMARY,UuEeoiTzyl 
[21427] ADD,UuEeoiTzyl,65831.60 
[21462] QUOTE,UuEeoiTzyl,ZZD 
[21586] QUOTE,UuEeoiTzyl,HWO 
[21686] QUOTE,UuEeoiTzyl,NSW 
[21707] BUY,UuEeoiTzyl,QNW,649.93 
[21813] COMMIT_BUY,UuEeoiTzyl 
[22053] SET_SELL_TRIGGER,UuEeoiTzyl,JVT,6.95 
[22092] SET_SELL_AMOUNT,UuEeoiTzyl,JRJ,538.98 
[22129] CANCEL_SET_SELL,UuEeoiTzyl,JRJ 
[22219] SET_BUY_AMOUNT,UuEeoiTzyl,FQP,17.11 
[22302] CANCEL_SET_BUY,UuEeoiTzyl,KIP 
[22304] CANCEL_SELL,UuEeoiTzyl 
[22319] SELL,UuEeoiTzyl,EBS,149.25 
[22335] COMMIT_BUY,UuEeoiTzyl 
[22463] ADD,UuEeoiTzyl,30929.03 
[22608] QUOTE,UuEeoiTzyl,LNJ 
[22739] CANCEL_BUY,UuEeoiTzyl 
[22874] CANCEL_SET_SELL,UuEeoiTzyl,MXN 
[23036] DISPLAY_SUMMARY,UuEeoiTzyl 
[23209] SELL,UuEeoiTzyl,EBS,332.54 
[23253] DISPLAY_SUMMARY,UuEeoiTzyl 
[23544] BUY,UuEeoiTzyl,PNP,223.32 
[23567] CANCEL_BUY,UuEeoiTzyl 
[23649] SET_SELL_TRIGGER,UuEeoiTzyl,FQR,100.30 
[24084] BUY,UuEeoiTzyl,YOG,106.92 
[24091] DISPLAY_SUMMARY,UuEeoiTzyl 
[24113] ADD,UuEeoiTzyl,66869.92 
[24134] QUOTE,UuEeoiTzyl,DWU 
[24342] BUY,UuEeoiTzyl,SYE,446.16 
[24369] COMMIT_BUY,UuEeoiTzyl 
[24494] DISPLAY_SUMMARY,UuEeoiTzyl 
[24627] SET_SELL_TRIGGER,UuEeoiTzyl,FLD,83.78 
[24730] BUY,UuEeoiTzyl,MWJ,23.79 
[24748] COMMIT_BUY,UuEeoiTzyl 
[24752] ADD,UuEeoiTzyl,61931.98 
[24763] QUOTE,UuEeoiTzyl,SYT 
[24904] QUOTE,UuEeoiTzyl,WGV 
[24966] BUY,UuEeoiTzyl,SYM,338.52 
[25086] COMMIT_BUY,UuEeoiTzyl 
[25089] CANCEL_BUY,UuEeoiTzyl 
[25181] SET_BUY_TRIGGER,UuEeoiTzyl,OOI,50.41 
[25294] DISPLAY_SUMMARY,UuEeoiTzyl 
[25321] BUY,UuEeoiTzyl,CVK,268.96 
[25586] COMMIT_BUY,UuEeoiTzyl 
[25767] SELL,UuEeoiTzyl,KDA,218.58 
[25772] BUY,UuEeoiTzyl,HIW,395.76 
[25808] COMMIT_BUY,UuEeoiTzyl 
[25862] CANCEL_SELL,UuEeoiTzyl 
[25876] QUOTE,UuEeoiTzyl,QVK 
[25970] CANCEL_BUY,UuEeoiTzyl 
[25975] SELL,UuEeoiTzyl,ZAN,674.53 
[25981] SET_BUY_TRIGGER,UuEeoiTzyl,RRE,6.65 
[26018] SET_SELL_AMOUNT,UuEeoiTzyl,FQP,701.28 
[26207] SET_SELL_TRIGGER,UuEeoiTzyl,FQP,347.35 
[26369] QUOTE,UuEeoiTzyl,SDW 
[26434] QUOTE,UuEeoiTzyl,YEH 
[26443] QUOTE,UuEeoiTzyl,LUT 
[26474] ADD,UuEeoiTzyl,81523.62 
[26526] BUY,UuEeoiTzyl,JGY,343.17 
[26685] COMMIT_BUY,UuEeoiTzyl 
[26919] SET_BUY_TRIGGER,UuEeoiTzyl,EIH,127.94 
[26989] SELL,UuEeoiTzyl,ZAN,716.60 
[27382] SELL,UuEeoiTzyl,UTV,287.55 
[27504] SET_SELL_TRIGGER,UuEeoiTzyl,TQE,161.95 
[27532] DISPLAY_SUMMARY,UuEeoiTzyl 
[27630] CANCEL_SET_BUY,UuEeoiTzyl,OKK 
[27676] ADD,UuEeoiTzyl,62542.47 
[27748] BUY,UuEeoiTzyl,WTD,207.99 
[27766] CANCEL_BUY,UuEeoiTzyl 
[27810] DISPLAY_SUMMARY,UuEeoiTzyl 
[27886] DISPLAY_SUMMARY,UuEeoiTzyl 
[27955] SET_BUY_AMOUNT,UuEeoiTzyl,JCQ,730.60 
[28156] SET_BUY_TRIGGER,UuEeoiTzyl,HYX,76.01 
[28166] DISPLAY_SUMMARY,UuEeoiTzyl 
[28197] ADD,UuEeoiTzyl,71527.79 
[28294] CANCEL_SET_SELL,UuEeoiTzyl,FQU 
[28571] DISPLAY_SUMMARY,UuEeoiTzyl 
[28800] SET_BUY_AMOUNT,UuEeoiTzyl,EBS,735.56 
[28934] SET_BUY_TRIGGER,UuEeoiTzyl,ESN,580.50 
[28968] BUY,UuEeoiTzyl,YUL,90.20 
[29022] SELL,UuEeoiTzyl,QAX,529.17 
[29057] COMMIT_SELL,UuEeoiTzyl 
[29113] SET_SELL_AMOUNT,UuEeoiTzyl,JQO,569.94 
[29123] DISPLAY_SUMMARY,UuEeoiTzyl 
[29172] DISPLAY_SUMMARY,UuEeoiTzyl 
[29237] SELL,UuEeoiTzyl,FQP,294.49 
[29277] BUY,UuEeoiTzyl,JEA,464.93 
[29358] ADD,UuEeoiTzyl,85448.05 
[29473] QUOTE,UuEeoiTzyl,VEN 
[29544] BUY,UuEeoiTzyl,IOY,697.94 
[29618] COMMIT_BUY,UuEeoiTzyl 
[29629] ADD,UuEeoiTzyl,67900.66 
[29641] QUOTE,UuEeoiTzyl,PFN 
[29648] CANCEL_BUY,UuEeoiTzyl 
[29682] SELL,UuEeoiTzyl,QJZ,176.28 
[29817] COMMIT_SELL,UuEeoiTzyl 
[30087] SET_BUY_TRIGGER,UuEeoiTzyl,YVX,77.04 
[30102] SET_SELL_TRIGGER,UuEeoiTzyl,JQO,560.41 
[30185] SET_SELL_TRIGGER,UuEeoiTzyl,YRL,127.48 
[30394] SELL,UuEeoiTzyl,QJZ,592.83 
[30451] CANCEL_SET_SELL,UuEeoiTzyl,WQE 
[30851] QUOTE,UuEeoiTzyl,OGB 
[30867] BUY,UuEeoiTzyl,BJL,226.54 
[30925] COMMIT_BUY,UuEeoiTzyl 
[30935] ADD,UuEeoiTzyl,77059.97 
[31434] CANCEL_SELL,UuEeoiTzyl 
[31625] SET_BUY_TRIGGER,UuEeoiTzyl,ZGC,80.97 
[31653] QUOTE,UuEeoiTzyl,MIY 
[31747] CANCEL_SET_BUY,UuEeoiTzyl,FQP 
[31892] SET_SELL_TRIGGER,UuEeoiTzyl,DOI,179.90 
[32128] SET_SELL_TRIGGER,UuEeoiTzyl,OZT,7.40 
[32262] ADD,UuEeoiTzyl,88392.17 
[32664] BUY,UuEeoiTzyl,RXB,225.09 
[32726] COMMIT_BUY,UuEeoiTzyl 
[32739] SET_BUY_AMOUNT,UuEeoiTzyl,ZAN,110.78 
[33055] CANCEL_SET_BUY,UuEeoiTzyl,SPL 
[33089] QUOTE,UuEeoiTzyl,QNW 
[33130] BUY,UuEeoiTzyl,QGE,735.28 
[33175] SELL,UuEeoiTzyl,LFU,591.35 
[33188] CANCEL_SELL,UuEeoiTzyl 
[33189] SET_SELL_TRIGGER,UuEeoiTzyl,DLX,22.61 
[33202] SET_SELL_AMOUNT,UuEeoiTzyl,KES,423.74 
[33206] SET_SELL_TRIGGER,UuEeoiTzyl,KES,351.71 
[33222] SET_BUY_TRIGGER,UuEeoiTzyl,YPW,186.76 
[33255] CANCEL_SET_SELL,UuEeoiTzyl,XVK 
[33257] QUOTE,UuEeoiTzyl,PXY 
[33260] ADD,UuEeoiTzyl,56356.74 
[33434] QUOTE,UuEeoiTzyl,EUC 
[33529] ADD,UuEeoiTzyl,45363.36 
[33535] BUY,UuEeoiTzyl,LTB,545.79 
[33541] CANCEL_BUY,UuEeoiTzyl 
[33598] ADD,UuEeoiTzyl,69650.03 
[33858] QUOTE,UuEeoiTzyl,VTY 
[33870] QUOTE,UuEeoiTzyl,PIC 
[33875] SET_SELL_AMOUNT,UuEeoiTzyl,JVT,143.05 
[33889] SET_SELL_TRIGGER,UuEeoiTzyl,JVT,122.85 
[33946] QUOTE,UuEeoiTzyl,WUL 
[33984] BUY,UuEeoiTzyl,CMD,282.16 
[34051] SET_SELL_TRIGGER,UuEeoiTzyl,GWF,95.30 
[34114] CANCEL_SELL,UuEeoiTzyl 
[34211] DISPLAY_SUMMARY,UuEeoiTzyl 
[34264] ADD,UuEeoiTzyl,78750.11 
[34393] QUOTE,UuEeoiTzyl,VCN 
[34562] BUY,UuEeoiTzyl,PFK,553.01 
[34650] CANCEL_SET_SELL,UuEeoiTzyl,BFB 
[34720] SET_BUY_TRIGGER,UuEeoiTzyl,VNN,67.80 
[34863] BUY,UuEeoiTzyl,AEM,100.52 
[34959] COMMIT_BUY,UuEeoiTzyl 
[35099] DISPLAY_SUMMARY,UuEeoiTzyl 
[35113] QUOTE,UuEeoiTzyl,YNH 
[35500] COMMIT_SELL,UuEeoiTzyl 
[35688] DISPLAY_SUMMARY,UuEeoiTzyl 
[35878] SET_BUY_AMOUNT,UuEeoiTzyl,LFU,486.99 
[36088] SET_BUY_TRIGGER,UuEeoiTzyl,TQE,28.50 
[36221] SELL,UuEeoiTzyl,JRJ,244.80 
[36706] CANCEL_SET_SELL,UuEeoiTzyl,WZY 
[36749] SET_SELL_AMOUNT,UuEeoiTzyl,LFU,174.22 
[36757] SET_SELL_TRIGGER,UuEeoiTzyl,LFU,151.79 
[36954] ADD,UuEeoiTzyl,38863.88 
[37321] BUY,UuEeoiTzyl,UDQ,145.97 
[37512] QUOTE,UuEeoiTzyl,DRP 
[37636] DISPLAY_SUMMARY,UuEeoiTzyl 
[37742] DISPLAY_SUMMARY,UuEeoiTzyl 
[37920] SET_BUY_AMOUNT,UuEeoiTzyl,FQP,241.11 
[38043] CANCEL_SET_BUY,UuEeoiTzyl,JMX 
[38062] SET_BUY_TRIGGER,UuEeoiTzyl,YDS,115.32 
[38088] SET_SELL_TRIGGER,UuEeoiTzyl,PFK,29.10 
[38090] SET_BUY_TRIGGER,UuEeoiTzyl,SPT,43.26 
[38091] SET_BUY_AMOUNT,UuEeoiTzyl,JRJ,329.26 
[38118] SET_BUY_TRIGGER,UuEeoiTzyl,FVS,76.42 
[38362] ADD,UuEeoiTzyl,67833.47 
[38379] QUOTE,UuEeoiTzyl,QQI 
[38449] BUY,UuEeoiTzyl,ETJ,494.12 
[38522] COMMIT_BUY,UuEeoiTzyl 
[38682] BUY,UuEeoiTzyl,HSH,254.34 
[38804] COMMIT_SELL,UuEeoiTzyl 
[38974] BUY,UuEeoiTzyl,IKK,420.60 
[39005] COMMIT_BUY,UuEeoiTzyl 
[39041] BUY,UuEeoiTzyl,INB,334.36 
[39439] CANCEL_SELL,UuEeoiTzyl 
[39497] SET_BUY_TRIGGER,UuEeoiTzyl,BEG,196.01 
[39783] SET_SELL_TRIGGER,UuEeoiTzyl,IIX,23.25 
[39846] ADD,UuEeoiTzyl,57345.82 
[39932] BUY,UuEeoiTzyl,NAR,575.65 
[39980] COMMIT_BUY,UuEeoiTzyl 
[39991] ADD,UuEeoiTzyl,95879.40 
[40122] BUY,UuEeoiTzyl,QPZ,363.65 
[40191] SET_BUY_TRIGGER,UuEeoiTzyl,SJG,148.25 
[40503] QUOTE,UuEeoiTzyl,VQA 
[40667] QUOTE,UuEeoiTzyl,SDW 
[40672] BUY,UuEeoiTzyl,LPS,621.60 
[40674] CANCEL_SET_SELL,UuEeoiTzyl,KLE 
[40797] SET_BUY_AMOUNT,UuEeoiTzyl,EBS,739.20 
[40833] SET_BUY_TRIGGER,UuEeoiTzyl,PGV,423.69 
[40897] BUY,UuEeoiTzyl,KAH,400.74 
[41189] COMMIT_BUY,UuEeoiTzyl 
[41245] ADD,UuEeoiTzyl,62108.99 
[41262] BUY,UuEeoiTzyl,ESN,536.79 
[41366] COMMIT_BUY,UuEeoiTzyl 
[41734] SET_SELL_TRIGGER,UuEeoiTzyl,NDD,158.05 
[41792] SET_SELL_TRIGGER,UuEeoiTzyl,TFZ,74.69 
[41842] ADD,UuEeoiTzyl,52470.65 
[41846] QUOTE,UuEeoiTzyl,IGI 
[41855] CANCEL_SELL,UuEeoiTzyl 
[41986] CANCEL_SET_SELL,UuEeoiTzyl,FIC 
[42068] QUOTE,UuEeoiTzyl,EOY 
[42069] QUOTE,UuEeoiTzyl,IIX 
[42115] QUOTE,UuEeoiTzyl,YVX 
[42176] BUY,UuEeoiTzyl,DRP,60.18 
[42249] QUOTE,UuEeoiTzyl,PXS 
[42282] ADD,UuEeoiTzyl,54145.53 
[42314] CANCEL_BUY,UuEeoiTzyl 
[42415] ADD,UuEeoiTzyl,86192.30 
[42608] BUY,UuEeoiTzyl,OEM,96.35 
[42645] COMMIT_BUY,UuEeoiTzyl 
[42727] SET_SELL_TRIGGER,UuEeoiTzyl,ZEU,171.71 
[42863] ADD,UuEeoiTzyl,61233.37 
[42876] QUOTE,UuEeoiTzyl,XRK 
[42882] COMMIT_BUY,UuEeoiTzyl 
[42883] SET_SELL_TRIGGER,UuEeoiTzyl,UBJ,83.03 
[42941] CANCEL_SET_SELL,UuEeoiTzyl,DVU 
[43101] SET_BUY_AMOUNT,UuEeoiTzyl,QJZ,351.11 
[43141] SET_BUY_TRIGGER,UuEeoiTzyl,ZEU,4.03 
[43293] SET_SELL_TRIGGER,UuEeoiTzyl,XNZ,155.79 
[43369] SET_SELL_AMOUNT,UuEeoiTzyl,RNK,72.78 
[43558] SET_SELL_TRIGGER,UuEeoiTzyl,RNK,27.44 
[43593] SET_SELL_AMOUNT,UuEeoiTzyl,JCQ,435.14 
[43710] SET_SELL_TRIGGER,UuEeoiTzyl,JCQ,247.50 
[43743] SET_BUY_AMOUNT,UuEeoiTzyl,KDA,143.99 
[43796] DISPLAY_SUMMARY,UuEeoiTzyl 
[43877] ADD,UuEeoiTzyl,82604.06 
[43898] BUY,UuEeoiTzyl,EYY,606.02 
[43930] DISPLAY_SUMMARY,UuEeoiTzyl 
[44153] BUY,UuEeoiTzyl,HTN,20.09 
[44169] COMMIT_BUY,UuEeoiTzyl 
[44233] CANCEL_SET_SELL,UuEeoiTzyl,XEA 
[44376] ADD,UuEeoiTzyl,67367.27 
[44463] QUOTE,UuEeoiTzyl,CJV 
[44480] QUOTE,UuEeoiTzyl,PWK 
[44516] SET_BUY_TRIGGER,UuEeoiTzyl,AMI,58.02 
[44592] SET_BUY_TRIGGER,UuEeoiTzyl,TOZ,134.83 
[44616] DISPLAY_SUMMARY,UuEeoiTzyl 
