[116] ADD,etWfSg2zBt,64739.62 
[13420] ADD,etWfSg2zBt,82745.24 
[13447] BUY,etWfSg2zBt,NJT,701.07 
[13483] CANCEL_SET_BUY,etWfSg2zBt,TKG 
[13493] SET_BUY_AMOUNT,etWfSg2zBt,JCQ,185.61 
[13626] BUY,etWfSg2zBt,DWK,633.54 
[13764] COMMIT_BUY,etWfSg2zBt 
[13810] DISPLAY_SUMMARY,etWfSg2zBt 
[13811] SELL,etWfSg2zBt,KES,487.76 
[13881] COMMIT_SELL,etWfSg2zBt 
[13965] BUY,etWfSg2zBt,RRZ,243.41 
[13988] COMMIT_BUY,etWfSg2zBt 
[14010] BUY,etWfSg2zBt,YPL,296.70 
[14189] CANCEL_SELL,etWfSg2zBt 
[14223] ADD,etWfSg2zBt,66507.03 
[14285] QUOTE,etWfSg2zBt,EUC 
[14300] SET_BUY_AMOUNT,etWfSg2zBt,OEY,687.80 
[14332] SET_BUY_TRIGGER,etWfSg2zBt,IGT,88.94 
[14379] QUOTE,etWfSg2zBt,FPV 
[14599] CANCEL_SET_BUY,etWfSg2zBt,YTY 
[14623] ADD,etWfSg2zBt,66475.28 
[14642] QUOTE,etWfSg2zBt,JLO 
[14695] DISPLAY_SUMMARY,etWfSg2zBt 
[14789] BUY,etWfSg2zBt,JYV,685.95 
[15214] BUY,etWfSg2zBt,DWX,705.95 
[15341] CANCEL_BUY,etWfSg2zBt 
[15367] SET_SELL_AMOUNT,etWfSg2zBt,JCQ,264.14 
[15701] SET_SELL_TRIGGER,etWfSg2zBt,JCQ,18.16 
[15720] ADD,etWfSg2zBt,65335.51 
[15863] CANCEL_BUY,etWfSg2zBt 
[15866] ADD,etWfSg2zBt,81253.83 
[15921] QUOTE,etWfSg2zBt,RUN 
[15991] BUY,etWfSg2zBt,OAS,670.31 
[16022] CANCEL_SET_SELL,etWfSg2zBt,QUT 
[16135] DISPLAY_SUMMARY,etWfSg2zBt 
[16195] QUOTE,etWfSg2zBt,PGV 
[16228] SELL,etWfSg2zBt,JVT,22.09 
[16251] CANCEL_SELL,etWfSg2zBt 
[16262] BUY,etWfSg2zBt,OQW,719.88 
[16372] COMMIT_BUY,etWfSg2zBt 
[16426] SET_SELL_TRIGGER,etWfSg2zBt,MZT,184.02 
[16499] BUY,etWfSg2zBt,ATE,738.79 
[16674] COMMIT_BUY,etWfSg2zBt 
[16737] ADD,etWfSg2zBt,92233.32 
[16856] BUY,etWfSg2zBt,QID,542.07 
[16996] DISPLAY_SUMMARY,etWfSg2zBt 
[17030] BUY,etWfSg2zBt,FFN,331.20 
[17141] SELL,etWfSg2zBt,JCQ,317.12 
[17344] COMMIT_SELL,etWfSg2zBt 
[17438] BUY,etWfSg2zBt,KJH,275.87 
[17470] COMMIT_BUY,etWfSg2zBt 
[17507] DISPLAY_SUMMARY,etWfSg2zBt 
[17540] BUY,etWfSg2zBt,CBV,510.59 
[17585] COMMIT_BUY,etWfSg2zBt 
[17678] SET_SELL_AMOUNT,etWfSg2zBt,FQP,321.88 
[17732] SET_SELL_TRIGGER,etWfSg2zBt,FQP,63.39 
[17753] SELL,etWfSg2zBt,KDA,724.17 
[17795] QUOTE,etWfSg2zBt,PUC 
[17862] SET_SELL_AMOUNT,etWfSg2zBt,NHG,393.14 
[17891] CANCEL_SET_SELL,etWfSg2zBt,NHG 
[17988] CANCEL_SET_SELL,etWfSg2zBt,BPE 
[18103] SET_SELL_TRIGGER,etWfSg2zBt,IEQ,91.59 
[18354] DISPLAY_SUMMARY,etWfSg2zBt 
[18445] ADD,etWfSg2zBt,62006.00 
[18507] SET_BUY_AMOUNT,etWfSg2zBt,JRJ,666.27 
[18589] DISPLAY_SUMMARY,etWfSg2zBt 
[18813] ADD,etWfSg2zBt,46011.58 
[18830] SET_BUY_TRIGGER,etWfSg2zBt,XLK,96.87 
[18926] ADD,etWfSg2zBt,87257.51 
[18933] BUY,etWfSg2zBt,HIN,571.63 
[19199] SELL,etWfSg2zBt,EBS,18.20 
[19277] COMMIT_SELL,etWfSg2zBt 
[19604] BUY,etWfSg2zBt,BTD,82.08 
[19656] SET_BUY_AMOUNT,etWfSg2zBt,JRJ,523.60 
[19671] BUY,etWfSg2zBt,DIX,208.10 
[19874] CANCEL_SELL,etWfSg2zBt 
[19905] SET_SELL_AMOUNT,etWfSg2zBt,LFU,191.02 
[19947] SET_SELL_TRIGGER,etWfSg2zBt,LFU,170.00 
[19950] SET_BUY_TRIGGER,etWfSg2zBt,JIC,32.74 
[20041] SET_BUY_AMOUNT,etWfSg2zBt,FQP,468.09 
[20098] SET_BUY_TRIGGER,etWfSg2zBt,CLH,392.41 
[20272] ADD,etWfSg2zBt,74204.71 
[20322] QUOTE,etWfSg2zBt,AUT 
[20414] BUY,etWfSg2zBt,QBD,625.74 
[20447] COMMIT_BUY,etWfSg2zBt 
[20649] SET_BUY_TRIGGER,etWfSg2zBt,GHL,65.35 
[20705] SELL,etWfSg2zBt,JCQ,164.84 
[20928] COMMIT_SELL,etWfSg2zBt 
[21239] SELL,etWfSg2zBt,LFU,728.07 
[21375] COMMIT_SELL,etWfSg2zBt 
[21434] SELL,etWfSg2zBt,QJZ,622.27 
[21486] CANCEL_SELL,etWfSg2zBt 
[21971] QUOTE,etWfSg2zBt,WFR 
[22115] DISPLAY_SUMMARY,etWfSg2zBt 
[22184] BUY,etWfSg2zBt,LJM,555.89 
[22200] COMMIT_BUY,etWfSg2zBt 
[22354] CANCEL_SELL,etWfSg2zBt 
[22368] ADD,etWfSg2zBt,54966.67 
[22470] QUOTE,etWfSg2zBt,BVN 
[22656] SET_BUY_TRIGGER,etWfSg2zBt,XPX,190.81 
[22708] ADD,etWfSg2zBt,72506.86 
[22738] BUY,etWfSg2zBt,LZV,91.86 
[22836] SET_BUY_AMOUNT,etWfSg2zBt,EBS,22.83 
[22926] SET_BUY_TRIGGER,etWfSg2zBt,KES,4.69 
[23052] DISPLAY_SUMMARY,etWfSg2zBt 
[23177] BUY,etWfSg2zBt,BHQ,458.16 
[23312] CANCEL_SET_SELL,etWfSg2zBt,LJZ 
[23327] ADD,etWfSg2zBt,62990.03 
[23398] BUY,etWfSg2zBt,XAB,127.70 
[23465] SET_SELL_AMOUNT,etWfSg2zBt,EBS,179.92 
[23559] DISPLAY_SUMMARY,etWfSg2zBt 
[23599] QUOTE,etWfSg2zBt,SCW 
[23831] SET_BUY_TRIGGER,etWfSg2zBt,PGV,133.26 
[23973] QUOTE,etWfSg2zBt,MFY 
[23983] SET_BUY_TRIGGER,etWfSg2zBt,SYE,59.90 
[24108] SELL,etWfSg2zBt,QJZ,303.57 
[24136] COMMIT_BUY,etWfSg2zBt 
[24140] SET_BUY_AMOUNT,etWfSg2zBt,JVT,173.31 
[24215] SET_BUY_TRIGGER,etWfSg2zBt,LEA,123.27 
[24230] SET_BUY_TRIGGER,etWfSg2zBt,ZGR,13.35 
[24239] QUOTE,etWfSg2zBt,QGN 
[24607] SELL,etWfSg2zBt,JQO,377.56 
[24683] CANCEL_SELL,etWfSg2zBt 
[24729] SET_SELL_TRIGGER,etWfSg2zBt,EBS,22.90 
[24780] QUOTE,etWfSg2zBt,VZB 
[24857] QUOTE,etWfSg2zBt,OQW 
[24906] BUY,etWfSg2zBt,PXY,402.57 
[25156] COMMIT_BUY,etWfSg2zBt 
[25253] QUOTE,etWfSg2zBt,NQU 
[25287] QUOTE,etWfSg2zBt,HMR 
[25303] QUOTE,etWfSg2zBt,SPT 
[25367] QUOTE,etWfSg2zBt,FTP 
[25502] QUOTE,etWfSg2zBt,CEC 
[25539] SET_SELL_AMOUNT,etWfSg2zBt,BYA,414.27 
[25576] CANCEL_SET_SELL,etWfSg2zBt,BYA 
[25652] SET_BUY_AMOUNT,etWfSg2zBt,QAX,403.98 
[25674] SET_BUY_TRIGGER,etWfSg2zBt,YWC,55.39 
[25733] SET_BUY_TRIGGER,etWfSg2zBt,LEA,12.94 
[25886] DISPLAY_SUMMARY,etWfSg2zBt 
[25926] BUY,etWfSg2zBt,CAX,34.54 
[25941] ADD,etWfSg2zBt,63319.36 
[25945] BUY,etWfSg2zBt,YKB,394.47 
[26025] SELL,etWfSg2zBt,KDA,540.15 
[26053] COMMIT_SELL,etWfSg2zBt 
[26069] COMMIT_SELL,etWfSg2zBt 
[26080] SET_BUY_TRIGGER,etWfSg2zBt,OFP,122.37 
[26178] BUY,etWfSg2zBt,JGY,747.45 
[26405] COMMIT_BUY,etWfSg2zBt 
[26420] ADD,etWfSg2zBt,66482.96 
[26593] BUY,etWfSg2zBt,KLE,505.98 
[26708] ADD,etWfSg2zBt,67979.56 
[26995] BUY,etWfSg2zBt,ZAN,683.44 
[27159] BUY,etWfSg2zBt,GQV,310.51 
[27284] COMMIT_BUY,etWfSg2zBt 
[27303] SET_SELL_TRIGGER,etWfSg2zBt,ZAO,115.45 
[27520] SET_SELL_TRIGGER,etWfSg2zBt,INB,91.08 
[27608] SET_BUY_TRIGGER,etWfSg2zBt,CVP,65.74 
[27726] ADD,etWfSg2zBt,73491.60 
[27746] BUY,etWfSg2zBt,APU,377.30 
[27866] BUY,etWfSg2zBt,RNE,501.31 
[27942] COMMIT_BUY,etWfSg2zBt 
[28143] ADD,etWfSg2zBt,62412.80 
[28230] QUOTE,etWfSg2zBt,JJW 
[28245] SET_BUY_AMOUNT,etWfSg2zBt,FQP,311.54 
[28392] SET_BUY_TRIGGER,etWfSg2zBt,ERF,229.31 
[28460] BUY,etWfSg2zBt,DMW,235.12 
[28464] COMMIT_BUY,etWfSg2zBt 
[28468] SET_BUY_TRIGGER,etWfSg2zBt,NJF,145.63 
[28489] BUY,etWfSg2zBt,QSS,433.54 
[28583] COMMIT_BUY,etWfSg2zBt 
[28701] SET_BUY_AMOUNT,etWfSg2zBt,JQO,18.60 
[28912] SET_BUY_TRIGGER,etWfSg2zBt,PVH,7.33 
[28936] DISPLAY_SUMMARY,etWfSg2zBt 
[28984] SET_BUY_TRIGGER,etWfSg2zBt,ROW,31.92 
[29229] ADD,etWfSg2zBt,85578.95 
[29319] QUOTE,etWfSg2zBt,KAS 
[29327] BUY,etWfSg2zBt,XPX,312.25 
[29372] SELL,etWfSg2zBt,YJK,578.95 
[29458] COMMIT_SELL,etWfSg2zBt 
[29516] SELL,etWfSg2zBt,ZYR,362.87 
[29696] COMMIT_SELL,etWfSg2zBt 
[29699] DISPLAY_SUMMARY,etWfSg2zBt 
[29774] ADD,etWfSg2zBt,65239.66 
[30061] QUOTE,etWfSg2zBt,GUB 
[30210] BUY,etWfSg2zBt,OOI,567.31 
[30240] COMMIT_BUY,etWfSg2zBt 
[30278] QUOTE,etWfSg2zBt,QAX 
[30287] SET_BUY_TRIGGER,etWfSg2zBt,PVH,54.13 
[30400] SET_SELL_AMOUNT,etWfSg2zBt,ZTI,671.42 
[30604] BUY,etWfSg2zBt,EDM,178.02 
[30761] COMMIT_BUY,etWfSg2zBt 
[31169] SELL,etWfSg2zBt,OEY,396.88 
[31238] CANCEL_SELL,etWfSg2zBt 
[31316] ADD,etWfSg2zBt,76625.77 
[31324] QUOTE,etWfSg2zBt,CLP 
[31510] BUY,etWfSg2zBt,BFU,19.73 
[31693] COMMIT_BUY,etWfSg2zBt 
[31769] SET_SELL_TRIGGER,etWfSg2zBt,ZTI,283.70 
[31839] ADD,etWfSg2zBt,81121.85 
[31910] BUY,etWfSg2zBt,AQO,111.49 
[32223] COMMIT_BUY,etWfSg2zBt 
[32230] SELL,etWfSg2zBt,EBS,541.53 
[32342] SET_SELL_TRIGGER,etWfSg2zBt,PRJ,16.18 
[32450] DISPLAY_SUMMARY,etWfSg2zBt 
[32495] SET_SELL_TRIGGER,etWfSg2zBt,GHL,193.80 
[32528] SET_SELL_TRIGGER,etWfSg2zBt,KAF,122.28 
[32556] SELL,etWfSg2zBt,JRJ,376.48 
[32883] CANCEL_SELL,etWfSg2zBt 
[32932] SET_SELL_TRIGGER,etWfSg2zBt,OTI,69.47 
[33012] SET_SELL_AMOUNT,etWfSg2zBt,JQO,578.70 
[33075] SET_SELL_TRIGGER,etWfSg2zBt,JQO,470.78 
[33584] SET_SELL_AMOUNT,etWfSg2zBt,JQO,729.18 
[33643] SET_SELL_TRIGGER,etWfSg2zBt,JQO,1.61 
[33794] SELL,etWfSg2zBt,ZYR,171.50 
[33938] QUOTE,etWfSg2zBt,WAI 
[34065] ADD,etWfSg2zBt,96901.78 
[34152] QUOTE,etWfSg2zBt,FQU 
[34288] BUY,etWfSg2zBt,SQO,150.82 
[34410] COMMIT_BUY,etWfSg2zBt 
[34479] SET_BUY_TRIGGER,etWfSg2zBt,JSM,82.11 
[34529] SET_SELL_AMOUNT,etWfSg2zBt,BYA,140.34 
[34592] QUOTE,etWfSg2zBt,ETJ 
[34749] CANCEL_SET_SELL,etWfSg2zBt,BYA 
[34835] DISPLAY_SUMMARY,etWfSg2zBt 
[34841] BUY,etWfSg2zBt,WUF,594.53 
[34858] CANCEL_SET_SELL,etWfSg2zBt,PIC 
[34874] DISPLAY_SUMMARY,etWfSg2zBt 
[34911] CANCEL_SET_BUY,etWfSg2zBt,OZO 
[35217] SET_BUY_TRIGGER,etWfSg2zBt,EMN,30.10 
[35254] SET_BUY_TRIGGER,etWfSg2zBt,XXT,62.31 
[35324] SET_SELL_TRIGGER,etWfSg2zBt,ERF,170.17 
[35449] ADD,etWfSg2zBt,84875.96 
[35530] QUOTE,etWfSg2zBt,ZOW 
[35694] BUY,etWfSg2zBt,KJH,485.31 
[35732] CANCEL_SET_SELL,etWfSg2zBt,TTY 
[35800] SET_BUY_TRIGGER,etWfSg2zBt,KVK,44.41 
[35805] DISPLAY_SUMMARY,etWfSg2zBt 
[35809] QUOTE,etWfSg2zBt,KLY 
[35875] CANCEL_BUY,etWfSg2zBt 
[35895] SELL,etWfSg2zBt,RGH,309.28 
[35938] DISPLAY_SUMMARY,etWfSg2zBt 
[35982] SELL,etWfSg2zBt,RUN,516.59 
[36017] SET_BUY_TRIGGER,etWfSg2zBt,YTO,105.89 
[36021] SET_BUY_AMOUNT,etWfSg2zBt,OEY,157.19 
[36212] CANCEL_SET_BUY,etWfSg2zBt,RQL 
[36446] SET_BUY_AMOUNT,etWfSg2zBt,EBS,246.30 
[36788] SET_BUY_TRIGGER,etWfSg2zBt,XXT,24.31 
[36806] SET_BUY_AMOUNT,etWfSg2zBt,RUN,421.79 
[36904] SET_BUY_TRIGGER,etWfSg2zBt,PCR,338.14 
[36923] ADD,etWfSg2zBt,65923.02 
[37125] BUY,etWfSg2zBt,EMN,516.99 
[37177] COMMIT_BUY,etWfSg2zBt 
[37379] SET_BUY_TRIGGER,etWfSg2zBt,SPP,168.70 
[37459] CANCEL_SET_SELL,etWfSg2zBt,GAV 
[37479] DISPLAY_SUMMARY,etWfSg2zBt 
[37546] SET_BUY_TRIGGER,etWfSg2zBt,FGF,180.77 
[37559] DISPLAY_SUMMARY,etWfSg2zBt 
[37644] CANCEL_SET_BUY,etWfSg2zBt,XSS 
[37724] DISPLAY_SUMMARY,etWfSg2zBt 
[37779] ADD,etWfSg2zBt,83431.74 
[37993] QUOTE,etWfSg2zBt,PDB 
[38032] DISPLAY_SUMMARY,etWfSg2zBt 
[38065] SET_SELL_AMOUNT,etWfSg2zBt,YJK,486.07 
[38248] SET_SELL_TRIGGER,etWfSg2zBt,YJK,233.35 
[38458] BUY,etWfSg2zBt,XLV,227.76 
[38570] SELL,etWfSg2zBt,DFE,379.66 
[38618] SET_BUY_TRIGGER,etWfSg2zBt,GPC,88.66 
[38624] SELL,etWfSg2zBt,RNK,631.52 
[38757] CANCEL_SET_SELL,etWfSg2zBt,BUL 
[38881] SET_SELL_AMOUNT,etWfSg2zBt,JVT,599.08 
[38897] SET_SELL_TRIGGER,etWfSg2zBt,JVT,170.86 
[39321] SET_BUY_TRIGGER,etWfSg2zBt,WKG,117.59 
[39474] SET_BUY_AMOUNT,etWfSg2zBt,CSZ,343.56 
[39662] CANCEL_SET_BUY,etWfSg2zBt,YDD 
[39909] SET_BUY_TRIGGER,etWfSg2zBt,EIK,10.67 
[39971] BUY,etWfSg2zBt,WXV,176.47 
[40001] COMMIT_BUY,etWfSg2zBt 
[40014] BUY,etWfSg2zBt,JNO,371.36 
[40022] SET_BUY_AMOUNT,etWfSg2zBt,NHG,259.80 
[40062] SET_BUY_TRIGGER,etWfSg2zBt,ECL,85.26 
[40358] QUOTE,etWfSg2zBt,ARP 
[40627] QUOTE,etWfSg2zBt,STO 
[40630] BUY,etWfSg2zBt,DQW,546.49 
[40948] CANCEL_BUY,etWfSg2zBt 
[40967] SELL,etWfSg2zBt,JCQ,726.58 
[40997] BUY,etWfSg2zBt,GPC,712.42 
[41057] COMMIT_BUY,etWfSg2zBt 
[41187] SELL,etWfSg2zBt,CSZ,487.12 
[41456] COMMIT_SELL,etWfSg2zBt 
[41553] DISPLAY_SUMMARY,etWfSg2zBt 
[41740] QUOTE,etWfSg2zBt,SIK 
[41954] QUOTE,etWfSg2zBt,DMS 
[42030] QUOTE,etWfSg2zBt,XFW 
[42066] ADD,etWfSg2zBt,80655.80 
[42165] BUY,etWfSg2zBt,FQP,340.93 
[42352] CANCEL_BUY,etWfSg2zBt 
[42396] CANCEL_SET_SELL,etWfSg2zBt,PNP 
[42750] BUY,etWfSg2zBt,WUL,108.31 
[43070] COMMIT_BUY,etWfSg2zBt 
[43102] ADD,etWfSg2zBt,54013.71 
[43222] QUOTE,etWfSg2zBt,AIN 
[43306] SET_BUY_AMOUNT,etWfSg2zBt,RUN,527.45 
[43329] BUY,etWfSg2zBt,YRL,513.67 
[43384] COMMIT_BUY,etWfSg2zBt 
[43391] SET_SELL_TRIGGER,etWfSg2zBt,ZSV,30.42 
[43449] SELL,etWfSg2zBt,JZJ,290.68 
[43487] COMMIT_SELL,etWfSg2zBt 
[43618] SET_SELL_AMOUNT,etWfSg2zBt,UTV,534.93 
[43643] SET_SELL_TRIGGER,etWfSg2zBt,UTV,112.59 
[43731] SELL,etWfSg2zBt,EBS,357.17 
[43864] COMMIT_SELL,etWfSg2zBt 
[43882] SET_BUY_TRIGGER,etWfSg2zBt,POI,0.80 
[43909] ADD,etWfSg2zBt,93290.35 
[43964] QUOTE,etWfSg2zBt,PUU 
[44078] CANCEL_BUY,etWfSg2zBt 
[44186] QUOTE,etWfSg2zBt,XME 
[44188] BUY,etWfSg2zBt,RFC,706.97 
[44265] COMMIT_BUY,etWfSg2zBt 
[44303] QUOTE,etWfSg2zBt,YBP 
[44309] SET_BUY_TRIGGER,etWfSg2zBt,AOC,73.92 
[44537] DISPLAY_SUMMARY,etWfSg2zBt 
[44558] DISPLAY_SUMMARY,etWfSg2zBt 
[44702] SELL,etWfSg2zBt,NHG,608.90 
[44721] COMMIT_SELL,etWfSg2zBt 
[44803] CANCEL_SELL,etWfSg2zBt 
[44816] SELL,etWfSg2zBt,RNK,463.06 
[44849] CANCEL_SELL,etWfSg2zBt 
[44910] QUOTE,etWfSg2zBt,XUY 
[44952] SET_BUY_TRIGGER,etWfSg2zBt,GGI,130.43 
[45015] QUOTE,etWfSg2zBt,YPW 
[45076] QUOTE,etWfSg2zBt,WGV 
[45142] CANCEL_SET_BUY,etWfSg2zBt,TGY 
[45181] ADD,etWfSg2zBt,54989.77 
[45247] BUY,etWfSg2zBt,YOQ,404.65 
[45270] COMMIT_BUY,etWfSg2zBt 
[45383] QUOTE,etWfSg2zBt,FPI 
[45433] QUOTE,etWfSg2zBt,FVZ 
[45444] SET_SELL_AMOUNT,etWfSg2zBt,RUN,591.68 
[45497] SET_SELL_TRIGGER,etWfSg2zBt,RUN,107.12 
[45553] SET_BUY_TRIGGER,etWfSg2zBt,HHG,54.62 
[45688] ADD,etWfSg2zBt,73045.07 
[45691] COMMIT_BUY,etWfSg2zBt 
[45796] CANCEL_SET_SELL,etWfSg2zBt,OYW 
[45947] ADD,etWfSg2zBt,65756.00 
[45997] QUOTE,etWfSg2zBt,JGF 
[46075] SET_SELL_TRIGGER,etWfSg2zBt,FQR,83.37 
[46176] ADD,etWfSg2zBt,81306.30 
[46197] BUY,etWfSg2zBt,NJB,85.76 
[46314] COMMIT_SELL,etWfSg2zBt 
[46356] ADD,etWfSg2zBt,98816.11 
[46514] QUOTE,etWfSg2zBt,JHY 
[46554] BUY,etWfSg2zBt,AOH,329.57 
[46628] CANCEL_SET_SELL,etWfSg2zBt,FCM 
[46988] QUOTE,etWfSg2zBt,GRD 
[47075] CANCEL_SET_BUY,etWfSg2zBt,CUQ 
[47122] ADD,etWfSg2zBt,64606.60 
[47499] BUY,etWfSg2zBt,TKG,306.01 
[47535] BUY,etWfSg2zBt,CLP,253.36 
[47629] QUOTE,etWfSg2zBt,VBO 
[47671] CANCEL_SET_BUY,etWfSg2zBt,JHY 
[47697] BUY,etWfSg2zBt,VCN,256.02 
[47721] COMMIT_BUY,etWfSg2zBt 
[47727] SET_BUY_AMOUNT,etWfSg2zBt,XLK,611.79 
[47731] SET_BUY_TRIGGER,etWfSg2zBt,ZTI,553.87 
[48079] SET_BUY_TRIGGER,etWfSg2zBt,VOU,102.72 
[48087] QUOTE,etWfSg2zBt,SYT 
[48261] ADD,etWfSg2zBt,86487.13 
