[21] ADD,2GizxWZj6J,70238.42 
[6198] SET_SELL_TRIGGER,2GizxWZj6J,RKQ,199.63 
[6222] ADD,2GizxWZj6J,67228.98 
[6410] DISPLAY_SUMMARY,2GizxWZj6J 
[6428] SELL,2GizxWZj6J,QJZ,414.11 
[6441] COMMIT_SELL,2GizxWZj6J 
[6553] QUOTE,2GizxWZj6J,XQG 
[6557] ADD,2GizxWZj6J,80488.00 
[6563] QUOTE,2GizxWZj6J,QSS 
[6576] BUY,2GizxWZj6J,KYT,360.49 
[6591] COMMIT_BUY,2GizxWZj6J 
[6597] SET_BUY_TRIGGER,2GizxWZj6J,FPI,329.98 
[6598] SET_SELL_TRIGGER,2GizxWZj6J,MKE,7.92 
[6638] BUY,2GizxWZj6J,BFL,69.98 
[6680] CANCEL_BUY,2GizxWZj6J 
[6757] ADD,2GizxWZj6J,67737.88 
[6778] QUOTE,2GizxWZj6J,LJZ 
[6790] CANCEL_SELL,2GizxWZj6J 
[6844] BUY,2GizxWZj6J,RKQ,195.40 
[6902] COMMIT_BUY,2GizxWZj6J 
[6953] SET_BUY_TRIGGER,2GizxWZj6J,ZNW,177.09 
[6982] COMMIT_SELL,2GizxWZj6J 
[7186] ADD,2GizxWZj6J,41543.11 
[7218] QUOTE,2GizxWZj6J,XOL 
[7253] SET_BUY_AMOUNT,2GizxWZj6J,JVT,458.17 
[7465] SET_BUY_TRIGGER,2GizxWZj6J,SAJ,418.31 
[7468] DISPLAY_SUMMARY,2GizxWZj6J 
[7651] SELL,2GizxWZj6J,JVT,95.04 
[7889] QUOTE,2GizxWZj6J,SJZ 
[8336] BUY,2GizxWZj6J,MIQ,437.04 
[8387] SET_BUY_AMOUNT,2GizxWZj6J,GYF,3.15 
[8408] QUOTE,2GizxWZj6J,PVZ 
[8434] SET_BUY_AMOUNT,2GizxWZj6J,QJZ,239.98 
[8452] CANCEL_SET_BUY,2GizxWZj6J,MMF 
[8641] SELL,2GizxWZj6J,QJZ,267.97 
[9006] DISPLAY_SUMMARY,2GizxWZj6J 
[9062] SELL,2GizxWZj6J,OEY,530.98 
[9293] COMMIT_SELL,2GizxWZj6J 
[9373] DISPLAY_SUMMARY,2GizxWZj6J 
[9382] QUOTE,2GizxWZj6J,KDA 
[9416] CANCEL_SET_SELL,2GizxWZj6J,OGR 
[9645] SELL,2GizxWZj6J,FQP,734.89 
[9738] CANCEL_SELL,2GizxWZj6J 
[9775] SET_BUY_AMOUNT,2GizxWZj6J,GYF,76.38 
[9833] SET_BUY_TRIGGER,2GizxWZj6J,RDK,73.89 
[9953] ADD,2GizxWZj6J,119472.27 
[10143] BUY,2GizxWZj6J,ZER,59.45 
[10224] SET_SELL_AMOUNT,2GizxWZj6J,QJZ,362.13 
[10297] SET_SELL_TRIGGER,2GizxWZj6J,QJZ,133.47 
[10336] CANCEL_BUY,2GizxWZj6J 
[10508] BUY,2GizxWZj6J,DPG,497.76 
[10516] CANCEL_SELL,2GizxWZj6J 
[10528] BUY,2GizxWZj6J,ETJ,331.10 
[10553] CANCEL_SELL,2GizxWZj6J 
[10591] QUOTE,2GizxWZj6J,SXB 
[10598] QUOTE,2GizxWZj6J,CUZ 
[10642] ADD,2GizxWZj6J,78387.82 
[10863] QUOTE,2GizxWZj6J,TUO 
[11089] BUY,2GizxWZj6J,DWC,135.50 
[11181] COMMIT_BUY,2GizxWZj6J 
[11188] SELL,2GizxWZj6J,OEY,149.95 
[11397] CANCEL_SET_BUY,2GizxWZj6J,FVS 
[11571] QUOTE,2GizxWZj6J,ZUV 
[11603] CANCEL_SELL,2GizxWZj6J 
[11780] ADD,2GizxWZj6J,55126.88 
[11876] QUOTE,2GizxWZj6J,WYD 
[11877] BUY,2GizxWZj6J,JMX,583.29 
[11953] COMMIT_BUY,2GizxWZj6J 
[12001] ADD,2GizxWZj6J,60960.20 
[12012] BUY,2GizxWZj6J,HQU,241.94 
[12108] COMMIT_BUY,2GizxWZj6J 
[12173] DISPLAY_SUMMARY,2GizxWZj6J 
[12213] SELL,2GizxWZj6J,FQP,579.04 
[12302] SET_BUY_TRIGGER,2GizxWZj6J,QXW,54.69 
[12338] SELL,2GizxWZj6J,QJZ,563.21 
[12348] SELL,2GizxWZj6J,JCQ,402.64 
[12370] CANCEL_SELL,2GizxWZj6J 
[12487] CANCEL_SET_SELL,2GizxWZj6J,QGL 
[12540] SET_SELL_AMOUNT,2GizxWZj6J,OEY,170.10 
[12668] SET_SELL_TRIGGER,2GizxWZj6J,OEY,137.63 
[12692] QUOTE,2GizxWZj6J,LZB 
[12714] SET_BUY_TRIGGER,2GizxWZj6J,IDN,151.01 
[12811] ADD,2GizxWZj6J,115712.56 
[12927] BUY,2GizxWZj6J,OXV,165.99 
[13075] CANCEL_BUY,2GizxWZj6J 
[13126] QUOTE,2GizxWZj6J,YBB 
[13203] SET_BUY_AMOUNT,2GizxWZj6J,GYF,221.46 
[13552] SET_BUY_TRIGGER,2GizxWZj6J,FPP,155.43 
[13613] ADD,2GizxWZj6J,87873.14 
[13685] QUOTE,2GizxWZj6J,SNU 
[13983] BUY,2GizxWZj6J,XXP,245.93 
[14038] COMMIT_BUY,2GizxWZj6J 
[14120] SET_BUY_TRIGGER,2GizxWZj6J,MSV,119.46 
[14220] QUOTE,2GizxWZj6J,NXF 
[14260] BUY,2GizxWZj6J,KPE,474.11 
[14532] COMMIT_BUY,2GizxWZj6J 
[14547] SET_SELL_AMOUNT,2GizxWZj6J,GYF,695.07 
[14585] CANCEL_SET_SELL,2GizxWZj6J,GYF 
[14696] BUY,2GizxWZj6J,KBP,660.33 
[14697] COMMIT_BUY,2GizxWZj6J 
[14770] SET_BUY_TRIGGER,2GizxWZj6J,HBF,167.82 
[14870] DISPLAY_SUMMARY,2GizxWZj6J 
[15099] SET_BUY_AMOUNT,2GizxWZj6J,UTV,93.01 
[15743] SET_BUY_TRIGGER,2GizxWZj6J,TCP,81.30 
[15903] ADD,2GizxWZj6J,48215.14 
[15979] BUY,2GizxWZj6J,PMG,406.53 
[16072] COMMIT_BUY,2GizxWZj6J 
[16092] DISPLAY_SUMMARY,2GizxWZj6J 
[16454] ADD,2GizxWZj6J,51758.37 
[16505] BUY,2GizxWZj6J,GRM,9.60 
[16739] CANCEL_SET_SELL,2GizxWZj6J,EUM 
[16863] QUOTE,2GizxWZj6J,PUC 
[16972] BUY,2GizxWZj6J,GTN,390.62 
[17130] DISPLAY_SUMMARY,2GizxWZj6J 
[17172] SELL,2GizxWZj6J,JVT,368.23 
[17416] SET_BUY_TRIGGER,2GizxWZj6J,PXY,2.19 
[17488] SET_SELL_TRIGGER,2GizxWZj6J,DKV,176.42 
[17529] SELL,2GizxWZj6J,OEY,66.92 
[17530] COMMIT_SELL,2GizxWZj6J 
[17596] QUOTE,2GizxWZj6J,KHD 
[17611] BUY,2GizxWZj6J,RQF,524.05 
[17691] SET_BUY_AMOUNT,2GizxWZj6J,JVT,476.37 
[17738] SET_BUY_TRIGGER,2GizxWZj6J,NJB,73.29 
[17760] ADD,2GizxWZj6J,85618.01 
[18229] BUY,2GizxWZj6J,KJM,61.88 
[18269] COMMIT_BUY,2GizxWZj6J 
[18398] SET_SELL_AMOUNT,2GizxWZj6J,LFU,531.48 
[18476] SET_SELL_TRIGGER,2GizxWZj6J,LFU,498.00 
[18481] SET_BUY_AMOUNT,2GizxWZj6J,EBS,586.54 
[18535] SELL,2GizxWZj6J,KDA,503.95 
[18539] COMMIT_SELL,2GizxWZj6J 
[18857] SELL,2GizxWZj6J,GYF,677.53 
[18864] BUY,2GizxWZj6J,MWM,581.66 
[19036] COMMIT_BUY,2GizxWZj6J 
[19054] SELL,2GizxWZj6J,JQO,618.99 
[19298] COMMIT_SELL,2GizxWZj6J 
[19493] DISPLAY_SUMMARY,2GizxWZj6J 
[19519] SELL,2GizxWZj6J,JVT,569.37 
[19535] CANCEL_SELL,2GizxWZj6J 
[19661] ADD,2GizxWZj6J,59381.46 
[19665] SET_SELL_AMOUNT,2GizxWZj6J,KDA,425.58 
[19720] CANCEL_SET_SELL,2GizxWZj6J,KDA 
[19801] SET_BUY_AMOUNT,2GizxWZj6J,JCQ,99.00 
[19868] SET_BUY_TRIGGER,2GizxWZj6J,PMX,64.96 
[19983] DISPLAY_SUMMARY,2GizxWZj6J 
[20351] SET_BUY_AMOUNT,2GizxWZj6J,LFU,537.07 
[20533] SET_BUY_TRIGGER,2GizxWZj6J,KTU,372.50 
[20592] SET_SELL_AMOUNT,2GizxWZj6J,JVT,113.53 
[20632] SET_SELL_TRIGGER,2GizxWZj6J,JVT,59.12 
[20672] ADD,2GizxWZj6J,87105.87 
[20757] QUOTE,2GizxWZj6J,ROW 
[20924] COMMIT_BUY,2GizxWZj6J 
[20993] ADD,2GizxWZj6J,68704.55 
[21091] QUOTE,2GizxWZj6J,BWL 
[21135] BUY,2GizxWZj6J,ZAO,220.30 
[21194] SET_BUY_TRIGGER,2GizxWZj6J,GAV,77.76 
[21200] SET_BUY_TRIGGER,2GizxWZj6J,NVX,6.04 
[21226] QUOTE,2GizxWZj6J,ETB 
[21557] DISPLAY_SUMMARY,2GizxWZj6J 
[21888] QUOTE,2GizxWZj6J,DXQ 
[21893] BUY,2GizxWZj6J,DRP,217.78 
[21956] COMMIT_BUY,2GizxWZj6J 
[22295] BUY,2GizxWZj6J,KDG,553.11 
[22317] SET_BUY_AMOUNT,2GizxWZj6J,LFU,248.28 
[22367] SET_BUY_TRIGGER,2GizxWZj6J,LVT,245.93 
[22630] DISPLAY_SUMMARY,2GizxWZj6J 
[23073] ADD,2GizxWZj6J,91389.73 
[23087] SET_BUY_AMOUNT,2GizxWZj6J,QAX,435.57 
[23094] SELL,2GizxWZj6J,EBS,376.96 
[23142] COMMIT_SELL,2GizxWZj6J 
[23361] ADD,2GizxWZj6J,69664.60 
[23481] BUY,2GizxWZj6J,CBX,477.91 
[23552] COMMIT_BUY,2GizxWZj6J 
[23722] DISPLAY_SUMMARY,2GizxWZj6J 
[23839] BUY,2GizxWZj6J,NHG,587.27 
[23931] COMMIT_BUY,2GizxWZj6J 
[24224] ADD,2GizxWZj6J,56802.17 
[24333] QUOTE,2GizxWZj6J,BTD 
[24351] BUY,2GizxWZj6J,IIX,603.42 
[24418] COMMIT_BUY,2GizxWZj6J 
[24531] COMMIT_BUY,2GizxWZj6J 
[24551] DISPLAY_SUMMARY,2GizxWZj6J 
[24703] BUY,2GizxWZj6J,TVI,472.35 
[24807] CANCEL_BUY,2GizxWZj6J 
[24951] DISPLAY_SUMMARY,2GizxWZj6J 
[25010] ADD,2GizxWZj6J,85786.60 
[25112] BUY,2GizxWZj6J,YRL,542.98 
[25150] COMMIT_BUY,2GizxWZj6J 
[25264] SET_BUY_TRIGGER,2GizxWZj6J,BUL,255.44 
[25275] QUOTE,2GizxWZj6J,XEA 
[25362] ADD,2GizxWZj6J,72370.09 
[25644] QUOTE,2GizxWZj6J,OYS 
[25730] CANCEL_SELL,2GizxWZj6J 
[25770] ADD,2GizxWZj6J,57899.37 
[25939] CANCEL_SELL,2GizxWZj6J 
[25954] SELL,2GizxWZj6J,CUZ,315.21 
[26046] COMMIT_SELL,2GizxWZj6J 
[26139] SET_BUY_AMOUNT,2GizxWZj6J,BYA,440.56 
[26161] CANCEL_SET_BUY,2GizxWZj6J,TJL 
[26521] DISPLAY_SUMMARY,2GizxWZj6J 
[26624] ADD,2GizxWZj6J,88157.14 
[26694] BUY,2GizxWZj6J,GUW,708.27 
[26831] COMMIT_BUY,2GizxWZj6J 
[26875] QUOTE,2GizxWZj6J,DNJ 
[26883] COMMIT_BUY,2GizxWZj6J 
[27124] COMMIT_BUY,2GizxWZj6J 
[27241] SELL,2GizxWZj6J,BYA,390.16 
[27247] SELL,2GizxWZj6J,JCQ,625.72 
[27302] CANCEL_SELL,2GizxWZj6J 
[27468] BUY,2GizxWZj6J,EOS,580.79 
[27511] COMMIT_BUY,2GizxWZj6J 
[27669] ADD,2GizxWZj6J,57067.56 
[27696] COMMIT_SELL,2GizxWZj6J 
[27796] QUOTE,2GizxWZj6J,ZGR 
[27889] SET_BUY_AMOUNT,2GizxWZj6J,JQO,650.09 
[28132] SET_BUY_TRIGGER,2GizxWZj6J,PZE,643.44 
[28137] ADD,2GizxWZj6J,68667.76 
[28436] BUY,2GizxWZj6J,DTG,220.68 
[28888] COMMIT_BUY,2GizxWZj6J 
[29071] ADD,2GizxWZj6J,72122.81 
[29163] QUOTE,2GizxWZj6J,CEC 
[29196] CANCEL_SET_SELL,2GizxWZj6J,FGF 
[29320] SET_SELL_TRIGGER,2GizxWZj6J,PRJ,67.56 
[29325] ADD,2GizxWZj6J,71966.60 
[29529] CANCEL_SET_SELL,2GizxWZj6J,QPX 
[29596] CANCEL_BUY,2GizxWZj6J 
[29869] SET_BUY_TRIGGER,2GizxWZj6J,IQJ,169.84 
[29900] ADD,2GizxWZj6J,75675.42 
[29999] BUY,2GizxWZj6J,ZJB,703.26 
[30011] ADD,2GizxWZj6J,98273.44 
[30106] SET_BUY_AMOUNT,2GizxWZj6J,JQO,39.53 
[30168] SET_BUY_TRIGGER,2GizxWZj6J,BJL,18.95 
[30317] ADD,2GizxWZj6J,84631.66 
[30429] BUY,2GizxWZj6J,MGK,29.38 
[30652] SET_BUY_AMOUNT,2GizxWZj6J,KES,85.76 
[30785] SELL,2GizxWZj6J,JVT,296.28 
[31032] CANCEL_SELL,2GizxWZj6J 
[31043] CANCEL_SET_SELL,2GizxWZj6J,FQP 
[31339] ADD,2GizxWZj6J,40401.68 
[31688] SET_SELL_AMOUNT,2GizxWZj6J,JQO,434.15 
[31725] SET_SELL_TRIGGER,2GizxWZj6J,JQO,57.13 
[31827] ADD,2GizxWZj6J,67601.74 
[31845] QUOTE,2GizxWZj6J,NSW 
[31869] BUY,2GizxWZj6J,PTC,171.31 
[32013] COMMIT_BUY,2GizxWZj6J 
[32037] SELL,2GizxWZj6J,EBS,477.65 
[32155] QUOTE,2GizxWZj6J,KHY 
[32320] BUY,2GizxWZj6J,ZNW,104.48 
[32435] COMMIT_BUY,2GizxWZj6J 
[32506] ADD,2GizxWZj6J,59308.77 
[32884] BUY,2GizxWZj6J,JII,256.61 
[32895] COMMIT_BUY,2GizxWZj6J 
[32951] ADD,2GizxWZj6J,94390.23 
[33031] BUY,2GizxWZj6J,CUZ,289.08 
[33048] SET_BUY_AMOUNT,2GizxWZj6J,YJK,483.60 
[33052] QUOTE,2GizxWZj6J,YUR 
[33207] SET_BUY_TRIGGER,2GizxWZj6J,BFB,244.25 
[33240] ADD,2GizxWZj6J,99472.22 
[33313] CANCEL_SELL,2GizxWZj6J 
[33404] BUY,2GizxWZj6J,LHC,246.92 
[33421] COMMIT_BUY,2GizxWZj6J 
[33600] SET_SELL_TRIGGER,2GizxWZj6J,AJR,21.84 
[33606] DISPLAY_SUMMARY,2GizxWZj6J 
[33633] SET_SELL_AMOUNT,2GizxWZj6J,RGH,106.00 
[33667] CANCEL_SET_SELL,2GizxWZj6J,RGH 
[33688] BUY,2GizxWZj6J,FKI,385.25 
[33696] COMMIT_BUY,2GizxWZj6J 
[33865] SET_BUY_TRIGGER,2GizxWZj6J,KJD,25.77 
[34089] ADD,2GizxWZj6J,54876.57 
[34219] COMMIT_BUY,2GizxWZj6J 
[34474] SET_SELL_TRIGGER,2GizxWZj6J,POE,113.21 
[34546] BUY,2GizxWZj6J,PBX,549.26 
[34558] COMMIT_BUY,2GizxWZj6J 
[34572] SET_BUY_AMOUNT,2GizxWZj6J,GYF,22.51 
[34582] SET_BUY_TRIGGER,2GizxWZj6J,ZCQ,4.06 
[34890] SELL,2GizxWZj6J,ZTI,404.23 
[34995] COMMIT_SELL,2GizxWZj6J 
[35156] SET_SELL_TRIGGER,2GizxWZj6J,KJM,143.62 
[35182] SET_SELL_TRIGGER,2GizxWZj6J,STT,109.04 
[35233] SELL,2GizxWZj6J,QAX,699.71 
[35267] COMMIT_SELL,2GizxWZj6J 
[35473] CANCEL_SET_SELL,2GizxWZj6J,DWK 
[35507] ADD,2GizxWZj6J,82665.62 
[35515] BUY,2GizxWZj6J,WYD,286.49 
[35592] DISPLAY_SUMMARY,2GizxWZj6J 
[35703] QUOTE,2GizxWZj6J,LKK 
[35714] ADD,2GizxWZj6J,75187.85 
[35932] DISPLAY_SUMMARY,2GizxWZj6J 
[35943] QUOTE,2GizxWZj6J,BHQ 
[35960] SET_BUY_TRIGGER,2GizxWZj6J,LPB,48.73 
[36025] CANCEL_SELL,2GizxWZj6J 
[36045] SET_SELL_TRIGGER,2GizxWZj6J,GXT,56.46 
[36120] COMMIT_SELL,2GizxWZj6J 
[36262] DISPLAY_SUMMARY,2GizxWZj6J 
[36292] SET_BUY_AMOUNT,2GizxWZj6J,QAX,47.07 
[36365] SET_BUY_TRIGGER,2GizxWZj6J,GYF,32.58 
[36992] ADD,2GizxWZj6J,63257.80 
[37121] BUY,2GizxWZj6J,OQW,742.97 
[37219] ADD,2GizxWZj6J,105391.52 
[37285] BUY,2GizxWZj6J,QAX,211.38 
[37308] COMMIT_BUY,2GizxWZj6J 
[37340] ADD,2GizxWZj6J,69032.34 
[37795] QUOTE,2GizxWZj6J,MLI 
[37803] ADD,2GizxWZj6J,54955.30 
[38136] BUY,2GizxWZj6J,PDB,637.02 
[38284] CANCEL_BUY,2GizxWZj6J 
[38324] SELL,2GizxWZj6J,JVT,597.65 
[38927] COMMIT_SELL,2GizxWZj6J 
[39218] SELL,2GizxWZj6J,OEY,291.89 
[39259] COMMIT_SELL,2GizxWZj6J 
[39614] SET_BUY_AMOUNT,2GizxWZj6J,CUZ,669.58 
[39649] SET_BUY_TRIGGER,2GizxWZj6J,BRT,567.66 
[39668] ADD,2GizxWZj6J,55632.13 
[39821] BUY,2GizxWZj6J,HHG,487.07 
[39823] DISPLAY_SUMMARY,2GizxWZj6J 
[39897] SET_SELL_AMOUNT,2GizxWZj6J,NHG,506.35 
[40025] SET_SELL_TRIGGER,2GizxWZj6J,NHG,446.19 
[40248] QUOTE,2GizxWZj6J,PLA 
[40355] SELL,2GizxWZj6J,CSZ,199.67 
[40460] COMMIT_SELL,2GizxWZj6J 
[40589] SELL,2GizxWZj6J,OPN,119.15 
[40604] SELL,2GizxWZj6J,RUN,629.50 
[40640] COMMIT_SELL,2GizxWZj6J 
[41190] SELL,2GizxWZj6J,JVT,373.15 
[41250] SET_BUY_TRIGGER,2GizxWZj6J,QGL,130.24 
[41299] SET_SELL_AMOUNT,2GizxWZj6J,JQO,510.88 
[41343] SET_SELL_TRIGGER,2GizxWZj6J,JQO,118.08 
[41643] QUOTE,2GizxWZj6J,PTP 
[41680] ADD,2GizxWZj6J,102941.67 
[41758] QUOTE,2GizxWZj6J,NJF 
[41903] BUY,2GizxWZj6J,YQC,423.15 
[41971] COMMIT_BUY,2GizxWZj6J 
[42044] ADD,2GizxWZj6J,48529.57 
[42382] BUY,2GizxWZj6J,OEM,370.17 
[42579] COMMIT_BUY,2GizxWZj6J 
[42586] QUOTE,2GizxWZj6J,NGG 
[42659] SET_SELL_AMOUNT,2GizxWZj6J,QJZ,235.25 
[42704] SELL,2GizxWZj6J,RGH,456.11 
[42796] COMMIT_BUY,2GizxWZj6J 
[42798] SELL,2GizxWZj6J,YJK,653.77 
[42845] ADD,2GizxWZj6J,66861.42 
[43556] QUOTE,2GizxWZj6J,ZNY 
[43599] CANCEL_SET_SELL,2GizxWZj6J,QJZ 
[43661] CANCEL_SET_SELL,2GizxWZj6J,DED 
[43693] SELL,2GizxWZj6J,RUN,255.87 
[43715] COMMIT_SELL,2GizxWZj6J 
[43737] QUOTE,2GizxWZj6J,IFN 
[43813] CANCEL_SELL,2GizxWZj6J 
[43874] SELL,2GizxWZj6J,KDA,421.80 
[44084] COMMIT_SELL,2GizxWZj6J 
[44312] BUY,2GizxWZj6J,AHE,739.18 
[44389] COMMIT_BUY,2GizxWZj6J 
[44639] SET_SELL_AMOUNT,2GizxWZj6J,ZYR,71.95 
[44687] CANCEL_SET_SELL,2GizxWZj6J,ZYR 
[44732] SET_BUY_AMOUNT,2GizxWZj6J,PTP,146.15 
[44808] SET_BUY_TRIGGER,2GizxWZj6J,XOP,35.82 
[44834] BUY,2GizxWZj6J,TUO,207.60 
[44869] COMMIT_BUY,2GizxWZj6J 
[44999] QUOTE,2GizxWZj6J,HNW 
[45183] DISPLAY_SUMMARY,2GizxWZj6J 
[45216] ADD,2GizxWZj6J,80297.16 
[45276] QUOTE,2GizxWZj6J,RWM 
[45311] CANCEL_SELL,2GizxWZj6J 
[45328] BUY,2GizxWZj6J,VWU,239.81 
[45513] DISPLAY_SUMMARY,2GizxWZj6J 
[45708] SET_SELL_AMOUNT,2GizxWZj6J,SUS,678.83 
[45848] SET_SELL_TRIGGER,2GizxWZj6J,SUS,618.60 
[45916] CANCEL_SET_BUY,2GizxWZj6J,LLF 
[45987] SELL,2GizxWZj6J,KES,675.52 
[46032] ADD,2GizxWZj6J,79809.16 
[46195] BUY,2GizxWZj6J,NUV,333.05 
[46217] COMMIT_BUY,2GizxWZj6J 
[46337] SET_BUY_TRIGGER,2GizxWZj6J,CVV,193.90 
[46427] SELL,2GizxWZj6J,QAX,60.88 
[46589] COMMIT_SELL,2GizxWZj6J 
[46661] DISPLAY_SUMMARY,2GizxWZj6J 
[46691] SELL,2GizxWZj6J,ZTI,607.94 
[46783] COMMIT_SELL,2GizxWZj6J 
[46883] QUOTE,2GizxWZj6J,ULL 
[47098] SET_BUY_TRIGGER,2GizxWZj6J,DNJ,68.89 
[47249] SELL,2GizxWZj6J,FQP,621.30 
[47298] COMMIT_SELL,2GizxWZj6J 
[47380] SELL,2GizxWZj6J,RGH,75.98 
[47434] SET_SELL_AMOUNT,2GizxWZj6J,XXQ,317.57 
[47696] SET_SELL_TRIGGER,2GizxWZj6J,XXQ,113.53 
[48007] ADD,2GizxWZj6J,86456.54 
[48094] CANCEL_SET_SELL,2GizxWZj6J,GRM 
[48129] SET_SELL_AMOUNT,2GizxWZj6J,JCQ,425.46 
[48153] SET_SELL_TRIGGER,2GizxWZj6J,JCQ,315.92 
[48274] SET_BUY_AMOUNT,2GizxWZj6J,JRJ,658.52 
[48369] SET_BUY_TRIGGER,2GizxWZj6J,QZN,107.74 
[48470] BUY,2GizxWZj6J,BHJ,11.18 
[48535] COMMIT_BUY,2GizxWZj6J 
[48711] SELL,2GizxWZj6J,CSZ,504.08 
[48804] COMMIT_BUY,2GizxWZj6J 
[48945] SET_BUY_AMOUNT,2GizxWZj6J,AVX,41.81 
[49053] SET_BUY_TRIGGER,2GizxWZj6J,BDX,17.51 
[49077] QUOTE,2GizxWZj6J,FZU 
[49309] DISPLAY_SUMMARY,2GizxWZj6J 
[49571] QUOTE,2GizxWZj6J,PXY 
[49616] BUY,2GizxWZj6J,ZAV,575.92 
[49684] CANCEL_SELL,2GizxWZj6J 
[49716] ADD,2GizxWZj6J,72830.40 
[49717] BUY,2GizxWZj6J,GPC,7.42 
[49853] CANCEL_BUY,2GizxWZj6J 
[49991] ADD,2GizxWZj6J,76240.95 
[50164] CANCEL_SET_SELL,2GizxWZj6J,EUC 
[50192] ADD,2GizxWZj6J,75940.80 
[50220] QUOTE,2GizxWZj6J,OYX 
[50222] SET_BUY_AMOUNT,2GizxWZj6J,ZYR,324.86 
[50322] SET_BUY_TRIGGER,2GizxWZj6J,VEE,260.10 
[50418] ADD,2GizxWZj6J,77501.84 
[50435] BUY,2GizxWZj6J,HEJ,51.98 
[50572] QUOTE,2GizxWZj6J,JNO 
[50747] QUOTE,2GizxWZj6J,SPT 
[51230] SET_BUY_TRIGGER,2GizxWZj6J,PRJ,127.36 
[51346] SET_BUY_TRIGGER,2GizxWZj6J,DTG,118.50 
[51466] SET_SELL_AMOUNT,2GizxWZj6J,BCQ,18.80 
[51561] SET_SELL_TRIGGER,2GizxWZj6J,BCQ,7.43 
[51795] ADD,2GizxWZj6J,78246.73 
[51821] SELL,2GizxWZj6J,RNK,493.59 
[51942] CANCEL_SELL,2GizxWZj6J 
[52049] BUY,2GizxWZj6J,ZZN,510.96 
[52435] COMMIT_BUY,2GizxWZj6J 
[52544] ADD,2GizxWZj6J,82731.26 
[52629] BUY,2GizxWZj6J,WJP,496.25 
[52656] QUOTE,2GizxWZj6J,OYS 
[52661] CANCEL_SELL,2GizxWZj6J 
[52757] ADD,2GizxWZj6J,59512.68 
[52770] BUY,2GizxWZj6J,VAT,589.24 
[52788] COMMIT_BUY,2GizxWZj6J 
[52798] SELL,2GizxWZj6J,JRJ,350.98 
