[27] ADD,xETyPXWhj9,56850.01 
[18780] ADD,xETyPXWhj9,69315.73 
[18803] QUOTE,xETyPXWhj9,KBI 
[18841] SET_SELL_TRIGGER,xETyPXWhj9,ULL,35.16 
[18913] BUY,xETyPXWhj9,TTV,248.41 
[18977] COMMIT_BUY,xETyPXWhj9 
[19043] DISPLAY_SUMMARY,xETyPXWhj9 
[19094] CANCEL_SELL,xETyPXWhj9 
[19369] SET_BUY_AMOUNT,xETyPXWhj9,NHG,722.33 
[19546] CANCEL_SET_BUY,xETyPXWhj9,ZQC 
[19621] SELL,xETyPXWhj9,JQO,371.03 
[19631] CANCEL_SET_SELL,xETyPXWhj9,BPK 
[19804] BUY,xETyPXWhj9,XZO,163.73 
[20089] SET_SELL_AMOUNT,xETyPXWhj9,KDA,289.99 
[20136] SET_SELL_TRIGGER,xETyPXWhj9,KDA,51.41 
[20187] DISPLAY_SUMMARY,xETyPXWhj9 
[20189] DISPLAY_SUMMARY,xETyPXWhj9 
[20220] DISPLAY_SUMMARY,xETyPXWhj9 
[20236] ADD,xETyPXWhj9,61503.06 
[20313] BUY,xETyPXWhj9,RWM,130.63 
[20412] SET_BUY_AMOUNT,xETyPXWhj9,QJZ,262.42 
[20418] SET_BUY_TRIGGER,xETyPXWhj9,EGB,178.47 
[20961] DISPLAY_SUMMARY,xETyPXWhj9 
[20988] CANCEL_SET_BUY,xETyPXWhj9,QWC 
[21030] DISPLAY_SUMMARY,xETyPXWhj9 
[21136] BUY,xETyPXWhj9,ZQW,9.29 
[21447] CANCEL_SET_SELL,xETyPXWhj9,ZQC 
[21481] SELL,xETyPXWhj9,QAX,637.81 
[21485] SET_SELL_AMOUNT,xETyPXWhj9,JQO,324.46 
[21678] SET_SELL_TRIGGER,xETyPXWhj9,JQO,22.27 
[21711] SELL,xETyPXWhj9,GYF,622.88 
[21905] COMMIT_SELL,xETyPXWhj9 
[21941] SELL,xETyPXWhj9,FQP,683.64 
[22025] CANCEL_SET_BUY,xETyPXWhj9,FOW 
[22088] SET_SELL_AMOUNT,xETyPXWhj9,KDA,525.86 
[22116] SET_SELL_TRIGGER,xETyPXWhj9,KDA,33.68 
[22361] SET_SELL_TRIGGER,xETyPXWhj9,BMW,179.55 
[22390] CANCEL_SET_SELL,xETyPXWhj9,NNW 
[22424] SET_SELL_AMOUNT,xETyPXWhj9,JCQ,53.99 
[22492] SET_SELL_TRIGGER,xETyPXWhj9,JCQ,45.02 
[22640] DISPLAY_SUMMARY,xETyPXWhj9 
[22679] DISPLAY_SUMMARY,xETyPXWhj9 
[22775] DISPLAY_SUMMARY,xETyPXWhj9 
[22820] SELL,xETyPXWhj9,JVT,113.26 
[22898] COMMIT_SELL,xETyPXWhj9 
[22936] BUY,xETyPXWhj9,NVN,586.51 
[23006] DISPLAY_SUMMARY,xETyPXWhj9 
[23010] SET_SELL_AMOUNT,xETyPXWhj9,KDA,421.58 
[23013] SET_SELL_TRIGGER,xETyPXWhj9,KDA,85.29 
[23065] CANCEL_SET_BUY,xETyPXWhj9,XOA 
[23120] QUOTE,xETyPXWhj9,HWO 
[23283] DISPLAY_SUMMARY,xETyPXWhj9 
[23352] SET_SELL_AMOUNT,xETyPXWhj9,KES,166.93 
[23356] SET_SELL_TRIGGER,xETyPXWhj9,KES,68.26 
[23379] SET_BUY_TRIGGER,xETyPXWhj9,JEO,107.39 
[23958] BUY,xETyPXWhj9,WCY,707.14 
[24324] COMMIT_BUY,xETyPXWhj9 
[24477] DISPLAY_SUMMARY,xETyPXWhj9 
[24530] SELL,xETyPXWhj9,UTV,536.57 
[24700] COMMIT_SELL,xETyPXWhj9 
[24708] DISPLAY_SUMMARY,xETyPXWhj9 
[24755] DISPLAY_SUMMARY,xETyPXWhj9 
[24756] DISPLAY_SUMMARY,xETyPXWhj9 
[24849] QUOTE,xETyPXWhj9,CUQ 
[24850] BUY,xETyPXWhj9,LVT,60.17 
[25027] SET_BUY_AMOUNT,xETyPXWhj9,NHG,79.91 
[25029] SET_BUY_TRIGGER,xETyPXWhj9,PJJ,71.60 
[25075] COMMIT_SELL,xETyPXWhj9 
[25090] SET_BUY_AMOUNT,xETyPXWhj9,EBS,18.43 
[25254] SELL,xETyPXWhj9,KES,328.38 
[25436] DISPLAY_SUMMARY,xETyPXWhj9 
[25551] ADD,xETyPXWhj9,58243.71 
[25603] QUOTE,xETyPXWhj9,QPE 
[25820] BUY,xETyPXWhj9,IQZ,443.22 
[25930] QUOTE,xETyPXWhj9,AVX 
[26007] ADD,xETyPXWhj9,95381.34 
[26068] BUY,xETyPXWhj9,OHG,682.33 
[26138] COMMIT_BUY,xETyPXWhj9 
[26277] DISPLAY_SUMMARY,xETyPXWhj9 
[26304] BUY,xETyPXWhj9,LPB,291.81 
[26382] COMMIT_BUY,xETyPXWhj9 
[26514] SET_BUY_AMOUNT,xETyPXWhj9,RUN,50.58 
[26630] SET_BUY_TRIGGER,xETyPXWhj9,UGG,8.55 
[26677] SET_BUY_AMOUNT,xETyPXWhj9,LFU,4.63 
[26735] SET_BUY_TRIGGER,xETyPXWhj9,XZN,1.45 
[26914] DISPLAY_SUMMARY,xETyPXWhj9 
[26935] SET_BUY_AMOUNT,xETyPXWhj9,JCQ,89.25 
[26957] SET_BUY_TRIGGER,xETyPXWhj9,KKI,21.19 
[27123] QUOTE,xETyPXWhj9,JYV 
[27185] BUY,xETyPXWhj9,WFR,326.14 
[27233] CANCEL_SET_SELL,xETyPXWhj9,JSM 
[27488] CANCEL_BUY,xETyPXWhj9 
[27549] ADD,xETyPXWhj9,92249.88 
[27680] SET_SELL_AMOUNT,xETyPXWhj9,OEY,210.95 
[28005] SET_SELL_TRIGGER,xETyPXWhj9,OEY,203.89 
[28012] COMMIT_SELL,xETyPXWhj9 
[28098] ADD,xETyPXWhj9,114545.08 
[28240] CANCEL_SET_BUY,xETyPXWhj9,JXW 
[28288] BUY,xETyPXWhj9,KPE,514.91 
[28337] COMMIT_BUY,xETyPXWhj9 
[28344] ADD,xETyPXWhj9,73904.05 
[28466] CANCEL_SELL,xETyPXWhj9 
[28516] QUOTE,xETyPXWhj9,DBR 
[28520] QUOTE,xETyPXWhj9,KGV 
[28557] DISPLAY_SUMMARY,xETyPXWhj9 
[28606] SET_BUY_AMOUNT,xETyPXWhj9,KES,280.41 
[28649] QUOTE,xETyPXWhj9,KVJ 
[28742] BUY,xETyPXWhj9,PNP,390.06 
[28744] CANCEL_SET_SELL,xETyPXWhj9,TVX 
[28894] ADD,xETyPXWhj9,61006.28 
[28951] DISPLAY_SUMMARY,xETyPXWhj9 
[28958] DISPLAY_SUMMARY,xETyPXWhj9 
[28987] QUOTE,xETyPXWhj9,FKI 
[29003] BUY,xETyPXWhj9,YCH,434.67 
[29060] COMMIT_BUY,xETyPXWhj9 
[29087] QUOTE,xETyPXWhj9,LVV 
[29102] SET_BUY_AMOUNT,xETyPXWhj9,OEY,567.51 
[29212] SET_BUY_TRIGGER,xETyPXWhj9,TYV,210.36 
[29269] SET_SELL_AMOUNT,xETyPXWhj9,JQO,130.27 
[29489] SET_SELL_TRIGGER,xETyPXWhj9,JQO,38.18 
[29557] DISPLAY_SUMMARY,xETyPXWhj9 
[29692] ADD,xETyPXWhj9,64425.19 
[29709] BUY,xETyPXWhj9,AIN,365.60 
[30107] COMMIT_BUY,xETyPXWhj9 
[30233] SELL,xETyPXWhj9,QJZ,362.11 
[30299] CANCEL_SET_SELL,xETyPXWhj9,FSD 
[30370] CANCEL_SET_BUY,xETyPXWhj9,OTD 
[30469] ADD,xETyPXWhj9,71529.86 
[30567] SET_BUY_TRIGGER,xETyPXWhj9,NGH,186.53 
[30583] ADD,xETyPXWhj9,85398.71 
[30862] BUY,xETyPXWhj9,YBB,585.17 
[30901] CANCEL_SELL,xETyPXWhj9 
[30918] SET_SELL_AMOUNT,xETyPXWhj9,QAX,258.49 
[30950] SET_SELL_TRIGGER,xETyPXWhj9,QAX,14.28 
[30962] SET_BUY_AMOUNT,xETyPXWhj9,GYF,330.72 
[30992] SET_BUY_TRIGGER,xETyPXWhj9,YPW,251.19 
[31076] DISPLAY_SUMMARY,xETyPXWhj9 
[31097] ADD,xETyPXWhj9,87330.70 
[31125] BUY,xETyPXWhj9,XER,48.21 
[31156] CANCEL_SET_BUY,xETyPXWhj9,VJB 
[31247] ADD,xETyPXWhj9,70986.88 
[31592] QUOTE,xETyPXWhj9,LMO 
[31701] CANCEL_SET_SELL,xETyPXWhj9,CWA 
[31714] ADD,xETyPXWhj9,60610.28 
[31745] SET_BUY_AMOUNT,xETyPXWhj9,GYF,57.24 
[31843] SET_BUY_TRIGGER,xETyPXWhj9,JJW,16.11 
[32055] QUOTE,xETyPXWhj9,SAN 
[32082] QUOTE,xETyPXWhj9,SXB 
[32086] QUOTE,xETyPXWhj9,RGM 
[32268] QUOTE,xETyPXWhj9,ZEU 
[32319] SET_SELL_AMOUNT,xETyPXWhj9,RUN,557.06 
[32420] CANCEL_SET_SELL,xETyPXWhj9,RUN 
[32776] SET_BUY_TRIGGER,xETyPXWhj9,SCW,171.75 
[32843] DISPLAY_SUMMARY,xETyPXWhj9 
[32862] SET_BUY_AMOUNT,xETyPXWhj9,QJZ,286.50 
[32868] SET_BUY_TRIGGER,xETyPXWhj9,KES,62.97 
[32891] ADD,xETyPXWhj9,79852.55 
[33051] BUY,xETyPXWhj9,JNO,42.16 
[33173] CANCEL_BUY,xETyPXWhj9 
[33237] BUY,xETyPXWhj9,CXN,213.39 
[33409] SET_SELL_AMOUNT,xETyPXWhj9,KES,124.40 
[33476] SET_SELL_TRIGGER,xETyPXWhj9,KES,52.76 
[33488] SET_SELL_AMOUNT,xETyPXWhj9,BCQ,163.13 
[33635] SET_SELL_TRIGGER,xETyPXWhj9,BCQ,142.82 
[33662] ADD,xETyPXWhj9,70193.23 
[33817] QUOTE,xETyPXWhj9,KNM 
[33825] QUOTE,xETyPXWhj9,VYQ 
[33893] COMMIT_SELL,xETyPXWhj9 
[33976] CANCEL_SET_SELL,xETyPXWhj9,LVT 
[34037] ADD,xETyPXWhj9,62695.94 
[34244] QUOTE,xETyPXWhj9,FXT 
[34525] COMMIT_SELL,xETyPXWhj9 
[34615] SET_SELL_TRIGGER,xETyPXWhj9,MOM,70.13 
[34627] SET_BUY_TRIGGER,xETyPXWhj9,JHY,59.61 
[34768] QUOTE,xETyPXWhj9,TFZ 
[34823] DISPLAY_SUMMARY,xETyPXWhj9 
[34909] CANCEL_SET_BUY,xETyPXWhj9,ZPD 
[34919] BUY,xETyPXWhj9,ZOW,731.43 
[35068] COMMIT_BUY,xETyPXWhj9 
[35108] ADD,xETyPXWhj9,73371.66 
[35200] SELL,xETyPXWhj9,BCQ,476.29 
[35210] CANCEL_SELL,xETyPXWhj9 
[35239] DISPLAY_SUMMARY,xETyPXWhj9 
[35298] QUOTE,xETyPXWhj9,ZMA 
[35401] BUY,xETyPXWhj9,QJC,139.13 
[35484] COMMIT_BUY,xETyPXWhj9 
[35486] DISPLAY_SUMMARY,xETyPXWhj9 
[35534] ADD,xETyPXWhj9,47556.10 
[35632] COMMIT_BUY,xETyPXWhj9 
[35719] ADD,xETyPXWhj9,72955.50 
[35812] BUY,xETyPXWhj9,HSJ,226.65 
[35973] CANCEL_SELL,xETyPXWhj9 
[36091] ADD,xETyPXWhj9,50769.08 
[36208] QUOTE,xETyPXWhj9,VFH 
[36375] SET_BUY_TRIGGER,xETyPXWhj9,PWK,126.58 
[36419] SELL,xETyPXWhj9,JCQ,86.78 
[36504] COMMIT_SELL,xETyPXWhj9 
[36506] QUOTE,xETyPXWhj9,UEC 
[36540] BUY,xETyPXWhj9,ZAM,214.93 
[36562] COMMIT_BUY,xETyPXWhj9 
[36637] SET_SELL_TRIGGER,xETyPXWhj9,IBT,40.07 
[36876] BUY,xETyPXWhj9,PUO,417.94 
[36983] DISPLAY_SUMMARY,xETyPXWhj9 
[37088] BUY,xETyPXWhj9,BWL,258.88 
[37140] COMMIT_BUY,xETyPXWhj9 
[37157] ADD,xETyPXWhj9,70661.45 
[37299] BUY,xETyPXWhj9,BFB,511.02 
[37507] SET_SELL_AMOUNT,xETyPXWhj9,ZYR,738.46 
[37537] SET_SELL_TRIGGER,xETyPXWhj9,ZYR,388.83 
[37538] ADD,xETyPXWhj9,52890.67 
[37592] BUY,xETyPXWhj9,CBX,57.31 
[37739] COMMIT_BUY,xETyPXWhj9 
[37770] CANCEL_SET_BUY,xETyPXWhj9,IZU 
[37944] BUY,xETyPXWhj9,MMY,387.18 
[38259] COMMIT_BUY,xETyPXWhj9 
[38261] DISPLAY_SUMMARY,xETyPXWhj9 
[38315] DISPLAY_SUMMARY,xETyPXWhj9 
[38374] SET_SELL_AMOUNT,xETyPXWhj9,QAX,317.12 
[38464] SET_SELL_TRIGGER,xETyPXWhj9,QAX,59.46 
[38509] BUY,xETyPXWhj9,SQI,369.39 
[38637] COMMIT_BUY,xETyPXWhj9 
[38818] QUOTE,xETyPXWhj9,QEO 
[38848] QUOTE,xETyPXWhj9,JHY 
[38861] COMMIT_BUY,xETyPXWhj9 
[39297] QUOTE,xETyPXWhj9,LLE 
[39309] BUY,xETyPXWhj9,NBX,164.63 
[39689] COMMIT_BUY,xETyPXWhj9 
[39724] DISPLAY_SUMMARY,xETyPXWhj9 
[39745] BUY,xETyPXWhj9,DBC,472.73 
[39945] CANCEL_BUY,xETyPXWhj9 
[40044] SET_BUY_TRIGGER,xETyPXWhj9,TUO,165.89 
[40196] SET_BUY_TRIGGER,xETyPXWhj9,MRK,11.37 
[40280] SET_BUY_AMOUNT,xETyPXWhj9,OPN,587.23 
[40439] CANCEL_SET_BUY,xETyPXWhj9,DED 
[40680] CANCEL_SET_BUY,xETyPXWhj9,ZWB 
[41026] ADD,xETyPXWhj9,79152.78 
[41452] QUOTE,xETyPXWhj9,WXV 
[41458] ADD,xETyPXWhj9,49205.29 
[41840] QUOTE,xETyPXWhj9,WGP 
[41865] BUY,xETyPXWhj9,UTV,452.68 
[41990] BUY,xETyPXWhj9,MVI,312.91 
[42085] DISPLAY_SUMMARY,xETyPXWhj9 
[42175] BUY,xETyPXWhj9,KDA,526.81 
[42423] COMMIT_BUY,xETyPXWhj9 
[42672] ADD,xETyPXWhj9,54774.81 
[42776] SET_SELL_TRIGGER,xETyPXWhj9,VEX,15.67 
[42815] SET_SELL_AMOUNT,xETyPXWhj9,ZTI,41.10 
[42928] SET_SELL_TRIGGER,xETyPXWhj9,ZTI,8.79 
[43084] ADD,xETyPXWhj9,65491.17 
[43112] CANCEL_SET_BUY,xETyPXWhj9,AMI 
[43246] SELL,xETyPXWhj9,FQP,633.41 
[43411] COMMIT_SELL,xETyPXWhj9 
[43474] BUY,xETyPXWhj9,VOY,208.20 
[43546] QUOTE,xETyPXWhj9,SNU 
[43612] BUY,xETyPXWhj9,ZNL,417.76 
[43698] COMMIT_BUY,xETyPXWhj9 
[43759] SET_BUY_AMOUNT,xETyPXWhj9,QJZ,416.85 
[43793] BUY,xETyPXWhj9,FFI,510.41 
[43927] COMMIT_BUY,xETyPXWhj9 
[44046] SET_SELL_TRIGGER,xETyPXWhj9,HSH,138.01 
[44170] SELL,xETyPXWhj9,XLK,8.75 
[44200] COMMIT_SELL,xETyPXWhj9 
[44203] ADD,xETyPXWhj9,40739.77 
[44348] SET_BUY_AMOUNT,xETyPXWhj9,JCQ,243.38 
[44353] SET_BUY_TRIGGER,xETyPXWhj9,SYL,84.74 
[44510] BUY,xETyPXWhj9,KYX,457.26 
[44552] COMMIT_BUY,xETyPXWhj9 
[44563] SELL,xETyPXWhj9,QJZ,241.14 
[44598] CANCEL_BUY,xETyPXWhj9 
[44653] SET_SELL_TRIGGER,xETyPXWhj9,PBX,21.39 
[44731] ADD,xETyPXWhj9,84070.39 
[44760] BUY,xETyPXWhj9,OZW,366.37 
[44790] COMMIT_BUY,xETyPXWhj9 
[44798] ADD,xETyPXWhj9,88056.39 
[44812] BUY,xETyPXWhj9,JFJ,333.04 
[44904] COMMIT_BUY,xETyPXWhj9 
[44917] SET_SELL_TRIGGER,xETyPXWhj9,FFZ,7.79 
[45020] ADD,xETyPXWhj9,61311.35 
[45099] QUOTE,xETyPXWhj9,XXP 
[45271] QUOTE,xETyPXWhj9,MER 
[45325] DISPLAY_SUMMARY,xETyPXWhj9 
[45329] DISPLAY_SUMMARY,xETyPXWhj9 
[45489] ADD,xETyPXWhj9,66199.13 
[45549] QUOTE,xETyPXWhj9,IZU 
[45577] BUY,xETyPXWhj9,PST,555.56 
[45767] COMMIT_BUY,xETyPXWhj9 
[45771] ADD,xETyPXWhj9,93511.15 
[45907] BUY,xETyPXWhj9,CCH,227.35 
[46035] COMMIT_BUY,xETyPXWhj9 
[46038] SET_SELL_AMOUNT,xETyPXWhj9,UBJ,401.93 
[46153] SET_SELL_TRIGGER,xETyPXWhj9,UBJ,267.78 
[46188] DISPLAY_SUMMARY,xETyPXWhj9 
[46336] QUOTE,xETyPXWhj9,NVN 
