[18] ADD,8IA1PUK3hd,73742.71 
[9510] ADD,8IA1PUK3hd,56500.45 
[9635] BUY,8IA1PUK3hd,FZU,160.76 
[9640] COMMIT_BUY,8IA1PUK3hd 
[9747] DISPLAY_SUMMARY,8IA1PUK3hd 
[9755] SET_SELL_TRIGGER,8IA1PUK3hd,GLJ,155.44 
[9778] DISPLAY_SUMMARY,8IA1PUK3hd 
[9794] ADD,8IA1PUK3hd,85415.43 
[9809] SET_BUY_TRIGGER,8IA1PUK3hd,HTN,40.32 
[9878] SELL,8IA1PUK3hd,GYF,747.25 
[9967] CANCEL_SELL,8IA1PUK3hd 
[10063] SET_SELL_AMOUNT,8IA1PUK3hd,QJZ,396.36 
[10166] CANCEL_SET_SELL,8IA1PUK3hd,QJZ 
[10180] QUOTE,8IA1PUK3hd,DLQ 
[10610] COMMIT_BUY,8IA1PUK3hd 
[10715] SET_SELL_TRIGGER,8IA1PUK3hd,NGH,181.08 
[10774] QUOTE,8IA1PUK3hd,JIC 
[10905] DISPLAY_SUMMARY,8IA1PUK3hd 
[10981] SET_BUY_AMOUNT,8IA1PUK3hd,QJZ,60.55 
[11034] SET_BUY_TRIGGER,8IA1PUK3hd,HPN,13.62 
[11054] ADD,8IA1PUK3hd,55715.42 
[11119] QUOTE,8IA1PUK3hd,GXT 
[11350] SET_BUY_AMOUNT,8IA1PUK3hd,JCQ,427.01 
[11413] CANCEL_SET_BUY,8IA1PUK3hd,CLP 
[11485] CANCEL_SET_SELL,8IA1PUK3hd,QVA 
[11497] DISPLAY_SUMMARY,8IA1PUK3hd 
[11529] SET_BUY_AMOUNT,8IA1PUK3hd,JVT,252.69 
[11556] SET_BUY_TRIGGER,8IA1PUK3hd,DNJ,231.46 
[11604] SELL,8IA1PUK3hd,KES,622.64 
[11617] COMMIT_SELL,8IA1PUK3hd 
[11623] ADD,8IA1PUK3hd,48393.35 
[11892] BUY,8IA1PUK3hd,EGX,262.06 
[12068] COMMIT_BUY,8IA1PUK3hd 
[12127] CANCEL_SELL,8IA1PUK3hd 
[12140] ADD,8IA1PUK3hd,76071.65 
[12379] QUOTE,8IA1PUK3hd,UTD 
[12411] SET_BUY_TRIGGER,8IA1PUK3hd,QAX,86.57 
[12532] SET_SELL_AMOUNT,8IA1PUK3hd,KDA,391.41 
[12609] SET_SELL_TRIGGER,8IA1PUK3hd,KDA,325.61 
[12857] SET_BUY_TRIGGER,8IA1PUK3hd,MQP,174.99 
[12868] ADD,8IA1PUK3hd,92212.78 
[12885] BUY,8IA1PUK3hd,WQE,505.44 
[12926] QUOTE,8IA1PUK3hd,QPR 
[12955] BUY,8IA1PUK3hd,QZN,226.04 
[12988] COMMIT_SELL,8IA1PUK3hd 
[13000] QUOTE,8IA1PUK3hd,YEW 
[13095] BUY,8IA1PUK3hd,WRN,53.86 
[13189] COMMIT_BUY,8IA1PUK3hd 
[13426] SET_SELL_TRIGGER,8IA1PUK3hd,FTP,98.50 
[13545] DISPLAY_SUMMARY,8IA1PUK3hd 
[13555] DISPLAY_SUMMARY,8IA1PUK3hd 
[13883] SELL,8IA1PUK3hd,JRJ,191.96 
[13960] COMMIT_SELL,8IA1PUK3hd 
[13991] SET_SELL_TRIGGER,8IA1PUK3hd,SYL,144.63 
[14069] SET_SELL_TRIGGER,8IA1PUK3hd,AHO,64.41 
[14077] QUOTE,8IA1PUK3hd,OSA 
[14099] SELL,8IA1PUK3hd,FQP,236.18 
[14143] COMMIT_SELL,8IA1PUK3hd 
[14146] SET_BUY_AMOUNT,8IA1PUK3hd,FQP,730.38 
[14175] SELL,8IA1PUK3hd,FQP,348.48 
[14296] COMMIT_SELL,8IA1PUK3hd 
[14330] BUY,8IA1PUK3hd,AED,429.82 
[14355] QUOTE,8IA1PUK3hd,OZW 
[14583] SET_BUY_TRIGGER,8IA1PUK3hd,TJL,489.58 
[14594] ADD,8IA1PUK3hd,58815.85 
[14598] SET_SELL_TRIGGER,8IA1PUK3hd,IHW,98.84 
[14607] CANCEL_SELL,8IA1PUK3hd 
[14682] SET_SELL_TRIGGER,8IA1PUK3hd,QPE,170.08 
[14827] BUY,8IA1PUK3hd,PXY,116.45 
[14965] COMMIT_BUY,8IA1PUK3hd 
[14970] ADD,8IA1PUK3hd,80716.10 
[14996] SET_SELL_TRIGGER,8IA1PUK3hd,VKB,114.55 
[15049] BUY,8IA1PUK3hd,VUS,250.98 
[15115] COMMIT_BUY,8IA1PUK3hd 
[15175] DISPLAY_SUMMARY,8IA1PUK3hd 
[15291] CANCEL_SET_SELL,8IA1PUK3hd,KZZ 
[15400] QUOTE,8IA1PUK3hd,XII 
[15427] BUY,8IA1PUK3hd,MIU,577.42 
[15667] COMMIT_BUY,8IA1PUK3hd 
[16006] DISPLAY_SUMMARY,8IA1PUK3hd 
[16345] SELL,8IA1PUK3hd,JRJ,384.37 
[16383] COMMIT_SELL,8IA1PUK3hd 
[16416] SET_BUY_AMOUNT,8IA1PUK3hd,NHG,393.93 
[16498] SET_BUY_TRIGGER,8IA1PUK3hd,MKE,55.89 
[16549] DISPLAY_SUMMARY,8IA1PUK3hd 
[16575] BUY,8IA1PUK3hd,OSC,64.71 
[16929] CANCEL_SET_BUY,8IA1PUK3hd,ZRJ 
[16988] QUOTE,8IA1PUK3hd,VJB 
[17008] QUOTE,8IA1PUK3hd,PHU 
[17456] QUOTE,8IA1PUK3hd,LEA 
[17464] BUY,8IA1PUK3hd,AUT,565.56 
[17472] COMMIT_BUY,8IA1PUK3hd 
[17520] BUY,8IA1PUK3hd,AMI,550.62 
[17866] COMMIT_BUY,8IA1PUK3hd 
[17898] SET_BUY_AMOUNT,8IA1PUK3hd,JVT,448.16 
[18018] SET_BUY_TRIGGER,8IA1PUK3hd,EUM,202.75 
[18154] SET_BUY_TRIGGER,8IA1PUK3hd,KTU,178.14 
[18171] QUOTE,8IA1PUK3hd,WRN 
[18316] QUOTE,8IA1PUK3hd,ZAV 
[18403] BUY,8IA1PUK3hd,PFN,367.92 
[18464] BUY,8IA1PUK3hd,VKB,256.37 
[18712] CANCEL_SET_SELL,8IA1PUK3hd,ZFJ 
[18854] ADD,8IA1PUK3hd,49377.77 
[18900] QUOTE,8IA1PUK3hd,HTN 
[18918] DISPLAY_SUMMARY,8IA1PUK3hd 
[19008] SELL,8IA1PUK3hd,GYF,158.50 
[19129] CANCEL_SET_BUY,8IA1PUK3hd,BRZ 
[19157] QUOTE,8IA1PUK3hd,SHP 
[19189] DISPLAY_SUMMARY,8IA1PUK3hd 
[19206] QUOTE,8IA1PUK3hd,FQG 
[19210] SET_BUY_TRIGGER,8IA1PUK3hd,FYR,156.09 
[19252] ADD,8IA1PUK3hd,71846.98 
[19393] QUOTE,8IA1PUK3hd,NSW 
[19412] BUY,8IA1PUK3hd,VVV,93.88 
[19687] CANCEL_BUY,8IA1PUK3hd 
[19896] SELL,8IA1PUK3hd,JRJ,194.58 
[19909] CANCEL_BUY,8IA1PUK3hd 
[19918] QUOTE,8IA1PUK3hd,LSK 
[19923] BUY,8IA1PUK3hd,TSU,121.88 
[19937] SET_BUY_AMOUNT,8IA1PUK3hd,LFU,221.80 
[19945] DISPLAY_SUMMARY,8IA1PUK3hd 
[20057] ADD,8IA1PUK3hd,59043.67 
[20103] QUOTE,8IA1PUK3hd,EGB 
[20218] QUOTE,8IA1PUK3hd,TKM 
[20251] ADD,8IA1PUK3hd,49934.69 
[20368] SELL,8IA1PUK3hd,LFU,347.63 
[20386] COMMIT_SELL,8IA1PUK3hd 
[20443] SELL,8IA1PUK3hd,FQP,566.63 
[20599] QUOTE,8IA1PUK3hd,SYM 
[20980] CANCEL_SELL,8IA1PUK3hd 
[21184] ADD,8IA1PUK3hd,74431.93 
[21242] BUY,8IA1PUK3hd,TSF,290.68 
[21325] SET_BUY_AMOUNT,8IA1PUK3hd,LFU,337.39 
[21359] SET_BUY_TRIGGER,8IA1PUK3hd,ULL,149.39 
[21396] CANCEL_SET_SELL,8IA1PUK3hd,SKC 
[21487] QUOTE,8IA1PUK3hd,SYT 
[21680] ADD,8IA1PUK3hd,82136.04 
[21778] DISPLAY_SUMMARY,8IA1PUK3hd 
[21897] SET_SELL_TRIGGER,8IA1PUK3hd,YBB,193.35 
[21979] BUY,8IA1PUK3hd,UMN,403.48 
[22074] BUY,8IA1PUK3hd,KGA,72.04 
[22128] QUOTE,8IA1PUK3hd,WYO 
[22323] SET_BUY_AMOUNT,8IA1PUK3hd,GYF,463.00 
[22520] SET_BUY_TRIGGER,8IA1PUK3hd,LRS,333.08 
[22801] SELL,8IA1PUK3hd,QAX,56.11 
[22891] COMMIT_SELL,8IA1PUK3hd 
[22977] ADD,8IA1PUK3hd,82591.98 
[22978] QUOTE,8IA1PUK3hd,DDH 
[23025] QUOTE,8IA1PUK3hd,AIN 
[23103] BUY,8IA1PUK3hd,FGI,658.53 
[23139] CANCEL_BUY,8IA1PUK3hd 
[23183] SET_BUY_TRIGGER,8IA1PUK3hd,DBC,141.64 
[23278] CANCEL_SET_BUY,8IA1PUK3hd,DXQ 
[23360] ADD,8IA1PUK3hd,68122.99 
[23631] SET_SELL_TRIGGER,8IA1PUK3hd,ZEG,91.85 
[23709] SET_BUY_AMOUNT,8IA1PUK3hd,ZAN,492.59 
[23783] SET_BUY_TRIGGER,8IA1PUK3hd,IKK,49.11 
[23883] DISPLAY_SUMMARY,8IA1PUK3hd 
[23999] BUY,8IA1PUK3hd,UFX,49.95 
[24068] SET_SELL_TRIGGER,8IA1PUK3hd,ALM,48.14 
[24311] SET_BUY_AMOUNT,8IA1PUK3hd,UTV,164.78 
[24321] QUOTE,8IA1PUK3hd,XBL 
[24491] QUOTE,8IA1PUK3hd,KZC 
[24496] QUOTE,8IA1PUK3hd,JJW 
[24499] BUY,8IA1PUK3hd,ZUV,389.07 
[24840] CANCEL_SELL,8IA1PUK3hd 
[24854] SET_SELL_AMOUNT,8IA1PUK3hd,KES,560.90 
[24979] SET_SELL_TRIGGER,8IA1PUK3hd,KES,56.56 
[25158] ADD,8IA1PUK3hd,78368.05 
[25566] QUOTE,8IA1PUK3hd,WJS 
[25700] QUOTE,8IA1PUK3hd,EYY 
[25731] COMMIT_SELL,8IA1PUK3hd 
[25872] SET_SELL_AMOUNT,8IA1PUK3hd,QAX,14.95 
[25927] SET_SELL_TRIGGER,8IA1PUK3hd,QAX,11.33 
[26016] SET_SELL_AMOUNT,8IA1PUK3hd,LFU,285.78 
[26091] SET_SELL_TRIGGER,8IA1PUK3hd,LFU,234.97 
[26103] BUY,8IA1PUK3hd,UUJ,140.19 
[26264] SELL,8IA1PUK3hd,QJZ,561.97 
[26301] COMMIT_SELL,8IA1PUK3hd 
[26315] SET_BUY_AMOUNT,8IA1PUK3hd,UTV,463.06 
[26358] SET_BUY_TRIGGER,8IA1PUK3hd,JUJ,138.13 
[26375] SET_SELL_TRIGGER,8IA1PUK3hd,VBO,189.19 
[26543] BUY,8IA1PUK3hd,KEO,42.04 
[26555] CANCEL_BUY,8IA1PUK3hd 
[26578] SET_BUY_TRIGGER,8IA1PUK3hd,RKY,153.36 
[26680] COMMIT_BUY,8IA1PUK3hd 
[26745] QUOTE,8IA1PUK3hd,FRB 
[26867] ADD,8IA1PUK3hd,69615.13 
[26884] QUOTE,8IA1PUK3hd,MVD 
[27489] DISPLAY_SUMMARY,8IA1PUK3hd 
[27490] DISPLAY_SUMMARY,8IA1PUK3hd 
[27611] DISPLAY_SUMMARY,8IA1PUK3hd 
[27836] SET_SELL_AMOUNT,8IA1PUK3hd,UTV,72.09 
[27849] SET_SELL_TRIGGER,8IA1PUK3hd,UTV,10.01 
[27897] DISPLAY_SUMMARY,8IA1PUK3hd 
[27999] ADD,8IA1PUK3hd,84293.31 
[28043] CANCEL_SET_BUY,8IA1PUK3hd,MHR 
[28309] QUOTE,8IA1PUK3hd,RVZ 
[28385] ADD,8IA1PUK3hd,63073.92 
[28388] SET_SELL_AMOUNT,8IA1PUK3hd,JCQ,489.11 
[28408] CANCEL_SET_SELL,8IA1PUK3hd,JCQ 
[28507] DISPLAY_SUMMARY,8IA1PUK3hd 
[29195] SELL,8IA1PUK3hd,UTV,102.40 
[29205] COMMIT_SELL,8IA1PUK3hd 
[29334] DISPLAY_SUMMARY,8IA1PUK3hd 
[29352] SET_BUY_TRIGGER,8IA1PUK3hd,VVO,184.62 
[29365] SET_BUY_AMOUNT,8IA1PUK3hd,JQO,99.42 
[29690] SELL,8IA1PUK3hd,JQO,591.46 
[29802] COMMIT_SELL,8IA1PUK3hd 
[29930] BUY,8IA1PUK3hd,GTX,588.61 
[30052] BUY,8IA1PUK3hd,LZV,620.93 
[30215] COMMIT_BUY,8IA1PUK3hd 
[30234] SELL,8IA1PUK3hd,LFU,115.46 
[30325] CANCEL_BUY,8IA1PUK3hd 
[30347] SET_BUY_AMOUNT,8IA1PUK3hd,ZAN,91.85 
[30402] SET_BUY_TRIGGER,8IA1PUK3hd,YOQ,89.77 
[30608] ADD,8IA1PUK3hd,86293.04 
[30636] CANCEL_SET_BUY,8IA1PUK3hd,BHQ 
[30817] BUY,8IA1PUK3hd,NGH,243.42 
[30895] COMMIT_BUY,8IA1PUK3hd 
[31223] SET_SELL_TRIGGER,8IA1PUK3hd,HNW,88.65 
[31241] BUY,8IA1PUK3hd,ZCQ,232.86 
[31461] COMMIT_BUY,8IA1PUK3hd 
[31472] SET_SELL_AMOUNT,8IA1PUK3hd,KES,300.59 
[31595] DISPLAY_SUMMARY,8IA1PUK3hd 
[31692] DISPLAY_SUMMARY,8IA1PUK3hd 
[31758] SELL,8IA1PUK3hd,EBS,503.25 
[31873] COMMIT_SELL,8IA1PUK3hd 
[32136] SET_BUY_TRIGGER,8IA1PUK3hd,PTC,70.01 
[32212] BUY,8IA1PUK3hd,JMX,481.07 
[32260] COMMIT_BUY,8IA1PUK3hd 
[32271] DISPLAY_SUMMARY,8IA1PUK3hd 
[32289] SELL,8IA1PUK3hd,BYA,95.81 
[32327] SET_BUY_TRIGGER,8IA1PUK3hd,YAV,41.57 
[32368] SELL,8IA1PUK3hd,KES,570.19 
[32382] COMMIT_SELL,8IA1PUK3hd 
[32574] SET_SELL_TRIGGER,8IA1PUK3hd,KES,261.04 
[32639] SET_SELL_TRIGGER,8IA1PUK3hd,KYX,188.72 
[32743] DISPLAY_SUMMARY,8IA1PUK3hd 
[32792] ADD,8IA1PUK3hd,71386.53 
[32801] QUOTE,8IA1PUK3hd,IDX 
[32814] SET_SELL_AMOUNT,8IA1PUK3hd,RUN,62.71 
[33005] SELL,8IA1PUK3hd,KDA,344.68 
[33008] COMMIT_SELL,8IA1PUK3hd 
[33060] SELL,8IA1PUK3hd,LFU,245.05 
[33091] CANCEL_SET_SELL,8IA1PUK3hd,RUN 
[33530] SET_BUY_TRIGGER,8IA1PUK3hd,PTP,102.11 
[33568] ADD,8IA1PUK3hd,35752.99 
[33672] QUOTE,8IA1PUK3hd,AEM 
[33679] SET_BUY_TRIGGER,8IA1PUK3hd,CDF,196.61 
[33744] SET_BUY_TRIGGER,8IA1PUK3hd,KMV,112.65 
[33863] DISPLAY_SUMMARY,8IA1PUK3hd 
[33950] ADD,8IA1PUK3hd,62014.16 
[34127] BUY,8IA1PUK3hd,NTB,85.92 
[34167] COMMIT_SELL,8IA1PUK3hd 
[34532] ADD,8IA1PUK3hd,94471.76 
[34535] BUY,8IA1PUK3hd,LTB,126.84 
[34904] COMMIT_BUY,8IA1PUK3hd 
[35151] BUY,8IA1PUK3hd,ZLY,441.86 
[35203] CANCEL_BUY,8IA1PUK3hd 
[35291] ADD,8IA1PUK3hd,71995.72 
[35419] BUY,8IA1PUK3hd,DTG,397.38 
[35440] BUY,8IA1PUK3hd,ZMS,650.01 
[35511] COMMIT_BUY,8IA1PUK3hd 
[35519] SET_SELL_TRIGGER,8IA1PUK3hd,LHC,154.12 
[35640] SET_BUY_TRIGGER,8IA1PUK3hd,HZA,148.11 
[35826] ADD,8IA1PUK3hd,67235.77 
[35978] SET_SELL_AMOUNT,8IA1PUK3hd,CUZ,153.13 
[35998] SET_SELL_TRIGGER,8IA1PUK3hd,CUZ,3.95 
[36132] ADD,8IA1PUK3hd,67083.20 
[36215] BUY,8IA1PUK3hd,PUN,589.82 
[36387] COMMIT_BUY,8IA1PUK3hd 
[36464] DISPLAY_SUMMARY,8IA1PUK3hd 
[36507] COMMIT_BUY,8IA1PUK3hd 
[36529] SET_BUY_TRIGGER,8IA1PUK3hd,NHG,114.64 
[36694] QUOTE,8IA1PUK3hd,NGG 
[36903] DISPLAY_SUMMARY,8IA1PUK3hd 
[36929] ADD,8IA1PUK3hd,71577.72 
[36947] QUOTE,8IA1PUK3hd,MGO 
[36948] SELL,8IA1PUK3hd,GYF,506.80 
[37068] COMMIT_SELL,8IA1PUK3hd 
[37073] SELL,8IA1PUK3hd,BCQ,399.45 
[37093] SET_SELL_TRIGGER,8IA1PUK3hd,QOD,24.16 
[37102] ADD,8IA1PUK3hd,67668.16 
[37276] BUY,8IA1PUK3hd,LPR,569.47 
[37401] COMMIT_BUY,8IA1PUK3hd 
[37632] COMMIT_BUY,8IA1PUK3hd 
[37640] DISPLAY_SUMMARY,8IA1PUK3hd 
[37656] DISPLAY_SUMMARY,8IA1PUK3hd 
[37676] QUOTE,8IA1PUK3hd,KKI 
[37680] BUY,8IA1PUK3hd,XMA,415.96 
[37765] COMMIT_BUY,8IA1PUK3hd 
[37789] ADD,8IA1PUK3hd,70396.36 
[37811] QUOTE,8IA1PUK3hd,WUF 
[37814] BUY,8IA1PUK3hd,EOS,122.18 
[38023] COMMIT_SELL,8IA1PUK3hd 
[38078] ADD,8IA1PUK3hd,68186.49 
[38268] QUOTE,8IA1PUK3hd,IFC 
[38347] BUY,8IA1PUK3hd,GDO,130.03 
[38508] DISPLAY_SUMMARY,8IA1PUK3hd 
[38753] SET_SELL_TRIGGER,8IA1PUK3hd,KAR,29.25 
[38904] DISPLAY_SUMMARY,8IA1PUK3hd 
[38912] ADD,8IA1PUK3hd,63598.36 
[38953] QUOTE,8IA1PUK3hd,ZKV 
[39022] SET_BUY_AMOUNT,8IA1PUK3hd,BCQ,13.75 
[39036] SET_BUY_TRIGGER,8IA1PUK3hd,AOH,8.23 
[39114] SET_BUY_TRIGGER,8IA1PUK3hd,QSS,17.01 
[39144] QUOTE,8IA1PUK3hd,ARP 
[39192] ADD,8IA1PUK3hd,76946.87 
[39267] QUOTE,8IA1PUK3hd,JDO 
[39290] BUY,8IA1PUK3hd,ATW,526.87 
[39312] COMMIT_BUY,8IA1PUK3hd 
[39534] SELL,8IA1PUK3hd,KES,372.94 
[39583] DISPLAY_SUMMARY,8IA1PUK3hd 
[39600] SELL,8IA1PUK3hd,RGH,76.99 
[39715] SET_BUY_AMOUNT,8IA1PUK3hd,FQP,238.22 
[39787] CANCEL_SET_BUY,8IA1PUK3hd,ECX 
[39810] SELL,8IA1PUK3hd,YJK,725.90 
[39825] COMMIT_SELL,8IA1PUK3hd 
[39829] ADD,8IA1PUK3hd,57708.76 
[39892] DISPLAY_SUMMARY,8IA1PUK3hd 
[40090] QUOTE,8IA1PUK3hd,FXT 
[40216] BUY,8IA1PUK3hd,KQZ,643.97 
[40241] CANCEL_SET_BUY,8IA1PUK3hd,KZQ 
[40250] CANCEL_SET_BUY,8IA1PUK3hd,YKB 
[40494] SELL,8IA1PUK3hd,ZAN,741.97 
[40505] SET_BUY_TRIGGER,8IA1PUK3hd,UXP,19.83 
[40525] SET_SELL_AMOUNT,8IA1PUK3hd,QJZ,29.44 
[40626] SET_SELL_TRIGGER,8IA1PUK3hd,QJZ,5.97 
[40632] SELL,8IA1PUK3hd,UTV,280.50 
[40646] COMMIT_SELL,8IA1PUK3hd 
[40688] ADD,8IA1PUK3hd,71080.20 
[40820] BUY,8IA1PUK3hd,JRY,22.27 
[40850] CANCEL_SELL,8IA1PUK3hd 
[40869] SET_BUY_TRIGGER,8IA1PUK3hd,CIP,68.33 
[40886] DISPLAY_SUMMARY,8IA1PUK3hd 
[40911] ADD,8IA1PUK3hd,59736.99 
[41041] BUY,8IA1PUK3hd,YBO,563.15 
[41059] CANCEL_SET_SELL,8IA1PUK3hd,SQO 
[41060] BUY,8IA1PUK3hd,YPL,25.35 
[41164] COMMIT_BUY,8IA1PUK3hd 
[41987] DISPLAY_SUMMARY,8IA1PUK3hd 
[41998] SELL,8IA1PUK3hd,GYF,71.72 
[42046] CANCEL_BUY,8IA1PUK3hd 
[42186] SET_SELL_TRIGGER,8IA1PUK3hd,JGO,137.15 
[42232] DISPLAY_SUMMARY,8IA1PUK3hd 
[42487] DISPLAY_SUMMARY,8IA1PUK3hd 
[42513] ADD,8IA1PUK3hd,78077.89 
[42703] QUOTE,8IA1PUK3hd,KVK 
[43034] SET_BUY_TRIGGER,8IA1PUK3hd,LSG,39.48 
[43166] SET_SELL_AMOUNT,8IA1PUK3hd,QJZ,635.56 
[43248] CANCEL_SET_SELL,8IA1PUK3hd,QJZ 
[43251] DISPLAY_SUMMARY,8IA1PUK3hd 
[43263] QUOTE,8IA1PUK3hd,NXU 
[43318] ADD,8IA1PUK3hd,61416.00 
[43453] COMMIT_BUY,8IA1PUK3hd 
[43547] DISPLAY_SUMMARY,8IA1PUK3hd 
[43697] SET_BUY_TRIGGER,8IA1PUK3hd,VNF,49.47 
[43774] SET_BUY_TRIGGER,8IA1PUK3hd,CGW,124.51 
[44256] BUY,8IA1PUK3hd,XLK,346.76 
[44370] SET_SELL_AMOUNT,8IA1PUK3hd,EBS,18.01 
[44705] SET_SELL_TRIGGER,8IA1PUK3hd,EBS,9.51 
[44726] QUOTE,8IA1PUK3hd,WHR 
[44780] BUY,8IA1PUK3hd,CTT,345.57 
[44813] COMMIT_BUY,8IA1PUK3hd 
[44939] QUOTE,8IA1PUK3hd,XAB 
[45013] BUY,8IA1PUK3hd,VCN,719.08 
[45120] QUOTE,8IA1PUK3hd,INB 
[45207] DISPLAY_SUMMARY,8IA1PUK3hd 
[45429] QUOTE,8IA1PUK3hd,FRB 
[45716] QUOTE,8IA1PUK3hd,USW 
[45828] QUOTE,8IA1PUK3hd,HCN 
[46160] COMMIT_BUY,8IA1PUK3hd 
[46193] ADD,8IA1PUK3hd,49299.95 
