[34] ADD,g3Xh0OB6vf,68223.85 
[12478] DISPLAY_SUMMARY,g3Xh0OB6vf 
[12530] CANCEL_SELL,g3Xh0OB6vf 
[12987] ADD,g3Xh0OB6vf,70376.76 
[13032] BUY,g3Xh0OB6vf,QJC,411.49 
[13338] CANCEL_BUY,g3Xh0OB6vf 
[13427] QUOTE,g3Xh0OB6vf,FCH 
[13443] SET_SELL_AMOUNT,g3Xh0OB6vf,FQP,132.38 
[13524] BUY,g3Xh0OB6vf,YTO,12.85 
[13794] COMMIT_BUY,g3Xh0OB6vf 
[13803] QUOTE,g3Xh0OB6vf,TKM 
[13909] SET_BUY_TRIGGER,g3Xh0OB6vf,SYN,159.71 
[13914] DISPLAY_SUMMARY,g3Xh0OB6vf 
[13949] SELL,g3Xh0OB6vf,JCQ,112.92 
[13995] COMMIT_SELL,g3Xh0OB6vf 
[14124] SET_BUY_TRIGGER,g3Xh0OB6vf,ROW,140.63 
[14167] SELL,g3Xh0OB6vf,KES,638.38 
[14248] COMMIT_SELL,g3Xh0OB6vf 
[14447] CANCEL_SET_BUY,g3Xh0OB6vf,VMK 
[14481] SET_BUY_TRIGGER,g3Xh0OB6vf,ZTR,32.37 
[14517] SET_SELL_AMOUNT,g3Xh0OB6vf,OEY,10.09 
[14534] BUY,g3Xh0OB6vf,UMV,25.95 
[14700] COMMIT_BUY,g3Xh0OB6vf 
[14848] SET_BUY_AMOUNT,g3Xh0OB6vf,KDA,472.26 
[15378] SET_BUY_TRIGGER,g3Xh0OB6vf,SJG,384.56 
[15418] ADD,g3Xh0OB6vf,76096.94 
[15456] BUY,g3Xh0OB6vf,ZGR,85.13 
[15493] CANCEL_BUY,g3Xh0OB6vf 
[15520] SET_SELL_TRIGGER,g3Xh0OB6vf,OEY,7.79 
[15541] SET_SELL_AMOUNT,g3Xh0OB6vf,UTV,377.76 
[15549] DISPLAY_SUMMARY,g3Xh0OB6vf 
[15556] SET_BUY_TRIGGER,g3Xh0OB6vf,PYB,104.02 
[15648] DISPLAY_SUMMARY,g3Xh0OB6vf 
[16214] ADD,g3Xh0OB6vf,48612.09 
[16234] SET_SELL_AMOUNT,g3Xh0OB6vf,QJZ,524.73 
[16298] SET_SELL_TRIGGER,g3Xh0OB6vf,QJZ,167.50 
[16380] SET_BUY_TRIGGER,g3Xh0OB6vf,SVV,161.21 
[16399] DISPLAY_SUMMARY,g3Xh0OB6vf 
[16438] BUY,g3Xh0OB6vf,WNX,32.27 
[16599] COMMIT_BUY,g3Xh0OB6vf 
[16724] SET_BUY_AMOUNT,g3Xh0OB6vf,OEY,170.44 
[16761] SET_BUY_TRIGGER,g3Xh0OB6vf,MHI,157.96 
[16847] DISPLAY_SUMMARY,g3Xh0OB6vf 
[16869] SET_BUY_TRIGGER,g3Xh0OB6vf,VDP,27.16 
[16908] BUY,g3Xh0OB6vf,VWU,277.01 
[17103] QUOTE,g3Xh0OB6vf,MGO 
[17112] SELL,g3Xh0OB6vf,KES,42.83 
[17228] COMMIT_BUY,g3Xh0OB6vf 
[17231] SELL,g3Xh0OB6vf,JCQ,396.69 
[17253] CANCEL_SELL,g3Xh0OB6vf 
[17266] DISPLAY_SUMMARY,g3Xh0OB6vf 
[17301] SET_SELL_AMOUNT,g3Xh0OB6vf,QJZ,25.41 
[17320] DISPLAY_SUMMARY,g3Xh0OB6vf 
[17350] ADD,g3Xh0OB6vf,59264.20 
[17453] QUOTE,g3Xh0OB6vf,QNW 
[17632] QUOTE,g3Xh0OB6vf,NFQ 
[17723] SET_BUY_AMOUNT,g3Xh0OB6vf,NHG,555.27 
[17748] DISPLAY_SUMMARY,g3Xh0OB6vf 
[17987] QUOTE,g3Xh0OB6vf,KDA 
[18115] QUOTE,g3Xh0OB6vf,IDX 
[18143] ADD,g3Xh0OB6vf,54091.92 
[18377] COMMIT_BUY,g3Xh0OB6vf 
[18413] QUOTE,g3Xh0OB6vf,NTB 
[18543] SET_SELL_AMOUNT,g3Xh0OB6vf,NHG,9.24 
[18716] SET_SELL_TRIGGER,g3Xh0OB6vf,NHG,3.25 
[18789] DISPLAY_SUMMARY,g3Xh0OB6vf 
[18843] CANCEL_SET_SELL,g3Xh0OB6vf,SSF 
[18849] BUY,g3Xh0OB6vf,XME,467.68 
[18869] CANCEL_SELL,g3Xh0OB6vf 
[18921] DISPLAY_SUMMARY,g3Xh0OB6vf 
[18934] QUOTE,g3Xh0OB6vf,CEC 
[18956] QUOTE,g3Xh0OB6vf,CWA 
[19114] SET_BUY_TRIGGER,g3Xh0OB6vf,CJV,448.01 
[19312] SET_BUY_AMOUNT,g3Xh0OB6vf,UTV,610.15 
[19324] SET_BUY_TRIGGER,g3Xh0OB6vf,GQV,423.70 
[19414] ADD,g3Xh0OB6vf,52632.45 
[19445] QUOTE,g3Xh0OB6vf,OQW 
[19544] BUY,g3Xh0OB6vf,OEN,20.69 
[19575] COMMIT_SELL,g3Xh0OB6vf 
[19679] QUOTE,g3Xh0OB6vf,TGY 
[19716] SET_SELL_TRIGGER,g3Xh0OB6vf,WYD,7.86 
[19889] SET_SELL_AMOUNT,g3Xh0OB6vf,KDA,596.89 
[19993] CANCEL_SET_SELL,g3Xh0OB6vf,KDA 
[20086] SELL,g3Xh0OB6vf,QAX,724.30 
[20093] CANCEL_SELL,g3Xh0OB6vf 
[20225] ADD,g3Xh0OB6vf,90591.83 
[20284] QUOTE,g3Xh0OB6vf,SYE 
[20874] SET_BUY_TRIGGER,g3Xh0OB6vf,AMI,16.19 
[20964] BUY,g3Xh0OB6vf,JHY,338.04 
[21324] SET_BUY_TRIGGER,g3Xh0OB6vf,CBY,194.43 
[21365] DISPLAY_SUMMARY,g3Xh0OB6vf 
[21373] SELL,g3Xh0OB6vf,KES,156.20 
[21421] COMMIT_SELL,g3Xh0OB6vf 
[21425] COMMIT_BUY,g3Xh0OB6vf 
[21432] SET_BUY_TRIGGER,g3Xh0OB6vf,DES,26.87 
[21542] SET_SELL_AMOUNT,g3Xh0OB6vf,FQP,232.97 
[21676] SET_SELL_TRIGGER,g3Xh0OB6vf,FQP,148.78 
[21770] QUOTE,g3Xh0OB6vf,VDP 
[21828] DISPLAY_SUMMARY,g3Xh0OB6vf 
[21841] ADD,g3Xh0OB6vf,52534.21 
[21951] QUOTE,g3Xh0OB6vf,TVP 
[22104] BUY,g3Xh0OB6vf,ZNL,516.81 
[22199] COMMIT_BUY,g3Xh0OB6vf 
[22481] CANCEL_SET_BUY,g3Xh0OB6vf,NDO 
[22683] SET_SELL_AMOUNT,g3Xh0OB6vf,ZAN,689.88 
[22691] SET_SELL_TRIGGER,g3Xh0OB6vf,ZAN,534.12 
[22755] SET_SELL_TRIGGER,g3Xh0OB6vf,KPP,146.59 
[22837] DISPLAY_SUMMARY,g3Xh0OB6vf 
[22840] ADD,g3Xh0OB6vf,54067.96 
[22856] CANCEL_BUY,g3Xh0OB6vf 
[22920] DISPLAY_SUMMARY,g3Xh0OB6vf 
[22922] DISPLAY_SUMMARY,g3Xh0OB6vf 
[22948] ADD,g3Xh0OB6vf,104810.13 
[23037] QUOTE,g3Xh0OB6vf,CMA 
[23255] DISPLAY_SUMMARY,g3Xh0OB6vf 
[23682] DISPLAY_SUMMARY,g3Xh0OB6vf 
[23866] QUOTE,g3Xh0OB6vf,KCS 
[24187] SET_BUY_AMOUNT,g3Xh0OB6vf,LFU,86.62 
[24198] CANCEL_SET_BUY,g3Xh0OB6vf,UGT 
[24503] SET_SELL_TRIGGER,g3Xh0OB6vf,ESN,82.47 
[24582] SET_BUY_AMOUNT,g3Xh0OB6vf,JRJ,44.39 
[24659] SET_BUY_TRIGGER,g3Xh0OB6vf,PPW,9.90 
[25020] DISPLAY_SUMMARY,g3Xh0OB6vf 
[25057] QUOTE,g3Xh0OB6vf,FIC 
[25132] QUOTE,g3Xh0OB6vf,QPX 
[25151] ADD,g3Xh0OB6vf,65099.42 
[25164] QUOTE,g3Xh0OB6vf,SYE 
[25210] QUOTE,g3Xh0OB6vf,FTP 
[25212] QUOTE,g3Xh0OB6vf,RLS 
[25585] BUY,g3Xh0OB6vf,VUS,375.80 
[25837] CANCEL_BUY,g3Xh0OB6vf 
[25873] QUOTE,g3Xh0OB6vf,ISQ 
[25910] BUY,g3Xh0OB6vf,IFI,8.56 
[25914] COMMIT_BUY,g3Xh0OB6vf 
[26048] ADD,g3Xh0OB6vf,91818.57 
[26107] BUY,g3Xh0OB6vf,HTD,496.24 
[26336] DISPLAY_SUMMARY,g3Xh0OB6vf 
[26339] SET_SELL_AMOUNT,g3Xh0OB6vf,JQO,370.35 
[26391] CANCEL_SET_SELL,g3Xh0OB6vf,JQO 
[26546] DISPLAY_SUMMARY,g3Xh0OB6vf 
[26612] DISPLAY_SUMMARY,g3Xh0OB6vf 
[26688] SELL,g3Xh0OB6vf,CUZ,195.67 
[26792] COMMIT_BUY,g3Xh0OB6vf 
[26863] ADD,g3Xh0OB6vf,72408.25 
[27019] QUOTE,g3Xh0OB6vf,YGK 
[27026] DISPLAY_SUMMARY,g3Xh0OB6vf 
[27075] SELL,g3Xh0OB6vf,JCQ,282.29 
[27333] COMMIT_SELL,g3Xh0OB6vf 
[27369] SET_SELL_TRIGGER,g3Xh0OB6vf,WFR,124.44 
[27454] ADD,g3Xh0OB6vf,57838.10 
[27494] QUOTE,g3Xh0OB6vf,LMB 
[27600] COMMIT_BUY,g3Xh0OB6vf 
[27714] SET_BUY_TRIGGER,g3Xh0OB6vf,PUU,52.22 
[27947] QUOTE,g3Xh0OB6vf,RQF 
[28034] BUY,g3Xh0OB6vf,EGB,717.75 
[28079] BUY,g3Xh0OB6vf,JVE,48.10 
[28367] ADD,g3Xh0OB6vf,67210.89 
[28399] BUY,g3Xh0OB6vf,HGG,95.85 
[28463] COMMIT_BUY,g3Xh0OB6vf 
[28537] ADD,g3Xh0OB6vf,81050.89 
[28562] BUY,g3Xh0OB6vf,DJD,345.98 
[28734] COMMIT_BUY,g3Xh0OB6vf 
[28738] QUOTE,g3Xh0OB6vf,FGI 
[28756] SELL,g3Xh0OB6vf,EBS,106.92 
[28921] COMMIT_BUY,g3Xh0OB6vf 
[29016] SELL,g3Xh0OB6vf,OEY,90.27 
[29099] QUOTE,g3Xh0OB6vf,KMV 
[29115] ADD,g3Xh0OB6vf,86022.56 
[29222] QUOTE,g3Xh0OB6vf,GJQ 
[29438] COMMIT_SELL,g3Xh0OB6vf 
[29484] ADD,g3Xh0OB6vf,73336.74 
[29719] BUY,g3Xh0OB6vf,NVX,555.45 
[29989] CANCEL_BUY,g3Xh0OB6vf 
[30115] SET_SELL_AMOUNT,g3Xh0OB6vf,DFE,89.19 
[30578] SET_SELL_TRIGGER,g3Xh0OB6vf,DFE,13.83 
[30590] ADD,g3Xh0OB6vf,97885.10 
[30622] QUOTE,g3Xh0OB6vf,HTN 
[30648] DISPLAY_SUMMARY,g3Xh0OB6vf 
[30723] SET_BUY_AMOUNT,g3Xh0OB6vf,DFE,182.04 
[30734] SET_BUY_TRIGGER,g3Xh0OB6vf,BHP,132.75 
[30841] QUOTE,g3Xh0OB6vf,PLB 
[30993] QUOTE,g3Xh0OB6vf,BLC 
[31157] QUOTE,g3Xh0OB6vf,WRN 
[31198] CANCEL_SET_SELL,g3Xh0OB6vf,TTY 
[31227] CANCEL_SET_SELL,g3Xh0OB6vf,RQL 
[31266] BUY,g3Xh0OB6vf,GWS,538.64 
[31300] COMMIT_BUY,g3Xh0OB6vf 
[31402] BUY,g3Xh0OB6vf,GED,736.68 
[31430] BUY,g3Xh0OB6vf,FRB,728.12 
[31522] COMMIT_BUY,g3Xh0OB6vf 
[31542] QUOTE,g3Xh0OB6vf,AAC 
[31601] COMMIT_BUY,g3Xh0OB6vf 
[31617] BUY,g3Xh0OB6vf,YIU,662.62 
[31668] DISPLAY_SUMMARY,g3Xh0OB6vf 
[31691] SET_BUY_AMOUNT,g3Xh0OB6vf,KES,349.82 
[31712] SET_BUY_TRIGGER,g3Xh0OB6vf,XDN,290.18 
[31765] SET_BUY_AMOUNT,g3Xh0OB6vf,QAX,234.95 
[31817] SET_BUY_TRIGGER,g3Xh0OB6vf,QGN,219.80 
[32030] SELL,g3Xh0OB6vf,JRJ,668.19 
[32101] COMMIT_SELL,g3Xh0OB6vf 
[32389] BUY,g3Xh0OB6vf,DRO,670.36 
[32460] COMMIT_BUY,g3Xh0OB6vf 
[32468] BUY,g3Xh0OB6vf,UHO,632.06 
[32758] COMMIT_BUY,g3Xh0OB6vf 
[32772] ADD,g3Xh0OB6vf,75049.17 
[32840] BUY,g3Xh0OB6vf,QQI,659.89 
[32889] COMMIT_BUY,g3Xh0OB6vf 
[32912] CANCEL_SET_BUY,g3Xh0OB6vf,NJT 
[33036] SET_BUY_AMOUNT,g3Xh0OB6vf,RGH,417.71 
[33145] SELL,g3Xh0OB6vf,FQP,87.85 
[33160] CANCEL_SELL,g3Xh0OB6vf 
[33172] DISPLAY_SUMMARY,g3Xh0OB6vf 
[33214] QUOTE,g3Xh0OB6vf,NDD 
[33285] BUY,g3Xh0OB6vf,ZWZ,9.39 
[33351] COMMIT_BUY,g3Xh0OB6vf 
[33369] SELL,g3Xh0OB6vf,KDA,301.81 
[33439] SET_SELL_TRIGGER,g3Xh0OB6vf,XLV,183.65 
[33534] BUY,g3Xh0OB6vf,TYV,12.02 
[33615] COMMIT_BUY,g3Xh0OB6vf 
[33713] DISPLAY_SUMMARY,g3Xh0OB6vf 
[33723] CANCEL_SELL,g3Xh0OB6vf 
[33914] DISPLAY_SUMMARY,g3Xh0OB6vf 
[34122] SET_SELL_TRIGGER,g3Xh0OB6vf,DMW,144.90 
[34279] SELL,g3Xh0OB6vf,RNK,341.32 
[34496] QUOTE,g3Xh0OB6vf,GWF 
[34672] DISPLAY_SUMMARY,g3Xh0OB6vf 
[34838] SET_BUY_TRIGGER,g3Xh0OB6vf,ERF,338.45 
[34943] ADD,g3Xh0OB6vf,57497.10 
[34986] QUOTE,g3Xh0OB6vf,OSA 
[35057] BUY,g3Xh0OB6vf,ROW,138.49 
[35080] CANCEL_BUY,g3Xh0OB6vf 
[35095] CANCEL_SET_BUY,g3Xh0OB6vf,MOM 
[35115] SET_SELL_AMOUNT,g3Xh0OB6vf,RGH,695.08 
[35157] SET_SELL_TRIGGER,g3Xh0OB6vf,RGH,309.90 
[35234] DISPLAY_SUMMARY,g3Xh0OB6vf 
[35279] DISPLAY_SUMMARY,g3Xh0OB6vf 
[35326] CANCEL_SET_SELL,g3Xh0OB6vf,MGO 
[35396] ADD,g3Xh0OB6vf,61717.07 
[35479] QUOTE,g3Xh0OB6vf,VJV 
[35564] SELL,g3Xh0OB6vf,OEY,297.95 
[35665] COMMIT_SELL,g3Xh0OB6vf 
[35722] SELL,g3Xh0OB6vf,JVT,375.06 
[35799] COMMIT_SELL,g3Xh0OB6vf 
[35807] ADD,g3Xh0OB6vf,36196.20 
[35857] BUY,g3Xh0OB6vf,XII,173.60 
[35996] ADD,g3Xh0OB6vf,66390.83 
[36023] QUOTE,g3Xh0OB6vf,ROW 
[36166] BUY,g3Xh0OB6vf,XLV,211.64 
[36232] COMMIT_BUY,g3Xh0OB6vf 
[36268] BUY,g3Xh0OB6vf,WCY,632.39 
[36273] SET_BUY_TRIGGER,g3Xh0OB6vf,NEV,140.58 
[36355] SET_SELL_AMOUNT,g3Xh0OB6vf,OPN,13.01 
[36532] SET_SELL_TRIGGER,g3Xh0OB6vf,OPN,5.86 
[36589] SET_BUY_AMOUNT,g3Xh0OB6vf,KDA,736.58 
[36614] SET_BUY_TRIGGER,g3Xh0OB6vf,MWJ,280.17 
[36633] SET_SELL_AMOUNT,g3Xh0OB6vf,JRJ,108.96 
[36796] SET_SELL_TRIGGER,g3Xh0OB6vf,JRJ,39.40 
[37246] SET_SELL_AMOUNT,g3Xh0OB6vf,GYF,22.84 
[37305] SET_SELL_TRIGGER,g3Xh0OB6vf,GYF,21.28 
[37339] ADD,g3Xh0OB6vf,65839.01 
[37360] BUY,g3Xh0OB6vf,KMV,272.26 
[37382] CANCEL_BUY,g3Xh0OB6vf 
[37386] SELL,g3Xh0OB6vf,QAX,538.26 
[37491] COMMIT_SELL,g3Xh0OB6vf 
[37616] ADD,g3Xh0OB6vf,47472.99 
[37766] BUY,g3Xh0OB6vf,WKG,600.08 
[37867] COMMIT_BUY,g3Xh0OB6vf 
[37968] ADD,g3Xh0OB6vf,61907.59 
[38216] BUY,g3Xh0OB6vf,YUL,578.73 
[38666] COMMIT_BUY,g3Xh0OB6vf 
[38782] SET_BUY_AMOUNT,g3Xh0OB6vf,CSZ,679.77 
[38906] CANCEL_SET_BUY,g3Xh0OB6vf,VWU 
[38960] QUOTE,g3Xh0OB6vf,DIX 
[39058] SET_BUY_AMOUNT,g3Xh0OB6vf,BCQ,426.42 
[39161] SET_BUY_TRIGGER,g3Xh0OB6vf,CNN,306.05 
[39189] ADD,g3Xh0OB6vf,64274.61 
[39537] BUY,g3Xh0OB6vf,NUV,194.57 
[39558] COMMIT_BUY,g3Xh0OB6vf 
[39626] ADD,g3Xh0OB6vf,84983.12 
[39748] BUY,g3Xh0OB6vf,GJR,429.93 
[39842] COMMIT_BUY,g3Xh0OB6vf 
[39869] DISPLAY_SUMMARY,g3Xh0OB6vf 
[39967] SET_SELL_AMOUNT,g3Xh0OB6vf,EBS,248.07 
[40273] QUOTE,g3Xh0OB6vf,OHS 
[40336] QUOTE,g3Xh0OB6vf,LGL 
[40359] ADD,g3Xh0OB6vf,85180.06 
[40567] QUOTE,g3Xh0OB6vf,NRY 
[40857] ADD,g3Xh0OB6vf,60063.31 
[40874] BUY,g3Xh0OB6vf,EDM,235.27 
[41067] CANCEL_SET_SELL,g3Xh0OB6vf,EBS 
[41069] DISPLAY_SUMMARY,g3Xh0OB6vf 
[41076] ADD,g3Xh0OB6vf,59376.79 
[41103] BUY,g3Xh0OB6vf,DMS,559.84 
[41109] COMMIT_BUY,g3Xh0OB6vf 
[41162] SELL,g3Xh0OB6vf,SUS,595.99 
[41293] COMMIT_SELL,g3Xh0OB6vf 
[41467] ADD,g3Xh0OB6vf,52991.02 
[41530] BUY,g3Xh0OB6vf,BWR,193.65 
[41575] QUOTE,g3Xh0OB6vf,JJW 
[41681] SET_SELL_TRIGGER,g3Xh0OB6vf,KDG,142.50 
[41683] DISPLAY_SUMMARY,g3Xh0OB6vf 
[41704] DISPLAY_SUMMARY,g3Xh0OB6vf 
[41804] SET_BUY_AMOUNT,g3Xh0OB6vf,RUN,221.52 
[41807] CANCEL_SET_BUY,g3Xh0OB6vf,PVZ 
[41820] QUOTE,g3Xh0OB6vf,AXK 
[41830] SET_BUY_AMOUNT,g3Xh0OB6vf,XLK,553.34 
[41869] SET_BUY_TRIGGER,g3Xh0OB6vf,LUD,358.06 
[41899] ADD,g3Xh0OB6vf,70114.28 
[42218] BUY,g3Xh0OB6vf,FPP,150.85 
[42238] COMMIT_SELL,g3Xh0OB6vf 
[42260] SET_BUY_AMOUNT,g3Xh0OB6vf,DFE,546.20 
[42675] SELL,g3Xh0OB6vf,BYA,506.43 
[42706] SET_SELL_TRIGGER,g3Xh0OB6vf,OZT,99.57 
[42956] SET_BUY_TRIGGER,g3Xh0OB6vf,BLC,434.50 
[43016] SET_BUY_AMOUNT,g3Xh0OB6vf,FQP,528.73 
[43167] SET_BUY_TRIGGER,g3Xh0OB6vf,OSC,209.92 
[43169] SET_BUY_TRIGGER,g3Xh0OB6vf,JMX,171.52 
[43385] QUOTE,g3Xh0OB6vf,MMF 
[43404] BUY,g3Xh0OB6vf,HZA,370.98 
[43422] COMMIT_BUY,g3Xh0OB6vf 
[43450] ADD,g3Xh0OB6vf,100407.37 
[43709] QUOTE,g3Xh0OB6vf,JQG 
[43713] QUOTE,g3Xh0OB6vf,NGB 
[43764] SET_BUY_AMOUNT,g3Xh0OB6vf,RUN,585.13 
[43899] DISPLAY_SUMMARY,g3Xh0OB6vf 
[43951] SET_BUY_TRIGGER,g3Xh0OB6vf,ZQW,456.05 
[44259] BUY,g3Xh0OB6vf,CBO,101.25 
[44278] CANCEL_SET_BUY,g3Xh0OB6vf,XXT 
[44465] ADD,g3Xh0OB6vf,52246.16 
[44472] QUOTE,g3Xh0OB6vf,KVJ 
[44487] SET_BUY_AMOUNT,g3Xh0OB6vf,FQP,600.06 
[44646] SET_BUY_TRIGGER,g3Xh0OB6vf,YTT,97.18 
[44695] CANCEL_BUY,g3Xh0OB6vf 
[44697] SET_BUY_AMOUNT,g3Xh0OB6vf,QAX,57.41 
[44852] SET_BUY_TRIGGER,g3Xh0OB6vf,CUZ,34.46 
[44880] SET_SELL_AMOUNT,g3Xh0OB6vf,SUS,531.14 
[44945] SET_SELL_TRIGGER,g3Xh0OB6vf,SUS,459.71 
[45058] DISPLAY_SUMMARY,g3Xh0OB6vf 
[45157] ADD,g3Xh0OB6vf,73476.29 
[45421] BUY,g3Xh0OB6vf,KIP,242.04 
[45570] COMMIT_BUY,g3Xh0OB6vf 
[45598] SET_BUY_TRIGGER,g3Xh0OB6vf,DES,158.54 
[45661] SET_BUY_TRIGGER,g3Xh0OB6vf,YTT,79.34 
[45682] SET_BUY_TRIGGER,g3Xh0OB6vf,GED,178.29 
[45931] BUY,g3Xh0OB6vf,MXD,127.07 
[46062] COMMIT_BUY,g3Xh0OB6vf 
[46122] SET_SELL_TRIGGER,g3Xh0OB6vf,FZB,111.77 
[46149] ADD,g3Xh0OB6vf,55062.95 
[46184] BUY,g3Xh0OB6vf,WCR,248.30 
[46309] COMMIT_BUY,g3Xh0OB6vf 
