[49] ADD,km22Ao7dfo,69757.94 
[3805] SET_BUY_AMOUNT,km22Ao7dfo,QJZ,539.58 
[4055] SET_BUY_TRIGGER,km22Ao7dfo,FSD,198.46 
[4373] SELL,km22Ao7dfo,KDA,398.50 
[4382] COMMIT_SELL,km22Ao7dfo 
[4427] SET_BUY_TRIGGER,km22Ao7dfo,CLP,126.66 
[4500] DISPLAY_SUMMARY,km22Ao7dfo 
[4533] CANCEL_SET_SELL,km22Ao7dfo,PFN 
[4629] SET_BUY_TRIGGER,km22Ao7dfo,GSW,120.77 
[4636] ADD,km22Ao7dfo,50157.54 
[4833] BUY,km22Ao7dfo,TYV,344.54 
[4926] ADD,km22Ao7dfo,59085.30 
[4979] BUY,km22Ao7dfo,DFE,65.16 
[5144] COMMIT_BUY,km22Ao7dfo 
[5171] QUOTE,km22Ao7dfo,WKG 
[5302] DISPLAY_SUMMARY,km22Ao7dfo 
[5318] ADD,km22Ao7dfo,93027.85 
[5372] QUOTE,km22Ao7dfo,YAV 
[5642] SELL,km22Ao7dfo,FQP,666.69 
[5712] CANCEL_SELL,km22Ao7dfo 
[5742] SET_BUY_TRIGGER,km22Ao7dfo,CNN,52.78 
[5793] QUOTE,km22Ao7dfo,SAR 
[6068] SET_BUY_AMOUNT,km22Ao7dfo,KDA,552.18 
[6521] SET_BUY_TRIGGER,km22Ao7dfo,LNJ,521.19 
[6611] ADD,km22Ao7dfo,34041.54 
[7072] COMMIT_SELL,km22Ao7dfo 
[7135] CANCEL_SET_SELL,km22Ao7dfo,UMV 
[7414] QUOTE,km22Ao7dfo,NDO 
[7538] QUOTE,km22Ao7dfo,OBR 
[7613] BUY,km22Ao7dfo,NIR,44.56 
[7627] SELL,km22Ao7dfo,KES,635.82 
[7751] COMMIT_SELL,km22Ao7dfo 
[7898] DISPLAY_SUMMARY,km22Ao7dfo 
[7908] ADD,km22Ao7dfo,92357.62 
[8038] BUY,km22Ao7dfo,CLQ,484.68 
[8079] COMMIT_BUY,km22Ao7dfo 
[8109] BUY,km22Ao7dfo,JGG,69.58 
[8169] COMMIT_BUY,km22Ao7dfo 
[8257] SET_SELL_AMOUNT,km22Ao7dfo,QJZ,480.05 
[8392] SET_SELL_TRIGGER,km22Ao7dfo,QJZ,323.61 
[8462] ADD,km22Ao7dfo,71338.59 
[8472] QUOTE,km22Ao7dfo,AUX 
[8501] SET_BUY_TRIGGER,km22Ao7dfo,PHJ,120.10 
[8516] BUY,km22Ao7dfo,MIR,182.44 
[8566] SET_SELL_TRIGGER,km22Ao7dfo,MRK,87.25 
[8583] SET_BUY_AMOUNT,km22Ao7dfo,KDA,212.24 
[8618] SET_BUY_TRIGGER,km22Ao7dfo,XPX,135.52 
[8789] BUY,km22Ao7dfo,PXF,725.39 
[8795] COMMIT_BUY,km22Ao7dfo 
[8810] BUY,km22Ao7dfo,UMN,403.80 
[8898] QUOTE,km22Ao7dfo,FGF 
[9159] BUY,km22Ao7dfo,LLF,511.35 
[9171] SET_SELL_TRIGGER,km22Ao7dfo,WUL,14.62 
[9180] SET_BUY_AMOUNT,km22Ao7dfo,KES,108.54 
[9252] SET_BUY_TRIGGER,km22Ao7dfo,DLQ,84.47 
[9255] QUOTE,km22Ao7dfo,RVU 
[9282] BUY,km22Ao7dfo,DRO,329.27 
[9289] SET_SELL_TRIGGER,km22Ao7dfo,BFU,83.39 
[9527] CANCEL_SET_BUY,km22Ao7dfo,BJL 
[9571] SET_BUY_TRIGGER,km22Ao7dfo,MHQ,41.46 
[9704] DISPLAY_SUMMARY,km22Ao7dfo 
[9795] QUOTE,km22Ao7dfo,HNW 
[9919] SELL,km22Ao7dfo,JVT,433.55 
[9952] COMMIT_SELL,km22Ao7dfo 
[9957] SELL,km22Ao7dfo,FQP,69.26 
[10115] CANCEL_SELL,km22Ao7dfo 
[10141] ADD,km22Ao7dfo,57744.83 
[10325] QUOTE,km22Ao7dfo,JXW 
[10417] DISPLAY_SUMMARY,km22Ao7dfo 
[10451] SET_SELL_AMOUNT,km22Ao7dfo,QJZ,48.88 
[10542] SET_SELL_TRIGGER,km22Ao7dfo,QJZ,43.63 
[10777] SET_BUY_AMOUNT,km22Ao7dfo,FQP,400.31 
[10867] SET_BUY_TRIGGER,km22Ao7dfo,IOY,86.56 
[11073] ADD,km22Ao7dfo,76365.05 
[11152] QUOTE,km22Ao7dfo,PUU 
[11160] BUY,km22Ao7dfo,AJL,150.14 
[11434] SET_SELL_AMOUNT,km22Ao7dfo,QJZ,279.79 
[11583] SET_SELL_TRIGGER,km22Ao7dfo,QJZ,59.68 
[11676] ADD,km22Ao7dfo,70128.21 
[11703] BUY,km22Ao7dfo,VTY,357.31 
[11874] ADD,km22Ao7dfo,76079.49 
[11968] BUY,km22Ao7dfo,MWV,570.21 
[12154] COMMIT_BUY,km22Ao7dfo 
[12382] QUOTE,km22Ao7dfo,AUX 
[12473] COMMIT_SELL,km22Ao7dfo 
[12605] SET_BUY_TRIGGER,km22Ao7dfo,FQG,38.75 
[12617] SET_SELL_TRIGGER,km22Ao7dfo,ETJ,192.87 
[12648] SET_SELL_TRIGGER,km22Ao7dfo,NIR,3.98 
[12660] ADD,km22Ao7dfo,49600.99 
[12661] BUY,km22Ao7dfo,HTN,321.65 
[12690] CANCEL_SET_SELL,km22Ao7dfo,DED 
[12724] SET_SELL_AMOUNT,km22Ao7dfo,GYF,267.87 
[12808] SET_SELL_TRIGGER,km22Ao7dfo,GYF,18.97 
[12924] SET_SELL_AMOUNT,km22Ao7dfo,OEY,735.45 
[12969] SET_SELL_TRIGGER,km22Ao7dfo,OEY,175.23 
[13163] SELL,km22Ao7dfo,KES,98.24 
[13624] SET_BUY_AMOUNT,km22Ao7dfo,KES,270.04 
[13695] SET_BUY_TRIGGER,km22Ao7dfo,BPK,4.48 
[13756] DISPLAY_SUMMARY,km22Ao7dfo 
[13839] SET_BUY_TRIGGER,km22Ao7dfo,XQC,146.66 
[13850] SET_SELL_TRIGGER,km22Ao7dfo,TKM,119.86 
[13890] SELL,km22Ao7dfo,JVT,218.95 
[14160] CANCEL_SELL,km22Ao7dfo 
[14347] DISPLAY_SUMMARY,km22Ao7dfo 
[14367] QUOTE,km22Ao7dfo,JFJ 
[14378] SET_SELL_AMOUNT,km22Ao7dfo,JCQ,218.41 
[14403] SET_SELL_TRIGGER,km22Ao7dfo,JCQ,216.45 
[14498] DISPLAY_SUMMARY,km22Ao7dfo 
[14533] SET_BUY_AMOUNT,km22Ao7dfo,GYF,455.87 
[14974] SET_BUY_TRIGGER,km22Ao7dfo,OOI,265.66 
[14988] ADD,km22Ao7dfo,81463.48 
[15219] QUOTE,km22Ao7dfo,TVX 
[15267] BUY,km22Ao7dfo,AUT,123.52 
[15363] COMMIT_BUY,km22Ao7dfo 
[15444] SELL,km22Ao7dfo,EBS,35.25 
[15573] CANCEL_SELL,km22Ao7dfo 
[15784] SELL,km22Ao7dfo,QJZ,695.00 
[15878] DISPLAY_SUMMARY,km22Ao7dfo 
[15951] SELL,km22Ao7dfo,OEY,319.99 
[15993] COMMIT_SELL,km22Ao7dfo 
[16002] ADD,km22Ao7dfo,76009.47 
[16120] BUY,km22Ao7dfo,MIU,540.08 
[16157] COMMIT_BUY,km22Ao7dfo 
[16167] ADD,km22Ao7dfo,74383.52 
[16193] QUOTE,km22Ao7dfo,SYM 
[16433] SET_BUY_AMOUNT,km22Ao7dfo,QJZ,635.54 
[16458] SET_BUY_TRIGGER,km22Ao7dfo,JOJ,460.21 
[16531] ADD,km22Ao7dfo,49401.07 
[16681] BUY,km22Ao7dfo,DBS,106.49 
[16796] COMMIT_BUY,km22Ao7dfo 
[16964] SET_SELL_AMOUNT,km22Ao7dfo,EBS,555.23 
[17053] SET_SELL_TRIGGER,km22Ao7dfo,EBS,43.34 
[17066] BUY,km22Ao7dfo,URA,354.45 
[17278] COMMIT_BUY,km22Ao7dfo 
[17391] SET_BUY_TRIGGER,km22Ao7dfo,GLJ,115.47 
[17433] ADD,km22Ao7dfo,71496.83 
[17703] BUY,km22Ao7dfo,XLV,604.62 
[17725] COMMIT_BUY,km22Ao7dfo 
[17931] BUY,km22Ao7dfo,WSR,306.70 
[18318] COMMIT_BUY,km22Ao7dfo 
[18349] SET_BUY_AMOUNT,km22Ao7dfo,OEY,678.24 
[18427] SET_BUY_TRIGGER,km22Ao7dfo,KPP,401.63 
[18483] SET_BUY_AMOUNT,km22Ao7dfo,JRJ,572.68 
[18494] SET_BUY_TRIGGER,km22Ao7dfo,YBP,50.56 
[18626] CANCEL_SET_BUY,km22Ao7dfo,QNK 
[18662] DISPLAY_SUMMARY,km22Ao7dfo 
[18670] CANCEL_SELL,km22Ao7dfo 
[18769] SET_SELL_AMOUNT,km22Ao7dfo,JQO,327.60 
[18868] SET_SELL_TRIGGER,km22Ao7dfo,JQO,120.81 
[19033] SET_SELL_AMOUNT,km22Ao7dfo,JVT,102.68 
[19248] SELL,km22Ao7dfo,GYF,319.88 
[19271] COMMIT_SELL,km22Ao7dfo 
[19454] SET_BUY_TRIGGER,km22Ao7dfo,NFL,187.65 
[19607] DISPLAY_SUMMARY,km22Ao7dfo 
[19852] SET_SELL_AMOUNT,km22Ao7dfo,UTV,338.00 
[19952] SET_SELL_TRIGGER,km22Ao7dfo,UTV,261.77 
[19955] BUY,km22Ao7dfo,JMX,550.74 
[19965] SET_SELL_AMOUNT,km22Ao7dfo,KES,472.54 
[20238] SET_SELL_TRIGGER,km22Ao7dfo,KES,239.13 
[20620] SET_BUY_AMOUNT,km22Ao7dfo,KDA,160.60 
[20665] CANCEL_SET_BUY,km22Ao7dfo,WZM 
[20702] BUY,km22Ao7dfo,URA,299.31 
[20863] COMMIT_BUY,km22Ao7dfo 
[20883] DISPLAY_SUMMARY,km22Ao7dfo 
[20918] SET_SELL_AMOUNT,km22Ao7dfo,KDA,610.48 
[20922] SET_SELL_TRIGGER,km22Ao7dfo,KDA,113.14 
[20985] ADD,km22Ao7dfo,77812.24 
[21017] BUY,km22Ao7dfo,EBS,530.86 
[21061] CANCEL_BUY,km22Ao7dfo 
[21142] ADD,km22Ao7dfo,49262.68 
[21196] BUY,km22Ao7dfo,OYS,62.40 
[21209] DISPLAY_SUMMARY,km22Ao7dfo 
[21263] SET_BUY_AMOUNT,km22Ao7dfo,KDA,99.76 
[21271] SET_BUY_TRIGGER,km22Ao7dfo,PNP,96.17 
[21284] DISPLAY_SUMMARY,km22Ao7dfo 
[21294] SET_BUY_TRIGGER,km22Ao7dfo,KZZ,73.46 
[21314] BUY,km22Ao7dfo,MLT,694.05 
[21420] CANCEL_BUY,km22Ao7dfo 
[21620] SET_SELL_AMOUNT,km22Ao7dfo,JCQ,698.30 
[21729] SET_SELL_TRIGGER,km22Ao7dfo,JCQ,150.56 
[21746] SET_SELL_TRIGGER,km22Ao7dfo,ZOZ,172.84 
[21889] SET_SELL_AMOUNT,km22Ao7dfo,QJZ,56.65 
[21919] DISPLAY_SUMMARY,km22Ao7dfo 
[22007] CANCEL_SET_BUY,km22Ao7dfo,MMF 
[22119] SET_SELL_TRIGGER,km22Ao7dfo,QJZ,13.33 
[22149] SET_BUY_AMOUNT,km22Ao7dfo,FQP,426.26 
[22307] QUOTE,km22Ao7dfo,CEC 
[22415] BUY,km22Ao7dfo,CCH,742.30 
[22469] SET_BUY_TRIGGER,km22Ao7dfo,OEN,309.43 
[22521] DISPLAY_SUMMARY,km22Ao7dfo 
[22744] ADD,km22Ao7dfo,71084.35 
[22771] QUOTE,km22Ao7dfo,NHB 
[22788] SELL,km22Ao7dfo,QAX,671.00 
[22802] CANCEL_SELL,km22Ao7dfo 
[22839] SELL,km22Ao7dfo,JQO,383.72 
[22849] COMMIT_SELL,km22Ao7dfo 
[22853] SELL,km22Ao7dfo,FQP,207.73 
[22892] COMMIT_SELL,km22Ao7dfo 
[22909] SET_BUY_AMOUNT,km22Ao7dfo,KDA,31.89 
[22998] SET_BUY_TRIGGER,km22Ao7dfo,LJM,29.46 
[23100] SET_SELL_AMOUNT,km22Ao7dfo,KDA,158.77 
[23140] SET_SELL_TRIGGER,km22Ao7dfo,KDA,98.82 
[23328] SET_BUY_AMOUNT,km22Ao7dfo,KES,227.79 
[23480] SET_BUY_TRIGGER,km22Ao7dfo,RQL,226.78 
[23520] QUOTE,km22Ao7dfo,RWY 
[23557] QUOTE,km22Ao7dfo,PSJ 
[23613] BUY,km22Ao7dfo,YPL,7.35 
[23770] COMMIT_BUY,km22Ao7dfo 
[23823] QUOTE,km22Ao7dfo,CZQ 
[23864] DISPLAY_SUMMARY,km22Ao7dfo 
[23905] SELL,km22Ao7dfo,FQP,728.24 
[24001] SELL,km22Ao7dfo,EBS,419.91 
[24072] COMMIT_SELL,km22Ao7dfo 
[24218] SET_SELL_TRIGGER,km22Ao7dfo,BHQ,53.29 
[24381] BUY,km22Ao7dfo,XPX,411.02 
[24484] COMMIT_BUY,km22Ao7dfo 
[24617] ADD,km22Ao7dfo,76695.32 
[24696] QUOTE,km22Ao7dfo,UDN 
[24717] BUY,km22Ao7dfo,OXV,611.86 
[24722] COMMIT_BUY,km22Ao7dfo 
[24792] SET_BUY_AMOUNT,km22Ao7dfo,JQO,80.55 
[24972] SET_BUY_TRIGGER,km22Ao7dfo,OLI,22.97 
[25019] SET_SELL_AMOUNT,km22Ao7dfo,LFU,679.21 
[25070] SET_SELL_TRIGGER,km22Ao7dfo,LFU,230.57 
[25182] ADD,km22Ao7dfo,89274.20 
[25293] QUOTE,km22Ao7dfo,ZNL 
[25561] QUOTE,km22Ao7dfo,GGI 
[25563] ADD,km22Ao7dfo,78625.91 
[25661] QUOTE,km22Ao7dfo,TGY 
[25754] BUY,km22Ao7dfo,OTQ,106.50 
[25871] DISPLAY_SUMMARY,km22Ao7dfo 
[25929] DISPLAY_SUMMARY,km22Ao7dfo 
[26035] ADD,km22Ao7dfo,77232.54 
[26184] QUOTE,km22Ao7dfo,HGG 
[26188] BUY,km22Ao7dfo,NHB,192.06 
[26295] COMMIT_BUY,km22Ao7dfo 
[26326] SELL,km22Ao7dfo,JCQ,427.86 
[26515] CANCEL_SET_BUY,km22Ao7dfo,WGV 
[26563] QUOTE,km22Ao7dfo,SZI 
[26620] DISPLAY_SUMMARY,km22Ao7dfo 
[26896] ADD,km22Ao7dfo,112380.19 
[26979] QUOTE,km22Ao7dfo,XOA 
[27004] BUY,km22Ao7dfo,YLZ,106.77 
[27109] COMMIT_BUY,km22Ao7dfo 
[27115] SET_SELL_TRIGGER,km22Ao7dfo,HCN,40.81 
[27128] DISPLAY_SUMMARY,km22Ao7dfo 
[27199] ADD,km22Ao7dfo,41248.93 
[27314] QUOTE,km22Ao7dfo,QAX 
[27347] CANCEL_SET_BUY,km22Ao7dfo,QAA 
[27485] QUOTE,km22Ao7dfo,TXB 
[27565] QUOTE,km22Ao7dfo,HQU 
[27763] BUY,km22Ao7dfo,VKB,6.95 
[27789] COMMIT_BUY,km22Ao7dfo 
[27856] SET_SELL_AMOUNT,km22Ao7dfo,BYA,198.62 
[27859] SELL,km22Ao7dfo,CUZ,331.99 
[27914] SET_SELL_AMOUNT,km22Ao7dfo,FQP,344.47 
[28016] SET_SELL_TRIGGER,km22Ao7dfo,FQP,289.49 
[28207] BUY,km22Ao7dfo,NKC,549.30 
[28297] COMMIT_SELL,km22Ao7dfo 
[28475] DISPLAY_SUMMARY,km22Ao7dfo 
[28791] SET_SELL_AMOUNT,km22Ao7dfo,OEY,486.75 
[28805] SET_SELL_TRIGGER,km22Ao7dfo,OEY,299.99 
[28982] QUOTE,km22Ao7dfo,QJC 
[29018] QUOTE,km22Ao7dfo,FKI 
[29137] SET_BUY_AMOUNT,km22Ao7dfo,QJZ,345.88 
[29336] BUY,km22Ao7dfo,FZB,413.74 
[29419] COMMIT_BUY,km22Ao7dfo 
[29996] SET_BUY_TRIGGER,km22Ao7dfo,QXW,333.69 
[30040] ADD,km22Ao7dfo,92573.68 
[30105] QUOTE,km22Ao7dfo,KHY 
[30121] SET_SELL_AMOUNT,km22Ao7dfo,CUZ,419.84 
[30141] SET_SELL_TRIGGER,km22Ao7dfo,CUZ,362.72 
[30252] SET_BUY_AMOUNT,km22Ao7dfo,CUZ,689.88 
[30354] DISPLAY_SUMMARY,km22Ao7dfo 
[30404] SELL,km22Ao7dfo,GYF,154.31 
[30437] CANCEL_SET_SELL,km22Ao7dfo,UTV 
[30439] SET_BUY_TRIGGER,km22Ao7dfo,LSW,84.44 
[30750] QUOTE,km22Ao7dfo,UCG 
[30758] BUY,km22Ao7dfo,IUN,197.64 
[30880] COMMIT_BUY,km22Ao7dfo 
[30937] SET_BUY_TRIGGER,km22Ao7dfo,ZGN,53.78 
[30949] SELL,km22Ao7dfo,FQP,403.66 
[30968] COMMIT_SELL,km22Ao7dfo 
[31113] BUY,km22Ao7dfo,VCN,66.85 
[31364] COMMIT_BUY,km22Ao7dfo 
[31463] DISPLAY_SUMMARY,km22Ao7dfo 
[31517] BUY,km22Ao7dfo,LPS,107.09 
[31616] SET_SELL_AMOUNT,km22Ao7dfo,DFE,724.35 
[31681] SET_SELL_TRIGGER,km22Ao7dfo,DFE,213.57 
[31724] SET_BUY_AMOUNT,km22Ao7dfo,JQO,303.16 
[31924] SET_BUY_TRIGGER,km22Ao7dfo,OBR,18.64 
[31963] BUY,km22Ao7dfo,VVW,458.05 
[31986] COMMIT_BUY,km22Ao7dfo 
[32028] BUY,km22Ao7dfo,NJI,612.52 
[32041] COMMIT_BUY,km22Ao7dfo 
[32100] ADD,km22Ao7dfo,77474.87 
[32160] DISPLAY_SUMMARY,km22Ao7dfo 
[32220] SET_BUY_TRIGGER,km22Ao7dfo,RNE,83.46 
[32317] SET_BUY_TRIGGER,km22Ao7dfo,GJR,17.38 
[32334] ADD,km22Ao7dfo,59229.77 
[32581] CANCEL_SELL,km22Ao7dfo 
[32626] DISPLAY_SUMMARY,km22Ao7dfo 
[32645] ADD,km22Ao7dfo,48150.57 
[32647] QUOTE,km22Ao7dfo,ZHB 
[32670] BUY,km22Ao7dfo,OTI,711.85 
[32708] COMMIT_BUY,km22Ao7dfo 
[32764] ADD,km22Ao7dfo,80550.17 
[32903] QUOTE,km22Ao7dfo,EOY 
[32967] QUOTE,km22Ao7dfo,PXX 
[33101] QUOTE,km22Ao7dfo,XZN 
[33219] BUY,km22Ao7dfo,KLY,678.11 
[33262] COMMIT_BUY,km22Ao7dfo 
[33410] BUY,km22Ao7dfo,EDW,200.48 
[33536] COMMIT_BUY,km22Ao7dfo 
[33571] BUY,km22Ao7dfo,DED,706.23 
[33725] QUOTE,km22Ao7dfo,PVZ 
[33800] SET_SELL_AMOUNT,km22Ao7dfo,EBS,1.84 
[33815] SET_SELL_TRIGGER,km22Ao7dfo,EBS,1.36 
[33816] ADD,km22Ao7dfo,70613.98 
[33920] QUOTE,km22Ao7dfo,POI 
[34079] ADD,km22Ao7dfo,48983.86 
[34248] BUY,km22Ao7dfo,BFL,20.07 
[34400] CANCEL_SELL,km22Ao7dfo 
[34723] ADD,km22Ao7dfo,58308.49 
[34763] CANCEL_SELL,km22Ao7dfo 
[34839] SET_BUY_TRIGGER,km22Ao7dfo,VIK,138.56 
[34993] SELL,km22Ao7dfo,PTP,363.95 
[35189] BUY,km22Ao7dfo,FDI,214.17 
[35290] CANCEL_SELL,km22Ao7dfo 
[35469] ADD,km22Ao7dfo,98072.10 
[35846] QUOTE,km22Ao7dfo,MMY 
[36006] QUOTE,km22Ao7dfo,QTH 
[36014] SET_BUY_AMOUNT,km22Ao7dfo,JVT,193.14 
[36096] SET_BUY_TRIGGER,km22Ao7dfo,ZCO,40.76 
[36185] SET_SELL_AMOUNT,km22Ao7dfo,LFU,373.47 
[36189] SET_SELL_TRIGGER,km22Ao7dfo,LFU,320.37 
[36424] BUY,km22Ao7dfo,RQF,260.75 
[36578] COMMIT_BUY,km22Ao7dfo 
[36592] QUOTE,km22Ao7dfo,LAM 
[36601] BUY,km22Ao7dfo,AUT,82.71 
[36620] COMMIT_BUY,km22Ao7dfo 
[37165] DISPLAY_SUMMARY,km22Ao7dfo 
[37166] DISPLAY_SUMMARY,km22Ao7dfo 
[37255] CANCEL_SELL,km22Ao7dfo 
[37326] SET_SELL_AMOUNT,km22Ao7dfo,KDA,586.62 
[37416] SELL,km22Ao7dfo,BYA,449.90 
[37429] BUY,km22Ao7dfo,YZH,658.43 
[37494] COMMIT_BUY,km22Ao7dfo 
[37519] CANCEL_SET_SELL,km22Ao7dfo,KDA 
[37586] DISPLAY_SUMMARY,km22Ao7dfo 
[37919] SET_SELL_AMOUNT,km22Ao7dfo,JCQ,298.17 
[37997] SET_SELL_TRIGGER,km22Ao7dfo,JCQ,58.52 
[38031] SET_BUY_TRIGGER,km22Ao7dfo,SCK,79.13 
[38044] QUOTE,km22Ao7dfo,FQP 
[38060] SET_BUY_AMOUNT,km22Ao7dfo,EBS,397.08 
[38172] SET_BUY_TRIGGER,km22Ao7dfo,KEV,27.43 
[38209] QUOTE,km22Ao7dfo,DVU 
[38222] BUY,km22Ao7dfo,AOH,170.31 
[38489] COMMIT_BUY,km22Ao7dfo 
[38668] BUY,km22Ao7dfo,KDG,427.75 
[38809] COMMIT_BUY,km22Ao7dfo 
[38858] QUOTE,km22Ao7dfo,PXX 
[38905] QUOTE,km22Ao7dfo,GXT 
[38918] BUY,km22Ao7dfo,XCL,702.83 
[39056] COMMIT_SELL,km22Ao7dfo 
[39165] SELL,km22Ao7dfo,RUN,659.93 
[39169] QUOTE,km22Ao7dfo,ZER 
[39171] QUOTE,km22Ao7dfo,XOP 
[39208] SET_SELL_AMOUNT,km22Ao7dfo,ZTI,575.33 
[39282] BUY,km22Ao7dfo,SAN,512.84 
[39386] CANCEL_BUY,km22Ao7dfo 
[39479] SET_BUY_AMOUNT,km22Ao7dfo,DFE,233.08 
[39546] SET_BUY_TRIGGER,km22Ao7dfo,OSA,142.97 
[39584] BUY,km22Ao7dfo,NDO,425.11 
[39598] DISPLAY_SUMMARY,km22Ao7dfo 
[39661] SELL,km22Ao7dfo,JCQ,124.24 
[39939] SET_BUY_TRIGGER,km22Ao7dfo,SPT,124.71 
[39989] COMMIT_SELL,km22Ao7dfo 
[40144] CANCEL_SET_SELL,km22Ao7dfo,ZTI 
[40179] DISPLAY_SUMMARY,km22Ao7dfo 
[40269] ADD,km22Ao7dfo,78266.71 
[40338] QUOTE,km22Ao7dfo,MRK 
[40458] DISPLAY_SUMMARY,km22Ao7dfo 
[40513] SET_SELL_TRIGGER,km22Ao7dfo,VBO,69.51 
[40545] SET_SELL_AMOUNT,km22Ao7dfo,OEY,630.60 
[40616] QUOTE,km22Ao7dfo,FIW 
[40904] CANCEL_SET_SELL,km22Ao7dfo,OEY 
[40917] BUY,km22Ao7dfo,JFJ,645.26 
[41106] COMMIT_SELL,km22Ao7dfo 
[41193] QUOTE,km22Ao7dfo,GHE 
[41263] DISPLAY_SUMMARY,km22Ao7dfo 
[41273] SET_BUY_AMOUNT,km22Ao7dfo,OPN,495.93 
[41279] SET_BUY_TRIGGER,km22Ao7dfo,ZMS,271.73 
[41442] ADD,km22Ao7dfo,81196.64 
[41518] BUY,km22Ao7dfo,BUL,662.13 
[41686] ADD,km22Ao7dfo,49213.13 
[41722] BUY,km22Ao7dfo,AMI,276.74 
[41726] CANCEL_BUY,km22Ao7dfo 
[41745] COMMIT_SELL,km22Ao7dfo 
[41756] SET_SELL_TRIGGER,km22Ao7dfo,MSV,129.23 
[42032] QUOTE,km22Ao7dfo,BWR 
[42120] ADD,km22Ao7dfo,70481.20 
[42163] QUOTE,km22Ao7dfo,CUQ 
[42372] SET_SELL_AMOUNT,km22Ao7dfo,ZAN,518.99 
[42484] SET_SELL_TRIGGER,km22Ao7dfo,ZAN,78.55 
[42496] ADD,km22Ao7dfo,42862.29 
[42558] BUY,km22Ao7dfo,VTY,619.16 
[42582] COMMIT_BUY,km22Ao7dfo 
[42592] SET_SELL_AMOUNT,km22Ao7dfo,DFE,560.38 
[42791] SET_SELL_TRIGGER,km22Ao7dfo,DFE,317.66 
[42892] DISPLAY_SUMMARY,km22Ao7dfo 
[43226] ADD,km22Ao7dfo,68576.19 
[43261] QUOTE,km22Ao7dfo,ENQ 
[43327] DISPLAY_SUMMARY,km22Ao7dfo 
[43418] SET_BUY_AMOUNT,km22Ao7dfo,GYF,544.87 
[43442] SELL,km22Ao7dfo,JCQ,361.24 
[43562] COMMIT_SELL,km22Ao7dfo 
[43623] ADD,km22Ao7dfo,60558.50 
[43724] QUOTE,km22Ao7dfo,VIG 
[43734] BUY,km22Ao7dfo,ZEG,66.28 
[43758] COMMIT_BUY,km22Ao7dfo 
[43805] DISPLAY_SUMMARY,km22Ao7dfo 
[43875] SET_SELL_TRIGGER,km22Ao7dfo,QVA,10.01 
[44115] BUY,km22Ao7dfo,KLE,63.55 
[44285] COMMIT_BUY,km22Ao7dfo 
[44286] SET_BUY_TRIGGER,km22Ao7dfo,NVX,152.50 
[44292] ADD,km22Ao7dfo,63923.72 
[44349] BUY,km22Ao7dfo,IBT,492.73 
[44440] BUY,km22Ao7dfo,LVT,731.43 
[44675] CANCEL_SELL,km22Ao7dfo 
[44727] QUOTE,km22Ao7dfo,TTY 
[45041] QUOTE,km22Ao7dfo,OAS 
[45127] BUY,km22Ao7dfo,RRT,707.21 
