[212] ADD,7Jo2brvLiF,94714.38 
[12020] SET_BUY_TRIGGER,7Jo2brvLiF,OZT,196.32 
[12116] COMMIT_BUY,7Jo2brvLiF 
[12376] DISPLAY_SUMMARY,7Jo2brvLiF 
[12391] DISPLAY_SUMMARY,7Jo2brvLiF 
[12518] SELL,7Jo2brvLiF,FQP,125.51 
[12631] CANCEL_SELL,7Jo2brvLiF 
[12666] SET_BUY_AMOUNT,7Jo2brvLiF,KDA,660.73 
[12706] CANCEL_SET_BUY,7Jo2brvLiF,WRN 
[12745] QUOTE,7Jo2brvLiF,LCP 
[12855] SET_SELL_AMOUNT,7Jo2brvLiF,GYF,704.71 
[12870] SET_SELL_TRIGGER,7Jo2brvLiF,GYF,110.11 
[12889] DISPLAY_SUMMARY,7Jo2brvLiF 
[12936] DISPLAY_SUMMARY,7Jo2brvLiF 
[13276] ADD,7Jo2brvLiF,85342.56 
[13358] QUOTE,7Jo2brvLiF,LSK 
[13410] SELL,7Jo2brvLiF,GYF,574.02 
[13464] COMMIT_SELL,7Jo2brvLiF 
[13547] BUY,7Jo2brvLiF,AVX,461.60 
[13926] COMMIT_BUY,7Jo2brvLiF 
[13992] ADD,7Jo2brvLiF,71849.64 
[14114] CANCEL_BUY,7Jo2brvLiF 
[14151] SET_BUY_TRIGGER,7Jo2brvLiF,ROW,44.35 
[14256] QUOTE,7Jo2brvLiF,KYX 
[14287] ADD,7Jo2brvLiF,84075.56 
[14338] QUOTE,7Jo2brvLiF,IUN 
[14525] SET_BUY_AMOUNT,7Jo2brvLiF,GYF,138.44 
[14544] SET_BUY_TRIGGER,7Jo2brvLiF,OZO,91.94 
[14593] SET_BUY_TRIGGER,7Jo2brvLiF,OGR,0.59 
[14650] SET_SELL_TRIGGER,7Jo2brvLiF,APY,139.54 
[14766] DISPLAY_SUMMARY,7Jo2brvLiF 
[14957] DISPLAY_SUMMARY,7Jo2brvLiF 
[15066] BUY,7Jo2brvLiF,IGT,209.04 
[15084] COMMIT_BUY,7Jo2brvLiF 
[15147] CANCEL_SET_BUY,7Jo2brvLiF,WYD 
[15500] BUY,7Jo2brvLiF,BHH,418.54 
[15508] COMMIT_BUY,7Jo2brvLiF 
[15510] DISPLAY_SUMMARY,7Jo2brvLiF 
[15532] COMMIT_SELL,7Jo2brvLiF 
[15745] ADD,7Jo2brvLiF,34898.85 
[15919] QUOTE,7Jo2brvLiF,TKV 
[16233] QUOTE,7Jo2brvLiF,NGG 
[16285] BUY,7Jo2brvLiF,TVI,543.25 
[16409] COMMIT_BUY,7Jo2brvLiF 
[16446] SET_BUY_AMOUNT,7Jo2brvLiF,JVT,478.76 
[16852] SET_BUY_TRIGGER,7Jo2brvLiF,HVE,250.79 
[16879] DISPLAY_SUMMARY,7Jo2brvLiF 
[16903] DISPLAY_SUMMARY,7Jo2brvLiF 
[17013] SET_BUY_TRIGGER,7Jo2brvLiF,WBL,13.86 
[17051] SET_BUY_AMOUNT,7Jo2brvLiF,JVT,65.22 
[17110] SET_BUY_TRIGGER,7Jo2brvLiF,NAR,4.63 
[17195] SET_SELL_AMOUNT,7Jo2brvLiF,GYF,266.93 
[17333] SET_SELL_TRIGGER,7Jo2brvLiF,GYF,190.04 
[17371] ADD,7Jo2brvLiF,95826.94 
[17521] SET_SELL_AMOUNT,7Jo2brvLiF,KES,256.83 
[17550] SET_SELL_TRIGGER,7Jo2brvLiF,KES,71.73 
[17816] QUOTE,7Jo2brvLiF,PST 
[17817] BUY,7Jo2brvLiF,DIX,291.70 
[17895] SET_BUY_TRIGGER,7Jo2brvLiF,QOD,26.20 
[17920] SET_BUY_AMOUNT,7Jo2brvLiF,FQP,698.46 
[18099] DISPLAY_SUMMARY,7Jo2brvLiF 
[18148] BUY,7Jo2brvLiF,RQF,564.57 
[18206] SET_SELL_TRIGGER,7Jo2brvLiF,MLU,110.65 
[18235] SET_BUY_TRIGGER,7Jo2brvLiF,ASJ,346.71 
[18331] BUY,7Jo2brvLiF,ISQ,533.14 
[18360] COMMIT_BUY,7Jo2brvLiF 
[18389] SET_SELL_AMOUNT,7Jo2brvLiF,QJZ,225.56 
[18517] SET_SELL_TRIGGER,7Jo2brvLiF,QJZ,213.37 
[18534] COMMIT_SELL,7Jo2brvLiF 
[18681] ADD,7Jo2brvLiF,86833.48 
[18751] BUY,7Jo2brvLiF,SYU,660.38 
[18765] COMMIT_BUY,7Jo2brvLiF 
[18931] SELL,7Jo2brvLiF,JRJ,632.97 
[18998] COMMIT_SELL,7Jo2brvLiF 
[19095] BUY,7Jo2brvLiF,LSK,635.81 
[19158] COMMIT_BUY,7Jo2brvLiF 
[19160] DISPLAY_SUMMARY,7Jo2brvLiF 
[19443] SET_BUY_TRIGGER,7Jo2brvLiF,NLT,68.23 
[19461] QUOTE,7Jo2brvLiF,CJV 
[19509] ADD,7Jo2brvLiF,61193.48 
[19617] BUY,7Jo2brvLiF,HSJ,139.00 
[19670] COMMIT_BUY,7Jo2brvLiF 
[19686] DISPLAY_SUMMARY,7Jo2brvLiF 
[20049] SELL,7Jo2brvLiF,EBS,200.36 
[20109] COMMIT_SELL,7Jo2brvLiF 
[20127] SET_BUY_TRIGGER,7Jo2brvLiF,JGG,5.21 
[20281] ADD,7Jo2brvLiF,61193.57 
[20656] QUOTE,7Jo2brvLiF,DQW 
[20891] BUY,7Jo2brvLiF,BTP,8.77 
[20994] COMMIT_BUY,7Jo2brvLiF 
[21010] DISPLAY_SUMMARY,7Jo2brvLiF 
[21029] SET_BUY_TRIGGER,7Jo2brvLiF,MVD,157.47 
[21033] ADD,7Jo2brvLiF,61041.85 
[21051] BUY,7Jo2brvLiF,ZGC,602.17 
[21133] CANCEL_SET_BUY,7Jo2brvLiF,RJG 
[21195] QUOTE,7Jo2brvLiF,GDF 
[21301] SET_BUY_AMOUNT,7Jo2brvLiF,ZAN,467.31 
[21329] SET_BUY_TRIGGER,7Jo2brvLiF,QAA,276.07 
[21422] SET_SELL_AMOUNT,7Jo2brvLiF,LFU,280.00 
[21444] SET_SELL_TRIGGER,7Jo2brvLiF,LFU,144.02 
[21638] QUOTE,7Jo2brvLiF,ZJB 
[21805] SET_SELL_AMOUNT,7Jo2brvLiF,OEY,603.93 
[21807] SET_SELL_TRIGGER,7Jo2brvLiF,OEY,495.94 
[21848] ADD,7Jo2brvLiF,79062.15 
[21865] QUOTE,7Jo2brvLiF,FLY 
[21908] BUY,7Jo2brvLiF,MHR,741.20 
[21974] SET_BUY_TRIGGER,7Jo2brvLiF,JII,0.93 
[22126] SET_BUY_TRIGGER,7Jo2brvLiF,LZV,9.61 
[22150] SET_SELL_TRIGGER,7Jo2brvLiF,OGR,25.66 
[22530] QUOTE,7Jo2brvLiF,UTV 
[22606] BUY,7Jo2brvLiF,PTP,366.14 
[22698] CANCEL_BUY,7Jo2brvLiF 
[22731] DISPLAY_SUMMARY,7Jo2brvLiF 
[22817] DISPLAY_SUMMARY,7Jo2brvLiF 
[22863] DISPLAY_SUMMARY,7Jo2brvLiF 
[22871] SELL,7Jo2brvLiF,QAX,366.41 
[22970] COMMIT_SELL,7Jo2brvLiF 
[22997] BUY,7Jo2brvLiF,BSZ,322.82 
[23011] CANCEL_SET_BUY,7Jo2brvLiF,MLT 
[23107] DISPLAY_SUMMARY,7Jo2brvLiF 
[23159] SELL,7Jo2brvLiF,LFU,500.22 
[23280] SET_BUY_TRIGGER,7Jo2brvLiF,MMY,110.55 
[23287] ADD,7Jo2brvLiF,48942.23 
[23330] BUY,7Jo2brvLiF,ZQW,736.33 
[23338] CANCEL_BUY,7Jo2brvLiF 
[23343] ADD,7Jo2brvLiF,65445.07 
[23464] BUY,7Jo2brvLiF,PHE,69.29 
[23474] COMMIT_BUY,7Jo2brvLiF 
[23654] SET_BUY_TRIGGER,7Jo2brvLiF,RRT,22.17 
[23741] BUY,7Jo2brvLiF,DPG,24.46 
[23795] COMMIT_BUY,7Jo2brvLiF 
[23837] SELL,7Jo2brvLiF,FQP,694.37 
[23899] COMMIT_BUY,7Jo2brvLiF 
[23948] CANCEL_SET_SELL,7Jo2brvLiF,IHA 
[24093] SELL,7Jo2brvLiF,JVT,572.69 
[24207] COMMIT_SELL,7Jo2brvLiF 
[24240] ADD,7Jo2brvLiF,92476.16 
[24325] SET_SELL_AMOUNT,7Jo2brvLiF,KES,603.30 
[24365] SET_SELL_TRIGGER,7Jo2brvLiF,KES,28.58 
[24456] DISPLAY_SUMMARY,7Jo2brvLiF 
[24475] CANCEL_SELL,7Jo2brvLiF 
[24561] QUOTE,7Jo2brvLiF,RJG 
[24630] BUY,7Jo2brvLiF,JFF,606.21 
[24711] COMMIT_BUY,7Jo2brvLiF 
[24782] SET_BUY_AMOUNT,7Jo2brvLiF,NHG,608.95 
[25058] SET_BUY_TRIGGER,7Jo2brvLiF,DHA,277.54 
[25186] ADD,7Jo2brvLiF,53192.49 
[25326] BUY,7Jo2brvLiF,XII,41.42 
[25354] SELL,7Jo2brvLiF,JRJ,698.67 
[25402] COMMIT_SELL,7Jo2brvLiF 
[25445] QUOTE,7Jo2brvLiF,OEN 
[25446] CANCEL_SET_SELL,7Jo2brvLiF,SDW 
[25498] QUOTE,7Jo2brvLiF,CDF 
[25605] SET_BUY_TRIGGER,7Jo2brvLiF,BTD,53.73 
[25711] ADD,7Jo2brvLiF,44572.16 
[25739] SELL,7Jo2brvLiF,LFU,196.93 
[26127] SET_BUY_TRIGGER,7Jo2brvLiF,CXB,53.78 
[26250] SELL,7Jo2brvLiF,ZAN,88.67 
[26328] SET_BUY_AMOUNT,7Jo2brvLiF,JCQ,558.55 
[26653] DISPLAY_SUMMARY,7Jo2brvLiF 
[26742] BUY,7Jo2brvLiF,TKV,84.61 
[26849] COMMIT_BUY,7Jo2brvLiF 
[26874] ADD,7Jo2brvLiF,73473.25 
[26907] BUY,7Jo2brvLiF,PMX,525.80 
[26978] COMMIT_BUY,7Jo2brvLiF 
[27094] QUOTE,7Jo2brvLiF,RRE 
[27099] SET_BUY_TRIGGER,7Jo2brvLiF,RUN,306.12 
[27259] SET_SELL_AMOUNT,7Jo2brvLiF,OEY,226.42 
[27747] SET_SELL_TRIGGER,7Jo2brvLiF,OEY,47.20 
[28055] ADD,7Jo2brvLiF,85587.29 
[28107] BUY,7Jo2brvLiF,OGB,87.95 
[28257] CANCEL_SET_SELL,7Jo2brvLiF,VVO 
[28371] SELL,7Jo2brvLiF,JVT,460.10 
[28429] COMMIT_SELL,7Jo2brvLiF 
[28444] SET_SELL_AMOUNT,7Jo2brvLiF,OEY,378.27 
[28481] SET_SELL_TRIGGER,7Jo2brvLiF,OEY,268.96 
[28655] SET_BUY_TRIGGER,7Jo2brvLiF,NGZ,69.83 
[28767] QUOTE,7Jo2brvLiF,SHP 
[28913] QUOTE,7Jo2brvLiF,KLE 
[29443] BUY,7Jo2brvLiF,WLT,324.59 
[29559] COMMIT_BUY,7Jo2brvLiF 
[29623] BUY,7Jo2brvLiF,MVY,288.70 
[29807] COMMIT_BUY,7Jo2brvLiF 
[29943] ADD,7Jo2brvLiF,82771.00 
[29958] QUOTE,7Jo2brvLiF,ZQS 
[30208] SET_SELL_TRIGGER,7Jo2brvLiF,EWP,138.58 
[30515] SET_SELL_AMOUNT,7Jo2brvLiF,BCQ,628.37 
[30695] SET_SELL_TRIGGER,7Jo2brvLiF,BCQ,9.41 
[30710] QUOTE,7Jo2brvLiF,VOY 
[30801] QUOTE,7Jo2brvLiF,JNO 
[30831] BUY,7Jo2brvLiF,KBI,623.30 
[30989] COMMIT_BUY,7Jo2brvLiF 
[31020] ADD,7Jo2brvLiF,84956.87 
[31318] COMMIT_BUY,7Jo2brvLiF 
[31397] QUOTE,7Jo2brvLiF,NTT 
[31450] SET_BUY_AMOUNT,7Jo2brvLiF,NHG,118.10 
[31687] CANCEL_SET_BUY,7Jo2brvLiF,GPM 
[31739] SET_BUY_TRIGGER,7Jo2brvLiF,LVT,173.28 
[31934] CANCEL_SET_SELL,7Jo2brvLiF,NGG 
[31957] BUY,7Jo2brvLiF,QUT,143.03 
[32008] CANCEL_BUY,7Jo2brvLiF 
[32024] ADD,7Jo2brvLiF,95847.46 
[32157] QUOTE,7Jo2brvLiF,CTS 
[32188] DISPLAY_SUMMARY,7Jo2brvLiF 
[32613] SET_SELL_TRIGGER,7Jo2brvLiF,QNW,119.86 
[32633] QUOTE,7Jo2brvLiF,PFK 
[32665] QUOTE,7Jo2brvLiF,JUG 
[32930] SET_SELL_TRIGGER,7Jo2brvLiF,GZQ,140.42 
[32954] SET_SELL_AMOUNT,7Jo2brvLiF,NHG,531.53 
[33002] SET_SELL_TRIGGER,7Jo2brvLiF,NHG,34.30 
[33138] BUY,7Jo2brvLiF,SPL,689.34 
[33147] CANCEL_BUY,7Jo2brvLiF 
[33155] ADD,7Jo2brvLiF,73213.95 
[33236] CANCEL_SET_SELL,7Jo2brvLiF,OOR 
[33297] QUOTE,7Jo2brvLiF,KZC 
[33299] COMMIT_SELL,7Jo2brvLiF 
[33303] SELL,7Jo2brvLiF,YJK,109.40 
[33340] SET_BUY_TRIGGER,7Jo2brvLiF,UDQ,36.11 
[33564] DISPLAY_SUMMARY,7Jo2brvLiF 
[33673] QUOTE,7Jo2brvLiF,JMG 
[33930] QUOTE,7Jo2brvLiF,CZQ 
[34071] BUY,7Jo2brvLiF,ZPD,154.16 
[34200] COMMIT_BUY,7Jo2brvLiF 
[34305] SET_SELL_TRIGGER,7Jo2brvLiF,BVN,28.03 
[34307] BUY,7Jo2brvLiF,VKP,724.81 
[34324] DISPLAY_SUMMARY,7Jo2brvLiF 
[34328] DISPLAY_SUMMARY,7Jo2brvLiF 
[34331] ADD,7Jo2brvLiF,62197.96 
[34359] QUOTE,7Jo2brvLiF,DWU 
[34666] CANCEL_SET_BUY,7Jo2brvLiF,MRH 
[34759] CANCEL_BUY,7Jo2brvLiF 
[34784] CANCEL_SET_SELL,7Jo2brvLiF,SKW 
[34934] BUY,7Jo2brvLiF,YWK,222.62 
[34955] CANCEL_SELL,7Jo2brvLiF 
[35017] BUY,7Jo2brvLiF,ECL,166.63 
[35104] COMMIT_BUY,7Jo2brvLiF 
[35120] BUY,7Jo2brvLiF,WRJ,594.98 
[35140] SET_SELL_AMOUNT,7Jo2brvLiF,QAX,289.86 
[35226] SET_SELL_TRIGGER,7Jo2brvLiF,QAX,169.34 
[35268] ADD,7Jo2brvLiF,62094.42 
[35311] QUOTE,7Jo2brvLiF,FZU 
[35336] BUY,7Jo2brvLiF,HIW,428.39 
[35537] SET_BUY_AMOUNT,7Jo2brvLiF,RGH,69.52 
[35540] QUOTE,7Jo2brvLiF,XXP 
[35602] DISPLAY_SUMMARY,7Jo2brvLiF 
[35786] BUY,7Jo2brvLiF,TVX,167.18 
[35894] QUOTE,7Jo2brvLiF,UDM 
[35902] QUOTE,7Jo2brvLiF,BWR 
[35919] BUY,7Jo2brvLiF,RVU,344.40 
[35927] CANCEL_BUY,7Jo2brvLiF 
[36301] SET_SELL_TRIGGER,7Jo2brvLiF,LPR,86.61 
[36494] SET_SELL_AMOUNT,7Jo2brvLiF,DFE,345.34 
[36703] SELL,7Jo2brvLiF,ZYR,653.16 
[36713] COMMIT_SELL,7Jo2brvLiF 
[36841] DISPLAY_SUMMARY,7Jo2brvLiF 
[36866] ADD,7Jo2brvLiF,45722.30 
[36996] BUY,7Jo2brvLiF,BFB,53.33 
[37049] COMMIT_BUY,7Jo2brvLiF 
[37223] SELL,7Jo2brvLiF,DFE,154.29 
[37309] QUOTE,7Jo2brvLiF,JEO 
[37424] SET_SELL_TRIGGER,7Jo2brvLiF,DFE,114.39 
[37510] SET_BUY_TRIGGER,7Jo2brvLiF,WSG,35.35 
[37567] BUY,7Jo2brvLiF,KNM,187.28 
[37751] DISPLAY_SUMMARY,7Jo2brvLiF 
[37799] SELL,7Jo2brvLiF,FQP,368.12 
[37870] COMMIT_SELL,7Jo2brvLiF 
[38064] CANCEL_SELL,7Jo2brvLiF 
[38125] DISPLAY_SUMMARY,7Jo2brvLiF 
[38264] CANCEL_SELL,7Jo2brvLiF 
[38385] DISPLAY_SUMMARY,7Jo2brvLiF 
[38440] SET_SELL_TRIGGER,7Jo2brvLiF,APY,25.21 
[38529] BUY,7Jo2brvLiF,LLZ,431.49 
[38823] COMMIT_BUY,7Jo2brvLiF 
[38950] COMMIT_BUY,7Jo2brvLiF 
[39035] ADD,7Jo2brvLiF,92460.90 
[39168] BUY,7Jo2brvLiF,OQZ,456.63 
[39222] COMMIT_BUY,7Jo2brvLiF 
[39348] SET_SELL_AMOUNT,7Jo2brvLiF,JVT,407.83 
[39373] SET_SELL_TRIGGER,7Jo2brvLiF,JVT,179.51 
[39394] SET_SELL_AMOUNT,7Jo2brvLiF,RUN,557.62 
[39475] SET_SELL_TRIGGER,7Jo2brvLiF,RUN,50.98 
[39508] SET_BUY_TRIGGER,7Jo2brvLiF,PCK,148.80 
[39545] DISPLAY_SUMMARY,7Jo2brvLiF 
[39697] QUOTE,7Jo2brvLiF,SPL 
[39764] QUOTE,7Jo2brvLiF,NAW 
[39826] QUOTE,7Jo2brvLiF,KLE 
[39838] ADD,7Jo2brvLiF,71840.24 
[39985] QUOTE,7Jo2brvLiF,BBD 
[40221] BUY,7Jo2brvLiF,GTB,395.61 
[40528] COMMIT_BUY,7Jo2brvLiF 
[40538] ADD,7Jo2brvLiF,79474.24 
[40579] QUOTE,7Jo2brvLiF,TOZ 
[40595] QUOTE,7Jo2brvLiF,PXX 
[40610] BUY,7Jo2brvLiF,OWH,170.25 
[40636] CANCEL_SET_SELL,7Jo2brvLiF,FYA 
[40696] BUY,7Jo2brvLiF,MOS,620.67 
[40743] COMMIT_BUY,7Jo2brvLiF 
[40852] BUY,7Jo2brvLiF,GPL,716.76 
[40860] COMMIT_BUY,7Jo2brvLiF 
[40942] QUOTE,7Jo2brvLiF,QXE 
[40964] QUOTE,7Jo2brvLiF,FQR 
[41079] QUOTE,7Jo2brvLiF,OPN 
[41108] BUY,7Jo2brvLiF,JQJ,381.25 
[41168] SET_BUY_AMOUNT,7Jo2brvLiF,QAX,374.14 
[41178] SET_BUY_TRIGGER,7Jo2brvLiF,RGM,38.33 
[41267] DISPLAY_SUMMARY,7Jo2brvLiF 
[41344] DISPLAY_SUMMARY,7Jo2brvLiF 
[41647] SELL,7Jo2brvLiF,DFE,176.26 
[41687] COMMIT_SELL,7Jo2brvLiF 
[41764] SET_BUY_AMOUNT,7Jo2brvLiF,PTP,286.65 
[41791] QUOTE,7Jo2brvLiF,NLT 
[41937] DISPLAY_SUMMARY,7Jo2brvLiF 
[42064] QUOTE,7Jo2brvLiF,ZJG 
[42099] CANCEL_BUY,7Jo2brvLiF 
[42134] ADD,7Jo2brvLiF,68586.57 
[42196] CANCEL_SET_SELL,7Jo2brvLiF,MVY 
[42302] DISPLAY_SUMMARY,7Jo2brvLiF 
[42548] ADD,7Jo2brvLiF,56110.88 
[43177] BUY,7Jo2brvLiF,KYT,128.00 
[43208] COMMIT_BUY,7Jo2brvLiF 
[43307] ADD,7Jo2brvLiF,62013.02 
[43456] QUOTE,7Jo2brvLiF,YBB 
[43480] QUOTE,7Jo2brvLiF,WFR 
[43534] CANCEL_SET_SELL,7Jo2brvLiF,LPR 
[43683] CANCEL_SET_BUY,7Jo2brvLiF,DWK 
[44042] ADD,7Jo2brvLiF,71601.74 
[44085] BUY,7Jo2brvLiF,JNO,251.05 
[44156] CANCEL_SET_SELL,7Jo2brvLiF,KGA 
[44189] SET_SELL_AMOUNT,7Jo2brvLiF,GYF,375.02 
[44294] SET_SELL_TRIGGER,7Jo2brvLiF,GYF,278.81 
[44548] QUOTE,7Jo2brvLiF,FLD 
[44561] BUY,7Jo2brvLiF,BPE,241.33 
[44784] CANCEL_SELL,7Jo2brvLiF 
[44924] ADD,7Jo2brvLiF,73405.86 
[44938] QUOTE,7Jo2brvLiF,RXB 
[45137] BUY,7Jo2brvLiF,GSW,219.46 
[45205] COMMIT_BUY,7Jo2brvLiF 
[45341] SET_SELL_TRIGGER,7Jo2brvLiF,BPE,88.73 
[45581] SELL,7Jo2brvLiF,QAX,306.59 
[45594] QUOTE,7Jo2brvLiF,XOA 
[45745] DISPLAY_SUMMARY,7Jo2brvLiF 
[45968] SET_BUY_TRIGGER,7Jo2brvLiF,IAV,185.96 
[46106] BUY,7Jo2brvLiF,TUO,31.96 
[46139] BUY,7Jo2brvLiF,OZT,570.06 
[46273] COMMIT_BUY,7Jo2brvLiF 
[46960] SET_SELL_TRIGGER,7Jo2brvLiF,QVK,18.46 
[46974] DISPLAY_SUMMARY,7Jo2brvLiF 
[47028] ADD,7Jo2brvLiF,51441.22 
[47093] BUY,7Jo2brvLiF,MWV,444.43 
[47104] DISPLAY_SUMMARY,7Jo2brvLiF 
[47113] DISPLAY_SUMMARY,7Jo2brvLiF 
[47277] SELL,7Jo2brvLiF,QJZ,419.73 
[47399] CANCEL_SELL,7Jo2brvLiF 
[47411] SELL,7Jo2brvLiF,DFE,164.12 
[48005] COMMIT_SELL,7Jo2brvLiF 
[48059] DISPLAY_SUMMARY,7Jo2brvLiF 
[48116] DISPLAY_SUMMARY,7Jo2brvLiF 
[48209] ADD,7Jo2brvLiF,73707.75 
[48211] BUY,7Jo2brvLiF,USW,746.92 
