[57] ADD,nV1jqGc3b6,70407.89 
[11564] SET_SELL_TRIGGER,nV1jqGc3b6,QJZ,214.14 
[11669] SET_SELL_TRIGGER,nV1jqGc3b6,UDQ,110.15 
[11901] CANCEL_SELL,nV1jqGc3b6 
[12115] SELL,nV1jqGc3b6,GYF,603.47 
[12153] SET_BUY_TRIGGER,nV1jqGc3b6,PVH,17.74 
[12485] SET_BUY_TRIGGER,nV1jqGc3b6,KWP,174.28 
[12548] QUOTE,nV1jqGc3b6,NHG 
[12590] COMMIT_BUY,nV1jqGc3b6 
[12683] ADD,nV1jqGc3b6,72471.79 
[12771] BUY,nV1jqGc3b6,KQZ,175.05 
[12856] COMMIT_BUY,nV1jqGc3b6 
[12865] DISPLAY_SUMMARY,nV1jqGc3b6 
[12942] SET_SELL_AMOUNT,nV1jqGc3b6,KDA,186.27 
[13051] CANCEL_SET_SELL,nV1jqGc3b6,KDA 
[13069] DISPLAY_SUMMARY,nV1jqGc3b6 
[13149] BUY,nV1jqGc3b6,LSG,198.68 
[13186] SET_SELL_TRIGGER,nV1jqGc3b6,WFR,46.76 
[13187] SET_BUY_AMOUNT,nV1jqGc3b6,KES,382.80 
[13191] SET_BUY_TRIGGER,nV1jqGc3b6,SAN,184.09 
[13210] SET_BUY_AMOUNT,nV1jqGc3b6,GYF,749.11 
[13295] SET_BUY_TRIGGER,nV1jqGc3b6,ZYF,591.06 
[13450] ADD,nV1jqGc3b6,72618.97 
[13653] BUY,nV1jqGc3b6,FIC,384.88 
[13860] COMMIT_BUY,nV1jqGc3b6 
[13893] ADD,nV1jqGc3b6,61942.08 
[13985] DISPLAY_SUMMARY,nV1jqGc3b6 
[14057] DISPLAY_SUMMARY,nV1jqGc3b6 
[14067] BUY,nV1jqGc3b6,ULL,363.22 
[14086] COMMIT_BUY,nV1jqGc3b6 
[14282] SET_BUY_AMOUNT,nV1jqGc3b6,JQO,271.71 
[14359] SET_BUY_TRIGGER,nV1jqGc3b6,QHF,201.45 
[14448] ADD,nV1jqGc3b6,63220.41 
[14676] QUOTE,nV1jqGc3b6,HQU 
[14707] CANCEL_BUY,nV1jqGc3b6 
[14717] SET_SELL_TRIGGER,nV1jqGc3b6,GRD,76.34 
[15157] SET_BUY_AMOUNT,nV1jqGc3b6,JCQ,617.46 
[15199] SET_BUY_TRIGGER,nV1jqGc3b6,ECI,571.24 
[15270] SET_BUY_AMOUNT,nV1jqGc3b6,FQP,501.64 
[15305] QUOTE,nV1jqGc3b6,YTT 
[15488] CANCEL_SET_BUY,nV1jqGc3b6,KZC 
[15571] SET_BUY_TRIGGER,nV1jqGc3b6,JVT,77.28 
[15669] BUY,nV1jqGc3b6,BYM,101.24 
[15685] COMMIT_BUY,nV1jqGc3b6 
[15741] SET_SELL_TRIGGER,nV1jqGc3b6,PWK,151.58 
[15757] ADD,nV1jqGc3b6,99062.87 
[16174] ADD,nV1jqGc3b6,67958.71 
[16326] BUY,nV1jqGc3b6,QHF,380.01 
[16385] QUOTE,nV1jqGc3b6,GED 
[16389] BUY,nV1jqGc3b6,QOD,437.92 
[16397] BUY,nV1jqGc3b6,WTD,693.22 
[16577] COMMIT_BUY,nV1jqGc3b6 
[16631] DISPLAY_SUMMARY,nV1jqGc3b6 
[16701] SET_BUY_AMOUNT,nV1jqGc3b6,QJZ,287.10 
[16836] SET_BUY_TRIGGER,nV1jqGc3b6,LLF,206.56 
[16901] DISPLAY_SUMMARY,nV1jqGc3b6 
[17209] SET_BUY_TRIGGER,nV1jqGc3b6,RKY,126.10 
[17292] DISPLAY_SUMMARY,nV1jqGc3b6 
[17334] ADD,nV1jqGc3b6,61474.27 
[17390] BUY,nV1jqGc3b6,GTB,284.56 
[17558] COMMIT_BUY,nV1jqGc3b6 
[17733] SELL,nV1jqGc3b6,JQO,683.69 
[17800] SET_SELL_TRIGGER,nV1jqGc3b6,KPE,81.20 
[17835] DISPLAY_SUMMARY,nV1jqGc3b6 
[17991] SET_BUY_AMOUNT,nV1jqGc3b6,JCQ,453.39 
[18116] SET_BUY_TRIGGER,nV1jqGc3b6,FXT,383.44 
[18266] DISPLAY_SUMMARY,nV1jqGc3b6 
[18332] SET_BUY_AMOUNT,nV1jqGc3b6,KDA,212.34 
[18404] SET_BUY_TRIGGER,nV1jqGc3b6,PUU,169.98 
[18682] SET_SELL_AMOUNT,nV1jqGc3b6,OEY,454.97 
[19121] SELL,nV1jqGc3b6,QJZ,101.20 
[19251] SELL,nV1jqGc3b6,GYF,244.94 
[19275] COMMIT_SELL,nV1jqGc3b6 
[19346] SET_SELL_TRIGGER,nV1jqGc3b6,OEY,70.60 
[19416] QUOTE,nV1jqGc3b6,PYB 
[19490] DISPLAY_SUMMARY,nV1jqGc3b6 
[19570] SET_BUY_TRIGGER,nV1jqGc3b6,ZDB,195.48 
[19667] SET_BUY_AMOUNT,nV1jqGc3b6,CUZ,158.84 
[19826] SET_BUY_TRIGGER,nV1jqGc3b6,KLY,74.53 
[19865] BUY,nV1jqGc3b6,HHC,340.84 
[19936] COMMIT_BUY,nV1jqGc3b6 
[20003] COMMIT_SELL,nV1jqGc3b6 
[20018] SET_SELL_AMOUNT,nV1jqGc3b6,EBS,627.71 
[20020] DISPLAY_SUMMARY,nV1jqGc3b6 
[20082] SET_BUY_TRIGGER,nV1jqGc3b6,MGO,17.36 
[20304] CANCEL_SET_SELL,nV1jqGc3b6,EBS 
[20325] BUY,nV1jqGc3b6,WCY,329.27 
[20395] COMMIT_BUY,nV1jqGc3b6 
[20457] BUY,nV1jqGc3b6,GHL,109.17 
[20807] CANCEL_BUY,nV1jqGc3b6 
[20861] SELL,nV1jqGc3b6,LFU,735.93 
[20909] COMMIT_SELL,nV1jqGc3b6 
[20942] ADD,nV1jqGc3b6,80789.08 
[21126] QUOTE,nV1jqGc3b6,OPN 
[21178] QUOTE,nV1jqGc3b6,YUR 
[21249] SET_BUY_AMOUNT,nV1jqGc3b6,QJZ,61.58 
[21368] SET_BUY_TRIGGER,nV1jqGc3b6,NJT,7.64 
[21435] BUY,nV1jqGc3b6,OBO,163.84 
[21546] CANCEL_BUY,nV1jqGc3b6 
[21572] ADD,nV1jqGc3b6,72848.34 
[21677] QUOTE,nV1jqGc3b6,SSF 
[21775] BUY,nV1jqGc3b6,PLA,437.60 
[21923] CANCEL_BUY,nV1jqGc3b6 
[21996] DISPLAY_SUMMARY,nV1jqGc3b6 
[22224] DISPLAY_SUMMARY,nV1jqGc3b6 
[22472] ADD,nV1jqGc3b6,99896.33 
[22493] CANCEL_SELL,nV1jqGc3b6 
[22753] SET_BUY_AMOUNT,nV1jqGc3b6,FQP,409.71 
[23015] SET_BUY_TRIGGER,nV1jqGc3b6,RUN,180.55 
[23082] SET_BUY_TRIGGER,nV1jqGc3b6,GHL,110.87 
[23206] SELL,nV1jqGc3b6,LFU,45.51 
[23225] COMMIT_SELL,nV1jqGc3b6 
[23263] ADD,nV1jqGc3b6,48467.78 
[23342] BUY,nV1jqGc3b6,FZU,70.64 
[23400] COMMIT_BUY,nV1jqGc3b6 
[23498] DISPLAY_SUMMARY,nV1jqGc3b6 
[23508] DISPLAY_SUMMARY,nV1jqGc3b6 
[23621] SET_BUY_TRIGGER,nV1jqGc3b6,ZSV,79.76 
[23651] SET_BUY_TRIGGER,nV1jqGc3b6,VUS,192.71 
[23713] BUY,nV1jqGc3b6,SOT,235.06 
[23894] COMMIT_BUY,nV1jqGc3b6 
[23942] QUOTE,nV1jqGc3b6,DMS 
[24089] ADD,nV1jqGc3b6,104200.43 
[24128] QUOTE,nV1jqGc3b6,UXP 
[24193] COMMIT_BUY,nV1jqGc3b6 
[24246] SET_BUY_TRIGGER,nV1jqGc3b6,GDO,63.96 
[24249] ADD,nV1jqGc3b6,73771.31 
[24290] BUY,nV1jqGc3b6,CBV,481.20 
[24360] COMMIT_BUY,nV1jqGc3b6 
[24599] SET_BUY_AMOUNT,nV1jqGc3b6,BYA,497.72 
[24661] QUOTE,nV1jqGc3b6,KBN 
[24695] ADD,nV1jqGc3b6,86098.99 
[24781] CANCEL_BUY,nV1jqGc3b6 
[24952] SET_SELL_AMOUNT,nV1jqGc3b6,DFE,277.02 
[24989] BUY,nV1jqGc3b6,OHG,243.50 
[25053] COMMIT_BUY,nV1jqGc3b6 
[25056] ADD,nV1jqGc3b6,56334.98 
[25153] COMMIT_BUY,nV1jqGc3b6 
[25273] COMMIT_BUY,nV1jqGc3b6 
[25305] SET_SELL_TRIGGER,nV1jqGc3b6,DFE,178.86 
[25320] SET_BUY_TRIGGER,nV1jqGc3b6,OAV,468.57 
[25478] ADD,nV1jqGc3b6,59933.71 
[25489] QUOTE,nV1jqGc3b6,GHE 
[25582] BUY,nV1jqGc3b6,VTY,211.05 
[25655] COMMIT_BUY,nV1jqGc3b6 
[25696] SELL,nV1jqGc3b6,LFU,654.47 
[25916] COMMIT_SELL,nV1jqGc3b6 
[25998] ADD,nV1jqGc3b6,82861.37 
[26034] COMMIT_BUY,nV1jqGc3b6 
[26268] SET_BUY_AMOUNT,nV1jqGc3b6,BCQ,86.10 
[26296] SET_BUY_TRIGGER,nV1jqGc3b6,SQI,7.91 
[26357] SET_BUY_TRIGGER,nV1jqGc3b6,RRE,133.61 
[26490] QUOTE,nV1jqGc3b6,KEV 
[26536] SET_BUY_AMOUNT,nV1jqGc3b6,UTV,455.89 
[26582] SET_BUY_TRIGGER,nV1jqGc3b6,GMS,336.92 
[26596] SET_BUY_AMOUNT,nV1jqGc3b6,KES,178.31 
[26601] SET_BUY_TRIGGER,nV1jqGc3b6,SYT,86.71 
[26604] ADD,nV1jqGc3b6,62589.00 
[26645] QUOTE,nV1jqGc3b6,NGG 
[26938] BUY,nV1jqGc3b6,RKQ,25.42 
[26950] COMMIT_BUY,nV1jqGc3b6 
[27001] DISPLAY_SUMMARY,nV1jqGc3b6 
[27312] SELL,nV1jqGc3b6,BCQ,300.66 
[27365] CANCEL_SET_BUY,nV1jqGc3b6,ATE 
[27376] BUY,nV1jqGc3b6,HSH,663.01 
[27428] CANCEL_SELL,nV1jqGc3b6 
[27473] QUOTE,nV1jqGc3b6,ISQ 
[27483] BUY,nV1jqGc3b6,HZE,173.16 
[27528] COMMIT_BUY,nV1jqGc3b6 
[27634] SET_SELL_AMOUNT,nV1jqGc3b6,RUN,721.71 
[27744] SET_SELL_TRIGGER,nV1jqGc3b6,RUN,644.88 
[27892] SET_BUY_AMOUNT,nV1jqGc3b6,JCQ,66.79 
[27978] SET_BUY_TRIGGER,nV1jqGc3b6,BBD,31.80 
[28015] SET_SELL_TRIGGER,nV1jqGc3b6,VGW,127.35 
[28134] QUOTE,nV1jqGc3b6,GAL 
[28171] BUY,nV1jqGc3b6,SEI,49.61 
[28335] COMMIT_BUY,nV1jqGc3b6 
[28339] ADD,nV1jqGc3b6,61117.59 
[28356] QUOTE,nV1jqGc3b6,YCH 
[28361] COMMIT_SELL,nV1jqGc3b6 
[28540] SET_SELL_TRIGGER,nV1jqGc3b6,MLT,162.57 
[28730] ADD,nV1jqGc3b6,75992.01 
[28751] SET_SELL_AMOUNT,nV1jqGc3b6,UTV,161.61 
[28848] SET_SELL_TRIGGER,nV1jqGc3b6,UTV,108.56 
[29077] COMMIT_SELL,nV1jqGc3b6 
[29119] SELL,nV1jqGc3b6,JQO,107.17 
[29471] SET_BUY_TRIGGER,nV1jqGc3b6,KLE,160.60 
[29600] ADD,nV1jqGc3b6,73560.88 
[29777] QUOTE,nV1jqGc3b6,KCA 
[29948] SET_BUY_TRIGGER,nV1jqGc3b6,JYV,123.46 
[29974] SELL,nV1jqGc3b6,JVT,731.19 
[30064] CANCEL_SELL,nV1jqGc3b6 
[30151] SET_BUY_AMOUNT,nV1jqGc3b6,ZTI,71.19 
[30746] SET_BUY_TRIGGER,nV1jqGc3b6,GCW,25.98 
[30803] BUY,nV1jqGc3b6,IKK,400.22 
[31094] COMMIT_BUY,nV1jqGc3b6 
[31114] DISPLAY_SUMMARY,nV1jqGc3b6 
[31283] SET_SELL_AMOUNT,nV1jqGc3b6,BCQ,715.74 
[31285] SELL,nV1jqGc3b6,CUZ,674.94 
[31305] CANCEL_SELL,nV1jqGc3b6 
[31332] SET_BUY_AMOUNT,nV1jqGc3b6,RGH,252.62 
[31375] SET_BUY_TRIGGER,nV1jqGc3b6,BPE,95.27 
[31539] SELL,nV1jqGc3b6,EBS,732.96 
[31553] COMMIT_SELL,nV1jqGc3b6 
[31599] QUOTE,nV1jqGc3b6,SYM 
[31713] QUOTE,nV1jqGc3b6,XWZ 
[31881] CANCEL_SELL,nV1jqGc3b6 
[32126] BUY,nV1jqGc3b6,TVX,361.27 
[32197] CANCEL_SET_BUY,nV1jqGc3b6,GHL 
[32239] SELL,nV1jqGc3b6,QAX,301.57 
[32247] CANCEL_SELL,nV1jqGc3b6 
[32603] DISPLAY_SUMMARY,nV1jqGc3b6 
[32660] SET_SELL_TRIGGER,nV1jqGc3b6,BCQ,677.98 
[32869] DISPLAY_SUMMARY,nV1jqGc3b6 
[33007] DISPLAY_SUMMARY,nV1jqGc3b6 
[33018] ADD,nV1jqGc3b6,51353.26 
[33021] BUY,nV1jqGc3b6,PMG,217.73 
[33166] COMMIT_SELL,nV1jqGc3b6 
[33558] SET_BUY_AMOUNT,nV1jqGc3b6,ZTI,260.18 
[33678] SET_BUY_TRIGGER,nV1jqGc3b6,PUU,124.36 
[33684] SET_SELL_TRIGGER,nV1jqGc3b6,UMV,136.27 
[33840] ADD,nV1jqGc3b6,91783.25 
[33848] QUOTE,nV1jqGc3b6,AVH 
[33947] ADD,nV1jqGc3b6,85925.89 
[33974] QUOTE,nV1jqGc3b6,PHE 
[34034] QUOTE,nV1jqGc3b6,LJY 
[34047] QUOTE,nV1jqGc3b6,KVJ 
[34073] DISPLAY_SUMMARY,nV1jqGc3b6 
[34085] ADD,nV1jqGc3b6,70071.88 
[34404] BUY,nV1jqGc3b6,SXB,303.48 
[34755] SET_BUY_TRIGGER,nV1jqGc3b6,ZMA,163.43 
[34798] SET_BUY_TRIGGER,nV1jqGc3b6,GAL,185.08 
[34947] DISPLAY_SUMMARY,nV1jqGc3b6 
[35011] DISPLAY_SUMMARY,nV1jqGc3b6 
[35310] ADD,nV1jqGc3b6,91030.85 
[35319] QUOTE,nV1jqGc3b6,KHY 
[35426] DISPLAY_SUMMARY,nV1jqGc3b6 
[35432] ADD,nV1jqGc3b6,73706.25 
[35454] BUY,nV1jqGc3b6,GSW,438.96 
[35472] COMMIT_BUY,nV1jqGc3b6 
[35606] COMMIT_SELL,nV1jqGc3b6 
[35615] SET_BUY_AMOUNT,nV1jqGc3b6,PTP,193.78 
[35680] SET_BUY_TRIGGER,nV1jqGc3b6,IZS,84.93 
[35962] SET_SELL_TRIGGER,nV1jqGc3b6,TVP,122.71 
[35981] CANCEL_SET_SELL,nV1jqGc3b6,VZB 
[36036] DISPLAY_SUMMARY,nV1jqGc3b6 
[36263] ADD,nV1jqGc3b6,69719.22 
[36367] BUY,nV1jqGc3b6,RFC,242.74 
[36418] COMMIT_BUY,nV1jqGc3b6 
[36500] BUY,nV1jqGc3b6,MMF,171.12 
[36544] COMMIT_SELL,nV1jqGc3b6 
[36556] SET_SELL_AMOUNT,nV1jqGc3b6,OEY,635.51 
[36609] SET_SELL_TRIGGER,nV1jqGc3b6,OEY,18.44 
[36830] SET_SELL_TRIGGER,nV1jqGc3b6,SCK,7.86 
[36850] SELL,nV1jqGc3b6,YJK,636.14 
[37012] SET_SELL_TRIGGER,nV1jqGc3b6,YOQ,115.35 
[37100] QUOTE,nV1jqGc3b6,BHQ 
[37107] SET_BUY_TRIGGER,nV1jqGc3b6,MWV,126.93 
[37293] SET_BUY_TRIGGER,nV1jqGc3b6,LZB,129.87 
[37448] SET_BUY_TRIGGER,nV1jqGc3b6,ZFJ,111.64 
[37535] DISPLAY_SUMMARY,nV1jqGc3b6 
[37707] BUY,nV1jqGc3b6,UBJ,621.23 
[37808] QUOTE,nV1jqGc3b6,TVX 
[37827] QUOTE,nV1jqGc3b6,XUY 
[37866] SET_BUY_TRIGGER,nV1jqGc3b6,ZCG,76.96 
[37998] QUOTE,nV1jqGc3b6,GZQ 
[38321] CANCEL_SET_BUY,nV1jqGc3b6,YGK 
[38414] COMMIT_SELL,nV1jqGc3b6 
[38447] DISPLAY_SUMMARY,nV1jqGc3b6 
[38476] SET_SELL_TRIGGER,nV1jqGc3b6,NVX,175.90 
[38494] DISPLAY_SUMMARY,nV1jqGc3b6 
[38562] SELL,nV1jqGc3b6,ZTI,506.51 
[38579] COMMIT_SELL,nV1jqGc3b6 
[38833] SET_SELL_AMOUNT,nV1jqGc3b6,BCQ,223.00 
[38887] SET_SELL_TRIGGER,nV1jqGc3b6,BCQ,172.85 
[39027] ADD,nV1jqGc3b6,48108.42 
[39322] QUOTE,nV1jqGc3b6,ZHB 
[39368] QUOTE,nV1jqGc3b6,OSC 
[39369] DISPLAY_SUMMARY,nV1jqGc3b6 
[39431] BUY,nV1jqGc3b6,YPL,221.98 
[39462] SET_BUY_TRIGGER,nV1jqGc3b6,KVJ,106.25 
[39488] SET_SELL_AMOUNT,nV1jqGc3b6,FQP,313.30 
[39575] QUOTE,nV1jqGc3b6,MMF 
[39618] QUOTE,nV1jqGc3b6,KXF 
[39658] CANCEL_SET_BUY,nV1jqGc3b6,IEQ 
[40040] ADD,nV1jqGc3b6,66594.71 
[40257] QUOTE,nV1jqGc3b6,VIK 
[40330] SET_BUY_TRIGGER,nV1jqGc3b6,KJD,173.72 
[40398] QUOTE,nV1jqGc3b6,MUN 
[40870] BUY,nV1jqGc3b6,RFC,229.97 
[40914] COMMIT_BUY,nV1jqGc3b6 
[40936] SELL,nV1jqGc3b6,BYA,262.63 
[41013] QUOTE,nV1jqGc3b6,IUN 
[41083] BUY,nV1jqGc3b6,POE,348.92 
[41306] CANCEL_BUY,nV1jqGc3b6 
[41357] DISPLAY_SUMMARY,nV1jqGc3b6 
[41421] SET_BUY_TRIGGER,nV1jqGc3b6,PBV,55.86 
[41433] SET_BUY_AMOUNT,nV1jqGc3b6,JCQ,477.15 
[41508] SET_BUY_TRIGGER,nV1jqGc3b6,DKV,334.94 
[41513] COMMIT_BUY,nV1jqGc3b6 
[41520] QUOTE,nV1jqGc3b6,IGI 
[41629] QUOTE,nV1jqGc3b6,RWM 
[41637] QUOTE,nV1jqGc3b6,MWV 
[41762] CANCEL_SET_SELL,nV1jqGc3b6,FQP 
[41963] QUOTE,nV1jqGc3b6,JUN 
[41992] ADD,nV1jqGc3b6,80200.46 
[42031] BUY,nV1jqGc3b6,KTU,94.66 
[42039] COMMIT_BUY,nV1jqGc3b6 
[42075] ADD,nV1jqGc3b6,68856.12 
[42091] BUY,nV1jqGc3b6,ZSV,593.11 
[42206] COMMIT_BUY,nV1jqGc3b6 
[42442] DISPLAY_SUMMARY,nV1jqGc3b6 
[42583] QUOTE,nV1jqGc3b6,ZYR 
[42631] BUY,nV1jqGc3b6,UTD,47.85 
[42635] CANCEL_SELL,nV1jqGc3b6 
[42713] SELL,nV1jqGc3b6,XXQ,233.47 
[42773] COMMIT_SELL,nV1jqGc3b6 
[42825] ADD,nV1jqGc3b6,58904.38 
[42868] BUY,nV1jqGc3b6,PVH,11.44 
[42937] SET_SELL_AMOUNT,nV1jqGc3b6,XXQ,69.72 
[43050] SET_SELL_TRIGGER,nV1jqGc3b6,XXQ,6.07 
[43066] ADD,nV1jqGc3b6,84421.47 
[43095] CANCEL_BUY,nV1jqGc3b6 
[43155] QUOTE,nV1jqGc3b6,WJB 
[43406] SET_BUY_TRIGGER,nV1jqGc3b6,HZA,4.13 
[43430] SET_SELL_TRIGGER,nV1jqGc3b6,NBX,32.32 
[43434] BUY,nV1jqGc3b6,MAX,384.27 
[43470] SET_SELL_AMOUNT,nV1jqGc3b6,KDA,19.54 
[43475] SET_SELL_TRIGGER,nV1jqGc3b6,KDA,0.40 
[43611] QUOTE,nV1jqGc3b6,IZU 
[43808] BUY,nV1jqGc3b6,FZU,43.22 
[43966] CANCEL_BUY,nV1jqGc3b6 
[44107] BUY,nV1jqGc3b6,WDC,143.12 
[44354] COMMIT_BUY,nV1jqGc3b6 
[44428] QUOTE,nV1jqGc3b6,CMA 
[44631] SET_BUY_TRIGGER,nV1jqGc3b6,AED,6.72 
[44709] SET_BUY_AMOUNT,nV1jqGc3b6,YJK,488.12 
[44716] SET_BUY_TRIGGER,nV1jqGc3b6,KJD,183.00 
[44774] SET_BUY_TRIGGER,nV1jqGc3b6,JKX,170.69 
