[293] ADD,ooUBBK63Qe,53157.82 
[5568] SET_BUY_TRIGGER,ooUBBK63Qe,NBX,393.48 
[5869] SET_SELL_AMOUNT,ooUBBK63Qe,QJZ,106.75 
[5998] SET_SELL_TRIGGER,ooUBBK63Qe,QJZ,1.03 
[6036] ADD,ooUBBK63Qe,73433.51 
[6136] BUY,ooUBBK63Qe,NOP,630.25 
[6193] COMMIT_BUY,ooUBBK63Qe 
[6268] BUY,ooUBBK63Qe,AHO,357.75 
[6356] COMMIT_BUY,ooUBBK63Qe 
[6486] ADD,ooUBBK63Qe,63095.40 
[6587] QUOTE,ooUBBK63Qe,JLO 
[6616] QUOTE,ooUBBK63Qe,MVY 
[6779] BUY,ooUBBK63Qe,VTY,54.44 
[6894] CANCEL_SET_SELL,ooUBBK63Qe,QPR 
[6954] SET_BUY_AMOUNT,ooUBBK63Qe,KDA,306.16 
[6961] SET_BUY_TRIGGER,ooUBBK63Qe,HHG,290.43 
[6998] BUY,ooUBBK63Qe,MZT,285.90 
[7177] COMMIT_BUY,ooUBBK63Qe 
[7210] QUOTE,ooUBBK63Qe,RKY 
[7264] BUY,ooUBBK63Qe,CBX,348.51 
[7274] COMMIT_BUY,ooUBBK63Qe 
[7376] DISPLAY_SUMMARY,ooUBBK63Qe 
[7484] ADD,ooUBBK63Qe,63376.35 
[7505] BUY,ooUBBK63Qe,ZGC,632.38 
[7656] CANCEL_SET_BUY,ooUBBK63Qe,QQI 
[7747] QUOTE,ooUBBK63Qe,PXX 
[7832] CANCEL_SET_SELL,ooUBBK63Qe,TVI 
[7877] ADD,ooUBBK63Qe,79031.39 
[7891] QUOTE,ooUBBK63Qe,UEC 
[7926] QUOTE,ooUBBK63Qe,YEH 
[7965] BUY,ooUBBK63Qe,CBO,598.12 
[8007] CANCEL_SET_BUY,ooUBBK63Qe,GSW 
[8148] SET_BUY_AMOUNT,ooUBBK63Qe,OEY,365.02 
[8202] SET_BUY_TRIGGER,ooUBBK63Qe,EUM,96.21 
[8376] BUY,ooUBBK63Qe,DWX,276.33 
[8377] CANCEL_SET_BUY,ooUBBK63Qe,ZFK 
[8568] SET_BUY_TRIGGER,ooUBBK63Qe,MXD,3.81 
[8582] DISPLAY_SUMMARY,ooUBBK63Qe 
[8976] SET_SELL_AMOUNT,ooUBBK63Qe,OEY,368.45 
[9072] BUY,ooUBBK63Qe,NFV,658.44 
[9194] COMMIT_BUY,ooUBBK63Qe 
[9402] ADD,ooUBBK63Qe,98116.49 
[9417] QUOTE,ooUBBK63Qe,FPP 
[9659] SET_BUY_AMOUNT,ooUBBK63Qe,KDA,210.02 
[9686] SET_BUY_TRIGGER,ooUBBK63Qe,VVO,207.44 
[9696] QUOTE,ooUBBK63Qe,ZLY 
[9887] SET_SELL_AMOUNT,ooUBBK63Qe,KDA,147.45 
[9941] SET_SELL_TRIGGER,ooUBBK63Qe,KDA,146.97 
[10072] SET_SELL_AMOUNT,ooUBBK63Qe,JVT,306.13 
[10178] SELL,ooUBBK63Qe,JCQ,552.32 
[10351] QUOTE,ooUBBK63Qe,RYU 
[10378] CANCEL_SET_BUY,ooUBBK63Qe,EEG 
[10448] ADD,ooUBBK63Qe,32005.20 
[10620] BUY,ooUBBK63Qe,ZER,140.12 
[10645] COMMIT_SELL,ooUBBK63Qe 
[10650] DISPLAY_SUMMARY,ooUBBK63Qe 
[10653] ADD,ooUBBK63Qe,59940.53 
[10675] DISPLAY_SUMMARY,ooUBBK63Qe 
[10747] SET_BUY_TRIGGER,ooUBBK63Qe,QXE,132.04 
[10750] CANCEL_SET_SELL,ooUBBK63Qe,JVT 
[10755] SET_SELL_AMOUNT,ooUBBK63Qe,KES,730.57 
[10761] BUY,ooUBBK63Qe,NFV,228.06 
[10890] COMMIT_BUY,ooUBBK63Qe 
[10914] ADD,ooUBBK63Qe,62031.88 
[10926] BUY,ooUBBK63Qe,DIX,448.04 
[10938] CANCEL_SET_BUY,ooUBBK63Qe,MMF 
[11078] DISPLAY_SUMMARY,ooUBBK63Qe 
[11170] DISPLAY_SUMMARY,ooUBBK63Qe 
[11184] DISPLAY_SUMMARY,ooUBBK63Qe 
[11256] ADD,ooUBBK63Qe,70729.30 
[11271] SET_SELL_AMOUNT,ooUBBK63Qe,KES,178.88 
[11444] SET_SELL_TRIGGER,ooUBBK63Qe,KES,163.60 
[11720] COMMIT_BUY,ooUBBK63Qe 
[11815] QUOTE,ooUBBK63Qe,XXQ 
[11832] QUOTE,ooUBBK63Qe,AEM 
[11837] SELL,ooUBBK63Qe,JVT,735.21 
[12003] COMMIT_SELL,ooUBBK63Qe 
[12010] SET_SELL_AMOUNT,ooUBBK63Qe,GYF,71.73 
[12040] SET_SELL_TRIGGER,ooUBBK63Qe,GYF,61.39 
[12466] QUOTE,ooUBBK63Qe,EEG 
[12625] ADD,ooUBBK63Qe,67724.56 
[12638] QUOTE,ooUBBK63Qe,DWC 
[12686] SET_BUY_TRIGGER,ooUBBK63Qe,PYM,152.12 
[12949] SELL,ooUBBK63Qe,QJZ,456.18 
[12971] COMMIT_SELL,ooUBBK63Qe 
[13008] SELL,ooUBBK63Qe,KES,369.74 
[13089] SET_BUY_TRIGGER,ooUBBK63Qe,BCQ,163.47 
[13249] QUOTE,ooUBBK63Qe,LNJ 
[13362] SELL,ooUBBK63Qe,FQP,263.03 
[13647] CANCEL_SELL,ooUBBK63Qe 
[13769] SET_BUY_TRIGGER,ooUBBK63Qe,DJD,78.07 
[13818] SET_SELL_TRIGGER,ooUBBK63Qe,YBB,164.38 
[13971] BUY,ooUBBK63Qe,SAR,540.66 
[14030] BUY,ooUBBK63Qe,PTP,297.79 
[14203] COMMIT_BUY,ooUBBK63Qe 
[14224] SET_BUY_AMOUNT,ooUBBK63Qe,QJZ,356.67 
[14244] SET_BUY_TRIGGER,ooUBBK63Qe,VKB,185.20 
[14251] SET_SELL_TRIGGER,ooUBBK63Qe,KHD,98.83 
[14267] SET_SELL_AMOUNT,ooUBBK63Qe,EBS,279.12 
[14292] CANCEL_SET_SELL,ooUBBK63Qe,EBS 
[14366] SET_BUY_TRIGGER,ooUBBK63Qe,EDW,52.87 
[14506] SET_SELL_AMOUNT,ooUBBK63Qe,KES,456.54 
[14729] SET_SELL_TRIGGER,ooUBBK63Qe,KES,99.68 
[14808] SELL,ooUBBK63Qe,OEY,643.77 
[15016] SET_SELL_TRIGGER,ooUBBK63Qe,KLE,74.42 
[15118] SET_SELL_TRIGGER,ooUBBK63Qe,CTI,19.20 
[15304] QUOTE,ooUBBK63Qe,BFL 
[15312] SET_BUY_TRIGGER,ooUBBK63Qe,SYE,82.49 
[15318] ADD,ooUBBK63Qe,84210.56 
[15377] BUY,ooUBBK63Qe,FUF,126.01 
[15399] CANCEL_SELL,ooUBBK63Qe 
[15428] SET_BUY_AMOUNT,ooUBBK63Qe,KES,498.95 
[15607] SET_BUY_TRIGGER,ooUBBK63Qe,TZJ,27.89 
[15666] DISPLAY_SUMMARY,ooUBBK63Qe 
[15742] ADD,ooUBBK63Qe,61029.88 
[15764] BUY,ooUBBK63Qe,KJH,645.47 
[15794] COMMIT_BUY,ooUBBK63Qe 
[16083] SET_BUY_AMOUNT,ooUBBK63Qe,JCQ,733.49 
[16178] SET_BUY_TRIGGER,ooUBBK63Qe,ZCQ,319.53 
[16227] SELL,ooUBBK63Qe,GYF,669.90 
[16359] QUOTE,ooUBBK63Qe,RUN 
[16377] QUOTE,ooUBBK63Qe,NNW 
[16601] CANCEL_SET_BUY,ooUBBK63Qe,SCK 
[16612] SET_SELL_TRIGGER,ooUBBK63Qe,JSM,158.33 
[16678] SELL,ooUBBK63Qe,QJZ,487.89 
[16707] CANCEL_SET_BUY,ooUBBK63Qe,DES 
[16883] DISPLAY_SUMMARY,ooUBBK63Qe 
[17180] SET_BUY_AMOUNT,ooUBBK63Qe,JVT,175.10 
[17208] SET_BUY_TRIGGER,ooUBBK63Qe,GWS,110.81 
[17224] SET_BUY_TRIGGER,ooUBBK63Qe,QGN,57.85 
[17239] SET_BUY_TRIGGER,ooUBBK63Qe,CSZ,149.60 
[17263] SET_SELL_TRIGGER,ooUBBK63Qe,WUL,154.29 
[17441] ADD,ooUBBK63Qe,50172.97 
[17793] BUY,ooUBBK63Qe,FTB,748.46 
[17794] CANCEL_SET_BUY,ooUBBK63Qe,KLE 
[17853] SET_SELL_TRIGGER,ooUBBK63Qe,PRJ,183.44 
[17894] ADD,ooUBBK63Qe,65899.95 
[17897] QUOTE,ooUBBK63Qe,LMO 
[17907] ADD,ooUBBK63Qe,46712.79 
[17961] SET_BUY_TRIGGER,ooUBBK63Qe,IPH,28.04 
[18009] BUY,ooUBBK63Qe,QHF,364.06 
[18368] COMMIT_BUY,ooUBBK63Qe 
[18388] CANCEL_SET_SELL,ooUBBK63Qe,AJL 
[18399] BUY,ooUBBK63Qe,CIP,454.06 
[18414] CANCEL_BUY,ooUBBK63Qe 
[18586] ADD,ooUBBK63Qe,63457.21 
[18621] BUY,ooUBBK63Qe,XEA,226.39 
[18627] COMMIT_BUY,ooUBBK63Qe 
[18629] DISPLAY_SUMMARY,ooUBBK63Qe 
[18746] SET_BUY_TRIGGER,ooUBBK63Qe,ZLY,51.82 
[18776] SELL,ooUBBK63Qe,QJZ,140.00 
[18828] DISPLAY_SUMMARY,ooUBBK63Qe 
[18863] ADD,ooUBBK63Qe,58340.43 
[18879] QUOTE,ooUBBK63Qe,PPY 
[19013] BUY,ooUBBK63Qe,ZQW,175.21 
[19303] COMMIT_SELL,ooUBBK63Qe 
[19415] QUOTE,ooUBBK63Qe,CCH 
[19569] DISPLAY_SUMMARY,ooUBBK63Qe 
[19756] ADD,ooUBBK63Qe,66327.87 
[19761] DISPLAY_SUMMARY,ooUBBK63Qe 
[19942] SET_BUY_AMOUNT,ooUBBK63Qe,QJZ,35.29 
[20032] SET_BUY_TRIGGER,ooUBBK63Qe,ASJ,17.15 
[20197] DISPLAY_SUMMARY,ooUBBK63Qe 
[20372] SET_BUY_TRIGGER,ooUBBK63Qe,JLK,110.26 
[20382] QUOTE,ooUBBK63Qe,XBL 
[20448] SET_BUY_TRIGGER,ooUBBK63Qe,KJM,26.98 
[20508] SET_BUY_AMOUNT,ooUBBK63Qe,JQO,574.15 
[20550] SET_BUY_TRIGGER,ooUBBK63Qe,KAR,554.00 
[20611] SET_BUY_TRIGGER,ooUBBK63Qe,WNX,72.16 
[20760] SET_BUY_TRIGGER,ooUBBK63Qe,HHC,171.19 
[20860] DISPLAY_SUMMARY,ooUBBK63Qe 
[21024] SELL,ooUBBK63Qe,EBS,76.22 
[21401] COMMIT_SELL,ooUBBK63Qe 
[21413] CANCEL_SET_SELL,ooUBBK63Qe,CWA 
[21446] DISPLAY_SUMMARY,ooUBBK63Qe 
[21535] SET_SELL_TRIGGER,ooUBBK63Qe,WGV,187.84 
[21611] ADD,ooUBBK63Qe,78798.14 
[21665] BUY,ooUBBK63Qe,ZOW,305.08 
[21694] COMMIT_BUY,ooUBBK63Qe 
[21870] QUOTE,ooUBBK63Qe,NQU 
[22079] SET_SELL_AMOUNT,ooUBBK63Qe,JRJ,79.43 
[22136] SET_SELL_TRIGGER,ooUBBK63Qe,JRJ,71.95 
[22154] SET_SELL_TRIGGER,ooUBBK63Qe,NUV,145.29 
[22253] SET_SELL_AMOUNT,ooUBBK63Qe,OEY,637.26 
[22292] SET_SELL_TRIGGER,ooUBBK63Qe,OEY,439.03 
[22436] DISPLAY_SUMMARY,ooUBBK63Qe 
[22442] CANCEL_SET_SELL,ooUBBK63Qe,WKD 
[22477] SELL,ooUBBK63Qe,JCQ,158.18 
[22658] SET_SELL_TRIGGER,ooUBBK63Qe,VJB,65.42 
[22712] SELL,ooUBBK63Qe,JRJ,677.52 
[22913] COMMIT_SELL,ooUBBK63Qe 
[23031] ADD,ooUBBK63Qe,91577.68 
[23126] BUY,ooUBBK63Qe,MQF,556.91 
[23221] COMMIT_BUY,ooUBBK63Qe 
[23410] DISPLAY_SUMMARY,ooUBBK63Qe 
[23629] QUOTE,ooUBBK63Qe,WCR 
[23634] QUOTE,ooUBBK63Qe,GIX 
[23643] ADD,ooUBBK63Qe,79048.71 
[23874] BUY,ooUBBK63Qe,ZGN,561.43 
[24008] SET_SELL_TRIGGER,ooUBBK63Qe,EUM,5.08 
[24146] CANCEL_SET_SELL,ooUBBK63Qe,BPK 
[24362] SELL,ooUBBK63Qe,JCQ,9.53 
[24399] BUY,ooUBBK63Qe,MFX,590.15 
[24542] COMMIT_BUY,ooUBBK63Qe 
[24580] QUOTE,ooUBBK63Qe,AHE 
[24588] SET_SELL_TRIGGER,ooUBBK63Qe,ZAN,77.24 
[24740] DISPLAY_SUMMARY,ooUBBK63Qe 
[25005] QUOTE,ooUBBK63Qe,ZAO 
[25127] ADD,ooUBBK63Qe,87208.17 
[25204] DISPLAY_SUMMARY,ooUBBK63Qe 
[25231] SELL,ooUBBK63Qe,JCQ,38.86 
[25266] CANCEL_SELL,ooUBBK63Qe 
[25323] ADD,ooUBBK63Qe,71130.12 
[25351] QUOTE,ooUBBK63Qe,VEN 
[25392] SET_SELL_TRIGGER,ooUBBK63Qe,BHJ,117.77 
[25410] SELL,ooUBBK63Qe,NHG,531.13 
[25451] COMMIT_SELL,ooUBBK63Qe 
[25482] SET_BUY_AMOUNT,ooUBBK63Qe,QJZ,196.38 
[25521] SET_BUY_TRIGGER,ooUBBK63Qe,GPL,173.83 
[25676] SELL,ooUBBK63Qe,LFU,299.81 
[25705] SET_SELL_TRIGGER,ooUBBK63Qe,TSU,111.52 
[25765] CANCEL_SELL,ooUBBK63Qe 
[26002] SELL,ooUBBK63Qe,OEY,749.52 
[26150] SELL,ooUBBK63Qe,UTV,423.71 
[26249] SELL,ooUBBK63Qe,JRJ,261.16 
[26259] COMMIT_SELL,ooUBBK63Qe 
[26796] DISPLAY_SUMMARY,ooUBBK63Qe 
[26965] CANCEL_SET_SELL,ooUBBK63Qe,XII 
[27060] ADD,ooUBBK63Qe,64407.63 
[27069] BUY,ooUBBK63Qe,WTL,299.39 
[27181] COMMIT_BUY,ooUBBK63Qe 
[27240] BUY,ooUBBK63Qe,YWC,662.75 
[27306] SET_BUY_AMOUNT,ooUBBK63Qe,JQO,579.15 
[27310] BUY,ooUBBK63Qe,SAN,613.77 
[27536] COMMIT_SELL,ooUBBK63Qe 
[27681] DISPLAY_SUMMARY,ooUBBK63Qe 
[27833] QUOTE,ooUBBK63Qe,PHJ 
[27882] SELL,ooUBBK63Qe,UTV,421.35 
[27900] COMMIT_SELL,ooUBBK63Qe 
[27986] QUOTE,ooUBBK63Qe,LRS 
[28423] COMMIT_SELL,ooUBBK63Qe 
[28560] ADD,ooUBBK63Qe,62307.06 
[28783] BUY,ooUBBK63Qe,GPL,741.55 
[28952] CANCEL_SET_BUY,ooUBBK63Qe,IZS 
[29140] CANCEL_BUY,ooUBBK63Qe 
[29218] SET_SELL_AMOUNT,ooUBBK63Qe,CUZ,722.28 
[29261] SET_SELL_TRIGGER,ooUBBK63Qe,CUZ,528.17 
[29808] CANCEL_BUY,ooUBBK63Qe 
[29998] SET_SELL_TRIGGER,ooUBBK63Qe,GUW,174.25 
[30093] DISPLAY_SUMMARY,ooUBBK63Qe 
[30154] SET_SELL_AMOUNT,ooUBBK63Qe,ZAN,82.95 
[30206] SET_SELL_TRIGGER,ooUBBK63Qe,ZAN,11.19 
[30214] DISPLAY_SUMMARY,ooUBBK63Qe 
[30229] ADD,ooUBBK63Qe,68935.12 
[30266] SET_SELL_AMOUNT,ooUBBK63Qe,UTV,148.66 
[30668] SET_SELL_TRIGGER,ooUBBK63Qe,UTV,8.25 
[30708] DISPLAY_SUMMARY,ooUBBK63Qe 
[30756] QUOTE,ooUBBK63Qe,NSW 
[30927] QUOTE,ooUBBK63Qe,BSZ 
[31044] QUOTE,ooUBBK63Qe,DTG 
[31130] CANCEL_SELL,ooUBBK63Qe 
[31313] CANCEL_SET_SELL,ooUBBK63Qe,WYR 
[31452] SET_SELL_AMOUNT,ooUBBK63Qe,NHG,435.17 
[31460] CANCEL_SET_SELL,ooUBBK63Qe,NHG 
[31749] BUY,ooUBBK63Qe,IPJ,563.38 
[31893] SET_SELL_TRIGGER,ooUBBK63Qe,GYF,164.47 
[31901] DISPLAY_SUMMARY,ooUBBK63Qe 
[31995] SET_BUY_AMOUNT,ooUBBK63Qe,QJZ,326.97 
[32050] SET_BUY_TRIGGER,ooUBBK63Qe,DTG,100.72 
[32090] SET_BUY_TRIGGER,ooUBBK63Qe,VFH,199.60 
[32130] SELL,ooUBBK63Qe,UTV,84.21 
[32194] COMMIT_SELL,ooUBBK63Qe 
[32346] DISPLAY_SUMMARY,ooUBBK63Qe 
[32397] BUY,ooUBBK63Qe,AHO,355.92 
[32400] COMMIT_SELL,ooUBBK63Qe 
[32447] ADD,ooUBBK63Qe,58667.38 
[32463] COMMIT_SELL,ooUBBK63Qe 
[32561] SET_SELL_TRIGGER,ooUBBK63Qe,JIC,55.33 
[32652] SET_SELL_AMOUNT,ooUBBK63Qe,OEY,442.69 
[32769] SET_SELL_TRIGGER,ooUBBK63Qe,OEY,259.92 
[33384] QUOTE,ooUBBK63Qe,ZKV 
[33454] SET_BUY_TRIGGER,ooUBBK63Qe,XOA,5.74 
[33509] DISPLAY_SUMMARY,ooUBBK63Qe 
[33675] SET_SELL_AMOUNT,ooUBBK63Qe,GYF,329.99 
[33897] SET_SELL_TRIGGER,ooUBBK63Qe,GYF,153.71 
[33916] ADD,ooUBBK63Qe,74667.88 
[33981] QUOTE,ooUBBK63Qe,YRL 
[34002] QUOTE,ooUBBK63Qe,QVK 
[34027] SET_SELL_AMOUNT,ooUBBK63Qe,OEY,308.17 
[34081] CANCEL_SET_SELL,ooUBBK63Qe,OEY 
[34581] COMMIT_BUY,ooUBBK63Qe 
[34674] SET_BUY_TRIGGER,ooUBBK63Qe,JUE,93.07 
[34865] SET_BUY_AMOUNT,ooUBBK63Qe,QAX,618.38 
[35091] SET_BUY_TRIGGER,ooUBBK63Qe,UDN,127.61 
[35093] SET_SELL_TRIGGER,ooUBBK63Qe,GUB,194.75 
[35184] ADD,ooUBBK63Qe,76679.05 
[35194] QUOTE,ooUBBK63Qe,WKG 
[35269] BUY,ooUBBK63Qe,GED,117.70 
[35548] CANCEL_BUY,ooUBBK63Qe 
[35630] SET_BUY_TRIGGER,ooUBBK63Qe,FSD,174.95 
[35667] SET_SELL_AMOUNT,ooUBBK63Qe,JVT,638.11 
[35686] SET_SELL_TRIGGER,ooUBBK63Qe,JVT,595.98 
[35776] DISPLAY_SUMMARY,ooUBBK63Qe 
[35964] QUOTE,ooUBBK63Qe,GUB 
[35976] DISPLAY_SUMMARY,ooUBBK63Qe 
[36037] QUOTE,ooUBBK63Qe,ZQC 
[36068] BUY,ooUBBK63Qe,ZQC,626.59 
[36204] COMMIT_BUY,ooUBBK63Qe 
[36349] COMMIT_BUY,ooUBBK63Qe 
[36436] DISPLAY_SUMMARY,ooUBBK63Qe 
[36615] QUOTE,ooUBBK63Qe,OOV 
[36825] SET_BUY_TRIGGER,ooUBBK63Qe,ZFJ,27.10 
[36872] CANCEL_SET_SELL,ooUBBK63Qe,VDP 
[37245] DISPLAY_SUMMARY,ooUBBK63Qe 
[37261] SET_SELL_AMOUNT,ooUBBK63Qe,BYA,743.46 
[37337] SET_SELL_TRIGGER,ooUBBK63Qe,BYA,683.55 
[37349] COMMIT_SELL,ooUBBK63Qe 
[37414] ADD,ooUBBK63Qe,70154.67 
[37417] QUOTE,ooUBBK63Qe,YZH 
[37477] SET_BUY_AMOUNT,ooUBBK63Qe,ZAN,434.69 
[37601] SET_BUY_TRIGGER,ooUBBK63Qe,IOY,75.29 
[37610] DISPLAY_SUMMARY,ooUBBK63Qe 
[37672] SET_BUY_TRIGGER,ooUBBK63Qe,DBR,54.87 
[37732] ADD,ooUBBK63Qe,71089.97 
[37787] BUY,ooUBBK63Qe,QLM,643.78 
[37840] SET_SELL_AMOUNT,ooUBBK63Qe,BYA,595.90 
[37977] SET_SELL_TRIGGER,ooUBBK63Qe,BYA,218.36 
[38391] SET_SELL_TRIGGER,ooUBBK63Qe,YXK,46.15 
[38415] COMMIT_BUY,ooUBBK63Qe 
[38572] DISPLAY_SUMMARY,ooUBBK63Qe 
[38770] QUOTE,ooUBBK63Qe,SCK 
[38882] DISPLAY_SUMMARY,ooUBBK63Qe 
[38939] SELL,ooUBBK63Qe,JCQ,38.96 
[39073] SET_BUY_TRIGGER,ooUBBK63Qe,FPP,163.99 
[39097] COMMIT_BUY,ooUBBK63Qe 
[39248] SET_SELL_AMOUNT,ooUBBK63Qe,JCQ,324.61 
[39514] SET_SELL_TRIGGER,ooUBBK63Qe,JCQ,87.21 
[39797] SET_BUY_AMOUNT,ooUBBK63Qe,NHG,411.48 
[40187] SET_BUY_TRIGGER,ooUBBK63Qe,SKW,76.70 
[40197] SELL,ooUBBK63Qe,QAX,162.88 
[40331] COMMIT_SELL,ooUBBK63Qe 
[40490] QUOTE,ooUBBK63Qe,FLY 
[40624] SET_BUY_TRIGGER,ooUBBK63Qe,SKW,48.58 
[40780] SELL,ooUBBK63Qe,LFU,289.29 
[40792] SET_BUY_TRIGGER,ooUBBK63Qe,QPE,163.33 
[40951] SET_SELL_AMOUNT,ooUBBK63Qe,NHG,726.12 
[40993] SET_SELL_TRIGGER,ooUBBK63Qe,NHG,162.37 
[40999] QUOTE,ooUBBK63Qe,NKC 
[41349] DISPLAY_SUMMARY,ooUBBK63Qe 
[41613] SET_SELL_AMOUNT,ooUBBK63Qe,JCQ,71.60 
[41639] BUY,ooUBBK63Qe,QPZ,641.82 
[41656] CANCEL_SELL,ooUBBK63Qe 
[41694] ADD,ooUBBK63Qe,42081.03 
[41698] QUOTE,ooUBBK63Qe,ALV 
[41724] BUY,ooUBBK63Qe,CTT,438.76 
[41809] COMMIT_BUY,ooUBBK63Qe 
[41848] DISPLAY_SUMMARY,ooUBBK63Qe 
[41929] COMMIT_SELL,ooUBBK63Qe 
[41947] ADD,ooUBBK63Qe,72700.75 
[41968] COMMIT_BUY,ooUBBK63Qe 
[41978] SET_SELL_AMOUNT,ooUBBK63Qe,OEY,334.04 
[42190] CANCEL_SET_SELL,ooUBBK63Qe,OEY 
[42244] SET_SELL_AMOUNT,ooUBBK63Qe,KDA,26.82 
[42402] SET_SELL_TRIGGER,ooUBBK63Qe,KDA,12.47 
[42613] ADD,ooUBBK63Qe,63272.78 
[42638] BUY,ooUBBK63Qe,WCY,105.71 
[42846] SET_BUY_AMOUNT,ooUBBK63Qe,BYA,75.50 
[42980] SELL,ooUBBK63Qe,OEY,163.82 
[42984] CANCEL_SELL,ooUBBK63Qe 
[43022] CANCEL_SET_SELL,ooUBBK63Qe,AVI 
[43042] DISPLAY_SUMMARY,ooUBBK63Qe 
[43071] DISPLAY_SUMMARY,ooUBBK63Qe 
[43188] SET_BUY_TRIGGER,ooUBBK63Qe,GYF,18.77 
[43201] QUOTE,ooUBBK63Qe,KRY 
[43332] BUY,ooUBBK63Qe,AJX,206.76 
[43423] COMMIT_BUY,ooUBBK63Qe 
[43542] ADD,ooUBBK63Qe,88353.25 
[43616] QUOTE,ooUBBK63Qe,IOM 
[43854] DISPLAY_SUMMARY,ooUBBK63Qe 
[43862] QUOTE,ooUBBK63Qe,CTT 
[44143] BUY,ooUBBK63Qe,VOY,480.66 
[44231] COMMIT_BUY,ooUBBK63Qe 
[44258] DISPLAY_SUMMARY,ooUBBK63Qe 
[44269] ADD,ooUBBK63Qe,66718.21 
[44436] CANCEL_SET_SELL,ooUBBK63Qe,NAW 
[44474] ADD,ooUBBK63Qe,77181.17 
[44656] BUY,ooUBBK63Qe,PMG,465.54 
[44738] DISPLAY_SUMMARY,ooUBBK63Qe 
[44829] CANCEL_SET_SELL,ooUBBK63Qe,DVU 
[44948] BUY,ooUBBK63Qe,BRZ,299.72 
[44964] COMMIT_BUY,ooUBBK63Qe 
[44981] SET_BUY_AMOUNT,ooUBBK63Qe,BYA,7.14 
[45080] SET_BUY_TRIGGER,ooUBBK63Qe,TVP,2.59 
[45086] QUOTE,ooUBBK63Qe,YDS 
[45199] BUY,ooUBBK63Qe,XFW,372.47 
[45245] CANCEL_BUY,ooUBBK63Qe 
[45342] ADD,ooUBBK63Qe,58287.20 
[45457] BUY,ooUBBK63Qe,MLI,108.09 
[45584] QUOTE,ooUBBK63Qe,WNH 
[45860] BUY,ooUBBK63Qe,CAX,409.68 
[46059] CANCEL_SELL,ooUBBK63Qe 
[46068] SELL,ooUBBK63Qe,JRJ,136.15 
[46090] SET_BUY_AMOUNT,ooUBBK63Qe,NHG,281.55 
