[17] ADD,e7Zw0RBCl6,80205.43 
[18005] SELL,e7Zw0RBCl6,KES,2.42 
[18213] COMMIT_SELL,e7Zw0RBCl6 
[18282] ADD,e7Zw0RBCl6,71433.35 
[18299] SELL,e7Zw0RBCl6,GYF,134.64 
[18449] CANCEL_SELL,e7Zw0RBCl6 
[18537] SELL,e7Zw0RBCl6,GYF,143.99 
[18634] SET_SELL_AMOUNT,e7Zw0RBCl6,QJZ,16.57 
[18687] SET_SELL_TRIGGER,e7Zw0RBCl6,QJZ,3.39 
[18821] CANCEL_SET_SELL,e7Zw0RBCl6,QPX 
[18865] SELL,e7Zw0RBCl6,JCQ,745.52 
[19002] QUOTE,e7Zw0RBCl6,UCG 
[19004] ADD,e7Zw0RBCl6,80997.28 
[19040] BUY,e7Zw0RBCl6,YRL,41.39 
[19079] SET_SELL_TRIGGER,e7Zw0RBCl6,JDO,152.74 
[19501] ADD,e7Zw0RBCl6,69261.52 
[19508] BUY,e7Zw0RBCl6,GPM,210.77 
[19525] CANCEL_BUY,e7Zw0RBCl6 
[19615] DISPLAY_SUMMARY,e7Zw0RBCl6 
[19757] SET_SELL_TRIGGER,e7Zw0RBCl6,JQG,194.13 
[20000] SET_BUY_TRIGGER,e7Zw0RBCl6,KKI,54.60 
[20031] ADD,e7Zw0RBCl6,80665.23 
[20065] BUY,e7Zw0RBCl6,NDJ,217.10 
[20190] QUOTE,e7Zw0RBCl6,HCN 
[20258] BUY,e7Zw0RBCl6,FQU,730.59 
[20352] CANCEL_BUY,e7Zw0RBCl6 
[20416] DISPLAY_SUMMARY,e7Zw0RBCl6 
[20654] ADD,e7Zw0RBCl6,60192.67 
[20726] CANCEL_SELL,e7Zw0RBCl6 
[20743] SELL,e7Zw0RBCl6,GYF,112.67 
[20827] COMMIT_SELL,e7Zw0RBCl6 
[20877] QUOTE,e7Zw0RBCl6,SSW 
[20896] QUOTE,e7Zw0RBCl6,NHG 
[21115] SET_BUY_TRIGGER,e7Zw0RBCl6,FOV,136.17 
[21199] ADD,e7Zw0RBCl6,79472.55 
[21232] QUOTE,e7Zw0RBCl6,OOR 
[21257] DISPLAY_SUMMARY,e7Zw0RBCl6 
[21264] SET_SELL_TRIGGER,e7Zw0RBCl6,MAX,90.73 
[21302] SET_BUY_TRIGGER,e7Zw0RBCl6,RKQ,3.43 
[21371] BUY,e7Zw0RBCl6,LNJ,275.74 
[21442] COMMIT_BUY,e7Zw0RBCl6 
[21457] ADD,e7Zw0RBCl6,59111.71 
[21480] QUOTE,e7Zw0RBCl6,TSU 
[21757] BUY,e7Zw0RBCl6,EYY,595.90 
[21784] COMMIT_BUY,e7Zw0RBCl6 
[21863] QUOTE,e7Zw0RBCl6,PPW 
[21866] ADD,e7Zw0RBCl6,56286.56 
[21954] BUY,e7Zw0RBCl6,WFR,82.27 
[21995] COMMIT_BUY,e7Zw0RBCl6 
[21998] DISPLAY_SUMMARY,e7Zw0RBCl6 
[22040] CANCEL_BUY,e7Zw0RBCl6 
[22213] DISPLAY_SUMMARY,e7Zw0RBCl6 
[22216] BUY,e7Zw0RBCl6,AVH,484.86 
[22489] BUY,e7Zw0RBCl6,XRK,85.24 
[22714] ADD,e7Zw0RBCl6,74595.78 
[22762] BUY,e7Zw0RBCl6,UUJ,518.15 
[22764] COMMIT_BUY,e7Zw0RBCl6 
[22878] COMMIT_SELL,e7Zw0RBCl6 
[23138] DISPLAY_SUMMARY,e7Zw0RBCl6 
[23190] SET_SELL_TRIGGER,e7Zw0RBCl6,SDL,57.32 
[23457] SET_SELL_AMOUNT,e7Zw0RBCl6,KDA,60.38 
[23511] SET_SELL_TRIGGER,e7Zw0RBCl6,KDA,20.34 
[23623] SET_BUY_AMOUNT,e7Zw0RBCl6,GYF,604.89 
[23719] SET_BUY_TRIGGER,e7Zw0RBCl6,QNK,441.93 
[23824] SET_BUY_AMOUNT,e7Zw0RBCl6,OEY,665.90 
[23862] BUY,e7Zw0RBCl6,LVV,406.26 
[23977] SET_SELL_TRIGGER,e7Zw0RBCl6,TKV,199.79 
[23979] ADD,e7Zw0RBCl6,50689.45 
[24007] BUY,e7Zw0RBCl6,FMJ,582.60 
[24023] COMMIT_BUY,e7Zw0RBCl6 
[24160] DISPLAY_SUMMARY,e7Zw0RBCl6 
[24173] DISPLAY_SUMMARY,e7Zw0RBCl6 
[24176] CANCEL_SET_SELL,e7Zw0RBCl6,XBL 
[24181] ADD,e7Zw0RBCl6,76228.22 
[24303] BUY,e7Zw0RBCl6,IQJ,63.38 
[24473] COMMIT_BUY,e7Zw0RBCl6 
[24520] ADD,e7Zw0RBCl6,76454.12 
[24931] SET_SELL_TRIGGER,e7Zw0RBCl6,MRH,86.59 
[25283] ADD,e7Zw0RBCl6,57078.59 
[25371] QUOTE,e7Zw0RBCl6,YKB 
[25407] BUY,e7Zw0RBCl6,HSJ,636.57 
[25422] COMMIT_BUY,e7Zw0RBCl6 
[25494] BUY,e7Zw0RBCl6,UDQ,177.98 
[25501] COMMIT_BUY,e7Zw0RBCl6 
[25547] DISPLAY_SUMMARY,e7Zw0RBCl6 
[25548] BUY,e7Zw0RBCl6,HZE,473.15 
[25601] CANCEL_BUY,e7Zw0RBCl6 
[25692] SELL,e7Zw0RBCl6,JQO,427.97 
[25782] SET_BUY_AMOUNT,e7Zw0RBCl6,JCQ,659.84 
[25824] SELL,e7Zw0RBCl6,KDA,216.69 
[25851] COMMIT_SELL,e7Zw0RBCl6 
[25883] SET_SELL_TRIGGER,e7Zw0RBCl6,NLT,74.83 
[26208] ADD,e7Zw0RBCl6,73469.49 
[26272] BUY,e7Zw0RBCl6,EMN,499.83 
[26353] COMMIT_SELL,e7Zw0RBCl6 
[26419] SET_BUY_AMOUNT,e7Zw0RBCl6,KDA,245.64 
[26421] SET_BUY_TRIGGER,e7Zw0RBCl6,XLV,196.68 
[26772] SET_BUY_AMOUNT,e7Zw0RBCl6,FQP,262.72 
[26865] SET_BUY_TRIGGER,e7Zw0RBCl6,VEN,87.68 
[27246] SET_BUY_TRIGGER,e7Zw0RBCl6,KBP,107.19 
[27266] SET_SELL_TRIGGER,e7Zw0RBCl6,OLH,20.29 
[27444] ADD,e7Zw0RBCl6,48826.53 
[27493] BUY,e7Zw0RBCl6,SJG,7.12 
[27495] COMMIT_SELL,e7Zw0RBCl6 
[27570] QUOTE,e7Zw0RBCl6,EED 
[27596] SET_BUY_TRIGGER,e7Zw0RBCl6,QUT,66.71 
[27599] SELL,e7Zw0RBCl6,OEY,149.76 
[27710] COMMIT_SELL,e7Zw0RBCl6 
[27839] SELL,e7Zw0RBCl6,EBS,193.26 
[27915] CANCEL_SELL,e7Zw0RBCl6 
[27925] QUOTE,e7Zw0RBCl6,KBP 
[27959] SET_BUY_AMOUNT,e7Zw0RBCl6,NHG,40.51 
[28095] SET_BUY_TRIGGER,e7Zw0RBCl6,MOM,23.91 
[28118] SET_BUY_AMOUNT,e7Zw0RBCl6,OEY,286.91 
[28264] CANCEL_SET_BUY,e7Zw0RBCl6,ECI 
[28384] ADD,e7Zw0RBCl6,77910.85 
[28472] BUY,e7Zw0RBCl6,MWV,275.62 
[28509] CANCEL_BUY,e7Zw0RBCl6 
[28690] QUOTE,e7Zw0RBCl6,AOU 
[28754] DISPLAY_SUMMARY,e7Zw0RBCl6 
[28902] BUY,e7Zw0RBCl6,VVV,370.19 
[28953] COMMIT_BUY,e7Zw0RBCl6 
[29689] ADD,e7Zw0RBCl6,96800.72 
[29838] BUY,e7Zw0RBCl6,URA,385.58 
[29847] COMMIT_SELL,e7Zw0RBCl6 
[29893] SET_BUY_TRIGGER,e7Zw0RBCl6,CBK,193.79 
[29986] SET_BUY_AMOUNT,e7Zw0RBCl6,KES,27.60 
[30006] SELL,e7Zw0RBCl6,KES,139.37 
[30057] COMMIT_SELL,e7Zw0RBCl6 
[30172] SET_BUY_TRIGGER,e7Zw0RBCl6,DPG,16.95 
[30188] SET_BUY_AMOUNT,e7Zw0RBCl6,JCQ,602.92 
[30227] DISPLAY_SUMMARY,e7Zw0RBCl6 
[30418] CANCEL_BUY,e7Zw0RBCl6 
[30449] DISPLAY_SUMMARY,e7Zw0RBCl6 
[30470] ADD,e7Zw0RBCl6,34826.65 
[30473] SET_SELL_TRIGGER,e7Zw0RBCl6,IDX,129.46 
[30566] SELL,e7Zw0RBCl6,ZAN,425.92 
[30741] BUY,e7Zw0RBCl6,FZB,71.27 
[30788] COMMIT_BUY,e7Zw0RBCl6 
[30822] ADD,e7Zw0RBCl6,79551.25 
[31101] BUY,e7Zw0RBCl6,WXV,547.80 
[31129] CANCEL_BUY,e7Zw0RBCl6 
[31209] QUOTE,e7Zw0RBCl6,GNY 
[31210] SET_BUY_TRIGGER,e7Zw0RBCl6,KTU,226.21 
[31410] ADD,e7Zw0RBCl6,48659.55 
[31411] BUY,e7Zw0RBCl6,URA,438.72 
[31431] BUY,e7Zw0RBCl6,AHE,214.97 
[31735] QUOTE,e7Zw0RBCl6,RQS 
[31824] BUY,e7Zw0RBCl6,JUN,72.12 
[31942] SET_BUY_AMOUNT,e7Zw0RBCl6,KES,716.37 
[31970] SET_BUY_TRIGGER,e7Zw0RBCl6,BTD,662.18 
[32159] SET_BUY_AMOUNT,e7Zw0RBCl6,RUN,599.93 
[32288] SET_BUY_TRIGGER,e7Zw0RBCl6,NFO,83.09 
[32531] DISPLAY_SUMMARY,e7Zw0RBCl6 
[32697] BUY,e7Zw0RBCl6,YGK,66.47 
[32807] COMMIT_BUY,e7Zw0RBCl6 
[32897] SET_SELL_AMOUNT,e7Zw0RBCl6,QJZ,705.16 
[32917] SET_SELL_TRIGGER,e7Zw0RBCl6,QJZ,656.14 
[32990] SELL,e7Zw0RBCl6,QJZ,475.81 
[33073] CANCEL_BUY,e7Zw0RBCl6 
[33177] DISPLAY_SUMMARY,e7Zw0RBCl6 
[33343] DISPLAY_SUMMARY,e7Zw0RBCl6 
[33446] ADD,e7Zw0RBCl6,57571.74 
[33590] BUY,e7Zw0RBCl6,BZH,644.51 
[34025] COMMIT_BUY,e7Zw0RBCl6 
[34036] CANCEL_BUY,e7Zw0RBCl6 
[34216] SELL,e7Zw0RBCl6,XXQ,435.86 
[34281] COMMIT_SELL,e7Zw0RBCl6 
[34300] BUY,e7Zw0RBCl6,QPE,38.49 
[34388] COMMIT_BUY,e7Zw0RBCl6 
[34478] ADD,e7Zw0RBCl6,52191.51 
[34608] BUY,e7Zw0RBCl6,TTV,325.78 
[34668] SET_BUY_AMOUNT,e7Zw0RBCl6,NHG,489.27 
[34680] SET_BUY_TRIGGER,e7Zw0RBCl6,LBC,174.65 
[34695] ADD,e7Zw0RBCl6,37329.75 
[34728] QUOTE,e7Zw0RBCl6,MSV 
[34767] BUY,e7Zw0RBCl6,FGF,531.66 
[34769] COMMIT_BUY,e7Zw0RBCl6 
[34860] SELL,e7Zw0RBCl6,FQP,214.81 
[35087] COMMIT_SELL,e7Zw0RBCl6 
[35092] QUOTE,e7Zw0RBCl6,KZZ 
[35170] SET_BUY_AMOUNT,e7Zw0RBCl6,LFU,193.12 
[35230] QUOTE,e7Zw0RBCl6,NTT 
[35255] CANCEL_SET_BUY,e7Zw0RBCl6,UGG 
[35425] BUY,e7Zw0RBCl6,PFK,534.15 
[35466] COMMIT_BUY,e7Zw0RBCl6 
[35483] SET_SELL_TRIGGER,e7Zw0RBCl6,HNW,184.55 
[35528] SET_BUY_TRIGGER,e7Zw0RBCl6,CUQ,62.85 
[35625] SET_BUY_AMOUNT,e7Zw0RBCl6,JRJ,472.36 
[35923] CANCEL_SET_BUY,e7Zw0RBCl6,PHU 
[36074] SET_SELL_TRIGGER,e7Zw0RBCl6,DVA,119.71 
[36134] SET_BUY_AMOUNT,e7Zw0RBCl6,BCQ,342.39 
[36309] SET_BUY_TRIGGER,e7Zw0RBCl6,KJD,168.66 
[36320] CANCEL_BUY,e7Zw0RBCl6 
[36631] SELL,e7Zw0RBCl6,BYA,185.10 
[36659] COMMIT_SELL,e7Zw0RBCl6 
[36669] SET_SELL_TRIGGER,e7Zw0RBCl6,TOL,8.20 
[36743] SELL,e7Zw0RBCl6,NHG,201.61 
[36819] COMMIT_SELL,e7Zw0RBCl6 
[36831] SET_SELL_TRIGGER,e7Zw0RBCl6,FIY,70.71 
[36988] ADD,e7Zw0RBCl6,28194.80 
[37080] CANCEL_SET_SELL,e7Zw0RBCl6,PDX 
[37251] ADD,e7Zw0RBCl6,79687.36 
[37351] QUOTE,e7Zw0RBCl6,YTO 
[37365] QUOTE,e7Zw0RBCl6,OAS 
[37422] CANCEL_SET_SELL,e7Zw0RBCl6,OPN 
[37505] SET_BUY_TRIGGER,e7Zw0RBCl6,KPU,49.96 
[37555] SET_SELL_TRIGGER,e7Zw0RBCl6,OZT,129.82 
[37634] ADD,e7Zw0RBCl6,43869.38 
[37955] CANCEL_SELL,e7Zw0RBCl6 
[38086] BUY,e7Zw0RBCl6,VYQ,734.34 
[38404] COMMIT_BUY,e7Zw0RBCl6 
[38442] BUY,e7Zw0RBCl6,FKI,664.68 
[38803] CANCEL_SET_BUY,e7Zw0RBCl6,XLI 
[39104] CANCEL_SET_SELL,e7Zw0RBCl6,KCT 
[39191] QUOTE,e7Zw0RBCl6,GPC 
[39263] QUOTE,e7Zw0RBCl6,NJI 
[39429] BUY,e7Zw0RBCl6,EBS,5.90 
[39485] QUOTE,e7Zw0RBCl6,OOV 
[39580] SET_BUY_TRIGGER,e7Zw0RBCl6,LRS,119.96 
[39606] SET_BUY_TRIGGER,e7Zw0RBCl6,WZM,157.23 
[39680] SET_BUY_TRIGGER,e7Zw0RBCl6,SDW,55.33 
[39691] SELL,e7Zw0RBCl6,GYF,21.52 
[39811] BUY,e7Zw0RBCl6,VJB,697.12 
[39919] COMMIT_BUY,e7Zw0RBCl6 
[39999] SET_BUY_AMOUNT,e7Zw0RBCl6,YJK,440.47 
[40039] SET_BUY_TRIGGER,e7Zw0RBCl6,YOG,211.70 
[40148] DISPLAY_SUMMARY,e7Zw0RBCl6 
[40293] SET_SELL_AMOUNT,e7Zw0RBCl6,ZTI,398.28 
[40343] DISPLAY_SUMMARY,e7Zw0RBCl6 
[40369] SET_SELL_AMOUNT,e7Zw0RBCl6,JCQ,318.35 
[40445] SELL,e7Zw0RBCl6,KDA,219.40 
[40470] SET_BUY_AMOUNT,e7Zw0RBCl6,XXQ,197.64 
[40555] CANCEL_SET_BUY,e7Zw0RBCl6,BFL 
[40724] DISPLAY_SUMMARY,e7Zw0RBCl6 
[40873] SET_SELL_AMOUNT,e7Zw0RBCl6,JVT,308.55 
[40995] SET_SELL_TRIGGER,e7Zw0RBCl6,JVT,127.69 
[41128] COMMIT_BUY,e7Zw0RBCl6 
[41427] DISPLAY_SUMMARY,e7Zw0RBCl6 
[41728] DISPLAY_SUMMARY,e7Zw0RBCl6 
[41772] SET_BUY_TRIGGER,e7Zw0RBCl6,EED,0.98 
[42151] DISPLAY_SUMMARY,e7Zw0RBCl6 
[42193] SELL,e7Zw0RBCl6,CUZ,556.33 
[42342] SELL,e7Zw0RBCl6,KDA,35.30 
[42376] SELL,e7Zw0RBCl6,UTV,112.73 
[42381] COMMIT_SELL,e7Zw0RBCl6 
[42418] BUY,e7Zw0RBCl6,NFQ,68.70 
[42488] COMMIT_BUY,e7Zw0RBCl6 
[42560] SET_SELL_AMOUNT,e7Zw0RBCl6,JQO,580.08 
[42574] CANCEL_SET_SELL,e7Zw0RBCl6,JQO 
[42589] ADD,e7Zw0RBCl6,54610.91 
[42674] BUY,e7Zw0RBCl6,ETJ,611.80 
[42780] COMMIT_BUY,e7Zw0RBCl6 
[42871] ADD,e7Zw0RBCl6,75118.38 
[43242] QUOTE,e7Zw0RBCl6,UTL 
[43273] BUY,e7Zw0RBCl6,DBR,590.28 
[43394] COMMIT_BUY,e7Zw0RBCl6 
[43575] SET_SELL_AMOUNT,e7Zw0RBCl6,LFU,486.69 
[43642] SET_SELL_TRIGGER,e7Zw0RBCl6,LFU,108.90 
[43752] SET_BUY_AMOUNT,e7Zw0RBCl6,EBS,491.72 
[43917] SET_BUY_TRIGGER,e7Zw0RBCl6,EVR,150.47 
[43924] SET_BUY_TRIGGER,e7Zw0RBCl6,FSD,31.10 
[43974] QUOTE,e7Zw0RBCl6,EDV 
[44048] BUY,e7Zw0RBCl6,CZQ,460.50 
[44087] CANCEL_BUY,e7Zw0RBCl6 
[44171] DISPLAY_SUMMARY,e7Zw0RBCl6 
[44467] SELL,e7Zw0RBCl6,JCQ,77.52 
[44477] COMMIT_SELL,e7Zw0RBCl6 
[44617] SET_SELL_TRIGGER,e7Zw0RBCl6,PSJ,23.90 
[44795] CANCEL_SET_BUY,e7Zw0RBCl6,GCW 
[44845] DISPLAY_SUMMARY,e7Zw0RBCl6 
[44857] QUOTE,e7Zw0RBCl6,DXL 
[44978] DISPLAY_SUMMARY,e7Zw0RBCl6 
[45044] CANCEL_SET_BUY,e7Zw0RBCl6,OQZ 
[45053] SET_SELL_TRIGGER,e7Zw0RBCl6,HYX,177.39 
[45193] SELL,e7Zw0RBCl6,RGH,316.23 
[45234] BUY,e7Zw0RBCl6,VYQ,92.93 
[45251] CANCEL_BUY,e7Zw0RBCl6 
[45476] ADD,e7Zw0RBCl6,78075.22 
[45557] BUY,e7Zw0RBCl6,SFO,659.75 
[45588] COMMIT_BUY,e7Zw0RBCl6 
[45617] CANCEL_SET_SELL,e7Zw0RBCl6,XYV 
[45666] ADD,e7Zw0RBCl6,32051.44 
[45850] QUOTE,e7Zw0RBCl6,YKB 
[46091] SET_BUY_TRIGGER,e7Zw0RBCl6,NJB,0.69 
[46480] SET_SELL_TRIGGER,e7Zw0RBCl6,NUL,63.79 
