[87] ADD,AwEXQhdKGW,84874.28 
[5973] QUOTE,AwEXQhdKGW,ZWC 
[6102] BUY,AwEXQhdKGW,YCH,50.74 
[6139] COMMIT_BUY,AwEXQhdKGW 
[6172] BUY,AwEXQhdKGW,EIK,338.95 
[6306] COMMIT_BUY,AwEXQhdKGW 
[6380] ADD,AwEXQhdKGW,90723.66 
[6420] QUOTE,AwEXQhdKGW,FPV 
[6466] BUY,AwEXQhdKGW,DBS,143.57 
[6514] ADD,AwEXQhdKGW,73039.93 
[7040] SELL,AwEXQhdKGW,KES,723.89 
[7047] QUOTE,AwEXQhdKGW,SKV 
[7134] CANCEL_SELL,AwEXQhdKGW 
[7140] SET_BUY_TRIGGER,AwEXQhdKGW,PDB,113.15 
[7178] SET_SELL_TRIGGER,AwEXQhdKGW,PBX,170.48 
[7347] SET_SELL_AMOUNT,AwEXQhdKGW,KES,167.85 
[7362] SET_SELL_TRIGGER,AwEXQhdKGW,KES,162.38 
[7453] SELL,AwEXQhdKGW,QJZ,567.13 
[7473] COMMIT_SELL,AwEXQhdKGW 
[7572] ADD,AwEXQhdKGW,82201.41 
[8284] BUY,AwEXQhdKGW,QHF,476.01 
[8285] CANCEL_BUY,AwEXQhdKGW 
[8495] BUY,AwEXQhdKGW,IDN,517.90 
[8620] BUY,AwEXQhdKGW,LUT,66.41 
[8751] COMMIT_BUY,AwEXQhdKGW 
[8790] SET_SELL_TRIGGER,AwEXQhdKGW,QSS,42.41 
[8811] ADD,AwEXQhdKGW,81473.02 
[8950] BUY,AwEXQhdKGW,OKK,366.99 
[8956] COMMIT_BUY,AwEXQhdKGW 
[8960] ADD,AwEXQhdKGW,52544.94 
[9057] DISPLAY_SUMMARY,AwEXQhdKGW 
[9183] BUY,AwEXQhdKGW,POE,480.69 
[9287] SET_BUY_AMOUNT,AwEXQhdKGW,KES,158.92 
[9607] CANCEL_SET_BUY,AwEXQhdKGW,STQ 
[9824] ADD,AwEXQhdKGW,58593.56 
[9841] QUOTE,AwEXQhdKGW,ETB 
[10286] BUY,AwEXQhdKGW,SVV,572.50 
[10334] SET_BUY_TRIGGER,AwEXQhdKGW,OEN,42.86 
[10393] CANCEL_SELL,AwEXQhdKGW 
[10568] DISPLAY_SUMMARY,AwEXQhdKGW 
[10573] DISPLAY_SUMMARY,AwEXQhdKGW 
[10576] ADD,AwEXQhdKGW,69609.30 
[10649] SET_BUY_AMOUNT,AwEXQhdKGW,JVT,85.72 
[10716] CANCEL_SET_BUY,AwEXQhdKGW,UTV 
[10717] COMMIT_SELL,AwEXQhdKGW 
[10735] SET_SELL_AMOUNT,AwEXQhdKGW,FQP,404.11 
[10822] SET_SELL_TRIGGER,AwEXQhdKGW,FQP,64.14 
[10884] SET_SELL_AMOUNT,AwEXQhdKGW,FQP,696.61 
[11146] SET_SELL_TRIGGER,AwEXQhdKGW,FQP,265.68 
[11177] ADD,AwEXQhdKGW,63469.03 
[11205] BUY,AwEXQhdKGW,PXY,488.11 
[11362] QUOTE,AwEXQhdKGW,OEY 
[11642] BUY,AwEXQhdKGW,GWS,166.71 
[11814] COMMIT_BUY,AwEXQhdKGW 
[11899] QUOTE,AwEXQhdKGW,RNK 
[12061] CANCEL_SET_SELL,AwEXQhdKGW,HNW 
[12189] DISPLAY_SUMMARY,AwEXQhdKGW 
[12247] DISPLAY_SUMMARY,AwEXQhdKGW 
[12346] DISPLAY_SUMMARY,AwEXQhdKGW 
[12362] SELL,AwEXQhdKGW,UTV,319.50 
[12656] COMMIT_SELL,AwEXQhdKGW 
[12703] DISPLAY_SUMMARY,AwEXQhdKGW 
[12716] ADD,AwEXQhdKGW,75680.10 
[12730] CANCEL_SELL,AwEXQhdKGW 
[12762] ADD,AwEXQhdKGW,59805.07 
[12913] BUY,AwEXQhdKGW,ZPD,75.14 
[13038] CANCEL_SELL,AwEXQhdKGW 
[13207] SET_SELL_TRIGGER,AwEXQhdKGW,FUR,90.68 
[13233] BUY,AwEXQhdKGW,BFU,677.82 
[13407] SELL,AwEXQhdKGW,GYF,515.68 
[13731] COMMIT_SELL,AwEXQhdKGW 
[13733] ADD,AwEXQhdKGW,94858.85 
[13855] DISPLAY_SUMMARY,AwEXQhdKGW 
[14027] QUOTE,AwEXQhdKGW,RGH 
[14353] ADD,AwEXQhdKGW,40800.53 
[14529] BUY,AwEXQhdKGW,QSS,265.76 
[14582] CANCEL_BUY,AwEXQhdKGW 
[14723] COMMIT_SELL,AwEXQhdKGW 
[14802] ADD,AwEXQhdKGW,77942.65 
[14971] QUOTE,AwEXQhdKGW,VXY 
[15150] SET_SELL_AMOUNT,AwEXQhdKGW,FQP,300.17 
[15223] SET_SELL_TRIGGER,AwEXQhdKGW,FQP,268.95 
[15284] SET_BUY_AMOUNT,AwEXQhdKGW,QAX,69.41 
[15302] BUY,AwEXQhdKGW,MQP,387.73 
[15496] DISPLAY_SUMMARY,AwEXQhdKGW 
[15551] SET_SELL_AMOUNT,AwEXQhdKGW,JCQ,476.34 
[15572] SET_SELL_TRIGGER,AwEXQhdKGW,JCQ,430.37 
[15636] CANCEL_SET_BUY,AwEXQhdKGW,MER 
[15674] ADD,AwEXQhdKGW,72330.55 
[15700] BUY,AwEXQhdKGW,IQZ,156.34 
[15712] COMMIT_BUY,AwEXQhdKGW 
[15753] QUOTE,AwEXQhdKGW,JSM 
[15795] BUY,AwEXQhdKGW,WOJ,82.96 
[15804] BUY,AwEXQhdKGW,CNN,376.25 
[15961] BUY,AwEXQhdKGW,PHJ,63.36 
[16044] CANCEL_SELL,AwEXQhdKGW 
[16049] CANCEL_SELL,AwEXQhdKGW 
[16196] SELL,AwEXQhdKGW,EBS,530.24 
[16353] BUY,AwEXQhdKGW,AVI,649.91 
[16417] COMMIT_BUY,AwEXQhdKGW 
[17020] DISPLAY_SUMMARY,AwEXQhdKGW 
[17150] QUOTE,AwEXQhdKGW,WOJ 
[17196] SET_SELL_AMOUNT,AwEXQhdKGW,QJZ,615.40 
[17336] CANCEL_SET_SELL,AwEXQhdKGW,QJZ 
[17384] QUOTE,AwEXQhdKGW,HWO 
[17650] CANCEL_SET_BUY,AwEXQhdKGW,KAR 
[17728] SET_SELL_AMOUNT,AwEXQhdKGW,QJZ,323.44 
[17750] SET_SELL_TRIGGER,AwEXQhdKGW,QJZ,20.25 
[17829] ADD,AwEXQhdKGW,46499.82 
[17960] BUY,AwEXQhdKGW,JFJ,303.88 
[18065] CANCEL_SET_BUY,AwEXQhdKGW,BBC 
[18083] CANCEL_SET_BUY,AwEXQhdKGW,GHE 
[18113] SET_BUY_TRIGGER,AwEXQhdKGW,KBP,88.38 
[18160] ADD,AwEXQhdKGW,83027.88 
[18225] BUY,AwEXQhdKGW,VEE,10.15 
[18248] CANCEL_BUY,AwEXQhdKGW 
[18454] QUOTE,AwEXQhdKGW,MSV 
[18490] QUOTE,AwEXQhdKGW,LPR 
[18518] QUOTE,AwEXQhdKGW,XBL 
[18554] CANCEL_BUY,AwEXQhdKGW 
[18593] SET_SELL_TRIGGER,AwEXQhdKGW,QAX,99.43 
[18595] DISPLAY_SUMMARY,AwEXQhdKGW 
[18797] ADD,AwEXQhdKGW,66830.68 
[18946] QUOTE,AwEXQhdKGW,ZJQ 
[19012] SET_SELL_AMOUNT,AwEXQhdKGW,QJZ,740.90 
[19015] SET_SELL_TRIGGER,AwEXQhdKGW,QJZ,240.13 
[19367] SET_BUY_TRIGGER,AwEXQhdKGW,RUN,38.30 
[19404] DISPLAY_SUMMARY,AwEXQhdKGW 
[19529] CANCEL_SELL,AwEXQhdKGW 
[19576] DISPLAY_SUMMARY,AwEXQhdKGW 
[19673] COMMIT_SELL,AwEXQhdKGW 
[19797] ADD,AwEXQhdKGW,45919.57 
[19814] BUY,AwEXQhdKGW,CCH,673.28 
[19827] COMMIT_BUY,AwEXQhdKGW 
[19892] DISPLAY_SUMMARY,AwEXQhdKGW 
[20299] SET_BUY_TRIGGER,AwEXQhdKGW,PBV,81.50 
[20404] BUY,AwEXQhdKGW,TKG,413.77 
[20415] COMMIT_BUY,AwEXQhdKGW 
[20580] ADD,AwEXQhdKGW,111422.09 
[20644] QUOTE,AwEXQhdKGW,QQW 
[20716] BUY,AwEXQhdKGW,XZN,732.76 
[20776] COMMIT_BUY,AwEXQhdKGW 
[20879] DISPLAY_SUMMARY,AwEXQhdKGW 
[20888] SET_SELL_AMOUNT,AwEXQhdKGW,KES,367.79 
[21049] BUY,AwEXQhdKGW,OWH,537.15 
[21073] CANCEL_BUY,AwEXQhdKGW 
[21259] SET_SELL_AMOUNT,AwEXQhdKGW,NHG,110.04 
[21554] SET_SELL_TRIGGER,AwEXQhdKGW,NHG,53.15 
[21599] SET_BUY_AMOUNT,AwEXQhdKGW,QJZ,570.16 
[21623] SET_BUY_TRIGGER,AwEXQhdKGW,OQZ,527.52 
[21705] BUY,AwEXQhdKGW,OLI,36.17 
[21827] COMMIT_BUY,AwEXQhdKGW 
[21990] CANCEL_BUY,AwEXQhdKGW 
[22071] SET_BUY_TRIGGER,AwEXQhdKGW,GHL,97.74 
[22160] BUY,AwEXQhdKGW,SAJ,272.57 
[22181] QUOTE,AwEXQhdKGW,MOM 
[22236] SET_SELL_TRIGGER,AwEXQhdKGW,BRZ,146.24 
[22243] DISPLAY_SUMMARY,AwEXQhdKGW 
[22255] SET_SELL_TRIGGER,AwEXQhdKGW,YQC,79.56 
[22505] DISPLAY_SUMMARY,AwEXQhdKGW 
[22508] SET_BUY_AMOUNT,AwEXQhdKGW,GYF,239.36 
[22517] SET_BUY_TRIGGER,AwEXQhdKGW,ZNL,128.98 
[22752] ADD,AwEXQhdKGW,96069.60 
[22784] QUOTE,AwEXQhdKGW,DWF 
[22880] QUOTE,AwEXQhdKGW,RUN 
[22883] QUOTE,AwEXQhdKGW,MVI 
[22885] SET_BUY_AMOUNT,AwEXQhdKGW,UTV,171.64 
[22911] SELL,AwEXQhdKGW,JCQ,566.66 
[22972] CANCEL_SELL,AwEXQhdKGW 
[23021] DISPLAY_SUMMARY,AwEXQhdKGW 
[23376] SET_BUY_AMOUNT,AwEXQhdKGW,QAX,309.10 
[23532] DISPLAY_SUMMARY,AwEXQhdKGW 
[23632] SELL,AwEXQhdKGW,BYA,503.92 
[23739] QUOTE,AwEXQhdKGW,XXT 
[23963] SELL,AwEXQhdKGW,FQP,121.05 
[24020] CANCEL_SET_BUY,AwEXQhdKGW,XBL 
[24030] ADD,AwEXQhdKGW,44495.07 
[24090] QUOTE,AwEXQhdKGW,ZZD 
[24235] BUY,AwEXQhdKGW,HCN,327.00 
[24385] CANCEL_BUY,AwEXQhdKGW 
[24421] ADD,AwEXQhdKGW,78549.55 
[24690] QUOTE,AwEXQhdKGW,WRJ 
[24852] SET_BUY_TRIGGER,AwEXQhdKGW,JLK,157.41 
[24929] CANCEL_SET_SELL,AwEXQhdKGW,LAM 
[25068] SET_BUY_AMOUNT,AwEXQhdKGW,NHG,267.04 
[25289] QUOTE,AwEXQhdKGW,UDN 
[25507] SET_BUY_AMOUNT,AwEXQhdKGW,ZAN,725.24 
[25569] SET_BUY_TRIGGER,AwEXQhdKGW,IFQ,254.25 
[25633] ADD,AwEXQhdKGW,74017.30 
[25729] QUOTE,AwEXQhdKGW,NIR 
[25800] DISPLAY_SUMMARY,AwEXQhdKGW 
[26015] ADD,AwEXQhdKGW,54816.52 
[26253] DISPLAY_SUMMARY,AwEXQhdKGW 
[26406] ADD,AwEXQhdKGW,78533.32 
[26442] BUY,AwEXQhdKGW,YTT,187.23 
[26520] COMMIT_BUY,AwEXQhdKGW 
[26523] QUOTE,AwEXQhdKGW,TOZ 
[26531] SET_SELL_AMOUNT,AwEXQhdKGW,JQO,431.06 
[26557] DISPLAY_SUMMARY,AwEXQhdKGW 
[26678] SELL,AwEXQhdKGW,ZAN,719.07 
[26946] DISPLAY_SUMMARY,AwEXQhdKGW 
[26949] DISPLAY_SUMMARY,AwEXQhdKGW 
[27018] ADD,AwEXQhdKGW,80143.90 
[27116] QUOTE,AwEXQhdKGW,YKB 
[27263] QUOTE,AwEXQhdKGW,IZU 
[27289] QUOTE,AwEXQhdKGW,PNP 
[27320] QUOTE,AwEXQhdKGW,YZC 
[27400] DISPLAY_SUMMARY,AwEXQhdKGW 
[27417] QUOTE,AwEXQhdKGW,DMW 
[27517] QUOTE,AwEXQhdKGW,QNW 
[27563] CANCEL_SET_BUY,AwEXQhdKGW,WNU 
[27625] BUY,AwEXQhdKGW,OLH,34.55 
[27663] COMMIT_BUY,AwEXQhdKGW 
[27675] SET_BUY_TRIGGER,AwEXQhdKGW,DLQ,76.56 
[27727] SELL,AwEXQhdKGW,QJZ,709.57 
[27995] COMMIT_SELL,AwEXQhdKGW 
[28277] BUY,AwEXQhdKGW,TJL,669.51 
[28394] COMMIT_BUY,AwEXQhdKGW 
[28402] ADD,AwEXQhdKGW,42132.65 
[28495] SELL,AwEXQhdKGW,XXQ,471.57 
[28637] COMMIT_SELL,AwEXQhdKGW 
[28700] SET_SELL_AMOUNT,AwEXQhdKGW,ZAN,55.43 
[28780] SET_SELL_TRIGGER,AwEXQhdKGW,ZAN,18.63 
[28785] SELL,AwEXQhdKGW,JQO,57.32 
[28793] COMMIT_SELL,AwEXQhdKGW 
[28832] ADD,AwEXQhdKGW,47904.27 
[28867] BUY,AwEXQhdKGW,OOI,296.97 
[29049] SET_SELL_AMOUNT,AwEXQhdKGW,KDA,635.02 
[29067] SET_SELL_TRIGGER,AwEXQhdKGW,KDA,524.46 
[29162] ADD,AwEXQhdKGW,58994.22 
[29197] QUOTE,AwEXQhdKGW,ZYR 
[29209] QUOTE,AwEXQhdKGW,IEQ 
[29253] ADD,AwEXQhdKGW,83407.59 
[29291] QUOTE,AwEXQhdKGW,LSM 
[29344] ADD,AwEXQhdKGW,77525.63 
[29491] BUY,AwEXQhdKGW,YPL,51.33 
[29492] COMMIT_BUY,AwEXQhdKGW 
[29599] ADD,AwEXQhdKGW,76506.76 
[29606] QUOTE,AwEXQhdKGW,ZCO 
[29750] QUOTE,AwEXQhdKGW,WYR 
[29813] DISPLAY_SUMMARY,AwEXQhdKGW 
[29821] BUY,AwEXQhdKGW,VTY,663.23 
[29862] SELL,AwEXQhdKGW,JVT,684.20 
[29925] COMMIT_SELL,AwEXQhdKGW 
[29956] CANCEL_SET_SELL,AwEXQhdKGW,PPW 
[29968] QUOTE,AwEXQhdKGW,DPG 
[30007] BUY,AwEXQhdKGW,PFK,205.88 
[30053] QUOTE,AwEXQhdKGW,SKY 
[30069] BUY,AwEXQhdKGW,NDD,298.12 
[30111] QUOTE,AwEXQhdKGW,JQO 
[30180] SET_BUY_TRIGGER,AwEXQhdKGW,BPP,42.76 
[30196] BUY,AwEXQhdKGW,MAX,56.39 
[30209] DISPLAY_SUMMARY,AwEXQhdKGW 
[30306] SET_BUY_AMOUNT,AwEXQhdKGW,KES,116.39 
[30307] SET_BUY_TRIGGER,AwEXQhdKGW,SFO,116.14 
[30309] QUOTE,AwEXQhdKGW,MIR 
[30587] QUOTE,AwEXQhdKGW,ERF 
[30638] BUY,AwEXQhdKGW,OOI,366.50 
[30682] COMMIT_BUY,AwEXQhdKGW 
[30702] DISPLAY_SUMMARY,AwEXQhdKGW 
[30839] SET_BUY_TRIGGER,AwEXQhdKGW,KLE,117.70 
[30930] ADD,AwEXQhdKGW,42819.01 
[31002] ADD,AwEXQhdKGW,73412.07 
[31146] BUY,AwEXQhdKGW,SYU,297.50 
[31349] COMMIT_BUY,AwEXQhdKGW 
[31396] SET_SELL_AMOUNT,AwEXQhdKGW,RUN,436.06 
[31456] SET_SELL_TRIGGER,AwEXQhdKGW,RUN,13.32 
[31638] ADD,AwEXQhdKGW,90843.74 
[31903] BUY,AwEXQhdKGW,PJW,231.51 
[32163] COMMIT_BUY,AwEXQhdKGW 
[32173] SELL,AwEXQhdKGW,DFE,205.43 
[32174] COMMIT_SELL,AwEXQhdKGW 
[32181] ADD,AwEXQhdKGW,58575.95 
[32195] BUY,AwEXQhdKGW,SWD,647.84 
[32206] BUY,AwEXQhdKGW,NGH,560.81 
[32352] CANCEL_BUY,AwEXQhdKGW 
[32535] DISPLAY_SUMMARY,AwEXQhdKGW 
[32571] COMMIT_SELL,AwEXQhdKGW 
[32648] SET_BUY_AMOUNT,AwEXQhdKGW,ZAN,32.56 
[32658] DISPLAY_SUMMARY,AwEXQhdKGW 
[32677] SELL,AwEXQhdKGW,JCQ,557.29 
[32809] SELL,AwEXQhdKGW,NHG,510.69 
[32863] BUY,AwEXQhdKGW,TTY,648.31 
[32972] COMMIT_BUY,AwEXQhdKGW 
[32975] BUY,AwEXQhdKGW,WKG,627.51 
[33037] SET_BUY_TRIGGER,AwEXQhdKGW,WYR,14.45 
[33056] ADD,AwEXQhdKGW,80039.14 
[33232] SET_SELL_AMOUNT,AwEXQhdKGW,JVT,65.33 
[33332] SET_SELL_TRIGGER,AwEXQhdKGW,JVT,46.25 
[33337] SET_BUY_AMOUNT,AwEXQhdKGW,CUZ,671.69 
[33389] SET_BUY_TRIGGER,AwEXQhdKGW,MWB,261.52 
[33392] BUY,AwEXQhdKGW,JTX,405.96 
[33435] DISPLAY_SUMMARY,AwEXQhdKGW 
[33482] BUY,AwEXQhdKGW,LAM,369.18 
[33857] COMMIT_BUY,AwEXQhdKGW 
[33943] SET_BUY_AMOUNT,AwEXQhdKGW,JRJ,519.26 
[34107] BUY,AwEXQhdKGW,KGV,567.09 
[34159] COMMIT_BUY,AwEXQhdKGW 
[34230] SET_BUY_AMOUNT,AwEXQhdKGW,YJK,39.93 
[34391] SET_BUY_TRIGGER,AwEXQhdKGW,GDF,35.29 
[34406] ADD,AwEXQhdKGW,63601.87 
[34461] BUY,AwEXQhdKGW,SWJ,226.78 
[34508] COMMIT_BUY,AwEXQhdKGW 
[34595] BUY,AwEXQhdKGW,RNK,633.47 
[34614] COMMIT_BUY,AwEXQhdKGW 
[34618] ADD,AwEXQhdKGW,74322.54 
[34748] QUOTE,AwEXQhdKGW,DED 
[35053] QUOTE,AwEXQhdKGW,SAJ 
[35103] COMMIT_BUY,AwEXQhdKGW 
[35229] DISPLAY_SUMMARY,AwEXQhdKGW 
[35317] SET_BUY_TRIGGER,AwEXQhdKGW,RXB,55.64 
[35382] SET_SELL_TRIGGER,AwEXQhdKGW,HNO,129.59 
[35397] SELL,AwEXQhdKGW,JVT,589.19 
[35406] CANCEL_SELL,AwEXQhdKGW 
[35416] SET_BUY_TRIGGER,AwEXQhdKGW,MGO,152.48 
[35568] SELL,AwEXQhdKGW,YJK,497.52 
[35772] COMMIT_SELL,AwEXQhdKGW 
[35907] DISPLAY_SUMMARY,AwEXQhdKGW 
[35913] DISPLAY_SUMMARY,AwEXQhdKGW 
[35986] DISPLAY_SUMMARY,AwEXQhdKGW 
[36058] SET_SELL_TRIGGER,AwEXQhdKGW,LRS,49.40 
[36169] BUY,AwEXQhdKGW,OIY,596.65 
[36198] COMMIT_BUY,AwEXQhdKGW 
[36219] SELL,AwEXQhdKGW,FQP,13.14 
[36261] CANCEL_SELL,AwEXQhdKGW 
[36326] ADD,AwEXQhdKGW,87500.66 
[36393] BUY,AwEXQhdKGW,BFU,486.30 
[36517] COMMIT_BUY,AwEXQhdKGW 
[36530] DISPLAY_SUMMARY,AwEXQhdKGW 
[36625] SET_BUY_AMOUNT,AwEXQhdKGW,RUN,273.38 
[36651] SET_BUY_TRIGGER,AwEXQhdKGW,QNK,145.00 
[36770] CANCEL_SET_BUY,AwEXQhdKGW,NNW 
[36884] SET_SELL_AMOUNT,AwEXQhdKGW,CUZ,64.86 
[36907] CANCEL_SET_SELL,AwEXQhdKGW,CUZ 
[37117] SET_SELL_AMOUNT,AwEXQhdKGW,BYA,588.51 
[37468] DISPLAY_SUMMARY,AwEXQhdKGW 
[37480] DISPLAY_SUMMARY,AwEXQhdKGW 
[37590] DISPLAY_SUMMARY,AwEXQhdKGW 
[37627] ADD,AwEXQhdKGW,81594.20 
[37974] QUOTE,AwEXQhdKGW,CBO 
[38036] CANCEL_SET_BUY,AwEXQhdKGW,NTB 
[38112] SET_BUY_AMOUNT,AwEXQhdKGW,BCQ,519.48 
[38363] SET_BUY_TRIGGER,AwEXQhdKGW,PDB,484.39 
[38371] SET_SELL_AMOUNT,AwEXQhdKGW,LFU,521.63 
[38547] BUY,AwEXQhdKGW,VND,733.38 
[38601] COMMIT_BUY,AwEXQhdKGW 
[38688] ADD,AwEXQhdKGW,88517.89 
[38845] BUY,AwEXQhdKGW,ZOW,346.57 
[38853] COMMIT_BUY,AwEXQhdKGW 
[38937] DISPLAY_SUMMARY,AwEXQhdKGW 
[38946] QUOTE,AwEXQhdKGW,UMN 
[39123] QUOTE,AwEXQhdKGW,USW 
[39183] DISPLAY_SUMMARY,AwEXQhdKGW 
[39196] ADD,AwEXQhdKGW,58663.52 
[39200] BUY,AwEXQhdKGW,RQT,108.74 
[39276] COMMIT_BUY,AwEXQhdKGW 
[39330] BUY,AwEXQhdKGW,WFR,179.19 
[39484] COMMIT_BUY,AwEXQhdKGW 
[39597] ADD,AwEXQhdKGW,65357.32 
[39716] BUY,AwEXQhdKGW,XCL,579.13 
[39978] SELL,AwEXQhdKGW,BCQ,567.84 
[39986] COMMIT_SELL,AwEXQhdKGW 
[40068] SELL,AwEXQhdKGW,YJK,647.31 
[40079] COMMIT_SELL,AwEXQhdKGW 
[40163] ADD,AwEXQhdKGW,78020.12 
[40295] BUY,AwEXQhdKGW,VNF,730.51 
[40361] COMMIT_BUY,AwEXQhdKGW 
[40863] COMMIT_BUY,AwEXQhdKGW 
[40978] SET_BUY_TRIGGER,AwEXQhdKGW,HZE,117.28 
[41038] BUY,AwEXQhdKGW,JLK,668.90 
[41121] COMMIT_BUY,AwEXQhdKGW 
[41269] SELL,AwEXQhdKGW,KDA,484.63 
[41284] COMMIT_SELL,AwEXQhdKGW 
[41397] ADD,AwEXQhdKGW,59197.99 
[41399] BUY,AwEXQhdKGW,PPY,369.24 
[41457] COMMIT_BUY,AwEXQhdKGW 
[41504] COMMIT_SELL,AwEXQhdKGW 
[41515] ADD,AwEXQhdKGW,60437.92 
[41598] QUOTE,AwEXQhdKGW,LVV 
[41609] COMMIT_SELL,AwEXQhdKGW 
[41627] ADD,AwEXQhdKGW,85557.48 
[41645] QUOTE,AwEXQhdKGW,DWF 
[41664] BUY,AwEXQhdKGW,ZAO,12.49 
[41703] COMMIT_BUY,AwEXQhdKGW 
[41732] SET_SELL_AMOUNT,AwEXQhdKGW,XXQ,562.45 
[41736] SET_SELL_TRIGGER,AwEXQhdKGW,XXQ,187.74 
[41832] BUY,AwEXQhdKGW,WNX,733.28 
[41960] COMMIT_BUY,AwEXQhdKGW 
[42160] SELL,AwEXQhdKGW,YJK,7.60 
[42164] COMMIT_SELL,AwEXQhdKGW 
[42185] CANCEL_SELL,AwEXQhdKGW 
[42280] SET_SELL_AMOUNT,AwEXQhdKGW,SSF,398.63 
[42877] SET_SELL_TRIGGER,AwEXQhdKGW,SSF,105.74 
[42881] CANCEL_SET_SELL,AwEXQhdKGW,SIK 
[43021] SELL,AwEXQhdKGW,JVT,154.11 
[43096] COMMIT_SELL,AwEXQhdKGW 
[43181] SELL,AwEXQhdKGW,OPN,587.16 
[43365] SET_SELL_TRIGGER,AwEXQhdKGW,JPD,48.42 
[43747] SET_BUY_TRIGGER,AwEXQhdKGW,YWK,95.43 
[43852] COMMIT_SELL,AwEXQhdKGW 
[44022] SET_BUY_AMOUNT,AwEXQhdKGW,CSZ,653.36 
[44183] SET_BUY_TRIGGER,AwEXQhdKGW,SKC,564.81 
[44236] QUOTE,AwEXQhdKGW,MZT 
[44298] QUOTE,AwEXQhdKGW,RQS 
[44485] BUY,AwEXQhdKGW,OIY,554.79 
[44493] CANCEL_BUY,AwEXQhdKGW 
[44568] CANCEL_SET_BUY,AwEXQhdKGW,ZNY 
[44600] QUOTE,AwEXQhdKGW,SHP 
[44640] QUOTE,AwEXQhdKGW,UBJ 
[44862] BUY,AwEXQhdKGW,PTC,86.08 
[44899] SET_BUY_AMOUNT,AwEXQhdKGW,QGE,473.07 
[44940] SET_BUY_TRIGGER,AwEXQhdKGW,LUD,224.79 
[45206] SET_BUY_TRIGGER,AwEXQhdKGW,BOS,25.10 
[45286] CANCEL_SET_SELL,AwEXQhdKGW,JCQ 
[45438] ADD,AwEXQhdKGW,77946.45 
[45492] BUY,AwEXQhdKGW,RLS,198.86 
[45510] COMMIT_BUY,AwEXQhdKGW 
