[64] ADD,YBTGw9v3Cl,92687.90 
[6908] SET_SELL_TRIGGER,YBTGw9v3Cl,MWB,142.15 
[7117] DISPLAY_SUMMARY,YBTGw9v3Cl 
[7169] QUOTE,YBTGw9v3Cl,JUJ 
[7319] QUOTE,YBTGw9v3Cl,IEQ 
[7559] CANCEL_SET_SELL,YBTGw9v3Cl,CXN 
[7641] DISPLAY_SUMMARY,YBTGw9v3Cl 
[7930] BUY,YBTGw9v3Cl,UIE,510.75 
[7984] CANCEL_BUY,YBTGw9v3Cl 
[8018] SET_SELL_TRIGGER,YBTGw9v3Cl,OHG,120.26 
[8144] ADD,YBTGw9v3Cl,76451.22 
[8235] QUOTE,YBTGw9v3Cl,ZNW 
[8243] BUY,YBTGw9v3Cl,HTN,408.63 
[8296] CANCEL_BUY,YBTGw9v3Cl 
[8414] SET_BUY_TRIGGER,YBTGw9v3Cl,COE,22.33 
[8485] DISPLAY_SUMMARY,YBTGw9v3Cl 
[8817] SET_SELL_AMOUNT,YBTGw9v3Cl,KDA,539.34 
[9120] CANCEL_SET_SELL,YBTGw9v3Cl,KDA 
[9136] SET_SELL_TRIGGER,YBTGw9v3Cl,YDD,28.30 
[9469] BUY,YBTGw9v3Cl,DBR,360.84 
[9660] COMMIT_BUY,YBTGw9v3Cl 
[9691] BUY,YBTGw9v3Cl,RDN,642.86 
[9715] COMMIT_BUY,YBTGw9v3Cl 
[10183] DISPLAY_SUMMARY,YBTGw9v3Cl 
[10350] DISPLAY_SUMMARY,YBTGw9v3Cl 
[10396] SELL,YBTGw9v3Cl,JCQ,378.61 
[10399] BUY,YBTGw9v3Cl,WYO,103.55 
[10471] COMMIT_BUY,YBTGw9v3Cl 
[10636] CANCEL_SET_SELL,YBTGw9v3Cl,YPW 
[10657] ADD,YBTGw9v3Cl,82489.45 
[11323] COMMIT_BUY,YBTGw9v3Cl 
[11376] SET_SELL_TRIGGER,YBTGw9v3Cl,EJW,159.79 
[11392] SET_SELL_AMOUNT,YBTGw9v3Cl,JCQ,294.05 
[11478] SET_SELL_TRIGGER,YBTGw9v3Cl,JCQ,193.40 
[11479] SET_BUY_AMOUNT,YBTGw9v3Cl,JCQ,163.40 
[11505] SET_BUY_TRIGGER,YBTGw9v3Cl,VTY,111.14 
[11796] SELL,YBTGw9v3Cl,FQP,736.58 
[11803] CANCEL_SET_SELL,YBTGw9v3Cl,INB 
[12092] COMMIT_BUY,YBTGw9v3Cl 
[12156] CANCEL_SET_BUY,YBTGw9v3Cl,SQS 
[12160] SET_SELL_AMOUNT,YBTGw9v3Cl,OEY,577.84 
[12210] SET_SELL_TRIGGER,YBTGw9v3Cl,OEY,500.64 
[12329] DISPLAY_SUMMARY,YBTGw9v3Cl 
[12766] SET_BUY_AMOUNT,YBTGw9v3Cl,EBS,184.00 
[12805] SET_BUY_TRIGGER,YBTGw9v3Cl,ZCG,163.00 
[12973] SET_BUY_AMOUNT,YBTGw9v3Cl,KES,273.41 
[12995] SET_BUY_TRIGGER,YBTGw9v3Cl,LPB,81.41 
[13014] DISPLAY_SUMMARY,YBTGw9v3Cl 
[13083] SELL,YBTGw9v3Cl,JVT,658.40 
[13171] COMMIT_SELL,YBTGw9v3Cl 
[13324] ADD,YBTGw9v3Cl,63516.78 
[13351] QUOTE,YBTGw9v3Cl,CXC 
[13415] BUY,YBTGw9v3Cl,TJL,162.24 
[13497] COMMIT_BUY,YBTGw9v3Cl 
[13535] QUOTE,YBTGw9v3Cl,NEV 
[13572] SET_BUY_TRIGGER,YBTGw9v3Cl,CSZ,98.59 
[13690] ADD,YBTGw9v3Cl,70875.86 
[13699] SELL,YBTGw9v3Cl,JRJ,407.90 
[13900] CANCEL_BUY,YBTGw9v3Cl 
[13943] DISPLAY_SUMMARY,YBTGw9v3Cl 
[13981] DISPLAY_SUMMARY,YBTGw9v3Cl 
[14033] SET_SELL_AMOUNT,YBTGw9v3Cl,FQP,491.71 
[14133] QUOTE,YBTGw9v3Cl,ILT 
[14152] BUY,YBTGw9v3Cl,OYS,228.84 
[14210] SET_BUY_AMOUNT,YBTGw9v3Cl,JRJ,620.76 
[14291] SET_BUY_TRIGGER,YBTGw9v3Cl,ZRH,534.34 
[14487] SET_BUY_AMOUNT,YBTGw9v3Cl,EBS,657.07 
[14683] SET_BUY_TRIGGER,YBTGw9v3Cl,QAX,562.68 
[14788] SELL,YBTGw9v3Cl,KES,173.21 
[14885] CANCEL_SET_BUY,YBTGw9v3Cl,UBJ 
[14994] DISPLAY_SUMMARY,YBTGw9v3Cl 
[15102] BUY,YBTGw9v3Cl,PJW,671.87 
[15292] COMMIT_BUY,YBTGw9v3Cl 
[15543] COMMIT_BUY,YBTGw9v3Cl 
[15577] ADD,YBTGw9v3Cl,88863.03 
[15652] BUY,YBTGw9v3Cl,EWP,380.51 
[15653] QUOTE,YBTGw9v3Cl,LKK 
[15728] SET_SELL_AMOUNT,YBTGw9v3Cl,JRJ,137.59 
[16026] SET_SELL_TRIGGER,YBTGw9v3Cl,JRJ,53.75 
[16077] ADD,YBTGw9v3Cl,44451.54 
[16112] BUY,YBTGw9v3Cl,RXO,51.04 
[16143] COMMIT_BUY,YBTGw9v3Cl 
[16327] ADD,YBTGw9v3Cl,68898.94 
[16432] QUOTE,YBTGw9v3Cl,KAR 
[16479] ADD,YBTGw9v3Cl,81005.46 
[16829] QUOTE,YBTGw9v3Cl,HEK 
[17086] ADD,YBTGw9v3Cl,65186.11 
[17201] BUY,YBTGw9v3Cl,NTT,693.00 
[17347] QUOTE,YBTGw9v3Cl,PPW 
[17457] SET_SELL_AMOUNT,YBTGw9v3Cl,JVT,696.79 
[17578] SET_SELL_TRIGGER,YBTGw9v3Cl,JVT,164.08 
[17702] DISPLAY_SUMMARY,YBTGw9v3Cl 
[17774] CANCEL_SET_SELL,YBTGw9v3Cl,IPJ 
[17785] SET_BUY_AMOUNT,YBTGw9v3Cl,JVT,425.79 
[17850] CANCEL_SET_BUY,YBTGw9v3Cl,WYA 
[17851] ADD,YBTGw9v3Cl,81318.10 
[17878] CANCEL_SET_BUY,YBTGw9v3Cl,GAL 
[17885] ADD,YBTGw9v3Cl,72780.94 
[17905] QUOTE,YBTGw9v3Cl,RFC 
[18075] SET_SELL_TRIGGER,YBTGw9v3Cl,WCY,101.50 
[18155] SELL,YBTGw9v3Cl,GYF,468.45 
[18274] COMMIT_SELL,YBTGw9v3Cl 
[18292] BUY,YBTGw9v3Cl,WRJ,598.27 
[18317] ADD,YBTGw9v3Cl,81926.77 
[18321] QUOTE,YBTGw9v3Cl,EDV 
[18401] BUY,YBTGw9v3Cl,LUD,209.26 
[18558] COMMIT_BUY,YBTGw9v3Cl 
[18565] BUY,YBTGw9v3Cl,CSZ,683.02 
[18576] COMMIT_BUY,YBTGw9v3Cl 
[18582] SET_BUY_TRIGGER,YBTGw9v3Cl,NSW,136.07 
[18761] ADD,YBTGw9v3Cl,63014.60 
[18777] QUOTE,YBTGw9v3Cl,LQN 
[18818] SET_SELL_AMOUNT,YBTGw9v3Cl,JCQ,458.81 
[18875] BUY,YBTGw9v3Cl,MWB,60.19 
[19092] COMMIT_BUY,YBTGw9v3Cl 
[19180] ADD,YBTGw9v3Cl,107420.23 
[19428] BUY,YBTGw9v3Cl,VKB,532.61 
[19463] SET_BUY_AMOUNT,YBTGw9v3Cl,UTV,71.33 
[19497] SET_BUY_TRIGGER,YBTGw9v3Cl,POI,69.34 
[19498] SET_BUY_TRIGGER,YBTGw9v3Cl,KKI,184.53 
[19531] SET_SELL_TRIGGER,YBTGw9v3Cl,JCQ,455.91 
[19597] DISPLAY_SUMMARY,YBTGw9v3Cl 
[19696] DISPLAY_SUMMARY,YBTGw9v3Cl 
[19704] SET_SELL_AMOUNT,YBTGw9v3Cl,UTV,688.29 
[19776] SET_SELL_TRIGGER,YBTGw9v3Cl,UTV,320.83 
[19785] BUY,YBTGw9v3Cl,NZS,566.45 
[19870] COMMIT_BUY,YBTGw9v3Cl 
[20361] BUY,YBTGw9v3Cl,FSD,545.81 
[20462] CANCEL_SET_SELL,YBTGw9v3Cl,VSE 
[20538] DISPLAY_SUMMARY,YBTGw9v3Cl 
[20552] DISPLAY_SUMMARY,YBTGw9v3Cl 
[20564] SET_SELL_AMOUNT,YBTGw9v3Cl,ZAN,447.80 
[20622] SET_SELL_TRIGGER,YBTGw9v3Cl,ZAN,343.53 
[20736] ADD,YBTGw9v3Cl,80553.20 
[20783] QUOTE,YBTGw9v3Cl,DMW 
[21041] DISPLAY_SUMMARY,YBTGw9v3Cl 
[21139] BUY,YBTGw9v3Cl,WCR,398.10 
[21169] COMMIT_BUY,YBTGw9v3Cl 
[21277] DISPLAY_SUMMARY,YBTGw9v3Cl 
[21349] COMMIT_BUY,YBTGw9v3Cl 
[21629] SET_SELL_TRIGGER,YBTGw9v3Cl,QAX,5.18 
[21633] DISPLAY_SUMMARY,YBTGw9v3Cl 
[21797] ADD,YBTGw9v3Cl,57109.56 
[21809] BUY,YBTGw9v3Cl,AIN,80.00 
[21909] COMMIT_BUY,YBTGw9v3Cl 
[22087] CANCEL_SET_SELL,YBTGw9v3Cl,WNH 
[22114] ADD,YBTGw9v3Cl,79899.46 
[22117] DISPLAY_SUMMARY,YBTGw9v3Cl 
[22138] SET_SELL_AMOUNT,YBTGw9v3Cl,QJZ,507.11 
[22222] SET_SELL_TRIGGER,YBTGw9v3Cl,QJZ,379.33 
[22446] BUY,YBTGw9v3Cl,BSZ,169.24 
[22526] COMMIT_BUY,YBTGw9v3Cl 
[22601] SELL,YBTGw9v3Cl,LFU,487.70 
[22815] COMMIT_SELL,YBTGw9v3Cl 
[22971] CANCEL_SET_BUY,YBTGw9v3Cl,ZQW 
[22983] QUOTE,YBTGw9v3Cl,BYA 
[23127] SET_BUY_TRIGGER,YBTGw9v3Cl,OBR,199.67 
[23132] SET_BUY_AMOUNT,YBTGw9v3Cl,JVT,385.08 
[23228] SET_BUY_TRIGGER,YBTGw9v3Cl,HTD,153.55 
[23304] ADD,YBTGw9v3Cl,44103.85 
[23414] BUY,YBTGw9v3Cl,WNX,481.40 
[23422] COMMIT_BUY,YBTGw9v3Cl 
[23522] ADD,YBTGw9v3Cl,56310.35 
[23536] BUY,YBTGw9v3Cl,BVN,399.27 
[23553] QUOTE,YBTGw9v3Cl,KBP 
[23571] QUOTE,YBTGw9v3Cl,EHF 
[23704] BUY,YBTGw9v3Cl,HBF,278.89 
[23734] COMMIT_BUY,YBTGw9v3Cl 
[23761] DISPLAY_SUMMARY,YBTGw9v3Cl 
[23777] QUOTE,YBTGw9v3Cl,TVI 
[23789] QUOTE,YBTGw9v3Cl,JLK 
[23865] COMMIT_SELL,YBTGw9v3Cl 
[23912] SET_SELL_TRIGGER,YBTGw9v3Cl,KQZ,89.41 
[23940] SELL,YBTGw9v3Cl,ZAN,142.83 
[23949] BUY,YBTGw9v3Cl,BCQ,340.14 
[23960] SET_BUY_TRIGGER,YBTGw9v3Cl,XDN,133.45 
[24127] ADD,YBTGw9v3Cl,80823.18 
[24150] BUY,YBTGw9v3Cl,XBL,623.31 
[24168] CANCEL_BUY,YBTGw9v3Cl 
[24186] DISPLAY_SUMMARY,YBTGw9v3Cl 
[24317] BUY,YBTGw9v3Cl,OYX,438.20 
[24357] COMMIT_BUY,YBTGw9v3Cl 
[24395] QUOTE,YBTGw9v3Cl,ZER 
[24459] SELL,YBTGw9v3Cl,UTV,606.41 
[24471] COMMIT_SELL,YBTGw9v3Cl 
[24497] SET_BUY_AMOUNT,YBTGw9v3Cl,JVT,278.80 
[24654] SET_BUY_TRIGGER,YBTGw9v3Cl,QTH,264.93 
[24686] SELL,YBTGw9v3Cl,JVT,548.24 
[24847] CANCEL_SELL,YBTGw9v3Cl 
[25155] SELL,YBTGw9v3Cl,DFE,727.30 
[25385] COMMIT_SELL,YBTGw9v3Cl 
[25426] DISPLAY_SUMMARY,YBTGw9v3Cl 
[25472] BUY,YBTGw9v3Cl,YTT,378.42 
[25513] SET_SELL_AMOUNT,YBTGw9v3Cl,DFE,97.62 
[25518] SET_SELL_TRIGGER,YBTGw9v3Cl,DFE,60.49 
[25555] ADD,YBTGw9v3Cl,40120.38 
[25588] CANCEL_SET_SELL,YBTGw9v3Cl,PHU 
[25685] DISPLAY_SUMMARY,YBTGw9v3Cl 
[25794] SET_SELL_TRIGGER,YBTGw9v3Cl,WXV,103.13 
[25804] ADD,YBTGw9v3Cl,79080.23 
[25816] CANCEL_SET_SELL,YBTGw9v3Cl,JLK 
[25861] SET_SELL_TRIGGER,YBTGw9v3Cl,BLC,79.10 
[25867] DISPLAY_SUMMARY,YBTGw9v3Cl 
[25915] QUOTE,YBTGw9v3Cl,WZY 
[26020] BUY,YBTGw9v3Cl,OYX,747.18 
[26283] CANCEL_BUY,YBTGw9v3Cl 
[26312] ADD,YBTGw9v3Cl,71743.29 
[26317] SET_SELL_TRIGGER,YBTGw9v3Cl,SDL,142.04 
[26519] SET_SELL_AMOUNT,YBTGw9v3Cl,YJK,30.44 
[26544] CANCEL_SET_SELL,YBTGw9v3Cl,YJK 
[26558] ADD,YBTGw9v3Cl,88454.71 
[26824] BUY,YBTGw9v3Cl,BOS,371.88 
[26913] COMMIT_BUY,YBTGw9v3Cl 
[26990] QUOTE,YBTGw9v3Cl,YLZ 
[27285] QUOTE,YBTGw9v3Cl,HMR 
[27329] CANCEL_BUY,YBTGw9v3Cl 
[27526] SELL,YBTGw9v3Cl,ZAN,86.26 
[27560] CANCEL_SET_SELL,YBTGw9v3Cl,ZOZ 
[27609] ADD,YBTGw9v3Cl,96879.87 
[27743] BUY,YBTGw9v3Cl,PXF,732.96 
[27779] BUY,YBTGw9v3Cl,KEO,396.79 
[27994] COMMIT_BUY,YBTGw9v3Cl 
[28111] SELL,YBTGw9v3Cl,JRJ,371.92 
[28135] COMMIT_SELL,YBTGw9v3Cl 
[28349] QUOTE,YBTGw9v3Cl,UMV 
[28404] SELL,YBTGw9v3Cl,LFU,651.02 
[28424] SET_SELL_TRIGGER,YBTGw9v3Cl,BHQ,24.56 
[28615] DISPLAY_SUMMARY,YBTGw9v3Cl 
[28629] ADD,YBTGw9v3Cl,83026.14 
[28765] BUY,YBTGw9v3Cl,BXH,689.75 
[28834] CANCEL_SET_BUY,YBTGw9v3Cl,HNO 
[28886] SET_BUY_TRIGGER,YBTGw9v3Cl,RDN,113.13 
[28919] SET_BUY_AMOUNT,YBTGw9v3Cl,OEY,686.84 
[28994] SET_BUY_TRIGGER,YBTGw9v3Cl,GHE,287.01 
[29093] QUOTE,YBTGw9v3Cl,SQI 
[29406] BUY,YBTGw9v3Cl,KAR,295.25 
[29469] COMMIT_BUY,YBTGw9v3Cl 
[29562] SET_BUY_AMOUNT,YBTGw9v3Cl,JVT,64.62 
[29650] SET_BUY_TRIGGER,YBTGw9v3Cl,NVN,13.11 
[29718] QUOTE,YBTGw9v3Cl,ROW 
[29883] BUY,YBTGw9v3Cl,DRP,205.28 
[30009] COMMIT_SELL,YBTGw9v3Cl 
[30072] ADD,YBTGw9v3Cl,82693.40 
[30189] QUOTE,YBTGw9v3Cl,HMR 
[30225] QUOTE,YBTGw9v3Cl,IEQ 
[30282] BUY,YBTGw9v3Cl,PLB,592.65 
[30390] CANCEL_BUY,YBTGw9v3Cl 
[30412] SET_SELL_AMOUNT,YBTGw9v3Cl,UTV,87.98 
[30455] SET_SELL_TRIGGER,YBTGw9v3Cl,UTV,14.48 
[30497] DISPLAY_SUMMARY,YBTGw9v3Cl 
[30553] ADD,YBTGw9v3Cl,48981.71 
[30613] BUY,YBTGw9v3Cl,XWZ,96.52 
[30694] COMMIT_BUY,YBTGw9v3Cl 
[30812] SELL,YBTGw9v3Cl,ZAN,207.49 
[30816] COMMIT_SELL,YBTGw9v3Cl 
[30834] ADD,YBTGw9v3Cl,65172.35 
[31172] BUY,YBTGw9v3Cl,PIC,552.41 
[31193] COMMIT_BUY,YBTGw9v3Cl 
[31256] QUOTE,YBTGw9v3Cl,OFP 
[31342] CANCEL_BUY,YBTGw9v3Cl 
[31348] DISPLAY_SUMMARY,YBTGw9v3Cl 
[31372] ADD,YBTGw9v3Cl,42664.33 
[31425] QUOTE,YBTGw9v3Cl,DGA 
[31470] BUY,YBTGw9v3Cl,YIU,520.21 
[31640] SET_BUY_TRIGGER,YBTGw9v3Cl,SAJ,3.39 
[31673] DISPLAY_SUMMARY,YBTGw9v3Cl 
[31677] SET_SELL_TRIGGER,YBTGw9v3Cl,KPE,28.02 
[31861] SET_BUY_TRIGGER,YBTGw9v3Cl,JGG,112.76 
[31884] DISPLAY_SUMMARY,YBTGw9v3Cl 
[31904] SET_SELL_AMOUNT,YBTGw9v3Cl,KDA,117.64 
[32021] BUY,YBTGw9v3Cl,TTY,672.69 
[32215] SELL,YBTGw9v3Cl,KDA,327.81 
[32348] COMMIT_SELL,YBTGw9v3Cl 
[32425] ADD,YBTGw9v3Cl,93569.63 
[32635] SET_BUY_TRIGGER,YBTGw9v3Cl,NGH,37.42 
[32671] SET_SELL_AMOUNT,YBTGw9v3Cl,DFE,290.98 
[32722] SET_SELL_TRIGGER,YBTGw9v3Cl,DFE,102.25 
[32725] ADD,YBTGw9v3Cl,57613.36 
[32805] QUOTE,YBTGw9v3Cl,APY 
[32940] BUY,YBTGw9v3Cl,HYX,283.73 
[32970] COMMIT_BUY,YBTGw9v3Cl 
[33041] CANCEL_BUY,YBTGw9v3Cl 
[33119] CANCEL_SET_BUY,YBTGw9v3Cl,DWK 
[33289] BUY,YBTGw9v3Cl,STO,704.97 
[33342] CANCEL_SET_BUY,YBTGw9v3Cl,XSS 
[33386] ADD,YBTGw9v3Cl,64983.58 
[33500] BUY,YBTGw9v3Cl,QVA,738.72 
[33601] COMMIT_BUY,YBTGw9v3Cl 
[33640] CANCEL_SELL,YBTGw9v3Cl 
[33749] CANCEL_BUY,YBTGw9v3Cl 
[33767] DISPLAY_SUMMARY,YBTGw9v3Cl 
[33828] SELL,YBTGw9v3Cl,XXQ,164.72 
[34272] ADD,YBTGw9v3Cl,60928.49 
[34463] QUOTE,YBTGw9v3Cl,DOI 
[34469] BUY,YBTGw9v3Cl,ZAM,131.04 
[34619] COMMIT_BUY,YBTGw9v3Cl 
[34752] BUY,YBTGw9v3Cl,DWX,69.35 
[34807] SET_SELL_TRIGGER,YBTGw9v3Cl,VGW,186.51 
[34828] SET_SELL_TRIGGER,YBTGw9v3Cl,BTA,149.24 
[35014] SET_BUY_AMOUNT,YBTGw9v3Cl,ZAN,444.94 
[35048] SET_BUY_TRIGGER,YBTGw9v3Cl,AOC,437.15 
[35198] SET_BUY_AMOUNT,YBTGw9v3Cl,KDA,210.13 
[35417] SET_BUY_TRIGGER,YBTGw9v3Cl,PHE,131.14 
[35448] BUY,YBTGw9v3Cl,JZJ,309.15 
[35661] SET_SELL_AMOUNT,YBTGw9v3Cl,BYA,156.74 
[35837] DISPLAY_SUMMARY,YBTGw9v3Cl 
[35843] SELL,YBTGw9v3Cl,CUZ,97.16 
[35910] QUOTE,YBTGw9v3Cl,YTO 
[35921] ADD,YBTGw9v3Cl,81471.53 
[35925] QUOTE,YBTGw9v3Cl,GPM 
[36087] BUY,YBTGw9v3Cl,ZSV,245.37 
[36138] CANCEL_BUY,YBTGw9v3Cl 
[36303] SELL,YBTGw9v3Cl,JVT,295.81 
[36341] CANCEL_SELL,YBTGw9v3Cl 
[36372] QUOTE,YBTGw9v3Cl,ECL 
[36409] SET_SELL_TRIGGER,YBTGw9v3Cl,BYA,119.41 
[36412] SELL,YBTGw9v3Cl,RUN,143.33 
[36457] COMMIT_SELL,YBTGw9v3Cl 
[36557] QUOTE,YBTGw9v3Cl,FQP 
[36709] ADD,YBTGw9v3Cl,80099.54 
[36759] QUOTE,YBTGw9v3Cl,SAN 
[36766] DISPLAY_SUMMARY,YBTGw9v3Cl 
[36888] SET_SELL_TRIGGER,YBTGw9v3Cl,FCH,127.14 
[37120] BUY,YBTGw9v3Cl,XXT,262.25 
[37167] CANCEL_SET_BUY,YBTGw9v3Cl,JFJ 
[37256] SET_SELL_AMOUNT,YBTGw9v3Cl,LFU,688.18 
[37303] QUOTE,YBTGw9v3Cl,ZDB 
[37338] SET_BUY_AMOUNT,YBTGw9v3Cl,ZYR,561.26 
[37411] SET_BUY_TRIGGER,YBTGw9v3Cl,BTP,229.59 
[37431] DISPLAY_SUMMARY,YBTGw9v3Cl 
[37444] SET_SELL_TRIGGER,YBTGw9v3Cl,LFU,657.33 
[37577] SET_SELL_AMOUNT,YBTGw9v3Cl,KDA,314.53 
[37620] SELL,YBTGw9v3Cl,PTP,741.58 
[37647] COMMIT_SELL,YBTGw9v3Cl 
[37852] ADD,YBTGw9v3Cl,70823.53 
[38056] BUY,YBTGw9v3Cl,IZU,514.83 
[38099] COMMIT_BUY,YBTGw9v3Cl 
[38140] QUOTE,YBTGw9v3Cl,ZFT 
[38314] SET_BUY_TRIGGER,YBTGw9v3Cl,LLD,90.05 
[38695] DISPLAY_SUMMARY,YBTGw9v3Cl 
[38722] BUY,YBTGw9v3Cl,QHF,460.67 
[38810] SET_BUY_TRIGGER,YBTGw9v3Cl,VUS,133.24 
[39012] ADD,YBTGw9v3Cl,95204.15 
[39181] BUY,YBTGw9v3Cl,ULL,41.64 
[39244] DISPLAY_SUMMARY,YBTGw9v3Cl 
[39316] COMMIT_SELL,YBTGw9v3Cl 
[39329] BUY,YBTGw9v3Cl,OLI,226.55 
[39496] COMMIT_BUY,YBTGw9v3Cl 
[39533] SET_SELL_TRIGGER,YBTGw9v3Cl,KDA,180.33 
[39602] SET_SELL_AMOUNT,YBTGw9v3Cl,JVT,652.87 
[39706] SET_SELL_TRIGGER,YBTGw9v3Cl,JVT,490.30 
[39710] ADD,YBTGw9v3Cl,73748.52 
[39725] QUOTE,YBTGw9v3Cl,PPY 
[40045] QUOTE,YBTGw9v3Cl,KES 
[40162] SET_BUY_TRIGGER,YBTGw9v3Cl,GHL,39.66 
[40218] ADD,YBTGw9v3Cl,80351.16 
[40243] QUOTE,YBTGw9v3Cl,QQW 
[40333] CANCEL_SET_SELL,YBTGw9v3Cl,QPR 
[40390] DISPLAY_SUMMARY,YBTGw9v3Cl 
[40467] QUOTE,YBTGw9v3Cl,KNM 
[40522] SET_BUY_TRIGGER,YBTGw9v3Cl,JUN,114.54 
[40562] SELL,YBTGw9v3Cl,ZYR,557.16 
[40633] CANCEL_SELL,YBTGw9v3Cl 
[40751] SET_BUY_TRIGGER,YBTGw9v3Cl,GJR,131.10 
[40813] SET_SELL_TRIGGER,YBTGw9v3Cl,GHL,104.85 
[40816] ADD,YBTGw9v3Cl,76212.72 
[40920] BUY,YBTGw9v3Cl,HEK,289.98 
[41050] COMMIT_BUY,YBTGw9v3Cl 
[41224] SELL,YBTGw9v3Cl,UTV,725.60 
[41226] COMMIT_BUY,YBTGw9v3Cl 
[41340] SET_BUY_AMOUNT,YBTGw9v3Cl,CUZ,146.27 
[41406] SET_BUY_TRIGGER,YBTGw9v3Cl,GGY,63.29 
[41487] DISPLAY_SUMMARY,YBTGw9v3Cl 
[41711] SELL,YBTGw9v3Cl,CSZ,202.67 
[41795] COMMIT_SELL,YBTGw9v3Cl 
[41803] QUOTE,YBTGw9v3Cl,JRY 
[41862] QUOTE,YBTGw9v3Cl,PPY 
[41906] CANCEL_SELL,YBTGw9v3Cl 
[41989] DISPLAY_SUMMARY,YBTGw9v3Cl 
[41993] SET_SELL_TRIGGER,YBTGw9v3Cl,NSN,176.15 
[42059] SET_BUY_AMOUNT,YBTGw9v3Cl,YJK,120.49 
[42111] SET_BUY_TRIGGER,YBTGw9v3Cl,PTP,103.15 
[42129] ADD,YBTGw9v3Cl,72626.46 
