[135] ADD,kMcjEkmbDd,59125.79 
[10961] QUOTE,kMcjEkmbDd,XLV 
[11121] SET_SELL_TRIGGER,kMcjEkmbDd,NJI,143.67 
[11129] ADD,kMcjEkmbDd,68962.49 
[11296] QUOTE,kMcjEkmbDd,HEJ 
[11422] DISPLAY_SUMMARY,kMcjEkmbDd 
[11451] ADD,kMcjEkmbDd,97304.06 
[11589] QUOTE,kMcjEkmbDd,ULL 
[11675] SET_BUY_AMOUNT,kMcjEkmbDd,GYF,425.32 
[11879] CANCEL_SET_BUY,kMcjEkmbDd,WUF 
[11971] BUY,kMcjEkmbDd,YRO,396.43 
[12080] COMMIT_BUY,kMcjEkmbDd 
[12235] DISPLAY_SUMMARY,kMcjEkmbDd 
[12281] SELL,kMcjEkmbDd,OEY,364.58 
[12455] CANCEL_BUY,kMcjEkmbDd 
[12600] DISPLAY_SUMMARY,kMcjEkmbDd 
[12612] CANCEL_SET_SELL,kMcjEkmbDd,DPG 
[12653] SELL,kMcjEkmbDd,GYF,50.55 
[13054] COMMIT_SELL,kMcjEkmbDd 
[13345] SET_BUY_AMOUNT,kMcjEkmbDd,GYF,585.07 
[13347] SET_BUY_TRIGGER,kMcjEkmbDd,IOM,137.31 
[13484] SET_SELL_TRIGGER,kMcjEkmbDd,YUL,124.61 
[13587] SELL,kMcjEkmbDd,FQP,373.20 
[13629] SET_BUY_TRIGGER,kMcjEkmbDd,DWX,71.32 
[13646] ADD,kMcjEkmbDd,77209.30 
[13672] QUOTE,kMcjEkmbDd,UTL 
[13762] BUY,kMcjEkmbDd,BRT,109.44 
[13822] CANCEL_BUY,kMcjEkmbDd 
[13834] QUOTE,kMcjEkmbDd,WAI 
[13986] BUY,kMcjEkmbDd,JEO,247.80 
[14199] SET_BUY_TRIGGER,kMcjEkmbDd,MHI,199.60 
[14383] ADD,kMcjEkmbDd,89090.08 
[14833] QUOTE,kMcjEkmbDd,IOM 
[14864] BUY,kMcjEkmbDd,FTB,158.45 
[15103] COMMIT_BUY,kMcjEkmbDd 
[15144] SELL,kMcjEkmbDd,GYF,25.90 
[15264] COMMIT_SELL,kMcjEkmbDd 
[15300] ADD,kMcjEkmbDd,63792.26 
[15840] BUY,kMcjEkmbDd,ALG,30.37 
[15873] COMMIT_BUY,kMcjEkmbDd 
[15886] DISPLAY_SUMMARY,kMcjEkmbDd 
[15911] SET_BUY_TRIGGER,kMcjEkmbDd,IPH,142.34 
[15958] SET_BUY_AMOUNT,kMcjEkmbDd,QAX,294.01 
[16659] SET_BUY_TRIGGER,kMcjEkmbDd,RQL,180.88 
[16855] SELL,kMcjEkmbDd,EBS,588.01 
[16859] COMMIT_SELL,kMcjEkmbDd 
[17000] BUY,kMcjEkmbDd,SJG,26.39 
[17080] CANCEL_BUY,kMcjEkmbDd 
[17140] SET_SELL_AMOUNT,kMcjEkmbDd,EBS,508.39 
[17248] SET_SELL_TRIGGER,kMcjEkmbDd,EBS,223.41 
[17261] SET_SELL_TRIGGER,kMcjEkmbDd,PFK,125.19 
[17422] SET_BUY_TRIGGER,kMcjEkmbDd,DBT,19.73 
[17528] SELL,kMcjEkmbDd,FQP,196.66 
[17685] BUY,kMcjEkmbDd,FQR,575.70 
[17697] COMMIT_BUY,kMcjEkmbDd 
[17730] BUY,kMcjEkmbDd,HHG,148.11 
[17913] COMMIT_BUY,kMcjEkmbDd 
[17982] DISPLAY_SUMMARY,kMcjEkmbDd 
[18123] ADD,kMcjEkmbDd,60998.27 
[18210] BUY,kMcjEkmbDd,ZMA,133.39 
[18300] SELL,kMcjEkmbDd,QAX,398.64 
[18433] COMMIT_SELL,kMcjEkmbDd 
[18434] BUY,kMcjEkmbDd,BMQ,384.17 
[18610] COMMIT_BUY,kMcjEkmbDd 
[18671] DISPLAY_SUMMARY,kMcjEkmbDd 
[18727] QUOTE,kMcjEkmbDd,RVZ 
[18886] BUY,kMcjEkmbDd,MOF,360.96 
[18915] COMMIT_BUY,kMcjEkmbDd 
[19128] ADD,kMcjEkmbDd,61706.35 
[19343] SELL,kMcjEkmbDd,KES,564.38 
[19424] COMMIT_SELL,kMcjEkmbDd 
[19470] CANCEL_SET_BUY,kMcjEkmbDd,OGB 
[19480] ADD,kMcjEkmbDd,36311.89 
[19633] SET_SELL_AMOUNT,kMcjEkmbDd,OEY,415.50 
[19636] SET_SELL_TRIGGER,kMcjEkmbDd,OEY,109.08 
[20201] ADD,kMcjEkmbDd,62632.35 
[20424] BUY,kMcjEkmbDd,QUT,223.54 
[20477] COMMIT_BUY,kMcjEkmbDd 
[20494] SET_SELL_TRIGGER,kMcjEkmbDd,OBR,0.19 
[20559] SET_SELL_TRIGGER,kMcjEkmbDd,XLK,140.97 
[20569] CANCEL_SET_BUY,kMcjEkmbDd,UEC 
[20768] SET_SELL_AMOUNT,kMcjEkmbDd,FQP,50.88 
[20820] SET_SELL_TRIGGER,kMcjEkmbDd,FQP,40.22 
[20851] SELL,kMcjEkmbDd,JRJ,353.66 
[20903] COMMIT_SELL,kMcjEkmbDd 
[20905] DISPLAY_SUMMARY,kMcjEkmbDd 
[20913] SELL,kMcjEkmbDd,KES,357.95 
[21153] BUY,kMcjEkmbDd,TVI,253.13 
[21166] CANCEL_BUY,kMcjEkmbDd 
[21170] COMMIT_SELL,kMcjEkmbDd 
[21193] SELL,kMcjEkmbDd,OEY,43.18 
[21211] CANCEL_SELL,kMcjEkmbDd 
[21233] DISPLAY_SUMMARY,kMcjEkmbDd 
[21354] SET_BUY_AMOUNT,kMcjEkmbDd,JCQ,197.96 
[21408] SELL,kMcjEkmbDd,KES,441.99 
[21537] COMMIT_SELL,kMcjEkmbDd 
[21547] SET_BUY_AMOUNT,kMcjEkmbDd,QJZ,271.62 
[21566] SET_BUY_TRIGGER,kMcjEkmbDd,OTI,112.69 
[21627] SET_SELL_AMOUNT,kMcjEkmbDd,KDA,727.25 
[21672] SET_SELL_TRIGGER,kMcjEkmbDd,KDA,487.47 
[21720] SET_BUY_AMOUNT,kMcjEkmbDd,UTV,442.84 
[21849] SET_BUY_TRIGGER,kMcjEkmbDd,PUU,79.22 
[21947] SET_SELL_TRIGGER,kMcjEkmbDd,UDM,40.97 
[21960] DISPLAY_SUMMARY,kMcjEkmbDd 
[22161] ADD,kMcjEkmbDd,58925.69 
[22165] QUOTE,kMcjEkmbDd,DTG 
[22177] DISPLAY_SUMMARY,kMcjEkmbDd 
[22191] COMMIT_SELL,kMcjEkmbDd 
[22238] SELL,kMcjEkmbDd,OEY,231.43 
[22450] DISPLAY_SUMMARY,kMcjEkmbDd 
[22792] SET_SELL_AMOUNT,kMcjEkmbDd,QAX,311.16 
[22844] SET_SELL_TRIGGER,kMcjEkmbDd,QAX,138.88 
[22872] QUOTE,kMcjEkmbDd,SQI 
[22906] QUOTE,kMcjEkmbDd,YBP 
[22931] SET_BUY_TRIGGER,kMcjEkmbDd,KJD,29.49 
[22981] QUOTE,kMcjEkmbDd,DHA 
[23116] SET_SELL_TRIGGER,kMcjEkmbDd,JEO,103.25 
[23231] BUY,kMcjEkmbDd,SKY,149.03 
[23243] COMMIT_BUY,kMcjEkmbDd 
[23259] BUY,kMcjEkmbDd,HFS,440.42 
[23260] COMMIT_BUY,kMcjEkmbDd 
[23337] ADD,kMcjEkmbDd,86233.03 
[23350] QUOTE,kMcjEkmbDd,XFH 
[23425] ADD,kMcjEkmbDd,70287.66 
[23434] QUOTE,kMcjEkmbDd,DKV 
[23515] BUY,kMcjEkmbDd,CLP,556.01 
[23556] QUOTE,kMcjEkmbDd,HGG 
[23625] ADD,kMcjEkmbDd,58160.37 
[23636] QUOTE,kMcjEkmbDd,OYS 
[23711] ADD,kMcjEkmbDd,63000.77 
[23733] BUY,kMcjEkmbDd,WYO,394.36 
[23774] SET_BUY_AMOUNT,kMcjEkmbDd,JCQ,574.75 
[23798] CANCEL_SET_BUY,kMcjEkmbDd,FFI 
[23886] DISPLAY_SUMMARY,kMcjEkmbDd 
[23933] ADD,kMcjEkmbDd,94714.47 
[24032] QUOTE,kMcjEkmbDd,KDA 
[24034] BUY,kMcjEkmbDd,EAK,403.35 
[24114] COMMIT_BUY,kMcjEkmbDd 
[24153] DISPLAY_SUMMARY,kMcjEkmbDd 
[24156] ADD,kMcjEkmbDd,63207.94 
[24636] QUOTE,kMcjEkmbDd,EIK 
[24806] SET_BUY_TRIGGER,kMcjEkmbDd,NJF,183.69 
[24941] SET_SELL_TRIGGER,kMcjEkmbDd,ILT,36.37 
[24956] ADD,kMcjEkmbDd,74472.41 
[25074] QUOTE,kMcjEkmbDd,HFS 
[25188] SET_BUY_AMOUNT,kMcjEkmbDd,UTV,391.84 
[25232] SET_BUY_TRIGGER,kMcjEkmbDd,DWC,151.77 
[25306] SET_BUY_TRIGGER,kMcjEkmbDd,WZM,53.82 
[25427] QUOTE,kMcjEkmbDd,XFW 
[25556] QUOTE,kMcjEkmbDd,MOF 
[25571] SELL,kMcjEkmbDd,GYF,486.05 
[26303] QUOTE,kMcjEkmbDd,NQU 
[26319] QUOTE,kMcjEkmbDd,MIQ 
[26343] BUY,kMcjEkmbDd,RGH,321.94 
[26416] COMMIT_BUY,kMcjEkmbDd 
[26478] QUOTE,kMcjEkmbDd,ZOT 
[26501] DISPLAY_SUMMARY,kMcjEkmbDd 
[26613] CANCEL_SELL,kMcjEkmbDd 
[26855] QUOTE,kMcjEkmbDd,CUQ 
[26869] CANCEL_SET_SELL,kMcjEkmbDd,OZW 
[27089] BUY,kMcjEkmbDd,XCL,135.74 
[27157] COMMIT_BUY,kMcjEkmbDd 
[27177] COMMIT_BUY,kMcjEkmbDd 
[27187] CANCEL_SET_SELL,kMcjEkmbDd,VEX 
[27226] SET_BUY_AMOUNT,kMcjEkmbDd,KDA,664.89 
[27296] SET_BUY_TRIGGER,kMcjEkmbDd,PXY,308.50 
[27434] DISPLAY_SUMMARY,kMcjEkmbDd 
[27457] ADD,kMcjEkmbDd,76062.89 
[27537] CANCEL_SET_SELL,kMcjEkmbDd,YWK 
[27654] SET_BUY_AMOUNT,kMcjEkmbDd,KDA,213.38 
[27848] QUOTE,kMcjEkmbDd,PPW 
[27977] SET_BUY_TRIGGER,kMcjEkmbDd,JHY,46.79 
[28347] ADD,kMcjEkmbDd,40017.24 
[28597] SET_SELL_TRIGGER,kMcjEkmbDd,OYS,97.06 
[29055] SET_BUY_AMOUNT,kMcjEkmbDd,QJZ,60.98 
[29156] BUY,kMcjEkmbDd,BFB,386.72 
[29339] DISPLAY_SUMMARY,kMcjEkmbDd 
[29672] BUY,kMcjEkmbDd,RDK,553.56 
[29803] COMMIT_BUY,kMcjEkmbDd 
[30131] SELL,kMcjEkmbDd,DFE,518.98 
[30403] SET_SELL_TRIGGER,kMcjEkmbDd,XBE,166.58 
[30444] SET_SELL_TRIGGER,kMcjEkmbDd,TWJ,192.09 
[30674] SET_SELL_TRIGGER,kMcjEkmbDd,KKI,187.18 
[30679] SET_BUY_AMOUNT,kMcjEkmbDd,KES,218.88 
[30690] SELL,kMcjEkmbDd,JVT,51.48 
[30876] COMMIT_SELL,kMcjEkmbDd 
[30883] ADD,kMcjEkmbDd,81990.65 
[30951] QUOTE,kMcjEkmbDd,OQW 
[30955] COMMIT_BUY,kMcjEkmbDd 
[30971] SET_BUY_TRIGGER,kMcjEkmbDd,TVI,204.39 
[31154] SET_SELL_AMOUNT,kMcjEkmbDd,OEY,104.19 
[31171] BUY,kMcjEkmbDd,CVP,380.88 
[31182] CANCEL_BUY,kMcjEkmbDd 
[31202] ADD,kMcjEkmbDd,75775.86 
[31249] COMMIT_BUY,kMcjEkmbDd 
[31496] SET_BUY_TRIGGER,kMcjEkmbDd,OLI,66.01 
[31790] DISPLAY_SUMMARY,kMcjEkmbDd 
[31807] BUY,kMcjEkmbDd,KPP,496.11 
[32083] SET_BUY_TRIGGER,kMcjEkmbDd,XCL,92.56 
[32221] SELL,kMcjEkmbDd,QAX,569.74 
[32542] COMMIT_SELL,kMcjEkmbDd 
[32661] ADD,kMcjEkmbDd,70863.85 
[32696] BUY,kMcjEkmbDd,QGE,500.56 
[32735] COMMIT_BUY,kMcjEkmbDd 
[32761] CANCEL_SET_SELL,kMcjEkmbDd,OEY 
[32901] DISPLAY_SUMMARY,kMcjEkmbDd 
[33156] ADD,kMcjEkmbDd,61079.01 
[33470] QUOTE,kMcjEkmbDd,QAX 
[33560] BUY,kMcjEkmbDd,ZMK,375.35 
[33623] QUOTE,kMcjEkmbDd,BJL 
[33642] CANCEL_SELL,kMcjEkmbDd 
[33912] SET_BUY_TRIGGER,kMcjEkmbDd,IRQ,151.39 
[33932] DISPLAY_SUMMARY,kMcjEkmbDd 
[33968] ADD,kMcjEkmbDd,72482.52 
[33972] BUY,kMcjEkmbDd,XOM,619.16 
[33997] SET_SELL_AMOUNT,kMcjEkmbDd,KDA,512.85 
[34070] SET_SELL_TRIGGER,kMcjEkmbDd,KDA,77.45 
[34088] BUY,kMcjEkmbDd,WAI,200.47 
[34213] CANCEL_BUY,kMcjEkmbDd 
[34320] SET_BUY_TRIGGER,kMcjEkmbDd,POI,4.04 
[34323] DISPLAY_SUMMARY,kMcjEkmbDd 
[34507] QUOTE,kMcjEkmbDd,OLI 
[34586] QUOTE,kMcjEkmbDd,AJR 
[34812] QUOTE,kMcjEkmbDd,OEN 
[35119] CANCEL_SET_SELL,kMcjEkmbDd,BZX 
[35127] ADD,kMcjEkmbDd,92932.60 
[35176] QUOTE,kMcjEkmbDd,YTO 
[35301] ADD,kMcjEkmbDd,100807.31 
[35374] BUY,kMcjEkmbDd,XVK,741.21 
[35495] COMMIT_BUY,kMcjEkmbDd 
[35681] SET_SELL_TRIGGER,kMcjEkmbDd,YDD,137.37 
[35911] CANCEL_BUY,kMcjEkmbDd 
[35955] SET_SELL_AMOUNT,kMcjEkmbDd,DFE,418.94 
[36007] SET_SELL_TRIGGER,kMcjEkmbDd,DFE,24.78 
[36880] ADD,kMcjEkmbDd,57847.69 
[36927] BUY,kMcjEkmbDd,SEW,52.95 
[36931] COMMIT_BUY,kMcjEkmbDd 
[36980] DISPLAY_SUMMARY,kMcjEkmbDd 
[36997] CANCEL_BUY,kMcjEkmbDd 
[37132] ADD,kMcjEkmbDd,81177.65 
[37389] QUOTE,kMcjEkmbDd,NFO 
[37390] BUY,kMcjEkmbDd,RRZ,282.96 
[37495] COMMIT_BUY,kMcjEkmbDd 
[37524] SET_SELL_AMOUNT,kMcjEkmbDd,OEY,102.93 
[37608] CANCEL_SET_SELL,kMcjEkmbDd,OEY 
[37614] SET_BUY_AMOUNT,kMcjEkmbDd,JVT,127.18 
[37630] QUOTE,kMcjEkmbDd,EDW 
[37659] QUOTE,kMcjEkmbDd,RKQ 
[37664] BUY,kMcjEkmbDd,BSZ,432.28 
[37782] CANCEL_BUY,kMcjEkmbDd 
[37833] BUY,kMcjEkmbDd,TQE,546.35 
[37967] COMMIT_BUY,kMcjEkmbDd 
[38019] SET_BUY_TRIGGER,kMcjEkmbDd,OTD,53.56 
[38034] SELL,kMcjEkmbDd,DFE,152.94 
[38273] CANCEL_SET_BUY,kMcjEkmbDd,PNP 
[38328] ADD,kMcjEkmbDd,58384.82 
[38353] QUOTE,kMcjEkmbDd,YPW 
[38381] DISPLAY_SUMMARY,kMcjEkmbDd 
[38495] ADD,kMcjEkmbDd,85435.75 
[38514] BUY,kMcjEkmbDd,KAF,608.59 
[38622] COMMIT_SELL,kMcjEkmbDd 
[38628] SET_SELL_TRIGGER,kMcjEkmbDd,OHG,26.96 
[38656] BUY,kMcjEkmbDd,YLZ,590.26 
[38684] CANCEL_BUY,kMcjEkmbDd 
[38714] BUY,kMcjEkmbDd,ULL,330.94 
[38756] CANCEL_SET_BUY,kMcjEkmbDd,PZE 
[39136] SET_SELL_TRIGGER,kMcjEkmbDd,CXW,69.35 
[39294] COMMIT_BUY,kMcjEkmbDd 
[39483] SET_SELL_TRIGGER,kMcjEkmbDd,OEM,130.79 
[39520] ADD,kMcjEkmbDd,65426.88 
[39564] QUOTE,kMcjEkmbDd,AJL 
[39744] CANCEL_SELL,kMcjEkmbDd 
[39774] BUY,kMcjEkmbDd,RUN,745.15 
[39799] CANCEL_BUY,kMcjEkmbDd 
[39813] ADD,kMcjEkmbDd,81631.18 
[39851] CANCEL_SET_SELL,kMcjEkmbDd,IDX 
[39957] CANCEL_SELL,kMcjEkmbDd 
[39965] SET_SELL_AMOUNT,kMcjEkmbDd,QAX,666.71 
[39973] SET_SELL_TRIGGER,kMcjEkmbDd,QAX,516.75 
[40013] QUOTE,kMcjEkmbDd,MIR 
[40312] QUOTE,kMcjEkmbDd,SZI 
[40561] SET_BUY_AMOUNT,kMcjEkmbDd,CUZ,503.78 
[40757] SET_BUY_TRIGGER,kMcjEkmbDd,ZQS,170.88 
[40872] SET_SELL_TRIGGER,kMcjEkmbDd,RRT,162.87 
[40984] ADD,kMcjEkmbDd,54546.06 
[40989] QUOTE,kMcjEkmbDd,BPK 
[40996] SET_SELL_AMOUNT,kMcjEkmbDd,ZYR,509.56 
[41185] SET_SELL_TRIGGER,kMcjEkmbDd,ZYR,34.71 
[41206] QUOTE,kMcjEkmbDd,MLI 
[41311] DISPLAY_SUMMARY,kMcjEkmbDd 
[41316] SET_SELL_TRIGGER,kMcjEkmbDd,YCH,66.26 
[41489] DISPLAY_SUMMARY,kMcjEkmbDd 
[41611] ADD,kMcjEkmbDd,67136.48 
[41650] BUY,kMcjEkmbDd,KHY,707.96 
[41775] COMMIT_BUY,kMcjEkmbDd 
[41876] QUOTE,kMcjEkmbDd,RDN 
[41984] SET_SELL_TRIGGER,kMcjEkmbDd,ZOT,2.87 
[42131] DISPLAY_SUMMARY,kMcjEkmbDd 
[42141] BUY,kMcjEkmbDd,GWF,114.08 
[42157] COMMIT_BUY,kMcjEkmbDd 
[42578] SET_SELL_AMOUNT,kMcjEkmbDd,RGH,402.62 
[42641] SELL,kMcjEkmbDd,FQP,689.90 
[42642] CANCEL_SET_BUY,kMcjEkmbDd,CZQ 
[42692] QUOTE,kMcjEkmbDd,BEC 
[42738] DISPLAY_SUMMARY,kMcjEkmbDd 
[42932] COMMIT_SELL,kMcjEkmbDd 
[42987] BUY,kMcjEkmbDd,BCQ,341.83 
[43179] COMMIT_BUY,kMcjEkmbDd 
[43268] SET_SELL_AMOUNT,kMcjEkmbDd,EBS,89.27 
[43309] SET_SELL_TRIGGER,kMcjEkmbDd,EBS,15.38 
[43399] DISPLAY_SUMMARY,kMcjEkmbDd 
[43436] DISPLAY_SUMMARY,kMcjEkmbDd 
[43523] DISPLAY_SUMMARY,kMcjEkmbDd 
[43645] DISPLAY_SUMMARY,kMcjEkmbDd 
[43806] ADD,kMcjEkmbDd,58025.37 
[43870] QUOTE,kMcjEkmbDd,FPI 
[43961] DISPLAY_SUMMARY,kMcjEkmbDd 
[44219] ADD,kMcjEkmbDd,74474.61 
[44224] QUOTE,kMcjEkmbDd,UDM 
[44282] COMMIT_SELL,kMcjEkmbDd 
[44491] QUOTE,kMcjEkmbDd,FUR 
[44554] CANCEL_BUY,kMcjEkmbDd 
[44758] BUY,kMcjEkmbDd,MMY,603.23 
[44969] BUY,kMcjEkmbDd,VOU,13.22 
[44988] DISPLAY_SUMMARY,kMcjEkmbDd 
[44997] ADD,kMcjEkmbDd,97103.96 
[45023] QUOTE,kMcjEkmbDd,BFL 
[45036] SET_BUY_TRIGGER,kMcjEkmbDd,ESN,32.68 
[45043] DISPLAY_SUMMARY,kMcjEkmbDd 
[45203] CANCEL_SET_SELL,kMcjEkmbDd,FKX 
[45231] DISPLAY_SUMMARY,kMcjEkmbDd 
[45268] CANCEL_SELL,kMcjEkmbDd 
[45298] SELL,kMcjEkmbDd,ZYR,338.04 
[45350] SET_BUY_TRIGGER,kMcjEkmbDd,IZJ,167.90 
[45481] ADD,kMcjEkmbDd,105529.64 
[45499] QUOTE,kMcjEkmbDd,MLT 
[45531] CANCEL_SET_BUY,kMcjEkmbDd,KIP 
[45533] QUOTE,kMcjEkmbDd,TCP 
[45659] SET_BUY_TRIGGER,kMcjEkmbDd,IAV,83.53 
[45756] DISPLAY_SUMMARY,kMcjEkmbDd 
[45806] SET_BUY_TRIGGER,kMcjEkmbDd,SSL,18.48 
[45829] QUOTE,kMcjEkmbDd,EDM 
[45990] BUY,kMcjEkmbDd,WPG,680.30 
[46030] COMMIT_BUY,kMcjEkmbDd 
[46146] SELL,kMcjEkmbDd,GYF,380.01 
[46159] SET_SELL_TRIGGER,kMcjEkmbDd,OEX,56.69 
[46173] QUOTE,kMcjEkmbDd,GDO 
[46225] BUY,kMcjEkmbDd,WUF,106.41 
[46406] SET_BUY_TRIGGER,kMcjEkmbDd,RFI,65.70 
[46466] ADD,kMcjEkmbDd,61572.62 
[46469] BUY,kMcjEkmbDd,ZMK,282.97 
[46727] COMMIT_BUY,kMcjEkmbDd 
[46809] BUY,kMcjEkmbDd,QGN,380.81 
[46858] SET_BUY_TRIGGER,kMcjEkmbDd,NXU,198.54 
