[211] ADD,q0Qp5MF3CI,56949.71 
[4784] BUY,q0Qp5MF3CI,QVA,243.24 
[4795] CANCEL_BUY,q0Qp5MF3CI 
[4877] QUOTE,q0Qp5MF3CI,KGV 
[4978] QUOTE,q0Qp5MF3CI,KNM 
[5074] QUOTE,q0Qp5MF3CI,ZAN 
[5134] QUOTE,q0Qp5MF3CI,RWY 
[5263] BUY,q0Qp5MF3CI,GQV,579.77 
[5309] DISPLAY_SUMMARY,q0Qp5MF3CI 
[5501] SELL,q0Qp5MF3CI,KDA,68.21 
[5566] QUOTE,q0Qp5MF3CI,IOM 
[5713] SET_SELL_TRIGGER,q0Qp5MF3CI,YTT,66.42 
[5780] ADD,q0Qp5MF3CI,96886.14 
[5809] COMMIT_BUY,q0Qp5MF3CI 
[5922] ADD,q0Qp5MF3CI,87099.63 
[5974] CANCEL_BUY,q0Qp5MF3CI 
[5986] SET_SELL_AMOUNT,q0Qp5MF3CI,KDA,698.45 
[6070] CANCEL_SET_SELL,q0Qp5MF3CI,KDA 
[6142] DISPLAY_SUMMARY,q0Qp5MF3CI 
[6282] ADD,q0Qp5MF3CI,64820.02 
[6304] QUOTE,q0Qp5MF3CI,SEI 
[6333] QUOTE,q0Qp5MF3CI,VVV 
[6397] CANCEL_SET_BUY,q0Qp5MF3CI,QXW 
[6742] DISPLAY_SUMMARY,q0Qp5MF3CI 
[7000] ADD,q0Qp5MF3CI,70785.51 
[7099] QUOTE,q0Qp5MF3CI,FDI 
[7187] QUOTE,q0Qp5MF3CI,WTD 
[7250] QUOTE,q0Qp5MF3CI,GWS 
[7320] SET_BUY_AMOUNT,q0Qp5MF3CI,JVT,308.27 
[7384] CANCEL_SET_BUY,q0Qp5MF3CI,GWF 
[7450] SELL,q0Qp5MF3CI,FQP,335.02 
[7650] CANCEL_SET_SELL,q0Qp5MF3CI,KJD 
[7836] QUOTE,q0Qp5MF3CI,ZQS 
[7929] BUY,q0Qp5MF3CI,GLO,373.80 
[7955] COMMIT_BUY,q0Qp5MF3CI 
[8091] ADD,q0Qp5MF3CI,46030.66 
[8252] COMMIT_BUY,q0Qp5MF3CI 
[8292] SET_BUY_AMOUNT,q0Qp5MF3CI,KDA,277.94 
[8400] QUOTE,q0Qp5MF3CI,ENQ 
[8449] SELL,q0Qp5MF3CI,KES,23.71 
[8530] CANCEL_BUY,q0Qp5MF3CI 
[8656] ADD,q0Qp5MF3CI,80944.76 
[8662] QUOTE,q0Qp5MF3CI,YVS 
[8782] DISPLAY_SUMMARY,q0Qp5MF3CI 
[8792] QUOTE,q0Qp5MF3CI,WYA 
[8926] BUY,q0Qp5MF3CI,OYS,619.24 
[8970] CANCEL_SELL,q0Qp5MF3CI 
[8980] SET_SELL_TRIGGER,q0Qp5MF3CI,KAO,199.70 
[9100] DISPLAY_SUMMARY,q0Qp5MF3CI 
[9111] SET_BUY_AMOUNT,q0Qp5MF3CI,JVT,395.32 
[9446] SET_BUY_TRIGGER,q0Qp5MF3CI,NOP,214.32 
[9549] DISPLAY_SUMMARY,q0Qp5MF3CI 
[9782] QUOTE,q0Qp5MF3CI,AZN 
[9798] BUY,q0Qp5MF3CI,GYT,208.10 
[9836] COMMIT_BUY,q0Qp5MF3CI 
[9918] ADD,q0Qp5MF3CI,88973.38 
[9926] BUY,q0Qp5MF3CI,FTP,201.83 
[9933] COMMIT_BUY,q0Qp5MF3CI 
[10221] SET_SELL_TRIGGER,q0Qp5MF3CI,BJL,28.55 
[10287] COMMIT_BUY,q0Qp5MF3CI 
[10531] SET_BUY_AMOUNT,q0Qp5MF3CI,QJZ,707.95 
[10547] SET_BUY_TRIGGER,q0Qp5MF3CI,LMO,532.53 
[10548] SET_BUY_TRIGGER,q0Qp5MF3CI,UHO,3.76 
[10605] ADD,q0Qp5MF3CI,75158.59 
[10617] QUOTE,q0Qp5MF3CI,JLK 
[10681] SET_BUY_AMOUNT,q0Qp5MF3CI,GYF,187.00 
[10785] BUY,q0Qp5MF3CI,AEM,523.47 
[10801] BUY,q0Qp5MF3CI,FFZ,295.98 
[10947] COMMIT_BUY,q0Qp5MF3CI 
[11026] DISPLAY_SUMMARY,q0Qp5MF3CI 
[11059] CANCEL_SELL,q0Qp5MF3CI 
[11100] DISPLAY_SUMMARY,q0Qp5MF3CI 
[11185] SET_BUY_TRIGGER,q0Qp5MF3CI,RXO,172.30 
[11241] SET_SELL_AMOUNT,q0Qp5MF3CI,OEY,89.70 
[11333] CANCEL_SET_SELL,q0Qp5MF3CI,OEY 
[11557] SET_BUY_TRIGGER,q0Qp5MF3CI,PST,81.15 
[11630] SET_BUY_AMOUNT,q0Qp5MF3CI,JCQ,382.36 
[11696] QUOTE,q0Qp5MF3CI,URD 
[11734] BUY,q0Qp5MF3CI,NEV,553.97 
[11841] COMMIT_BUY,q0Qp5MF3CI 
[12145] SET_SELL_TRIGGER,q0Qp5MF3CI,OLI,151.27 
[12150] DISPLAY_SUMMARY,q0Qp5MF3CI 
[12335] ADD,q0Qp5MF3CI,59541.03 
[12426] CANCEL_SELL,q0Qp5MF3CI 
[12458] SET_BUY_AMOUNT,q0Qp5MF3CI,QAX,726.47 
[12510] SET_BUY_TRIGGER,q0Qp5MF3CI,KAF,522.12 
[12553] ADD,q0Qp5MF3CI,58484.53 
[12633] QUOTE,q0Qp5MF3CI,OWH 
[12784] SELL,q0Qp5MF3CI,JRJ,218.41 
[13046] SET_BUY_TRIGGER,q0Qp5MF3CI,FGI,152.31 
[13048] SELL,q0Qp5MF3CI,KDA,501.54 
[13061] COMMIT_SELL,q0Qp5MF3CI 
[13368] QUOTE,q0Qp5MF3CI,LPS 
[13495] DISPLAY_SUMMARY,q0Qp5MF3CI 
[13513] DISPLAY_SUMMARY,q0Qp5MF3CI 
[13694] SET_BUY_AMOUNT,q0Qp5MF3CI,OEY,275.60 
[13715] SET_BUY_TRIGGER,q0Qp5MF3CI,QGN,153.90 
[13783] ADD,q0Qp5MF3CI,71244.19 
[13812] BUY,q0Qp5MF3CI,SCK,535.80 
[13891] COMMIT_BUY,q0Qp5MF3CI 
[14000] CANCEL_SELL,q0Qp5MF3CI 
[14037] SET_SELL_AMOUNT,q0Qp5MF3CI,GYF,672.51 
[14040] DISPLAY_SUMMARY,q0Qp5MF3CI 
[14045] SET_SELL_AMOUNT,q0Qp5MF3CI,OEY,356.39 
[14153] SET_SELL_TRIGGER,q0Qp5MF3CI,OEY,116.58 
[14246] BUY,q0Qp5MF3CI,FPI,534.01 
[14348] CANCEL_SELL,q0Qp5MF3CI 
[14429] SET_SELL_AMOUNT,q0Qp5MF3CI,JCQ,318.12 
[14482] SELL,q0Qp5MF3CI,JCQ,531.81 
[14535] CANCEL_SET_SELL,q0Qp5MF3CI,JCQ 
[14779] SET_SELL_AMOUNT,q0Qp5MF3CI,UTV,12.30 
[14787] CANCEL_SET_SELL,q0Qp5MF3CI,UTV 
[14857] SET_SELL_AMOUNT,q0Qp5MF3CI,QAX,275.89 
[15022] SET_SELL_TRIGGER,q0Qp5MF3CI,QAX,127.32 
[15033] QUOTE,q0Qp5MF3CI,MLU 
[15127] ADD,q0Qp5MF3CI,81023.23 
[15165] BUY,q0Qp5MF3CI,BHH,650.40 
[15176] COMMIT_BUY,q0Qp5MF3CI 
[15253] SELL,q0Qp5MF3CI,KES,622.43 
[15386] COMMIT_SELL,q0Qp5MF3CI 
[15665] QUOTE,q0Qp5MF3CI,SXB 
[15713] BUY,q0Qp5MF3CI,TSU,693.40 
[15789] CANCEL_SET_BUY,q0Qp5MF3CI,GAN 
[15807] ADD,q0Qp5MF3CI,70125.02 
[16090] QUOTE,q0Qp5MF3CI,DLX 
[16095] SET_BUY_AMOUNT,q0Qp5MF3CI,OEY,322.70 
[16244] SET_BUY_TRIGGER,q0Qp5MF3CI,QPX,179.64 
[16256] DISPLAY_SUMMARY,q0Qp5MF3CI 
[16342] SELL,q0Qp5MF3CI,JRJ,124.19 
[16437] QUOTE,q0Qp5MF3CI,AAC 
[16527] BUY,q0Qp5MF3CI,ZCQ,335.11 
[16583] QUOTE,q0Qp5MF3CI,NGB 
[16671] BUY,q0Qp5MF3CI,OEY,132.56 
[16784] COMMIT_BUY,q0Qp5MF3CI 
[16894] CANCEL_SELL,q0Qp5MF3CI 
[16913] SELL,q0Qp5MF3CI,GYF,518.30 
[17221] SET_BUY_TRIGGER,q0Qp5MF3CI,JRJ,20.88 
[17356] COMMIT_BUY,q0Qp5MF3CI 
[17434] QUOTE,q0Qp5MF3CI,AJR 
[17513] BUY,q0Qp5MF3CI,OXV,537.03 
[17659] CANCEL_SELL,q0Qp5MF3CI 
[17719] DISPLAY_SUMMARY,q0Qp5MF3CI 
[17731] ADD,q0Qp5MF3CI,40376.67 
[17956] BUY,q0Qp5MF3CI,BBD,434.96 
[17969] CANCEL_SET_SELL,q0Qp5MF3CI,STQ 
[17996] SET_SELL_AMOUNT,q0Qp5MF3CI,EBS,266.31 
[18121] SET_SELL_TRIGGER,q0Qp5MF3CI,EBS,41.16 
[18357] SET_BUY_TRIGGER,q0Qp5MF3CI,SKV,85.74 
[18644] BUY,q0Qp5MF3CI,JFJ,18.15 
[18656] SELL,q0Qp5MF3CI,QJZ,595.26 
[18675] COMMIT_SELL,q0Qp5MF3CI 
[18718] DISPLAY_SUMMARY,q0Qp5MF3CI 
[18809] SET_SELL_AMOUNT,q0Qp5MF3CI,UTV,43.07 
[18942] SET_SELL_TRIGGER,q0Qp5MF3CI,UTV,3.21 
[18943] SET_SELL_TRIGGER,q0Qp5MF3CI,MIU,124.77 
[18996] BUY,q0Qp5MF3CI,ZCG,653.42 
[19050] DISPLAY_SUMMARY,q0Qp5MF3CI 
[19208] ADD,q0Qp5MF3CI,67508.35 
[19212] BUY,q0Qp5MF3CI,PDX,245.96 
[19278] COMMIT_BUY,q0Qp5MF3CI 
[19315] SET_SELL_TRIGGER,q0Qp5MF3CI,LPB,28.95 
[19435] DISPLAY_SUMMARY,q0Qp5MF3CI 
[19522] QUOTE,q0Qp5MF3CI,IHW 
[19545] BUY,q0Qp5MF3CI,EDW,571.02 
[19640] COMMIT_SELL,q0Qp5MF3CI 
[19768] ADD,q0Qp5MF3CI,51109.94 
[20240] BUY,q0Qp5MF3CI,OZO,59.80 
[20337] COMMIT_BUY,q0Qp5MF3CI 
[20512] BUY,q0Qp5MF3CI,RRE,405.73 
[20771] COMMIT_BUY,q0Qp5MF3CI 
[20780] SET_BUY_AMOUNT,q0Qp5MF3CI,NHG,540.82 
[20894] SET_BUY_TRIGGER,q0Qp5MF3CI,JTY,134.53 
[21045] SET_SELL_AMOUNT,q0Qp5MF3CI,GYF,16.41 
[21077] DISPLAY_SUMMARY,q0Qp5MF3CI 
[21118] SET_BUY_TRIGGER,q0Qp5MF3CI,SYM,98.92 
[21155] ADD,q0Qp5MF3CI,45200.14 
[21248] BUY,q0Qp5MF3CI,FIY,96.51 
[21379] COMMIT_BUY,q0Qp5MF3CI 
[21390] BUY,q0Qp5MF3CI,WZY,222.37 
[21619] QUOTE,q0Qp5MF3CI,UBJ 
[21632] QUOTE,q0Qp5MF3CI,FQR 
[21714] QUOTE,q0Qp5MF3CI,XTH 
[21761] DISPLAY_SUMMARY,q0Qp5MF3CI 
[21978] DISPLAY_SUMMARY,q0Qp5MF3CI 
[21985] BUY,q0Qp5MF3CI,AAC,690.93 
[22036] COMMIT_BUY,q0Qp5MF3CI 
[22447] SELL,q0Qp5MF3CI,KDA,742.29 
[22602] COMMIT_SELL,q0Qp5MF3CI 
[22633] ADD,q0Qp5MF3CI,62629.54 
[22715] QUOTE,q0Qp5MF3CI,OOV 
[22943] BUY,q0Qp5MF3CI,ETJ,551.58 
[23111] COMMIT_BUY,q0Qp5MF3CI 
[23144] DISPLAY_SUMMARY,q0Qp5MF3CI 
[23281] SET_BUY_AMOUNT,q0Qp5MF3CI,JRJ,115.22 
[23335] SET_BUY_TRIGGER,q0Qp5MF3CI,MRK,2.82 
[23538] ADD,q0Qp5MF3CI,29981.24 
[23576] QUOTE,q0Qp5MF3CI,VGW 
[23603] QUOTE,q0Qp5MF3CI,DDH 
[23938] QUOTE,q0Qp5MF3CI,UTV 
[24029] BUY,q0Qp5MF3CI,JZJ,679.19 
[24209] COMMIT_BUY,q0Qp5MF3CI 
[24448] SET_BUY_AMOUNT,q0Qp5MF3CI,UTV,697.45 
[24452] SET_BUY_TRIGGER,q0Qp5MF3CI,CVK,434.75 
[24481] DISPLAY_SUMMARY,q0Qp5MF3CI 
[24548] SET_SELL_TRIGGER,q0Qp5MF3CI,GYF,14.53 
[24674] SET_BUY_TRIGGER,q0Qp5MF3CI,BWR,38.20 
[24804] SET_BUY_TRIGGER,q0Qp5MF3CI,QPZ,67.27 
[24832] SELL,q0Qp5MF3CI,DFE,292.60 
[24859] COMMIT_SELL,q0Qp5MF3CI 
[24937] ADD,q0Qp5MF3CI,56408.41 
[24980] QUOTE,q0Qp5MF3CI,CXC 
[24994] BUY,q0Qp5MF3CI,UGG,110.88 
[25087] COMMIT_BUY,q0Qp5MF3CI 
[25500] SET_BUY_TRIGGER,q0Qp5MF3CI,ZUV,88.42 
[25559] BUY,q0Qp5MF3CI,MLT,683.90 
[25659] COMMIT_BUY,q0Qp5MF3CI 
[25735] SET_SELL_TRIGGER,q0Qp5MF3CI,CTS,169.08 
[25866] BUY,q0Qp5MF3CI,AHE,75.13 
[26334] COMMIT_BUY,q0Qp5MF3CI 
[26338] SELL,q0Qp5MF3CI,QJZ,109.52 
[26539] COMMIT_BUY,q0Qp5MF3CI 
[26722] QUOTE,q0Qp5MF3CI,MVD 
[26750] CANCEL_SELL,q0Qp5MF3CI 
[26866] SET_BUY_AMOUNT,q0Qp5MF3CI,KDA,54.52 
[26912] SELL,q0Qp5MF3CI,JQO,741.39 
[26924] SET_SELL_TRIGGER,q0Qp5MF3CI,LPB,92.46 
[26937] QUOTE,q0Qp5MF3CI,YDS 
[27168] ADD,q0Qp5MF3CI,58162.63 
[27218] QUOTE,q0Qp5MF3CI,BPP 
[27327] QUOTE,q0Qp5MF3CI,NDD 
[27362] SET_BUY_TRIGGER,q0Qp5MF3CI,WYO,21.04 
[27439] QUOTE,q0Qp5MF3CI,RQT 
[27471] COMMIT_SELL,q0Qp5MF3CI 
[27498] QUOTE,q0Qp5MF3CI,UJC 
[27501] ADD,q0Qp5MF3CI,75656.59 
[27568] QUOTE,q0Qp5MF3CI,YRO 
[27583] BUY,q0Qp5MF3CI,GWF,708.20 
[27629] COMMIT_BUY,q0Qp5MF3CI 
[27800] ADD,q0Qp5MF3CI,77975.40 
[27832] BUY,q0Qp5MF3CI,IHA,211.48 
[27953] SET_BUY_AMOUNT,q0Qp5MF3CI,QAX,35.09 
[28045] SET_BUY_TRIGGER,q0Qp5MF3CI,LBC,34.74 
[28046] ADD,q0Qp5MF3CI,75221.59 
[28151] QUOTE,q0Qp5MF3CI,PFN 
[28186] CANCEL_SET_BUY,q0Qp5MF3CI,IDX 
[28315] ADD,q0Qp5MF3CI,51217.81 
[28329] QUOTE,q0Qp5MF3CI,TQX 
[28517] BUY,q0Qp5MF3CI,THH,576.09 
[28536] COMMIT_BUY,q0Qp5MF3CI 
[28551] QUOTE,q0Qp5MF3CI,IIX 
[28685] QUOTE,q0Qp5MF3CI,EOY 
[28717] BUY,q0Qp5MF3CI,FPP,531.48 
[28802] COMMIT_BUY,q0Qp5MF3CI 
[28897] SET_SELL_AMOUNT,q0Qp5MF3CI,XXQ,409.98 
[28916] DISPLAY_SUMMARY,q0Qp5MF3CI 
[28976] DISPLAY_SUMMARY,q0Qp5MF3CI 
[28991] ADD,q0Qp5MF3CI,81987.85 
[29135] QUOTE,q0Qp5MF3CI,QGL 
[29157] SET_SELL_AMOUNT,q0Qp5MF3CI,RUN,41.77 
[29164] SET_SELL_TRIGGER,q0Qp5MF3CI,RUN,20.87 
[29190] SET_BUY_AMOUNT,q0Qp5MF3CI,FQP,411.68 
[29203] SET_BUY_TRIGGER,q0Qp5MF3CI,BHH,10.74 
[29501] SET_SELL_TRIGGER,q0Qp5MF3CI,GJQ,59.51 
[29743] DISPLAY_SUMMARY,q0Qp5MF3CI 
[29886] ADD,q0Qp5MF3CI,62682.11 
[29964] QUOTE,q0Qp5MF3CI,PUO 
[30002] BUY,q0Qp5MF3CI,XLI,269.92 
[30159] CANCEL_SELL,q0Qp5MF3CI 
[30216] SELL,q0Qp5MF3CI,ZYR,411.27 
[30264] CANCEL_SET_SELL,q0Qp5MF3CI,SZI 
[30334] CANCEL_SET_SELL,q0Qp5MF3CI,EEG 
[30364] ADD,q0Qp5MF3CI,82603.59 
[30428] QUOTE,q0Qp5MF3CI,LLD 
[30486] ADD,q0Qp5MF3CI,78571.05 
[30508] BUY,q0Qp5MF3CI,LMO,709.33 
[30593] CANCEL_BUY,q0Qp5MF3CI 
[30762] SET_SELL_AMOUNT,q0Qp5MF3CI,QAX,728.37 
[30932] SET_SELL_TRIGGER,q0Qp5MF3CI,QAX,460.89 
[30938] SET_BUY_AMOUNT,q0Qp5MF3CI,QJZ,128.65 
[30943] SET_BUY_TRIGGER,q0Qp5MF3CI,RRZ,73.20 
[31031] QUOTE,q0Qp5MF3CI,RKQ 
[31108] DISPLAY_SUMMARY,q0Qp5MF3CI 
[31127] ADD,q0Qp5MF3CI,57983.93 
[31404] QUOTE,q0Qp5MF3CI,YIU 
[31634] BUY,q0Qp5MF3CI,MSV,567.17 
[31672] COMMIT_BUY,q0Qp5MF3CI 
[31872] BUY,q0Qp5MF3CI,VNF,395.89 
[31920] DISPLAY_SUMMARY,q0Qp5MF3CI 
[32274] SET_SELL_AMOUNT,q0Qp5MF3CI,RNK,426.97 
[32276] SET_SELL_TRIGGER,q0Qp5MF3CI,RNK,303.05 
[32328] BUY,q0Qp5MF3CI,NZS,612.61 
[32526] COMMIT_BUY,q0Qp5MF3CI 
[32576] CANCEL_SET_SELL,q0Qp5MF3CI,ZFT 
[32749] QUOTE,q0Qp5MF3CI,ZAV 
[32821] BUY,q0Qp5MF3CI,NGZ,579.64 
[32828] COMMIT_BUY,q0Qp5MF3CI 
[33122] DISPLAY_SUMMARY,q0Qp5MF3CI 
[33135] BUY,q0Qp5MF3CI,PCR,708.59 
[33153] COMMIT_BUY,q0Qp5MF3CI 
[33239] DISPLAY_SUMMARY,q0Qp5MF3CI 
[33276] ADD,q0Qp5MF3CI,75591.37 
[33330] QUOTE,q0Qp5MF3CI,AHO 
[33692] SELL,q0Qp5MF3CI,ZAN,206.80 
[33862] COMMIT_SELL,q0Qp5MF3CI 
[33988] SET_SELL_AMOUNT,q0Qp5MF3CI,NHG,266.90 
[33994] SET_SELL_TRIGGER,q0Qp5MF3CI,NHG,168.16 
[34000] DISPLAY_SUMMARY,q0Qp5MF3CI 
[34015] SET_SELL_TRIGGER,q0Qp5MF3CI,ZNY,28.42 
[34101] SET_SELL_AMOUNT,q0Qp5MF3CI,JZJ,232.56 
[34150] SET_SELL_TRIGGER,q0Qp5MF3CI,JZJ,229.11 
[34153] SELL,q0Qp5MF3CI,RGH,591.91 
[34176] CANCEL_SET_SELL,q0Qp5MF3CI,SKW 
[34187] SET_SELL_AMOUNT,q0Qp5MF3CI,ZYR,250.42 
[34327] CANCEL_SET_SELL,q0Qp5MF3CI,ZYR 
[34354] SET_SELL_AMOUNT,q0Qp5MF3CI,JCQ,727.91 
[34403] SET_SELL_TRIGGER,q0Qp5MF3CI,JCQ,706.00 
[34415] SELL,q0Qp5MF3CI,JVT,364.78 
[34473] QUOTE,q0Qp5MF3CI,ZER 
[34669] SET_BUY_AMOUNT,q0Qp5MF3CI,EBS,151.63 
[35039] SET_BUY_TRIGGER,q0Qp5MF3CI,ZZD,103.59 
[35273] COMMIT_BUY,q0Qp5MF3CI 
[35325] ADD,q0Qp5MF3CI,75255.52 
[35441] BUY,q0Qp5MF3CI,IEQ,136.43 
[35726] SET_BUY_TRIGGER,q0Qp5MF3CI,NHB,2.78 
[35888] SET_BUY_AMOUNT,q0Qp5MF3CI,PTP,606.17 
[36203] SET_BUY_TRIGGER,q0Qp5MF3CI,FDI,402.33 
[36238] SET_BUY_TRIGGER,q0Qp5MF3CI,BCQ,8.81 
[36342] SET_BUY_AMOUNT,q0Qp5MF3CI,XXQ,105.17 
[36362] SET_BUY_TRIGGER,q0Qp5MF3CI,UTV,6.19 
[36410] SELL,q0Qp5MF3CI,DFE,484.75 
[36434] COMMIT_SELL,q0Qp5MF3CI 
[36612] QUOTE,q0Qp5MF3CI,XYV 
[36655] QUOTE,q0Qp5MF3CI,MIY 
[36737] CANCEL_SELL,q0Qp5MF3CI 
[36786] SET_SELL_TRIGGER,q0Qp5MF3CI,VOY,188.61 
[36847] ADD,q0Qp5MF3CI,79471.96 
[36913] BUY,q0Qp5MF3CI,MMF,646.53 
[36926] COMMIT_BUY,q0Qp5MF3CI 
[36936] ADD,q0Qp5MF3CI,71502.06 
[37185] SET_BUY_TRIGGER,q0Qp5MF3CI,VKP,34.50 
[37373] DISPLAY_SUMMARY,q0Qp5MF3CI 
[37602] ADD,q0Qp5MF3CI,66367.49 
[37858] QUOTE,q0Qp5MF3CI,AVH 
[38153] QUOTE,q0Qp5MF3CI,VUS 
[38186] DISPLAY_SUMMARY,q0Qp5MF3CI 
[38276] QUOTE,q0Qp5MF3CI,DBT 
[38294] SELL,q0Qp5MF3CI,RNK,147.25 
[38340] CANCEL_SET_BUY,q0Qp5MF3CI,OYW 
[38428] SET_SELL_AMOUNT,q0Qp5MF3CI,QJZ,5.91 
[38436] CANCEL_SET_SELL,q0Qp5MF3CI,QJZ 
[38560] SET_SELL_AMOUNT,q0Qp5MF3CI,YJK,212.43 
[38583] SET_SELL_TRIGGER,q0Qp5MF3CI,YJK,103.46 
[38598] SET_BUY_TRIGGER,q0Qp5MF3CI,SYN,28.96 
[38719] SELL,q0Qp5MF3CI,RGH,27.82 
[38725] COMMIT_SELL,q0Qp5MF3CI 
[38999] DISPLAY_SUMMARY,q0Qp5MF3CI 
[39098] SET_SELL_AMOUNT,q0Qp5MF3CI,YJK,219.83 
[39119] SET_SELL_TRIGGER,q0Qp5MF3CI,YJK,17.52 
[39213] BUY,q0Qp5MF3CI,GTB,5.42 
[39214] DISPLAY_SUMMARY,q0Qp5MF3CI 
[39302] ADD,q0Qp5MF3CI,59104.87 
[39317] QUOTE,q0Qp5MF3CI,XXQ 
[39389] SELL,q0Qp5MF3CI,FQP,51.50 
[39453] SET_SELL_TRIGGER,q0Qp5MF3CI,IJO,177.54 
[39703] SET_SELL_AMOUNT,q0Qp5MF3CI,ZTI,29.00 
[39839] SET_SELL_TRIGGER,q0Qp5MF3CI,ZTI,26.52 
[39927] SET_BUY_AMOUNT,q0Qp5MF3CI,ZAN,553.90 
[40042] SET_BUY_TRIGGER,q0Qp5MF3CI,ZGC,135.06 
[40186] ADD,q0Qp5MF3CI,80181.67 
[40199] BUY,q0Qp5MF3CI,NFL,23.91 
[40272] COMMIT_BUY,q0Qp5MF3CI 
[40322] ADD,q0Qp5MF3CI,62416.65 
[40329] BUY,q0Qp5MF3CI,ESN,109.49 
[40372] COMMIT_SELL,q0Qp5MF3CI 
[40437] DISPLAY_SUMMARY,q0Qp5MF3CI 
[40448] ADD,q0Qp5MF3CI,83393.98 
[40496] BUY,q0Qp5MF3CI,KQZ,385.05 
[40684] COMMIT_BUY,q0Qp5MF3CI 
[40853] CANCEL_SET_SELL,q0Qp5MF3CI,LBC 
[40974] SELL,q0Qp5MF3CI,DFE,337.22 
[41006] DISPLAY_SUMMARY,q0Qp5MF3CI 
[41075] SET_BUY_AMOUNT,q0Qp5MF3CI,QAX,5.79 
[41120] SET_BUY_TRIGGER,q0Qp5MF3CI,NJF,1.50 
[41159] CANCEL_SET_SELL,q0Qp5MF3CI,URI 
[41161] DISPLAY_SUMMARY,q0Qp5MF3CI 
[41317] ADD,q0Qp5MF3CI,34469.73 
[41341] QUOTE,q0Qp5MF3CI,WQE 
[41545] ADD,q0Qp5MF3CI,75152.15 
[41669] QUOTE,q0Qp5MF3CI,ZHB 
[41716] SET_BUY_AMOUNT,q0Qp5MF3CI,CUZ,707.37 
[41743] SET_BUY_TRIGGER,q0Qp5MF3CI,XQG,403.66 
[42098] SET_BUY_TRIGGER,q0Qp5MF3CI,CWA,150.21 
[42189] SET_SELL_TRIGGER,q0Qp5MF3CI,FCH,117.11 
[42334] ADD,q0Qp5MF3CI,64119.68 
[42354] QUOTE,q0Qp5MF3CI,URI 
[42394] SET_BUY_TRIGGER,q0Qp5MF3CI,ECL,14.35 
[42397] ADD,q0Qp5MF3CI,79637.44 
[42465] QUOTE,q0Qp5MF3CI,QNW 
[42611] BUY,q0Qp5MF3CI,ZWC,675.43 
[42639] CANCEL_BUY,q0Qp5MF3CI 
[42729] SET_SELL_TRIGGER,q0Qp5MF3CI,THH,103.51 
