[46] ADD,U4jQmk30QS,86687.09 
[43997] ADD,U4jQmk30QS,51336.57 
[44045] BUY,U4jQmk30QS,MOM,620.74 
[44159] COMMIT_BUY,U4jQmk30QS 
[44174] SET_SELL_AMOUNT,U4jQmk30QS,ZTI,66.21 
[44267] SET_SELL_TRIGGER,U4jQmk30QS,ZTI,3.76 
[44356] DISPLAY_SUMMARY,U4jQmk30QS 
[44358] SET_BUY_AMOUNT,U4jQmk30QS,BCQ,286.81 
[44514] SET_BUY_TRIGGER,U4jQmk30QS,QGL,196.22 
[44518] SET_BUY_TRIGGER,U4jQmk30QS,OOV,19.52 
[44839] SET_BUY_AMOUNT,U4jQmk30QS,YJK,490.38 
[44843] SET_BUY_TRIGGER,U4jQmk30QS,OOI,461.92 
[44912] SELL,U4jQmk30QS,KDA,554.60 
[44962] SET_SELL_TRIGGER,U4jQmk30QS,JII,158.05 
[45008] CANCEL_SET_SELL,U4jQmk30QS,LCP 
[45141] SET_BUY_AMOUNT,U4jQmk30QS,KES,589.29 
[45215] DISPLAY_SUMMARY,U4jQmk30QS 
[45217] DISPLAY_SUMMARY,U4jQmk30QS 
[45347] ADD,U4jQmk30QS,75913.13 
[45377] COMMIT_SELL,U4jQmk30QS 
[45387] DISPLAY_SUMMARY,U4jQmk30QS 
[45668] ADD,U4jQmk30QS,50237.34 
[45692] BUY,U4jQmk30QS,KRX,675.18 
[45766] COMMIT_BUY,U4jQmk30QS 
[45905] SET_BUY_AMOUNT,U4jQmk30QS,NHG,304.43 
[45913] SET_BUY_TRIGGER,U4jQmk30QS,FQU,216.35 
[45920] ADD,U4jQmk30QS,50400.68 
[45988] BUY,U4jQmk30QS,PCK,746.83 
[46024] DISPLAY_SUMMARY,U4jQmk30QS 
[46063] SET_SELL_TRIGGER,U4jQmk30QS,POI,107.90 
[46076] SET_BUY_TRIGGER,U4jQmk30QS,OGR,151.31 
[46119] SELL,U4jQmk30QS,JVT,545.77 
[46394] COMMIT_SELL,U4jQmk30QS 
[46423] ADD,U4jQmk30QS,68944.55 
[46468] BUY,U4jQmk30QS,MQH,509.48 
[46491] SET_SELL_TRIGGER,U4jQmk30QS,EVR,174.76 
[46535] BUY,U4jQmk30QS,HEJ,432.88 
[46572] CANCEL_SET_BUY,U4jQmk30QS,JIO 
[46604] SELL,U4jQmk30QS,ZTI,589.32 
[46614] SELL,U4jQmk30QS,YJK,78.56 
[46713] SET_BUY_AMOUNT,U4jQmk30QS,RNK,87.14 
[46716] SET_BUY_TRIGGER,U4jQmk30QS,GYT,72.56 
[46734] QUOTE,U4jQmk30QS,FPV 
[46793] SET_BUY_AMOUNT,U4jQmk30QS,BYA,449.09 
[46845] SET_BUY_TRIGGER,U4jQmk30QS,FVA,0.54 
[47034] SET_BUY_TRIGGER,U4jQmk30QS,HDR,64.45 
[47087] SET_SELL_AMOUNT,U4jQmk30QS,JRJ,600.91 
[47129] SET_SELL_TRIGGER,U4jQmk30QS,JRJ,352.67 
[47167] DISPLAY_SUMMARY,U4jQmk30QS 
[47195] ADD,U4jQmk30QS,61275.33 
[47278] QUOTE,U4jQmk30QS,XNZ 
[47481] BUY,U4jQmk30QS,YCH,560.62 
[47555] CANCEL_BUY,U4jQmk30QS 
[47558] CANCEL_BUY,U4jQmk30QS 
[47656] ADD,U4jQmk30QS,73925.34 
[48049] QUOTE,U4jQmk30QS,KIP 
[48128] QUOTE,U4jQmk30QS,GNY 
[48158] BUY,U4jQmk30QS,JFF,236.33 
[48232] QUOTE,U4jQmk30QS,OLI 
[48370] ADD,U4jQmk30QS,90845.14 
[48581] SET_SELL_AMOUNT,U4jQmk30QS,KDA,43.97 
[48615] SET_SELL_TRIGGER,U4jQmk30QS,KDA,20.27 
[48625] ADD,U4jQmk30QS,75201.04 
[48692] BUY,U4jQmk30QS,CLQ,542.90 
[48709] BUY,U4jQmk30QS,IFI,445.47 
[48810] SET_BUY_AMOUNT,U4jQmk30QS,KES,514.96 
[48864] QUOTE,U4jQmk30QS,CBY 
