[357] ADD,1uGQw5a691,49866.02 
[3661] BUY,1uGQw5a691,WUL,624.06 
[3667] SELL,1uGQw5a691,QJZ,138.55 
[3686] ADD,1uGQw5a691,68830.09 
[3787] SET_BUY_AMOUNT,1uGQw5a691,QJZ,575.80 
[3903] DISPLAY_SUMMARY,1uGQw5a691 
[3952] SET_SELL_TRIGGER,1uGQw5a691,SQO,155.29 
[3968] DISPLAY_SUMMARY,1uGQw5a691 
[3983] BUY,1uGQw5a691,GMS,566.33 
[4239] COMMIT_BUY,1uGQw5a691 
[4312] DISPLAY_SUMMARY,1uGQw5a691 
[4320] QUOTE,1uGQw5a691,YBB 
[4512] BUY,1uGQw5a691,KPU,309.15 
[4552] COMMIT_BUY,1uGQw5a691 
[4967] SET_BUY_TRIGGER,1uGQw5a691,GYF,470.53 
[5016] DISPLAY_SUMMARY,1uGQw5a691 
[5132] DISPLAY_SUMMARY,1uGQw5a691 
[5190] BUY,1uGQw5a691,KAH,336.98 
[5598] SELL,1uGQw5a691,QJZ,497.58 
[5607] CANCEL_SET_SELL,1uGQw5a691,OYS 
[5763] BUY,1uGQw5a691,KAS,450.52 
[5795] CANCEL_SET_BUY,1uGQw5a691,RRT 
[5976] SELL,1uGQw5a691,KDA,309.25 
[5988] CANCEL_BUY,1uGQw5a691 
[6051] QUOTE,1uGQw5a691,RRE 
[6339] BUY,1uGQw5a691,FCH,515.46 
[6373] COMMIT_BUY,1uGQw5a691 
[6448] DISPLAY_SUMMARY,1uGQw5a691 
[6493] SET_SELL_TRIGGER,1uGQw5a691,IIX,42.33 
[6505] BUY,1uGQw5a691,LKK,524.57 
[6889] COMMIT_BUY,1uGQw5a691 
[6989] ADD,1uGQw5a691,85208.09 
[7041] QUOTE,1uGQw5a691,HWO 
[7079] ADD,1uGQw5a691,60463.43 
[7246] QUOTE,1uGQw5a691,VVW 
[7392] QUOTE,1uGQw5a691,WKD 
[7609] BUY,1uGQw5a691,JGY,89.90 
[7975] QUOTE,1uGQw5a691,ZDB 
[8004] COMMIT_BUY,1uGQw5a691 
[8055] SET_BUY_TRIGGER,1uGQw5a691,EIH,106.40 
[8183] DISPLAY_SUMMARY,1uGQw5a691 
[8226] BUY,1uGQw5a691,KBP,28.01 
[8228] CANCEL_SET_BUY,1uGQw5a691,IHA 
[8242] DISPLAY_SUMMARY,1uGQw5a691 
[8248] SET_SELL_AMOUNT,1uGQw5a691,OEY,42.49 
[8333] SET_SELL_TRIGGER,1uGQw5a691,OEY,15.33 
[8342] SET_SELL_TRIGGER,1uGQw5a691,MQH,18.96 
[8578] SET_SELL_TRIGGER,1uGQw5a691,NGH,178.56 
[8755] SET_BUY_AMOUNT,1uGQw5a691,QJZ,570.56 
[8793] CANCEL_SET_BUY,1uGQw5a691,GLJ 
[8997] DISPLAY_SUMMARY,1uGQw5a691 
[9047] SET_BUY_AMOUNT,1uGQw5a691,OEY,722.15 
[9053] SET_BUY_TRIGGER,1uGQw5a691,SFO,152.39 
[9102] SET_SELL_AMOUNT,1uGQw5a691,QJZ,433.50 
[9213] SET_SELL_TRIGGER,1uGQw5a691,QJZ,299.81 
[9430] DISPLAY_SUMMARY,1uGQw5a691 
[9472] CANCEL_SET_SELL,1uGQw5a691,DES 
[9542] BUY,1uGQw5a691,MVI,166.29 
[9677] COMMIT_BUY,1uGQw5a691 
[9698] SELL,1uGQw5a691,FQP,441.64 
[9891] CANCEL_SELL,1uGQw5a691 
[10056] DISPLAY_SUMMARY,1uGQw5a691 
[10093] ADD,1uGQw5a691,85327.77 
[10136] QUOTE,1uGQw5a691,PZE 
[10302] QUOTE,1uGQw5a691,PUC 
[10341] QUOTE,1uGQw5a691,OTI 
[10641] SET_SELL_TRIGGER,1uGQw5a691,GAV,116.70 
[10702] DISPLAY_SUMMARY,1uGQw5a691 
[10959] DISPLAY_SUMMARY,1uGQw5a691 
[10984] ADD,1uGQw5a691,82170.38 
[10985] BUY,1uGQw5a691,UMV,728.64 
[10988] COMMIT_BUY,1uGQw5a691 
[11153] BUY,1uGQw5a691,XQC,11.61 
[11178] COMMIT_BUY,1uGQw5a691 
[11204] SET_SELL_AMOUNT,1uGQw5a691,FQP,122.67 
[11382] CANCEL_SET_SELL,1uGQw5a691,FQP 
[11419] CANCEL_SET_SELL,1uGQw5a691,JCQ 
[11484] ADD,1uGQw5a691,83006.96 
[11999] QUOTE,1uGQw5a691,CVP 
[12117] QUOTE,1uGQw5a691,PVH 
[12225] SET_SELL_AMOUNT,1uGQw5a691,JVT,454.18 
[12405] SET_SELL_TRIGGER,1uGQw5a691,JVT,319.26 
[12559] DISPLAY_SUMMARY,1uGQw5a691 
[12756] ADD,1uGQw5a691,76974.07 
[12958] QUOTE,1uGQw5a691,TVX 
[12962] QUOTE,1uGQw5a691,KWP 
[13013] QUOTE,1uGQw5a691,WQC 
[13528] SELL,1uGQw5a691,KES,423.40 
[13530] CANCEL_SELL,1uGQw5a691 
[13748] COMMIT_SELL,1uGQw5a691 
[13825] ADD,1uGQw5a691,50956.45 
[13830] QUOTE,1uGQw5a691,BHJ 
[14042] BUY,1uGQw5a691,WYD,354.62 
[14064] COMMIT_BUY,1uGQw5a691 
[14365] COMMIT_BUY,1uGQw5a691 
[14376] CANCEL_SET_SELL,1uGQw5a691,TKG 
[14461] SET_SELL_AMOUNT,1uGQw5a691,JRJ,254.38 
[14681] SET_SELL_TRIGGER,1uGQw5a691,JRJ,116.59 
[14727] ADD,1uGQw5a691,76513.74 
[14911] QUOTE,1uGQw5a691,MQF 
[14917] BUY,1uGQw5a691,FFZ,3.45 
[14936] COMMIT_BUY,1uGQw5a691 
[15000] QUOTE,1uGQw5a691,SFO 
[15013] CANCEL_SET_BUY,1uGQw5a691,PHJ 
[15027] DISPLAY_SUMMARY,1uGQw5a691 
[15164] SELL,1uGQw5a691,JRJ,213.40 
[15194] ADD,1uGQw5a691,76949.69 
[15326] QUOTE,1uGQw5a691,FQR 
[15331] QUOTE,1uGQw5a691,LUD 
[15361] BUY,1uGQw5a691,VJB,250.85 
[15598] COMMIT_BUY,1uGQw5a691 
[15793] SET_BUY_TRIGGER,1uGQw5a691,KHD,100.58 
[15992] SET_SELL_AMOUNT,1uGQw5a691,JVT,541.10 
[16146] SET_SELL_TRIGGER,1uGQw5a691,JVT,224.76 
[16268] SET_SELL_TRIGGER,1uGQw5a691,ALG,109.26 
[16365] SET_BUY_AMOUNT,1uGQw5a691,UTV,117.87 
[16497] SET_BUY_TRIGGER,1uGQw5a691,UFX,25.27 
[16898] SET_BUY_AMOUNT,1uGQw5a691,KES,249.02 
[16999] BUY,1uGQw5a691,ZQS,560.98 
[17099] SET_SELL_AMOUNT,1uGQw5a691,EBS,656.36 
[17164] SET_SELL_TRIGGER,1uGQw5a691,EBS,196.39 
[17177] DISPLAY_SUMMARY,1uGQw5a691 
[17242] ADD,1uGQw5a691,73183.85 
[17310] BUY,1uGQw5a691,AIN,345.92 
[17316] COMMIT_BUY,1uGQw5a691 
[17386] SET_SELL_TRIGGER,1uGQw5a691,PLB,99.25 
[17398] SET_BUY_AMOUNT,1uGQw5a691,QJZ,186.20 
[17410] SET_BUY_TRIGGER,1uGQw5a691,JGY,132.15 
[17535] ADD,1uGQw5a691,54512.35 
[17737] QUOTE,1uGQw5a691,GMF 
[17811] SET_SELL_AMOUNT,1uGQw5a691,FQP,314.78 
[18224] CANCEL_SET_SELL,1uGQw5a691,FQP 
[18320] SELL,1uGQw5a691,FQP,439.45 
[18453] CANCEL_SELL,1uGQw5a691 
[18467] SELL,1uGQw5a691,JVT,592.26 
[18594] COMMIT_SELL,1uGQw5a691 
[18696] SET_BUY_AMOUNT,1uGQw5a691,GYF,479.00 
[18807] SET_BUY_TRIGGER,1uGQw5a691,SYN,34.81 
[18817] SELL,1uGQw5a691,JRJ,274.22 
[18924] CANCEL_SELL,1uGQw5a691 
[18930] SELL,1uGQw5a691,QAX,266.65 
[19030] DISPLAY_SUMMARY,1uGQw5a691 
[19108] DISPLAY_SUMMARY,1uGQw5a691 
[19123] SET_SELL_TRIGGER,1uGQw5a691,VEN,39.24 
[19151] SET_BUY_TRIGGER,1uGQw5a691,YVX,71.40 
[19295] DISPLAY_SUMMARY,1uGQw5a691 
[19304] QUOTE,1uGQw5a691,GMF 
[19596] BUY,1uGQw5a691,ALG,418.35 
[19613] DISPLAY_SUMMARY,1uGQw5a691 
[19698] SET_SELL_AMOUNT,1uGQw5a691,UTV,65.56 
[19713] SET_SELL_TRIGGER,1uGQw5a691,UTV,7.23 
[20060] BUY,1uGQw5a691,BTP,254.54 
[20064] COMMIT_BUY,1uGQw5a691 
[20072] BUY,1uGQw5a691,IOM,325.50 
[20255] COMMIT_BUY,1uGQw5a691 
[20365] SET_BUY_AMOUNT,1uGQw5a691,UTV,41.30 
[20497] SET_BUY_TRIGGER,1uGQw5a691,RUN,1.88 
[20519] ADD,1uGQw5a691,70305.37 
[20755] SET_SELL_TRIGGER,1uGQw5a691,PVH,139.15 
[20881] DISPLAY_SUMMARY,1uGQw5a691 
[20940] BUY,1uGQw5a691,TVX,88.31 
[21218] COMMIT_BUY,1uGQw5a691 
[21347] ADD,1uGQw5a691,65102.71 
[21363] BUY,1uGQw5a691,RRT,468.11 
[21593] SET_SELL_TRIGGER,1uGQw5a691,MHR,14.87 
[21659] SET_SELL_TRIGGER,1uGQw5a691,PHJ,19.58 
[22230] ADD,1uGQw5a691,69227.07 
[22259] BUY,1uGQw5a691,OAV,490.75 
[22461] CANCEL_SELL,1uGQw5a691 
[22496] QUOTE,1uGQw5a691,EJW 
[22614] BUY,1uGQw5a691,XSS,343.30 
[22869] CANCEL_BUY,1uGQw5a691 
[22907] SET_BUY_AMOUNT,1uGQw5a691,JQO,343.35 
[22953] SET_BUY_TRIGGER,1uGQw5a691,NBX,255.58 
[22988] QUOTE,1uGQw5a691,UTV 
[23035] QUOTE,1uGQw5a691,PVZ 
[23167] QUOTE,1uGQw5a691,WZY 
[23181] BUY,1uGQw5a691,SKW,485.30 
[23187] CANCEL_SELL,1uGQw5a691 
[23292] QUOTE,1uGQw5a691,GJR 
[23582] DISPLAY_SUMMARY,1uGQw5a691 
[23693] DISPLAY_SUMMARY,1uGQw5a691 
[23768] DISPLAY_SUMMARY,1uGQw5a691 
[23877] SET_SELL_TRIGGER,1uGQw5a691,MIU,167.49 
[23890] SET_SELL_TRIGGER,1uGQw5a691,CXW,146.96 
[23939] SET_SELL_AMOUNT,1uGQw5a691,EBS,583.91 
[24028] SET_SELL_TRIGGER,1uGQw5a691,EBS,406.09 
[24190] DISPLAY_SUMMARY,1uGQw5a691 
[24262] DISPLAY_SUMMARY,1uGQw5a691 
[24402] DISPLAY_SUMMARY,1uGQw5a691 
[24480] SELL,1uGQw5a691,JCQ,256.17 
[24614] SET_BUY_TRIGGER,1uGQw5a691,HZP,24.98 
[24650] SELL,1uGQw5a691,LFU,700.33 
[24822] QUOTE,1uGQw5a691,YUL 
[24992] ADD,1uGQw5a691,54754.23 
[25006] SET_BUY_AMOUNT,1uGQw5a691,NHG,21.95 
[25064] SET_BUY_TRIGGER,1uGQw5a691,ZHB,11.72 
[25085] CANCEL_SET_BUY,1uGQw5a691,SPL 
[25125] SET_SELL_TRIGGER,1uGQw5a691,MOM,20.30 
[25389] SET_BUY_TRIGGER,1uGQw5a691,UJC,79.52 
[25437] QUOTE,1uGQw5a691,TJL 
[25467] DISPLAY_SUMMARY,1uGQw5a691 
[25526] SET_BUY_TRIGGER,1uGQw5a691,JCL,54.09 
[25550] SET_BUY_AMOUNT,1uGQw5a691,JQO,109.58 
[25619] SET_BUY_TRIGGER,1uGQw5a691,CMA,19.46 
[25648] DISPLAY_SUMMARY,1uGQw5a691 
[25743] DISPLAY_SUMMARY,1uGQw5a691 
[25814] SET_SELL_TRIGGER,1uGQw5a691,JZJ,11.39 
[25821] QUOTE,1uGQw5a691,USW 
[25857] SET_BUY_AMOUNT,1uGQw5a691,JRJ,479.11 
[25999] SET_BUY_TRIGGER,1uGQw5a691,KAS,34.40 
[26072] CANCEL_SELL,1uGQw5a691 
[26279] DISPLAY_SUMMARY,1uGQw5a691 
[26389] SELL,1uGQw5a691,GYF,150.99 
[26392] CANCEL_BUY,1uGQw5a691 
[26396] ADD,1uGQw5a691,62997.98 
[26571] QUOTE,1uGQw5a691,RNK 
[26573] ADD,1uGQw5a691,56165.79 
[26634] QUOTE,1uGQw5a691,MQH 
[26746] QUOTE,1uGQw5a691,SJZ 
[26933] BUY,1uGQw5a691,IPH,281.41 
[27130] COMMIT_BUY,1uGQw5a691 
[27147] SET_SELL_TRIGGER,1uGQw5a691,MOM,131.43 
[27155] ADD,1uGQw5a691,73322.81 
[27249] BUY,1uGQw5a691,GAL,406.24 
[27287] CANCEL_BUY,1uGQw5a691 
[27301] SELL,1uGQw5a691,KES,204.93 
[27540] CANCEL_SELL,1uGQw5a691 
[27551] DISPLAY_SUMMARY,1uGQw5a691 
[27683] QUOTE,1uGQw5a691,SIK 
[27692] SET_BUY_AMOUNT,1uGQw5a691,JRJ,689.90 
[27862] SELL,1uGQw5a691,FQP,403.30 
[27949] QUOTE,1uGQw5a691,KNM 
[27990] SET_BUY_TRIGGER,1uGQw5a691,LJM,601.10 
[28096] QUOTE,1uGQw5a691,AOH 
[28123] BUY,1uGQw5a691,MOF,519.71 
[28223] QUOTE,1uGQw5a691,NAW 
[28250] BUY,1uGQw5a691,MSV,453.53 
[28278] SET_SELL_AMOUNT,1uGQw5a691,JCQ,357.39 
[28323] SET_SELL_TRIGGER,1uGQw5a691,JCQ,163.98 
[28439] BUY,1uGQw5a691,TXB,234.50 
[28496] COMMIT_BUY,1uGQw5a691 
[28966] ADD,1uGQw5a691,71391.69 
[29058] BUY,1uGQw5a691,STO,730.38 
[29235] COMMIT_BUY,1uGQw5a691 
[29246] DISPLAY_SUMMARY,1uGQw5a691 
[29268] SET_BUY_AMOUNT,1uGQw5a691,FQP,446.05 
[29391] SET_BUY_TRIGGER,1uGQw5a691,VZB,27.20 
[29466] QUOTE,1uGQw5a691,FOV 
[29633] SELL,1uGQw5a691,RUN,464.69 
[29805] COMMIT_SELL,1uGQw5a691 
[29825] SET_BUY_AMOUNT,1uGQw5a691,RUN,651.02 
[30109] BUY,1uGQw5a691,DRP,424.59 
[30249] COMMIT_BUY,1uGQw5a691 
[30703] CANCEL_SET_SELL,1uGQw5a691,IGT 
[30771] QUOTE,1uGQw5a691,WTL 
[30996] BUY,1uGQw5a691,FSD,267.32 
[31165] DISPLAY_SUMMARY,1uGQw5a691 
[31179] SET_BUY_TRIGGER,1uGQw5a691,CBV,626.10 
[31379] SET_SELL_TRIGGER,1uGQw5a691,NZS,37.74 
[31493] ADD,1uGQw5a691,70999.72 
[31524] QUOTE,1uGQw5a691,OOR 
[31582] BUY,1uGQw5a691,QGN,626.29 
[32015] BUY,1uGQw5a691,QGN,535.83 
[32019] COMMIT_BUY,1uGQw5a691 
[32121] BUY,1uGQw5a691,KYX,293.37 
[32125] COMMIT_BUY,1uGQw5a691 
[32156] DISPLAY_SUMMARY,1uGQw5a691 
[32374] SET_BUY_AMOUNT,1uGQw5a691,UTV,471.88 
[32484] SET_BUY_TRIGGER,1uGQw5a691,CTS,367.72 
[32662] SET_BUY_TRIGGER,1uGQw5a691,VEE,111.26 
[32695] ADD,1uGQw5a691,47962.27 
[32707] BUY,1uGQw5a691,MZT,235.76 
[32713] SET_SELL_TRIGGER,1uGQw5a691,ZGN,188.35 
[32784] BUY,1uGQw5a691,KZC,580.91 
[32935] CANCEL_SET_BUY,1uGQw5a691,DWF 
[33022] SET_SELL_TRIGGER,1uGQw5a691,XFA,17.13 
[33028] SET_SELL_AMOUNT,1uGQw5a691,ZAN,124.21 
[33044] SET_SELL_TRIGGER,1uGQw5a691,ZAN,42.20 
[33181] ADD,1uGQw5a691,63124.58 
[33210] SELL,1uGQw5a691,LFU,194.05 
[33382] CANCEL_SELL,1uGQw5a691 
[33397] DISPLAY_SUMMARY,1uGQw5a691 
[33613] SET_SELL_TRIGGER,1uGQw5a691,WNU,57.78 
[33766] SELL,1uGQw5a691,OEY,50.53 
[33775] COMMIT_SELL,1uGQw5a691 
[33796] DISPLAY_SUMMARY,1uGQw5a691 
[33873] SET_BUY_TRIGGER,1uGQw5a691,KAO,90.70 
[34133] SELL,1uGQw5a691,UTV,601.08 
[34165] COMMIT_SELL,1uGQw5a691 
[34222] SET_BUY_TRIGGER,1uGQw5a691,SYM,193.75 
[34253] ADD,1uGQw5a691,43870.54 
[34286] QUOTE,1uGQw5a691,LVV 
[34471] CANCEL_SET_SELL,1uGQw5a691,UTV 
[34491] ADD,1uGQw5a691,83659.87 
[34633] QUOTE,1uGQw5a691,ZTI 
[34675] BUY,1uGQw5a691,FPI,589.00 
[34953] COMMIT_BUY,1uGQw5a691 
[35025] BUY,1uGQw5a691,GWS,658.75 
[35102] COMMIT_BUY,1uGQw5a691 
[35214] QUOTE,1uGQw5a691,FLD 
[35236] SET_SELL_TRIGGER,1uGQw5a691,QID,11.45 
[35259] SET_BUY_AMOUNT,1uGQw5a691,LFU,485.54 
[35318] SET_BUY_TRIGGER,1uGQw5a691,RYU,319.59 
[35402] SET_SELL_AMOUNT,1uGQw5a691,BYA,39.86 
[35529] SET_SELL_TRIGGER,1uGQw5a691,BYA,13.40 
[35599] QUOTE,1uGQw5a691,XLK 
[35662] BUY,1uGQw5a691,JPP,330.59 
[35677] COMMIT_BUY,1uGQw5a691 
[35780] DISPLAY_SUMMARY,1uGQw5a691 
[35945] ADD,1uGQw5a691,83878.04 
[35989] BUY,1uGQw5a691,SKV,513.45 
[36049] COMMIT_BUY,1uGQw5a691 
[36366] SELL,1uGQw5a691,GYF,599.67 
[36378] SELL,1uGQw5a691,CUZ,607.73 
[36505] COMMIT_SELL,1uGQw5a691 
[36623] QUOTE,1uGQw5a691,LAM 
[36814] SET_BUY_TRIGGER,1uGQw5a691,WYA,137.77 
[36943] SET_BUY_AMOUNT,1uGQw5a691,JVT,170.34 
[37078] SELL,1uGQw5a691,EBS,512.83 
[37131] COMMIT_SELL,1uGQw5a691 
[37282] SET_BUY_AMOUNT,1uGQw5a691,UTV,545.47 
[37392] SET_BUY_TRIGGER,1uGQw5a691,HSJ,66.04 
[37612] DISPLAY_SUMMARY,1uGQw5a691 
[37654] SELL,1uGQw5a691,ZTI,29.87 
[37679] QUOTE,1uGQw5a691,ZTI 
[37872] ADD,1uGQw5a691,68248.02 
[38029] QUOTE,1uGQw5a691,TVI 
[38072] SET_BUY_AMOUNT,1uGQw5a691,ZYR,544.42 
[38236] SET_BUY_TRIGGER,1uGQw5a691,ATW,189.96 
[38392] CANCEL_SET_BUY,1uGQw5a691,GHE 
[38409] CANCEL_BUY,1uGQw5a691 
[38498] ADD,1uGQw5a691,59409.95 
[38532] BUY,1uGQw5a691,QGE,390.71 
[38731] SET_SELL_AMOUNT,1uGQw5a691,OEY,42.06 
[39023] SET_SELL_TRIGGER,1uGQw5a691,OEY,8.58 
[39076] DISPLAY_SUMMARY,1uGQw5a691 
[39086] ADD,1uGQw5a691,55406.57 
[39110] BUY,1uGQw5a691,KQZ,232.53 
[39153] COMMIT_BUY,1uGQw5a691 
[39265] DISPLAY_SUMMARY,1uGQw5a691 
[39268] DISPLAY_SUMMARY,1uGQw5a691 
[39345] BUY,1uGQw5a691,IFC,526.86 
[39652] COMMIT_BUY,1uGQw5a691 
[39717] DISPLAY_SUMMARY,1uGQw5a691 
[39866] SELL,1uGQw5a691,CUZ,475.59 
[39882] COMMIT_SELL,1uGQw5a691 
[39888] SET_BUY_TRIGGER,1uGQw5a691,WUF,178.84 
[39949] DISPLAY_SUMMARY,1uGQw5a691 
[40058] SELL,1uGQw5a691,UTV,553.51 
[40190] COMMIT_BUY,1uGQw5a691 
[40277] SET_SELL_AMOUNT,1uGQw5a691,CUZ,264.92 
[40389] SET_SELL_TRIGGER,1uGQw5a691,CUZ,217.41 
[40417] SELL,1uGQw5a691,QJZ,625.60 
[40730] SELL,1uGQw5a691,ZTI,48.45 
[40915] SET_BUY_AMOUNT,1uGQw5a691,BCQ,598.85 
[41271] SET_BUY_TRIGGER,1uGQw5a691,USW,241.32 
[41332] ADD,1uGQw5a691,72586.59 
[41454] SELL,1uGQw5a691,GYF,745.80 
[41918] COMMIT_SELL,1uGQw5a691 
[41966] DISPLAY_SUMMARY,1uGQw5a691 
[41973] CANCEL_SET_SELL,1uGQw5a691,NTB 
[42095] SET_SELL_AMOUNT,1uGQw5a691,OEY,533.32 
[42127] SET_SELL_TRIGGER,1uGQw5a691,OEY,337.72 
[42241] DISPLAY_SUMMARY,1uGQw5a691 
[42527] DISPLAY_SUMMARY,1uGQw5a691 
[42648] ADD,1uGQw5a691,100198.41 
[42719] BUY,1uGQw5a691,HZP,129.68 
[42795] COMMIT_BUY,1uGQw5a691 
[42998] QUOTE,1uGQw5a691,AJR 
[43009] SET_SELL_AMOUNT,1uGQw5a691,RNK,628.30 
[43015] SELL,1uGQw5a691,EBS,484.31 
[43271] COMMIT_SELL,1uGQw5a691 
[43381] DISPLAY_SUMMARY,1uGQw5a691 
[43533] SELL,1uGQw5a691,EBS,348.99 
[43544] DISPLAY_SUMMARY,1uGQw5a691 
[43626] QUOTE,1uGQw5a691,IQZ 
[43728] BUY,1uGQw5a691,YWC,294.83 
[43791] CANCEL_SET_SELL,1uGQw5a691,RNK 
[43942] CANCEL_SET_SELL,1uGQw5a691,BFL 
[44057] SET_SELL_AMOUNT,1uGQw5a691,YJK,119.12 
[44058] SET_SELL_TRIGGER,1uGQw5a691,YJK,0.99 
[44071] DISPLAY_SUMMARY,1uGQw5a691 
[44098] SELL,1uGQw5a691,FQP,248.92 
[44113] COMMIT_SELL,1uGQw5a691 
[44120] ADD,1uGQw5a691,87772.06 
[44315] BUY,1uGQw5a691,EWP,551.54 
[44405] QUOTE,1uGQw5a691,OAS 
[44411] BUY,1uGQw5a691,IIX,317.74 
[44420] COMMIT_BUY,1uGQw5a691 
[44426] SET_BUY_TRIGGER,1uGQw5a691,QPX,91.90 
[44543] ADD,1uGQw5a691,60328.88 
[44735] COMMIT_BUY,1uGQw5a691 
[44797] SET_SELL_AMOUNT,1uGQw5a691,XXQ,335.27 
[45021] SET_SELL_TRIGGER,1uGQw5a691,XXQ,215.47 
[45030] SELL,1uGQw5a691,PTP,152.62 
[45039] COMMIT_SELL,1uGQw5a691 
[45082] BUY,1uGQw5a691,YGK,365.91 
[45258] SET_BUY_TRIGGER,1uGQw5a691,WRN,77.52 
[45283] DISPLAY_SUMMARY,1uGQw5a691 
[45409] ADD,1uGQw5a691,95293.23 
[45452] BUY,1uGQw5a691,LBC,70.40 
[45468] QUOTE,1uGQw5a691,LLE 
[45626] SET_BUY_AMOUNT,1uGQw5a691,RGH,35.64 
[45758] SET_BUY_TRIGGER,1uGQw5a691,IGI,16.54 
[45845] CANCEL_SET_SELL,1uGQw5a691,SSL 
[45908] SELL,1uGQw5a691,EBS,139.26 
[45919] COMMIT_SELL,1uGQw5a691 
[46141] ADD,1uGQw5a691,69959.05 
[46216] BUY,1uGQw5a691,JTY,483.49 
[46447] COMMIT_BUY,1uGQw5a691 
[46553] BUY,1uGQw5a691,BBD,421.77 
[46581] COMMIT_BUY,1uGQw5a691 
[46621] ADD,1uGQw5a691,81943.44 
[46667] CANCEL_BUY,1uGQw5a691 
[46840] SET_BUY_TRIGGER,1uGQw5a691,CXN,94.36 
[46848] SELL,1uGQw5a691,EBS,432.67 
[46902] CANCEL_BUY,1uGQw5a691 
[47047] DISPLAY_SUMMARY,1uGQw5a691 
[47095] ADD,1uGQw5a691,69435.10 
[47114] CANCEL_SELL,1uGQw5a691 
[47274] DISPLAY_SUMMARY,1uGQw5a691 
[47401] CANCEL_BUY,1uGQw5a691 
[47585] ADD,1uGQw5a691,78800.14 
[47987] BUY,1uGQw5a691,CXN,76.63 
[48062] COMMIT_BUY,1uGQw5a691 
[48144] ADD,1uGQw5a691,85772.47 
[48311] QUOTE,1uGQw5a691,XAB 
[48363] SET_BUY_TRIGGER,1uGQw5a691,EGB,99.94 
[48375] SET_SELL_TRIGGER,1uGQw5a691,YVS,94.80 
[48551] SELL,1uGQw5a691,YJK,347.66 
[48726] COMMIT_SELL,1uGQw5a691 
[48735] SELL,1uGQw5a691,NHG,295.66 
[48912] BUY,1uGQw5a691,QTU,42.24 
[48988] COMMIT_BUY,1uGQw5a691 
[49110] ADD,1uGQw5a691,57554.94 
[49146] BUY,1uGQw5a691,LMB,121.43 
[49162] CANCEL_BUY,1uGQw5a691 
[49231] BUY,1uGQw5a691,ZRH,673.61 
[49232] COMMIT_BUY,1uGQw5a691 
[49237] ADD,1uGQw5a691,76021.00 
[49267] BUY,1uGQw5a691,XQC,33.25 
[49300] COMMIT_BUY,1uGQw5a691 
[49410] DISPLAY_SUMMARY,1uGQw5a691 
[49818] QUOTE,1uGQw5a691,XQC 
[49877] QUOTE,1uGQw5a691,OEY 
[49944] ADD,1uGQw5a691,68781.17 
[49952] BUY,1uGQw5a691,ECX,434.40 
[50076] DISPLAY_SUMMARY,1uGQw5a691 
[50126] CANCEL_SELL,1uGQw5a691 
[50250] ADD,1uGQw5a691,65142.23 
[50437] BUY,1uGQw5a691,ZMS,607.70 
[50501] CANCEL_SELL,1uGQw5a691 
[50556] SET_BUY_TRIGGER,1uGQw5a691,TFZ,174.78 
[50567] SET_BUY_TRIGGER,1uGQw5a691,ZFT,181.27 
[50616] QUOTE,1uGQw5a691,KCS 
[50666] SET_BUY_AMOUNT,1uGQw5a691,RGH,77.35 
