[8] ADD,n4E566ZogW,74837.72 
[17823] DISPLAY_SUMMARY,n4E566ZogW 
[17899] SET_SELL_TRIGGER,n4E566ZogW,TKM,34.36 
[18050] SET_BUY_AMOUNT,n4E566ZogW,ZAN,547.66 
[18163] SET_BUY_TRIGGER,n4E566ZogW,BSZ,24.99 
[18201] SET_BUY_TRIGGER,n4E566ZogW,OZW,41.44 
[18348] SELL,n4E566ZogW,FQP,135.23 
[18528] BUY,n4E566ZogW,EDV,9.60 
[18684] COMMIT_BUY,n4E566ZogW 
[18917] QUOTE,n4E566ZogW,XME 
[18984] BUY,n4E566ZogW,WZY,476.22 
[19075] COMMIT_BUY,n4E566ZogW 
[19083] ADD,n4E566ZogW,78826.00 
[19266] QUOTE,n4E566ZogW,KBI 
[19307] SET_BUY_AMOUNT,n4E566ZogW,ZAN,321.53 
[19318] SET_BUY_TRIGGER,n4E566ZogW,BPK,157.48 
[19325] COMMIT_SELL,n4E566ZogW 
[19488] ADD,n4E566ZogW,74791.26 
[19572] BUY,n4E566ZogW,PMG,237.87 
[19610] CANCEL_SET_BUY,n4E566ZogW,AHE 
[19681] DISPLAY_SUMMARY,n4E566ZogW 
[19743] SET_SELL_AMOUNT,n4E566ZogW,CUZ,538.08 
[19858] SET_SELL_TRIGGER,n4E566ZogW,CUZ,67.83 
[20007] SELL,n4E566ZogW,JRJ,619.96 
[20116] QUOTE,n4E566ZogW,NGZ 
[20330] QUOTE,n4E566ZogW,SCK 
[20446] CANCEL_SELL,n4E566ZogW 
[20600] ADD,n4E566ZogW,41315.10 
[20606] QUOTE,n4E566ZogW,PVZ 
[20673] SET_BUY_TRIGGER,n4E566ZogW,AOU,21.57 
[20828] COMMIT_SELL,n4E566ZogW 
[21067] BUY,n4E566ZogW,QWC,479.30 
[21103] CANCEL_SET_BUY,n4E566ZogW,BOS 
[21167] BUY,n4E566ZogW,BXH,324.35 
[21175] SET_BUY_TRIGGER,n4E566ZogW,FIC,58.91 
[21298] CANCEL_SELL,n4E566ZogW 
[21316] BUY,n4E566ZogW,JQO,262.21 
[21451] COMMIT_BUY,n4E566ZogW 
[21479] DISPLAY_SUMMARY,n4E566ZogW 
[21815] DISPLAY_SUMMARY,n4E566ZogW 
[21832] ADD,n4E566ZogW,97088.30 
[21845] COMMIT_BUY,n4E566ZogW 
[21918] ADD,n4E566ZogW,88135.64 
[22086] QUOTE,n4E566ZogW,YDD 
[22378] BUY,n4E566ZogW,QHF,700.15 
[22400] QUOTE,n4E566ZogW,OZO 
[22440] ADD,n4E566ZogW,78477.45 
[22875] BUY,n4E566ZogW,GAV,742.08 
[23009] COMMIT_BUY,n4E566ZogW 
[23016] SET_SELL_TRIGGER,n4E566ZogW,LPW,48.18 
[23023] SELL,n4E566ZogW,YJK,213.09 
[23118] BUY,n4E566ZogW,CXW,51.13 
[23591] COMMIT_BUY,n4E566ZogW 
[23663] CANCEL_BUY,n4E566ZogW 
[23674] DISPLAY_SUMMARY,n4E566ZogW 
[23780] SELL,n4E566ZogW,QJZ,31.59 
[23782] COMMIT_SELL,n4E566ZogW 
[23869] ADD,n4E566ZogW,101535.23 
[23908] QUOTE,n4E566ZogW,LZV 
[24038] BUY,n4E566ZogW,XMA,13.74 
[24233] SET_BUY_AMOUNT,n4E566ZogW,NHG,240.49 
[24278] SET_BUY_TRIGGER,n4E566ZogW,TTY,219.36 
[24432] QUOTE,n4E566ZogW,YCH 
[24675] ADD,n4E566ZogW,79562.11 
[24784] QUOTE,n4E566ZogW,OSC 
[24887] SET_BUY_TRIGGER,n4E566ZogW,RXB,175.47 
[25018] SELL,n4E566ZogW,OEY,438.58 
[25195] COMMIT_SELL,n4E566ZogW 
[25198] ADD,n4E566ZogW,71501.72 
[25560] BUY,n4E566ZogW,GUW,648.48 
[25694] SET_SELL_TRIGGER,n4E566ZogW,FZU,104.33 
[25745] BUY,n4E566ZogW,GAL,399.31 
[25787] COMMIT_BUY,n4E566ZogW 
[25822] SET_SELL_AMOUNT,n4E566ZogW,RUN,521.31 
[25842] SET_SELL_TRIGGER,n4E566ZogW,RUN,408.08 
[25844] COMMIT_BUY,n4E566ZogW 
[25887] SET_SELL_AMOUNT,n4E566ZogW,RUN,657.26 
[26006] CANCEL_SET_SELL,n4E566ZogW,RUN 
[26028] DISPLAY_SUMMARY,n4E566ZogW 
[26099] QUOTE,n4E566ZogW,CNN 
[26226] QUOTE,n4E566ZogW,QSS 
[26332] CANCEL_BUY,n4E566ZogW 
[26460] SELL,n4E566ZogW,ZYR,93.57 
[26483] COMMIT_SELL,n4E566ZogW 
[26627] SET_BUY_TRIGGER,n4E566ZogW,JRJ,198.86 
[26697] DISPLAY_SUMMARY,n4E566ZogW 
[26758] SET_SELL_TRIGGER,n4E566ZogW,UTL,188.28 
[26833] ADD,n4E566ZogW,86429.64 
[26903] BUY,n4E566ZogW,NJB,161.15 
[27092] CANCEL_SET_SELL,n4E566ZogW,OXV 
[27256] BUY,n4E566ZogW,SMS,327.45 
[27288] SET_SELL_TRIGGER,n4E566ZogW,FQG,105.87 
[27292] ADD,n4E566ZogW,71003.75 
[27331] DISPLAY_SUMMARY,n4E566ZogW 
[27406] SELL,n4E566ZogW,JRJ,71.27 
[27426] CANCEL_SELL,n4E566ZogW 
[27606] DISPLAY_SUMMARY,n4E566ZogW 
[27738] SET_BUY_AMOUNT,n4E566ZogW,KDA,82.23 
[27804] QUOTE,n4E566ZogW,KGA 
[27873] DISPLAY_SUMMARY,n4E566ZogW 
[27968] SELL,n4E566ZogW,EBS,685.53 
[28140] CANCEL_SELL,n4E566ZogW 
[28198] DISPLAY_SUMMARY,n4E566ZogW 
[28336] BUY,n4E566ZogW,IOM,139.19 
[28552] SET_BUY_AMOUNT,n4E566ZogW,JCQ,164.52 
[28677] SET_BUY_TRIGGER,n4E566ZogW,UTL,46.70 
[28757] ADD,n4E566ZogW,70301.78 
[28792] BUY,n4E566ZogW,VVW,598.21 
[29021] SET_BUY_AMOUNT,n4E566ZogW,YJK,109.90 
[29092] SET_BUY_TRIGGER,n4E566ZogW,WDJ,29.79 
[29262] ADD,n4E566ZogW,75950.72 
[29360] BUY,n4E566ZogW,FNY,278.21 
[29574] BUY,n4E566ZogW,BEC,89.44 
[29720] COMMIT_BUY,n4E566ZogW 
[29722] BUY,n4E566ZogW,GXT,710.72 
[29733] CANCEL_SELL,n4E566ZogW 
[29785] DISPLAY_SUMMARY,n4E566ZogW 
[29879] SELL,n4E566ZogW,CUZ,598.28 
[29940] QUOTE,n4E566ZogW,WKT 
[30080] BUY,n4E566ZogW,DMS,665.52 
[30132] COMMIT_BUY,n4E566ZogW 
[30211] COMMIT_BUY,n4E566ZogW 
[30846] BUY,n4E566ZogW,TSU,33.52 
[31222] SELL,n4E566ZogW,OEY,641.17 
[31243] COMMIT_SELL,n4E566ZogW 
[31274] BUY,n4E566ZogW,QGE,371.03 
[31418] COMMIT_BUY,n4E566ZogW 
[31722] QUOTE,n4E566ZogW,DXL 
[31768] BUY,n4E566ZogW,LAM,289.68 
[31810] COMMIT_BUY,n4E566ZogW 
[31848] QUOTE,n4E566ZogW,PGV 
[32085] BUY,n4E566ZogW,BWR,202.17 
[32098] SET_BUY_AMOUNT,n4E566ZogW,OEY,484.39 
[32190] SET_BUY_TRIGGER,n4E566ZogW,UDN,189.43 
[32284] SELL,n4E566ZogW,RGH,377.86 
[32292] CANCEL_BUY,n4E566ZogW 
[32314] CANCEL_SELL,n4E566ZogW 
[32456] SET_BUY_TRIGGER,n4E566ZogW,OXK,107.13 
[32534] ADD,n4E566ZogW,59529.01 
[32663] COMMIT_BUY,n4E566ZogW 
[32870] SET_BUY_TRIGGER,n4E566ZogW,UDQ,72.66 
[32956] QUOTE,n4E566ZogW,KAH 
[32999] BUY,n4E566ZogW,CLQ,385.23 
[33140] COMMIT_BUY,n4E566ZogW 
[33277] SELL,n4E566ZogW,PTP,443.43 
[33323] COMMIT_SELL,n4E566ZogW 
[33374] SET_BUY_AMOUNT,n4E566ZogW,BYA,629.45 
[33381] SET_BUY_TRIGGER,n4E566ZogW,EGX,270.38 
[33438] BUY,n4E566ZogW,LJY,137.97 
[33751] COMMIT_BUY,n4E566ZogW 
[33832] SET_SELL_AMOUNT,n4E566ZogW,DFE,610.62 
[33849] SELL,n4E566ZogW,FQP,93.73 
[34064] CANCEL_SET_BUY,n4E566ZogW,IFU 
[34148] BUY,n4E566ZogW,LVV,362.68 
[34251] COMMIT_BUY,n4E566ZogW 
[34268] SET_SELL_AMOUNT,n4E566ZogW,OPN,242.14 
[34384] SET_SELL_TRIGGER,n4E566ZogW,OPN,188.07 
[34389] BUY,n4E566ZogW,KAH,709.51 
[34426] COMMIT_BUY,n4E566ZogW 
[34517] SET_BUY_TRIGGER,n4E566ZogW,CXB,144.05 
[34531] ADD,n4E566ZogW,71849.78 
[34623] DISPLAY_SUMMARY,n4E566ZogW 
[34740] SET_SELL_AMOUNT,n4E566ZogW,QJZ,463.17 
[34987] BUY,n4E566ZogW,WDC,149.23 
[35177] COMMIT_BUY,n4E566ZogW 
[35222] SET_SELL_AMOUNT,n4E566ZogW,JVT,280.24 
[35445] CANCEL_SET_SELL,n4E566ZogW,JVT 
[35589] BUY,n4E566ZogW,JOJ,714.75 
[35671] COMMIT_BUY,n4E566ZogW 
[35931] SELL,n4E566ZogW,OEY,584.31 
[36274] CANCEL_SELL,n4E566ZogW 
[36311] SET_BUY_TRIGGER,n4E566ZogW,VNF,124.79 
[36425] SET_SELL_TRIGGER,n4E566ZogW,WKE,197.91 
[36514] ADD,n4E566ZogW,55033.97 
[36543] CANCEL_SELL,n4E566ZogW 
[36584] QUOTE,n4E566ZogW,PLA 
[36599] CANCEL_BUY,n4E566ZogW 
[36666] DISPLAY_SUMMARY,n4E566ZogW 
[36677] BUY,n4E566ZogW,PRJ,300.61 
[36742] DISPLAY_SUMMARY,n4E566ZogW 
[36750] ADD,n4E566ZogW,71313.69 
[36773] BUY,n4E566ZogW,ZLY,743.68 
[36967] DISPLAY_SUMMARY,n4E566ZogW 
[37162] ADD,n4E566ZogW,67545.25 
[37217] QUOTE,n4E566ZogW,LZV 
[37228] QUOTE,n4E566ZogW,KDA 
[37234] QUOTE,n4E566ZogW,PZE 
[37259] SET_BUY_TRIGGER,n4E566ZogW,PZE,167.71 
[37547] COMMIT_BUY,n4E566ZogW 
[37633] CANCEL_SET_SELL,n4E566ZogW,LLO 
[37660] BUY,n4E566ZogW,FKZ,517.88 
[37697] COMMIT_BUY,n4E566ZogW 
[37756] SELL,n4E566ZogW,XLK,448.53 
[37771] DISPLAY_SUMMARY,n4E566ZogW 
[37995] DISPLAY_SUMMARY,n4E566ZogW 
[38027] ADD,n4E566ZogW,61442.25 
[38085] COMMIT_BUY,n4E566ZogW 
[38111] ADD,n4E566ZogW,63986.33 
[38139] SELL,n4E566ZogW,KDA,634.98 
[38165] SELL,n4E566ZogW,GYF,106.02 
[38168] QUOTE,n4E566ZogW,MIU 
[38219] BUY,n4E566ZogW,GYF,363.49 
[38349] SET_SELL_AMOUNT,n4E566ZogW,UBJ,651.49 
[38396] SET_SELL_TRIGGER,n4E566ZogW,UBJ,467.62 
[38558] BUY,n4E566ZogW,CXC,138.41 
[38629] CANCEL_SELL,n4E566ZogW 
[38868] SELL,n4E566ZogW,JQO,145.27 
[39033] COMMIT_SELL,n4E566ZogW 
[39162] QUOTE,n4E566ZogW,LEA 
[39238] QUOTE,n4E566ZogW,GQV 
[39392] BUY,n4E566ZogW,XOM,364.02 
[39477] SET_BUY_AMOUNT,n4E566ZogW,CUZ,199.68 
[39739] SET_BUY_TRIGGER,n4E566ZogW,IZJ,30.83 
[39868] QUOTE,n4E566ZogW,BHJ 
[39963] COMMIT_BUY,n4E566ZogW 
[40003] DISPLAY_SUMMARY,n4E566ZogW 
[40234] QUOTE,n4E566ZogW,JGF 
[40408] ADD,n4E566ZogW,81194.41 
[40429] QUOTE,n4E566ZogW,YNY 
[40602] CANCEL_BUY,n4E566ZogW 
[40609] QUOTE,n4E566ZogW,QOQ 
[40839] QUOTE,n4E566ZogW,JVE 
[40923] QUOTE,n4E566ZogW,MIR 
[41051] SET_SELL_AMOUNT,n4E566ZogW,JCQ,230.70 
[41072] CANCEL_SET_SELL,n4E566ZogW,JCQ 
[41112] QUOTE,n4E566ZogW,ZKV 
[41203] QUOTE,n4E566ZogW,JPD 
[41348] SET_SELL_TRIGGER,n4E566ZogW,AQO,58.50 
[41384] DISPLAY_SUMMARY,n4E566ZogW 
[41731] COMMIT_SELL,n4E566ZogW 
[41783] SET_SELL_TRIGGER,n4E566ZogW,VNO,35.70 
[41919] SET_BUY_AMOUNT,n4E566ZogW,YJK,239.08 
[41934] QUOTE,n4E566ZogW,LAW 
[42076] ADD,n4E566ZogW,65563.49 
[42086] QUOTE,n4E566ZogW,PXY 
[42180] BUY,n4E566ZogW,WYA,239.97 
[42503] COMMIT_BUY,n4E566ZogW 
[42833] SET_BUY_TRIGGER,n4E566ZogW,OOV,235.45 
[42880] BUY,n4E566ZogW,CAX,56.17 
[42893] COMMIT_BUY,n4E566ZogW 
[42947] CANCEL_SET_SELL,n4E566ZogW,WCR 
[43397] DISPLAY_SUMMARY,n4E566ZogW 
[43459] SET_BUY_AMOUNT,n4E566ZogW,NHG,334.94 
[43488] SET_BUY_TRIGGER,n4E566ZogW,UGT,269.43 
[43529] QUOTE,n4E566ZogW,AUX 
[43797] QUOTE,n4E566ZogW,KAH 
[43876] COMMIT_BUY,n4E566ZogW 
[43931] SET_BUY_TRIGGER,n4E566ZogW,ZER,96.16 
[44173] SET_SELL_AMOUNT,n4E566ZogW,JCQ,337.47 
[44227] SET_SELL_TRIGGER,n4E566ZogW,JCQ,202.04 
[44250] QUOTE,n4E566ZogW,YDS 
[44333] CANCEL_SET_BUY,n4E566ZogW,HPN 
[44350] SET_BUY_AMOUNT,n4E566ZogW,RUN,34.57 
[44609] SET_BUY_TRIGGER,n4E566ZogW,GLJ,5.70 
[44990] BUY,n4E566ZogW,CBQ,319.83 
[45190] QUOTE,n4E566ZogW,XXP 
[45226] BUY,n4E566ZogW,UDN,248.77 
[45337] SET_BUY_TRIGGER,n4E566ZogW,VDP,47.84 
[45361] SET_BUY_AMOUNT,n4E566ZogW,FDI,291.13 
[45462] SET_BUY_TRIGGER,n4E566ZogW,KES,276.71 
[45473] CANCEL_SET_SELL,n4E566ZogW,OSA 
[45565] QUOTE,n4E566ZogW,EGB 
[45605] SET_SELL_AMOUNT,n4E566ZogW,UTV,180.80 
[45630] CANCEL_SET_SELL,n4E566ZogW,UTV 
[46034] SELL,n4E566ZogW,YJK,319.89 
[46102] COMMIT_SELL,n4E566ZogW 
[46140] SET_SELL_TRIGGER,n4E566ZogW,FQG,113.74 
[46163] ADD,n4E566ZogW,65600.93 
[46306] QUOTE,n4E566ZogW,WZM 
[46342] ADD,n4E566ZogW,67695.32 
[46381] QUOTE,n4E566ZogW,ZOW 
[46464] SET_BUY_AMOUNT,n4E566ZogW,CSZ,317.85 
[46608] QUOTE,n4E566ZogW,SEW 
[46626] CANCEL_SELL,n4E566ZogW 
[46773] SET_SELL_TRIGGER,n4E566ZogW,FIW,122.63 
[46790] SELL,n4E566ZogW,UBJ,334.69 
[46870] SET_BUY_TRIGGER,n4E566ZogW,JFJ,77.92 
[47429] CANCEL_SET_BUY,n4E566ZogW,KLE 
[47564] DISPLAY_SUMMARY,n4E566ZogW 
[47584] DISPLAY_SUMMARY,n4E566ZogW 
[47691] QUOTE,n4E566ZogW,SPL 
[47934] QUOTE,n4E566ZogW,NFL 
[48043] SET_BUY_TRIGGER,n4E566ZogW,HBF,59.51 
[48071] CANCEL_SET_SELL,n4E566ZogW,BHJ 
[48283] CANCEL_SET_BUY,n4E566ZogW,RRT 
[48288] COMMIT_SELL,n4E566ZogW 
[48308] DISPLAY_SUMMARY,n4E566ZogW 
[48485] SET_BUY_TRIGGER,n4E566ZogW,STO,75.17 
[48789] DISPLAY_SUMMARY,n4E566ZogW 
[48801] SET_SELL_AMOUNT,n4E566ZogW,QGE,180.55 
[48825] CANCEL_SET_SELL,n4E566ZogW,QGE 
[48852] ADD,n4E566ZogW,66355.44 
[48873] QUOTE,n4E566ZogW,SFO 
[48957] BUY,n4E566ZogW,GPC,739.39 
[49135] COMMIT_BUY,n4E566ZogW 
[49174] ADD,n4E566ZogW,72927.77 
[49398] SET_BUY_AMOUNT,n4E566ZogW,BCQ,99.19 
[49403] SELL,n4E566ZogW,ZTI,293.69 
[49519] COMMIT_SELL,n4E566ZogW 
[49569] DISPLAY_SUMMARY,n4E566ZogW 
[49609] ADD,n4E566ZogW,78560.09 
[49625] QUOTE,n4E566ZogW,NGG 
[49812] BUY,n4E566ZogW,ASJ,92.15 
[49865] CANCEL_SET_BUY,n4E566ZogW,ZEU 
[49938] ADD,n4E566ZogW,90956.64 
[50016] QUOTE,n4E566ZogW,MVD 
[50087] ADD,n4E566ZogW,72759.06 
[50156] BUY,n4E566ZogW,ZJG,146.83 
[50221] CANCEL_BUY,n4E566ZogW 
[50272] ADD,n4E566ZogW,63461.50 
[50312] QUOTE,n4E566ZogW,YPW 
[50401] QUOTE,n4E566ZogW,POI 
[50560] COMMIT_BUY,n4E566ZogW 
[50566] SET_SELL_TRIGGER,n4E566ZogW,MVI,17.80 
[50587] BUY,n4E566ZogW,VZB,15.48 
[50638] COMMIT_BUY,n4E566ZogW 
[50978] ADD,n4E566ZogW,55376.92 
[51205] QUOTE,n4E566ZogW,RVU 
[51364] BUY,n4E566ZogW,USW,326.35 
[51504] SET_BUY_AMOUNT,n4E566ZogW,JCQ,530.09 
[51533] SET_BUY_TRIGGER,n4E566ZogW,GWF,196.51 
[51610] ADD,n4E566ZogW,67949.62 
[51734] QUOTE,n4E566ZogW,SYN 
[51772] BUY,n4E566ZogW,GDF,293.21 
[51799] CANCEL_SET_BUY,n4E566ZogW,HTN 
[51996] SET_BUY_TRIGGER,n4E566ZogW,QOD,99.06 
[52296] DISPLAY_SUMMARY,n4E566ZogW 
[52316] DISPLAY_SUMMARY,n4E566ZogW 
[52451] SET_BUY_AMOUNT,n4E566ZogW,CBO,572.06 
[52610] SET_BUY_TRIGGER,n4E566ZogW,HCN,253.61 
[52818] SELL,n4E566ZogW,UBJ,566.51 
[52850] SET_BUY_AMOUNT,n4E566ZogW,SSF,210.92 
