[1] ADD,lLn3fa1FIk,75576.00 
[11224] SET_SELL_TRIGGER,lLn3fa1FIk,QJZ,13.59 
[11239] BUY,lLn3fa1FIk,TSF,77.16 
[11246] SET_BUY_AMOUNT,lLn3fa1FIk,FQP,451.73 
[11284] CANCEL_SET_BUY,lLn3fa1FIk,CXW 
[11344] SET_SELL_TRIGGER,lLn3fa1FIk,FQG,66.35 
[11442] SET_BUY_TRIGGER,lLn3fa1FIk,QAX,69.30 
[11468] DISPLAY_SUMMARY,lLn3fa1FIk 
[11606] ADD,lLn3fa1FIk,40039.31 
[11629] BUY,lLn3fa1FIk,CLP,106.89 
[11658] COMMIT_BUY,lLn3fa1FIk 
[11710] BUY,lLn3fa1FIk,OXK,232.80 
[11756] COMMIT_BUY,lLn3fa1FIk 
[11816] BUY,lLn3fa1FIk,GUW,77.76 
[11906] CANCEL_SET_SELL,lLn3fa1FIk,MFX 
[12032] BUY,lLn3fa1FIk,GDO,195.52 
[12122] COMMIT_BUY,lLn3fa1FIk 
[12316] DISPLAY_SUMMARY,lLn3fa1FIk 
[12452] DISPLAY_SUMMARY,lLn3fa1FIk 
[12608] COMMIT_SELL,lLn3fa1FIk 
[12893] DISPLAY_SUMMARY,lLn3fa1FIk 
[12914] SET_BUY_AMOUNT,lLn3fa1FIk,KES,585.41 
[13113] SET_BUY_TRIGGER,lLn3fa1FIk,GTX,78.20 
[13168] SET_BUY_AMOUNT,lLn3fa1FIk,JCQ,293.05 
[13176] SET_BUY_TRIGGER,lLn3fa1FIk,SAR,76.29 
[13204] SET_BUY_AMOUNT,lLn3fa1FIk,JCQ,577.91 
[13227] SET_BUY_TRIGGER,lLn3fa1FIk,WNX,85.67 
[13256] COMMIT_SELL,lLn3fa1FIk 
[13365] SET_SELL_AMOUNT,lLn3fa1FIk,JCQ,223.07 
[13504] SET_SELL_TRIGGER,lLn3fa1FIk,JCQ,58.08 
[13515] DISPLAY_SUMMARY,lLn3fa1FIk 
[13857] BUY,lLn3fa1FIk,OYS,162.34 
[13886] COMMIT_BUY,lLn3fa1FIk 
[13936] BUY,lLn3fa1FIk,PUU,37.45 
[13942] SET_BUY_AMOUNT,lLn3fa1FIk,FQP,273.10 
[13958] SET_BUY_TRIGGER,lLn3fa1FIk,OOR,212.83 
[14096] ADD,lLn3fa1FIk,94836.30 
[14163] BUY,lLn3fa1FIk,FZB,236.94 
[14301] SET_SELL_TRIGGER,lLn3fa1FIk,OZT,183.85 
[14335] SELL,lLn3fa1FIk,OEY,70.32 
[14341] CANCEL_SET_BUY,lLn3fa1FIk,RQT 
[14374] COMMIT_SELL,lLn3fa1FIk 
[14466] SET_BUY_AMOUNT,lLn3fa1FIk,FQP,413.87 
[14478] SET_BUY_TRIGGER,lLn3fa1FIk,LMO,272.95 
[14600] DISPLAY_SUMMARY,lLn3fa1FIk 
[14657] ADD,lLn3fa1FIk,59131.41 
[14752] QUOTE,lLn3fa1FIk,QNK 
[15017] SET_BUY_TRIGGER,lLn3fa1FIk,JLK,193.04 
[15046] ADD,lLn3fa1FIk,81158.38 
[15154] QUOTE,lLn3fa1FIk,SYN 
[15166] QUOTE,lLn3fa1FIk,DED 
[15221] BUY,lLn3fa1FIk,PBV,605.27 
[15233] SELL,lLn3fa1FIk,KDA,607.31 
[15260] COMMIT_SELL,lLn3fa1FIk 
[15322] QUOTE,lLn3fa1FIk,HTD 
[15539] CANCEL_BUY,lLn3fa1FIk 
[15558] SELL,lLn3fa1FIk,JVT,428.40 
[15642] COMMIT_SELL,lLn3fa1FIk 
[15689] QUOTE,lLn3fa1FIk,XPX 
[15771] SET_SELL_AMOUNT,lLn3fa1FIk,FQP,264.80 
[15785] SET_SELL_TRIGGER,lLn3fa1FIk,FQP,194.73 
[15984] ADD,lLn3fa1FIk,49816.54 
[16105] QUOTE,lLn3fa1FIk,MER 
[16507] QUOTE,lLn3fa1FIk,QID 
[16596] CANCEL_SELL,lLn3fa1FIk 
[17093] QUOTE,lLn3fa1FIk,BTA 
[17188] ADD,lLn3fa1FIk,54818.70 
[17315] BUY,lLn3fa1FIk,ULL,107.88 
[17355] DISPLAY_SUMMARY,lLn3fa1FIk 
[17479] SET_SELL_AMOUNT,lLn3fa1FIk,EBS,177.58 
[17515] SET_SELL_TRIGGER,lLn3fa1FIk,EBS,17.33 
[17567] ADD,lLn3fa1FIk,77646.80 
[17701] QUOTE,lLn3fa1FIk,JUN 
[17772] QUOTE,lLn3fa1FIk,XUY 
[18047] COMMIT_SELL,lLn3fa1FIk 
[18091] SET_SELL_TRIGGER,lLn3fa1FIk,GTX,161.61 
[18158] QUOTE,lLn3fa1FIk,BPP 
[18166] QUOTE,lLn3fa1FIk,BXH 
[18219] BUY,lLn3fa1FIk,JUG,307.67 
[18370] SET_BUY_TRIGGER,lLn3fa1FIk,KAS,60.63 
[18447] ADD,lLn3fa1FIk,41828.86 
[18448] SET_BUY_TRIGGER,lLn3fa1FIk,ISQ,164.33 
[18560] SET_SELL_AMOUNT,lLn3fa1FIk,FQP,417.10 
[18583] SET_SELL_TRIGGER,lLn3fa1FIk,FQP,208.96 
[18735] ADD,lLn3fa1FIk,78166.20 
[19107] QUOTE,lLn3fa1FIk,QXW 
[19241] QUOTE,lLn3fa1FIk,XFA 
[19382] ADD,lLn3fa1FIk,86373.81 
[19421] BUY,lLn3fa1FIk,GWS,232.54 
[19444] COMMIT_BUY,lLn3fa1FIk 
[19477] DISPLAY_SUMMARY,lLn3fa1FIk 
[19533] ADD,lLn3fa1FIk,93045.06 
[19676] BUY,lLn3fa1FIk,EOY,388.12 
[19733] SET_BUY_AMOUNT,lLn3fa1FIk,KES,659.29 
[19740] QUOTE,lLn3fa1FIk,LPR 
[19830] CANCEL_BUY,lLn3fa1FIk 
[19929] DISPLAY_SUMMARY,lLn3fa1FIk 
[20005] BUY,lLn3fa1FIk,PUN,334.10 
[20013] COMMIT_BUY,lLn3fa1FIk 
[20112] BUY,lLn3fa1FIk,JHY,56.06 
[20166] CANCEL_BUY,lLn3fa1FIk 
[20338] SET_BUY_TRIGGER,lLn3fa1FIk,NDO,407.47 
[20360] SET_SELL_TRIGGER,lLn3fa1FIk,WKD,103.06 
[20385] ADD,lLn3fa1FIk,70501.36 
[20568] QUOTE,lLn3fa1FIk,GAL 
[20867] BUY,lLn3fa1FIk,GDO,572.55 
[20947] BUY,lLn3fa1FIk,HTD,254.26 
[21101] SET_BUY_TRIGGER,lLn3fa1FIk,BBD,108.22 
[21119] SET_BUY_AMOUNT,lLn3fa1FIk,FQP,43.87 
[21127] SET_BUY_TRIGGER,lLn3fa1FIk,RRT,20.28 
[21154] BUY,lLn3fa1FIk,OOV,81.21 
[21227] BUY,lLn3fa1FIk,VEN,599.54 
[21322] SET_SELL_AMOUNT,lLn3fa1FIk,GYF,605.55 
[21415] SET_SELL_TRIGGER,lLn3fa1FIk,GYF,544.21 
[21433] ADD,lLn3fa1FIk,67284.10 
[21499] CANCEL_BUY,lLn3fa1FIk 
[21691] DISPLAY_SUMMARY,lLn3fa1FIk 
[21872] SET_BUY_AMOUNT,lLn3fa1FIk,JCQ,609.01 
[21896] BUY,lLn3fa1FIk,DXL,496.50 
[22004] CANCEL_BUY,lLn3fa1FIk 
[22026] SELL,lLn3fa1FIk,QJZ,67.29 
[22039] COMMIT_SELL,lLn3fa1FIk 
[22061] SET_SELL_TRIGGER,lLn3fa1FIk,GPM,27.94 
[22220] BUY,lLn3fa1FIk,KGA,355.20 
[22299] COMMIT_BUY,lLn3fa1FIk 
[22318] BUY,lLn3fa1FIk,ZAM,131.81 
[22410] COMMIT_BUY,lLn3fa1FIk 
[22419] ADD,lLn3fa1FIk,60855.75 
[22657] SET_SELL_AMOUNT,lLn3fa1FIk,FQP,462.74 
[22947] SET_SELL_TRIGGER,lLn3fa1FIk,FQP,294.17 
[23444] ADD,lLn3fa1FIk,93324.50 
[23492] DISPLAY_SUMMARY,lLn3fa1FIk 
[23539] QUOTE,lLn3fa1FIk,UGG 
[23580] BUY,lLn3fa1FIk,DWU,257.34 
[23970] SET_SELL_AMOUNT,lLn3fa1FIk,GYF,591.88 
[23986] SET_SELL_TRIGGER,lLn3fa1FIk,GYF,518.89 
[24049] QUOTE,lLn3fa1FIk,QAA 
[24060] QUOTE,lLn3fa1FIk,JCQ 
[24064] QUOTE,lLn3fa1FIk,GTX 
[24211] BUY,lLn3fa1FIk,MLT,267.52 
[24253] COMMIT_BUY,lLn3fa1FIk 
[24258] ADD,lLn3fa1FIk,70277.09 
[24263] QUOTE,lLn3fa1FIk,JGG 
[24265] SELL,lLn3fa1FIk,FQP,371.55 
[24285] SET_SELL_TRIGGER,lLn3fa1FIk,MHR,187.91 
[24367] ADD,lLn3fa1FIk,58680.24 
[24375] QUOTE,lLn3fa1FIk,SQS 
[24470] DISPLAY_SUMMARY,lLn3fa1FIk 
[24577] SET_SELL_TRIGGER,lLn3fa1FIk,DMW,131.17 
[24882] QUOTE,lLn3fa1FIk,IFQ 
[24997] BUY,lLn3fa1FIk,WDC,545.96 
[25098] BUY,lLn3fa1FIk,OOT,447.26 
[25465] COMMIT_BUY,lLn3fa1FIk 
[25517] SET_BUY_AMOUNT,lLn3fa1FIk,FQP,598.20 
[26173] QUOTE,lLn3fa1FIk,NTB 
[26212] BUY,lLn3fa1FIk,NNW,87.92 
[26241] SET_SELL_TRIGGER,lLn3fa1FIk,PFN,70.37 
[26278] SET_BUY_TRIGGER,lLn3fa1FIk,TOZ,400.05 
[26280] DISPLAY_SUMMARY,lLn3fa1FIk 
[26463] SET_BUY_AMOUNT,lLn3fa1FIk,OEY,746.62 
[26479] SET_BUY_TRIGGER,lLn3fa1FIk,UTV,221.25 
[26502] SELL,lLn3fa1FIk,KDA,544.01 
[26689] SELL,lLn3fa1FIk,JCQ,91.59 
[26911] COMMIT_SELL,lLn3fa1FIk 
[26964] SET_BUY_AMOUNT,lLn3fa1FIk,FQP,5.04 
[27044] SET_BUY_TRIGGER,lLn3fa1FIk,XER,4.87 
[27118] DISPLAY_SUMMARY,lLn3fa1FIk 
[27183] ADD,lLn3fa1FIk,92767.16 
[27280] BUY,lLn3fa1FIk,QBD,457.35 
[27670] COMMIT_BUY,lLn3fa1FIk 
[27698] SET_BUY_TRIGGER,lLn3fa1FIk,ZGC,198.37 
[27864] QUOTE,lLn3fa1FIk,WOJ 
[27884] BUY,lLn3fa1FIk,UHO,686.25 
[27901] COMMIT_BUY,lLn3fa1FIk 
[28081] BUY,lLn3fa1FIk,IZU,327.41 
[28195] QUOTE,lLn3fa1FIk,IOY 
[28304] SET_BUY_TRIGGER,lLn3fa1FIk,QGL,180.27 
[28340] SET_SELL_AMOUNT,lLn3fa1FIk,QJZ,352.38 
[28348] SET_SELL_TRIGGER,lLn3fa1FIk,QJZ,204.12 
[28482] ADD,lLn3fa1FIk,55063.96 
[28484] DISPLAY_SUMMARY,lLn3fa1FIk 
[28555] CANCEL_SET_BUY,lLn3fa1FIk,CJV 
[28625] SELL,lLn3fa1FIk,NHG,487.84 
[28647] SET_SELL_TRIGGER,lLn3fa1FIk,PSJ,114.22 
[28797] BUY,lLn3fa1FIk,IJO,140.73 
[28825] CANCEL_SET_SELL,lLn3fa1FIk,WYD 
[28895] CANCEL_BUY,lLn3fa1FIk 
[29066] ADD,lLn3fa1FIk,70040.02 
[29098] BUY,lLn3fa1FIk,KEV,411.54 
[29249] COMMIT_BUY,lLn3fa1FIk 
[29284] QUOTE,lLn3fa1FIk,JLO 
[29302] CANCEL_SET_BUY,lLn3fa1FIk,MOM 
[29462] SET_SELL_TRIGGER,lLn3fa1FIk,RRZ,54.63 
[29586] SET_SELL_TRIGGER,lLn3fa1FIk,LZV,33.21 
[29678] DISPLAY_SUMMARY,lLn3fa1FIk 
[29711] SET_BUY_TRIGGER,lLn3fa1FIk,MLU,28.57 
[29806] ADD,lLn3fa1FIk,71529.50 
[29914] DISPLAY_SUMMARY,lLn3fa1FIk 
[30060] SET_SELL_AMOUNT,lLn3fa1FIk,JRJ,340.25 
[30091] SET_SELL_TRIGGER,lLn3fa1FIk,JRJ,206.64 
[30125] BUY,lLn3fa1FIk,HYX,370.11 
[30184] CANCEL_BUY,lLn3fa1FIk 
[30323] SET_BUY_TRIGGER,lLn3fa1FIk,VTY,181.28 
[30410] SET_SELL_AMOUNT,lLn3fa1FIk,JCQ,411.54 
[30478] SET_SELL_TRIGGER,lLn3fa1FIk,JCQ,243.45 
[30615] DISPLAY_SUMMARY,lLn3fa1FIk 
[30845] SET_BUY_TRIGGER,lLn3fa1FIk,EGX,74.83 
[30941] SELL,lLn3fa1FIk,QAX,100.79 
[31029] COMMIT_SELL,lLn3fa1FIk 
[31428] DISPLAY_SUMMARY,lLn3fa1FIk 
[31759] SET_SELL_AMOUNT,lLn3fa1FIk,CUZ,39.23 
[31802] BUY,lLn3fa1FIk,VNF,179.61 
[31844] COMMIT_BUY,lLn3fa1FIk 
[31944] DISPLAY_SUMMARY,lLn3fa1FIk 
[31960] ADD,lLn3fa1FIk,33104.64 
[32044] QUOTE,lLn3fa1FIk,SOT 
[32063] COMMIT_SELL,lLn3fa1FIk 
[32141] ADD,lLn3fa1FIk,71907.45 
[32372] CANCEL_SELL,lLn3fa1FIk 
[32600] SET_SELL_AMOUNT,lLn3fa1FIk,JVT,264.05 
[32718] SET_SELL_TRIGGER,lLn3fa1FIk,JVT,256.67 
[32730] DISPLAY_SUMMARY,lLn3fa1FIk 
[32734] SELL,lLn3fa1FIk,NHG,524.14 
[32765] SET_SELL_AMOUNT,lLn3fa1FIk,KDA,352.04 
[32774] SET_SELL_TRIGGER,lLn3fa1FIk,KDA,3.83 
[33092] SELL,lLn3fa1FIk,CUZ,65.95 
[33112] COMMIT_SELL,lLn3fa1FIk 
[33205] ADD,lLn3fa1FIk,35268.48 
[33364] QUOTE,lLn3fa1FIk,XAN 
[33378] SET_BUY_AMOUNT,lLn3fa1FIk,ZAN,389.83 
[33442] SET_BUY_TRIGGER,lLn3fa1FIk,IOY,269.93 
[33547] ADD,lLn3fa1FIk,53888.61 
[33549] ADD,lLn3fa1FIk,73279.01 
[33670] QUOTE,lLn3fa1FIk,KCA 
[33682] CANCEL_SET_SELL,lLn3fa1FIk,STQ 
[33690] ADD,lLn3fa1FIk,56591.21 
[33755] SET_SELL_TRIGGER,lLn3fa1FIk,NXF,121.19 
[33768] SELL,lLn3fa1FIk,CUZ,647.15 
[33819] COMMIT_SELL,lLn3fa1FIk 
[33868] BUY,lLn3fa1FIk,GQV,549.89 
[33881] COMMIT_BUY,lLn3fa1FIk 
[34083] SET_SELL_AMOUNT,lLn3fa1FIk,XXQ,542.55 
[34087] SET_SELL_TRIGGER,lLn3fa1FIk,XXQ,416.55 
[34413] SET_SELL_TRIGGER,lLn3fa1FIk,BMQ,55.79 
[34564] BUY,lLn3fa1FIk,GPC,235.56 
[35149] COMMIT_BUY,lLn3fa1FIk 
[35180] SET_BUY_AMOUNT,lLn3fa1FIk,ZAN,698.52 
[35260] CANCEL_SET_BUY,lLn3fa1FIk,UZZ 
[35315] SET_SELL_AMOUNT,lLn3fa1FIk,LFU,272.94 
[35321] SET_SELL_TRIGGER,lLn3fa1FIk,LFU,18.61 
[35403] SET_BUY_AMOUNT,lLn3fa1FIk,CUZ,272.76 
[35628] SET_BUY_TRIGGER,lLn3fa1FIk,KCA,67.33 
[35747] ADD,lLn3fa1FIk,67507.61 
[35849] BUY,lLn3fa1FIk,FQP,557.03 
[35886] COMMIT_BUY,lLn3fa1FIk 
[35935] SET_SELL_AMOUNT,lLn3fa1FIk,JQO,455.98 
[35969] DISPLAY_SUMMARY,lLn3fa1FIk 
[36115] BUY,lLn3fa1FIk,MLI,693.20 
[36265] COMMIT_BUY,lLn3fa1FIk 
[36377] QUOTE,lLn3fa1FIk,MGK 
[36548] QUOTE,lLn3fa1FIk,DRP 
[36561] SELL,lLn3fa1FIk,BCQ,397.11 
[36656] SET_BUY_TRIGGER,lLn3fa1FIk,ETJ,26.73 
[36660] SET_BUY_AMOUNT,lLn3fa1FIk,QJZ,666.61 
[36789] DISPLAY_SUMMARY,lLn3fa1FIk 
[36912] SET_SELL_AMOUNT,lLn3fa1FIk,LFU,84.20 
[37254] SET_SELL_TRIGGER,lLn3fa1FIk,LFU,7.02 
[37267] SET_SELL_TRIGGER,lLn3fa1FIk,JVT,37.22 
[37343] ADD,lLn3fa1FIk,62746.52 
[37376] BUY,lLn3fa1FIk,NUL,678.09 
[37388] COMMIT_BUY,lLn3fa1FIk 
[37461] SET_BUY_AMOUNT,lLn3fa1FIk,QAX,700.02 
[37580] SET_BUY_TRIGGER,lLn3fa1FIk,KHY,137.89 
[37637] ADD,lLn3fa1FIk,49912.12 
[37736] CANCEL_SET_BUY,lLn3fa1FIk,WQC 
[37876] BUY,lLn3fa1FIk,BSG,213.97 
[37925] DISPLAY_SUMMARY,lLn3fa1FIk 
[38033] SET_BUY_AMOUNT,lLn3fa1FIk,BYA,82.48 
[38074] SET_BUY_TRIGGER,lLn3fa1FIk,TCP,12.07 
[38083] ADD,lLn3fa1FIk,85373.35 
[38224] QUOTE,lLn3fa1FIk,ZMK 
[38246] CANCEL_SET_SELL,lLn3fa1FIk,ZJQ 
[38394] SET_BUY_AMOUNT,lLn3fa1FIk,JRJ,379.93 
[38530] SET_BUY_TRIGGER,lLn3fa1FIk,GDO,118.33 
[38612] BUY,lLn3fa1FIk,EGB,419.83 
[38675] COMMIT_BUY,lLn3fa1FIk 
[38721] SET_BUY_TRIGGER,lLn3fa1FIk,NOP,7.03 
[38780] SET_BUY_TRIGGER,lLn3fa1FIk,XAN,81.27 
[38841] SELL,lLn3fa1FIk,XXQ,656.60 
[38859] CANCEL_BUY,lLn3fa1FIk 
[38977] SET_BUY_TRIGGER,lLn3fa1FIk,OLI,93.10 
[39096] DISPLAY_SUMMARY,lLn3fa1FIk 
[39175] QUOTE,lLn3fa1FIk,MLU 
[39184] ADD,lLn3fa1FIk,84404.10 
[39314] QUOTE,lLn3fa1FIk,RDK 
[39436] BUY,lLn3fa1FIk,WFR,61.34 
[39563] COMMIT_BUY,lLn3fa1FIk 
[39676] ADD,lLn3fa1FIk,12728.13 
[39802] QUOTE,lLn3fa1FIk,XRK 
[39996] QUOTE,lLn3fa1FIk,PXX 
[40117] SET_BUY_AMOUNT,lLn3fa1FIk,YJK,514.12 
[40153] SET_BUY_TRIGGER,lLn3fa1FIk,PZE,380.23 
[40183] DISPLAY_SUMMARY,lLn3fa1FIk 
[40263] ADD,lLn3fa1FIk,68945.81 
[40276] QUOTE,lLn3fa1FIk,FRB 
[40485] QUOTE,lLn3fa1FIk,ECL 
[40501] ADD,lLn3fa1FIk,88415.85 
[40709] QUOTE,lLn3fa1FIk,IWL 
[41115] CANCEL_SELL,lLn3fa1FIk 
[41123] COMMIT_SELL,lLn3fa1FIk 
[41512] CANCEL_SET_BUY,lLn3fa1FIk,NFV 
[41667] SELL,lLn3fa1FIk,DFE,322.82 
[41755] COMMIT_SELL,lLn3fa1FIk 
[41761] BUY,lLn3fa1FIk,PXS,519.39 
[41871] COMMIT_BUY,lLn3fa1FIk 
[42168] DISPLAY_SUMMARY,lLn3fa1FIk 
[42328] QUOTE,lLn3fa1FIk,BFB 
[42355] BUY,lLn3fa1FIk,CLH,465.81 
[42689] COMMIT_BUY,lLn3fa1FIk 
[42709] DISPLAY_SUMMARY,lLn3fa1FIk 
[42961] BUY,lLn3fa1FIk,YTY,107.37 
[43056] COMMIT_BUY,lLn3fa1FIk 
[43590] COMMIT_BUY,lLn3fa1FIk 
[43748] SET_BUY_AMOUNT,lLn3fa1FIk,JQO,532.91 
[43777] BUY,lLn3fa1FIk,LLE,22.26 
[43838] CANCEL_BUY,lLn3fa1FIk 
[43853] SELL,lLn3fa1FIk,JVT,238.11 
[43913] COMMIT_SELL,lLn3fa1FIk 
[44101] SET_SELL_AMOUNT,lLn3fa1FIk,RNK,16.91 
[44103] SET_SELL_TRIGGER,lLn3fa1FIk,RNK,8.18 
[44179] SET_BUY_AMOUNT,lLn3fa1FIk,OEY,704.24 
[44196] SET_BUY_TRIGGER,lLn3fa1FIk,DJD,555.07 
[44270] QUOTE,lLn3fa1FIk,CBK 
[44288] BUY,lLn3fa1FIk,KBI,161.38 
[44311] SELL,lLn3fa1FIk,QAX,401.70 
[44404] COMMIT_SELL,lLn3fa1FIk 
[44539] QUOTE,lLn3fa1FIk,WHR 
[44669] SELL,lLn3fa1FIk,QAX,505.31 
[44747] COMMIT_SELL,lLn3fa1FIk 
[44772] BUY,lLn3fa1FIk,BMQ,330.31 
[44915] COMMIT_BUY,lLn3fa1FIk 
[44936] DISPLAY_SUMMARY,lLn3fa1FIk 
[45109] CANCEL_SET_SELL,lLn3fa1FIk,DMS 
[45184] SET_SELL_AMOUNT,lLn3fa1FIk,YJK,665.14 
[45246] SET_SELL_TRIGGER,lLn3fa1FIk,YJK,129.98 
[45289] SET_SELL_TRIGGER,lLn3fa1FIk,LSK,53.14 
[45587] ADD,lLn3fa1FIk,58165.38 
[45647] BUY,lLn3fa1FIk,GSW,666.37 
[45680] BUY,lLn3fa1FIk,RRT,212.25 
[45715] BUY,lLn3fa1FIk,JTY,366.06 
[45722] DISPLAY_SUMMARY,lLn3fa1FIk 
[45757] BUY,lLn3fa1FIk,PUU,606.22 
[45776] SET_SELL_AMOUNT,lLn3fa1FIk,JRJ,4.16 
[46036] SET_SELL_TRIGGER,lLn3fa1FIk,JRJ,3.93 
[46333] CANCEL_SELL,lLn3fa1FIk 
[46562] QUOTE,lLn3fa1FIk,IOY 
[46616] BUY,lLn3fa1FIk,XUH,52.22 
[46736] SELL,lLn3fa1FIk,RGH,483.12 
[46768] COMMIT_SELL,lLn3fa1FIk 
[46818] ADD,lLn3fa1FIk,52632.20 
[46822] QUOTE,lLn3fa1FIk,MGO 
[46838] DISPLAY_SUMMARY,lLn3fa1FIk 
[47094] ADD,lLn3fa1FIk,77980.57 
[47202] QUOTE,lLn3fa1FIk,AJL 
[47426] BUY,lLn3fa1FIk,XOP,35.92 
[47450] COMMIT_BUY,lLn3fa1FIk 
[47661] BUY,lLn3fa1FIk,DWX,87.65 
[47683] COMMIT_BUY,lLn3fa1FIk 
[47811] DISPLAY_SUMMARY,lLn3fa1FIk 
[47824] CANCEL_BUY,lLn3fa1FIk 
[47905] QUOTE,lLn3fa1FIk,UHO 
[47931] BUY,lLn3fa1FIk,PVZ,149.61 
[48060] COMMIT_SELL,lLn3fa1FIk 
