[206] ADD,LAu7ZpcWWv,48692.02 
[41288] BUY,LAu7ZpcWWv,ZAM,82.94 
[41321] CANCEL_BUY,LAu7ZpcWWv 
[41438] SELL,LAu7ZpcWWv,FQP,427.95 
[41534] COMMIT_SELL,LAu7ZpcWWv 
[41549] ADD,LAu7ZpcWWv,83511.96 
[41904] BUY,LAu7ZpcWWv,GQV,75.36 
[41967] CANCEL_BUY,LAu7ZpcWWv 
[41996] SET_BUY_AMOUNT,LAu7ZpcWWv,KES,546.43 
[42055] SET_BUY_TRIGGER,LAu7ZpcWWv,JNO,317.12 
[42096] SELL,LAu7ZpcWWv,OEY,91.70 
[42298] BUY,LAu7ZpcWWv,SIK,282.07 
[42343] COMMIT_SELL,LAu7ZpcWWv 
[42472] SET_BUY_TRIGGER,LAu7ZpcWWv,STQ,165.02 
[42473] SET_SELL_AMOUNT,LAu7ZpcWWv,QJZ,409.75 
[42528] SET_SELL_TRIGGER,LAu7ZpcWWv,QJZ,110.15 
[42563] ADD,LAu7ZpcWWv,90205.20 
[42599] QUOTE,LAu7ZpcWWv,YIU 
[42601] QUOTE,LAu7ZpcWWv,DWU 
[42632] DISPLAY_SUMMARY,LAu7ZpcWWv 
[42698] BUY,LAu7ZpcWWv,YQC,227.65 
[43075] COMMIT_BUY,LAu7ZpcWWv 
[43711] ADD,LAu7ZpcWWv,78540.52 
[43763] BUY,LAu7ZpcWWv,QPR,604.70 
[43861] SET_SELL_TRIGGER,LAu7ZpcWWv,GSW,141.69 
[43880] DISPLAY_SUMMARY,LAu7ZpcWWv 
[43949] SET_BUY_TRIGGER,LAu7ZpcWWv,GXT,123.36 
[44043] DISPLAY_SUMMARY,LAu7ZpcWWv 
[44104] SET_SELL_TRIGGER,LAu7ZpcWWv,AOU,44.61 
[44207] SET_SELL_TRIGGER,LAu7ZpcWWv,KJM,124.52 
[44249] ADD,LAu7ZpcWWv,69409.43 
[44264] BUY,LAu7ZpcWWv,IKK,166.38 
[44380] CANCEL_BUY,LAu7ZpcWWv 
[44441] QUOTE,LAu7ZpcWWv,RYU 
[44462] ADD,LAu7ZpcWWv,66698.57 
[44587] SET_SELL_AMOUNT,LAu7ZpcWWv,QAX,189.35 
[44860] SET_SELL_TRIGGER,LAu7ZpcWWv,QAX,119.96 
[44888] CANCEL_BUY,LAu7ZpcWWv 
[45026] CANCEL_SET_SELL,LAu7ZpcWWv,ZYR 
[45055] BUY,LAu7ZpcWWv,OHS,167.30 
[45134] QUOTE,LAu7ZpcWWv,AIN 
[45313] COMMIT_BUY,LAu7ZpcWWv 
[45331] SET_SELL_AMOUNT,LAu7ZpcWWv,QAX,747.64 
[45345] CANCEL_SET_SELL,LAu7ZpcWWv,QAX 
[45644] QUOTE,LAu7ZpcWWv,AXK 
[45675] BUY,LAu7ZpcWWv,JUJ,175.13 
[45784] SET_SELL_TRIGGER,LAu7ZpcWWv,VTY,178.74 
[45790] BUY,LAu7ZpcWWv,JZJ,292.81 
[46145] CANCEL_SET_SELL,LAu7ZpcWWv,XTH 
[46186] BUY,LAu7ZpcWWv,YJK,134.48 
[46213] COMMIT_SELL,LAu7ZpcWWv 
