[118] ADD,XwKSBoZ6lO,73378.95 
[10368] SET_BUY_TRIGGER,XwKSBoZ6lO,KEO,110.73 
[10370] SET_BUY_TRIGGER,XwKSBoZ6lO,SKC,56.68 
[10377] SELL,XwKSBoZ6lO,JVT,383.56 
[10467] COMMIT_SELL,XwKSBoZ6lO 
[10643] SET_BUY_AMOUNT,XwKSBoZ6lO,OEY,200.70 
[10664] QUOTE,XwKSBoZ6lO,QGN 
[10706] BUY,XwKSBoZ6lO,DKV,205.49 
[10794] COMMIT_BUY,XwKSBoZ6lO 
[10944] ADD,XwKSBoZ6lO,69345.63 
[10982] BUY,XwKSBoZ6lO,OTQ,489.94 
[11317] SET_SELL_TRIGGER,XwKSBoZ6lO,VVW,66.60 
[11411] SET_SELL_TRIGGER,XwKSBoZ6lO,QAA,62.85 
[11487] SELL,XwKSBoZ6lO,GYF,624.07 
[11562] COMMIT_SELL,XwKSBoZ6lO 
[11582] SET_BUY_AMOUNT,XwKSBoZ6lO,QJZ,198.68 
[11692] SET_BUY_TRIGGER,XwKSBoZ6lO,WKG,33.67 
[11952] DISPLAY_SUMMARY,XwKSBoZ6lO 
[12088] SELL,XwKSBoZ6lO,OEY,139.06 
[12155] QUOTE,XwKSBoZ6lO,EVR 
[12186] QUOTE,XwKSBoZ6lO,ONI 
[12271] SET_SELL_TRIGGER,XwKSBoZ6lO,VDP,32.94 
[12325] SELL,XwKSBoZ6lO,KES,72.33 
[12578] DISPLAY_SUMMARY,XwKSBoZ6lO 
[12681] QUOTE,XwKSBoZ6lO,PIE 
[12773] BUY,XwKSBoZ6lO,QNW,314.18 
[12812] COMMIT_BUY,XwKSBoZ6lO 
[12909] SET_SELL_AMOUNT,XwKSBoZ6lO,OEY,147.93 
[13002] DISPLAY_SUMMARY,XwKSBoZ6lO 
[13019] CANCEL_SELL,XwKSBoZ6lO 
[13029] CANCEL_BUY,XwKSBoZ6lO 
[13665] ADD,XwKSBoZ6lO,77141.08 
[13758] BUY,XwKSBoZ6lO,EVR,223.66 
[13987] COMMIT_BUY,XwKSBoZ6lO 
[14008] SELL,XwKSBoZ6lO,EBS,557.84 
[14542] COMMIT_SELL,XwKSBoZ6lO 
[14576] SET_SELL_AMOUNT,XwKSBoZ6lO,QJZ,229.17 
[14578] BUY,XwKSBoZ6lO,JGY,379.77 
[14803] COMMIT_BUY,XwKSBoZ6lO 
[14869] SET_SELL_TRIGGER,XwKSBoZ6lO,QJZ,13.03 
[14915] SET_BUY_AMOUNT,XwKSBoZ6lO,FQP,523.57 
[14981] BUY,XwKSBoZ6lO,VEE,179.15 
[15131] QUOTE,XwKSBoZ6lO,SQO 
[15217] QUOTE,XwKSBoZ6lO,YTT 
[15307] QUOTE,XwKSBoZ6lO,CMA 
[15334] SET_BUY_AMOUNT,XwKSBoZ6lO,GYF,281.92 
[15435] SET_BUY_TRIGGER,XwKSBoZ6lO,YNY,18.83 
[15453] SET_BUY_TRIGGER,XwKSBoZ6lO,BTD,30.85 
[15506] QUOTE,XwKSBoZ6lO,OBR 
[15548] CANCEL_SET_BUY,XwKSBoZ6lO,XFW 
[15597] DISPLAY_SUMMARY,XwKSBoZ6lO 
[15601] BUY,XwKSBoZ6lO,RVZ,717.92 
[15722] COMMIT_BUY,XwKSBoZ6lO 
[15740] ADD,XwKSBoZ6lO,70928.95 
[15817] QUOTE,XwKSBoZ6lO,FVZ 
[15883] ADD,XwKSBoZ6lO,70019.81 
[15969] QUOTE,XwKSBoZ6lO,STT 
[15995] SET_BUY_TRIGGER,XwKSBoZ6lO,IQZ,116.05 
[16032] SELL,XwKSBoZ6lO,EBS,713.91 
[16069] SET_BUY_TRIGGER,XwKSBoZ6lO,NJT,91.11 
[16184] ADD,XwKSBoZ6lO,57203.09 
[16279] QUOTE,XwKSBoZ6lO,LGL 
[16306] QUOTE,XwKSBoZ6lO,SAR 
[16308] QUOTE,XwKSBoZ6lO,NUV 
[16360] BUY,XwKSBoZ6lO,IBT,733.13 
[16434] QUOTE,XwKSBoZ6lO,NLT 
[16449] ADD,XwKSBoZ6lO,81021.09 
[16503] QUOTE,XwKSBoZ6lO,NOP 
[16573] SET_SELL_TRIGGER,XwKSBoZ6lO,ZJG,88.03 
[16660] SET_SELL_AMOUNT,XwKSBoZ6lO,QAX,668.94 
[16799] CANCEL_SET_SELL,XwKSBoZ6lO,QAX 
[16928] SET_SELL_TRIGGER,XwKSBoZ6lO,HTD,62.57 
[16968] SET_BUY_TRIGGER,XwKSBoZ6lO,DWU,177.66 
[16971] SET_SELL_AMOUNT,XwKSBoZ6lO,GYF,460.15 
[17058] SET_SELL_TRIGGER,XwKSBoZ6lO,GYF,247.84 
[17068] SET_BUY_TRIGGER,XwKSBoZ6lO,FVA,122.10 
[17126] QUOTE,XwKSBoZ6lO,TGY 
[17409] SET_SELL_TRIGGER,XwKSBoZ6lO,RXB,95.74 
[17446] CANCEL_SET_BUY,XwKSBoZ6lO,SHP 
[17466] ADD,XwKSBoZ6lO,84761.23 
[17533] QUOTE,XwKSBoZ6lO,ELQ 
[17661] SET_SELL_TRIGGER,XwKSBoZ6lO,GIX,105.47 
[17779] SELL,XwKSBoZ6lO,JVT,708.35 
[17846] SET_BUY_AMOUNT,XwKSBoZ6lO,FQP,55.65 
[17889] CANCEL_SET_BUY,XwKSBoZ6lO,GXT 
[18172] SET_SELL_TRIGGER,XwKSBoZ6lO,KNM,195.21 
[18329] DISPLAY_SUMMARY,XwKSBoZ6lO 
[18365] ADD,XwKSBoZ6lO,70087.22 
[18485] BUY,XwKSBoZ6lO,RQF,167.41 
[18685] COMMIT_BUY,XwKSBoZ6lO 
[18826] SET_SELL_TRIGGER,XwKSBoZ6lO,EMN,199.18 
[18906] ADD,XwKSBoZ6lO,94825.55 
[19203] QUOTE,XwKSBoZ6lO,HCN 
[19371] BUY,XwKSBoZ6lO,PIE,342.10 
[19388] SET_SELL_AMOUNT,XwKSBoZ6lO,KDA,163.14 
[19970] SET_SELL_TRIGGER,XwKSBoZ6lO,KDA,102.80 
[20083] SELL,XwKSBoZ6lO,JQO,567.83 
[20141] CANCEL_BUY,XwKSBoZ6lO 
[20288] SET_BUY_AMOUNT,XwKSBoZ6lO,JCQ,484.12 
[20536] BUY,XwKSBoZ6lO,KNM,45.19 
[20685] COMMIT_BUY,XwKSBoZ6lO 
[20782] QUOTE,XwKSBoZ6lO,UDM 
[20825] CANCEL_SET_BUY,XwKSBoZ6lO,WZY 
[20862] SET_SELL_TRIGGER,XwKSBoZ6lO,XXN,62.83 
[20945] QUOTE,XwKSBoZ6lO,FGF 
[21070] ADD,XwKSBoZ6lO,68194.26 
[21111] QUOTE,XwKSBoZ6lO,PTC 
[21409] SET_SELL_AMOUNT,XwKSBoZ6lO,OEY,118.61 
[21441] DISPLAY_SUMMARY,XwKSBoZ6lO 
[21562] BUY,XwKSBoZ6lO,VBO,331.13 
[21615] COMMIT_BUY,XwKSBoZ6lO 
[21750] DISPLAY_SUMMARY,XwKSBoZ6lO 
[21928] ADD,XwKSBoZ6lO,76903.36 
[21932] BUY,XwKSBoZ6lO,GWF,224.62 
[22029] SET_BUY_AMOUNT,XwKSBoZ6lO,UTV,675.14 
[22235] QUOTE,XwKSBoZ6lO,MQX 
[22301] BUY,XwKSBoZ6lO,LLZ,265.00 
[22332] BUY,XwKSBoZ6lO,JVE,49.31 
[22639] CANCEL_SET_SELL,XwKSBoZ6lO,OEY 
[22648] ADD,XwKSBoZ6lO,81360.64 
[22665] QUOTE,XwKSBoZ6lO,JEA 
[22671] BUY,XwKSBoZ6lO,ERF,554.02 
[22716] SET_SELL_AMOUNT,XwKSBoZ6lO,LFU,307.75 
[22730] SET_SELL_TRIGGER,XwKSBoZ6lO,LFU,31.88 
[22858] BUY,XwKSBoZ6lO,VEX,260.79 
[22908] SET_BUY_AMOUNT,XwKSBoZ6lO,JCQ,380.94 
[23078] BUY,XwKSBoZ6lO,EAK,208.51 
[23222] COMMIT_BUY,XwKSBoZ6lO 
[23251] ADD,XwKSBoZ6lO,77528.38 
[23448] QUOTE,XwKSBoZ6lO,YKB 
[23561] SET_BUY_TRIGGER,XwKSBoZ6lO,OLH,297.63 
[23660] DISPLAY_SUMMARY,XwKSBoZ6lO 
[23760] DISPLAY_SUMMARY,XwKSBoZ6lO 
[23775] SET_BUY_AMOUNT,XwKSBoZ6lO,KES,745.41 
[23822] SET_BUY_TRIGGER,XwKSBoZ6lO,KGA,458.83 
[23932] BUY,XwKSBoZ6lO,FIW,578.89 
[24289] QUOTE,XwKSBoZ6lO,DVU 
[24436] SET_SELL_TRIGGER,XwKSBoZ6lO,IFC,136.38 
[24736] DISPLAY_SUMMARY,XwKSBoZ6lO 
[24742] QUOTE,XwKSBoZ6lO,CLP 
[24943] BUY,XwKSBoZ6lO,UXP,584.12 
[25137] COMMIT_BUY,XwKSBoZ6lO 
[25242] SELL,XwKSBoZ6lO,QAX,219.23 
[25409] SET_BUY_AMOUNT,XwKSBoZ6lO,LFU,519.30 
[25413] DISPLAY_SUMMARY,XwKSBoZ6lO 
[25514] CANCEL_SELL,XwKSBoZ6lO 
[25660] DISPLAY_SUMMARY,XwKSBoZ6lO 
[25761] SELL,XwKSBoZ6lO,JQO,321.18 
[25855] COMMIT_SELL,XwKSBoZ6lO 
[26049] SET_BUY_AMOUNT,XwKSBoZ6lO,JVT,339.45 
[26112] SET_BUY_TRIGGER,XwKSBoZ6lO,BZX,76.21 
[26229] SELL,XwKSBoZ6lO,ZAN,674.69 
[26242] COMMIT_SELL,XwKSBoZ6lO 
[26374] SET_BUY_TRIGGER,XwKSBoZ6lO,BFL,176.19 
[26551] SET_SELL_AMOUNT,XwKSBoZ6lO,QAX,703.18 
[26576] SET_SELL_TRIGGER,XwKSBoZ6lO,QAX,96.10 
[26647] BUY,XwKSBoZ6lO,GZU,168.00 
[26692] CANCEL_SELL,XwKSBoZ6lO 
[27032] SET_BUY_TRIGGER,XwKSBoZ6lO,BJL,86.49 
[27087] DISPLAY_SUMMARY,XwKSBoZ6lO 
[27195] ADD,XwKSBoZ6lO,61052.03 
[27723] BUY,XwKSBoZ6lO,PTP,61.02 
[27780] CANCEL_SELL,XwKSBoZ6lO 
[27893] DISPLAY_SUMMARY,XwKSBoZ6lO 
[27938] SET_SELL_TRIGGER,XwKSBoZ6lO,JQG,72.52 
[27948] SET_SELL_TRIGGER,XwKSBoZ6lO,XQG,0.14 
[28077] BUY,XwKSBoZ6lO,BWL,280.65 
[28120] COMMIT_SELL,XwKSBoZ6lO 
[28139] SELL,XwKSBoZ6lO,FQP,248.23 
[28179] DISPLAY_SUMMARY,XwKSBoZ6lO 
[28242] QUOTE,XwKSBoZ6lO,WDC 
[28295] SET_BUY_AMOUNT,XwKSBoZ6lO,OEY,28.17 
[28324] SET_BUY_TRIGGER,XwKSBoZ6lO,JSM,0.94 
[28373] DISPLAY_SUMMARY,XwKSBoZ6lO 
[28620] BUY,XwKSBoZ6lO,ZNY,625.19 
[28818] COMMIT_SELL,XwKSBoZ6lO 
[28833] ADD,XwKSBoZ6lO,81485.07 
[28841] BUY,XwKSBoZ6lO,QGL,50.70 
[29239] COMMIT_BUY,XwKSBoZ6lO 
[29456] ADD,XwKSBoZ6lO,74424.66 
[29590] DISPLAY_SUMMARY,XwKSBoZ6lO 
[29831] ADD,XwKSBoZ6lO,63641.80 
[29898] QUOTE,XwKSBoZ6lO,WHR 
[30014] QUOTE,XwKSBoZ6lO,MKE 
[30173] SET_BUY_TRIGGER,XwKSBoZ6lO,EVR,5.30 
[30231] BUY,XwKSBoZ6lO,NVX,394.95 
[30413] CANCEL_BUY,XwKSBoZ6lO 
[30602] SET_BUY_TRIGGER,XwKSBoZ6lO,ZRH,152.91 
[30670] DISPLAY_SUMMARY,XwKSBoZ6lO 
[30757] SELL,XwKSBoZ6lO,KDA,141.34 
[30884] COMMIT_SELL,XwKSBoZ6lO 
[30888] SELL,XwKSBoZ6lO,QAX,14.33 
[30984] CANCEL_SET_BUY,XwKSBoZ6lO,QZN 
[31026] SELL,XwKSBoZ6lO,QJZ,622.69 
[31116] CANCEL_BUY,XwKSBoZ6lO 
[31175] ADD,XwKSBoZ6lO,40155.63 
[31187] QUOTE,XwKSBoZ6lO,LLO 
[31367] SET_BUY_AMOUNT,XwKSBoZ6lO,GYF,637.98 
[31427] SET_BUY_TRIGGER,XwKSBoZ6lO,GKD,247.32 
[31556] DISPLAY_SUMMARY,XwKSBoZ6lO 
[31610] DISPLAY_SUMMARY,XwKSBoZ6lO 
[31658] QUOTE,XwKSBoZ6lO,XZN 
[31660] SET_SELL_AMOUNT,XwKSBoZ6lO,CUZ,153.39 
[31736] SET_SELL_TRIGGER,XwKSBoZ6lO,CUZ,56.01 
[31814] COMMIT_SELL,XwKSBoZ6lO 
[32020] DISPLAY_SUMMARY,XwKSBoZ6lO 
[32036] ADD,XwKSBoZ6lO,69674.61 
[32236] QUOTE,XwKSBoZ6lO,MMF 
[32266] COMMIT_BUY,XwKSBoZ6lO 
[32628] SET_BUY_AMOUNT,XwKSBoZ6lO,JQO,114.55 
[32793] SET_BUY_TRIGGER,XwKSBoZ6lO,XOP,90.92 
[32835] QUOTE,XwKSBoZ6lO,OXV 
[32923] DISPLAY_SUMMARY,XwKSBoZ6lO 
[32955] CANCEL_SET_SELL,XwKSBoZ6lO,KJM 
[32965] SELL,XwKSBoZ6lO,RUN,273.76 
[32976] COMMIT_SELL,XwKSBoZ6lO 
[32977] SET_SELL_TRIGGER,XwKSBoZ6lO,CEC,117.18 
[33071] QUOTE,XwKSBoZ6lO,YAV 
[33115] SET_SELL_TRIGGER,XwKSBoZ6lO,FXT,84.15 
[33314] SELL,XwKSBoZ6lO,KES,107.61 
[33416] COMMIT_SELL,XwKSBoZ6lO 
[33497] ADD,XwKSBoZ6lO,64340.50 
[33573] QUOTE,XwKSBoZ6lO,RQL 
[33638] ADD,XwKSBoZ6lO,57397.52 
[33771] BUY,XwKSBoZ6lO,SAR,390.24 
[33859] COMMIT_BUY,XwKSBoZ6lO 
[33970] SET_BUY_AMOUNT,XwKSBoZ6lO,JVT,75.15 
[34011] SET_BUY_TRIGGER,XwKSBoZ6lO,YJK,43.16 
[34013] SET_SELL_TRIGGER,XwKSBoZ6lO,APY,63.98 
[34052] SET_BUY_TRIGGER,XwKSBoZ6lO,IGT,94.19 
[34125] ADD,XwKSBoZ6lO,69609.28 
[34147] ADD,XwKSBoZ6lO,84696.98 
[34208] BUY,XwKSBoZ6lO,FIY,317.96 
[34250] CANCEL_SELL,XwKSBoZ6lO 
[34259] ADD,XwKSBoZ6lO,65090.60 
[34269] CANCEL_SET_SELL,XwKSBoZ6lO,GTX 
[34274] ADD,XwKSBoZ6lO,99308.35 
[34312] QUOTE,XwKSBoZ6lO,ZJQ 
[34340] DISPLAY_SUMMARY,XwKSBoZ6lO 
[34420] SET_BUY_TRIGGER,XwKSBoZ6lO,DIX,28.14 
[34601] ADD,XwKSBoZ6lO,83180.43 
[34875] BUY,XwKSBoZ6lO,PSJ,279.64 
[34912] COMMIT_BUY,XwKSBoZ6lO 
[34979] SELL,XwKSBoZ6lO,LFU,429.06 
[35029] COMMIT_SELL,XwKSBoZ6lO 
[35206] CANCEL_SET_BUY,XwKSBoZ6lO,XTH 
[35294] SET_SELL_TRIGGER,XwKSBoZ6lO,TJL,40.21 
[35388] SET_BUY_AMOUNT,XwKSBoZ6lO,FQP,334.05 
[35408] SET_BUY_TRIGGER,XwKSBoZ6lO,AVX,278.06 
[35527] DISPLAY_SUMMARY,XwKSBoZ6lO 
[35660] ADD,XwKSBoZ6lO,89031.85 
[35757] QUOTE,XwKSBoZ6lO,DMS 
[35818] SET_BUY_AMOUNT,XwKSBoZ6lO,KDA,394.89 
[36041] SET_BUY_TRIGGER,XwKSBoZ6lO,BEG,183.23 
[36150] SET_BUY_AMOUNT,XwKSBoZ6lO,JVT,522.16 
[36164] SELL,XwKSBoZ6lO,NHG,131.23 
[36214] COMMIT_SELL,XwKSBoZ6lO 
[36291] QUOTE,XwKSBoZ6lO,KNM 
[36433] ADD,XwKSBoZ6lO,36173.14 
[36479] BUY,XwKSBoZ6lO,SQS,309.66 
[36586] SET_BUY_AMOUNT,XwKSBoZ6lO,ZAN,195.65 
[36664] QUOTE,XwKSBoZ6lO,FCM 
[36670] BUY,XwKSBoZ6lO,MRK,500.46 
[36795] CANCEL_BUY,XwKSBoZ6lO 
[36889] ADD,XwKSBoZ6lO,69278.18 
[36894] BUY,XwKSBoZ6lO,XLV,92.71 
[37024] COMMIT_BUY,XwKSBoZ6lO 
[37030] ADD,XwKSBoZ6lO,70628.85 
[37123] QUOTE,XwKSBoZ6lO,OOV 
[37222] QUOTE,XwKSBoZ6lO,ROW 
[37230] QUOTE,XwKSBoZ6lO,YOQ 
[37347] QUOTE,XwKSBoZ6lO,SFR 
[37544] QUOTE,XwKSBoZ6lO,FQG 
[37587] ADD,XwKSBoZ6lO,89691.02 
[37666] QUOTE,XwKSBoZ6lO,YPL 
[37690] CANCEL_SET_SELL,XwKSBoZ6lO,HFS 
[37823] SELL,XwKSBoZ6lO,KES,268.76 
[37873] SET_BUY_AMOUNT,XwKSBoZ6lO,GYF,283.91 
[37899] SET_BUY_TRIGGER,XwKSBoZ6lO,EIK,104.36 
[38024] DISPLAY_SUMMARY,XwKSBoZ6lO 
[38215] ADD,XwKSBoZ6lO,50342.22 
[38226] QUOTE,XwKSBoZ6lO,ALG 
[38305] BUY,XwKSBoZ6lO,AUT,505.81 
[38360] CANCEL_BUY,XwKSBoZ6lO 
[38376] ADD,XwKSBoZ6lO,62237.09 
[38383] QUOTE,XwKSBoZ6lO,HDR 
[38384] QUOTE,XwKSBoZ6lO,USW 
[38417] CANCEL_BUY,XwKSBoZ6lO 
[38471] CANCEL_BUY,XwKSBoZ6lO 
[38480] SET_BUY_TRIGGER,XwKSBoZ6lO,PMG,90.48 
[38573] DISPLAY_SUMMARY,XwKSBoZ6lO 
[39044] ADD,XwKSBoZ6lO,64935.53 
[39264] BUY,XwKSBoZ6lO,DRO,212.27 
[39310] COMMIT_BUY,XwKSBoZ6lO 
[39412] ADD,XwKSBoZ6lO,67115.02 
[39433] QUOTE,XwKSBoZ6lO,LVT 
[39656] QUOTE,XwKSBoZ6lO,MZT 
[39688] QUOTE,XwKSBoZ6lO,DBR 
[39876] SET_SELL_AMOUNT,XwKSBoZ6lO,UTV,420.28 
[39928] SET_SELL_TRIGGER,XwKSBoZ6lO,UTV,386.64 
[39938] SET_BUY_TRIGGER,XwKSBoZ6lO,XFW,78.86 
[40128] SET_BUY_AMOUNT,XwKSBoZ6lO,QAX,450.19 
[40206] SET_BUY_TRIGGER,XwKSBoZ6lO,WDC,373.05 
[40267] SET_BUY_AMOUNT,XwKSBoZ6lO,UTV,583.22 
[40463] SET_BUY_TRIGGER,XwKSBoZ6lO,DMW,109.97 
[40542] ADD,XwKSBoZ6lO,72000.67 
[40720] COMMIT_BUY,XwKSBoZ6lO 
[40755] SELL,XwKSBoZ6lO,JVT,266.12 
[40759] COMMIT_SELL,XwKSBoZ6lO 
[40791] QUOTE,XwKSBoZ6lO,YIU 
[40846] BUY,XwKSBoZ6lO,EWP,624.32 
[40895] SET_BUY_TRIGGER,XwKSBoZ6lO,CVV,188.82 
[40973] QUOTE,XwKSBoZ6lO,SXB 
[41077] CANCEL_SET_BUY,XwKSBoZ6lO,RVU 
[41095] ADD,XwKSBoZ6lO,62133.61 
[41233] DISPLAY_SUMMARY,XwKSBoZ6lO 
[41253] SET_BUY_AMOUNT,XwKSBoZ6lO,BCQ,439.47 
[41587] SET_BUY_TRIGGER,XwKSBoZ6lO,YIQ,430.87 
[41631] SELL,XwKSBoZ6lO,JQO,573.54 
[41640] COMMIT_SELL,XwKSBoZ6lO 
[41784] DISPLAY_SUMMARY,XwKSBoZ6lO 
[41957] BUY,XwKSBoZ6lO,TSU,279.16 
[42203] COMMIT_BUY,XwKSBoZ6lO 
[42242] ADD,XwKSBoZ6lO,50884.82 
[42392] QUOTE,XwKSBoZ6lO,IIX 
[42553] SET_BUY_AMOUNT,XwKSBoZ6lO,GYF,281.77 
[42622] CANCEL_SET_BUY,XwKSBoZ6lO,NNW 
[42731] DISPLAY_SUMMARY,XwKSBoZ6lO 
[42735] SELL,XwKSBoZ6lO,CUZ,611.37 
[42861] COMMIT_SELL,XwKSBoZ6lO 
[43285] DISPLAY_SUMMARY,XwKSBoZ6lO 
[43292] BUY,XwKSBoZ6lO,YUL,458.14 
[43298] COMMIT_BUY,XwKSBoZ6lO 
[43508] SET_BUY_TRIGGER,XwKSBoZ6lO,HFS,76.00 
[43559] QUOTE,XwKSBoZ6lO,IRQ 
[43639] SET_BUY_AMOUNT,XwKSBoZ6lO,FQP,54.82 
[43872] DISPLAY_SUMMARY,XwKSBoZ6lO 
[44014] COMMIT_SELL,XwKSBoZ6lO 
[44019] DISPLAY_SUMMARY,XwKSBoZ6lO 
