[19] ADD,3mEsf51UBo,43717.20 
[13797] BUY,3mEsf51UBo,ZHB,222.30 
[13804] SET_BUY_TRIGGER,3mEsf51UBo,GWS,199.63 
[13858] SET_SELL_TRIGGER,3mEsf51UBo,GNY,172.19 
[14003] ADD,3mEsf51UBo,74230.88 
[14092] QUOTE,3mEsf51UBo,ZFK 
[14423] QUOTE,3mEsf51UBo,IFC 
[14433] BUY,3mEsf51UBo,YVX,573.37 
[14494] SET_BUY_AMOUNT,3mEsf51UBo,KDA,593.57 
[14815] SET_BUY_TRIGGER,3mEsf51UBo,YWC,442.44 
[14836] SET_SELL_TRIGGER,3mEsf51UBo,FCH,58.32 
[14862] CANCEL_SET_SELL,3mEsf51UBo,WCY 
[15168] ADD,3mEsf51UBo,78784.13 
[15582] BUY,3mEsf51UBo,BEC,702.75 
[15621] COMMIT_BUY,3mEsf51UBo 
[15696] QUOTE,3mEsf51UBo,IEQ 
[15761] SET_BUY_AMOUNT,3mEsf51UBo,KES,329.21 
[15839] SET_BUY_TRIGGER,3mEsf51UBo,QID,162.49 
[15847] DISPLAY_SUMMARY,3mEsf51UBo 
[15905] COMMIT_BUY,3mEsf51UBo 
[15971] SET_SELL_AMOUNT,3mEsf51UBo,JVT,119.75 
[16086] SET_SELL_TRIGGER,3mEsf51UBo,JVT,3.76 
[16133] SET_BUY_AMOUNT,3mEsf51UBo,OEY,724.10 
[16156] SET_BUY_TRIGGER,3mEsf51UBo,BBC,448.42 
[16189] ADD,3mEsf51UBo,69730.06 
[16213] QUOTE,3mEsf51UBo,QZN 
[16347] BUY,3mEsf51UBo,YUL,690.79 
[16473] COMMIT_BUY,3mEsf51UBo 
[16557] SET_BUY_AMOUNT,3mEsf51UBo,GYF,737.00 
[16581] SET_BUY_TRIGGER,3mEsf51UBo,FYR,724.74 
[16997] SET_BUY_AMOUNT,3mEsf51UBo,JVT,326.75 
[17044] CANCEL_SET_BUY,3mEsf51UBo,SKY 
[17155] SELL,3mEsf51UBo,KDA,312.07 
[17424] COMMIT_SELL,3mEsf51UBo 
[17443] QUOTE,3mEsf51UBo,SKY 
[17634] QUOTE,3mEsf51UBo,URI 
[17872] BUY,3mEsf51UBo,NGG,340.90 
[17884] COMMIT_BUY,3mEsf51UBo 
[18033] QUOTE,3mEsf51UBo,VQA 
[18051] SET_SELL_TRIGGER,3mEsf51UBo,WPG,120.87 
[18702] ADD,3mEsf51UBo,73868.10 
[18704] BUY,3mEsf51UBo,JRY,611.93 
[18774] CANCEL_SET_SELL,3mEsf51UBo,PLB 
[18794] SET_SELL_TRIGGER,3mEsf51UBo,MUN,73.63 
[18882] SET_BUY_AMOUNT,3mEsf51UBo,EBS,1.93 
[18938] SET_BUY_TRIGGER,3mEsf51UBo,YGK,1.05 
[18987] QUOTE,3mEsf51UBo,KRX 
[19117] QUOTE,3mEsf51UBo,CMA 
[19153] CANCEL_BUY,3mEsf51UBo 
[19301] ADD,3mEsf51UBo,51147.29 
[19658] BUY,3mEsf51UBo,VEE,383.82 
[19963] QUOTE,3mEsf51UBo,WYD 
[19984] CANCEL_SET_SELL,3mEsf51UBo,MIR 
[20023] QUOTE,3mEsf51UBo,MOM 
[20271] BUY,3mEsf51UBo,PMX,696.46 
[20296] SET_BUY_AMOUNT,3mEsf51UBo,UTV,710.20 
[20401] QUOTE,3mEsf51UBo,EEG 
[20417] QUOTE,3mEsf51UBo,TUO 
[20427] QUOTE,3mEsf51UBo,HGG 
[20437] DISPLAY_SUMMARY,3mEsf51UBo 
[20503] SELL,3mEsf51UBo,JVT,198.03 
[20646] CANCEL_SELL,3mEsf51UBo 
[20795] DISPLAY_SUMMARY,3mEsf51UBo 
[20816] SELL,3mEsf51UBo,GYF,531.68 
[20818] COMMIT_SELL,3mEsf51UBo 
[20849] SET_SELL_AMOUNT,3mEsf51UBo,GYF,164.22 
[20929] SET_SELL_TRIGGER,3mEsf51UBo,GYF,143.58 
[21027] SET_SELL_TRIGGER,3mEsf51UBo,OAS,109.39 
[21299] ADD,3mEsf51UBo,90425.81 
[21340] QUOTE,3mEsf51UBo,FPI 
[21350] SELL,3mEsf51UBo,KDA,506.47 
[21453] QUOTE,3mEsf51UBo,LKV 
[21498] SET_BUY_TRIGGER,3mEsf51UBo,DMW,224.18 
[21513] QUOTE,3mEsf51UBo,BPK 
[21710] BUY,3mEsf51UBo,IDN,125.08 
[21860] BUY,3mEsf51UBo,VDP,465.95 
[22000] COMMIT_BUY,3mEsf51UBo 
[22125] SET_SELL_TRIGGER,3mEsf51UBo,ZJQ,104.26 
[22157] DISPLAY_SUMMARY,3mEsf51UBo 
[22340] DISPLAY_SUMMARY,3mEsf51UBo 
[22405] SET_BUY_AMOUNT,3mEsf51UBo,JVT,359.69 
[22507] CANCEL_SET_BUY,3mEsf51UBo,JTX 
[22540] DISPLAY_SUMMARY,3mEsf51UBo 
[22559] DISPLAY_SUMMARY,3mEsf51UBo 
[22701] ADD,3mEsf51UBo,96925.04 
[22749] COMMIT_BUY,3mEsf51UBo 
[23000] ADD,3mEsf51UBo,71495.08 
[23050] BUY,3mEsf51UBo,ZMA,417.88 
[23109] CANCEL_SELL,3mEsf51UBo 
[23407] SET_BUY_TRIGGER,3mEsf51UBo,NUL,50.83 
[23419] QUOTE,3mEsf51UBo,GZU 
[23451] BUY,3mEsf51UBo,ZRH,391.72 
[23608] CANCEL_SELL,3mEsf51UBo 
[23738] SET_SELL_TRIGGER,3mEsf51UBo,KDA,131.73 
[23749] SET_BUY_TRIGGER,3mEsf51UBo,VFH,39.60 
[23803] ADD,3mEsf51UBo,55347.78 
[24260] BUY,3mEsf51UBo,JEO,583.31 
[24380] SET_BUY_AMOUNT,3mEsf51UBo,JCQ,300.33 
[24425] SET_BUY_TRIGGER,3mEsf51UBo,VIK,137.09 
[24504] DISPLAY_SUMMARY,3mEsf51UBo 
[24608] ADD,3mEsf51UBo,55206.01 
[24716] QUOTE,3mEsf51UBo,SPP 
[24772] BUY,3mEsf51UBo,IOY,178.25 
[24797] QUOTE,3mEsf51UBo,RRE 
[24983] BUY,3mEsf51UBo,DLX,54.59 
[25143] COMMIT_BUY,3mEsf51UBo 
[25208] ADD,3mEsf51UBo,88934.83 
[25215] QUOTE,3mEsf51UBo,WYA 
[25230] COMMIT_BUY,3mEsf51UBo 
[25340] CANCEL_SELL,3mEsf51UBo 
[25352] SELL,3mEsf51UBo,GYF,180.04 
[25379] DISPLAY_SUMMARY,3mEsf51UBo 
[25492] ADD,3mEsf51UBo,47970.24 
[25924] QUOTE,3mEsf51UBo,DXL 
[26044] BUY,3mEsf51UBo,WUF,584.63 
[26175] CANCEL_BUY,3mEsf51UBo 
[26211] SET_SELL_AMOUNT,3mEsf51UBo,KES,280.07 
[26238] SET_SELL_TRIGGER,3mEsf51UBo,KES,272.58 
[26258] SET_SELL_AMOUNT,3mEsf51UBo,JCQ,636.83 
[26287] SET_SELL_TRIGGER,3mEsf51UBo,JCQ,385.74 
[26290] SET_BUY_TRIGGER,3mEsf51UBo,HHG,11.18 
[26444] SELL,3mEsf51UBo,UTV,76.41 
[26588] COMMIT_SELL,3mEsf51UBo 
[26626] QUOTE,3mEsf51UBo,KMZ 
[26664] SET_BUY_TRIGGER,3mEsf51UBo,IWL,72.10 
[26715] SELL,3mEsf51UBo,QJZ,320.77 
[26725] COMMIT_SELL,3mEsf51UBo 
[26740] SET_SELL_TRIGGER,3mEsf51UBo,PTP,80.43 
[26778] DISPLAY_SUMMARY,3mEsf51UBo 
[26846] ADD,3mEsf51UBo,73317.97 
[26854] BUY,3mEsf51UBo,WBX,30.29 
[26930] COMMIT_BUY,3mEsf51UBo 
[26940] SET_SELL_AMOUNT,3mEsf51UBo,GYF,153.94 
[27133] SELL,3mEsf51UBo,JRJ,16.06 
[27193] BUY,3mEsf51UBo,PTP,656.74 
[27318] COMMIT_BUY,3mEsf51UBo 
[27437] QUOTE,3mEsf51UBo,IZJ 
[27614] QUOTE,3mEsf51UBo,JOJ 
[27637] BUY,3mEsf51UBo,LLF,191.27 
[27720] CANCEL_SET_BUY,3mEsf51UBo,ZHB 
[27728] DISPLAY_SUMMARY,3mEsf51UBo 
[27852] ADD,3mEsf51UBo,83445.30 
[28307] BUY,3mEsf51UBo,TTV,396.97 
[28310] SET_SELL_AMOUNT,3mEsf51UBo,KDA,160.63 
[28457] SET_SELL_TRIGGER,3mEsf51UBo,KDA,1.13 
[28480] SET_BUY_AMOUNT,3mEsf51UBo,KDA,451.06 
[28492] SET_BUY_TRIGGER,3mEsf51UBo,MFX,233.57 
[28584] SELL,3mEsf51UBo,JCQ,746.53 
[28641] COMMIT_BUY,3mEsf51UBo 
[28939] DISPLAY_SUMMARY,3mEsf51UBo 
[28974] SET_SELL_TRIGGER,3mEsf51UBo,ZZD,166.95 
[29026] SET_SELL_TRIGGER,3mEsf51UBo,EDM,175.55 
[29039] BUY,3mEsf51UBo,TQX,726.90 
[29041] CANCEL_BUY,3mEsf51UBo 
[29088] DISPLAY_SUMMARY,3mEsf51UBo 
[29114] SET_SELL_AMOUNT,3mEsf51UBo,GYF,361.46 
[29152] SET_SELL_TRIGGER,3mEsf51UBo,GYF,303.51 
[29301] CANCEL_SELL,3mEsf51UBo 
[29343] ADD,3mEsf51UBo,60743.77 
[29394] QUOTE,3mEsf51UBo,AED 
[29467] ADD,3mEsf51UBo,87857.52 
[29536] BUY,3mEsf51UBo,PIE,637.49 
[29622] COMMIT_BUY,3mEsf51UBo 
[29643] SET_BUY_AMOUNT,3mEsf51UBo,NHG,159.63 
[29662] SET_BUY_TRIGGER,3mEsf51UBo,WNU,126.93 
[29767] BUY,3mEsf51UBo,EDW,7.79 
[29829] COMMIT_BUY,3mEsf51UBo 
[29867] SELL,3mEsf51UBo,JQO,234.18 
[29881] COMMIT_SELL,3mEsf51UBo 
[29919] SELL,3mEsf51UBo,KES,466.28 
[29955] BUY,3mEsf51UBo,PYB,725.65 
[30243] COMMIT_BUY,3mEsf51UBo 
[30365] DISPLAY_SUMMARY,3mEsf51UBo 
[30414] DISPLAY_SUMMARY,3mEsf51UBo 
[30644] CANCEL_SET_SELL,3mEsf51UBo,VND 
[30856] ADD,3mEsf51UBo,60358.98 
[31017] QUOTE,3mEsf51UBo,PFN 
[31105] BUY,3mEsf51UBo,DBC,457.38 
[31205] COMMIT_BUY,3mEsf51UBo 
[31240] SET_BUY_TRIGGER,3mEsf51UBo,GAV,89.20 
[31301] ADD,3mEsf51UBo,65439.47 
[31382] QUOTE,3mEsf51UBo,SOT 
[31394] CANCEL_SET_BUY,3mEsf51UBo,MIY 
[31401] DISPLAY_SUMMARY,3mEsf51UBo 
[31453] BUY,3mEsf51UBo,ZQW,428.18 
[31474] COMMIT_BUY,3mEsf51UBo 
[31479] SET_SELL_TRIGGER,3mEsf51UBo,ZMK,182.22 
[31532] CANCEL_SET_SELL,3mEsf51UBo,STQ 
[31587] ADD,3mEsf51UBo,78884.29 
[31605] BUY,3mEsf51UBo,TUO,368.12 
[31763] COMMIT_BUY,3mEsf51UBo 
[31789] CANCEL_SET_SELL,3mEsf51UBo,OYW 
[31964] SET_SELL_TRIGGER,3mEsf51UBo,UTD,151.49 
[31993] QUOTE,3mEsf51UBo,IFU 
[31997] QUOTE,3mEsf51UBo,YBP 
[32043] BUY,3mEsf51UBo,LSG,133.45 
[32142] COMMIT_BUY,3mEsf51UBo 
[32191] BUY,3mEsf51UBo,PXS,425.15 
[32714] COMMIT_BUY,3mEsf51UBo 
[32728] ADD,3mEsf51UBo,34745.35 
[32859] QUOTE,3mEsf51UBo,FVA 
[32860] QUOTE,3mEsf51UBo,PUO 
[32899] SET_BUY_TRIGGER,3mEsf51UBo,INB,127.21 
[33000] SET_SELL_AMOUNT,3mEsf51UBo,OEY,714.30 
[33090] SET_SELL_TRIGGER,3mEsf51UBo,OEY,127.61 
[33235] CANCEL_SET_SELL,3mEsf51UBo,UZZ 
[33321] QUOTE,3mEsf51UBo,EUC 
[33399] CANCEL_SET_SELL,3mEsf51UBo,OIY 
[33447] SET_SELL_TRIGGER,3mEsf51UBo,JKX,130.25 
[33477] SET_BUY_TRIGGER,3mEsf51UBo,MAX,157.31 
[33487] ADD,3mEsf51UBo,68578.83 
[33599] BUY,3mEsf51UBo,IFN,710.10 
[33649] COMMIT_BUY,3mEsf51UBo 
[33799] CANCEL_SET_SELL,3mEsf51UBo,DBC 
[33995] SET_BUY_AMOUNT,3mEsf51UBo,KES,272.54 
[34012] CANCEL_SET_BUY,3mEsf51UBo,BHQ 
[34020] ADD,3mEsf51UBo,62691.45 
[34066] SET_BUY_AMOUNT,3mEsf51UBo,OEY,49.30 
[34168] SET_BUY_TRIGGER,3mEsf51UBo,YEW,31.09 
[34231] SELL,3mEsf51UBo,JVT,476.34 
[34339] CANCEL_SELL,3mEsf51UBo 
[34351] SET_BUY_TRIGGER,3mEsf51UBo,PVH,44.69 
[34602] BUY,3mEsf51UBo,ZOW,592.16 
[34690] COMMIT_BUY,3mEsf51UBo 
[34711] ADD,3mEsf51UBo,80699.76 
[34729] SET_SELL_TRIGGER,3mEsf51UBo,WOJ,77.56 
[34816] BUY,3mEsf51UBo,NLP,17.48 
[34932] SET_SELL_TRIGGER,3mEsf51UBo,YNH,133.59 
[35165] QUOTE,3mEsf51UBo,ZQS 
[35282] CANCEL_BUY,3mEsf51UBo 
[35399] ADD,3mEsf51UBo,90068.95 
[35586] QUOTE,3mEsf51UBo,CBX 
[35619] SET_SELL_TRIGGER,3mEsf51UBo,QTU,115.45 
[35831] ADD,3mEsf51UBo,82876.90 
[35869] QUOTE,3mEsf51UBo,JRJ 
[36333] CANCEL_SET_SELL,3mEsf51UBo,DBC 
[36360] ADD,3mEsf51UBo,77193.86 
[36509] QUOTE,3mEsf51UBo,DMS 
[36598] QUOTE,3mEsf51UBo,HMR 
[36616] CANCEL_SELL,3mEsf51UBo 
[36711] SET_SELL_TRIGGER,3mEsf51UBo,HZP,7.93 
[36728] BUY,3mEsf51UBo,KAF,162.47 
[36839] SET_SELL_TRIGGER,3mEsf51UBo,QHF,72.02 
[36871] BUY,3mEsf51UBo,IQZ,745.47 
[37134] CANCEL_BUY,3mEsf51UBo 
[37154] SET_BUY_AMOUNT,3mEsf51UBo,BYA,403.21 
[37196] SET_BUY_TRIGGER,3mEsf51UBo,YQC,34.19 
[37208] ADD,3mEsf51UBo,89374.23 
[37272] COMMIT_BUY,3mEsf51UBo 
[37474] SELL,3mEsf51UBo,OEY,737.44 
[37655] COMMIT_SELL,3mEsf51UBo 
[37754] SET_SELL_AMOUNT,3mEsf51UBo,RGH,656.98 
[37775] SET_SELL_TRIGGER,3mEsf51UBo,RGH,204.47 
[37875] SET_SELL_TRIGGER,3mEsf51UBo,ERF,184.84 
[37913] ADD,3mEsf51UBo,100201.67 
[38030] QUOTE,3mEsf51UBo,BZH 
[38100] DISPLAY_SUMMARY,3mEsf51UBo 
[38195] ADD,3mEsf51UBo,85513.26 
[38241] SET_SELL_AMOUNT,3mEsf51UBo,YJK,211.74 
[38500] SET_SELL_TRIGGER,3mEsf51UBo,YJK,211.67 
[38584] ADD,3mEsf51UBo,61100.97 
[38665] QUOTE,3mEsf51UBo,KTU 
[38755] BUY,3mEsf51UBo,WDC,417.91 
[38835] SET_SELL_TRIGGER,3mEsf51UBo,KMZ,146.81 
[38860] SELL,3mEsf51UBo,LFU,317.64 
[38907] SELL,3mEsf51UBo,RUN,664.89 
[38921] COMMIT_SELL,3mEsf51UBo 
[38967] SELL,3mEsf51UBo,KDA,198.95 
[39067] COMMIT_SELL,3mEsf51UBo 
[39077] CANCEL_SET_BUY,3mEsf51UBo,OLI 
[39160] SELL,3mEsf51UBo,GYF,601.66 
[39231] ADD,3mEsf51UBo,82397.14 
[39295] BUY,3mEsf51UBo,MLU,303.42 
[39362] ADD,3mEsf51UBo,73099.68 
[39557] QUOTE,3mEsf51UBo,OYX 
[39663] COMMIT_BUY,3mEsf51UBo 
[39759] SET_SELL_TRIGGER,3mEsf51UBo,MLU,37.34 
[39916] SET_BUY_AMOUNT,3mEsf51UBo,RGH,422.72 
[40092] CANCEL_SET_BUY,3mEsf51UBo,FQP 
[40232] SET_BUY_AMOUNT,3mEsf51UBo,BCQ,659.33 
[40339] SELL,3mEsf51UBo,NHG,279.06 
[40345] DISPLAY_SUMMARY,3mEsf51UBo 
[40432] ADD,3mEsf51UBo,77875.36 
[40502] QUOTE,3mEsf51UBo,GPW 
[40523] BUY,3mEsf51UBo,SAN,1.82 
[40565] COMMIT_BUY,3mEsf51UBo 
[40638] SET_BUY_AMOUNT,3mEsf51UBo,OEY,70.62 
[40774] SET_BUY_TRIGGER,3mEsf51UBo,XBL,38.44 
[40842] ADD,3mEsf51UBo,64626.13 
[41133] BUY,3mEsf51UBo,IEQ,670.28 
[41225] BUY,3mEsf51UBo,CGW,709.38 
[41303] COMMIT_BUY,3mEsf51UBo 
[41307] SET_SELL_AMOUNT,3mEsf51UBo,RNK,411.05 
[41353] SET_SELL_TRIGGER,3mEsf51UBo,RNK,189.16 
[41387] SET_SELL_AMOUNT,3mEsf51UBo,JRJ,712.72 
[41748] CANCEL_SET_SELL,3mEsf51UBo,JRJ 
[41909] SET_BUY_TRIGGER,3mEsf51UBo,IWL,4.15 
[41943] CANCEL_SELL,3mEsf51UBo 
[41948] QUOTE,3mEsf51UBo,UBJ 
[42105] QUOTE,3mEsf51UBo,ZMS 
[42286] ADD,3mEsf51UBo,88169.81 
[42317] QUOTE,3mEsf51UBo,KVJ 
[42359] QUOTE,3mEsf51UBo,SPL 
[42371] QUOTE,3mEsf51UBo,FLD 
[42391] BUY,3mEsf51UBo,FGF,625.46 
[42436] QUOTE,3mEsf51UBo,PFK 
[42580] BUY,3mEsf51UBo,OOR,563.45 
[42668] COMMIT_BUY,3mEsf51UBo 
[42778] QUOTE,3mEsf51UBo,IRQ 
[42799] QUOTE,3mEsf51UBo,BEG 
[42818] SET_BUY_TRIGGER,3mEsf51UBo,MWV,169.04 
[42872] SET_BUY_TRIGGER,3mEsf51UBo,QHF,184.02 
[42903] BUY,3mEsf51UBo,IHW,78.67 
[42999] COMMIT_BUY,3mEsf51UBo 
[43005] DISPLAY_SUMMARY,3mEsf51UBo 
[43041] SET_SELL_AMOUNT,3mEsf51UBo,GYF,281.63 
[43225] DISPLAY_SUMMARY,3mEsf51UBo 
[43284] SET_SELL_TRIGGER,3mEsf51UBo,GYF,46.32 
[43299] BUY,3mEsf51UBo,PYB,749.85 
[43583] CANCEL_BUY,3mEsf51UBo 
[43588] SELL,3mEsf51UBo,BYA,54.83 
[43662] COMMIT_SELL,3mEsf51UBo 
[43794] SET_BUY_TRIGGER,3mEsf51UBo,NLP,21.08 
[43990] SET_SELL_AMOUNT,3mEsf51UBo,JRJ,621.49 
[44132] SET_SELL_TRIGGER,3mEsf51UBo,JRJ,542.93 
[44137] SET_BUY_TRIGGER,3mEsf51UBo,GHE,25.41 
[44158] ADD,3mEsf51UBo,71820.87 
[44257] BUY,3mEsf51UBo,YEW,264.95 
[44383] COMMIT_BUY,3mEsf51UBo 
[44461] QUOTE,3mEsf51UBo,ZNZ 
[44523] SET_SELL_AMOUNT,3mEsf51UBo,UTV,1.17 
[44551] DISPLAY_SUMMARY,3mEsf51UBo 
[44581] ADD,3mEsf51UBo,71224.26 
[44679] BUY,3mEsf51UBo,CVK,587.17 
[44759] COMMIT_BUY,3mEsf51UBo 
[44954] BUY,3mEsf51UBo,BTA,357.61 
[44976] QUOTE,3mEsf51UBo,IBT 
[45075] SET_SELL_AMOUNT,3mEsf51UBo,QJZ,278.37 
[45139] SET_SELL_TRIGGER,3mEsf51UBo,QJZ,129.52 
[45451] DISPLAY_SUMMARY,3mEsf51UBo 
[45494] SELL,3mEsf51UBo,FQP,96.41 
[45545] COMMIT_SELL,3mEsf51UBo 
[45763] SET_BUY_AMOUNT,3mEsf51UBo,QAX,322.18 
[45949] SET_BUY_TRIGGER,3mEsf51UBo,MHI,106.55 
[46080] QUOTE,3mEsf51UBo,NFV 
[46081] SET_BUY_TRIGGER,3mEsf51UBo,VEE,36.49 
[46088] ADD,3mEsf51UBo,65477.26 
[46263] QUOTE,3mEsf51UBo,FYA 
