[65] ADD,kryOHlcACM,69868.50 
[22619] COMMIT_SELL,kryOHlcACM 
[22829] DISPLAY_SUMMARY,kryOHlcACM 
[22927] SET_BUY_AMOUNT,kryOHlcACM,JCQ,508.06 
[22973] BUY,kryOHlcACM,TSU,504.86 
[23115] COMMIT_BUY,kryOHlcACM 
[23247] ADD,kryOHlcACM,49873.06 
[23284] BUY,kryOHlcACM,ILT,674.44 
[23285] BUY,kryOHlcACM,OSA,737.81 
[23473] COMMIT_BUY,kryOHlcACM 
[23477] SELL,kryOHlcACM,KES,550.48 
[23494] SELL,kryOHlcACM,UTV,215.72 
[23521] COMMIT_SELL,kryOHlcACM 
[23598] BUY,kryOHlcACM,IWL,570.70 
[23605] SELL,kryOHlcACM,EBS,385.43 
[23679] COMMIT_SELL,kryOHlcACM 
[23694] ADD,kryOHlcACM,47949.02 
[23730] BUY,kryOHlcACM,LPS,666.03 
[23754] CANCEL_SET_SELL,kryOHlcACM,DWU 
[23786] SET_BUY_TRIGGER,kryOHlcACM,YVS,137.15 
[23863] DISPLAY_SUMMARY,kryOHlcACM 
[24016] SET_BUY_TRIGGER,kryOHlcACM,AOH,5.27 
[24252] QUOTE,kryOHlcACM,UUJ 
[24296] BUY,kryOHlcACM,ZTI,254.86 
[24318] COMMIT_BUY,kryOHlcACM 
[24323] SET_SELL_AMOUNT,kryOHlcACM,KDA,32.72 
[24338] SET_SELL_TRIGGER,kryOHlcACM,KDA,4.89 
[24549] CANCEL_BUY,kryOHlcACM 
[24559] ADD,kryOHlcACM,82947.33 
[24570] QUOTE,kryOHlcACM,SOT 
[24689] ADD,kryOHlcACM,71510.03 
[24810] QUOTE,kryOHlcACM,RQL 
[24985] CANCEL_SET_SELL,kryOHlcACM,PIC 
[25052] DISPLAY_SUMMARY,kryOHlcACM 
[25203] ADD,kryOHlcACM,75321.48 
[25355] SET_BUY_TRIGGER,kryOHlcACM,YQC,130.79 
[25360] SET_SELL_AMOUNT,kryOHlcACM,CUZ,749.78 
[25575] SET_SELL_TRIGGER,kryOHlcACM,CUZ,465.88 
[25636] COMMIT_SELL,kryOHlcACM 
[25848] CANCEL_SET_SELL,kryOHlcACM,XLI 
[25894] SELL,kryOHlcACM,NHG,706.40 
[26047] COMMIT_SELL,kryOHlcACM 
[26078] ADD,kryOHlcACM,85948.79 
[26221] BUY,kryOHlcACM,VNO,316.64 
[26299] COMMIT_BUY,kryOHlcACM 
[26383] QUOTE,kryOHlcACM,MWB 
[26425] BUY,kryOHlcACM,IDX,280.31 
[26454] SET_BUY_AMOUNT,kryOHlcACM,EBS,493.29 
[26632] CANCEL_SET_BUY,kryOHlcACM,WHR 
[26853] SET_BUY_AMOUNT,kryOHlcACM,LFU,678.47 
[26997] SET_BUY_TRIGGER,kryOHlcACM,AQO,98.53 
[27011] DISPLAY_SUMMARY,kryOHlcACM 
[27031] QUOTE,kryOHlcACM,QNW 
[27095] ADD,kryOHlcACM,85304.62 
[27122] QUOTE,kryOHlcACM,NDO 
[27179] BUY,kryOHlcACM,BLC,512.47 
[27265] SET_BUY_AMOUNT,kryOHlcACM,XXQ,565.27 
[27297] SET_BUY_TRIGGER,kryOHlcACM,WNX,463.95 
[27322] DISPLAY_SUMMARY,kryOHlcACM 
[27422] SELL,kryOHlcACM,BYA,721.06 
[27650] CANCEL_SET_SELL,kryOHlcACM,MIY 
[27735] SELL,kryOHlcACM,JVT,723.44 
[27841] COMMIT_SELL,kryOHlcACM 
[27952] SET_SELL_AMOUNT,kryOHlcACM,KES,164.19 
[28009] SET_SELL_TRIGGER,kryOHlcACM,KES,11.98 
[28064] BUY,kryOHlcACM,DFE,432.26 
[28141] SET_SELL_TRIGGER,kryOHlcACM,AVX,45.83 
[28247] BUY,kryOHlcACM,AQO,28.51 
[28325] CANCEL_SELL,kryOHlcACM 
[28350] DISPLAY_SUMMARY,kryOHlcACM 
[28450] SET_SELL_AMOUNT,kryOHlcACM,BYA,159.99 
[28531] SET_SELL_TRIGGER,kryOHlcACM,BYA,65.29 
[28666] BUY,kryOHlcACM,GZU,79.53 
[28741] COMMIT_BUY,kryOHlcACM 
[28798] DISPLAY_SUMMARY,kryOHlcACM 
[28853] BUY,kryOHlcACM,ZNY,310.49 
[28858] COMMIT_SELL,kryOHlcACM 
[28975] ADD,kryOHlcACM,52310.09 
[29010] BUY,kryOHlcACM,ILT,147.87 
[29047] COMMIT_BUY,kryOHlcACM 
[29050] SET_SELL_AMOUNT,kryOHlcACM,LFU,21.67 
[29527] CANCEL_SET_SELL,kryOHlcACM,LFU 
[29647] SET_BUY_AMOUNT,kryOHlcACM,NHG,447.78 
[29725] CANCEL_SET_BUY,kryOHlcACM,GPW 
[29953] ADD,kryOHlcACM,84121.18 
[29973] QUOTE,kryOHlcACM,OEY 
[30108] SET_BUY_TRIGGER,kryOHlcACM,LPB,73.58 
[30114] SET_BUY_TRIGGER,kryOHlcACM,OHG,57.77 
[30135] SET_BUY_TRIGGER,kryOHlcACM,WFR,32.50 
[30289] BUY,kryOHlcACM,GUW,658.62 
[30521] DISPLAY_SUMMARY,kryOHlcACM 
[30523] ADD,kryOHlcACM,67244.38 
[30536] CANCEL_SET_BUY,kryOHlcACM,XXQ 
[30686] ADD,kryOHlcACM,65346.01 
[30745] QUOTE,kryOHlcACM,SPL 
[30819] CANCEL_SET_BUY,kryOHlcACM,YEH 
[30909] ADD,kryOHlcACM,87036.28 
[30926] BUY,kryOHlcACM,OHS,386.76 
[30979] COMMIT_BUY,kryOHlcACM 
[31001] DISPLAY_SUMMARY,kryOHlcACM 
[31025] QUOTE,kryOHlcACM,PJW 
[31027] BUY,kryOHlcACM,UHO,460.48 
[31437] CANCEL_BUY,kryOHlcACM 
[31451] DISPLAY_SUMMARY,kryOHlcACM 
[31530] CANCEL_SET_SELL,kryOHlcACM,FVZ 
[31708] BUY,kryOHlcACM,TUO,50.88 
[31812] SET_SELL_AMOUNT,kryOHlcACM,KES,12.02 
[31826] SET_SELL_TRIGGER,kryOHlcACM,KES,9.29 
[31877] ADD,kryOHlcACM,54956.57 
[31922] SELL,kryOHlcACM,XXQ,692.09 
[32132] ADD,kryOHlcACM,46542.25 
[32356] CANCEL_SET_SELL,kryOHlcACM,LKV 
[32787] SELL,kryOHlcACM,ZYR,136.12 
[32806] SET_SELL_AMOUNT,kryOHlcACM,JCQ,207.76 
[32832] SET_SELL_TRIGGER,kryOHlcACM,JCQ,88.46 
[32936] SET_BUY_TRIGGER,kryOHlcACM,DWC,72.02 
[32939] ADD,kryOHlcACM,75132.62 
[33025] BUY,kryOHlcACM,RXO,690.77 
[33054] DISPLAY_SUMMARY,kryOHlcACM 
[33134] SET_SELL_TRIGGER,kryOHlcACM,CAX,153.68 
[33149] SET_SELL_TRIGGER,kryOHlcACM,CMD,155.72 
[33186] DISPLAY_SUMMARY,kryOHlcACM 
[33200] SET_SELL_TRIGGER,kryOHlcACM,QGE,191.22 
[33224] SET_SELL_AMOUNT,kryOHlcACM,KES,455.72 
[33296] SET_SELL_TRIGGER,kryOHlcACM,KES,40.00 
[33366] ADD,kryOHlcACM,82383.79 
[33396] BUY,kryOHlcACM,MOF,58.72 
[33557] CANCEL_SET_BUY,kryOHlcACM,YOG 
[33576] DISPLAY_SUMMARY,kryOHlcACM 
[33710] BUY,kryOHlcACM,PXS,581.65 
[33712] COMMIT_BUY,kryOHlcACM 
[33801] BUY,kryOHlcACM,FLD,619.79 
[33877] COMMIT_SELL,kryOHlcACM 
[33887] BUY,kryOHlcACM,IFC,323.52 
[34337] COMMIT_BUY,kryOHlcACM 
[34568] SELL,kryOHlcACM,JRJ,70.38 
[34677] COMMIT_SELL,kryOHlcACM 
[34715] SET_BUY_AMOUNT,kryOHlcACM,CUZ,131.12 
[34978] SET_BUY_TRIGGER,kryOHlcACM,SSF,83.53 
[35154] SET_BUY_TRIGGER,kryOHlcACM,XXP,30.82 
[35187] DISPLAY_SUMMARY,kryOHlcACM 
[35288] SET_SELL_TRIGGER,kryOHlcACM,JLK,107.74 
[35412] SET_SELL_TRIGGER,kryOHlcACM,RNE,30.01 
[35438] SELL,kryOHlcACM,BCQ,335.61 
[35465] COMMIT_SELL,kryOHlcACM 
[35497] ADD,kryOHlcACM,68904.00 
[35691] CANCEL_SELL,kryOHlcACM 
[35724] BUY,kryOHlcACM,XLK,382.72 
[35957] CANCEL_SET_BUY,kryOHlcACM,PXF 
[35995] DISPLAY_SUMMARY,kryOHlcACM 
[36066] DISPLAY_SUMMARY,kryOHlcACM 
[36085] SELL,kryOHlcACM,NHG,745.01 
[36102] SET_BUY_TRIGGER,kryOHlcACM,ZTI,181.49 
[36125] SET_BUY_TRIGGER,kryOHlcACM,MLU,161.74 
[36174] SET_BUY_TRIGGER,kryOHlcACM,YWC,55.06 
[36192] SET_SELL_AMOUNT,kryOHlcACM,BCQ,109.04 
[36553] SET_SELL_TRIGGER,kryOHlcACM,BCQ,16.32 
[36555] SET_BUY_AMOUNT,kryOHlcACM,JRJ,195.23 
[36585] SET_BUY_TRIGGER,kryOHlcACM,TUO,36.98 
[36610] ADD,kryOHlcACM,77901.28 
[36740] QUOTE,kryOHlcACM,JNO 
[36852] ADD,kryOHlcACM,46653.39 
[36870] QUOTE,kryOHlcACM,KBN 
[36885] BUY,kryOHlcACM,OFP,210.47 
[36887] SELL,kryOHlcACM,GYF,552.41 
[36973] SET_SELL_AMOUNT,kryOHlcACM,JVT,117.25 
[37040] SET_SELL_TRIGGER,kryOHlcACM,JVT,85.81 
[37146] ADD,kryOHlcACM,78819.42 
[37233] BUY,kryOHlcACM,RNK,636.63 
[37242] COMMIT_BUY,kryOHlcACM 
[37342] DISPLAY_SUMMARY,kryOHlcACM 
[37383] SET_SELL_AMOUNT,kryOHlcACM,BYA,343.96 
[37517] SET_SELL_TRIGGER,kryOHlcACM,BYA,175.65 
[37529] DISPLAY_SUMMARY,kryOHlcACM 
[38020] SET_SELL_TRIGGER,kryOHlcACM,BPE,52.87 
[38082] SET_SELL_AMOUNT,kryOHlcACM,BCQ,95.80 
[38193] BUY,kryOHlcACM,JII,508.74 
[38277] SET_SELL_TRIGGER,kryOHlcACM,BCQ,1.22 
[38333] SELL,kryOHlcACM,UTV,202.11 
[38389] COMMIT_SELL,kryOHlcACM 
[38486] CANCEL_SET_SELL,kryOHlcACM,BUL 
[38525] QUOTE,kryOHlcACM,ZOW 
[38784] QUOTE,kryOHlcACM,PWK 
[38951] BUY,kryOHlcACM,SKY,129.96 
[39059] COMMIT_BUY,kryOHlcACM 
[39130] DISPLAY_SUMMARY,kryOHlcACM 
[39515] ADD,kryOHlcACM,98555.97 
[39568] BUY,kryOHlcACM,PXY,434.67 
[39646] COMMIT_BUY,kryOHlcACM 
[39686] SET_SELL_TRIGGER,kryOHlcACM,TCP,158.28 
[39758] ADD,kryOHlcACM,65088.93 
[39793] QUOTE,kryOHlcACM,MRH 
[39822] BUY,kryOHlcACM,KMZ,124.04 
[39953] COMMIT_BUY,kryOHlcACM 
[40080] QUOTE,kryOHlcACM,PMX 
[40161] QUOTE,kryOHlcACM,WJB 
[40208] SET_BUY_AMOUNT,kryOHlcACM,NHG,202.41 
[40466] SET_BUY_TRIGGER,kryOHlcACM,TVI,43.67 
[40500] BUY,kryOHlcACM,BRZ,123.63 
[40603] COMMIT_BUY,kryOHlcACM 
[40960] DISPLAY_SUMMARY,kryOHlcACM 
[41124] BUY,kryOHlcACM,MOF,334.95 
[41197] CANCEL_BUY,kryOHlcACM 
[41221] SELL,kryOHlcACM,XXQ,338.67 
[41243] COMMIT_SELL,kryOHlcACM 
[41385] DISPLAY_SUMMARY,kryOHlcACM 
[41439] COMMIT_SELL,kryOHlcACM 
[41440] DISPLAY_SUMMARY,kryOHlcACM 
[41455] DISPLAY_SUMMARY,kryOHlcACM 
[41510] SET_BUY_TRIGGER,kryOHlcACM,SJZ,23.35 
[41706] QUOTE,kryOHlcACM,NHG 
[41831] DISPLAY_SUMMARY,kryOHlcACM 
[41900] SET_SELL_TRIGGER,kryOHlcACM,XYV,96.90 
[42012] SET_BUY_TRIGGER,kryOHlcACM,UGG,180.33 
[42024] SET_BUY_AMOUNT,kryOHlcACM,ZAN,263.12 
[42126] SET_BUY_TRIGGER,kryOHlcACM,JPD,202.30 
[42184] SET_BUY_TRIGGER,kryOHlcACM,QNW,17.40 
[42324] BUY,kryOHlcACM,DDA,59.43 
[42363] SET_SELL_TRIGGER,kryOHlcACM,CUQ,100.01 
[42410] QUOTE,kryOHlcACM,NFV 
[42468] ADD,kryOHlcACM,73744.57 
[43087] QUOTE,kryOHlcACM,XLK 
[43094] DISPLAY_SUMMARY,kryOHlcACM 
[43118] SET_BUY_TRIGGER,kryOHlcACM,RRT,142.04 
[43347] SET_SELL_AMOUNT,kryOHlcACM,PTP,266.13 
[43376] CANCEL_SET_SELL,kryOHlcACM,PTP 
[43582] BUY,kryOHlcACM,SYT,445.65 
[43786] QUOTE,kryOHlcACM,PYM 
[43792] QUOTE,kryOHlcACM,OYS 
[43843] QUOTE,kryOHlcACM,LEA 
[43945] BUY,kryOHlcACM,UXP,746.84 
[44105] COMMIT_BUY,kryOHlcACM 
[44164] SET_SELL_AMOUNT,kryOHlcACM,ZYR,563.18 
[44289] SET_SELL_TRIGGER,kryOHlcACM,ZYR,8.97 
[44332] ADD,kryOHlcACM,59401.26 
[44334] QUOTE,kryOHlcACM,QNW 
[44340] BUY,kryOHlcACM,WJP,363.73 
[44433] COMMIT_BUY,kryOHlcACM 
[44688] ADD,kryOHlcACM,66626.35 
[44768] BUY,kryOHlcACM,PYB,323.19 
[44776] COMMIT_BUY,kryOHlcACM 
[44833] CANCEL_SET_SELL,kryOHlcACM,NHB 
[44886] DISPLAY_SUMMARY,kryOHlcACM 
[45090] SET_BUY_TRIGGER,kryOHlcACM,CGW,163.10 
[45122] DISPLAY_SUMMARY,kryOHlcACM 
[45353] CANCEL_BUY,kryOHlcACM 
[45695] SET_BUY_AMOUNT,kryOHlcACM,JCQ,363.13 
[45893] SET_BUY_TRIGGER,kryOHlcACM,MIY,263.49 
[46004] ADD,kryOHlcACM,66914.09 
[46039] QUOTE,kryOHlcACM,LLD 
[46142] BUY,kryOHlcACM,ZYF,372.45 
[46255] CANCEL_SET_BUY,kryOHlcACM,GZU 
[46334] BUY,kryOHlcACM,RGH,267.81 
[46492] ADD,kryOHlcACM,72461.26 
[47084] QUOTE,kryOHlcACM,ILT 
[47107] BUY,kryOHlcACM,AOU,466.66 
[47165] DISPLAY_SUMMARY,kryOHlcACM 
[47269] SET_BUY_TRIGGER,kryOHlcACM,IFQ,104.64 
[47291] DISPLAY_SUMMARY,kryOHlcACM 
[47295] ADD,kryOHlcACM,61801.99 
[47437] DISPLAY_SUMMARY,kryOHlcACM 
[47569] CANCEL_SET_SELL,kryOHlcACM,LVT 
