[12] ADD,F3iruDCI8F,102869.70 
[7712] SET_SELL_AMOUNT,F3iruDCI8F,KDA,712.39 
[7844] SET_SELL_TRIGGER,F3iruDCI8F,KDA,68.44 
[7852] BUY,F3iruDCI8F,HGG,222.70 
[7999] COMMIT_BUY,F3iruDCI8F 
[8069] BUY,F3iruDCI8F,YPW,184.41 
[8127] BUY,F3iruDCI8F,XLK,661.54 
[8289] COMMIT_BUY,F3iruDCI8F 
[8366] ADD,F3iruDCI8F,72667.48 
[8429] QUOTE,F3iruDCI8F,ECI 
[8603] BUY,F3iruDCI8F,ENQ,672.48 
[8727] CANCEL_BUY,F3iruDCI8F 
[8875] SET_BUY_TRIGGER,F3iruDCI8F,HFI,2.59 
[9075] SET_BUY_AMOUNT,F3iruDCI8F,QJZ,684.62 
[9222] SET_BUY_TRIGGER,F3iruDCI8F,XYV,418.27 
[9274] ADD,F3iruDCI8F,70487.76 
[9468] QUOTE,F3iruDCI8F,YVS 
[9476] QUOTE,F3iruDCI8F,UDM 
[9559] BUY,F3iruDCI8F,SKC,23.78 
[9617] COMMIT_BUY,F3iruDCI8F 
[9688] QUOTE,F3iruDCI8F,LPR 
[9693] BUY,F3iruDCI8F,QVA,620.95 
[9927] COMMIT_BUY,F3iruDCI8F 
[9946] DISPLAY_SUMMARY,F3iruDCI8F 
[9955] CANCEL_BUY,F3iruDCI8F 
[9960] SET_BUY_TRIGGER,F3iruDCI8F,CLH,96.87 
[9995] DISPLAY_SUMMARY,F3iruDCI8F 
[10050] DISPLAY_SUMMARY,F3iruDCI8F 
[10185] QUOTE,F3iruDCI8F,MWJ 
[10214] BUY,F3iruDCI8F,TSS,612.50 
[10268] CANCEL_BUY,F3iruDCI8F 
[10277] SET_BUY_TRIGGER,F3iruDCI8F,LSM,163.05 
[10637] QUOTE,F3iruDCI8F,XQC 
[10819] SET_BUY_AMOUNT,F3iruDCI8F,QJZ,40.43 
[10913] SET_BUY_TRIGGER,F3iruDCI8F,TOZ,27.97 
[10943] SET_SELL_AMOUNT,F3iruDCI8F,KDA,374.46 
[10967] SET_SELL_TRIGGER,F3iruDCI8F,KDA,274.96 
[10974] ADD,F3iruDCI8F,58667.71 
[11074] BUY,F3iruDCI8F,TVP,658.76 
[11081] CANCEL_SELL,F3iruDCI8F 
[11353] ADD,F3iruDCI8F,50233.25 
[11439] BUY,F3iruDCI8F,JPP,577.18 
[11685] COMMIT_BUY,F3iruDCI8F 
[11715] QUOTE,F3iruDCI8F,VIG 
[11721] BUY,F3iruDCI8F,TKV,265.41 
[11723] QUOTE,F3iruDCI8F,WKG 
[11795] ADD,F3iruDCI8F,54606.71 
[11882] CANCEL_SELL,F3iruDCI8F 
[12017] ADD,F3iruDCI8F,71102.49 
[12019] QUOTE,F3iruDCI8F,MLT 
[12098] ADD,F3iruDCI8F,57819.11 
[12554] BUY,F3iruDCI8F,WXV,54.90 
[12575] COMMIT_SELL,F3iruDCI8F 
[12584] ADD,F3iruDCI8F,69950.51 
[13031] QUOTE,F3iruDCI8F,URI 
[13098] BUY,F3iruDCI8F,UCG,79.51 
[13117] SET_BUY_TRIGGER,F3iruDCI8F,MHI,121.27 
[13271] DISPLAY_SUMMARY,F3iruDCI8F 
[13520] SET_SELL_AMOUNT,F3iruDCI8F,KDA,147.74 
[13529] SET_SELL_TRIGGER,F3iruDCI8F,KDA,53.03 
[13585] DISPLAY_SUMMARY,F3iruDCI8F 
[13642] SET_BUY_TRIGGER,F3iruDCI8F,TQX,34.61 
[14255] QUOTE,F3iruDCI8F,NFO 
[14268] SET_BUY_TRIGGER,F3iruDCI8F,VNN,84.81 
[14272] SET_SELL_TRIGGER,F3iruDCI8F,HEK,15.85 
[14294] SET_SELL_TRIGGER,F3iruDCI8F,WHR,82.70 
[14391] ADD,F3iruDCI8F,81488.95 
[14415] QUOTE,F3iruDCI8F,PCK 
[14427] BUY,F3iruDCI8F,EDM,598.11 
[14483] CANCEL_SET_SELL,F3iruDCI8F,HFS 
[14545] BUY,F3iruDCI8F,KCS,61.16 
[14797] COMMIT_BUY,F3iruDCI8F 
[14852] ADD,F3iruDCI8F,65361.16 
[14854] BUY,F3iruDCI8F,TFZ,243.76 
[14984] COMMIT_BUY,F3iruDCI8F 
[15040] ADD,F3iruDCI8F,46348.21 
[15107] SET_BUY_AMOUNT,F3iruDCI8F,QAX,724.75 
[15271] SET_BUY_TRIGGER,F3iruDCI8F,VTY,551.38 
[15407] SET_SELL_TRIGGER,F3iruDCI8F,WBL,85.25 
[15457] SET_SELL_AMOUNT,F3iruDCI8F,JVT,304.34 
[15526] DISPLAY_SUMMARY,F3iruDCI8F 
[15589] QUOTE,F3iruDCI8F,CNN 
[15777] QUOTE,F3iruDCI8F,PUN 
[15900] ADD,F3iruDCI8F,70511.46 
[15927] QUOTE,F3iruDCI8F,SDL 
[15949] BUY,F3iruDCI8F,QVK,650.66 
[16179] QUOTE,F3iruDCI8F,LHC 
[16537] BUY,F3iruDCI8F,GUW,56.16 
[16547] COMMIT_BUY,F3iruDCI8F 
[16649] QUOTE,F3iruDCI8F,FLY 
[16720] DISPLAY_SUMMARY,F3iruDCI8F 
[16926] ADD,F3iruDCI8F,60167.25 
[17473] COMMIT_BUY,F3iruDCI8F 
[17690] SELL,F3iruDCI8F,FQP,111.28 
[17718] COMMIT_SELL,F3iruDCI8F 
[17764] SELL,F3iruDCI8F,GYF,606.17 
[17809] DISPLAY_SUMMARY,F3iruDCI8F 
[17957] ADD,F3iruDCI8F,79144.86 
[17972] QUOTE,F3iruDCI8F,XME 
[18098] BUY,F3iruDCI8F,MIQ,562.13 
[18230] SET_SELL_TRIGGER,F3iruDCI8F,JVT,4.30 
[18293] COMMIT_BUY,F3iruDCI8F 
[18330] QUOTE,F3iruDCI8F,LQN 
[18375] QUOTE,F3iruDCI8F,NRY 
[18411] BUY,F3iruDCI8F,NVX,560.97 
[18647] COMMIT_BUY,F3iruDCI8F 
[18895] DISPLAY_SUMMARY,F3iruDCI8F 
[18901] DISPLAY_SUMMARY,F3iruDCI8F 
[18961] DISPLAY_SUMMARY,F3iruDCI8F 
[19101] ADD,F3iruDCI8F,81029.76 
[19111] BUY,F3iruDCI8F,KLE,383.60 
[19329] COMMIT_BUY,F3iruDCI8F 
[19360] DISPLAY_SUMMARY,F3iruDCI8F 
[19392] COMMIT_BUY,F3iruDCI8F 
[19566] SET_BUY_AMOUNT,F3iruDCI8F,FQP,711.19 
[19690] CANCEL_SET_BUY,F3iruDCI8F,NXU 
[19863] BUY,F3iruDCI8F,EOY,461.01 
[20030] DISPLAY_SUMMARY,F3iruDCI8F 
[20037] QUOTE,F3iruDCI8F,WJB 
[20059] SET_BUY_TRIGGER,F3iruDCI8F,BBC,15.81 
[20169] QUOTE,F3iruDCI8F,VAT 
[20269] SET_BUY_AMOUNT,F3iruDCI8F,GYF,731.47 
[20293] CANCEL_SET_BUY,F3iruDCI8F,AOH 
[20520] SET_SELL_TRIGGER,F3iruDCI8F,NSN,108.37 
[20534] CANCEL_SELL,F3iruDCI8F 
[20566] BUY,F3iruDCI8F,LLD,293.43 
[20585] COMMIT_BUY,F3iruDCI8F 
[20668] SET_BUY_TRIGGER,F3iruDCI8F,PUC,185.35 
[20963] ADD,F3iruDCI8F,60098.38 
[21250] QUOTE,F3iruDCI8F,TXB 
[21292] CANCEL_SELL,F3iruDCI8F 
[21300] DISPLAY_SUMMARY,F3iruDCI8F 
[21414] CANCEL_BUY,F3iruDCI8F 
[21518] ADD,F3iruDCI8F,65025.57 
[21777] QUOTE,F3iruDCI8F,LLE 
[21862] DISPLAY_SUMMARY,F3iruDCI8F 
[22020] SET_SELL_TRIGGER,F3iruDCI8F,DWF,27.20 
[22037] SET_BUY_TRIGGER,F3iruDCI8F,AED,137.71 
[22038] ADD,F3iruDCI8F,55821.90 
[22141] BUY,F3iruDCI8F,GPL,204.73 
[22217] SET_BUY_AMOUNT,F3iruDCI8F,KES,25.16 
[22511] DISPLAY_SUMMARY,F3iruDCI8F 
[22625] BUY,F3iruDCI8F,SQS,293.91 
[22777] CANCEL_BUY,F3iruDCI8F 
[22819] SELL,F3iruDCI8F,UTV,163.05 
[22924] COMMIT_SELL,F3iruDCI8F 
[23096] ADD,F3iruDCI8F,65041.91 
[23262] QUOTE,F3iruDCI8F,FGI 
[23369] ADD,F3iruDCI8F,82044.05 
[23614] BUY,F3iruDCI8F,ZWB,484.99 
[23740] QUOTE,F3iruDCI8F,XUY 
[23825] BUY,F3iruDCI8F,DRO,344.39 
[24077] ADD,F3iruDCI8F,49443.78 
[24177] QUOTE,F3iruDCI8F,ISQ 
[24205] BUY,F3iruDCI8F,ATW,673.79 
[24297] ADD,F3iruDCI8F,83928.09 
[24299] BUY,F3iruDCI8F,GJR,77.09 
[24525] COMMIT_BUY,F3iruDCI8F 
[24543] DISPLAY_SUMMARY,F3iruDCI8F 
[24581] ADD,F3iruDCI8F,50338.56 
[24602] QUOTE,F3iruDCI8F,HWO 
[24733] SET_SELL_AMOUNT,F3iruDCI8F,LFU,418.56 
[24801] SELL,F3iruDCI8F,QJZ,607.43 
[24809] CANCEL_SELL,F3iruDCI8F 
[24977] CANCEL_SET_SELL,F3iruDCI8F,LFU 
[25311] QUOTE,F3iruDCI8F,BZH 
[25423] SET_BUY_TRIGGER,F3iruDCI8F,LKV,16.60 
[25693] DISPLAY_SUMMARY,F3iruDCI8F 
[25934] QUOTE,F3iruDCI8F,UBJ 
[26311] BUY,F3iruDCI8F,FZU,658.29 
[26423] CANCEL_BUY,F3iruDCI8F 
[26506] SELL,F3iruDCI8F,GYF,346.45 
[26559] COMMIT_SELL,F3iruDCI8F 
[26591] QUOTE,F3iruDCI8F,QID 
[26720] DISPLAY_SUMMARY,F3iruDCI8F 
[26934] BUY,F3iruDCI8F,SZI,367.05 
[26963] SET_BUY_TRIGGER,F3iruDCI8F,AOH,36.89 
[27078] BUY,F3iruDCI8F,IDX,706.03 
[27152] COMMIT_BUY,F3iruDCI8F 
[27186] SET_SELL_AMOUNT,F3iruDCI8F,GYF,651.49 
[27216] SET_SELL_TRIGGER,F3iruDCI8F,GYF,480.93 
[27281] ADD,F3iruDCI8F,53248.38 
[27414] BUY,F3iruDCI8F,YDS,505.87 
[27591] COMMIT_BUY,F3iruDCI8F 
[27868] DISPLAY_SUMMARY,F3iruDCI8F 
[27890] ADD,F3iruDCI8F,86015.47 
[27966] QUOTE,F3iruDCI8F,ZSV 
[28032] ADD,F3iruDCI8F,59661.83 
[28136] BUY,F3iruDCI8F,MUN,103.37 
[28262] COMMIT_BUY,F3iruDCI8F 
[28265] DISPLAY_SUMMARY,F3iruDCI8F 
[28508] SET_BUY_TRIGGER,F3iruDCI8F,HEJ,59.04 
[28576] ADD,F3iruDCI8F,65746.31 
[28640] BUY,F3iruDCI8F,BHH,581.40 
[28653] CANCEL_BUY,F3iruDCI8F 
[29006] DISPLAY_SUMMARY,F3iruDCI8F 
[29028] ADD,F3iruDCI8F,90534.17 
[29036] BUY,F3iruDCI8F,SXB,723.17 
[29038] COMMIT_BUY,F3iruDCI8F 
[29073] ADD,F3iruDCI8F,43217.96 
[29258] BUY,F3iruDCI8F,NVX,474.81 
[29407] CANCEL_SELL,F3iruDCI8F 
[29513] SET_SELL_AMOUNT,F3iruDCI8F,KDA,281.23 
[29558] CANCEL_SET_SELL,F3iruDCI8F,KDA 
[29605] SET_BUY_AMOUNT,F3iruDCI8F,QAX,492.80 
[29957] SET_BUY_TRIGGER,F3iruDCI8F,RUN,5.12 
[30503] QUOTE,F3iruDCI8F,FVA 
[30620] BUY,F3iruDCI8F,ZRJ,116.63 
[30783] CANCEL_SELL,F3iruDCI8F 
[30813] DISPLAY_SUMMARY,F3iruDCI8F 
[30852] ADD,F3iruDCI8F,54811.23 
[30857] QUOTE,F3iruDCI8F,URD 
[30914] CANCEL_SET_SELL,F3iruDCI8F,OTI 
[30919] DISPLAY_SUMMARY,F3iruDCI8F 
[30953] SET_BUY_AMOUNT,F3iruDCI8F,JCQ,730.44 
[30994] SET_BUY_TRIGGER,F3iruDCI8F,ZOZ,13.65 
[31053] SET_BUY_TRIGGER,F3iruDCI8F,HZA,147.88 
[31058] SET_BUY_TRIGGER,F3iruDCI8F,WZM,122.22 
[31269] SELL,F3iruDCI8F,QJZ,462.03 
[31333] COMMIT_SELL,F3iruDCI8F 
[31338] SELL,F3iruDCI8F,JVT,87.39 
[31347] COMMIT_SELL,F3iruDCI8F 
[31390] ADD,F3iruDCI8F,44202.01 
[31395] QUOTE,F3iruDCI8F,CLP 
[31558] BUY,F3iruDCI8F,HIN,145.18 
[31781] QUOTE,F3iruDCI8F,ZJG 
[31836] BUY,F3iruDCI8F,OYS,732.19 
[31933] COMMIT_BUY,F3iruDCI8F 
[31967] SET_SELL_AMOUNT,F3iruDCI8F,KES,631.44 
[32158] SET_SELL_TRIGGER,F3iruDCI8F,KES,198.75 
[32171] SET_BUY_AMOUNT,F3iruDCI8F,EBS,437.81 
[32365] SET_BUY_TRIGGER,F3iruDCI8F,LVT,222.60 
[32471] BUY,F3iruDCI8F,BMW,546.62 
[32519] CANCEL_SET_BUY,F3iruDCI8F,KJM 
[32610] SET_BUY_TRIGGER,F3iruDCI8F,NTB,150.17 
[32768] SET_SELL_TRIGGER,F3iruDCI8F,KLY,136.12 
[32808] SELL,F3iruDCI8F,ZAN,219.62 
[32841] COMMIT_SELL,F3iruDCI8F 
[32918] ADD,F3iruDCI8F,63261.53 
[33117] BUY,F3iruDCI8F,MKE,152.26 
[33347] DISPLAY_SUMMARY,F3iruDCI8F 
[33376] BUY,F3iruDCI8F,FFZ,687.85 
[33407] COMMIT_BUY,F3iruDCI8F 
[33422] DISPLAY_SUMMARY,F3iruDCI8F 
[33471] QUOTE,F3iruDCI8F,PZE 
[33505] QUOTE,F3iruDCI8F,ZCQ 
[33546] DISPLAY_SUMMARY,F3iruDCI8F 
[33644] SET_SELL_AMOUNT,F3iruDCI8F,OEY,291.77 
[33704] DISPLAY_SUMMARY,F3iruDCI8F 
[33979] SET_BUY_AMOUNT,F3iruDCI8F,EBS,485.74 
[34016] SET_BUY_TRIGGER,F3iruDCI8F,GUW,232.07 
[34032] QUOTE,F3iruDCI8F,FCM 
[34093] ADD,F3iruDCI8F,82238.57 
[34157] QUOTE,F3iruDCI8F,CMA 
[34175] BUY,F3iruDCI8F,USW,393.81 
[34182] COMMIT_BUY,F3iruDCI8F 
[34227] SET_BUY_TRIGGER,F3iruDCI8F,RKQ,128.84 
[34260] SET_SELL_TRIGGER,F3iruDCI8F,OEY,118.40 
[34271] SET_BUY_AMOUNT,F3iruDCI8F,ZAN,206.86 
[34397] DISPLAY_SUMMARY,F3iruDCI8F 
[34440] BUY,F3iruDCI8F,SJG,484.52 
[34559] CANCEL_SET_BUY,F3iruDCI8F,AUX 
[34652] QUOTE,F3iruDCI8F,IIX 
[34731] DISPLAY_SUMMARY,F3iruDCI8F 
[34892] SET_SELL_AMOUNT,F3iruDCI8F,GYF,2.12 
[34905] SET_SELL_TRIGGER,F3iruDCI8F,GYF,0.12 
[34907] BUY,F3iruDCI8F,SON,54.46 
[34961] SELL,F3iruDCI8F,QJZ,477.92 
[35049] COMMIT_SELL,F3iruDCI8F 
[35220] SET_BUY_TRIGGER,F3iruDCI8F,DQW,37.96 
[35352] SET_SELL_TRIGGER,F3iruDCI8F,ULL,67.12 
[35444] ADD,F3iruDCI8F,69334.83 
[35461] BUY,F3iruDCI8F,KVJ,299.48 
[35575] SET_SELL_TRIGGER,F3iruDCI8F,ZYR,53.24 
[35634] SELL,F3iruDCI8F,QJZ,395.11 
[35674] CANCEL_SELL,F3iruDCI8F 
[35741] CANCEL_SET_SELL,F3iruDCI8F,KCA 
[35788] ADD,F3iruDCI8F,83474.74 
[36030] QUOTE,F3iruDCI8F,GHE 
[36053] BUY,F3iruDCI8F,HZA,544.61 
[36140] COMMIT_BUY,F3iruDCI8F 
[36226] ADD,F3iruDCI8F,62962.37 
[36380] BUY,F3iruDCI8F,GPL,697.07 
[36484] CANCEL_BUY,F3iruDCI8F 
[36560] SET_SELL_TRIGGER,F3iruDCI8F,WRJ,108.87 
[36918] SET_SELL_TRIGGER,F3iruDCI8F,FFZ,92.69 
[36933] DISPLAY_SUMMARY,F3iruDCI8F 
[37047] SET_BUY_TRIGGER,F3iruDCI8F,LPR,66.71 
[37310] QUOTE,F3iruDCI8F,TFZ 
[37405] CANCEL_SELL,F3iruDCI8F 
[37482] QUOTE,F3iruDCI8F,SJZ 
[37641] COMMIT_BUY,F3iruDCI8F 
[37691] SELL,F3iruDCI8F,JQO,224.83 
[37769] COMMIT_SELL,F3iruDCI8F 
[37772] SET_SELL_TRIGGER,F3iruDCI8F,OLH,184.66 
[37792] DISPLAY_SUMMARY,F3iruDCI8F 
[37846] DISPLAY_SUMMARY,F3iruDCI8F 
[37860] DISPLAY_SUMMARY,F3iruDCI8F 
[37862] SET_SELL_AMOUNT,F3iruDCI8F,JQO,477.17 
[38253] SET_SELL_TRIGGER,F3iruDCI8F,JQO,449.58 
[38456] SELL,F3iruDCI8F,LFU,463.51 
[38496] COMMIT_SELL,F3iruDCI8F 
[38531] SET_BUY_AMOUNT,F3iruDCI8F,QJZ,155.22 
[38652] SET_BUY_TRIGGER,F3iruDCI8F,NFV,92.94 
[38676] SELL,F3iruDCI8F,YJK,380.18 
[38830] ADD,F3iruDCI8F,52922.85 
[38890] QUOTE,F3iruDCI8F,GMF 
[39133] DISPLAY_SUMMARY,F3iruDCI8F 
[39177] SET_BUY_AMOUNT,F3iruDCI8F,NHG,250.02 
[39247] QUOTE,F3iruDCI8F,EHF 
[39288] BUY,F3iruDCI8F,QUT,194.53 
[39320] SET_BUY_AMOUNT,F3iruDCI8F,QAX,644.93 
[39427] CANCEL_SET_BUY,F3iruDCI8F,XOL 
[39486] QUOTE,F3iruDCI8F,CTI 
[39529] SET_BUY_AMOUNT,F3iruDCI8F,CUZ,149.06 
[39585] SET_BUY_TRIGGER,F3iruDCI8F,AVX,113.22 
[39738] SET_BUY_AMOUNT,F3iruDCI8F,JVT,529.75 
[39780] SET_BUY_TRIGGER,F3iruDCI8F,QJZ,366.18 
[39867] BUY,F3iruDCI8F,LJZ,708.19 
[39962] COMMIT_BUY,F3iruDCI8F 
[39975] SET_BUY_TRIGGER,F3iruDCI8F,PSJ,3.50 
[40125] CANCEL_SET_SELL,F3iruDCI8F,DIX 
[40192] SET_SELL_AMOUNT,F3iruDCI8F,CUZ,715.38 
[40215] SET_SELL_TRIGGER,F3iruDCI8F,CUZ,273.32 
[40256] SET_BUY_TRIGGER,F3iruDCI8F,WSG,101.95 
[40488] SET_BUY_TRIGGER,F3iruDCI8F,JGF,99.63 
[40611] ADD,F3iruDCI8F,63130.37 
[40628] BUY,F3iruDCI8F,AOU,322.38 
[40645] QUOTE,F3iruDCI8F,OKK 
[40649] DISPLAY_SUMMARY,F3iruDCI8F 
[40686] DISPLAY_SUMMARY,F3iruDCI8F 
[40750] CANCEL_SET_SELL,F3iruDCI8F,CBV 
[40898] SET_BUY_AMOUNT,F3iruDCI8F,BCQ,40.99 
[40912] QUOTE,F3iruDCI8F,TWJ 
[41174] CANCEL_BUY,F3iruDCI8F 
[41277] CANCEL_SET_SELL,F3iruDCI8F,YPL 
[41304] BUY,F3iruDCI8F,XFH,348.03 
[41528] COMMIT_BUY,F3iruDCI8F 
[41589] SET_SELL_AMOUNT,F3iruDCI8F,JQO,432.19 
[41604] SET_SELL_TRIGGER,F3iruDCI8F,JQO,368.32 
[41628] ADD,F3iruDCI8F,68642.30 
[41695] QUOTE,F3iruDCI8F,GCW 
[41786] SET_BUY_TRIGGER,F3iruDCI8F,CEC,29.34 
[42018] SELL,F3iruDCI8F,JRJ,30.97 
[42049] QUOTE,F3iruDCI8F,UFX 
[42092] ADD,F3iruDCI8F,76516.18 
[42101] BUY,F3iruDCI8F,PFK,507.72 
[42161] SET_BUY_AMOUNT,F3iruDCI8F,JCQ,396.51 
[42173] SET_BUY_TRIGGER,F3iruDCI8F,QAX,131.94 
[42267] DISPLAY_SUMMARY,F3iruDCI8F 
[42316] SET_BUY_TRIGGER,F3iruDCI8F,FVD,71.87 
[42411] SET_BUY_TRIGGER,F3iruDCI8F,QAX,114.08 
[42478] SELL,F3iruDCI8F,ZTI,452.27 
[42685] SET_SELL_AMOUNT,F3iruDCI8F,NHG,327.46 
[42720] CANCEL_SET_SELL,F3iruDCI8F,NHG 
[43027] SET_BUY_AMOUNT,F3iruDCI8F,BCQ,605.40 
[43074] SET_BUY_TRIGGER,F3iruDCI8F,WBX,408.39 
[43123] ADD,F3iruDCI8F,79631.28 
[43127] QUOTE,F3iruDCI8F,XZO 
[43457] SET_BUY_TRIGGER,F3iruDCI8F,XBL,139.64 
[43476] COMMIT_BUY,F3iruDCI8F 
[43904] DISPLAY_SUMMARY,F3iruDCI8F 
[43912] BUY,F3iruDCI8F,PXS,503.23 
[43958] CANCEL_SET_BUY,F3iruDCI8F,ZUV 
[44123] BUY,F3iruDCI8F,EED,649.97 
[44575] QUOTE,F3iruDCI8F,PDB 
[44620] ADD,F3iruDCI8F,75279.62 
[44779] SET_BUY_AMOUNT,F3iruDCI8F,JCQ,528.58 
[45060] SET_BUY_TRIGGER,F3iruDCI8F,FWW,384.36 
[45124] SET_BUY_TRIGGER,F3iruDCI8F,EBS,82.16 
[45132] DISPLAY_SUMMARY,F3iruDCI8F 
[45370] SET_SELL_TRIGGER,F3iruDCI8F,ZAV,34.39 
[45431] ADD,F3iruDCI8F,64203.07 
[45439] QUOTE,F3iruDCI8F,FVZ 
[45465] SET_SELL_AMOUNT,F3iruDCI8F,KDA,215.86 
[45556] QUOTE,F3iruDCI8F,VMD 
[45687] BUY,F3iruDCI8F,UUJ,446.67 
[45737] COMMIT_BUY,F3iruDCI8F 
[45838] ADD,F3iruDCI8F,55464.58 
[45841] COMMIT_SELL,F3iruDCI8F 
[45867] QUOTE,F3iruDCI8F,WCY 
[46127] CANCEL_SET_BUY,F3iruDCI8F,XQG 
[46355] SELL,F3iruDCI8F,ZTI,217.61 
[46552] BUY,F3iruDCI8F,AUX,144.15 
[46655] DISPLAY_SUMMARY,F3iruDCI8F 
[46860] DISPLAY_SUMMARY,F3iruDCI8F 
[47077] ADD,F3iruDCI8F,72001.66 
[47120] BUY,F3iruDCI8F,CWA,627.45 
[47126] COMMIT_BUY,F3iruDCI8F 
[47326] SET_BUY_TRIGGER,F3iruDCI8F,LAW,29.09 
[47385] QUOTE,F3iruDCI8F,STT 
[47598] SET_BUY_TRIGGER,F3iruDCI8F,BPK,36.39 
[47713] BUY,F3iruDCI8F,EUM,303.54 
[47755] COMMIT_BUY,F3iruDCI8F 
[47935] SET_BUY_TRIGGER,F3iruDCI8F,KTU,35.20 
[48009] SELL,F3iruDCI8F,KDA,364.10 
[48089] COMMIT_SELL,F3iruDCI8F 
[48167] ADD,F3iruDCI8F,64684.13 
[48284] QUOTE,F3iruDCI8F,FOV 
[48450] BUY,F3iruDCI8F,JGG,393.66 
[48459] COMMIT_BUY,F3iruDCI8F 
[48515] BUY,F3iruDCI8F,BFB,76.18 
[48718] CANCEL_SET_SELL,F3iruDCI8F,KDA 
[48802] QUOTE,F3iruDCI8F,SPP 
[48956] ADD,F3iruDCI8F,66138.67 
[49236] SET_BUY_TRIGGER,F3iruDCI8F,VDP,44.73 
[49286] SELL,F3iruDCI8F,XXQ,511.58 
[49328] COMMIT_SELL,F3iruDCI8F 
[49427] ADD,F3iruDCI8F,70385.44 
[49500] QUOTE,F3iruDCI8F,AOH 
[49712] QUOTE,F3iruDCI8F,DQW 
[49737] SET_BUY_AMOUNT,F3iruDCI8F,BCQ,394.35 
[49779] SET_BUY_TRIGGER,F3iruDCI8F,JMX,104.58 
[50005] QUOTE,F3iruDCI8F,VGW 
[50439] SET_BUY_AMOUNT,F3iruDCI8F,JZJ,234.10 
