[76] ADD,vRUafgIjuV,104692.95 
[14400] SET_BUY_TRIGGER,vRUafgIjuV,SJG,137.50 
[14456] SET_BUY_TRIGGER,vRUafgIjuV,NNW,24.80 
[14587] DISPLAY_SUMMARY,vRUafgIjuV 
[14663] BUY,vRUafgIjuV,FCM,629.78 
[14679] DISPLAY_SUMMARY,vRUafgIjuV 
[14818] DISPLAY_SUMMARY,vRUafgIjuV 
[14846] SET_BUY_TRIGGER,vRUafgIjuV,AHE,25.05 
[14973] CANCEL_BUY,vRUafgIjuV 
[15045] SET_BUY_TRIGGER,vRUafgIjuV,QZN,88.09 
[15055] ADD,vRUafgIjuV,70658.00 
[15216] BUY,vRUafgIjuV,PDB,299.14 
[15275] COMMIT_SELL,vRUafgIjuV 
[15484] ADD,vRUafgIjuV,77468.13 
[15523] QUOTE,vRUafgIjuV,SOT 
[15822] CANCEL_SELL,vRUafgIjuV 
[15869] ADD,vRUafgIjuV,72476.25 
[15915] BUY,vRUafgIjuV,XZN,586.85 
[16093] COMMIT_BUY,vRUafgIjuV 
[16287] SELL,vRUafgIjuV,JVT,261.27 
[16288] SELL,vRUafgIjuV,EBS,630.82 
[16509] SET_BUY_AMOUNT,vRUafgIjuV,JCQ,427.15 
[16551] SET_BUY_TRIGGER,vRUafgIjuV,HMR,146.23 
[16609] DISPLAY_SUMMARY,vRUafgIjuV 
[16642] ADD,vRUafgIjuV,63962.88 
[17234] BUY,vRUafgIjuV,XDN,573.81 
[17346] COMMIT_BUY,vRUafgIjuV 
[17389] BUY,vRUafgIjuV,PBV,591.89 
[17442] QUOTE,vRUafgIjuV,ZYF 
[17467] QUOTE,vRUafgIjuV,NIR 
[17995] BUY,vRUafgIjuV,SWJ,242.63 
[18055] COMMIT_BUY,vRUafgIjuV 
[18157] DISPLAY_SUMMARY,vRUafgIjuV 
[18679] SET_BUY_TRIGGER,vRUafgIjuV,HGG,189.61 
[19126] SELL,vRUafgIjuV,JQO,374.38 
[19279] COMMIT_SELL,vRUafgIjuV 
[19297] QUOTE,vRUafgIjuV,UDM 
[19468] BUY,vRUafgIjuV,ETJ,93.92 
[19612] COMMIT_BUY,vRUafgIjuV 
[19692] SET_SELL_AMOUNT,vRUafgIjuV,NHG,253.23 
[19951] SET_SELL_TRIGGER,vRUafgIjuV,NHG,156.73 
[20015] DISPLAY_SUMMARY,vRUafgIjuV 
[20119] SET_BUY_TRIGGER,vRUafgIjuV,UXP,50.69 
[20359] SET_BUY_AMOUNT,vRUafgIjuV,KDA,657.28 
[20506] CANCEL_SET_BUY,vRUafgIjuV,CCH 
[20565] SET_SELL_TRIGGER,vRUafgIjuV,XNZ,69.25 
[20577] BUY,vRUafgIjuV,RVU,29.57 
[20631] BUY,vRUafgIjuV,IUN,744.56 
[20662] ADD,vRUafgIjuV,62864.38 
[20700] BUY,vRUafgIjuV,QGN,323.67 
[20744] CANCEL_BUY,vRUafgIjuV 
[20987] BUY,vRUafgIjuV,TZJ,202.34 
[21039] COMMIT_BUY,vRUafgIjuV 
[21040] DISPLAY_SUMMARY,vRUafgIjuV 
[21060] ADD,vRUafgIjuV,68043.79 
[21251] QUOTE,vRUafgIjuV,RDN 
[21463] BUY,vRUafgIjuV,LLD,621.40 
[21477] COMMIT_BUY,vRUafgIjuV 
[21584] QUOTE,vRUafgIjuV,LLF 
[21645] CANCEL_SET_SELL,vRUafgIjuV,JQG 
[21653] SET_SELL_TRIGGER,vRUafgIjuV,WAI,88.63 
[21663] QUOTE,vRUafgIjuV,BEG 
[21754] SET_BUY_AMOUNT,vRUafgIjuV,JVT,209.20 
[21948] SET_BUY_TRIGGER,vRUafgIjuV,KAF,193.38 
[21968] DISPLAY_SUMMARY,vRUafgIjuV 
[22042] QUOTE,vRUafgIjuV,ZER 
[22044] QUOTE,vRUafgIjuV,TCP 
[22060] BUY,vRUafgIjuV,MVD,404.71 
[22331] QUOTE,vRUafgIjuV,LSM 
[22382] QUOTE,vRUafgIjuV,XXQ 
[22393] SET_BUY_AMOUNT,vRUafgIjuV,LFU,254.32 
[22603] SET_BUY_TRIGGER,vRUafgIjuV,ISQ,158.23 
[22934] ADD,vRUafgIjuV,60111.94 
[23085] BUY,vRUafgIjuV,WDJ,708.90 
[23207] DISPLAY_SUMMARY,vRUafgIjuV 
[23211] DISPLAY_SUMMARY,vRUafgIjuV 
[23329] SET_BUY_TRIGGER,vRUafgIjuV,NXF,147.71 
[23347] SET_SELL_AMOUNT,vRUafgIjuV,FQP,99.83 
[23442] SET_SELL_TRIGGER,vRUafgIjuV,FQP,0.50 
[23665] QUOTE,vRUafgIjuV,UFX 
[23929] QUOTE,vRUafgIjuV,FFN 
[24445] SET_BUY_AMOUNT,vRUafgIjuV,KDA,271.87 
[24590] SET_BUY_TRIGGER,vRUafgIjuV,JOJ,169.51 
[24672] SET_SELL_AMOUNT,vRUafgIjuV,GYF,268.50 
[24821] QUOTE,vRUafgIjuV,BWL 
[24891] QUOTE,vRUafgIjuV,GIX 
[25042] BUY,vRUafgIjuV,AZN,407.80 
[25115] COMMIT_BUY,vRUafgIjuV 
[25252] BUY,vRUafgIjuV,AHO,285.54 
[25421] COMMIT_BUY,vRUafgIjuV 
[25533] SET_SELL_AMOUNT,vRUafgIjuV,ZAN,266.62 
[25558] SET_SELL_TRIGGER,vRUafgIjuV,ZAN,256.99 
[25641] SET_SELL_AMOUNT,vRUafgIjuV,KDA,322.93 
[25827] SET_SELL_TRIGGER,vRUafgIjuV,KDA,298.30 
[25993] SET_SELL_TRIGGER,vRUafgIjuV,XXT,130.94 
[26008] DISPLAY_SUMMARY,vRUafgIjuV 
[26039] SET_SELL_AMOUNT,vRUafgIjuV,NHG,44.13 
[26156] SET_SELL_TRIGGER,vRUafgIjuV,NHG,8.95 
[26347] CANCEL_SET_BUY,vRUafgIjuV,MOF 
[26569] CANCEL_BUY,vRUafgIjuV 
[26577] COMMIT_BUY,vRUafgIjuV 
[26819] SET_SELL_TRIGGER,vRUafgIjuV,MHQ,153.12 
[26895] DISPLAY_SUMMARY,vRUafgIjuV 
[26915] SET_BUY_TRIGGER,vRUafgIjuV,RUN,33.96 
[26945] DISPLAY_SUMMARY,vRUafgIjuV 
[26968] QUOTE,vRUafgIjuV,AJR 
[27543] DISPLAY_SUMMARY,vRUafgIjuV 
[27590] QUOTE,vRUafgIjuV,AQO 
[27671] BUY,vRUafgIjuV,OEM,479.81 
[27752] COMMIT_BUY,vRUafgIjuV 
[27801] QUOTE,vRUafgIjuV,KNM 
[27831] SET_BUY_TRIGGER,vRUafgIjuV,RWY,36.05 
[27913] ADD,vRUafgIjuV,70270.09 
[28091] QUOTE,vRUafgIjuV,YKB 
[28261] ADD,vRUafgIjuV,93457.11 
[28358] CANCEL_SET_SELL,vRUafgIjuV,XUY 
[28407] BUY,vRUafgIjuV,FFI,147.64 
[28837] COMMIT_BUY,vRUafgIjuV 
[28914] SET_SELL_TRIGGER,vRUafgIjuV,IZS,88.63 
[29183] ADD,vRUafgIjuV,101161.58 
[29263] QUOTE,vRUafgIjuV,GGY 
[29333] COMMIT_SELL,vRUafgIjuV 
[29543] SELL,vRUafgIjuV,NHG,432.54 
[29587] COMMIT_SELL,vRUafgIjuV 
[29673] SET_SELL_TRIGGER,vRUafgIjuV,XII,31.89 
[29841] SET_SELL_TRIGGER,vRUafgIjuV,SDL,188.45 
[29882] ADD,vRUafgIjuV,49238.11 
[29992] BUY,vRUafgIjuV,FYR,379.46 
[30265] BUY,vRUafgIjuV,UGG,726.57 
[30294] SET_BUY_AMOUNT,vRUafgIjuV,KES,548.48 
[30315] SET_BUY_TRIGGER,vRUafgIjuV,IQJ,228.99 
[30460] SET_SELL_TRIGGER,vRUafgIjuV,JFJ,26.12 
[30611] SET_BUY_TRIGGER,vRUafgIjuV,KAH,91.14 
[30965] BUY,vRUafgIjuV,ZRJ,665.20 
[31060] CANCEL_BUY,vRUafgIjuV 
[31272] ADD,vRUafgIjuV,70342.69 
[31303] QUOTE,vRUafgIjuV,XUY 
[31345] COMMIT_BUY,vRUafgIjuV 
[31829] QUOTE,vRUafgIjuV,NFO 
[31858] QUOTE,vRUafgIjuV,GHE 
[31950] BUY,vRUafgIjuV,MWB,215.77 
[32257] COMMIT_BUY,vRUafgIjuV 
[32311] QUOTE,vRUafgIjuV,INB 
[32480] BUY,vRUafgIjuV,YDD,118.39 
[32679] BUY,vRUafgIjuV,PTC,436.35 
[32712] COMMIT_BUY,vRUafgIjuV 
[32854] SET_BUY_AMOUNT,vRUafgIjuV,QAX,733.11 
[32875] CANCEL_SET_BUY,vRUafgIjuV,VMD 
[33511] SET_SELL_TRIGGER,vRUafgIjuV,PCK,117.91 
[33718] QUOTE,vRUafgIjuV,SBT 
[33798] SET_BUY_AMOUNT,vRUafgIjuV,BCQ,266.89 
[33880] SET_BUY_TRIGGER,vRUafgIjuV,EDM,152.44 
[34001] QUOTE,vRUafgIjuV,HPN 
[34072] SET_BUY_TRIGGER,vRUafgIjuV,LKK,154.29 
[34163] QUOTE,vRUafgIjuV,HTD 
[34178] COMMIT_SELL,vRUafgIjuV 
[34287] SET_SELL_TRIGGER,vRUafgIjuV,DLX,173.78 
[34290] SET_BUY_TRIGGER,vRUafgIjuV,GRD,160.46 
[34332] SET_SELL_AMOUNT,vRUafgIjuV,RUN,296.24 
[34433] SET_SELL_TRIGGER,vRUafgIjuV,RUN,98.29 
[34644] SET_BUY_TRIGGER,vRUafgIjuV,JTX,2.47 
[34649] SET_SELL_AMOUNT,vRUafgIjuV,LFU,432.74 
[34698] SET_SELL_TRIGGER,vRUafgIjuV,LFU,276.50 
[34893] SET_SELL_TRIGGER,vRUafgIjuV,PUU,130.78 
[35089] ADD,vRUafgIjuV,69605.87 
[35116] SET_SELL_TRIGGER,vRUafgIjuV,TJL,158.89 
[35152] CANCEL_SET_BUY,vRUafgIjuV,NFL 
[35715] ADD,vRUafgIjuV,92976.16 
[35752] QUOTE,vRUafgIjuV,NGH 
[35850] SET_BUY_AMOUNT,vRUafgIjuV,RUN,695.64 
[36156] SET_BUY_TRIGGER,vRUafgIjuV,FMJ,100.99 
[36622] ADD,vRUafgIjuV,74535.59 
[36642] BUY,vRUafgIjuV,OZT,340.76 
[36644] CANCEL_BUY,vRUafgIjuV 
[36648] SELL,vRUafgIjuV,NHG,462.95 
[36710] SET_SELL_AMOUNT,vRUafgIjuV,BYA,448.35 
[36764] SET_SELL_TRIGGER,vRUafgIjuV,BYA,32.74 
[36784] CANCEL_SET_BUY,vRUafgIjuV,PHE 
[37059] ADD,vRUafgIjuV,81232.88 
[37322] BUY,vRUafgIjuV,ZQS,581.81 
[37325] COMMIT_BUY,vRUafgIjuV 
[37437] BUY,vRUafgIjuV,NBX,513.13 
[37598] COMMIT_BUY,vRUafgIjuV 
[37624] DISPLAY_SUMMARY,vRUafgIjuV 
[37661] DISPLAY_SUMMARY,vRUafgIjuV 
[37678] SET_SELL_AMOUNT,vRUafgIjuV,ZTI,474.24 
[37785] SET_SELL_TRIGGER,vRUafgIjuV,ZTI,170.53 
[37824] BUY,vRUafgIjuV,VOY,206.58 
[37928] COMMIT_BUY,vRUafgIjuV 
[37946] CANCEL_SELL,vRUafgIjuV 
[38077] SET_BUY_AMOUNT,vRUafgIjuV,YJK,52.07 
[38163] CANCEL_SET_BUY,vRUafgIjuV,UTV 
[38211] SET_SELL_TRIGGER,vRUafgIjuV,KVJ,195.49 
[38295] DISPLAY_SUMMARY,vRUafgIjuV 
[38490] ADD,vRUafgIjuV,48821.27 
[38516] QUOTE,vRUafgIjuV,WKL 
[38536] SET_BUY_TRIGGER,vRUafgIjuV,MSV,37.38 
[38627] DISPLAY_SUMMARY,vRUafgIjuV 
[38783] ADD,vRUafgIjuV,67904.07 
[38996] QUOTE,vRUafgIjuV,JIC 
[39049] DISPLAY_SUMMARY,vRUafgIjuV 
[39117] SET_BUY_TRIGGER,vRUafgIjuV,CBQ,44.27 
[39227] ADD,vRUafgIjuV,85469.38 
[39239] QUOTE,vRUafgIjuV,UDM 
[39275] SELL,vRUafgIjuV,UTV,315.32 
[39291] SET_BUY_AMOUNT,vRUafgIjuV,RUN,695.91 
[39380] CANCEL_SET_BUY,vRUafgIjuV,NJB 
[39430] QUOTE,vRUafgIjuV,AVH 
[39448] BUY,vRUafgIjuV,XLI,152.07 
[39682] COMMIT_BUY,vRUafgIjuV 
[39843] DISPLAY_SUMMARY,vRUafgIjuV 
[39874] SET_SELL_AMOUNT,vRUafgIjuV,ZAN,210.33 
[39879] SET_SELL_TRIGGER,vRUafgIjuV,ZAN,202.68 
[39925] SET_SELL_AMOUNT,vRUafgIjuV,CUZ,510.50 
[39972] BUY,vRUafgIjuV,DIX,496.40 
[40123] COMMIT_SELL,vRUafgIjuV 
[40138] ADD,vRUafgIjuV,49814.04 
[40357] QUOTE,vRUafgIjuV,DXQ 
[40373] SET_BUY_AMOUNT,vRUafgIjuV,JVT,409.22 
[40569] BUY,vRUafgIjuV,ZOZ,539.55 
[40781] ADD,vRUafgIjuV,82885.82 
[40811] BUY,vRUafgIjuV,ETB,40.29 
[40825] CANCEL_SELL,vRUafgIjuV 
[40854] BUY,vRUafgIjuV,WXV,152.68 
[40901] CANCEL_BUY,vRUafgIjuV 
[41031] ADD,vRUafgIjuV,76526.14 
[41085] QUOTE,vRUafgIjuV,YLZ 
[41134] QUOTE,vRUafgIjuV,WLT 
[41188] QUOTE,vRUafgIjuV,DJD 
[41227] QUOTE,vRUafgIjuV,AAC 
[41237] QUOTE,vRUafgIjuV,STO 
[41375] SET_BUY_AMOUNT,vRUafgIjuV,NHG,727.10 
[41376] BUY,vRUafgIjuV,MRK,560.97 
[41477] COMMIT_BUY,vRUafgIjuV 
[41746] CANCEL_SET_SELL,vRUafgIjuV,CUZ 
[41873] DISPLAY_SUMMARY,vRUafgIjuV 
[41926] ADD,vRUafgIjuV,83424.05 
[42004] BUY,vRUafgIjuV,VNN,567.70 
[42028] CANCEL_BUY,vRUafgIjuV 
[42361] DISPLAY_SUMMARY,vRUafgIjuV 
[42457] ADD,vRUafgIjuV,68394.04 
[42461] QUOTE,vRUafgIjuV,NSW 
[42477] DISPLAY_SUMMARY,vRUafgIjuV 
[42521] ADD,vRUafgIjuV,84094.61 
[42909] QUOTE,vRUafgIjuV,CMD 
[42988] BUY,vRUafgIjuV,GLJ,551.52 
[43043] CANCEL_BUY,vRUafgIjuV 
[43175] SET_SELL_AMOUNT,vRUafgIjuV,JVT,304.37 
[43231] SET_SELL_TRIGGER,vRUafgIjuV,JVT,182.52 
[43302] SELL,vRUafgIjuV,XXQ,4.93 
[43401] SELL,vRUafgIjuV,ZTI,286.63 
[43413] DISPLAY_SUMMARY,vRUafgIjuV 
[43460] CANCEL_SET_SELL,vRUafgIjuV,DHA 
[43502] ADD,vRUafgIjuV,76098.04 
[43563] QUOTE,vRUafgIjuV,BSG 
[43641] BUY,vRUafgIjuV,OGR,212.03 
[43672] COMMIT_BUY,vRUafgIjuV 
[43923] SET_BUY_TRIGGER,vRUafgIjuV,PXX,411.52 
[43948] CANCEL_SET_SELL,vRUafgIjuV,CXB 
[44029] SET_BUY_AMOUNT,vRUafgIjuV,BCQ,123.43 
[44082] SET_BUY_TRIGGER,vRUafgIjuV,VEN,39.00 
[44138] SET_SELL_AMOUNT,vRUafgIjuV,GYF,546.15 
[44175] SET_SELL_TRIGGER,vRUafgIjuV,GYF,453.94 
[44313] ADD,vRUafgIjuV,60237.41 
[44351] QUOTE,vRUafgIjuV,WGV 
[44388] ADD,vRUafgIjuV,59439.13 
[44429] QUOTE,vRUafgIjuV,FMJ 
[44432] CANCEL_SET_SELL,vRUafgIjuV,XAN 
[44468] DISPLAY_SUMMARY,vRUafgIjuV 
[44496] BUY,vRUafgIjuV,FLY,117.25 
[44525] ADD,vRUafgIjuV,74593.94 
[44672] BUY,vRUafgIjuV,IDX,341.64 
[44680] CANCEL_BUY,vRUafgIjuV 
[44689] DISPLAY_SUMMARY,vRUafgIjuV 
[44718] BUY,vRUafgIjuV,KBI,268.65 
[44836] SET_SELL_AMOUNT,vRUafgIjuV,KDA,220.81 
[44851] BUY,vRUafgIjuV,SQO,629.77 
[44879] BUY,vRUafgIjuV,BFL,354.67 
[45077] DISPLAY_SUMMARY,vRUafgIjuV 
[45296] ADD,vRUafgIjuV,51109.47 
[45573] CANCEL_SELL,vRUafgIjuV 
[45846] SET_BUY_TRIGGER,vRUafgIjuV,URA,166.71 
[45983] QUOTE,vRUafgIjuV,FVZ 
[45994] SELL,vRUafgIjuV,GYF,716.11 
[46109] SET_BUY_TRIGGER,vRUafgIjuV,URY,51.61 
[46148] ADD,vRUafgIjuV,101707.66 
[46320] QUOTE,vRUafgIjuV,HZA 
[46358] QUOTE,vRUafgIjuV,BHJ 
[46383] BUY,vRUafgIjuV,GTN,570.04 
[46390] CANCEL_SET_BUY,vRUafgIjuV,RNK 
[46606] ADD,vRUafgIjuV,97842.18 
[46620] QUOTE,vRUafgIjuV,SZI 
[46795] BUY,vRUafgIjuV,FDI,147.65 
[46855] COMMIT_BUY,vRUafgIjuV 
[46875] SET_SELL_AMOUNT,vRUafgIjuV,YJK,170.27 
[46889] CANCEL_SET_SELL,vRUafgIjuV,YJK 
[47236] QUOTE,vRUafgIjuV,JGY 
[47356] BUY,vRUafgIjuV,CXC,738.75 
[47542] COMMIT_BUY,vRUafgIjuV 
[47562] SET_BUY_AMOUNT,vRUafgIjuV,OPN,167.07 
[47590] SET_BUY_TRIGGER,vRUafgIjuV,TYV,155.19 
[47616] BUY,vRUafgIjuV,DMS,725.40 
[47669] CANCEL_BUY,vRUafgIjuV 
[47692] DISPLAY_SUMMARY,vRUafgIjuV 
[48075] DISPLAY_SUMMARY,vRUafgIjuV 
[48101] ADD,vRUafgIjuV,67825.10 
[48157] SET_BUY_TRIGGER,vRUafgIjuV,KWP,54.01 
[48377] DISPLAY_SUMMARY,vRUafgIjuV 
[48395] SELL,vRUafgIjuV,RUN,332.78 
[48437] COMMIT_SELL,vRUafgIjuV 
[48561] SET_BUY_TRIGGER,vRUafgIjuV,ZRJ,162.70 
[48659] SELL,vRUafgIjuV,RNK,113.31 
[48670] COMMIT_SELL,vRUafgIjuV 
[48729] SET_BUY_AMOUNT,vRUafgIjuV,KES,396.27 
[48834] SET_BUY_TRIGGER,vRUafgIjuV,BYA,37.73 
[48882] ADD,vRUafgIjuV,81221.04 
[49004] BUY,vRUafgIjuV,CLP,94.29 
[49095] SET_SELL_TRIGGER,vRUafgIjuV,JRY,97.61 
[49115] SET_BUY_TRIGGER,vRUafgIjuV,GQV,0.79 
[49189] SET_SELL_AMOUNT,vRUafgIjuV,QAX,505.72 
[49402] CANCEL_SET_SELL,vRUafgIjuV,QAX 
[49438] BUY,vRUafgIjuV,NDO,702.55 
[49518] SET_BUY_AMOUNT,vRUafgIjuV,EBS,54.52 
[49547] SET_BUY_TRIGGER,vRUafgIjuV,YAZ,48.47 
[49575] COMMIT_BUY,vRUafgIjuV 
[49626] SET_SELL_TRIGGER,vRUafgIjuV,YKB,138.11 
[49740] DISPLAY_SUMMARY,vRUafgIjuV 
[49807] DISPLAY_SUMMARY,vRUafgIjuV 
[49822] QUOTE,vRUafgIjuV,KCT 
[49838] SET_BUY_AMOUNT,vRUafgIjuV,OEY,289.15 
[49948] DISPLAY_SUMMARY,vRUafgIjuV 
[50051] QUOTE,vRUafgIjuV,ZWZ 
